Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
2,14:51,,,ARI 35,0,14,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,14:51,1,10,NYG 25,0,14,Daniel Jones pass incomplete short middle intended for Darren Waller (defended by Andre Chachere),0.610,0.060
2,14:46,2,10,NYG 25,0,14,Daniel Jones pass incomplete short middle intended for Darren Waller (defended by Carlos Watkins),0.060,-0.620
2,14:41,3,10,NYG 25,0,14,Daniel Jones pass complete short middle to Saquon Barkley for -4 yards (tackle by Kyzir White),-0.620,-1.960
2,13:59,4,14,NYG 21,0,14,"Jamie Gillan punts 42 yards, returned by Greg Dortch for no gain (tackle by Micah McFadden and Daniel Bellinger). Penalty on Kris Boyd: Defensive Holding, 10 yards (accepted)",-1.960,-0.740
2,13:45,1,10,ARI 27,0,14,James Conner up the middle for 4 yards (tackle by Adoree' Jackson),0.740,0.740
2,13:12,2,6,ARI 31,0,14,James Conner right tackle for 5 yards (tackle by Bobby Okereke),0.740,0.700
2,12:33,3,1,ARI 36,0,14,Joshua Dobbs up the middle for 5 yards (tackle by Jason Pinnock),0.700,1.660
2,11:58,1,10,ARI 41,0,14,James Conner up the middle for -2 yards (tackle by Jason Pinnock),1.660,0.850
2,11:21,2,12,ARI 39,0,14,Joshua Dobbs pass complete short right to Marquise Brown for 22 yards (tackle by Bobby Okereke),0.850,2.980
2,10:44,1,10,NYG 39,0,14,"Joshua Dobbs pass incomplete short left intended for Trey McBride. Penalty on Bobby Okereke: Roughing the Passer, 15 yards (accepted) (no play)",2.980,3.970
2,10:39,1,10,NYG 24,0,14,James Conner left end for 2 yards (tackle by Deonte Banks),3.970,3.700
2,9:58,2,8,NYG 22,0,14,James Conner up the middle for -1 yards (tackle by A'Shawn Robinson),3.700,2.870
2,9:15,3,9,NYG 23,0,14,Joshua Dobbs pass complete short left to Emari Demercado for 4 yards (tackle by Isaiah Simmons),2.870,2.240
2,8:47,4,5,NYG 19,0,17,Matt Prater 37 yard field goal good,2.240,3.000
2,8:43,,,ARI 35,0,17,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,8:43,1,10,NYG 25,0,17,Saquon Barkley up the middle for 9 yards (tackle by Marco Wilson and K'Von Wallace),0.610,1.280
2,8:11,2,1,NYG 34,0,17,Saquon Barkley up the middle for no gain (tackle by Victor Dimukeje),1.280,0.560
2,7:33,3,1,NYG 34,0,17,Saquon Barkley right end for 5 yards (tackle by Kyzir White),0.560,1.530
2,6:57,1,10,NYG 39,0,17,Daniel Jones pass incomplete deep left intended for Darius Slayton (defended by Kei'Trel Clark),1.530,0.990
2,6:49,2,10,NYG 39,0,17,Daniel Jones pass incomplete short left intended for Parris Campbell,0.990,0.300
2,6:46,3,10,NYG 39,0,17,Daniel Jones pass complete short middle to Darren Waller for 12 yards (tackle by Marco Wilson),0.300,2.320
2,6:17,1,10,ARI 49,0,17,Daniel Jones left end for 1 yard (tackle by Kei'Trel Clark),2.320,1.920
2,5:39,2,9,ARI 48,0,17,Daniel Jones pass complete short left to Saquon Barkley for 10 yards (tackle by K'Von Wallace),1.920,3.050
2,5:01,1,10,ARI 38,0,17,Saquon Barkley left tackle for 2 yards (tackle by Krys Barnes and Carlos Watkins),3.050,2.780
2,4:30,2,8,ARI 36,0,17,Daniel Jones pass short right intended for Saquon Barkley is intercepted by Jalen Thompson at ARI-31 and returned for 35 yards (tackle by Daniel Jones),2.780,-3.310
2,4:20,1,10,NYG 34,0,17,Joshua Dobbs pass complete short middle to Zach Ertz for 6 yards (tackle by Micah McFadden),3.310,3.580
2,3:40,2,4,NYG 28,0,17,James Conner right tackle for 5 yards (tackle by Jason Pinnock and A'Shawn Robinson),3.580,4.040
2,3:00,1,10,NYG 23,0,17,James Conner left tackle for 3 yards (tackle by Jihad Ward),4.040,3.900
2,2:25,2,7,NYG 20,0,17,"Joshua Dobbs pass complete short right to Rondale Moore for no gain (tackle by Bobby Okereke). Penalty on Michael Wilson: Offensive Pass Interference, 10 yards (accepted) (no play)",3.900,2.550
2,2:00,2,17,NYG 30,0,17,Joshua Dobbs pass complete short left to Marquise Brown for 6 yards (tackle by Deonte Banks),2.550,2.680
2,1:56,,,,,,Timeout #2 by New York Giants,,
2,1:56,3,11,NYG 24,0,17,Emari Demercado up the middle for -2 yards (tackle by Dexter Lawrence and Oshane Ximines),2.680,1.740
2,1:13,4,13,NYG 26,0,20,Matt Prater 44 yard field goal good,1.740,3.000
2,1:09,,,ARI 35,0,20,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,1:09,1,10,NYG 25,0,20,Daniel Jones pass complete short right to Parris Campbell for 9 yards (tackle by Andre Chachere),0.610,1.280
2,0:52,2,1,NYG 34,0,20,Daniel Jones pass complete short left to Saquon Barkley for no gain (tackle by Dennis Gardeck),1.280,0.560
2,0:29,3,1,NYG 34,0,20,Daniel Jones pass complete short right to Isaiah Hodgins for 10 yards (tackle by Dennis Gardeck),0.560,1.860
2,0:23,,,,,,Timeout #3 by New York Giants,,
2,0:23,1,10,NYG 44,0,20,Daniel Jones pass incomplete short middle intended for Parris Campbell (defended by Andre Chachere) (defended by Krys Barnes),1.860,1.320
2,0:19,2,10,NYG 44,0,20,Daniel Jones sacked by and Victor Dimukeje for -5 yards and Zaven Collins for -5 yards,1.320,-0.030
Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,0,20,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NYG 25,0,20,Daniel Jones pass complete deep middle to Jalin Hyatt for 58 yards (tackle by Marco Wilson),0.610,4.440
3,14:13,1,10,ARI 17,0,20,Daniel Jones pass complete short left to Darren Waller for 3 yards (tackle by Kyzir White and Jalen Thompson),4.440,4.320
3,13:48,2,7,ARI 14,6,20,"Daniel Jones left end for 14 yards, touchdown",4.320,7.000
3,13:43,,,ARI 15,7,20,Graham Gano kicks extra point good,0.000,0.000
3,13:43,,,NYG 35,7,20,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,13:43,1,10,ARI 25,7,20,Joshua Dobbs pass incomplete short left intended for James Conner (defended by Xavier McKinney),0.610,0.060
3,13:39,2,10,ARI 25,7,20,James Conner left tackle for 22 yards (tackle by Xavier McKinney),0.060,2.060
3,12:56,1,10,ARI 47,7,20,Joshua Dobbs pass complete short right to Zach Pascal for 9 yards (tackle by Jason Pinnock and Xavier McKinney),2.060,2.730
3,12:22,2,1,NYG 44,7,20,James Conner up the middle for 10 yards (tackle by Xavier McKinney and Jason Pinnock),2.730,3.310
3,11:30,1,10,NYG 34,7,20,James Conner up the middle for -1 yards (tackle by Jason Pinnock),3.310,2.640
3,10:52,2,11,NYG 35,7,20,"Joshua Dobbs pass short middle is intercepted by Jason Pinnock at NYG-35 and returned for no gain. Penalty on Bobby Okereke: Defensive Pass Interference, 10 yards (accepted) (no play)",2.640,3.910
3,10:43,1,10,NYG 25,7,20,James Conner right tackle for 21 yards (tackle by Adoree' Jackson),3.910,6.280
3,10:15,1,4,NYG 4,7,20,James Conner right tackle for 1 yard (tackle by D.J. Davidson and Jason Pinnock),6.280,5.530
3,9:39,2,3,NYG 3,7,26,"Joshua Dobbs pass complete short right to Marquise Brown for 3 yards, touchdown",5.530,7.000
3,9:34,,,NYG 2,7,28,"Two Point Attempt: Joshua Dobbs rushes, conversion succeeds.",1.000,1.000
3,9:34,,,ARI 35,7,28,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,9:34,1,10,NYG 25,7,28,Daniel Jones pass complete short middle to Darren Waller for 9 yards (tackle by Jalen Thompson and K'Von Wallace),0.610,1.280
3,8:59,2,1,NYG 34,7,28,Saquon Barkley up the middle for 5 yards (tackle by Cameron Thomas),1.280,1.530
3,8:24,1,10,NYG 39,7,28,Daniel Jones pass complete short left to Darius Slayton for 29 yards (tackle by Jalen Thompson),1.530,3.450
3,7:44,1,10,ARI 32,7,28,Saquon Barkley left end for -3 yards (tackle by Dennis Gardeck),3.450,2.500
3,7:08,2,13,ARI 35,7,28,Daniel Jones left end for 1 yard (tackle by Krys Barnes),2.500,1.950
3,6:34,3,12,ARI 34,7,28,Daniel Jones scrambles right tackle for 13 yards (tackle by Kei'Trel Clark),1.950,4.170
3,5:56,1,10,ARI 21,7,28,Daniel Jones pass complete short left to Parris Campbell for 7 yards (tackle by Kei'Trel Clark),4.170,4.740
3,5:22,2,3,ARI 14,7,28,Daniel Jones pass complete short left to Sterling Shepard for 4 yards (tackle by K'Von Wallace),4.740,4.910
3,4:41,1,10,ARI 10,7,28,"Daniel Jones sacked by Kyzir White for -3 yards. Penalty on Dante Stills: Personal Foul / Defense, 7 yards (accepted)",4.910,5.830
3,4:15,1,6,ARI 6,7,28,Daniel Jones pass incomplete short left intended for Isaiah Hodgins (defended by Kei'Trel Clark),5.830,4.950
3,4:09,2,6,ARI 6,7,28,Saquon Barkley up the middle for 5 yards (tackle by K'Von Wallace and Jesse Luketa),4.950,5.170
3,3:30,3,1,ARI 1,13,28,"Saquon Barkley right tackle for 1 yard, touchdown",5.170,7.000
3,3:27,,,ARI 15,14,28,Graham Gano kicks extra point good,0.000,0.000
3,3:27,,,NYG 35,14,28,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,3:27,1,10,ARI 25,14,28,Joshua Dobbs pass complete short middle to Zach Ertz for 17 yards (tackle by Xavier McKinney),0.610,1.730
3,2:53,1,10,ARI 42,14,28,James Conner up the middle for -1 yards (tackle by Bobby Okereke),1.730,1.050
3,2:14,2,11,ARI 41,14,28,"Joshua Dobbs pass complete short right to Trey McBride for 9 yards (tackle by Boogie Basham). Penalty on Marquise Brown: Offensive Illegal Block Above the Waist, 10 yards (accepted)",1.050,0.920
3,1:45,2,12,ARI 40,14,28,Joshua Dobbs pass complete short left to Marquise Brown for 1 yard (tackle by Bobby Okereke),0.920,0.370
3,0:57,3,11,ARI 41,14,28,"Joshua Dobbs pass complete deep middle to Michael Wilson for 16 yards (tackle by Xavier McKinney) Penalty on NYG: Illegal Contact, 5 yards (declined)",0.370,2.720
3,0:38,1,10,NYG 43,14,28,James Conner right tackle for -1 yards (tackle by Deonte Banks),2.720,2.040
Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,NYG 44,14,28,Joshua Dobbs pass incomplete short middle intended for Marquise Brown (defended by Adoree' Jackson),2.040,1.360
4,14:58,3,11,NYG 44,14,28,Joshua Dobbs pass incomplete deep right intended for Marquise Brown,1.360,0.330
4,14:51,4,11,NYG 44,14,28,"Nolan Cooney punts 44 yards, touchback.",0.330,-0.280
4,14:41,1,10,NYG 20,14,28,Daniel Jones pass complete short right to Darius Slayton for 15 yards (tackle by Marco Wilson),0.280,1.270
4,14:11,1,10,NYG 35,14,28,Daniel Jones pass complete deep left to Darren Waller for 25 yards (tackle by Andre Chachere),1.270,2.920
4,13:33,1,10,ARI 40,14,28,Daniel Jones pass incomplete deep right intended for Darius Slayton,2.920,2.370
4,13:26,2,10,ARI 40,14,28,Daniel Jones scrambles left tackle for 9 yards (tackle by Krys Barnes),2.370,2.870
4,12:52,3,1,ARI 31,14,28,Daniel Jones up the middle for 2 yards (tackle by Jonathan Ledbetter),2.870,3.640
4,12:18,1,10,ARI 29,14,28,Daniel Jones pass complete short middle to Darren Waller for 14 yards (tackle by K'Von Wallace and Jalen Thompson),3.640,4.580
4,11:36,1,10,ARI 15,14,28,Daniel Jones scrambles right end for 2 yards (tackle by Zaven Collins),4.580,4.280
4,11:02,2,8,ARI 13,14,28,Saquon Barkley up the middle for 1 yard (tackle by Zaven Collins),4.280,3.580
4,10:17,3,7,ARI 12,14,28,Daniel Jones pass complete short middle to Parris Campbell for 6 yards (tackle by Jalen Thompson),3.580,3.020
4,9:46,4,1,ARI 6,14,28,Daniel Jones up the middle for 2 yards (tackle by Jonathan Ledbetter),3.020,6.280
4,9:10,1,4,ARI 4,14,28,Daniel Jones pass incomplete short right,6.280,5.340
4,9:03,2,4,ARI 4,14,28,Daniel Jones pass incomplete short left,5.340,4.490
4,8:57,3,4,ARI 4,14,28,"Penalty on Evan Neal: False Start, 5 yards (accepted) (no play)",4.490,3.360
4,8:57,3,9,ARI 9,20,28,"Daniel Jones pass complete short right to Saquon Barkley for 9 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",3.360,7.000
4,8:51,,,ARI 15,20,28,"Penalty on Parris Campbell: False Start, 5 yards (accepted) (no play)",0.000,0.000
4,8:51,,,ARI 20,21,28,Graham Gano kicks extra point good,0.000,0.000
4,8:51,,,NYG 35,21,28,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,8:51,1,10,ARI 25,21,28,Joshua Dobbs pass incomplete short right intended for Trey McBride,0.610,0.060
4,8:42,2,10,ARI 25,21,28,James Conner left tackle for 1 yard (tackle by Bobby Okereke),0.060,-0.490
4,8:08,3,9,ARI 26,21,28,"Penalty on Hjalte Froholdt: False Start, 5 yards (accepted) (no play)",-0.490,-1.150
4,8:08,3,14,ARI 21,21,28,Joshua Dobbs pass complete short left to Emari Demercado for 3 yards (tackle by Isaiah Simmons),-1.150,-1.770
4,7:42,4,11,ARI 24,21,28,"Nolan Cooney punts 54 yards, returned by Eric Gray for 14 yards (tackle by Zach Pascal and Zeke Turner)",-1.770,-1.330
4,7:31,1,10,NYG 36,21,28,Daniel Jones scrambles right tackle for 15 yards,1.330,2.320
4,6:52,1,10,ARI 49,21,28,Daniel Jones pass complete deep left to Jalin Hyatt for 31 yards (tackle by Kei'Trel Clark),2.320,4.370
4,6:11,1,10,ARI 18,21,28,Daniel Jones pass complete short left to Parris Campbell for -1 yards (tackle by Krys Barnes),4.370,3.670
4,5:38,2,11,ARI 19,21,28,Daniel Jones pass complete short middle to Darren Waller for 13 yards (tackle by K'Von Wallace),3.670,5.830
4,4:57,1,6,ARI 6,21,28,"Daniel Jones scrambles right tackle for no gain, touchdown. Penalty on Evan Neal: Offensive Holding, 10 yards (accepted) (no play)",5.830,4.310
4,4:48,1,16,ARI 16,21,28,Saquon Barkley left tackle for 5 yards (tackle by Eric Banks),4.310,4.020
4,4:29,2,11,ARI 11,27,28,"Daniel Jones pass complete short middle to Isaiah Hodgins for 11 yards, touchdown",4.020,7.000
4,4:25,,,ARI 15,28,28,Graham Gano kicks extra point good,0.000,0.000
4,4:25,,,NYG 35,28,28,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,4:25,1,10,ARI 25,28,28,James Conner up the middle for 1 yard (tackle by Dexter Lawrence),0.610,0.200
4,3:53,2,9,ARI 26,28,28,James Conner up the middle for 3 yards (tackle by Dexter Lawrence and Bobby Okereke),0.200,-0.100
4,3:11,3,6,ARI 29,28,28,"Penalty on Elijah Wilkinson: False Start, 5 yards (accepted) (no play)",-0.100,-0.760
4,3:11,3,11,ARI 24,28,28,"Penalty on Elijah Wilkinson: False Start, 5 yards (accepted) (no play)",-0.760,-1.510
4,3:11,3,16,ARI 19,28,28,Joshua Dobbs pass complete short right to Zach Ertz for 5 yards (tackle by Bobby Okereke and Adoree' Jackson),-1.510,-1.770
4,2:47,4,11,ARI 24,28,28,"Nolan Cooney punts 48 yards, fair catch by Eric Gray at NYG-28",-1.770,-0.810
4,2:31,1,10,NYG 28,28,28,Daniel Jones pass complete short left to Saquon Barkley for 8 yards (tackle by Jalen Thompson),0.810,1.340
4,2:23,2,2,NYG 36,28,28,Saquon Barkley up the middle for 10 yards (tackle by Kyzir White),1.340,1.990
4,2:00,1,10,NYG 46,28,28,Daniel Jones pass complete deep right to Darius Slayton for 18 yards (tackle by Marco Wilson),1.990,3.180
4,1:20,1,10,ARI 36,28,28,Saquon Barkley up the middle for 16 yards (tackle by Krys Barnes),3.180,4.240
4,1:16,,,,,,Timeout #1 by Arizona Cardinals,,
4,1:16,1,10,ARI 20,28,28,Saquon Barkley right end for -3 yards (tackle by Jalen Thompson),4.240,3.290
4,1:12,,,,,,Timeout #2 by Arizona Cardinals,,
4,1:12,2,13,ARI 23,28,28,Saquon Barkley up the middle for 2 yards (tackle by Krys Barnes and Dante Stills),3.290,2.870
4,1:08,,,,,,Timeout #3 by Arizona Cardinals,,
4,1:08,3,11,ARI 21,28,28,Matt Breida up the middle for 5 yards (tackle by Kyzir White and Dante Stills),2.870,2.400
4,0:23,,,,,,Timeout #1 by New York Giants,,
4,0:23,4,6,ARI 16,31,28,Graham Gano 34 yard field goal good,2.400,3.000
4,0:19,,,NYG 35,31,28,"Graham Gano kicks off 64 yards, returned by Greg Dortch for 19 yards (tackle by Gary Brightwell)",0.000,0.280
4,0:15,1,10,ARI 20,31,28,Joshua Dobbs pass complete short right to Michael Wilson for 19 yards (tackle by Tre Hawkins),0.280,1.530
4,0:09,1,10,ARI 39,31,28,Joshua Dobbs pass incomplete deep right,1.530,0.990
4,0:02,,,,,,Timeout #2 by New York Giants,,
4,0:02,2,10,ARI 39,31,28,"Penalty on Joshua Dobbs: False Start, 5 yards (accepted) (no play)",0.990,0.310
4,0:02,,,,,,Timeout #3 by New York Giants,,
4,0:02,2,15,ARI 34,31,28,"Penalty on NYG: Defensive Delay of Game, 5 yards (accepted) (no play)",0.310,0.990
4,0:02,2,10,ARI 39,31,28,Joshua Dobbs pass incomplete deep right,0.990,0.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
