Quarter,Time,Down,ToGo,Location,NYG,CIN,Detail,EPB,EPA
1,5:34,,,NYG 35,3,14,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
1,5:34,1,10,CIN 20,3,14,Andy Dalton pass complete short right to Jermaine Gresham for 2 yards (tackle by Corey Webster),0.280,0.000
1,5:13,2,8,CIN 22,3,14,Andy Dalton pass complete short middle to Orson Charles for 19 yards (tackle by Michael Boley),0.000,1.660
1,4:34,1,10,CIN 41,3,14,BenJarvus Green-Ellis left guard for 4 yards (tackle by Jason Pierre-Paul),1.660,1.660
1,4:01,2,6,CIN 45,3,14,BenJarvus Green-Ellis up the middle for 4 yards (tackle by Chase Blackburn and Prince Amukamara),1.660,1.490
1,3:14,3,2,CIN 49,3,14,Mohamed Sanu up the middle for 3 yards (tackle by Chase Blackburn and Rocky Bernard),1.490,2.390
1,2:40,1,10,NYG 48,3,14,BenJarvus Green-Ellis up the middle for no gain (tackle by Osi Umenyiora and Antrel Rolle),2.390,1.850
1,2:00,2,10,NYG 48,3,14,Andy Dalton pass complete short right to A.J. Green for 10 yards (tackle by Antrel Rolle),1.850,3.050
1,1:32,1,10,NYG 38,3,14,Andy Dalton pass complete short middle to BenJarvus Green-Ellis for 2 yards (tackle by Michael Boley and Spencer Paysinger),3.050,2.780
1,0:44,2,8,NYG 36,3,14,Andy Dalton pass complete short right to Andrew Hawkins for 6 yards (tackle by Corey Webster),2.780,2.870
Quarter,Time,Down,ToGo,Location,NYG,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,NYG 30,3,14,Andy Dalton pass complete short left to Andrew Hawkins for -1 yards (tackle by Jayron Hosley and Prince Amukamara),2.870,1.380
2,14:25,4,3,NYG 31,3,14,Andy Dalton pass incomplete short right intended for Jermaine Gresham (defended by Stevie Brown),1.380,-1.000
2,14:19,1,10,NYG 31,3,14,David Wilson left guard for 1 yard (tackle by Manny Lawson),1.000,0.600
2,13:38,2,9,NYG 32,3,14,Eli Manning pass complete short middle to Hakeem Nicks for 5 yards (tackle by Rey Maualuga and Vontaze Burfict),0.600,0.560
2,12:54,3,4,NYG 37,3,14,Eli Manning up the middle for 1 yard (tackle by Carlos Dunlap),0.560,-0.850
2,12:17,4,3,NYG 38,3,14,"Steve Weatherford punts 41 yards, returned by Pacman Jones for 9 yards (tackle by Mathias Kiwanuka)",-0.850,-0.940
2,12:03,1,10,CIN 30,3,14,Cedric Peerman right tackle for 9 yards (tackle by Antrel Rolle and Stevie Brown),0.940,1.610
2,11:31,2,1,CIN 39,3,14,Cedric Peerman right guard for 2 yards (tackle by Osi Umenyiora),1.610,1.660
2,10:53,1,10,CIN 41,3,14,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Markus Kuhn),1.660,1.120
2,10:49,2,10,CIN 41,3,14,Cedric Peerman up the middle for 2 yards (tackle by Mathias Kiwanuka),1.120,0.700
2,10:12,3,8,CIN 43,3,14,Andy Dalton pass complete short left to Mohamed Sanu for 12 yards (tackle by Prince Amukamara),0.700,2.590
2,9:36,1,10,NYG 45,3,14,Brian Leonard left end for no gain (tackle by Prince Amukamara),2.590,2.040
2,8:59,2,10,NYG 45,3,14,Andy Dalton pass complete short right to A.J. Green for 9 yards (tackle by Osi Umenyiora),2.040,2.540
2,8:22,3,1,NYG 36,3,14,Brian Leonard left tackle for -1 yards (tackle by Michael Boley),2.540,0.000
2,7:44,,,,3,14,Timeout #2 by Cincinnati Bengals,0.000,0.790
2,7:44,4,2,NYG 37,3,14,Andy Dalton pass complete short middle to Mohamed Sanu for 15 yards (tackle by Prince Amukamara),0.790,4.110
2,7:18,1,10,NYG 22,3,14,Brian Leonard right guard for 2 yards (tackle by Chase Blackburn and Michael Boley),4.110,3.830
2,6:36,2,8,NYG 20,3,14,Andy Dalton pass complete short left to Cedric Peerman for 9 yards (tackle by Chase Blackburn and Chris L. Canty),3.830,4.840
2,5:56,1,10,NYG 11,3,14,Cedric Peerman left end for 4 yards (tackle by Spencer Paysinger and Jason Pierre-Paul),4.840,4.890
2,5:13,2,6,NYG 7,3,14,Andy Dalton pass complete short right to A.J. Green for -3 yards (tackle by Prince Amukamara),4.890,3.300
2,4:31,3,9,NYG 10,3,14,Andy Dalton pass incomplete short right intended for Andrew Hawkins,3.300,2.760
2,4:22,4,9,NYG 10,3,17,Mike Nugent 28 yard field goal good,2.760,3.000
2,4:17,,,CIN 35,3,17,"Mike Nugent kicks off 70 yards, returned by David Wilson for 23 yards (tackle by Emmanuel Lamur)",0.000,0.040
2,4:12,1,10,NYG 18,3,17,Eli Manning pass incomplete short left intended for Bear Pascoe,0.040,-0.490
2,4:07,2,10,NYG 18,3,17,Eli Manning pass complete short middle to Hakeem Nicks for 9 yards (tackle by Terence Newman),-0.490,-0.020
2,3:25,3,1,NYG 27,3,17,Eli Manning pass complete short right to Hakeem Nicks for 11 yards (tackle by Terence Newman),-0.020,1.470
2,2:46,1,10,NYG 38,3,17,Eli Manning pass complete short left to Victor Cruz for 8 yards (tackle by Pacman Jones),1.470,2.000
2,2:04,2,2,NYG 46,3,17,Eli Manning pass complete short left to Hakeem Nicks for 9 yards (tackle by Pacman Jones),2.000,2.590
2,1:59,1,10,CIN 45,3,17,Eli Manning pass complete short middle to Rueben Randle for 5 yards (tackle by Vontaze Burfict and Terence Newman),2.590,2.720
2,1:30,2,5,CIN 40,3,17,Eli Manning pass complete short right to Rueben Randle for -1 yards (tackle by Leon Hall),2.720,0.000
2,1:24,,,,3,17,Timeout #1 by New York Giants,0.000,1.880
2,1:24,3,6,CIN 41,3,17,Eli Manning pass incomplete deep left intended for Hakeem Nicks (defended by Pacman Jones),1.880,0.530
2,1:17,4,6,CIN 41,3,17,Eli Manning pass complete short right to Hakeem Nicks for 16 yards (tackle by Terence Newman),0.530,0.000
2,1:08,,,,3,17,Timeout #2 by New York Giants,0.000,3.910
2,1:08,1,10,CIN 25,3,17,Eli Manning pass complete short right to Martellus Bennett for 11 yards (tackle by Dan Skuta),3.910,4.650
2,0:48,1,10,CIN 14,3,17,Eli Manning sacked by Carlos Dunlap and Geno Atkins for -6 yards,4.650,0.000
2,0:41,,,,3,17,Timeout #3 by New York Giants,0.000,3.280
2,0:41,2,16,CIN 20,3,17,Eli Manning pass complete short right to Andre Brown for 7 yards (tackle by Vontaze Burfict),3.280,3.260
2,0:21,3,9,CIN 13,3,17,Eli Manning pass incomplete short middle intended for Martellus Bennett,3.260,2.570
2,0:15,4,9,CIN 13,6,17,Lawrence Tynes 31 yard field goal good,2.570,3.000
2,0:11,,,NYG 35,6,17,"Lawrence Tynes kicks off 61 yards, muffed catch by Brandon Tate, recovered by Cedric Peerman and returned for no gain",0.000,-0.380
2,0:09,1,10,CIN 10,6,17,Andy Dalton kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,NYG,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,6,17,"Mike Nugent kicks off 68 yards, returned by David Wilson for 29 yards (tackle by Leon Hall)",0.000,0.670
3,14:53,1,10,NYG 26,6,17,Andre Brown up the middle for no gain (tackle by Vontaze Burfict and Pat Sims),0.670,0.130
3,14:16,2,10,NYG 26,6,17,Eli Manning sacked by Robert Geathers and Domata Peko for -6 yards,0.130,-1.350
3,13:57,3,16,NYG 20,6,17,Eli Manning pass complete short right to Ahmad Bradshaw for 12 yards (tackle by Rey Maualuga and Chris Crocker),-1.350,-1.240
3,13:21,4,4,NYG 32,6,17,"Steve Weatherford punts 68 yards, touchback",-1.240,-0.280
3,13:11,1,10,CIN 20,6,17,"BenJarvus Green-Ellis right end for 5 yards (tackle by Stevie Brown). Penalty on Jermaine Gresham: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,12:52,1,20,CIN 10,6,17,Andy Dalton pass incomplete short left intended for Andrew Hawkins,-0.760,-1.510
3,12:48,2,20,CIN 10,6,17,Andy Dalton pass incomplete short left intended for Mohamed Sanu,-1.510,-2.590
3,12:43,3,20,CIN 10,6,17,Brian Leonard right guard for 3 yards (tackle by Mathias Kiwanuka and Jason Pierre-Paul),-2.590,-2.490
3,12:05,4,17,CIN 13,6,17,"Kevin Huber punts 54 yards, returned by Rueben Randle for 14 yards (tackle by Taylor Mays)",-2.490,-2.060
3,11:52,1,10,NYG 47,6,17,Eli Manning pass complete short middle to Hakeem Nicks for 13 yards (tackle by Chris Crocker),2.060,2.920
3,11:19,1,10,CIN 40,6,17,Ahmad Bradshaw right guard for 9 yards (tackle by Nate Clements and Chris Crocker),2.920,3.590
3,10:47,2,1,CIN 31,6,17,Ahmad Bradshaw right guard for 4 yards (tackle by Wallace Gilberry and Rey Maualuga),3.590,3.780
3,10:06,1,10,CIN 27,6,17,"Ahmad Bradshaw left end for 11 yards (tackle by Pacman Jones). Ahmad Bradshaw fumbles (forced by Pacman Jones), recovered by Carlos Dunlap at CIN-14 (tackle by Ahmad Bradshaw)",3.780,0.280
3,9:56,1,10,CIN 14,6,17,BenJarvus Green-Ellis left guard for 7 yards (tackle by Mathias Kiwanuka),-0.280,0.280
3,9:25,2,3,CIN 21,6,17,Andy Dalton pass complete short middle to Mohamed Sanu for 10 yards (tackle by Prince Amukamara),0.280,1.000
3,8:56,1,10,CIN 31,6,17,BenJarvus Green-Ellis right end for no gain (tackle by Chase Blackburn),1.000,0.460
3,8:19,2,10,CIN 31,6,17,Andy Dalton pass complete short middle to BenJarvus Green-Ellis for 6 yards (tackle by Spencer Paysinger and Michael Boley),0.460,0.560
3,7:36,3,4,CIN 37,6,17,Andy Dalton pass incomplete deep right intended for Brandon Tate,0.560,-0.910
3,7:30,4,4,CIN 37,6,17,"Kevin Huber punts 45 yards, fair catch by Rueben Randle",-0.910,-0.040
3,7:22,1,10,NYG 18,6,17,Eli Manning pass incomplete short middle intended for Ramses Barden is intercepted by Pat Sims at NYG-15 and returned for 3 yards,0.040,-4.780
3,7:12,1,10,NYG 12,6,17,BenJarvus Green-Ellis left guard for 2 yards (tackle by Spencer Paysinger and Osi Umenyiora),4.780,4.450
3,6:49,2,8,NYG 10,6,17,Andy Dalton pass incomplete short left intended for Mohamed Sanu,4.450,3.480
3,6:42,3,8,NYG 10,6,23,"Andy Dalton pass complete short middle to Jermaine Gresham for 10 yards, touchdown",3.480,7.000
3,6:42,,,NYG 2,6,24,Mike Nugent kicks extra point good,0.000,0.000
3,6:37,,,CIN 35,6,24,"Mike Nugent kicks off 63 yards, returned by David Wilson for 16 yards (tackle by Jeromy Miles)",0.000,0.040
3,6:29,1,10,NYG 18,6,24,Ahmad Bradshaw left guard for 5 yards (tackle by Pat Sims and Vontaze Burfict),0.040,0.280
3,5:57,2,5,NYG 23,6,24,Eli Manning pass incomplete short middle intended for Ahmad Bradshaw (defended by Domata Peko),0.280,-0.530
3,5:51,3,5,NYG 23,6,24,Eli Manning pass incomplete short left intended for Martellus Bennett is intercepted by Nate Clements at NYG-37 and returned for 21 yards,-0.530,-4.510
3,5:41,1,10,NYG 16,6,24,BenJarvus Green-Ellis left guard for 2 yards (tackle by Chase Blackburn),4.510,4.210
3,5:10,2,8,NYG 14,6,24,BenJarvus Green-Ellis left guard for 4 yards (tackle by Antrel Rolle),4.210,0.000
3,4:26,,,,6,24,Timeout #1 by Cincinnati Bengals,0.000,4.170
3,4:26,3,4,NYG 10,6,30,"Andy Dalton pass complete short middle to Mohamed Sanu for 10 yards, touchdown",4.170,7.000
3,4:26,,,NYG 2,6,31,Mike Nugent kicks extra point good,0.000,0.000
3,4:20,,,CIN 35,6,31,"Mike Nugent kicks off 61 yards, returned by David Wilson for 18 yards (tackle by Terence Newman)",0.000,0.410
3,4:13,1,10,NYG 22,6,31,Eli Manning pass incomplete short right intended for Martellus Bennett,0.410,-0.130
3,4:07,2,10,NYG 22,6,31,Ahmad Bradshaw right guard for 8 yards (tackle by Rey Maualuga and Michael Johnson),-0.130,0.230
3,3:26,3,2,NYG 30,6,31,Ahmad Bradshaw right end for 6 yards (tackle by Michael Johnson and Chris Crocker),0.230,1.330
3,2:48,1,10,NYG 36,6,31,Eli Manning pass complete short middle to Ahmad Bradshaw for 1 yard (tackle by Rey Maualuga),1.330,0.930
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
3,2:34,2,9,NYG 37,6,31,Eli Manning pass complete short right to Hakeem Nicks for -1 yards (tackle by Terence Newman),0.930,0.100
3,1:58,3,10,NYG 36,6,31,"Eli Manning pass complete short left to Ramses Barden for 3 yards (tackle by Pacman Jones). Penalty on William Beatty: Offensive Holding (Offsetting), Penalty on Vontaze Burfict: Defensive Holding (Offsetting) (no play)",0.100,0.100
3,1:28,3,10,NYG 36,6,31,Eli Manning pass complete short left to Victor Cruz for 10 yards (tackle by Leon Hall),0.100,1.990
3,0:54,1,10,NYG 46,6,31,Eli Manning pass incomplete short right intended for Martellus Bennett,1.990,1.450
3,0:49,2,10,NYG 46,6,31,Eli Manning pass complete short middle to Martellus Bennett for 4 yards (tackle by Rey Maualuga),1.450,1.290
3,0:08,3,6,,6,31,Eli Manning pass complete short left to Ramses Barden for 12 yards,1.290,3.050
Quarter,Time,Down,ToGo,Location,NYG,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 38,6,31,Eli Manning pass incomplete deep middle intended for Victor Cruz,3.050,0.000
4,14:54,,,,6,31,Timeout #1 by New York Giants,0.000,2.510
4,14:54,2,10,CIN 38,6,31,Eli Manning pass complete short middle to Andre Brown for 6 yards (tackle by Rey Maualuga and Vontaze Burfict),2.510,2.610
4,14:24,3,4,CIN 32,6,31,Eli Manning pass incomplete short left intended for Martellus Bennett,2.610,1.270
4,14:19,4,4,CIN 32,6,31,Eli Manning pass incomplete short right intended for Hakeem Nicks,1.270,-1.070
4,14:14,1,10,CIN 32,6,31,Cedric Peerman left tackle for 5 yards (tackle by Chase Blackburn and Antrel Rolle),1.070,1.200
4,13:40,2,5,CIN 37,6,31,Cedric Peerman left guard for -1 yards (tackle by Jason Pierre-Paul),1.200,0.370
4,13:03,3,6,CIN 36,6,31,Andy Dalton pass complete short middle to A.J. Green for -1 yards (tackle by Jayron Hosley),0.370,-1.040
4,12:20,4,7,CIN 35,6,31,"Kevin Huber punts 57 yards, returned by Rueben Randle for 14 yards (tackle by Clark Harris)",-1.040,-0.410
4,12:07,1,10,NYG 22,6,31,Eli Manning pass complete short right to Andre Brown for 6 yards (tackle by Emmanuel Lamur),0.410,0.680
4,11:45,2,4,NYG 28,6,31,"Eli Manning pass incomplete short left intended for Travis Beckum. Penalty on Rey Maualuga: Illegal Contact, 5 yards (no play)",0.680,1.140
4,11:39,1,10,NYG 33,6,31,Andre Brown left tackle for 17 yards (tackle by Nate Clements),1.140,2.260
4,11:13,1,10,,6,31,Eli Manning pass incomplete short middle intended for Travis Beckum (defended by Rey Maualuga),2.260,1.710
4,11:07,2,10,,6,31,"Eli Manning pass incomplete short left intended for Andre Brown. Penalty on Geno Atkins: Defensive Holding, 5 yards (no play)",1.710,2.590
4,11:02,1,10,CIN 45,6,31,Eli Manning pass incomplete deep right intended for Hakeem Nicks,2.590,2.040
4,10:55,2,10,CIN 45,6,31,"Eli Manning sacked by Wallace Gilberry for -6 yards. Eli Manning fumbles (forced by Wallace Gilberry), recovered by Wallace Gilberry at NYG-47 and returned for 6 yards (tackle by Chris Snee)",2.040,-2.850
4,10:45,1,10,NYG 41,6,31,BenJarvus Green-Ellis left tackle for 1 yard (tackle by Michael Boley),2.850,2.440
4,10:04,2,9,NYG 40,6,31,BenJarvus Green-Ellis right end for 3 yards (tackle by Prince Amukamara),2.440,2.150
4,9:26,3,6,NYG 37,6,31,Andy Dalton pass complete short right to Jermaine Gresham for 3 yards (tackle by Jason Pierre-Paul),2.150,1.090
4,8:37,4,3,NYG 34,6,31,"Penalty on CIN: Delay of Game, 5 yards (no play)",1.090,0.660
4,8:19,4,8,NYG 39,6,31,Kevin Huber punts 37 yards,0.660,0.380
4,8:08,1,10,NYG 2,6,31,Eli Manning pass complete short right to Ramses Barden for 10 yards (tackle by Terence Newman),-0.380,-0.350
4,7:35,1,10,NYG 12,6,31,Andre Brown left guard for 9 yards (tackle by Vontaze Burfict),-0.350,0.420
4,7:09,2,1,NYG 21,6,31,Andre Brown left guard for 6 yards (tackle by Rey Maualuga and Michael Johnson),0.420,0.740
4,6:38,1,10,NYG 27,6,31,Eli Manning pass incomplete short left intended for Hakeem Nicks (defended by Pacman Jones),0.740,0.200
4,6:32,2,10,NYG 27,6,31,Eli Manning pass complete short right to Andre Brown for 5 yards (tackle by Terence Newman),0.200,0.170
4,6:08,3,5,NYG 32,6,31,Eli Manning pass complete short left to Victor Cruz for 8 yards (tackle by Leon Hall),0.170,1.600
4,5:33,1,10,NYG 40,6,31,Eli Manning pass complete short middle to Martellus Bennett for 9 yards (tackle by Rey Maualuga and Emmanuel Lamur),1.600,2.270
4,4:58,2,1,NYG 49,6,31,Andre Brown left guard for 2 yards (tackle by Rey Maualuga),2.270,2.320
4,4:18,1,10,CIN 49,6,31,Andre Brown up the middle for 29 yards (tackle by Dan Skuta),2.320,4.240
4,4:09,1,10,CIN 20,6,31,Henry Hynoski right tackle for 5 yards (tackle by Robert Geathers and Domata Peko),4.240,4.450
4,3:40,2,5,CIN 15,6,31,Eli Manning pass complete short middle to Martellus Bennett for 13 yards (tackle by Emmanuel Lamur),4.450,6.740
4,2:56,1,2,CIN 2,6,31,Eli Manning pass incomplete short right intended for Andre Brown,6.740,5.720
4,2:50,2,2,CIN 2,12,31,"Andre Brown left guard for 2 yards, touchdown",5.720,7.000
4,2:50,,,CIN 2,13,31,Lawrence Tynes kicks extra point good,0.000,0.000
4,2:46,,,NYG 35,13,31,"Lawrence Tynes kicks off 68 yards, touchback",0.000,0.280
4,2:46,1,10,CIN 20,13,31,BenJarvus Green-Ellis left guard for 6 yards (tackle by Stevie Brown and Justin Tuck),0.280,0.540
4,2:00,2,4,CIN 26,13,31,BenJarvus Green-Ellis left guard for 3 yards (tackle by Linval Joseph),0.540,0.230
4,1:17,3,1,CIN 29,13,31,BenJarvus Green-Ellis right guard for 5 yards (tackle by Corey Webster and Michael Boley),0.230,1.200
4,0:35,1,10,CIN 34,13,31,Andy Dalton kneels for -1 yards,1.200,0.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
