Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
3,10:09,1,10,NYJ 41,3,6,Matt Forte middle for -1 yards (tackle by Ethan Westbrooks),1.660,0.990
3,9:27,2,11,NYJ 40,3,6,Bryce Petty pass complete short right to Charone Peake for 4 yards (tackle by Trumaine Johnson),0.990,0.830
3,8:49,3,7,NYJ 44,3,6,Bryce Petty pass incomplete short right intended for Brandon Marshall (defended by Robert Quinn),0.830,-0.460
3,8:45,4,7,NYJ 44,3,6,Lac Edwards punts 31 yards,-0.460,-0.610
3,8:35,1,10,LAR 25,3,6,Todd Gurley middle for 13 yards (tackle by Buster Skrine),0.610,1.470
3,8:11,1,10,LAR 38,3,6,Todd Gurley middle for 5 yards (tackle by Jordan Jenkins),1.470,1.600
3,7:35,2,5,LAR 43,3,6,Case Keenum middle for 7 yards (tackle by David Harris),1.600,2.260
3,6:55,1,10,,3,6,Case Keenum pass incomplete short left intended for Tavon Austin (defended by Lorenzo Mauldin),2.260,1.710
3,6:49,2,10,,3,6,Case Keenum middle for 7 yards (tackle by Lorenzo Mauldin),1.710,1.950
3,6:08,3,3,NYJ 43,3,6,Benny Cunningham right end for 4 yards (tackle by David Harris),1.950,2.980
3,5:28,1,10,NYJ 39,3,6,Todd Gurley left tackle for 6 yards (tackle by Darryl Roberts),2.980,3.250
3,4:49,2,4,NYJ 33,3,6,Todd Gurley right tackle for 1 yard (tackle by Muhammad Wilkerson),3.250,2.680
3,4:08,3,3,NYJ 32,3,6,Case Keenum pass complete short right to Benny Cunningham for 6 yards (tackle by David Harris),2.680,3.840
3,3:29,1,10,NYJ 26,3,6,Case Keenum pass complete short left to Tavon Austin for -1 yards (tackle by Sheldon Richardson),3.840,3.160
3,2:51,2,11,NYJ 27,3,6,Case Keenum pass complete short right to Tavon Austin for 20 yards (tackle by Marcus Gilchrist),3.160,0.000
3,2:21,,,,3,6,Timeout #1 by New York Jets,0.000,-5.600
3,2:21,1,7,NYJ 7,3,6,Todd Gurley middle for -2 yards (tackle by Deon Simon),5.600,4.380
3,1:42,2,9,NYJ 9,3,6,"Case Keenum pass complete short right to Todd Gurley for -1 yards (tackle by Marcus Gilchrist). Penalty on Brian Quick: Offensive Pass Interference, 10 yards (no play)",4.380,3.070
3,1:15,2,19,NYJ 19,3,6,Case Keenum sacked by Steve McLendon for -1 yards,3.070,2.340
3,0:29,3,20,NYJ 20,3,6,Case Keenum pass incomplete deep middle intended for Tavon Austin,2.340,2.120
3,0:24,4,20,NYJ 20,6,6,Greg Zuerlein 38 yard field goal good,2.120,3.000
3,0:20,,,LAR 35,6,6,"Greg Zuerlein kicks off 54 yards, returned by C.J. Spiller for 16 yards (tackle by T.J. McDonald)",0.000,-0.740
3,0:15,1,10,NYJ 27,6,6,Bryce Petty pass complete short left to Bilal Powell for 8 yards (tackle by Alec Ogletree and Lamarcus Joyner),0.740,1.280
Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,NYJ 35,6,6,"Matt Forte middle for 4 yards (tackle by Mark Barron and Alec Ogletree). Penalty on Dominique Easley: Unnecessary Roughness, 15 yards",1.280,2.520
4,14:37,1,10,LAR 46,6,6,Bryce Petty pass complete short middle to Matt Forte for 7 yards (tackle by Josh Forrest and Mark Barron),2.520,2.920
4,13:56,2,3,LAR 39,6,6,Matt Forte right tackle for -1 yards (tackle by Dominique Easley),2.920,2.080
4,13:14,3,4,LAR 40,6,6,Bryce Petty pass incomplete short right intended for Robby Anderson (defended by Troy Hill),2.080,0.590
4,13:11,4,4,LAR 40,6,6,"Lac Edwards punts 32 yards, fair catch by Tavon Austin",0.590,0.380
4,13:04,1,10,LAR 8,6,6,Case Keenum pass incomplete short left intended for Kenny Britt,-0.380,-0.780
4,13:02,2,10,LAR 8,6,6,Todd Gurley right end for 1 yard (tackle by Muhammad Wilkerson and Leonard Williams),-0.780,-1.300
4,12:25,3,9,LAR 9,6,6,Case Keenum pass complete short left to Kenny Britt for 8 yards (tackle by Darrelle Revis),-1.300,-2.320
4,11:56,4,1,LAR 17,6,6,"Johnny Hekker punts 78 yards, returned by Jalin Marshall for 10 yards (tackle by Cory Littleton)",-2.320,0.220
4,11:43,1,10,NYJ 15,6,6,Matt Forte left tackle for 2 yards (tackle by E.J. Gaines and Mark Barron),-0.220,-0.440
4,11:09,2,8,NYJ 17,6,6,Bryce Petty pass incomplete short left intended for Quincy Enunwa,-0.440,-1.120
4,11:03,3,8,NYJ 17,6,6,Bryce Petty pass incomplete short left intended for Quincy Enunwa (defended by Alec Ogletree),-1.120,-2.320
4,11:03,4,8,NYJ 17,6,6,"Lac Edwards punts 35 yards, fair catch by Pharoh Cooper",-2.320,-2.130
4,10:52,1,10,LAR 48,6,6,Todd Gurley middle for 9 yards (tackle by Calvin Pryor),2.130,2.800
4,10:14,2,1,NYJ 43,6,6,Benny Cunningham middle for 2 yards (tackle by Muhammad Wilkerson and Jordan Jenkins),2.800,2.850
4,9:31,1,10,NYJ 41,6,6,Case Keenum pass incomplete deep left intended for Kenny Britt,2.850,2.310
4,9:23,2,10,NYJ 41,6,6,Todd Gurley middle for 11 yards (tackle by Julian Stanford and Calvin Pryor),2.310,3.580
4,8:45,1,10,NYJ 30,6,6,Todd Gurley middle for 4 yards (tackle by Steve McLendon),3.580,3.570
4,8:04,2,6,NYJ 26,6,6,Case Keenum pass complete to Pharoh Cooper for 6 yards (tackle by Buster Skrine). Penalty on Darrelle Revis: Illegal Use of Hands (Declined),3.570,4.240
4,7:45,1,10,NYJ 20,6,6,Todd Gurley middle for 4 yards (tackle by Leonard Williams),4.240,4.280
4,7:05,2,6,NYJ 16,6,6,Case Keenum pass incomplete short left intended for Tavon Austin (defended by Buster Skrine),4.280,3.520
4,7:01,3,6,NYJ 16,6,6,Case Keenum pass incomplete short left intended for Benny Cunningham (defended by Darron Lee),3.520,2.400
4,6:52,4,6,NYJ 16,9,6,Greg Zuerlein 34 yard field goal good,2.400,3.000
4,6:52,,,LAR 35,9,6,"Greg Zuerlein kicks off 63 yards, returned by C.J. Spiller for 23 yards (tackle by Marqui Christian)",0.000,-0.610
4,6:46,1,10,NYJ 25,9,6,Bryce Petty pass complete short left to Bilal Powell for 10 yards (tackle by Alec Ogletree),0.610,1.270
4,6:11,1,10,NYJ 35,9,6,Bryce Petty pass complete short right to Bilal Powell for 6 yards (tackle by Mark Barron),1.270,1.530
4,5:45,2,4,NYJ 41,9,6,Matt Forte middle for 7 yards (tackle by Maurice Alexander),1.530,2.130
4,5:04,1,10,NYJ 48,9,6,Bryce Petty pass incomplete short right intended for C.J. Spiller,2.130,1.580
4,5:00,2,10,NYJ 48,9,6,Bryce Petty pass incomplete short left intended for Quincy Enunwa (defended by Robert Quinn),1.580,0.890
4,4:57,3,10,NYJ 48,9,6,Bryce Petty pass incomplete short middle intended for Robby Anderson (defended by Dominique Easley),0.890,-0.190
4,4:52,4,10,NYJ 48,9,6,"Lac Edwards punts 32 yards, fair catch by Pharoh Cooper",-0.190,-0.280
4,4:46,1,10,LAR 20,9,6,Todd Gurley left guard for 2 yards (tackle by Muhammad Wilkerson),0.280,0.000
4,4:10,2,8,LAR 22,9,6,Case Keenum pass complete short left to Todd Gurley for 8 yards (tackle by Calvin Pryor),0.000,0.940
4,4:05,1,10,LAR 30,9,6,"Todd Gurley middle for 21 yards (tackle by Marcus Gilchrist and Sheldon Richardson). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",0.940,0.280
4,3:58,1,20,LAR 20,9,6,Benny Cunningham right end for 6 yards (tackle by David Harris),0.280,0.000
4,3:51,,,,9,6,Timeout #2 by New York Jets,0.000,0.150
4,3:50,2,14,LAR 26,9,6,Case Keenum pass complete short middle to Benny Cunningham for -3 yards (tackle by David Harris),-0.150,0.000
4,3:45,,,,9,6,Timeout #3 by New York Jets,0.000,1.220
4,3:45,3,17,LAR 23,9,6,Benny Cunningham middle for 5 yards (tackle by Sheldon Richardson and Rontez Miles),-1.220,0.000
4,3:01,,,,9,6,Timeout #1 by Los Angeles Rams,0.000,1.500
4,3:01,4,12,LAR 28,9,6,"Johnny Hekker punts 49 yards, fair catch by Jalin Marshall",-1.500,-0.480
4,2:55,1,10,NYJ 23,9,6,Bryce Petty pass complete short right to Charone Peake for 5 yards (tackle by E.J. Gaines),0.480,0.610
4,2:34,2,5,NYJ 28,9,6,Bryce Petty pass complete short right to Bilal Powell for 11 yards (tackle by Maurice Alexander),0.610,1.530
4,2:06,1,10,NYJ 39,9,6,Bryce Petty pass complete short right to Bilal Powell for 3 yards (tackle by Maurice Alexander),1.530,1.390
4,2:00,2,7,NYJ 42,9,6,Bryce Petty pass incomplete short middle intended for Quincy Enunwa is intercepted by Alec Ogletree at NYJ-44 and returned for 7 yards,1.390,-3.120
4,1:52,1,10,NYJ 37,9,6,Case Keenum kneels for -1 yards,3.120,2.440
4,1:10,2,11,NYJ 38,9,6,Case Keenum kneels for -1 yards,2.440,1.620
4,0:36,3,12,NYJ 39,9,6,Case Keenum kneels for -1 yards,1.620,0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
