Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
2,7:20,2,6,DAL 24,7,14,Tony Romo pass complete short right to Jason Witten for 7 yards (tackle by Bryan Kehl),0.270,1.000
2,6:44,1,10,DAL 31,7,14,DeMarco Murray right tackle for -4 yards (tackle by Chris Chamberlain),1.000,-0.080
2,6:05,2,14,DAL 27,7,14,DeMarco Murray left end for 9 yards (tackle by Justin King),-0.080,0.430
2,5:23,3,5,DAL 36,7,14,Tony Romo pass incomplete short left intended for Laurent Robinson,0.430,-0.980
2,5:18,4,5,DAL 36,7,14,"Mat McBriar punts 60 yards, returned by Austin Pettis for 9 yards (tackle by Alan Ball)",-0.980,0.320
2,5:04,1,10,STL 13,7,14,A.J. Feeley pass complete short right to Michael Hoomanawanui for 1 yard (tackle by Kenyon Coleman and Bradie James),-0.320,-0.680
2,4:25,2,9,STL 14,7,14,Cadillac Williams right end for 1 yard (tackle by Keith Brooking),-0.680,-1.180
2,3:43,3,8,STL 15,7,14,A.J. Feeley pass incomplete deep middle intended for Brandon Lloyd is intercepted by Mike Jenkins at STL-33 and returned for 3 yards (tackle by Brandon Lloyd),-1.180,-3.580
2,3:34,1,10,STL 30,7,14,DeMarco Murray right end for 6 yards (tackle by Darian Stewart),3.580,3.840
2,2:59,2,4,STL 24,7,14,DeMarco Murray up the middle for 4 yards (tackle by Quintin Mikell),3.840,4.240
2,2:24,1,10,STL 20,7,14,Tony Romo pass complete short left to Miles Austin for 9 yards (tackle by Quintin Mikell),4.240,5.260
2,2:00,2,1,STL 11,7,14,DeMarco Murray up the middle for 2 yards (tackle by James Laurinaitis),5.260,5.140
2,1:18,1,9,STL 9,7,14,DeMarco Murray right end for -3 yards (tackle by Bryan Kehl),5.140,3.860
2,0:33,2,12,STL 12,7,14,Tony Romo pass incomplete short middle intended for Dez Bryant,3.860,3.100
2,0:25,3,12,STL 12,7,14,Tony Romo pass incomplete short left intended for Dez Bryant (defended by Al Harris),3.100,2.630
2,0:20,4,12,STL 12,7,17,Dan Bailey 30 yard field goal good,2.630,3.000
2,,,,DAL 35,7,17,"Dan Bailey kicks off 62 yards, returned by Quinn Porter for 20 yards (tackle by John Phillips)",0.000,0.480
2,0:15,1,10,STL 23,7,17,A.J. Feeley kneels for -1 yards,0.480,-0.200
Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,7,17,"Josh Brown kicks off 74 yards, touchback",0.000,0.280
3,15:00,1,10,DAL 20,7,17,DeMarco Murray right end for 6 yards (tackle by James Laurinaitis and Josh Gordy),0.280,0.540
3,14:18,2,4,DAL 26,7,17,DeMarco Murray left end for 19 yards (tackle by Darian Stewart),0.540,1.930
3,13:35,1,10,DAL 45,7,17,"Tashard Choice left tackle for 1 yard (tackle by Quintin Mikell). Tashard Choice fumbles (forced by Quintin Mikell), recovered by Al Harris at DAL-47 and returned for 3 yards (tackle by Martellus Bennett)",1.930,-2.650
3,13:21,1,10,DAL 44,7,17,A.J. Feeley pass incomplete deep left intended for Brandon Lloyd (defended by Mike Jenkins),2.650,2.110
3,13:13,2,10,DAL 44,7,17,Steven Jackson up the middle for no gain (tackle by Sean Lee),2.110,1.420
3,12:37,3,10,DAL 44,7,17,A.J. Feeley pass incomplete short left intended for Steven Jackson,1.420,0.330
3,12:31,4,10,DAL 44,7,17,"Donnie Jones punts 32 yards, fair catch by Dez Bryant",0.330,0.350
3,12:22,1,10,DAL 12,7,17,Tony Romo pass incomplete short right intended for DeMarco Murray,-0.350,-0.780
3,12:17,2,10,DAL 12,7,17,Tony Romo pass incomplete short left intended for Miles Austin,-0.780,-1.420
3,12:12,3,10,DAL 12,7,17,Tony Romo pass complete short left to Dez Bryant for 13 yards (tackle by Craig Dahl),-1.420,0.610
3,11:25,1,10,DAL 25,7,17,DeMarco Murray up the middle for 3 yards (tackle by Al Harris),0.610,0.470
3,10:45,2,7,DAL 28,7,17,Tony Romo pass complete short left to Jason Witten for 5 yards (tackle by Quintin Mikell and Al Harris),0.470,0.430
3,10:04,3,2,DAL 33,7,17,"Tony Romo pass incomplete short left intended for Laurent Robinson. Penalty on STL: Defensive 12 On-field, 5 yards (no play)",0.430,1.470
3,9:59,1,10,DAL 38,7,17,DeMarco Murray left tackle for no gain (tackle by James Hall),1.470,0.920
3,9:26,2,10,DAL 38,7,17,Tony Romo pass complete short right to Dez Bryant for 13 yards (tackle by Josh Gordy and Chris Long),0.920,2.320
3,8:48,1,10,STL 49,7,17,Tony Romo pass complete short middle to Miles Austin for 7 yards (tackle by Quintin Mikell),2.320,2.730
3,8:02,2,3,STL 42,7,17,DeMarco Murray left tackle for 9 yards (tackle by Chris Chamberlain),2.730,3.380
3,7:12,,,,7,17,Timeout #1 by Dallas Cowboys,0.000,3.380
3,7:12,1,10,STL 33,7,17,Tony Romo sacked by Gary Gibson for -4 yards,3.380,2.300
3,6:33,2,14,STL 37,7,17,DeMarco Murray right end for 4 yards (tackle by Josh Gordy),2.300,2.150
3,5:44,3,10,STL 33,7,17,Tony Romo pass incomplete short right intended for Jason Witten,2.150,1.150
3,5:37,4,10,STL 33,7,20,Dan Bailey 51 yard field goal good,1.150,3.000
3,,,,DAL 35,7,20,Dan Bailey kicks off 62 yards,0.000,1.600
3,5:30,1,10,STL 40,7,20,Steven Jackson up the middle for -1 yards (tackle by Abram Elam),1.600,0.920
3,4:55,2,11,STL 39,7,20,Steven Jackson up the middle for 2 yards,0.920,0.500
3,4:15,3,9,STL 41,7,20,Steven Jackson right end for no gain (tackle by Marcus R. Spears),0.500,-0.650
3,3:39,4,9,STL 41,7,20,"Donnie Jones punts 45 yards, fair catch by Dez Bryant",-0.650,0.280
3,3:31,1,10,DAL 14,7,20,DeMarco Murray left end for 19 yards (tackle by Quintin Mikell),-0.280,1.140
3,2:52,1,10,DAL 33,7,20,DeMarco Murray up the middle for 5 yards (tackle by Darian Stewart),1.140,1.270
3,2:18,2,5,DAL 38,7,20,DeMarco Murray right tackle for 6 yards (tackle by Josh Gordy),1.270,1.860
3,1:32,1,10,DAL 44,7,20,DeMarco Murray left tackle for 4 yards (tackle by James Laurinaitis),1.860,1.860
3,0:48,2,6,DAL 48,7,20,Tony Romo pass incomplete deep right intended for Miles Austin,1.860,1.160
3,0:40,3,6,DAL 48,7,20,Tony Romo pass incomplete short left intended for Miles Austin (defended by Al Harris),1.160,-0.190
3,0:36,4,6,DAL 48,7,20,Mat McBriar punts 49 yards,-0.190,0.380
3,0:26,1,10,STL 3,7,20,"Penalty on Rodger Saffold: False Start, 1 yards (no play)",-0.380,-0.420
3,0:26,1,11,STL 2,7,20,A.J. Feeley pass complete short middle to Steven Jackson for 3 yards (tackle by Bradie James),-0.420,-0.630
Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,STL 5,7,20,A.J. Feeley pass complete short left to Michael Hoomanawanui for 27 yards (tackle by Mike Jenkins),-0.630,1.070
4,14:24,1,10,STL 32,7,20,A.J. Feeley pass incomplete short right intended for Danario Alexander,1.070,0.530
4,14:17,2,10,STL 32,7,20,A.J. Feeley pass incomplete short middle intended for Danario Alexander,0.530,-0.160
4,14:12,3,10,STL 32,7,20,A.J. Feeley pass incomplete deep right intended for Brandon Lloyd,-0.160,-1.240
4,14:07,4,10,STL 32,7,20,"Donnie Jones punts 53 yards, returned by Dez Bryant for 7 yards (tackle by Brit Miller)",-1.240,-0.410
4,13:53,1,10,DAL 22,7,20,DeMarco Murray right tackle for 5 yards (tackle by Quintin Mikell),0.410,0.540
4,13:11,2,5,DAL 27,7,20,DeMarco Murray up the middle for 43 yards (tackle by Chris Chamberlain),0.540,3.580
4,12:12,1,10,STL 30,7,20,Phillip Tanner right end for 2 yards (tackle by Darian Stewart),3.580,3.300
4,11:33,2,8,STL 28,7,20,Tony Romo pass complete short left to Dez Bryant for 10 yards (tackle by Al Harris),3.300,4.370
4,10:45,1,10,STL 18,7,20,"Penalty on Martellus Bennett: False Start, 5 yards (no play)",4.370,4.040
4,10:19,1,15,STL 23,7,20,Phillip Tanner up the middle for 17 yards (tackle by Bryan Kehl),4.040,5.830
4,9:28,1,6,STL 6,7,26,"Phillip Tanner right tackle for 6 yards, touchdown",5.830,7.000
4,,,,STL 2,7,27,Dan Bailey kicks extra point good,0.000,0.000
4,,,,DAL 35,7,27,"Dan Bailey kicks off 72 yards, returned by Quinn Porter for 20 yards (tackle by Alan Ball)",0.000,-0.320
4,9:19,1,10,STL 13,7,27,A.J. Feeley pass complete short right to Greg Salas for 21 yards (tackle by Abram Elam),-0.320,1.200
4,8:51,1,10,STL 34,7,27,Cadillac Williams left end for no gain (tackle by Anthony Spencer),1.200,0.660
4,8:17,2,10,STL 34,7,27,A.J. Feeley pass complete short right to Danario Alexander for 6 yards (tackle by Frank Walker),0.660,0.760
4,7:35,3,4,STL 40,7,27,A.J. Feeley pass incomplete short middle intended for Danario Alexander,0.760,-0.720
4,7:31,4,4,STL 40,7,27,"A.J. Feeley sacked by DeMarcus Ware for -6 yards. A.J. Feeley fumbles (forced by DeMarcus Ware), recovered by Jason Brown at STL-39",-0.720,-3.310
4,7:24,1,10,STL 34,7,27,DeMarco Murray left end for 8 yards (tackle by James Hall),3.310,3.850
4,6:37,2,2,STL 26,7,27,DeMarco Murray right end for 6 yards (tackle by Darian Stewart),3.850,4.240
4,5:48,1,10,STL 20,7,27,DeMarco Murray right guard for 4 yards (tackle by Quintin Mikell and Fred Robbins),4.240,4.280
4,5:01,2,6,STL 16,7,27,Phillip Tanner right tackle for -4 yards (tackle by Fred Robbins),4.280,3.010
4,4:13,3,10,STL 20,7,33,"Tony Romo pass complete deep right to Dez Bryant for 20 yards, touchdown",3.010,7.000
4,,,,STL 2,7,34,Dan Bailey kicks extra point good,0.000,0.000
4,,,,DAL 35,7,34,"Dan Bailey kicks off 59 yards, returned by Quinn Porter for 29 yards (tackle by Victor Butler)",0.000,1.270
4,4:00,1,10,STL 35,7,34,A.J. Feeley pass complete short left to Brandon Lloyd for 10 yards (tackle by Mike Jenkins),1.270,1.930
4,3:20,1,10,STL 45,7,34,A.J. Feeley pass incomplete short left intended for Lance Kendricks (defended by DeMarcus Ware),1.930,1.380
4,3:15,2,10,STL 45,7,34,A.J. Feeley pass complete short left to Steven Jackson for 8 yards (tackle by Keith Brooking),1.380,1.750
4,2:30,3,2,DAL 47,7,34,A.J. Feeley pass complete short middle to Brandon Lloyd for 34 yards (tackle by Frank Walker),1.750,4.710
4,2:21,1,10,DAL 13,7,34,A.J. Feeley pass complete short right to Steven Jackson for -4 yards (tackle by Sean Lee),4.710,3.500
4,2:15,2,14,DAL 17,7,34,Steven Jackson left tackle for 15 yards (tackle by Gerald Sensabaugh),3.500,6.740
4,2:00,1,2,DAL 2,7,34,A.J. Feeley pass incomplete (defended by Kenyon Coleman),6.740,5.720
4,1:54,2,2,DAL 2,7,34,A.J. Feeley pass incomplete short left intended for Brandon Lloyd (defended by Mike Jenkins),5.720,4.950
4,1:49,3,2,DAL 2,7,34,A.J. Feeley pass incomplete short middle intended for Brandon Lloyd,4.950,3.250
4,1:49,4,2,DAL 2,7,34,"Penalty on Jay Ratliff: Encroachment, 1 yards (no play)",3.250,3.550
4,1:44,4,1,DAL 1,7,34,Steven Jackson right end for -5 yards (tackle by Abram Elam),3.550,0.380
4,1:38,1,10,DAL 6,7,34,Phillip Tanner up the middle for 9 yards (tackle by Quintin Mikell and James Laurinaitis),-0.380,-0.070
4,0:54,2,1,DAL 15,7,34,Phillip Tanner up the middle for 4 yards (tackle by Chris Chamberlain and James Laurinaitis),-0.070,0.150
4,0:54,1,10,DAL 19,7,34,Jon Kitna kneels for -1 yards,0.150,-0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
