Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
2,1:48,1,10,LAC 26,9,0,Austin Ekeler right guard for 4 yards (tackle by Michael Pierce),0.670,0.670
2,1:17,2,6,LAC 30,9,0,Philip Rivers pass complete short left to Tyrell Williams for 5 yards (tackle by Brandon Carr),0.670,0.630
2,1:12,3,1,LAC 35,9,0,Philip Rivers pass complete short middle to Antonio Gates for 5 yards (tackle by Jimmy Smith and C.J. Mosley),0.630,1.600
2,0:45,1,10,LAC 40,9,0,Philip Rivers pass incomplete short right intended for Keenan Allen,1.600,1.050
2,0:40,2,10,LAC 40,9,0,Philip Rivers pass complete short left to Mike Williams for 14 yards (tackle by Jimmy Smith),1.050,2.520
2,0:34,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:34,1,10,BAL 46,9,0,"Penalty on Tyus Bowser: Neutral Zone Infraction, 5 yards (no play)",2.520,3.250
2,0:34,1,5,BAL 41,9,0,Philip Rivers pass complete short left to Austin Ekeler for 3 yards (tackle by Jimmy Smith),3.250,3.060
2,0:29,2,2,BAL 38,9,0,Philip Rivers pass complete short left to Austin Ekeler for 3 yards (tackle by Tony Jefferson),3.060,3.250
2,0:25,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:25,1,10,BAL 35,9,0,Philip Rivers pass incomplete deep left intended for Mike Williams,3.250,2.700
2,0:20,2,10,BAL 35,9,0,Austin Ekeler right guard for 3 yards (tackle by C.J. Mosley),2.700,2.410
2,0:15,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:15,3,7,BAL 32,9,0,Philip Rivers pass complete short left to Keenan Allen for 9 yards (tackle by Marlon Humphrey),2.410,4.040
2,0:08,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:08,1,10,BAL 23,9,0,Austin Ekeler right guard for 7 yards (tackle by Tony Jefferson),4.040,4.560
2,0:04,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:04,2,3,BAL 16,12,0,Michael Badgley 34 yard field goal good,4.560,-3.000
Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,12,0,"Justin Tucker kicks off 63 yards, returned by Desmond King for no gain (tackle by Anthony Averett)",0.000,3.840
3,14:48,1,10,BAL 26,12,0,Philip Rivers pass incomplete short left,3.840,3.300
3,14:43,2,10,BAL 26,12,0,Melvin Gordon left guard for 3 yards (tackle by Brandon Williams),3.300,3.010
3,13:57,3,7,BAL 23,12,0,Philip Rivers pass incomplete short left intended for Tyrell Williams (defended by Jimmy Smith),3.010,1.930
3,13:51,4,7,BAL 23,12,0,Michael Badgley 41 yard field goal no good,1.930,-1.000
3,13:45,1,10,BAL 31,12,0,Lamar Jackson left end for 2 yards (tackle by Casey Hayward),1.000,0.730
3,13:15,2,8,BAL 33,12,0,Lamar Jackson sacked by Justin Jones for -3 yards,0.730,-0.360
3,12:32,3,11,BAL 30,12,0,Lamar Jackson sacked by Melvin Ingram for -9 yards,-0.360,-1.960
3,11:54,4,20,BAL 21,12,0,"Sam Koch punts 48 yards, returned by Desmond King for no gain (tackle by Maurice Canady). Penalty on Jeff Richards: Offensive Holding, 10 yards",-1.960,-0.340
3,11:42,1,10,LAC 21,12,0,Austin Ekeler right guard for 6 yards (tackle by Patrick Onwuasor and C.J. Mosley),0.340,0.610
3,11:03,2,4,LAC 27,12,0,"Penalty on Mike Williams: False Start, 5 yards (no play)",0.610,-0.070
3,10:37,2,9,LAC 22,12,0,"Philip Rivers pass complete short middle to Virgil Green for 8 yards (tackle by Patrick Onwuasor and Tony Jefferson). Virgil Green fumbles (forced by Patrick Onwuasor), recovered by C.J. Mosley at LAC-33 and returned for 12 yards (tackle by Michael Schofield)",-0.070,-4.170
3,10:26,1,10,LAC 21,12,0,Gus Edwards right guard for 3 yards (tackle by Rayshawn Jenkins),4.170,4.040
3,9:52,2,7,LAC 18,12,0,Gus Edwards right guard for 3 yards (tackle by Melvin Ingram and Adrian Phillips),4.040,3.810
3,9:16,3,4,LAC 15,12,0,Lamar Jackson up the middle for no gain (tackle by Melvin Ingram),3.810,2.520
3,8:34,4,4,LAC 15,12,3,Justin Tucker 33 yard field goal good,2.520,3.000
3,8:30,,,BAL 35,12,3,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,8:30,1,10,LAC 25,12,3,Melvin Gordon left tackle for 8 yards (tackle by Patrick Onwuasor),0.610,1.140
3,7:55,2,2,LAC 33,12,3,Melvin Gordon left tackle for -4 yards (tackle by Patrick Onwuasor),1.140,-0.100
3,7:11,3,6,LAC 29,12,3,Philip Rivers pass incomplete deep middle intended for Mike Williams,-0.100,-1.440
3,7:06,4,6,LAC 29,12,3,Donnie Jones punts 11 yards downed by Kyle Emanuel,-1.440,-2.920
3,6:54,1,10,LAC 40,12,3,Gus Edwards right guard for 3 yards (tackle by Uchenna Nwosu),2.920,2.780
3,6:18,2,7,LAC 37,12,3,"Lamar Jackson up the middle for no gain (tackle by Rayshawn Jenkins). Penalty on Ronnie Stanley: Offensive Holding, 10 yards (no play)",2.780,1.430
3,5:53,2,17,LAC 47,12,3,Lamar Jackson pass complete short middle to Maxx Williams for 8 yards (tackle by Adrian Phillips and Jahleel Addae),1.430,1.820
3,5:12,3,9,LAC 39,12,3,Lamar Jackson left tackle for 7 yards (tackle by Derwin James),1.820,1.300
3,4:28,4,2,LAC 32,12,3,Justin Tucker 50 yard field goal no good,1.300,-1.600
3,4:22,1,10,LAC 40,12,3,Melvin Gordon left end for 1 yard (tackle by Za'Darius Smith),1.600,1.190
3,3:43,2,9,LAC 41,12,3,Philip Rivers pass incomplete short right,1.190,0.500
3,3:36,3,9,LAC 41,12,3,Philip Rivers pass complete short middle to Antonio Gates for 12 yards,0.500,2.460
3,2:54,1,10,BAL 47,12,3,Philip Rivers pass complete short middle to Travis Benjamin for 4 yards (tackle by Eric Weddle),2.460,2.450
3,2:16,2,6,BAL 43,12,3,Philip Rivers pass complete deep middle to Mike Williams for 28 yards (tackle by Jimmy Smith),2.450,4.580
3,1:35,1,10,BAL 15,12,3,Melvin Gordon left tackle for 14 yards (tackle by Eric Weddle),4.580,6.970
3,0:49,1,1,BAL 1,12,3,Melvin Gordon left guard for -1 yards (tackle by Tony Jefferson),6.970,5.720
3,0:11,2,2,BAL 2,12,3,Philip Rivers pass complete short right to Derek Watt for 1 yard (tackle by Chris Board),5.720,5.170
Quarter,Time,Down,ToGo,Location,LAC,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,BAL 1,12,3,Melvin Gordon up the middle for no gain (tackle by Eric Weddle),5.170,3.550
4,14:58,4,1,BAL 1,18,3,"Melvin Gordon left guard for 1 yard, touchdown",3.550,7.000
4,14:44,,,BAL 2,20,3,"Two Point Attempt: Philip Rivers pass complete to Mike Williams, conversion succeeds",0.000,1.000
4,14:44,,,LAC 35,20,3,"Michael Badgley kicks off 61 yards, returned by Ty Montgomery for no gain (tackle by Uchenna Nwosu)",0.000,0.480
4,14:38,1,10,BAL 23,20,3,Lamar Jackson sacked by Desmond King for -1 yards,0.480,-0.200
4,14:01,2,11,BAL 22,20,3,Lamar Jackson pass incomplete deep left intended for Willie Snead,-0.200,-0.890
4,13:52,3,11,BAL 22,20,3,Lamar Jackson sacked by Melvin Ingram for -8 yards,-0.890,-2.470
4,13:16,4,19,BAL 14,20,3,Sam Koch punts 31 yards out of bounds,-2.470,-2.590
4,13:09,1,10,BAL 45,20,3,Austin Ekeler left guard for 2 yards (tackle by Chris Wormley),2.590,2.310
4,12:28,2,8,BAL 43,20,3,Austin Ekeler left guard for no gain (tackle by Brent Urban and Matt Judon),2.310,1.620
4,11:45,3,8,BAL 43,20,3,"Philip Rivers up the middle for 9 yards (tackle by C.J. Mosley). Penalty on Marlon Humphrey: Illegal Use of Hands, 5 yards",1.620,3.640
4,11:10,1,10,BAL 29,20,3,Justin Jackson right guard for 1 yard (tackle by Eric Weddle),3.640,3.240
4,10:24,2,9,BAL 28,20,3,Justin Jackson left guard for 4 yards (tackle by Chris Wormley and C.J. Mosley),3.240,3.070
4,9:43,3,5,BAL 24,20,3,"Penalty on Mike Pouncey: False Start, 5 yards (no play)",3.070,2.410
4,9:19,3,10,BAL 29,20,3,Philip Rivers pass incomplete deep middle intended for Tyrell Williams,2.410,1.500
4,9:14,4,10,BAL 29,23,3,Michael Badgley 47 yard field goal good,1.500,3.000
4,9:09,,,LAC 35,23,3,"Michael Badgley kicks off 58 yards, returned by Ty Montgomery for no gain (tackle by Nick Dzubnar)",0.000,0.610
4,9:02,1,10,BAL 25,23,3,Lamar Jackson pass complete short left to Willie Snead for 9 yards (tackle by Casey Hayward),0.610,1.280
4,8:36,2,1,BAL 34,23,3,Lamar Jackson pass incomplete short middle intended for Mark Andrews (defended by Adrian Phillips),1.280,0.560
4,8:32,3,1,BAL 34,23,3,Lamar Jackson up the middle for 7 yards (tackle by Desmond King),0.560,1.660
4,8:04,1,10,BAL 41,23,3,Lamar Jackson pass complete short middle to John Brown for 9 yards (tackle by Jahleel Addae and Casey Hayward),1.660,2.340
4,7:39,2,1,BAL 50,23,3,Lamar Jackson sacked by Isaac Rochell for -10 yards,2.340,0.300
4,7:07,3,11,BAL 40,23,3,Lamar Jackson pass incomplete short middle intended for Hayden Hurst (defended by Adrian Phillips),0.300,-0.720
4,7:02,4,11,BAL 40,23,3,Lamar Jackson pass complete deep middle to Willie Snead for 29 yards (tackle by Rayshawn Jenkins). Penalty on Joey Bosa: Defensive Offside (Declined),-0.720,3.510
4,6:40,1,10,LAC 31,23,9,"Lamar Jackson pass complete deep right to Michael Crabtree for 31 yards, touchdown",3.510,7.000
4,6:33,,,LAC 15,23,10,Justin Tucker kicks extra point good,0.000,0.000
4,6:33,,,BAL 35,23,10,"Justin Tucker kicks onside no gain, returned by Rayshawn Jenkins for no gain. Penalty on Kyle Emanuel: Illegal Formation, 5 yards (no play)",0.000,0.000
4,6:32,,,BAL 40,23,10,"Justin Tucker kicks onside 11 yards, returned by Keenan Allen for no gain",0.000,-2.260
4,6:29,1,10,LAC 50,23,10,Austin Ekeler left tackle for 6 yards (tackle by C.J. Mosley),2.260,2.520
4,5:43,2,4,BAL 44,23,10,Austin Ekeler left guard for no gain (tackle by Eric Weddle and Brandon Williams),2.520,1.820
4,5:01,3,4,BAL 44,23,10,Philip Rivers pass complete short right to Keenan Allen for -1 yards (tackle by Eric Weddle),1.820,0.270
4,4:55,,,,,,Timeout #1 by Baltimore Ravens,,
4,4:55,4,5,BAL 45,23,10,"Donnie Jones punts 45 yards, touchback.",0.270,-0.280
4,4:47,1,10,BAL 20,23,10,Lamar Jackson pass incomplete short right intended for Michael Crabtree,0.280,-0.270
4,4:43,2,10,BAL 20,23,10,Lamar Jackson pass complete short left to Kenneth Dixon for 4 yards (tackle by Rayshawn Jenkins and Justin Jones),-0.270,-0.430
4,4:16,3,6,BAL 24,23,10,Lamar Jackson pass complete short middle to Kenneth Dixon for 10 yards (tackle by Casey Hayward),-0.430,1.200
4,3:49,1,10,BAL 34,23,10,Lamar Jackson pass complete short left to Mark Andrews for 9 yards,1.200,1.870
4,3:45,2,1,BAL 43,23,10,Lamar Jackson pass incomplete short left intended for Mark Andrews,1.870,1.160
4,3:41,3,1,BAL 43,23,10,Lamar Jackson up the middle for 7 yards (tackle by Derwin James),1.160,2.260
4,3:22,1,10,BAL 50,23,10,Lamar Jackson spiked the ball,2.260,1.710
4,3:21,2,10,BAL 50,23,10,Lamar Jackson pass complete short middle to Kenneth Dixon for 39 yards (tackle by Derwin James),1.710,4.840
4,2:43,1,10,LAC 11,23,10,"Penalty on Ronnie Stanley: False Start, 5 yards (no play)",4.840,4.340
4,2:41,1,15,LAC 16,23,10,Lamar Jackson pass incomplete short middle intended for John Brown (defended by Michael Davis),4.340,3.440
4,2:38,2,15,LAC 16,23,10,Lamar Jackson pass incomplete deep middle intended for Mark Andrews (defended by Michael Davis),3.440,2.890
4,2:32,3,15,LAC 16,23,10,Lamar Jackson pass complete short middle to Mark Andrews for 9 yards (tackle by Derwin James),2.890,2.980
4,2:06,4,6,LAC 7,23,16,"Lamar Jackson pass complete short right to Michael Crabtree for 7 yards, touchdown",2.980,7.000
4,1:59,,,LAC 15,23,17,Justin Tucker kicks extra point good,0.000,0.000
4,1:59,,,BAL 35,23,17,"Justin Tucker kicks off 49 yards, returned by Travis Benjamin for no gain",0.000,0.410
4,1:56,1,10,LAC 22,23,17,Melvin Gordon left guard for 2 yards (tackle by C.J. Mosley),0.410,0.140
4,1:51,,,,,,Timeout #2 by Baltimore Ravens,,
4,1:51,2,8,LAC 24,23,17,Melvin Gordon right guard for 2 yards (tackle by Eric Weddle),0.140,-0.290
4,1:47,,,,,,Timeout #3 by Baltimore Ravens,,
4,1:47,3,6,LAC 26,23,17,"Melvin Gordon left end for no gain (tackle by Matt Judon). Penalty on Russell Okung: Offensive Holding, 10 yards (no play)",-0.290,-1.870
4,1:41,3,16,LAC 16,23,17,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Tony Jefferson),-1.870,-1.700
4,0:54,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:54,4,7,LAC 25,23,17,Donnie Jones punts 41 yards out of bounds,-1.700,-1.200
4,0:45,1,10,BAL 34,23,17,Lamar Jackson pass complete short middle to Mark Andrews for 13 yards (tackle by Jahleel Addae),1.200,2.060
4,0:29,1,10,BAL 47,23,17,Lamar Jackson spiked the ball,2.060,1.520
4,0:28,2,10,BAL 47,23,17,"Lamar Jackson sacked by Uchenna Nwosu for -18 yards. Lamar Jackson fumbles (forced by Uchenna Nwosu), recovered by Melvin Ingram at BAL-29 (tackle by Marshal Yanda)",1.520,-3.640
4,0:19,1,10,BAL 29,23,17,Philip Rivers kneels for -1 yards,3.640,2.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
