Quarter,Time,Down,ToGo,Location,SFO,HOU,Detail,EPB,EPA
2,12:14,1,10,SFO 20,0,3,Carlos Hyde right tackle for -3 yards (tackle by Zach Cunningham),0.280,-0.790
2,11:44,2,13,SFO 17,0,3,Jimmy Garoppolo pass complete deep middle to Marquise Goodwin for 20 yards (tackle by Johnathan Joseph). Penalty on Johnathan Joseph: Defensive Holding (Declined),-0.790,1.400
2,11:17,1,10,SFO 37,0,3,Jimmy Garoppolo pass incomplete short middle intended for Garrett Celek,1.400,0.860
2,11:11,2,10,SFO 37,0,3,Carlos Hyde left end for 1 yard (tackle by Zach Cunningham and Kevin Johnson),0.860,0.300
2,10:28,3,9,SFO 38,0,3,Jimmy Garoppolo pass incomplete deep right intended for Marquise Goodwin (defended by Johnathan Joseph),0.300,-0.850
2,10:19,4,9,SFO 38,0,3,"Bradley Pinion punts 54 yards, returned by DeAndrew White for 3 yards (tackle by Dexter McCoil). Penalty on Eddie Pleasant: Illegal Blindside Block, 5 yards",-0.850,0.380
2,10:07,1,10,HOU 6,0,3,Lamar Miller middle for 3 yards (tackle by Reuben Foster),-0.380,-0.560
2,9:24,2,7,HOU 9,0,3,Tom Savage pass incomplete deep left intended for DeAndre Hopkins,-0.560,-1.070
2,9:18,3,7,HOU 9,0,3,Tom Savage pass incomplete short right intended for DeAndre Hopkins,-1.070,-2.490
2,9:13,4,7,HOU 9,0,3,"Shane Lechler punts 56 yards, fair catch by Trent Taylor",-2.490,-1.270
2,9:05,1,10,SFO 35,0,3,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 32 yards (tackle by Andre Hal),1.270,3.380
2,8:31,1,10,HOU 33,0,3,"Matt Breida left guard for 12 yards (tackle by Benardrick McKinney and Kevin Johnson). Penalty on Louis Murphy: Illegal Shift, 5 yards (no play)",3.380,3.050
2,8:05,1,15,HOU 38,0,3,Jimmy Garoppolo pass incomplete deep middle intended for Carlos Hyde,3.050,0.000
2,7:59,,,,,,Timeout #1 by San Francisco 49ers,0.000,-2.160
2,7:59,2,15,HOU 38,0,3,Matt Breida right guard for -1 yards (tackle by Jadeveon Clowney and Joel Heath),2.160,1.350
2,7:14,3,16,HOU 39,0,3,Jimmy Garoppolo pass complete short right to Trent Taylor for 5 yards (tackle by Zach Cunningham),1.350,1.060
2,6:36,4,11,HOU 34,3,3,Robbie Gould 52 yard field goal good,1.060,3.000
2,6:31,,,SFO 35,3,3,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.610
2,6:31,1,10,HOU 25,3,3,Lamar Miller right end for -1 yards (tackle by Aaron Lynch and Ahkello Witherspoon),0.610,-0.070
2,5:58,2,11,HOU 24,3,3,Tom Savage pass incomplete deep left intended for DeAndrew White,-0.070,-0.760
2,5:51,3,11,HOU 24,3,3,Tom Savage pass incomplete short left intended for DeAndrew White,-0.760,-1.770
2,5:45,4,11,HOU 24,3,3,"Shane Lechler punts 44 yards, fair catch by Trent Taylor",-1.770,-1.070
2,5:37,1,10,SFO 32,3,3,Matt Breida middle for 2 yards (tackle by D.J. Reader),1.070,0.800
2,5:11,2,8,SFO 34,3,3,Jimmy Garoppolo pass complete deep left to Kyle Juszczyk for 29 yards (tackle by Marcus Gilchrist),0.800,3.120
2,4:37,1,10,HOU 37,3,3,Matt Breida left guard for 2 yards (tackle by Brandon Dunn),3.120,2.840
2,3:59,2,8,HOU 35,3,3,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 31 yards (tackle by Corey Moore and Zach Cunningham),2.840,6.280
2,3:20,1,4,HOU 4,3,3,Matt Breida right guard for 2 yards (tackle by Brandon Dunn and D.J. Reader),6.280,5.720
2,2:39,2,2,HOU 2,9,3,"Carlos Hyde right guard for 2 yards, touchdown",5.720,7.000
2,2:32,,,HOU 15,10,3,Robbie Gould kicks extra point good,0.000,0.000
2,2:32,,,SFO 35,10,3,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
2,2:32,1,10,HOU 25,10,3,Andre Ellington middle for -1 yards (tackle by Reuben Foster),0.610,-0.070
2,2:03,2,11,HOU 24,10,3,T.J. Yates pass complete short left to DeAndre Hopkins for 7 yards (tackle by Dontae Johnson),-0.070,0.170
2,1:58,3,4,HOU 31,10,3,T.J. Yates for 15 yards (tackle by Leon Hall),0.170,1.990
2,1:50,1,10,HOU 46,10,3,T.J. Yates pass incomplete short right intended for Stephen Anderson,1.990,1.450
2,1:46,2,10,HOU 46,10,3,T.J. Yates pass incomplete short right intended for Andre Ellington,1.450,0.760
2,1:41,3,10,HOU 46,10,3,T.J. Yates pass complete short right to DeAndre Hopkins for 15 yards,0.760,2.980
2,1:35,1,10,SFO 39,10,3,Andre Ellington right guard for 7 yards (tackle by K'Waun Williams and Cassius Marsh),2.980,3.390
2,1:06,2,3,SFO 32,10,3,T.J. Yates pass complete short left to DeAndre Hopkins for 25 yards (tackle by Adrian Colbert). Penalty on Dontae Johnson: Defensive Holding (Declined),3.390,5.600
2,0:59,1,7,SFO 7,10,9,"T.J. Yates pass complete short middle to DeAndre Hopkins for 7 yards, touchdown",5.600,7.000
2,0:54,,,SFO 15,10,9,Ka'imi Fairbairn kicks extra point no good,0.000,-1.000
2,0:54,,,HOU 35,10,9,"Ka'imi Fairbairn kicks off 70 yards, returned by Victor Bolden for 26 yards (tackle by Gimel President)",0.000,-0.340
2,0:48,1,10,SFO 21,10,9,Carlos Hyde for 31 yards,0.340,2.390
2,0:37,1,10,HOU 48,10,9,Jimmy Garoppolo middle for 4 yards (tackle by Zach Cunningham),2.390,0.000
2,0:30,,,,,,Timeout #2 by San Francisco 49ers,0.000,-2.390
2,0:30,2,6,HOU 44,10,9,Jimmy Garoppolo pass complete short middle to Aldrick Robinson for 18 yards (tackle by Marcus Gilchrist),2.390,3.840
2,0:15,1,10,HOU 26,10,9,Jimmy Garoppolo spiked the ball,3.840,3.300
2,0:15,2,10,HOU 26,10,9,Jimmy Garoppolo pass complete short middle to Aldrick Robinson for 9 yards (tackle by Kareem Jackson),3.300,0.000
2,0:02,,,,,,Timeout #3 by San Francisco 49ers,0.000,-3.950
2,0:02,3,1,HOU 17,13,9,Robbie Gould 35 yard field goal good,3.950,3.000
Quarter,Time,Down,ToGo,Location,SFO,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,13,9,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,HOU 25,13,9,T.J. Yates pass complete short left to DeAndre Hopkins for 15 yards (tackle by Dontae Johnson). Penalty on Dontae Johnson: Defensive Pass Interference (Declined),0.610,1.600
3,14:36,1,10,HOU 40,13,9,Lamar Miller right guard for no gain (tackle by Earl Mitchell and Tank Carradine),1.600,1.050
3,14:00,2,10,HOU 40,13,9,T.J. Yates pass complete short middle to Andre Ellington for 16 yards (tackle by Eric Reid and Solomon Thomas),1.050,2.650
3,13:29,1,10,SFO 44,13,9,Andre Ellington left tackle for no gain (tackle by Tank Carradine),2.650,2.110
3,12:55,2,10,SFO 44,13,9,T.J. Yates pass complete short left to DeAndre Hopkins for 9 yards (tackle by Dontae Johnson),2.110,2.610
3,12:22,3,1,SFO 35,13,9,"T.J. Yates pass incomplete short left intended for DeAndre Hopkins. Penalty on Dontae Johnson: Defensive Pass Interference, 6 yards (no play)",2.610,3.640
3,12:18,1,10,SFO 29,13,15,"T.J. Yates pass complete deep left to DeAndre Hopkins for 29 yards, touchdown",3.640,7.000
3,12:11,,,SFO 15,13,16,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,12:11,,,HOU 35,13,16,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
3,12:11,1,10,SFO 25,13,16,Carlos Hyde left guard for 7 yards (tackle by Benardrick McKinney),0.610,1.010
3,11:42,2,3,SFO 32,13,16,"Jimmy Garoppolo pass complete short right to Marquise Goodwin for 13 yards (tackle by Johnathan Joseph). Penalty on Benardrick McKinney: Roughing the Passer, 15 yards",1.010,2.920
3,11:12,1,10,HOU 40,13,16,Jimmy Garoppolo pass incomplete short left intended for Kyle Juszczyk,2.920,2.370
3,11:07,2,10,HOU 40,13,16,Jimmy Garoppolo pass complete deep middle to Louis Murphy for 20 yards (tackle by Marcus Gilchrist),2.370,4.240
3,10:38,1,10,HOU 20,13,16,Matt Breida right guard for 1 yard (tackle by Carlos Watkins),4.240,3.820
3,9:59,2,9,HOU 19,13,16,Jimmy Garoppolo pass complete short right to George Kittle for 2 yards (tackle by Marcus Gilchrist),3.820,3.360
3,9:20,3,7,HOU 17,13,16,Jimmy Garoppolo pass complete short left to Marquise Goodwin for 10 yards (tackle by Benardrick McKinney),3.360,5.600
3,8:37,1,7,HOU 7,13,16,Jimmy Garoppolo pass incomplete short left intended for Marquise Goodwin,5.600,4.760
3,8:30,2,7,HOU 7,13,16,Jimmy Garoppolo pass incomplete short right intended for Louis Murphy (defended by Johnathan Joseph),4.760,3.810
3,8:24,3,7,HOU 7,13,16,Jimmy Garoppolo pass incomplete short middle intended for Marquise Goodwin,3.810,2.970
3,8:15,4,7,HOU 7,16,16,Robbie Gould 25 yard field goal good,2.970,3.000
3,8:12,,,SFO 35,16,16,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,8:12,1,10,HOU 25,16,16,Lamar Miller middle for 5 yards (tackle by Aaron Lynch),0.610,0.740
3,7:37,2,5,HOU 30,16,16,T.J. Yates pass complete short middle to Lamar Miller for 8 yards (tackle by Brock Coyle and Reuben Foster),0.740,1.470
3,7:00,1,10,HOU 38,16,16,T.J. Yates pass complete short middle to Stephen Anderson for 7 yards (tackle by Brock Coyle),1.470,1.870
3,6:25,2,3,HOU 45,16,16,Lamar Miller left guard for 1 yard (tackle by Reuben Foster and DeForest Buckner),1.870,1.290
3,5:41,3,2,HOU 46,16,16,T.J. Yates pass incomplete short middle intended for DeAndrew White,1.290,-0.320
3,5:36,4,2,HOU 46,16,16,"Shane Lechler punts 44 yards, returned by Trent Taylor for 5 yards (tackle by Dylan Cole)",-0.320,0.220
3,5:26,1,10,SFO 15,16,16,Matt Breida right tackle for no gain (tackle by Angelo Blackson and Jadeveon Clowney),-0.220,-0.710
3,5:02,2,10,SFO 15,16,16,Matt Breida left end for 4 yards (tackle by Zach Cunningham),-0.710,-0.880
3,4:22,3,6,SFO 19,16,16,Jimmy Garoppolo pass complete short middle to Garrett Celek for 61 yards (tackle by Eddie Pleasant),-0.880,4.240
3,3:40,1,10,HOU 20,16,16,Matt Breida right tackle for 1 yard (tackle by Zach Cunningham),4.240,0.000
3,2:57,,,,,,Timeout #1 by San Francisco 49ers,0.000,-3.820
3,2:57,2,9,HOU 19,16,16,"Jimmy Garoppolo pass incomplete deep right intended for Kendrick Bourne. Penalty on Kevin Johnson: Illegal Contact, 5 yards (no play)",3.820,4.650
3,2:51,1,10,HOU 14,16,16,"Carlos Hyde middle for no gain (tackle by Marcus Williams and Andre Hal). Penalty on Laken Tomlinson: Offensive Holding, 10 yards (no play)",4.650,3.970
3,2:28,1,20,HOU 24,16,16,Jimmy Garoppolo pass complete short left to Kendrick Bourne for 18 yards (tackle by Kevin Johnson),3.970,5.470
3,1:58,2,2,HOU 6,22,16,"Jimmy Garoppolo pass complete short left to Garrett Celek for 6 yards, touchdown",5.470,7.000
3,1:53,,,HOU 15,23,16,Robbie Gould kicks extra point good,0.000,0.000
3,1:53,,,SFO 35,23,16,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,1:53,1,10,HOU 25,23,16,T.J. Yates pass incomplete short right intended for Stephen Anderson,0.610,0.060
3,1:47,2,10,HOU 25,23,16,T.J. Yates pass incomplete short middle intended for Stephen Anderson,0.060,-0.620
3,1:41,3,10,HOU 25,23,16,T.J. Yates pass incomplete deep right intended for DeAndrew White (defended by Adrian Colbert),-0.620,-1.700
3,1:32,4,10,HOU 25,23,16,"Shane Lechler punts 59 yards, returned by Trent Taylor for 10 yards (tackle by Jordan Todman). Penalty on Dexter McCoil: Illegal Blindside Block, 13 yards",-1.700,0.320
3,1:20,1,10,SFO 13,23,16,Carlos Hyde left guard for 4 yards (tackle by Andre Hal),-0.320,-0.300
3,0:40,2,6,SFO 17,23,16,"Carlos Hyde left tackle for 2 yards (tackle by Zach Cunningham and D.J. Reader). Penalty on Laken Tomlinson: Offensive Holding, 9 yards (no play)",-0.300,-1.150
3,0:15,2,15,SFO 8,23,16,"Penalty on Brandon Fusco: False Start, 4 yards (no play)",-1.150,-1.440
Quarter,Time,Down,ToGo,Location,SFO,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,19,SFO 4,23,16,Jimmy Garoppolo pass complete short left to Kendrick Bourne for 11 yards (tackle by Kevin Johnson),-1.440,-1.180
4,14:23,3,8,SFO 15,23,16,"Jimmy Garoppolo pass incomplete deep left intended for Marquise Goodwin. Penalty on Kevin Johnson: Defensive Pass Interference, 27 yards (no play)",-1.180,1.730
4,14:17,1,10,SFO 42,23,16,Matt Breida right tackle for 3 yards (tackle by Benardrick McKinney and Brian Cushing),1.730,1.590
4,13:35,2,7,SFO 45,23,16,Jimmy Garoppolo sacked by Brian Cushing and Zach Cunningham for -9 yards,1.590,-0.290
4,12:49,3,16,SFO 36,23,16,Jimmy Garoppolo pass incomplete deep left intended for Marquise Goodwin,-0.290,-0.980
4,12:40,4,16,SFO 36,23,16,"Bradley Pinion punts 24 yards, out of bounds",-0.980,-1.600
4,12:33,1,10,HOU 40,23,16,"Lamar Miller right guard for 3 yards (tackle by Reuben Foster). Penalty on Earl Mitchell: Defensive Holding, 5 yards",1.600,2.130
4,12:08,1,10,HOU 48,23,16,T.J. Yates pass incomplete deep middle intended for Will Fuller,2.130,1.580
4,12:02,2,10,HOU 48,23,16,Lamar Miller middle for 4 yards (tackle by Adrian Colbert),1.580,1.420
4,11:26,3,6,SFO 48,23,16,T.J. Yates pass incomplete short right intended for Will Fuller,1.420,0.070
4,11:20,4,6,SFO 48,23,16,"Shane Lechler punts 48 yards, touchback",0.070,-0.280
4,11:11,1,10,SFO 20,23,16,Jimmy Garoppolo pass complete deep right to Marquise Goodwin for 18 yards (tackle by Kevin Johnson),0.280,1.470
4,10:36,1,10,SFO 38,23,16,Matt Breida right tackle for 6 yards (tackle by Joel Heath),1.470,1.730
4,10:01,2,4,SFO 44,23,16,Matt Breida left guard for 1 yard (tackle by Joel Heath and D.J. Reader),1.730,1.160
4,9:19,3,3,SFO 45,23,16,"Jimmy Garoppolo sacked by Gimel President for -4 yards. Penalty on Kareem Jackson: Defensive Holding, 5 yards (no play)",1.160,2.260
4,8:56,1,10,,23,16,Carlos Hyde left end for 1 yard (tackle by Carlos Watkins),2.260,1.850
4,8:11,2,9,HOU 49,23,16,Carlos Hyde middle for no gain (tackle by Angelo Blackson),1.850,0.000
4,7:22,,,,,,Timeout #2 by San Francisco 49ers,0.000,-1.160
4,7:22,3,9,HOU 49,23,16,Jimmy Garoppolo sacked by LaTroy Lewis for -11 yards,1.160,-0.720
4,6:42,4,20,SFO 40,23,16,"Bradley Pinion punts 40 yards, returned by DeAndrew White for 1 yard (tackle by Aldrick Robinson)",-0.720,-0.340
4,6:31,1,10,HOU 21,23,16,Lamar Miller middle for 9 yards (tackle by Reuben Foster),0.340,1.020
4,6:05,2,1,HOU 30,23,16,"Lamar Miller right tackle for 1 yard (tackle by Reuben Foster). Penalty on Stephen Anderson: Offensive Holding, 9 yards (no play)",1.020,-0.200
4,5:52,2,10,HOU 21,23,16,T.J. Yates pass complete short right to DeAndre Hopkins for 5 yards (tackle by Adrian Colbert). DeAndre Hopkins fumbles (forced by Adrian Colbert),-0.200,-3.450
4,5:40,1,10,HOU 32,23,16,Carlos Hyde middle for 6 yards (tackle by Kareem Jackson and Jadeveon Clowney),3.450,3.710
4,4:57,2,4,HOU 26,23,16,Jimmy Garoppolo left end for -3 yards (tackle by Jadeveon Clowney),3.710,2.610
4,4:12,3,7,HOU 29,23,16,Jimmy Garoppolo pass complete short middle to Trent Taylor for 6 yards (tackle by Andre Hal),2.610,0.000
4,3:54,,,,,,Timeout #1 by Houston Texans,0.000,-2.080
4,3:54,4,1,HOU 23,26,16,Robbie Gould 41 yard field goal good,2.080,3.000
4,3:50,,,SFO 35,26,16,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
4,3:50,1,10,HOU 25,26,16,T.J. Yates pass incomplete deep right intended for DeAndrew White,0.610,0.060
4,3:43,2,10,HOU 25,26,16,"T.J. Yates sacked by Aaron Lynch for -5 yards. Penalty on Aaron Lynch: Defensive Offside, 5 yards (no play)",0.060,0.740
4,3:39,2,5,HOU 30,26,16,T.J. Yates pass complete short right to Stephen Anderson for 9 yards (tackle by Reuben Foster),0.740,1.530
4,3:17,1,10,HOU 39,26,16,T.J. Yates pass incomplete short right intended for DeAndre Hopkins,1.530,0.990
4,3:12,2,10,HOU 39,26,16,,0.990,0.310
4,3:12,2,15,HOU 34,26,16,T.J. Yates pass incomplete deep right intended for DeAndre Hopkins,0.310,-0.360
4,3:04,3,15,HOU 34,26,16,T.J. Yates sacked by DeForest Buckner for -7 yards,-0.360,-1.570
4,2:24,4,22,HOU 27,26,16,T.J. Yates pass complete deep right to DeAndrew White for 24 yards,-1.570,2.320
4,2:00,1,10,SFO 49,26,16,T.J. Yates middle for 12 yards (tackle by Leon Hall),2.320,0.000
4,1:53,,,,,,Timeout #2 by Houston Texans,0.000,-3.120
4,1:53,1,10,SFO 37,26,16,T.J. Yates pass incomplete deep right intended for DeAndre Hopkins,3.120,2.570
4,1:47,2,10,SFO 37,26,16,T.J. Yates pass complete short right to Lamar Miller for -1 yards (tackle by Eric Reid),2.570,0.000
4,1:41,,,,,,Timeout #3 by Houston Texans,0.000,-1.750
4,1:41,3,11,SFO 38,26,16,T.J. Yates right end for 4 yards (tackle by Cassius Marsh),1.750,1.060
4,1:34,4,7,SFO 34,26,16,Ka'imi Fairbairn 52 yard field goal no good,1.060,-1.730
4,1:29,1,10,SFO 42,26,16,Jimmy Garoppolo kneels for -2 yards,1.730,0.920
4,0:50,2,12,SFO 40,26,16,Jimmy Garoppolo kneels for -1 yards,0.920,0.100
4,0:26,3,13,SFO 39,26,16,Jimmy Garoppolo kneels for -1 yards,0.100,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
