Quarter,Time,Down,ToGo,Location,TAM,SDG,Detail,EPB,EPA
2,2:41,1,10,SDG 48,7,14,Jameis Winston pass complete deep middle to Cameron Brate for 18 yards (tackle by Jahleel Addae),2.390,3.580
2,2:06,1,10,SDG 30,7,14,Doug Martin middle for no gain (tackle by Korey Toomer),3.580,3.030
2,2:00,2,10,SDG 30,7,14,Jameis Winston pass complete short right to Russell Shepard for 15 yards (tackle by Craig Mager and Melvin Ingram),3.030,0.000
2,1:12,,,,7,14,Timeout #1 by Los Angeles Chargers,0.000,-4.580
2,1:12,1,10,SDG 15,7,14,Jameis Winston pass incomplete short right intended for Cameron Brate,4.580,3.950
2,1:08,2,10,SDG 15,7,14,Jameis Winston sacked by Joey Bosa for -12 yards,3.950,0.000
2,0:58,,,,7,14,Timeout #1 by Tampa Bay Buccaneers,0.000,-1.750
2,0:58,3,22,SDG 27,7,14,Jacquizz Rodgers middle for 14 yards (tackle by Kyle Emanuel),1.750,0.000
2,0:49,,,,7,14,Timeout #2 by Los Angeles Chargers,0.000,-2.570
2,0:49,4,8,SDG 13,7,14,Roberto Aguayo 31 yard field goal no good,2.570,-0.340
2,0:45,1,10,SDG 21,7,14,Philip Rivers pass incomplete short left intended for Melvin Gordon,0.340,-0.200
2,0:41,2,10,SDG 21,7,14,Melvin Gordon middle for 7 yards (tackle by Lavonte David and Keith Tandy),-0.200,0.040
Quarter,Time,Down,ToGo,Location,TAM,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,7,14,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,TAM 25,7,14,Doug Martin middle for 2 yards (tackle by Corey Liuget),0.610,0.330
3,14:25,2,8,TAM 27,7,14,Jameis Winston pass complete short middle to Doug Martin for 23 yards (tackle by Craig Mager and Kyle Emanuel),0.330,2.260
3,13:46,1,10,,7,14,Jameis Winston pass complete short left to Alan Cross for 8 yards (tackle by Korey Toomer),2.260,2.790
3,13:09,2,2,SDG 42,7,14,Doug Martin left guard for 1 yard (tackle by Jahleel Addae and Joey Bosa),2.790,2.210
3,12:26,3,1,SDG 41,7,14,Doug Martin middle for 2 yards (tackle by Melvin Ingram),2.210,2.980
3,11:42,1,10,SDG 39,7,14,Jameis Winston pass incomplete short left intended for Cameron Brate,2.980,2.440
3,11:35,2,10,SDG 39,7,14,Doug Martin left end for 8 yards (tackle by Denzel Perryman),2.440,2.810
3,10:58,3,2,SDG 31,7,14,Jameis Winston pass complete short left to Cameron Brate for 4 yards (tackle by Korey Toomer),2.810,3.780
3,10:14,1,10,SDG 27,7,14,Jameis Winston pass complete short right to Freddie Martino for 15 yards (tackle by Kyle Emanuel and Craig Mager),3.780,4.780
3,9:34,1,10,SDG 12,7,14,Peyton Barber middle for 4 yards (tackle by Craig Mager and Jahleel Addae),4.780,4.830
3,8:48,2,6,SDG 8,7,14,"Jameis Winston pass incomplete. Penalty on Melvin Ingram: Defensive Offside, 4 yards (no play)",4.830,5.600
3,8:43,2,2,SDG 4,7,14,Jameis Winston pass incomplete short right intended for Mike Evans,5.600,4.840
3,8:38,3,2,SDG 4,7,14,Jameis Winston pass incomplete short right intended for Russell Shepard. Penalty on Russell Shepard: Illegal Touch Pass,4.840,3.040
3,8:29,4,2,SDG 4,7,14,"Roberto Aguayo 22 yard field goal good. Penalty on Caleb Benenoch: False Start, 5 yards (no play)",3.040,2.830
3,8:29,4,7,SDG 9,10,14,Roberto Aguayo 27 yard field goal good,2.830,3.000
3,8:25,,,TAM 35,10,14,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
3,8:25,1,10,SDG 25,10,14,Philip Rivers pass incomplete short right intended for Melvin Gordon,0.610,0.060
3,8:19,2,10,SDG 25,10,14,Philip Rivers pass incomplete short right intended for Tyrell Williams (defended by Kwon Alexander),0.060,-0.620
3,8:14,3,10,SDG 25,10,14,Philip Rivers pass complete short middle to Antonio Gates for 11 yards (tackle by Bradley McDougald),-0.620,1.330
3,7:37,1,10,SDG 36,10,14,Melvin Gordon middle for 4 yards (tackle by William Gholston),1.330,1.330
3,6:55,2,6,SDG 40,10,14,"Philip Rivers pass incomplete deep right intended for Tyrell Williams. Penalty on King Dunlap: Illegal Use of Hands, 10 yards (no play)",1.330,-0.020
3,6:48,2,16,SDG 30,10,14,Philip Rivers pass incomplete,-0.020,-0.690
3,6:41,3,16,SDG 30,10,14,Philip Rivers pass incomplete short right intended for Dontrelle Inman (defended by Lavonte David),-0.690,-1.370
3,6:37,4,16,SDG 30,10,14,"Drew Kaser punts 49 yards, returned by Vernon Hargreaves for 9 yards (tackle by Darrell Stuckey)",-1.370,-0.940
3,6:26,1,10,TAM 30,10,14,Doug Martin left end for no gain (tackle by Chris Landrum and Darius Philon),0.940,0.390
3,5:47,2,10,TAM 30,10,14,Jameis Winston pass complete short middle to Cameron Brate for 8 yards (tackle by Denzel Perryman),0.390,0.760
3,5:21,3,2,TAM 38,10,14,Doug Martin middle for no gain (tackle by Corey Liuget and Tenny Palepoi),0.760,-0.850
3,4:42,4,2,TAM 38,10,14,"Bryan Anger punts 54 yards, fair catch by Isaiah Burse",-0.850,0.380
3,4:32,1,10,SDG 8,16,14,"Philip Rivers pass incomplete short left intended for Tyrell Williams is intercepted by Lavonte David at SDG-15 and returned for 15 yards, touchdown",-0.380,-7.000
3,,,,SDG 15,17,14,Roberto Aguayo kicks extra point good,,
3,4:25,,,TAM 35,17,14,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
3,4:25,1,10,SDG 25,17,14,Melvin Gordon middle for -1 yards (tackle by Akeem Spence),0.610,-0.070
3,3:57,2,11,SDG 24,17,14,Melvin Gordon middle for 11 yards (tackle by Keith Tandy and Clinton McDonald),-0.070,1.270
3,3:18,1,10,SDG 35,17,14,Melvin Gordon middle for 2 yards (tackle by Daryl Smith),1.270,0.990
3,2:31,2,8,SDG 37,17,14,Melvin Gordon left end for 23 yards (tackle by Vernon Hargreaves),0.990,0.000
3,1:42,,,,17,14,Timeout #1 by Los Angeles Chargers,0.000,-2.920
3,1:42,1,10,TAM 40,17,20,"Philip Rivers pass complete deep right to Tyrell Williams for 40 yards, touchdown",2.920,7.000
3,1:33,,,TAM 15,17,21,Josh Lambo kicks extra point good,0.000,0.000
3,1:33,,,SDG 35,17,21,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,1:33,1,10,TAM 25,17,21,Jameis Winston pass complete deep right to Cameron Brate for 38 yards (tackle by Korey Toomer),0.610,3.120
3,0:56,1,10,SDG 37,17,21,Jacquizz Rodgers middle for -1 yards (tackle by Corey Liuget),3.120,2.440
3,0:18,2,11,SDG 38,17,21,Jameis Winston pass complete short left to Mike Evans for 4 yards (tackle by Denzel Perryman),2.440,2.280
Quarter,Time,Down,ToGo,Location,TAM,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,SDG 34,17,21,"Jameis Winston middle for 5 yards (tackle by Jahleel Addae and Korey Toomer). Penalty on Tourek Williams: Defensive Holding, 5 yards",2.280,3.970
4,14:35,1,10,SDG 24,17,21,Jacquizz Rodgers middle for no gain (tackle by Jahleel Addae and Corey Liuget),3.970,3.430
4,13:57,2,10,SDG 24,17,21,Jameis Winston pass complete short right to Freddie Martino for 8 yards (tackle by Denzel Perryman),3.430,3.950
4,13:12,3,2,SDG 16,17,21,Jameis Winston pass incomplete deep left intended for Mike Evans. Penalty on Mike Evans: Offensive Pass Interference (Declined),3.950,2.500
4,13:07,4,2,SDG 16,20,21,Roberto Aguayo 35 yard field goal good,2.500,3.000
4,13:03,,,TAM 35,20,21,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
4,13:03,1,10,SDG 25,20,21,Melvin Gordon middle for -3 yards (tackle by William Gholston),0.610,-0.340
4,12:32,2,13,SDG 22,20,21,Melvin Gordon right end for 4 yards (tackle by Brent Grimes),-0.340,-0.490
4,11:48,3,9,SDG 26,20,21,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",-0.490,-1.150
4,11:34,3,14,SDG 21,20,21,Philip Rivers pass incomplete deep left intended for Travis Benjamin,-1.150,-1.960
4,11:25,4,14,SDG 21,20,21,"Drew Kaser punts 38 yards, returned by Vernon Hargreaves for 5 yards (tackle by Darrell Stuckey)",-1.960,-1.990
4,11:15,1,10,TAM 46,20,21,Jameis Winston pass complete short middle to Freddie Martino for 16 yards (tackle by Tourek Williams),1.990,3.050
4,10:35,1,10,SDG 38,20,21,Jameis Winston pass complete short right to Jacquizz Rodgers for 21 yards (tackle by Korey Toomer),3.050,4.440
4,9:48,1,10,SDG 17,20,21,Jacquizz Rodgers middle for 5 yards (tackle by Denzel Perryman and Adrian Phillips),4.440,4.690
4,9:06,2,5,SDG 12,26,21,"Jameis Winston pass complete short left to Cameron Brate for 12 yards, touchdown",4.690,7.000
4,9:01,,,SDG 2,28,21,"Two Point Attempt: Jameis Winston pass complete to Mike Evans, conversion succeeds",0.000,1.000
4,9:01,,,TAM 35,28,21,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
4,9:01,1,10,SDG 25,28,21,Philip Rivers sacked by Robert Ayers for -7 yards,0.610,-0.980
4,8:13,2,17,SDG 18,28,21,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Lavonte David and Kwon Alexander),-0.980,-0.760
4,7:26,3,11,SDG 24,28,21,Philip Rivers pass complete short middle to Antonio Gates for 14 yards (tackle by Kwon Alexander),-0.760,1.470
4,6:49,1,10,SDG 38,28,21,Melvin Gordon right guard for 2 yards (tackle by Bradley McDougald),1.470,1.190
4,6:11,2,8,SDG 40,28,21,Philip Rivers pass complete short left to Tyrell Williams for 7 yards (tackle by Vernon Hargreaves),1.190,0.000
4,5:26,,,,28,21,Timeout #2 by Los Angeles Chargers,0.000,-1.420
4,5:26,3,1,SDG 47,28,21,Melvin Gordon middle for 1 yard (tackle by Clinton McDonald),1.420,2.130
4,4:43,1,10,SDG 48,28,21,Melvin Gordon middle for 1 yard (tackle by Robert Ayers),2.130,1.720
4,3:58,2,9,SDG 49,28,21,"Philip Rivers for 6 yards (tackle by Bradley McDougald). Penalty on Kwon Alexander: Defensive Holding, 5 yards",1.720,2.920
4,3:50,1,10,TAM 40,28,21,Philip Rivers middle for 9 yards (tackle by Clinton McDonald),2.920,3.590
4,3:04,2,1,TAM 31,28,21,Philip Rivers pass incomplete deep left intended for Dontrelle Inman is intercepted by Keith Tandy at TAM-2,3.590,-0.280
4,2:56,1,10,TAM 20,28,21,Jacquizz Rodgers middle for 7 yards (tackle by Craig Mager and Korey Toomer),0.280,0.000
4,2:50,,,,28,21,Timeout #3 by Los Angeles Chargers,0.000,-0.680
4,2:50,2,3,TAM 27,28,21,Jacquizz Rodgers middle for 2 yards (tackle by Kyle Emanuel),0.680,0.000
4,2:05,,,,28,21,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.230
4,2:05,3,1,TAM 29,28,21,Jacquizz Rodgers middle for 2 yards (tackle by Kyle Emanuel),0.230,1.000
4,2:00,1,10,TAM 31,28,21,Jameis Winston kneels for -2 yards,1.000,0.190
4,1:19,2,12,TAM 29,28,21,Jameis Winston kneels for -1 yards,0.190,-0.630
4,0:39,3,13,TAM 28,28,21,Jameis Winston kneels for -1 yards,-0.630,-1.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
