Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA
2,15:00,2,10,ARI 20,7,0,Chris Johnson right tackle for 2 yards (tackle by Wallace Gilberry),-0.270,-0.690
2,14:20,3,8,ARI 22,7,0,"Carson Palmer pass complete short left to John Brown for 12 yards (tackle by Darqueze Dennard). Penalty on George Iloka: Unnecessary Roughness, 15 yards",-0.690,2.190
2,14:01,1,10,ARI 49,7,0,"Chris Johnson middle for 2 yards (tackle by Carlos Dunlap). Penalty on Vontaze Burfict: Illegal Use of Hands, 5 yards",2.190,2.650
2,14:01,1,10,CIN 44,7,0,"Penalty on Chris Johnson: False Start, 5 yards (no play)",2.650,2.320
2,13:20,1,15,CIN 49,7,0,Chris Johnson middle for -3 yards (tackle by Geno Atkins),2.320,1.030
2,12:37,2,18,ARI 48,7,0,"Carson Palmer pass complete short right to David Johnson for 1 yard (tackle by Emmanuel Lamur). David Johnson fumbles (forced by Emmanuel Lamur), recovered by Bobby Massie",1.030,0.630
2,11:51,3,16,,7,0,Carson Palmer pass complete deep middle to JJ Nelson for 23 yards (tackle by Vincent Rey),0.630,3.780
2,11:07,1,10,CIN 27,7,0,John Brown left end for 6 yards (tackle by George Iloka),3.780,4.040
2,10:35,2,4,CIN 21,7,0,Chris Johnson middle for 3 yards (tackle by Reggie Nelson),4.040,3.840
2,9:52,3,1,CIN 18,7,6,"Carson Palmer pass complete deep right to Darren Fells for 18 yards, touchdown",3.840,7.000
2,9:52,3,1,CIN 18,7,6,"Penalty on Bobby Massie: False Start, 5 yards (no play)",3.840,0.000
2,9:52,,,CIN 18,7,7,Chandler Catanzaro kicks extra point good,0.000,0.000
2,9:52,,,ARI 35,7,7,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
2,9:44,1,10,CIN 20,7,7,Giovani Bernard middle for 2 yards (tackle by Calais Campbell),0.280,0.000
2,9:09,2,8,CIN 22,7,7,Jeremy Hill middle for 2 yards (tackle by Kevin Minter and Frostee Rucker),0.000,-0.430
2,8:25,3,6,CIN 24,7,7,Andy Dalton for 12 yards,-0.430,1.330
2,7:47,1,10,CIN 36,7,7,"Giovani Bernard left tackle for 5 yards (tackle by Patrick Peterson). Penalty on Andre Smith: Unnecessary Roughness, 15 yards (no play)",1.330,1.330
2,7:21,1,10,CIN 36,7,7,Timeout #1 by Cincinnati Bengals,1.330,0.340
2,7:21,1,25,CIN 21,7,7,Andy Dalton pass incomplete deep right intended for Tyler Kroft,0.340,-1.240
2,7:14,2,25,CIN 21,7,7,Jeremy Hill middle for 6 yards (tackle by Kevin Minter),-1.240,-1.090
2,6:35,3,19,CIN 27,7,7,"Andy Dalton pass incomplete short right intended for A.J. Green (defended by Patrick Peterson). Penalty on Kevin Minter: Defensive Holding, 5 yards (no play)",-1.090,1.070
2,6:28,1,10,CIN 32,7,7,Andy Dalton right end for 3 yards (tackle by Alex Okafor),1.070,0.930
2,5:46,2,7,CIN 35,7,7,Jeremy Hill middle for 4 yards (tackle by Kevin Minter and Calais Campbell),0.930,0.760
2,5:03,3,3,CIN 39,7,7,"Andy Dalton pass complete deep right to Marvin Jones for 25 yards (tackle by Patrick Peterson). Penalty on Marvin Jones: Illegal Touch Pass, 5 yards (no play)",0.760,0.100
2,4:32,3,8,CIN 34,7,7,Andy Dalton pass complete short left to A.J. Green for 11 yards (tackle by Patrick Peterson),0.100,1.930
2,3:53,1,10,CIN 45,7,7,Jeremy Hill middle for 9 yards (tackle by Rashad Johnson),1.930,2.600
2,3:19,2,1,ARI 46,7,7,Jeremy Hill left tackle for no gain (tackle by Deone Bucannon),2.600,1.880
2,2:38,3,1,ARI 46,7,7,Andy Dalton middle for 3 yards (tackle by Alex Okafor),1.880,2.720
2,2:05,1,10,ARI 43,7,7,Andy Dalton pass incomplete deep right intended for Marvin Jones (defended by Jerraud Powers),2.720,2.180
2,1:57,2,10,ARI 43,7,7,Andy Dalton pass complete short left to Giovani Bernard for 41 yards (tackle by Rashad Johnson),2.180,2.180
2,1:12,2,10,ARI 43,7,7,Timeout #2 by Cincinnati Bengals,2.180,6.740
2,1:12,1,2,ARI 2,13,7,"Jeremy Hill middle for 2 yards, touchdown",6.740,7.000
2,1:12,,,ARI 2,14,7,Mike Nugent kicks extra point good,0.000,0.000
2,1:12,,,CIN 35,14,7,"Mike Nugent kicks off 71 yards, returned by David Johnson for 32 yards (tackle by Josh Shaw)",0.000,-0.670
2,1:00,1,10,ARI 26,14,7,Carson Palmer pass incomplete short middle intended for Darren Fells,0.670,0.130
2,0:56,2,10,ARI 26,14,7,Carson Palmer pass incomplete deep middle intended for JJ Nelson (defended by Emmanuel Lamur),0.130,0.130
2,0:56,2,10,ARI 26,14,7,Timeout #3 by Cincinnati Bengals,0.130,-0.560
2,0:52,3,10,ARI 26,14,7,Carson Palmer pass complete short right to Andre Ellington for 5 yards (tackle by Josh Shaw),-0.560,-1.310
2,0:47,4,5,ARI 31,14,7,"Drew Butler punts 37 yards, returned by Brandon Tate for 5 yards (tackle by Justin Bethel)",-1.310,-1.400
2,0:36,1,10,CIN 37,14,7,Andy Dalton pass complete short right to Giovani Bernard for 1 yard (tackle by Alex Okafor and Kevin Minter),1.400,0.990
Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,14,7,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CIN 20,14,7,Jeremy Hill middle for 1 yard (tackle by Tyrann Mathieu),0.280,-0.130
3,14:23,2,9,CIN 21,14,7,Andy Dalton pass incomplete short left intended for A.J. Green,-0.130,-0.820
3,14:19,3,9,CIN 21,14,7,"Andy Dalton pass incomplete deep right intended for Tyler Eifert. Penalty on Patrick Peterson: Illegal Contact, 5 yards (no play)",-0.820,0.670
3,14:12,1,10,CIN 26,14,7,Jeremy Hill left end for 6 yards (tackle by Kevin Minter),0.670,0.940
3,13:25,2,4,CIN 32,14,7,Andy Dalton pass incomplete short middle intended for A.J. Green (defended by Patrick Peterson),0.940,0.230
3,13:21,3,4,CIN 32,14,7,Andy Dalton pass incomplete short right intended for Marvin Jones,0.230,-1.240
3,13:14,4,4,CIN 32,14,7,"Kevin Huber punts 57 yards, returned by Patrick Peterson for 9 yards (tackle by Vincent Rey)",-1.240,-0.280
3,13:02,1,10,ARI 20,14,7,John Brown left end for 3 yards (tackle by Darqueze Dennard),0.280,0.140
3,12:21,2,7,ARI 23,14,7,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald (defended by Vincent Rey),0.140,-0.560
3,12:16,3,7,ARI 23,14,7,Carson Palmer pass complete short right to John Brown for 13 yards (tackle by Leon Hall),-0.560,1.330
3,11:32,1,10,ARI 36,14,13,"Carson Palmer pass complete deep right to JJ Nelson for 64 yards, touchdown",1.330,7.000
3,11:32,,,CIN 36,14,14,Chandler Catanzaro kicks extra point good,0.000,0.000
3,11:32,,,ARI 35,14,14,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,11:21,1,10,CIN 20,14,14,Andy Dalton pass incomplete short right intended for Marvin Jones,0.280,-0.270
3,11:17,2,10,CIN 20,14,14,Jeremy Hill left end for 2 yards (tackle by Frostee Rucker),-0.270,-0.690
3,10:35,3,8,CIN 22,14,14,Andy Dalton pass incomplete short middle intended for Mohamed Sanu,-0.690,-1.900
3,10:30,4,8,CIN 22,14,14,"Kevin Huber punts 50 yards, returned by Patrick Peterson for 6 yards (tackle by Shawn Williams)",-1.900,-1.200
3,10:17,1,10,ARI 34,14,14,Chris Johnson right tackle for 4 yards (tackle by Vontaze Burfict),1.200,1.200
3,9:39,2,6,ARI 38,14,14,Carson Palmer pass complete short middle to Larry Fitzgerald for 7 yards (tackle by Dre Kirkpatrick),1.200,1.930
3,8:59,1,10,ARI 45,14,14,Carson Palmer pass complete short right to Chris Johnson for 2 yards (tackle by Vontaze Burfict),1.930,1.650
3,8:12,2,8,ARI 47,14,14,David Johnson left end for 9 yards (tackle by Michael Johnson),1.650,2.650
3,7:33,1,10,CIN 44,14,14,Chris Johnson middle for 8 yards (tackle by A.J. Hawk),2.650,3.190
3,6:55,2,2,CIN 36,14,14,Carson Palmer pass complete short right to Larry Fitzgerald for 9 yards (tackle by Reggie Nelson),3.190,3.780
3,6:14,1,10,CIN 27,14,14,Chris Johnson left tackle for 9 yards (tackle by George Iloka),3.780,4.530
3,5:37,2,1,CIN 18,14,20,"Carson Palmer pass complete deep left to John Brown for 18 yards, touchdown",4.530,7.000
3,5:37,,,CIN 18,14,21,Chandler Catanzaro kicks extra point good,0.000,0.000
3,5:37,,,ARI 35,14,21,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,5:32,1,10,CIN 20,14,21,"Andy Dalton for no gain. Andy Dalton fumbles, recovered by Giovani Bernard at CIN-14",0.280,-1.180
3,5:05,2,16,CIN 14,14,21,Andy Dalton pass incomplete deep left intended for Marvin Jones,-1.180,-2.030
3,4:59,3,16,CIN 14,14,21,Andy Dalton sacked by Dwight Freeney for -9 yards,-2.030,-2.490
3,4:22,4,25,CIN 5,14,21,"Kevin Huber punts 52 yards, returned by Patrick Peterson for 8 yards (tackle by Chris Carter)",-2.490,-2.320
3,4:09,1,10,CIN 49,14,21,"Chris Johnson left tackle for 8 yards (tackle by Carlos Dunlap). Penalty on Mike Iupati: Offensive Holding, 10 yards (no play)",2.320,1.660
3,3:44,1,20,ARI 41,14,21,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald (defended by Wallace Gilberry),1.660,0.430
3,3:40,2,20,ARI 41,14,21,Carson Palmer pass complete short right to Larry Fitzgerald for 6 yards (tackle by Leon Hall),0.430,0.560
3,2:55,3,14,ARI 47,14,21,Carson Palmer pass complete short right to JJ Nelson for 36 yards (tackle by Michael Johnson),0.560,0.560
3,2:15,3,14,ARI 47,14,21,Timeout #1 by Arizona Cardinals,0.560,4.440
3,2:15,1,10,CIN 17,14,21,Chris Johnson left end for 1 yard (tackle by Vontaze Burfict and Leon Hall),4.440,4.000
3,1:32,2,9,CIN 16,14,27,"Carson Palmer pass complete deep left to David Johnson for 16 yards, touchdown",4.000,7.000
3,1:32,,,CIN 16,14,28,Chandler Catanzaro kicks extra point good,0.000,0.000
3,1:32,,,ARI 35,14,28,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,1:26,1,10,CIN 20,14,28,Andy Dalton pass complete short right to A.J. Green for 13 yards,0.280,1.140
3,0:57,1,10,CIN 33,14,28,Andy Dalton pass complete short middle to Tyler Eifert for 9 yards (tackle by Deone Bucannon),1.140,1.810
3,0:24,2,1,CIN 42,14,28,Andy Dalton pass complete short right to Marvin Jones for 20 yards (tackle by Deone Bucannon),1.810,3.050
3,0:04,1,10,ARI 38,14,28,Andy Dalton pass complete short middle to Giovani Bernard for 6 yards (tackle by Kevin Minter and Alex Okafor),3.050,3.320
Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,ARI 32,14,28,Giovani Bernard left end for 10 yards (tackle by Patrick Peterson),3.320,4.110
4,14:43,1,10,ARI 22,14,28,Andy Dalton sacked by Deone Bucannon for -11 yards,4.110,2.080
4,13:57,2,21,ARI 33,14,28,"Penalty on Mohamed Sanu: Delay of Game, 5 yards (no play)",2.080,1.400
4,13:35,2,26,ARI 38,14,28,Andy Dalton pass incomplete deep right intended for Marvin Jones,1.400,0.760
4,13:29,3,26,ARI 38,14,28,Andy Dalton pass complete deep middle to Marvin Jones for 22 yards (tackle by Justin Bethel),0.760,2.450
4,12:43,4,4,ARI 16,14,28,Andy Dalton pass complete short middle to Mohamed Sanu for 10 yards (tackle by Rashad Johnson),2.450,5.830
4,12:03,1,6,ARI 6,14,28,Andy Dalton middle for 5 yards (tackle by Markus Golden),5.830,5.910
4,12:03,2,1,ARI 1,20,28,"Jeremy Hill middle for 1 yard, touchdown",5.910,7.000
4,12:03,,,ARI 1,21,28,Mike Nugent kicks extra point good,0.000,0.000
4,12:03,,,CIN 35,21,28,"Mike Nugent kicks off 73 yards, returned by David Johnson for 29 yards (tackle by Emmanuel Lamur)",0.000,-0.340
4,11:20,1,10,ARI 21,21,28,Carson Palmer pass incomplete short left intended for Larry Fitzgerald,0.340,-0.200
4,11:14,2,10,ARI 21,21,28,Andre Ellington right tackle for no gain (tackle by Vontaze Burfict),-0.200,-0.890
4,10:29,3,10,ARI 21,21,28,"Carson Palmer pass incomplete deep right intended for JJ Nelson. Penalty on Dre Kirkpatrick: Defensive Pass Interference, 16 yards (no play)",-0.890,1.400
4,10:23,1,10,ARI 37,21,28,Chris Johnson right end for 7 yards (tackle by Reggie Nelson),1.400,1.800
4,9:59,2,3,ARI 44,21,28,Chris Johnson middle for no gain (tackle by Leon Hall),1.800,1.090
4,9:13,3,3,ARI 44,21,28,Carson Palmer pass incomplete short left intended for Andre Ellington,1.090,-0.460
4,9:08,4,3,ARI 44,21,28,"Drew Butler punts 39 yards, fair catch by Brandon Tate",-0.460,0.060
4,9:01,1,10,CIN 17,21,28,Andy Dalton pass incomplete short right intended for A.J. Green,-0.060,-0.580
4,8:53,2,10,CIN 17,21,28,Andy Dalton pass incomplete short right intended for Giovani Bernard,-0.580,-0.580
4,8:49,2,10,CIN 17,21,28,Timeout #2 by Arizona Cardinals,-0.580,-1.250
4,8:49,3,10,CIN 17,21,28,"Andy Dalton sacked by Markus Golden for -7 yards. Andy Dalton fumbles (forced by Markus Golden), recovered by Deone Bucannon at CIN-10 (tackle by Clint Boling)",-1.250,-4.910
4,8:41,1,10,CIN 10,21,28,Chris Johnson middle for 2 yards (tackle by Vontaze Burfict),4.910,4.570
4,8:01,2,8,CIN 8,21,28,"Carson Palmer sacked by Michael Johnson for -8 yards. Carson Palmer fumbles (forced by Michael Johnson), recovered by Lyle Sendlein at CIN-14",4.570,3.000
4,7:19,3,14,CIN 14,21,28,Carson Palmer pass complete short left to Larry Fitzgerald for 8 yards (tackle by Vincent Rey),3.000,2.990
4,6:31,4,6,CIN 6,21,31,Chandler Catanzaro 24 yard field goal good,2.990,3.000
4,6:31,,,ARI 35,21,31,"Chandler Catanzaro kicks off 73 yards, returned by Brandon Tate for 58 yards (tackle by Justin Bethel)",0.000,-2.260
,,,,,,,"ARI challenged the runner was down by contact ruling, and the play was upheld.",,
4,6:18,1,10,,21,31,Andy Dalton sacked by Rodney Gunter for -10 yards,2.260,0.360
4,5:36,2,20,CIN 40,21,31,Andy Dalton pass complete short right to Giovani Bernard for 21 yards (tackle by Deone Bucannon),0.360,2.980
4,5:02,1,10,ARI 39,21,31,Andy Dalton pass incomplete deep left intended for A.J. Green,2.980,2.440
4,4:56,2,10,ARI 39,21,31,Andy Dalton pass complete short middle to Rex Burkhead for 7 yards (tackle by Tyrann Mathieu),2.440,2.680
4,4:25,3,3,ARI 32,21,31,Andy Dalton pass complete short right to Mohamed Sanu for 9 yards (tackle by Kevin Minter). Penalty on Justin Bethel: Illegal Use of Hands (Declined),2.680,4.040
4,4:18,1,10,ARI 23,21,31,Andy Dalton pass complete short right to A.J. Green for 13 yards (tackle by Rashad Johnson),4.040,4.910
4,3:53,1,10,ARI 10,21,31,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Jerraud Powers),4.910,4.190
4,3:49,2,10,ARI 10,27,31,"Andy Dalton pass complete short middle to Tyler Eifert for 10 yards, touchdown",4.190,7.000
4,3:49,,,ARI 10,28,31,Mike Nugent kicks extra point good,0.000,0.000
4,3:49,,,CIN 35,28,31,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
4,3:44,1,10,ARI 20,28,31,Carson Palmer pass incomplete short middle intended for Chris Johnson,0.280,-0.270
4,3:40,2,10,ARI 20,28,31,Chris Johnson left tackle for 9 yards (tackle by Vontaze Burfict and Leon Hall),-0.270,0.230
4,2:57,3,1,ARI 29,28,31,Chris Johnson middle for no gain (tackle by Rey Maualuga),0.230,0.230
4,2:52,3,1,ARI 29,28,31,Timeout #1 by Cincinnati Bengals,0.230,-1.440
4,2:52,4,1,ARI 29,28,31,"Drew Butler punts 55 yards, fair catch by Brandon Tate",-1.440,0.140
4,2:45,1,10,CIN 16,28,31,Andy Dalton middle for 6 yards (tackle by Markus Golden),-0.140,0.280
4,2:13,2,4,CIN 22,28,31,Andy Dalton pass complete short left to Marvin Jones for 10 yards,0.280,1.070
4,2:08,1,10,CIN 32,28,31,Andy Dalton pass incomplete short middle intended for Giovani Bernard,1.070,0.530
4,2:04,2,10,CIN 32,28,31,"Andy Dalton pass incomplete deep right intended for Marvin Jones. Penalty on Jerraud Powers: Illegal Use of Hands, 5 yards (no play)",0.530,1.400
4,1:58,1,10,CIN 37,28,31,Andy Dalton pass complete short middle to Giovani Bernard for 30 yards (tackle by Tyrann Mathieu),1.400,3.380
4,1:23,1,10,ARI 33,28,31,Andy Dalton pass incomplete deep right intended for A.J. Green,3.380,2.840
4,1:19,2,10,ARI 33,28,31,Andy Dalton pass complete short right to Marvin Jones for 8 yards,2.840,3.200
4,1:14,3,2,ARI 25,28,31,Andy Dalton pass incomplete deep right intended for A.J. Green (defended by Justin Bethel),3.200,3.200
4,1:08,3,2,ARI 25,28,31,Timeout #2 by Cincinnati Bengals,3.200,1.930
4,1:08,4,2,ARI 25,31,31,Mike Nugent 43 yard field goal good,1.930,3.000
4,1:08,,,CIN 35,31,31,"Mike Nugent kicks off 70 yards, returned by David Johnson for 21 yards (tackle by Cedric Peerman)",0.000,0.140
4,0:58,1,10,ARI 16,31,31,Carson Palmer pass complete deep middle to JJ Nelson for 19 yards (tackle by Dre Kirkpatrick),-0.140,1.270
4,0:42,1,10,ARI 35,31,31,Carson Palmer pass complete deep left to Larry Fitzgerald for 18 yards (tackle by George Iloka),1.270,2.460
4,0:34,1,10,CIN 47,31,31,Carson Palmer pass complete deep middle to Larry Fitzgerald for 20 yards (tackle by Leon Hall),2.460,3.780
4,0:20,1,10,CIN 27,31,31,Carson Palmer spiked the ball,3.780,3.780
4,0:20,1,10,CIN 27,31,31,Timeout #3 by Cincinnati Bengals,3.780,3.230
4,0:20,2,10,CIN 27,31,31,Carson Palmer kneels for -1 yards,3.230,2.410
4,0:06,3,11,CIN 28,31,31,"Penalty on Domata Peko: Unsportsmanlike Conduct, 14 yards (no play)",2.410,4.650
4,0:06,1,10,CIN 14,31,34,Chandler Catanzaro 32 yard field goal good,4.650,3.000
4,0:06,,,ARI 35,31,34,--,0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
