Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
1,2:29,2,11,CAR 28,0,3,Lamar Smith right end for 2 yards (tackle by Cletidus Hunt and Na'il Diggs),0.190,-0.230
1,1:40,2,11,CAR 28,,,Timeout #1 by Carolina Panthers,0.190,-0.230
1,1:40,3,9,CAR 30,0,3,"Rodney Peete pass complete to Steve Smith for 61 yards (tackle by Na'il Diggs). Penalty on Matt Bowen: Face Mask (15 Yards), 5 yards",-0.230,6.280
1,1:13,1,4,GNB 4,0,3,Lamar Smith middle for 1 yard (tackle by Aaron Kampman and Nate Wayne),6.280,5.530
1,0:28,2,3,GNB 3,6,3,"Lamar Smith right guard for 3 yards, touchdown",5.530,7.000
1,0:28,,,GNB 3,7,3,Shayne Graham kicks extra point good,0.000,0.000
1,0:28,,,CAR 30,7,3,"Todd Sauerbrun kicks off 70 yards, returned by Darrien Gordon for 19 yards (tackle by Jarrod Cooper)",0.000,0.150
1,0:18,1,10,GNB 19,7,3,Najeh Davenport right end for 3 yards (tackle by Dan Morgan),0.150,0.070
Quarter,Time,Down,ToGo,Location,CAR,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,GNB 22,7,3,Brett Favre pass complete to Najeh Davenport for 2 yards (tackle by Mark Fields and Reggie Howard),0.070,-0.420
2,14:16,3,5,GNB 24,7,3,Brett Favre pass complete to Robert Ferguson for 12 yards (tackle by Deon Grant),-0.420,1.330
2,13:38,1,10,GNB 36,7,3,Najeh Davenport right end for 2 yards (tackle by Mark Fields and Deon Grant),1.330,1.060
2,12:51,2,8,GNB 38,7,3,Brett Favre pass incomplete intended for Bubba Franks (defended by Mark Fields),1.060,0.370
2,12:46,3,8,GNB 38,7,3,Brett Favre pass complete to Karsten Bailey for 6 yards (tackle by Jarrod Cooper),0.370,-0.460
2,12:12,4,2,GNB 44,7,3,"Josh Bidwell punts 42 yards, fair catch by Steve Smith",-0.460,0.280
2,12:04,1,10,CAR 14,7,3,Lamar Smith right guard for 9 yards (tackle by Mike McKenzie and Darren Sharper),-0.280,0.550
2,11:23,2,1,CAR 23,7,3,Lamar Smith middle for 1 yard (tackle by Nate Wayne and Joe Johnson),0.550,0.540
2,10:41,1,10,CAR 24,7,3,Dee Brown middle for 2 yards (tackle by Matt Bowen and Gilbert Brown),0.540,0.270
2,9:55,2,8,CAR 26,7,3,Dee Brown right end for 1 yard (tackle by Billy Lyon and Mike McKenzie),0.270,-0.300
2,9:10,3,7,CAR 27,7,3,Rodney Peete pass incomplete intended for Isaac Byrd (defended by Mike McKenzie),-0.300,-1.570
2,8:54,4,7,CAR 27,7,3,"Todd Sauerbrun punts 55 yards, returned by Darrien Gordon for 7 yards (tackle by Will Witherspoon)",-1.570,-0.610
