Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
,,,,,,,"MIA challenged the ruling, and the play was upheld.",,
2,13:33,1,10,PHI 40,14,14,Duce Staley right guard for 22 yards (tackle by Brock Marion). Penalty on Larry Chester: Defensive Offside (Declined),1.600,3.050
2,13:14,1,10,MIA 38,14,14,Donovan McNabb left guard for 1 yard (tackle by Junior Seau),3.050,2.640
2,12:35,2,9,MIA 37,14,14,Donovan McNabb pass complete to Jon Ritchie for 8 yards (tackle by Junior Seau),2.640,3.010
2,11:59,3,1,MIA 29,14,14,Donovan McNabb pass complete to James Thrash for 4 yards (tackle by Patrick Surtain),3.010,3.910
2,11:21,1,10,MIA 25,20,14,"Freddie Mitchell pass complete to Brian Westbrook for 25 yards, touchdown",3.910,7.000
2,,,,MIA 2,21,14,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,21,14,"David Akers kicks off 66 yards, returned by Travis Minor for 23 yards (tackle by Ike Reese)",0.000,0.740
2,11:02,1,10,MIA 27,21,14,Jay Fiedler pass incomplete intended for Chris Chambers,0.740,0.200
2,10:56,2,10,MIA 27,21,14,Jay Fiedler pass complete to Ricky Williams for -5 yards (tackle by Nate Wayne),0.200,-1.150
2,10:08,3,15,MIA 22,21,14,Travis Minor right end for 12 yards (tackle by Michael Lewis),-1.150,-1.110
2,9:25,4,3,MIA 34,21,14,Matt Turk punts 24 yards,-1.110,-1.800
2,9:13,1,10,PHI 43,21,14,Donovan McNabb pass incomplete intended for Duce Staley (defended by Adewale Ogunleye),1.800,1.250
2,9:07,,,,21,14,Timeout #1 by Philadelphia Eagles,0.000,1.250
2,9:07,2,10,PHI 43,21,14,Donovan McNabb pass incomplete intended for L.J. Smith is intercepted by Zach Thomas at PHI-49,1.250,-2.320
,,,,,,,"PHI challenged the ruling, and the play was upheld.",,
2,9:02,1,10,PHI 49,21,14,Travis Minor left guard for 1 yard (tackle by Carlos Emmons),2.320,1.920
2,8:20,2,9,PHI 48,21,14,Jay Fiedler pass complete to Randy McMichael for 6 yards (tackle by Carlos Emmons),1.920,2.020
2,7:35,3,3,PHI 42,21,14,Jay Fiedler pass complete to Oronde Gadsden for 7 yards (tackle by Bobby Taylor),2.020,3.250
2,7:09,1,10,PHI 35,21,14,Travis Minor right guard for 3 yards (tackle by Brandon Whiting),3.250,3.110
2,6:19,2,7,PHI 32,21,14,Jay Fiedler pass incomplete intended for Randy McMichael (defended by Mark Simoneau),3.110,2.410
2,6:12,3,7,PHI 32,21,14,Jay Fiedler pass incomplete intended for Chris Chambers,2.410,1.240
2,6:07,4,7,PHI 32,21,14,Jay Fiedler pass incomplete intended for Oronde Gadsden,1.240,-1.070
2,6:02,1,10,PHI 32,21,14,Correll Buckhalter up the middle for no gain (tackle by Jeff Zgonina and Patrick Surtain),1.070,0.530
2,5:23,2,10,PHI 32,21,14,Duce Staley left guard for 13 yards (tackle by Zach Thomas and Patrick Surtain),0.530,1.930
2,4:45,1,10,PHI 45,21,14,"Correll Buckhalter left guard for 3 yards (tackle by Zach Thomas and Larry Chester). Penalty on Sammy Knight: Personal Foul, 15 yards",1.930,3.120
2,4:16,1,10,MIA 37,21,14,Donovan McNabb pass complete to L.J. Smith for 9 yards (tackle by Zach Thomas),3.120,3.790
2,3:38,2,1,MIA 28,21,14,Donovan McNabb sacked by Jason Taylor for 0 yards,3.790,3.070
2,3:02,3,1,MIA 28,21,14,Donovan McNabb pass incomplete intended for James Thrash (defended by Zach Thomas),3.070,1.720
2,2:55,4,1,MIA 28,24,14,David Akers 46 yard field goal good,1.720,3.000
2,,,,PHI 30,24,14,"David Akers kicks off 64 yards, returned by Travis Minor for 16 yards (tackle by Justin Ena)",0.000,0.410
2,2:43,1,10,MIA 22,24,14,Jay Fiedler pass complete to Derrius Thompson for 19 yards (tackle by Mark Simoneau),0.410,1.660
2,2:04,1,10,MIA 41,24,14,Jay Fiedler pass incomplete intended for Donald Lee,1.660,1.120
2,1:59,2,10,MIA 41,24,14,Ricky Williams right guard for 3 yards (tackle by Corey Simon),1.120,0.830
2,1:53,,,,24,14,Timeout #3 by Philadelphia Eagles,0.000,0.830
2,1:53,3,7,MIA 44,24,14,Jay Fiedler pass incomplete intended for Ricky Williams,0.830,-0.460
2,1:47,4,7,MIA 44,24,14,"Matt Turk punts 33 yards. Penalty on Ike Reese: Roughing the Kicker, 15 yards (no play)",-0.460,2.850
2,1:37,1,10,PHI 41,24,14,Jay Fiedler pass complete to Randy McMichael for 24 yards (tackle by Brian Dawkins),2.850,4.440
2,1:01,1,10,PHI 17,24,14,"Ricky Williams up the middle for 4 yards (tackle by N.D. Kalu). Penalty on Jamie Nails: Offensive Holding, 10 yards (no play)",4.440,3.780
2,0:56,1,20,PHI 27,24,14,Jay Fiedler for 7 yards,3.780,3.490
2,0:46,2,13,PHI 20,24,14,Jay Fiedler pass complete to James McKnight for 11 yards (tackle by Brian Dawkins),3.490,4.570
2,0:35,,,,24,14,Timeout #2 by Miami Dolphins,0.000,4.570
2,0:35,3,2,PHI 9,24,14,Jay Fiedler pass incomplete intended for Chris Chambers,4.570,2.950
2,0:30,4,2,PHI 9,24,17,Olindo Mare 27 yard field goal good,2.950,3.000
2,,,,MIA 30,24,17,"Olindo Mare kicks off 61 yards, returned by James Thrash for 16 yards (tackle by Jimmy Wyrick)",0.000,0.610
2,0:19,1,10,PHI 25,24,17,Donovan McNabb kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,24,17,"David Akers kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,MIA 20,24,17,Ricky Williams right end for 7 yards (tackle by Michael Lewis),0.280,0.680
3,14:40,2,3,MIA 27,24,17,Ricky Williams up the middle for 5 yards (tackle by Brian Dawkins),0.680,1.070
3,13:59,1,10,MIA 32,24,17,Jay Fiedler pass incomplete intended for Derrius Thompson,1.070,0.530
3,13:53,2,10,MIA 32,24,17,Ricky Williams right guard for 6 yards (tackle by Mark Simoneau),0.530,0.630
3,13:07,3,4,MIA 38,24,17,Jay Fiedler pass complete to Randy McMichael for 10 yards (tackle by Mark Simoneau),0.630,2.130
3,12:40,1,10,MIA 48,24,17,Ricky Williams left guard for -1 yards (tackle by Darwin Walker),2.130,1.450
3,11:49,2,11,MIA 47,24,17,Jay Fiedler pass complete to Derrius Thompson for 12 yards,1.450,2.850
3,11:19,1,10,PHI 41,24,17,Jay Fiedler pass complete to Randy McMichael for 35 yards (tackle by Mark Simoneau),2.850,5.830
3,10:30,1,6,PHI 6,24,17,Jay Fiedler pass complete to Randy McMichael for 3 yards (tackle by Carlos Emmons),5.830,5.530
3,9:52,2,3,PHI 3,24,23,"Ricky Williams left end for 3 yards, touchdown",5.530,7.000
3,,,,PHI 2,24,24,Olindo Mare kicks extra point good,0.000,0.000
3,,,,MIA 30,24,24,"Olindo Mare kicks off 60 yards, returned by James Thrash for 20 yards (tackle by Arturo Freeman)",0.000,0.940
3,9:37,1,10,PHI 30,24,24,Donovan McNabb pass complete to L.J. Smith for 6 yards (tackle by Morlon Greenwood),0.940,1.200
3,9:02,2,4,PHI 36,24,24,Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Terrell Buckley),1.200,0.500
3,8:57,3,4,PHI 36,24,24,Donovan McNabb pass complete to Freddie Mitchell for 17 yards (tackle by Brock Marion),0.500,2.460
3,8:26,1,10,MIA 47,24,24,Donovan McNabb for 1 yard,2.460,2.050
3,7:51,2,9,MIA 46,24,24,Donovan McNabb pass incomplete intended for Brian Westbrook,2.050,1.350
3,7:45,3,9,MIA 46,24,24,"Donovan McNabb pass incomplete intended for Brian Westbrook. Penalty on Junior Seau: Roughing the Passer, 15 yards (no play)",1.350,3.510
3,7:39,1,10,MIA 31,24,24,Correll Buckhalter up the middle for 3 yards (tackle by Junior Seau and Jay Williams),3.510,3.370
3,7:01,2,7,MIA 28,24,24,"Donovan McNabb pass incomplete intended for Freddie Mitchell. Penalty on Bobbie Williams: Offensive Pass Interference, 10 yards (no play)",3.370,2.020
3,6:55,2,17,MIA 38,24,24,Donovan McNabb pass incomplete intended for James Thrash (defended by David Bowens),2.020,1.360
3,6:51,3,17,MIA 38,24,24,"Brian Westbrook up the middle for 3 yards (tackle by Brock Marion and Zach Thomas). Penalty on Jon Runyan: Personal Foul, 15 yards",1.360,-0.060
3,6:31,4,29,MIA 50,24,24,"Dirk Johnson punts 36 yards, fair catch by Charlie Rogers",-0.060,0.280
3,6:23,1,10,MIA 14,24,24,Ricky Williams up the middle for 6 yards (tackle by Carlos Emmons),-0.280,0.150
3,5:49,2,4,MIA 20,24,24,Ricky Williams right guard for 5 yards (tackle by Carlos Emmons),0.150,0.610
3,5:01,1,10,MIA 25,24,24,Jay Fiedler sacked by Brian Dawkins and Corey Simon for -11 yards,0.610,-1.540
3,4:36,2,21,MIA 14,24,24,Ricky Williams right guard for 9 yards (tackle by Michael Lewis),-1.540,-0.890
3,3:52,3,12,MIA 23,24,24,Jay Fiedler pass incomplete intended for Ricky Williams,-0.890,-1.830
3,3:45,4,12,MIA 23,24,24,"Matt Turk punts 39 yards, fair catch by Brian Westbrook",-1.830,-1.470
3,3:38,1,10,PHI 38,24,24,Donovan McNabb pass incomplete intended for Chad Lewis,1.470,0.920
3,3:33,2,10,PHI 38,24,24,Brian Westbrook left tackle for 28 yards (tackle by Sammy Knight),0.920,3.310
3,2:46,1,10,MIA 34,24,24,Donovan McNabb pass complete to Freddie Mitchell for 13 yards (tackle by Brock Marion),3.310,4.170
3,2:13,1,10,MIA 21,24,24,"Donovan McNabb pass incomplete. Penalty on Donovan McNabb: Intentional Grounding, 10 yards",4.170,2.280
3,2:06,2,20,MIA 31,24,24,Brian Westbrook left tackle for 2 yards (tackle by Sammy Knight and Jason Taylor),2.280,1.880
3,1:16,3,18,MIA 29,24,24,"Donovan McNabb pass incomplete intended for Chad Lewis. Penalty on Arturo Freeman: Defensive Pass Interference, 28 yards (no play)",1.880,6.970
3,1:09,1,1,MIA 1,24,24,"Donovan McNabb pass incomplete intended for L.J. Smith. Penalty on Bobbie Williams: Ineligible Downfield Pass, 5 yards (no play)",6.970,5.830
3,1:02,1,6,MIA 6,24,24,"Donovan McNabb pass complete to L.J. Smith for 1 yard (tackle by Zach Thomas). L.J. Smith fumbles (forced by Zach Thomas), recovered by Hank Fraley at MIA-5",5.830,5.150
3,0:16,2,5,MIA 5,24,24,"Donovan McNabb pass complete to Todd Pinkston for 3 yards (tackle by Terrell Buckley). Penalty on Zach Thomas: Defensive Holding, 3 yards, Penalty on Sam Madison: Illegal Use of Hands (Declined) (no play)",5.150,6.740
Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,2,MIA 2,30,24,"Correll Buckhalter right end for 2 yards, touchdown",6.740,7.000
,,,,,,,"PHI challenged the ruling, and the original play was overturned.",,
4,,,,MIA 2,31,24,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,31,24,"David Akers kicks off 68 yards, returned by Travis Minor for 22 yards (tackle by Quintin Mikell)",0.000,0.540
4,14:46,1,10,MIA 24,31,24,James McKnight right end for 7 yards (tackle by Carlos Emmons and Mark Simoneau),0.540,0.940
4,14:06,2,3,MIA 31,31,24,Jay Fiedler pass incomplete intended for Chris Chambers,0.940,0.230
4,13:59,3,3,MIA 31,31,24,Jay Fiedler pass complete to Chris Chambers for 5 yards (tackle by Carlos Emmons),0.230,1.330
4,13:28,1,10,MIA 36,31,24,Ricky Williams left guard for 5 yards (tackle by Carlos Emmons and Nate Wayne),1.330,1.470
4,12:45,2,5,MIA 41,31,24,Ricky Williams right end for no gain (tackle by Michael Lewis),1.470,0.760
4,12:11,3,5,MIA 41,31,24,"Penalty on MIA: Delay of Game, 5 yards (no play)",0.760,0.100
4,11:49,3,10,MIA 36,31,24,Jay Fiedler pass complete to James McKnight for no gain,0.100,-0.980
4,11:16,4,10,MIA 36,31,24,Matt Turk right tackle for 23 yards (tackle by Brian Westbrook),-0.980,2.850
4,10:22,1,10,PHI 41,31,24,Ricky Williams left guard for -1 yards (tackle by Darwin Walker),2.850,2.170
4,9:44,2,11,PHI 42,31,24,Jay Fiedler pass incomplete intended for Derrius Thompson (defended by Brian Dawkins),2.170,1.490
4,9:35,3,11,PHI 42,31,24,Jay Fiedler pass incomplete intended for Oronde Gadsden,1.490,0.460
4,9:31,4,11,PHI 42,31,24,Matt Turk punts 39 yards,0.460,0.380
4,9:20,1,10,PHI 3,31,24,Donovan McNabb for 6 yards (tackle by Patrick Surtain),-0.380,-0.340
4,8:48,2,4,PHI 9,31,24,Donovan McNabb right tackle for 7 yards (tackle by Sammy Knight),-0.340,-0.140
4,8:03,1,10,PHI 16,31,24,Duce Staley up the middle for 13 yards (tackle by Zach Thomas and Adewale Ogunleye),-0.140,0.870
4,7:20,1,10,PHI 29,31,24,Duce Staley left tackle for 5 yards (tackle by Sammy Knight),0.870,1.000
4,6:35,2,5,PHI 34,31,24,Donovan McNabb pass complete to Chad Lewis for 16 yards (tackle by Brock Marion),1.000,2.260
4,5:48,1,10,MIA 50,31,24,Duce Staley right guard for 3 yards (tackle by Jeff Zgonina and Adewale Ogunleye),2.260,2.120
4,5:04,2,7,MIA 47,31,24,Donovan McNabb pass complete to Jon Ritchie for 5 yards (tackle by Zach Thomas),2.120,2.080
4,4:22,3,2,MIA 42,31,24,Donovan McNabb up the middle for no gain (tackle by Larry Chester),2.080,0.460
4,3:34,4,2,MIA 42,31,24,"Dirk Johnson punts 42 yards, touchback",0.460,-0.280
4,3:24,1,10,MIA 20,31,24,Jay Fiedler up the middle for 5 yards (tackle by Nate Wayne),0.280,0.410
4,2:40,2,5,MIA 25,31,24,Jay Fiedler pass incomplete intended for Chris Chambers,0.410,-0.300
4,2:35,3,5,MIA 25,31,24,Jay Fiedler pass incomplete intended for James McKnight is intercepted by Michael Lewis at MIA-37 and returned for 5 yards (tackle by Tim Ruddy),-0.300,-3.450
4,2:26,1,10,MIA 32,31,24,Duce Staley right tackle for 2 yards (tackle by Adewale Ogunleye),3.450,3.170
4,2:21,,,,31,24,Timeout #1 by Miami Dolphins,0.000,3.170
4,2:21,2,8,MIA 30,31,24,Donovan McNabb pass incomplete intended for Brian Westbrook,3.170,2.480
4,2:15,3,8,MIA 30,31,24,Brian Westbrook right end for 6 yards (tackle by Jeff Zgonina),2.480,1.990
4,2:05,,,,31,24,Timeout #2 by Miami Dolphins,0.000,1.990
4,2:05,4,2,MIA 24,34,24,David Akers 42 yard field goal good,1.990,3.000
4,,,,PHI 30,34,24,"David Akers kicks off 67 yards, returned by Travis Minor for 29 yards (tackle by Clinton Hart)",0.000,1.070
4,1:52,1,10,MIA 32,34,24,Jay Fiedler pass complete to Derrius Thompson for 4 yards (tackle by Sheldon Brown),1.070,1.070
4,1:28,2,6,MIA 36,34,24,Jay Fiedler pass complete to Randy McMichael for 11 yards (tackle by Ike Reese),1.070,2.060
4,1:08,1,10,MIA 47,34,24,Jay Fiedler pass complete to Ricky Williams for 6 yards (tackle by Ike Reese),2.060,2.330
4,0:50,2,4,PHI 47,34,24,Jay Fiedler pass complete to Chris Chambers for 17 yards,2.330,3.580
4,0:42,1,10,PHI 30,34,24,Jay Fiedler sacked by N.D. Kalu for -8 yards,3.580,1.950
4,0:33,,,,34,24,Timeout #3 by Miami Dolphins,0.000,1.950
4,0:33,2,18,PHI 38,34,24,Jay Fiedler pass incomplete intended for Chris Chambers (defended by Lito Sheppard),1.950,1.290
4,0:25,3,18,PHI 38,34,24,Jay Fiedler pass complete to Randy McMichael for 6 yards (tackle by Bobby Taylor),1.290,1.240
4,0:19,4,12,PHI 32,34,27,Olindo Mare 50 yard field goal good,1.240,3.000
4,,,,MIA 30,34,27,Olindo Mare kicks off 12 yards,0.000,2.790
4,0:14,1,10,MIA 42,34,27,Donovan McNabb kneels for -1 yards,2.790,2.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
