Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
2,1:00,4,7,NOR 5,13,7,Steve Weatherford punts 55 yards,-2.490,-1.600
2,0:49,1,10,WAS 40,13,7,Jason Campbell pass incomplete deep left intended for Antwaan Randle El,1.600,1.050
2,0:43,2,10,WAS 40,13,7,Jason Campbell pass incomplete deep right intended for Santana Moss (defended by Josh Bullocks),1.050,0.370
2,0:34,3,10,WAS 40,13,7,Jason Campbell pass complete short left to Brandon Lloyd for 15 yards (tackle by Fred Thomas),0.370,2.590
2,0:28,1,10,NOR 45,13,7,Jason Campbell pass incomplete deep right intended for Antwaan Randle El,2.590,2.040
2,0:21,2,10,NOR 45,13,7,Jason Campbell pass incomplete short right intended for Santana Moss,2.040,1.360
2,0:16,3,10,NOR 45,13,7,Jason Campbell pass complete short right to Ladell Betts for 13 yards (tackle by Scott Fujita),1.360,1.730
Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,13,7,"Shaun Suisham kicks off 58 yards, returned by Michael Lewis for 18 yards (tackle by Reed Doughty)",0.000,0.940
3,14:56,1,10,NOR 30,13,7,Deuce McAllister left tackle for 5 yards (tackle by Andre Carter),0.940,1.070
3,14:15,2,5,NOR 35,13,7,Drew Brees pass incomplete short right intended for Marques Colston,1.070,0.370
3,14:10,3,5,NOR 35,13,7,Drew Brees pass incomplete short left intended for Reggie Bush,0.370,-1.040
3,14:05,4,5,NOR 35,13,7,Steve Weatherford punts 49 yards (tackle by Jamal Jones),-1.040,-0.280
3,13:53,1,10,WAS 20,13,7,Ladell Betts left guard for 6 yards (tackle by Jay Bellamy),0.280,0.540
3,13:18,2,4,WAS 26,13,7,Ladell Betts left tackle for 9 yards (tackle by Charles Grant),0.540,1.270
3,12:43,1,10,WAS 35,13,7,Jason Campbell pass incomplete deep left intended for Chris Cooley,1.270,0.720
3,12:36,2,10,WAS 35,13,7,T.J. Duckett right guard for no gain (tackle by Will Smith),0.720,0.040
3,11:53,3,10,WAS 35,13,7,Jason Campbell pass complete short left to Ladell Betts for 17 yards (tackle by Jason Craft),0.040,2.390
3,11:23,1,10,NOR 48,13,7,Jason Campbell pass incomplete deep right intended for Antwaan Randle El (defended by Mike McKenzie),2.390,1.850
3,11:13,2,10,NOR 48,13,7,Ladell Betts left guard for 1 yard (tackle by Josh Cooper and Scott Shanle),1.850,1.290
3,10:37,3,9,NOR 47,13,7,Jason Campbell pass incomplete deep left intended for Antwaan Randle El (defended by Fred Thomas),1.290,0.130
3,10:30,4,9,NOR 47,13,7,Derrick Frost punts 39 yards,0.130,0.380
3,10:13,1,10,NOR 8,13,7,Deuce McAllister right guard for 5 yards (tackle by Kedric Golston and Phillip Daniels),-0.380,-0.410
3,9:36,2,5,NOR 13,13,7,Drew Brees pass incomplete short left intended for Marques Colston,-0.410,-0.840
3,9:31,3,5,NOR 13,13,7,Drew Brees pass complete short left to Billy Miller for 8 yards (tackle by Carlos Rogers),-0.840,0.340
3,8:52,1,10,NOR 21,13,7,Drew Brees pass complete short right to Terrance Copper for 15 yards (tackle by Shawn Springs),0.340,1.330
3,8:16,1,10,NOR 36,13,7,Reggie Bush middle for no gain (tackle by Cornelius Griffin),1.330,0.790
3,7:41,2,10,NOR 36,13,7,Drew Brees pass incomplete short left intended for Marques Colston,0.790,0.100
3,7:37,3,10,NOR 36,13,7,"Drew Brees middle for 3 yards (tackle by Lemar Marshall). Penalty on Drew Brees: Illegal Forward Pass, 5 yards",0.100,-1.110
3,7:05,4,12,NOR 34,13,7,"Steve Weatherford punts 36 yards, fair catch by Antwaan Randle El",-1.110,-0.940
