Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
2,0:13,1,10,BAL 21,7,17,Joe Flacco pass complete short left to Ray Rice for 24 yards (tackle by Dante Hughes),0.340,1.930
2,0:04,,,,7,17,Timeout #1 by Baltimore Ravens,0.000,0.000
2,0:04,,,,7,17,Timeout #2 by San Diego Chargers,0.000,1.930
2,0:04,1,10,BAL 45,7,17,Joe Flacco sacked by Antwan Barnes for -8 yards,1.930,0.300
Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,7,17,"Billy Cundiff kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,7,17,Philip Rivers pass incomplete short right intended for Randy McMichael (defended by Bernard Pollard),0.280,-0.270
3,14:55,2,10,SDG 20,7,17,Ryan Mathews up the middle for 2 yards (tackle by Haloti Ngata and Cory Redding),-0.270,-0.690
3,14:11,3,8,SDG 22,7,17,Philip Rivers pass complete short left to Malcom Floyd for 16 yards (tackle by Ed Reed and Cary Williams),-0.690,1.470
3,13:30,1,10,SDG 38,7,17,Ryan Mathews left end for 3 yards (tackle by Jarret Johnson and Arthur Jones),1.470,1.330
3,12:45,2,7,SDG 41,7,17,Philip Rivers pass complete short middle to Vincent Brown for 13 yards (tackle by Cary Williams),1.330,2.520
3,12:01,1,10,BAL 46,7,17,Ryan Mathews left end for 18 yards (tackle by Dannell Ellerbe),2.520,3.710
3,11:27,1,10,BAL 28,7,17,Ryan Mathews right guard for no gain (tackle by Cory Redding and Jameel McClain),3.710,3.170
3,10:47,2,10,BAL 28,7,23,"Philip Rivers pass complete deep right to Malcom Floyd for 28 yards, touchdown",3.170,7.000
3,,,,BAL 2,7,24,Nick Novak kicks extra point good,0.000,0.000
3,,,,SDG 35,7,24,"Nick Novak kicks off 70 yards, touchback",0.000,0.280
3,10:38,1,10,BAL 20,7,24,Joe Flacco pass complete short left to Torrey Smith for 10 yards (tackle by Antoine Cason and Quentin Jammer),0.280,0.940
3,10:09,1,10,BAL 30,7,24,Joe Flacco pass complete short left to Ed Dickson for 12 yards (tackle by Steve Gregory),0.940,1.730
3,9:49,1,10,BAL 42,7,24,Joe Flacco sacked by Tommie Harris for -8 yards,1.730,0.110
3,9:15,2,18,BAL 34,7,24,Joe Flacco pass complete short right to Dennis Pitta for 4 yards (tackle by Dante Hughes),0.110,-0.030
3,8:36,3,14,BAL 38,7,24,"Joe Flacco sacked by Antwan Barnes for -7 yards. Penalty on Antwan Barnes: Face Mask (15 Yards), 15 yards",-0.030,1.990
3,8:08,1,10,BAL 46,7,24,Joe Flacco pass complete short right to Ray Rice for 9 yards (tackle by Na'il Diggs),1.990,2.670
3,7:24,2,1,SDG 45,7,24,Ricky Williams right tackle for 8 yards (tackle by Shaun Phillips),2.670,3.120
3,6:45,1,10,SDG 37,7,24,Joe Flacco pass incomplete short right intended for Ricky Williams,3.120,2.570
3,6:38,2,10,SDG 37,7,24,"Joe Flacco pass incomplete short middle intended for Lee Evans is intercepted by Takeo Spikes at SDG-28 and returned for 45 yards (tackle by Marshall Yanda). Penalty on SDG: Unsportsmanlike Conduct, 15 yards",2.570,-2.790
3,6:21,1,10,BAL 42,7,24,Ryan Mathews up the middle for 2 yards (tackle by Jarret Johnson),2.790,2.510
3,5:43,2,8,BAL 40,7,24,Philip Rivers pass complete short middle to Vincent Jackson for 11 yards (tackle by Ed Reed),2.510,3.640
3,4:57,1,10,BAL 29,7,24,Ryan Mathews left guard for 5 yards (tackle by Ray Lewis),3.640,3.780
3,4:15,2,5,BAL 24,7,24,Philip Rivers pass complete deep right to Malcom Floyd for 21 yards (tackle by Jimmy Smith),3.780,6.510
3,4:09,1,3,BAL 3,7,30,"Ryan Mathews up the middle for 3 yards, touchdown",6.510,7.000
3,,,,BAL 2,7,31,Nick Novak kicks extra point good,0.000,0.000
3,,,,SDG 35,7,31,"Nick Novak kicks off 62 yards, returned by Tom Zbikowski for 19 yards (tackle by Andrew Gachkar)",0.000,0.410
3,3:59,1,10,BAL 22,7,31,Ray Rice up the middle for 4 yards (tackle by Na'il Diggs and Antonio Garay),0.410,0.410
3,3:33,2,6,BAL 26,7,31,Joe Flacco pass complete short right to Ray Rice for 1 yard (tackle by Na'il Diggs and Shaun Phillips),0.410,-0.160
3,2:54,3,5,BAL 27,7,31,Joe Flacco pass incomplete short middle intended for Ray Rice is intercepted by Shaun Phillips at BAL-27,-0.160,-3.780
3,2:48,1,10,BAL 27,7,31,Ryan Mathews up the middle for no gain (tackle by Haloti Ngata),3.780,3.230
3,2:09,2,10,BAL 27,7,31,Philip Rivers pass incomplete,3.230,2.540
3,2:03,3,10,BAL 27,7,31,Mike Tolbert up the middle for 8 yards (tackle by Paul Kruger),2.540,2.310
3,1:21,4,2,BAL 19,7,31,Nick Novak 37 yard field goal no good,2.310,-0.810
3,1:16,1,10,BAL 28,7,31,"Joe Flacco pass complete short right to Torrey Smith for 5 yards (tackle by Donald Butler). Torrey Smith fumbles (forced by Donald Butler), recovered by Marshall Yanda at BAL-33",0.810,0.940
3,0:42,2,5,BAL 33,7,31,Joe Flacco pass complete short right to Torrey Smith for 10 yards (tackle by Quentin Jammer),0.940,1.800
3,0:10,1,10,BAL 43,7,31,Joe Flacco pass complete short middle to Ray Rice for 4 yards (tackle by Donald Butler),1.800,1.790
Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,BAL 47,7,31,Joe Flacco sacked by Antwan Barnes for -8 yards,1.790,0.040
4,14:29,3,14,BAL 39,7,31,Joe Flacco pass complete short right to Ray Rice for 5 yards (tackle by Shaun Phillips and Steve Gregory),0.040,-0.460
4,13:54,4,9,BAL 44,7,31,Sam Koch punts 55 yards,-0.460,0.380
4,13:42,1,10,SDG 1,7,31,"Jacob Hester up the middle for no gain (tackle by Haloti Ngata). Penalty on Terrell Suggs: Defensive Offside, 5 yards (no play)",-0.380,-0.190
4,13:26,1,5,SDG 6,7,31,Jacob Hester left guard for 4 yards (tackle by Ray Lewis),-0.190,-0.120
4,13:08,2,1,SDG 10,7,31,Ryan Mathews up the middle for 5 yards (tackle by Albert McClellan and Bernard Pollard),-0.120,-0.220
4,12:24,1,10,SDG 15,7,31,Ryan Mathews up the middle for 3 yards (tackle by Bernard Pollard and Ray Lewis),-0.220,-0.280
4,11:45,2,7,SDG 18,7,31,Ryan Mathews up the middle for 4 yards (tackle by Haloti Ngata),-0.280,-0.510
4,11:03,3,3,SDG 22,7,31,Mike Tolbert up the middle for 22 yards (tackle by Jimmy Smith),-0.510,1.860
4,10:15,1,10,SDG 44,7,31,Ryan Mathews up the middle for no gain (tackle by Jarret Johnson),1.860,1.320
4,9:32,2,10,SDG 44,7,31,Mike Tolbert up the middle for 5 yards (tackle by Ray Lewis),1.320,1.290
4,8:47,3,5,SDG 49,7,31,Philip Rivers pass complete short right to Mike Tolbert for 11 yards (tackle by Jarret Johnson),1.290,2.920
4,7:59,1,10,BAL 40,7,31,Ryan Mathews left end for 1 yard (tackle by Bernard Pollard),2.920,2.510
4,7:18,2,9,BAL 39,7,31,Ryan Mathews left end for 24 yards (tackle by Cary Williams),2.510,4.580
4,6:40,1,10,BAL 15,7,31,Ryan Mathews up the middle for 2 yards (tackle by Haloti Ngata and Pernell McPhee),4.580,4.280
4,5:58,2,8,BAL 13,7,31,Mike Tolbert up the middle for no gain (tackle by Arthur Jones),4.280,3.400
4,5:15,3,8,BAL 13,7,31,Mike Tolbert up the middle for 3 yards (tackle by Terrell Suggs and Jameel McClain),3.400,2.810
4,4:31,4,5,BAL 10,7,34,Nick Novak 28 yard field goal good,2.810,3.000
4,,,,SDG 35,7,34,"Nick Novak kicks off 67 yards, returned by David Reed for 47 yards (tackle by Steve Gregory)",0.000,1.930
4,4:19,1,10,BAL 45,7,34,Joe Flacco pass incomplete short left intended for Lee Evans,1.930,1.380
4,4:13,2,10,BAL 45,7,34,Joe Flacco pass complete short right to Torrey Smith for 5 yards (tackle by Paul Oliver),1.380,1.360
4,4:05,3,5,,7,34,Joe Flacco pass complete short left to Dennis Pitta for 10 yards (tackle by Bront Bird),1.360,2.920
4,3:41,1,10,SDG 40,7,34,Joe Flacco pass complete short right to Ray Rice for 1 yard (tackle by Bront Bird and Andrew Gachkar),2.920,2.510
4,3:10,2,9,SDG 39,7,34,Joe Flacco pass complete short right to Ray Rice for 3 yards (tackle by Bront Bird),2.510,2.210
4,2:36,3,6,SDG 36,7,34,Joe Flacco pass complete short left to Ed Dickson for 9 yards (tackle by Andrew Gachkar),2.210,3.780
4,2:13,1,10,SDG 27,7,34,Joe Flacco sacked by Shaun Phillips and Antonio Garay for -9 yards,3.780,2.020
4,2:04,2,19,SDG 36,13,34,"Joe Flacco pass complete deep middle to Torrey Smith for 36 yards, touchdown",2.020,7.000
4,,,,SDG 2,14,34,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,BAL 35,14,34,Billy Cundiff kicks onside 9 yards. Penalty on David Reed: Illegal Touch Kick (Declined),0.000,2.650
4,1:55,1,10,BAL 44,14,34,Jacob Hester up the middle for 2 yards (tackle by Jameel McClain),2.650,2.380
4,1:48,,,,14,34,Timeout #2 by Baltimore Ravens,0.000,2.380
4,1:48,2,8,BAL 42,14,34,Ryan Mathews right tackle for 2 yards (tackle by Albert McClellan and Haloti Ngata),2.380,1.950
4,1:43,,,,14,34,Timeout #3 by Baltimore Ravens,0.000,1.950
4,1:43,3,6,BAL 40,14,34,Ryan Mathews up the middle for 4 yards (tackle by Ray Lewis and Cory Redding),1.950,0.890
4,0:57,,,,14,34,Timeout #1 by San Diego Chargers,0.000,0.890
4,0:57,4,2,BAL 36,14,34,Ryan Mathews up the middle for 1 yard (tackle by Jameel McClain and Terrence Cody),0.890,-1.270
4,0:46,1,10,BAL 35,14,34,Tyrod Taylor sacked by Corey Liuget for -3 yards,1.270,0.320
4,0:17,2,13,BAL 32,14,34,Tyrod Taylor sacked by Antwan Barnes for 0 yards,0.320,-0.360
4,0:09,3,13,BAL 32,14,34,Tyrod Taylor pass complete short right to Anquan Boldin for 18 yards (tackle by Bront Bird and Dante Hughes),-0.360,2.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
