Quarter,Time,Down,ToGo,Location,TAM,LVR,Detail,EPB,EPA
2,2:49,2,10,LVR 50,14,10,Derek Carr sacked by Devin White for -11 yards Penalty on LVR: Illegal Formation (Declined),1.710,-0.430
2,2:31,3,21,LVR 39,14,10,Derek Carr pass complete short middle to Devontae Booker for 6 yards (tackle by Lavonte David),-0.430,-0.390
2,2:26,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,2:26,4,15,LVR 45,14,10,"AJ Cole punts 43 yards, fair catch by Jaydon Mickens at TB-12",-0.390,0.350
2,2:19,1,10,TAM 12,14,10,Leonard Fournette right guard for 6 yards (tackle by Clelin Ferrell),-0.350,-0.070
2,2:03,2,4,TAM 18,14,10,Tom Brady pass incomplete short right,-0.070,-0.720
2,1:56,3,4,TAM 18,14,10,Tom Brady pass complete short middle to Chris Godwin for 5 yards (tackle by Lamarcus Joyner and Nicholas Morrow),-0.720,0.480
2,1:41,1,10,TAM 23,14,10,Tom Brady pass complete short left to Leonard Fournette for 2 yards (tackle by Cory Littleton),0.480,0.200
2,1:33,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,1:33,2,8,TAM 25,14,10,Tom Brady pass complete short right to Chris Godwin for 16 yards (tackle by Jeff Heath and Cory Littleton),0.200,1.660
2,1:12,1,10,TAM 41,14,10,Tom Brady pass incomplete deep middle intended for Scott Miller (defended by Nevin Lawson),1.660,1.120
2,1:07,2,10,TAM 41,14,10,Tom Brady pass complete short right to Scott Miller for 11 yards (tackle by Jeff Heath),1.120,2.390
2,1:01,1,10,LVR 48,14,10,Tom Brady pass complete short right to Leonard Fournette for 7 yards (tackle by Trayvon Mullen),2.390,2.790
2,0:46,2,3,LVR 41,14,10,Tom Brady spiked the ball,2.790,2.080
2,0:43,3,3,LVR 41,14,10,Tom Brady pass incomplete short middle intended for Scott Miller (defended by Trayvon Mullen),2.080,0.530
2,0:40,4,3,LVR 41,14,10,Tom Brady pass complete short middle to Chris Godwin for 8 yards (tackle by Lamarcus Joyner),0.530,3.380
2,0:26,1,10,LVR 33,14,10,Tom Brady spiked the ball,3.380,2.840
2,0:25,2,10,LVR 33,20,10,"Tom Brady pass complete deep left to Scott Miller for 33 yards, touchdown",2.840,7.000
2,0:17,,,LVR 15,21,10,Ryan Succop kicks extra point good,0.000,0.000
2,0:17,,,TAM 35,21,10,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,0:17,1,10,LVR 25,21,10,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Devin White),0.610,1.280
Quarter,Time,Down,ToGo,Location,TAM,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,21,10,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,21,10,Josh Jacobs right guard for 4 yards (tackle by Carlton Davis),0.610,0.600
3,14:25,2,6,LVR 29,21,10,Derek Carr pass incomplete short right intended for Hunter Renfrow,0.600,-0.100
3,14:22,3,6,LVR 29,21,10,Derek Carr pass complete short middle to Hunter Renfrow for 15 yards (tackle by Antoine Winfield),-0.100,1.860
3,13:48,1,10,LVR 44,21,10,Derek Carr pass complete short left to Henry Ruggs for 6 yards (tackle by Jamel Dean),1.860,2.130
3,13:23,2,4,LVR 50,21,10,Derek Carr pass incomplete deep left intended for Henry Ruggs,2.130,1.420
3,13:16,3,4,LVR 50,21,10,Derek Carr pass incomplete deep middle intended for Rico Gafford (defended by Carlton Davis) Penalty on LVR: Illegal Formation (Declined),1.420,-0.060
3,13:09,4,4,LVR 50,21,10,"AJ Cole punts 30 yards, fair catch by Jaydon Mickens at TB-20",-0.060,-0.280
3,13:01,1,10,TAM 20,21,10,Ronald Jones left guard for 6 yards (tackle by Cory Littleton),0.280,0.540
3,12:25,2,4,TAM 26,21,10,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by Trayvon Mullen),0.540,1.070
3,11:43,1,10,TAM 32,21,10,Ronald Jones left guard for -1 yards (tackle by Nicholas Morrow and Maliek Collins),1.070,0.390
3,11:06,2,11,TAM 31,21,10,"Tom Brady pass incomplete short middle intended for Mike Evans. Penalty on Nick Kwiatkoski: Defensive Pass Interference, 6 yards (no play)",0.390,1.400
3,11:00,1,10,TAM 37,21,10,Tom Brady pass complete deep right to Scott Miller for 35 yards (tackle by Lamarcus Joyner),1.400,3.710
3,10:33,1,10,LVR 28,21,10,Tom Brady pass complete short left to Tyler Johnson for 3 yards (tackle by Nevin Lawson),3.710,3.570
3,10:02,2,7,LVR 25,21,10,Tom Brady pass complete short left to Cameron Brate for 8 yards (tackle by Nevin Lawson),3.570,4.440
3,9:37,1,10,LVR 17,21,10,Ronald Jones right guard for -3 yards (tackle by Lamarcus Joyner and Maliek Collins),4.440,3.490
3,9:01,2,13,LVR 20,21,10,Tom Brady pass incomplete deep right intended for Rob Gronkowski (defended by Trayvon Mullen),3.490,2.810
3,8:55,3,13,LVR 20,21,10,Tom Brady pass complete short left to Scott Miller for 10 yards (tackle by Trayvon Mullen),2.810,2.860
3,8:20,4,3,LVR 10,24,10,Ryan Succop 29 yard field goal good,2.860,3.000
3,8:16,,,TAM 35,24,10,"Bradley Pinion kicks off 47 yards, muffed catch by Devontae Booker returned by Devontae Booker for 4 yards (tackle by Mike Edwards)",0.000,0.870
3,8:10,1,10,LVR 29,24,10,Derek Carr pass complete short middle to Hunter Renfrow for 11 yards (tackle by Sean Murphy-Bunting),0.870,1.600
3,7:45,1,10,LVR 40,24,10,Josh Jacobs left guard for 1 yard (tackle by Steve McLendon),1.600,1.190
3,7:03,2,9,LVR 41,24,10,Derek Carr pass complete short middle to Josh Jacobs for 2 yards (tackle by Lavonte David),1.190,0.760
3,6:16,3,7,LVR 43,24,10,"Derek Carr pass deep middle is intercepted by Mike Edwards at TB-35 and returned for 15 yards. Penalty on Shaquil Barrett: Defensive Offside, 5 yards (no play)",0.760,1.420
3,6:08,3,2,LVR 48,24,10,"Derek Carr sacked by Ndamukong Suh for no gain. Penalty on Sean Murphy-Bunting: Defensive Holding, 5 yards (no play)",1.420,2.460
3,5:46,1,10,TAM 47,24,10,Derek Carr pass complete deep left to Nelson Agholor for 44 yards (tackle by Jamel Dean),2.460,6.510
3,4:56,1,3,TAM 3,24,10,Josh Jacobs left guard for 2 yards (tackle by William Gholston),6.510,5.910
3,4:18,2,1,TAM 1,24,16,"Derek Carr pass complete short left to Darren Waller for 1 yard, touchdown. Penalty on Gabe Jackson: Disqualification, 15 yards",5.910,7.000
3,4:15,,,TAM 15,24,17,Daniel Carlson kicks extra point good,0.000,0.000
3,4:15,,,LVR 20,24,17,"Daniel Carlson kicks off 74 yards, returned by Jaydon Mickens for 28 yards (tackle by Kyle Wilber)",0.000,1.200
3,4:08,1,10,TAM 34,24,17,Tom Brady pass complete short right to Ronald Jones for 2 yards (tackle by Trayvon Mullen),1.200,0.930
3,3:31,2,8,TAM 36,24,17,"Penalty on Tom Brady: False Start, 5 yards (no play)",0.930,0.250
3,3:18,2,13,TAM 31,24,17,Tom Brady pass complete short left to Chris Godwin for 4 yards (tackle by Nick Kwiatkoski and Nevin Lawson),0.250,0.100
3,2:38,3,9,TAM 35,24,17,Tom Brady pass incomplete deep right intended for Scott Miller,0.100,-1.040
3,2:31,4,9,TAM 35,24,17,Bradley Pinion punts 36 yards out of bounds,-1.040,-0.870
3,2:23,1,10,LVR 29,24,17,Devontae Booker left guard for 2 yards (tackle by Shaquil Barrett),0.870,0.600
3,2:03,2,8,LVR 31,24,17,Derek Carr pass complete short right to Darren Waller for 11 yards (tackle by Devin White),0.600,1.730
3,1:25,1,10,LVR 42,24,17,Derek Carr pass complete short right to Devontae Booker for 3 yards (tackle by Devin White),1.730,1.590
3,0:53,2,7,LVR 45,24,17,Derek Carr pass incomplete short left intended for Nelson Agholor,1.590,0.890
3,0:48,3,7,LVR 45,24,17,Derek Carr right tackle for 9 yards (tackle by Lavonte David),0.890,2.520
3,0:07,1,10,TAM 46,24,17,Derek Carr pass complete short middle to Darren Waller for 10 yards (tackle by Sean Murphy-Bunting),2.520,3.180
Quarter,Time,Down,ToGo,Location,TAM,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TAM 36,24,17,Henry Ruggs right end for 10 yards (tackle by Mike Edwards),3.180,3.840
4,14:16,1,10,TAM 26,24,17,Derek Carr pass complete short middle to Jason Witten for 6 yards (tackle by Shaquil Barrett),3.840,4.110
4,13:29,2,4,TAM 20,24,17,Derek Carr pass incomplete short right intended for Nelson Agholor,4.110,3.400
4,13:23,3,4,TAM 20,24,17,Derek Carr pass complete short right to Darren Waller for 3 yards (tackle by Lavonte David),3.400,2.460
4,12:48,4,1,TAM 17,24,20,Daniel Carlson 36 yard field goal good,2.460,3.000
4,12:43,,,LVR 35,24,20,"Daniel Carlson kicks off 66 yards, returned by Jaydon Mickens for 34 yards (tackle by Trayvon Mullen)",0.000,1.140
4,12:37,1,10,TAM 33,24,20,Ronald Jones right tackle for -3 yards (tackle by Lamarcus Joyner),1.140,0.190
4,12:03,2,13,TAM 30,24,20,Tom Brady pass incomplete deep left,0.190,-0.490
4,11:57,3,13,TAM 30,24,20,Tom Brady pass complete short middle to Leonard Fournette for 13 yards (tackle by Nicholas Morrow),-0.490,1.800
4,11:19,1,10,TAM 43,24,20,Leonard Fournette left guard for 2 yards (tackle by Nick Kwiatkoski),1.800,1.520
4,10:39,2,8,TAM 45,24,20,Leonard Fournette left guard for 6 yards (tackle by Cory Littleton and Nick Kwiatkoski),1.520,1.620
4,10:02,3,2,LVR 49,24,20,"Tom Brady pass incomplete deep right intended for Mike Evans. Penalty on Trayvon Mullen: Defensive Pass Interference, 9 yards (no play)",1.620,2.920
4,9:56,1,10,LVR 40,24,20,Ronald Jones left guard for 3 yards (tackle by Maxx Crosby and Cory Littleton),2.920,2.780
4,9:20,2,7,LVR 37,24,20,Tom Brady pass complete short middle to Mike Evans for 15 yards (tackle by Erik Harris),2.780,4.110
4,8:45,1,10,LVR 22,24,20,Tom Brady pass complete short right to Rob Gronkowski for 6 yards (tackle by Trayvon Mullen),4.110,4.460
4,7:58,2,4,LVR 16,24,20,Tom Brady pass incomplete deep right intended for Rob Gronkowski,4.460,3.740
4,7:53,3,4,LVR 16,24,20,Tom Brady pass complete short left to Scott Miller for 12 yards (tackle by Trayvon Mullen),3.740,6.280
4,7:29,1,4,LVR 4,30,20,"Tom Brady pass complete short right to Chris Godwin for 4 yards, touchdown",6.280,7.000
4,7:22,,,LVR 15,31,20,Ryan Succop kicks extra point good,0.000,0.000
4,7:22,,,TAM 35,31,20,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,7:22,1,10,LVR 25,31,20,Derek Carr pass short middle (defended by Mike Edwards) intended for Nelson Agholor is intercepted by Antoine Winfield at LV-40 and returned for 16 yards,0.610,-3.970
4,7:09,1,10,LVR 24,31,20,Tom Brady pass complete deep left to Chris Godwin for 23 yards (tackle by Erik Harris),3.970,6.970
4,6:44,1,1,LVR 1,37,20,"Ronald Jones right guard for 1 yard, touchdown",6.970,7.000
4,6:40,,,LVR 15,38,20,Ryan Succop kicks extra point good,0.000,0.000
4,6:40,,,TAM 35,38,20,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,6:40,1,10,LVR 25,38,20,Derek Carr pass complete short left to Hunter Renfrow for 7 yards (tackle by Jamel Dean),0.610,1.010
4,6:16,2,3,LVR 32,38,20,Devontae Booker right tackle for 2 yards (tackle by Shaquil Barrett and Devin White),1.010,0.560
4,5:41,3,1,LVR 34,38,20,Derek Carr pass incomplete deep left intended for Hunter Renfrow,0.560,-1.110
4,5:35,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,5:35,4,1,LVR 34,38,20,"Derek Carr sacked by Devin White for -2 yards. Derek Carr fumbles, ball out of bounds at LV-32 (forced by Devin White). Penalty on John Simpson: Offensive Holding (Declined)",-1.110,-3.450
4,5:27,1,10,LVR 32,38,20,Leonard Fournette left guard for 2 yards (tackle by Johnathan Hankins),3.450,3.170
4,4:52,2,8,LVR 30,38,20,Leonard Fournette right guard for 1 yard (tackle by Maxx Crosby and Nick Kwiatkoski),3.170,2.610
4,4:05,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,4:05,3,7,LVR 29,38,20,Tom Brady pass complete deep left to Mike Evans for 22 yards (tackle by Nevin Lawson),2.610,5.600
4,4:00,1,7,LVR 7,38,20,Leonard Fournette left tackle for -1 yards (tackle by Maxx Crosby),5.600,4.570
4,3:20,2,8,LVR 8,38,20,Leonard Fournette left end for 7 yards (tackle by Erik Harris),4.570,5.170
4,3:13,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,3:13,3,1,LVR 1,44,20,"Tom Brady pass complete short middle to Tyler Johnson for 1 yard, touchdown. Penalty on Cory Littleton: Defensive Holding (Declined)",5.170,7.000
4,3:08,,,LVR 15,45,20,Ryan Succop kicks extra point good,0.000,0.000
4,3:08,,,TAM 35,45,20,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,3:08,1,10,LVR 25,45,20,Jalen Richard left guard for 4 yards (tackle by Lavonte David),0.610,0.600
4,2:30,2,6,LVR 29,45,20,Jalen Richard right guard for no gain (tackle by Pat O'Connor),0.600,-0.100
4,2:00,3,6,LVR 29,45,20,Jalen Richard left tackle for 9 yards (tackle by Cam Gill),-0.100,1.470
4,1:33,1,10,LVR 38,45,20,Jalen Richard right tackle for 2 yards (tackle by Anthony Nelson),1.470,1.190
4,0:57,2,8,LVR 40,45,20,Jalen Richard right guard for 1 yard (tackle by Lavonte David),1.190,0.630
4,0:23,3,7,LVR 41,45,20,Jalen Richard right guard for 6 yards (tackle by Anthony Nelson),0.630,-0.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
