Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
1,1:56,2,8,SFO 27,7,13,Deonte Harris right end for 8 yards (tackle by Dre Greenlaw),3.370,4.310
1,1:17,1,10,SFO 19,7,13,Drew Brees pass complete short right to Michael Thomas for 9 yards (tackle by Richard Sherman),4.310,5.360
1,0:40,2,1,SFO 10,7,13,Latavius Murray left guard for 7 yards (tackle by Ahkello Witherspoon),5.360,6.510
Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,3,SFO 3,7,19,"Drew Brees pass complete short left to Josh Hill for 3 yards, touchdown",6.510,7.000
2,14:57,,,SFO 15,7,20,Wil Lutz kicks extra point good,0.000,0.000
2,14:57,,,NOR 35,7,20,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,14:57,1,10,SFO 25,13,20,"Jimmy Garoppolo pass complete deep middle to Emmanuel Sanders for 75 yards, touchdown",0.610,7.000
2,14:43,,,NOR 15,14,20,Robbie Gould kicks extra point good,0.000,0.000
2,14:43,,,SFO 35,14,20,"Mitch Wishnowsky kicks off 70 yards, returned by Deonte Harris for 21 yards (tackle by Richie James and Emmanuel Moseley)",0.000,-0.140
2,14:39,1,10,NOR 16,14,20,"Drew Brees pass complete short right to Michael Thomas for 7 yards (tackle by Marcell Harris). Michael Thomas fumbles, ball out of bounds at NO-23 (forced by Marcell Harris)",-0.140,0.420
2,14:09,2,3,NOR 23,14,20,Latavius Murray right guard for 6 yards (tackle by Jeremiah Valoaga),0.420,0.870
2,13:34,1,10,NOR 29,14,20,Drew Brees pass complete short right to Ted Ginn for 10 yards (tackle by Marcell Harris),0.870,1.530
2,13:12,1,10,NOR 39,14,20,Alvin Kamara left guard for 17 yards (tackle by Jimmie Ward),1.530,2.650
2,12:28,1,10,SFO 44,14,20,Drew Brees pass complete short left to Latavius Murray for 30 yards (tackle by Jimmie Ward),2.650,4.650
2,11:48,1,10,SFO 14,14,20,Drew Brees pass complete short right to Ted Ginn for 3 yards (tackle by Fred Warner),4.650,4.520
2,11:03,2,7,SFO 11,14,20,Taysom Hill left end for 1 yard (tackle by Ahkello Witherspoon),4.520,3.820
2,10:32,3,6,SFO 10,14,20,Drew Brees pass complete short left to Alvin Kamara for 6 yards (tackle by Dre Greenlaw),3.820,6.280
2,9:48,1,4,SFO 4,14,20,Alvin Kamara left end for 1 yard (tackle by DeForest Buckner and Marcell Harris),6.280,5.530
2,9:04,2,3,SFO 3,14,20,Drew Brees pass complete short right to Josh Hill for 1 yard (tackle by Jimmie Ward),5.530,4.950
2,8:18,3,2,SFO 2,14,20,Alvin Kamara right guard for 1 yard (tackle by Dre Greenlaw),4.950,3.550
2,7:31,4,1,SFO 1,14,26,"Drew Brees up the middle for 1 yard, touchdown",3.550,7.000
2,7:29,,,SFO 15,14,27,Wil Lutz kicks extra point good,0.000,0.000
2,7:29,,,NOR 35,14,27,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,7:29,1,10,SFO 25,14,27,Jimmy Garoppolo pass complete deep middle to Deebo Samuel for 21 yards (tackle by Vonn Bell),0.610,1.990
2,6:48,1,10,SFO 46,14,27,Raheem Mostert right tackle for 19 yards (tackle by Vonn Bell),1.990,3.250
2,6:08,1,10,NOR 35,20,27,"Emmanuel Sanders pass complete deep right to Raheem Mostert for 35 yards, touchdown",3.250,7.000
2,5:59,,,NOR 15,21,27,Robbie Gould kicks extra point good,0.000,0.000
2,5:59,,,SFO 35,21,27,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
2,5:59,1,10,NOR 25,21,27,Taysom Hill right tackle for 6 yards (tackle by Nick Bosa),0.610,0.870
2,5:23,2,4,NOR 31,21,27,Alvin Kamara right guard for 3 yards (tackle by Sheldon Day),0.870,0.560
2,4:40,3,1,NOR 34,21,27,Taysom Hill right end for -6 yards (tackle by Nick Bosa). Penalty on Ryan Ramczyk: Offensive Holding (Declined),0.560,-1.500
2,4:25,4,7,NOR 28,21,27,"Thomas Morstead punts 45 yards, returned by Richie James for 3 yards (tackle by J.T. Gray). Penalty on D.J. Reed: Offensive Holding, 10 yards",-1.500,-0.280
2,4:16,1,10,SFO 20,21,27,Jimmy Garoppolo pass complete short right to Emmanuel Sanders for 7 yards (tackle by P.J. Williams),0.280,0.680
2,3:42,2,3,SFO 27,21,27,Jimmy Garoppolo pass complete short left to George Kittle for -7 yards (tackle by Marcus Davenport),0.680,-0.960
2,2:57,3,10,SFO 20,21,27,Jimmy Garoppolo pass complete short right to George Kittle for 20 yards (tackle by Vonn Bell),-0.960,1.600
2,2:31,1,10,SFO 40,21,27,Matt Breida left tackle for 28 yards (tackle by Marshon Lattimore),1.600,3.450
2,2:00,1,10,NOR 32,21,27,"Raheem Mostert left tackle for 7 yards (tackle by Marshon Lattimore). Penalty on Emmanuel Sanders: Illegal Block Above the Waist, 10 yards",3.450,3.250
2,1:54,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:54,1,13,NOR 35,21,27,Jimmy Garoppolo pass complete short left to Deebo Samuel for 7 yards (tackle by Marshon Lattimore),3.250,3.440
2,1:46,,,,,,Timeout #1 by New Orleans Saints,,
2,1:46,2,6,NOR 28,21,27,Raheem Mostert right guard for 5 yards (tackle by Demario Davis),3.440,3.400
2,1:31,,,,,,Timeout #2 by New Orleans Saints,,
2,1:31,3,1,NOR 23,21,27,Raheem Mostert right end for 18 yards (tackle by David Onyemata),3.400,6.060
2,0:45,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:45,1,5,NOR 5,21,27,"Penalty on Garrett Celek: False Start, 5 yards (no play)",6.060,4.910
2,0:45,1,10,NOR 10,27,27,"Raheem Mostert right guard for 10 yards, touchdown",4.910,7.000
2,0:42,,,NOR 15,28,27,Robbie Gould kicks extra point good,0.000,0.000
2,0:42,,,SFO 35,28,27,"Mitch Wishnowsky kicks off 70 yards, returned by Deonte Harris for 33 yards (tackle by Tarvarius Moore)",0.000,0.810
2,0:37,1,10,NOR 28,28,27,Alvin Kamara left guard for 6 yards (tackle by Arik Armstead and DeForest Buckner),0.810,1.070
2,0:13,2,4,NOR 34,28,27,Drew Brees pass complete short left to Latavius Murray for -5 yards (tackle by DeForest Buckner),1.070,-0.300
2,0:06,,,,,,Timeout #3 by New Orleans Saints,,
2,0:06,3,9,NOR 29,28,27,Latavius Murray up the middle for 18 yards (tackle by Emmanuel Moseley),-0.300,2.060
Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,28,27,"Wil Lutz kicks off 65 yards, returned by Richie James for 21 yards (tackle by Vonn Bell)",0.000,0.340
3,14:55,1,10,SFO 21,28,27,Jimmy Garoppolo pass complete short left to Emmanuel Sanders for 15 yards (tackle by Marcus Williams),0.340,1.330
3,14:21,1,10,SFO 36,28,27,Raheem Mostert left tackle for -1 yards (tackle by Cameron Jordan and Demario Davis),1.330,0.660
3,13:36,2,11,SFO 35,28,27,Jimmy Garoppolo pass short middle intended for Emmanuel Sanders is intercepted by Craig Robertson at SF-43 and returned for 3 yards,0.660,-2.920
3,13:30,1,10,SFO 40,28,27,Alvin Kamara left tackle for 3 yards (tackle by Dre Greenlaw),2.920,2.780
3,12:52,2,7,SFO 37,28,27,Drew Brees pass incomplete short right intended for Ted Ginn,2.780,2.080
3,12:45,3,7,SFO 37,28,27,Drew Brees pass incomplete short left intended for Ted Ginn (defended by Ahkello Witherspoon),2.080,0.790
3,12:41,4,7,SFO 37,28,30,Wil Lutz 55 yard field goal good,0.790,3.000
3,12:36,,,NOR 35,28,30,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,12:36,1,10,SFO 25,28,30,Tevin Coleman left tackle for 3 yards (tackle by Craig Robertson),0.610,0.470
3,12:00,2,7,SFO 28,28,30,Tevin Coleman right end for 6 yards (tackle by Shy Tuttle),0.470,0.560
3,11:18,3,1,SFO 34,28,30,Tevin Coleman right tackle for -3 yards (tackle by Shy Tuttle and Vonn Bell),0.560,-1.310
3,10:41,4,4,SFO 31,28,30,"Mitch Wishnowsky punts 49 yards, fair catch by Deonte Harris at NO-20",-1.310,-0.280
3,10:34,1,10,NOR 20,28,30,"Alvin Kamara left guard for no gain (tackle by D.J. Jones). Alvin Kamara fumbles (forced by D.J. Jones), recovered by DeForest Buckner at NO-20 (tackle by Larry Warford)",0.280,-4.240
3,10:28,1,10,NOR 20,28,30,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 15 yards (tackle by Marcus Williams and Vonn Bell),4.240,6.060
3,9:46,1,5,NOR 5,34,30,"Jimmy Garoppolo pass complete short left to George Kittle for 5 yards, touchdown",6.060,7.000
3,9:40,,,NOR 15,35,30,Robbie Gould kicks extra point good,0.000,0.000
3,9:40,,,SFO 35,35,30,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,9:40,1,10,NOR 25,35,30,Drew Brees pass complete short left to Michael Thomas for 9 yards (tackle by Ahkello Witherspoon),0.610,1.280
3,9:05,2,1,NOR 34,35,30,Latavius Murray right guard for 16 yards (tackle by Jimmie Ward),1.280,2.260
3,8:25,1,10,NOR 50,35,30,Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by Richard Sherman),2.260,2.520
3,7:50,2,4,SFO 44,35,30,Alvin Kamara right end for -3 yards (tackle by Arik Armstead),2.520,1.420
3,7:13,3,7,SFO 47,35,30,Drew Brees pass complete short left to Michael Thomas for 6 yards (tackle by K'Waun Williams and Jimmie Ward),1.420,0.530
3,6:29,4,1,SFO 41,35,30,Taysom Hill left guard for 5 yards (tackle by Dre Greenlaw),0.530,3.180
3,5:47,1,10,SFO 36,35,30,Latavius Murray left guard for 6 yards (tackle by Marcell Harris and Dre Greenlaw),3.180,3.450
3,5:07,2,4,SFO 30,35,30,Drew Brees pass incomplete short left intended for Tre'Quan Smith (defended by Fred Warner),3.450,2.740
3,5:01,3,4,SFO 30,35,30,Drew Brees pass incomplete deep left intended for Michael Thomas,2.740,1.460
3,4:56,4,4,SFO 30,35,33,Wil Lutz 48 yard field goal good,1.460,3.000
3,4:51,,,NOR 35,35,33,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,4:51,1,10,SFO 25,35,33,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel (defended by Shy Tuttle),0.610,0.060
3,4:42,2,10,SFO 25,35,33,Jimmy Garoppolo sacked by Mario Edwards for -10 yards,0.060,-2.350
3,3:55,3,20,SFO 15,35,33,Matt Breida left tackle for 12 yards (tackle by Vonn Bell),-2.350,-1.570
3,3:16,4,8,SFO 27,35,33,"Mitch Wishnowsky punts 48 yards, returned by Deonte Harris for 6 yards (tackle by Elijah Lee). Penalty on Marcell Harris: Offensive Holding, 10 yards (no play)",-1.570,-2.320
3,3:06,4,18,SFO 17,35,33,"Mitch Wishnowsky punts 45 yards, returned by Deonte Harris for 12 yards (tackle by Mark Nzeocha)",-2.320,-2.260
3,2:56,1,10,NOR 50,35,33,Drew Brees pass complete short left to Deonte Harris for 13 yards (tackle by Jimmie Ward),2.260,3.120
3,2:19,1,10,SFO 37,35,33,Alvin Kamara left end for 2 yards (tackle by K'Waun Williams),3.120,2.840
3,1:47,2,8,SFO 35,35,33,Drew Brees pass incomplete short left intended for Michael Thomas,2.840,2.150
3,1:42,3,8,SFO 35,35,33,"Drew Brees pass complete short right to Michael Thomas for 8 yards (tackle by Jimmie Ward and K'Waun Williams). Penalty on Michael Thomas: Offensive Pass Interference, 10 yards (no play)",2.150,0.830
3,1:07,3,18,SFO 45,35,33,Drew Brees pass incomplete short right intended for Alvin Kamara (defended by Nick Bosa),0.830,0.270
3,1:03,4,18,SFO 45,35,33,Taysom Hill pass incomplete deep right intended for Tre'Quan Smith (defended by Tarvarius Moore),0.270,-1.930
3,0:56,1,10,SFO 45,35,33,Jimmy Garoppolo pass complete short right to Raheem Mostert for 5 yards (tackle by Demario Davis),1.930,2.060
3,0:17,2,5,SFO 50,35,33,"Raheem Mostert right end for 4 yards (tackle by Craig Robertson and Vonn Bell). Penalty on Deebo Samuel: Illegal Block Above the Waist, 10 yards",2.060,1.250
Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,SFO 44,35,33,Jimmy Garoppolo pass complete short middle to Matt Breida for 4 yards (tackle by Craig Robertson),1.250,1.090
4,14:19,3,7,SFO 48,35,33,"Jimmy Garoppolo sacked by and Marcus Davenport for no gain and Demario Davis for no gain. Penalty on Chauncey Gardner-Johnson: Defensive Holding, 5 yards (no play)",1.090,2.460
4,13:50,1,10,NOR 47,35,33,Matt Breida left tackle for -1 yards (tackle by Trey Hendrickson and Craig Robertson),2.460,1.780
4,13:07,2,11,NOR 48,35,33,Jimmy Garoppolo pass complete short right to Emmanuel Sanders for 5 yards (tackle by Eli Apple),1.780,1.750
4,12:25,3,6,NOR 43,35,33,Jimmy Garoppolo pass complete short right to Kendrick Bourne for 6 yards (tackle by P.J. Williams),1.750,3.120
4,11:47,1,10,NOR 37,35,33,Jimmy Garoppolo pass incomplete short right intended for Kendrick Bourne (defended by Marcus Williams),3.120,2.570
4,11:41,2,10,NOR 37,35,33,Jimmy Garoppolo pass complete short right to Emmanuel Sanders for 5 yards (tackle by Eli Apple),2.570,2.540
4,11:01,3,5,NOR 32,35,33,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 16 yards (tackle by Marshon Lattimore and Eli Apple),2.540,4.510
4,10:34,1,10,NOR 16,35,33,Deebo Samuel right tackle for 2 yards (tackle by Demario Davis),4.510,4.210
4,9:52,2,8,NOR 14,35,33,Jimmy Garoppolo pass incomplete short right,4.210,3.370
4,9:44,3,8,NOR 14,35,33,"Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 2 yards (tackle by Chauncey Gardner-Johnson). Penalty on Chauncey Gardner-Johnson: Unnecessary Roughness, 6 yards",3.370,5.830
4,9:10,1,6,NOR 6,35,33,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel,5.830,4.950
4,9:06,2,6,NOR 6,41,33,"Jimmy Garoppolo pass complete short middle to Kendrick Bourne for 6 yards, touchdown",4.950,7.000
4,8:59,,,NOR 15,42,33,"Robbie Gould kicks extra point good. Penalty on Mario Edwards: Leverage, 15 yards",0.000,0.000
4,8:59,,,SFO 50,42,33,"Mitch Wishnowsky kicks off 50 yards, touchback.",0.000,0.610
4,8:59,1,10,NOR 25,42,33,Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by Richard Sherman),0.610,0.870
4,8:29,2,4,NOR 31,42,33,Alvin Kamara right guard for -1 yards (tackle by Richard Sherman),0.870,0.040
4,7:53,3,5,NOR 30,42,33,"Drew Brees sacked by Solomon Thomas for no gain. Penalty on Richard Sherman: Defensive Holding, 5 yards (no play)",0.040,1.270
4,7:27,1,10,NOR 35,42,33,Drew Brees pass complete deep right to Michael Thomas for 49 yards (tackle by Jimmie Ward and Marcell Harris),1.270,4.510
4,6:36,1,10,SFO 16,42,33,Drew Brees pass complete short left to Alvin Kamara for -5 yards (tackle by K'Waun Williams),4.510,3.280
4,6:12,2,15,SFO 21,42,39,"Drew Brees pass complete short left to Michael Thomas for 21 yards, touchdown",3.280,7.000
4,6:06,,,SFO 15,42,40,Wil Lutz kicks extra point good,0.000,0.000
4,6:06,,,NOR 35,42,40,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,6:06,1,10,SFO 25,42,40,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 5 yards (tackle by Craig Robertson),0.610,0.740
4,5:22,2,5,SFO 30,42,40,Raheem Mostert right guard for 3 yards (tackle by David Onyemata),0.740,0.430
4,4:37,3,2,SFO 33,42,40,Jimmy Garoppolo right end for 2 yards (tackle by Craig Robertson),0.430,1.270
4,4:28,1,10,SFO 35,42,40,Jimmy Garoppolo pass incomplete short left intended for George Kittle,1.270,0.720
4,4:22,2,10,SFO 35,42,40,Deebo Samuel left end for 31 yards (tackle by Marcus Williams),0.720,3.310
4,4:14,1,10,NOR 34,42,40,Matt Breida right tackle for 4 yards (tackle by P.J. Williams),3.310,3.310
4,3:31,2,6,NOR 30,42,40,Matt Breida left end for 6 yards (tackle by Demario Davis),3.310,3.970
4,2:45,1,10,NOR 24,42,40,Matt Breida right guard for 5 yards (tackle by Vonn Bell),3.970,4.120
4,2:38,,,,,,Timeout #1 by New Orleans Saints,,
4,2:38,2,5,NOR 19,42,40,Jimmy Garoppolo sacked by Vonn Bell for -11 yards,4.120,1.950
4,2:34,,,,,,Timeout #2 by New Orleans Saints,,
4,2:34,3,16,NOR 30,42,40,Jimmy Garoppolo pass complete short right to Deebo Samuel for 7 yards (tackle by Chauncey Gardner-Johnson),1.950,1.930
4,2:28,4,9,NOR 23,45,40,Robbie Gould 41 yard field goal good,1.930,3.000
4,2:23,,,SFO 35,45,40,"Mitch Wishnowsky kicks off 60 yards, returned by Deonte Harris for 19 yards (tackle by Tarvarius Moore)",0.000,0.540
4,2:19,1,10,NOR 24,45,40,Drew Brees pass complete short left to Tre'Quan Smith for 11 yards (tackle by Fred Warner),0.540,1.270
4,2:00,1,10,NOR 35,45,40,Drew Brees pass incomplete short middle intended for Michael Thomas (defended by Marcell Harris),1.270,0.720
4,1:54,2,10,NOR 35,45,40,Drew Brees pass complete short middle to Michael Thomas for 11 yards (tackle by Richard Sherman),0.720,1.990
4,1:34,1,10,NOR 46,45,40,Drew Brees pass complete short right to Ted Ginn for 25 yards (tackle by Emmanuel Moseley),1.990,3.640
4,1:29,1,10,SFO 29,45,40,Drew Brees pass complete short middle to Michael Thomas for 5 yards (tackle by D.J. Reed),3.640,3.780
4,1:09,2,5,SFO 24,45,40,Drew Brees pass incomplete short left intended for Michael Thomas,3.780,3.070
4,1:05,3,5,SFO 24,45,40,"Drew Brees pass incomplete short right intended for Tre'Quan Smith. Penalty on Emmanuel Moseley: Defensive Pass Interference, 6 yards (no play)",3.070,4.370
4,1:00,1,10,SFO 18,45,46,"Drew Brees pass complete short left to Tre'Quan Smith for 18 yards, touchdown",4.370,7.000
4,0:53,,,SFO 2,45,46,"Two Point Attempt: Drew Brees pass incomplete intended for Tre'Quan Smith, conversion fails",1.000,-1.000
4,0:53,,,NOR 35,45,46,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,0:53,1,10,SFO 25,45,46,Jimmy Garoppolo pass complete short middle to George Kittle for 8 yards (tackle by Vonn Bell and Craig Robertson),0.610,1.140
4,0:45,,,,,,Timeout #1 by San Francisco 49ers,,
4,0:45,2,2,SFO 33,45,46,Jimmy Garoppolo pass incomplete short middle intended for Emmanuel Sanders (defended by Marshon Lattimore),1.140,0.430
4,0:42,3,2,SFO 33,45,46,Jimmy Garoppolo pass incomplete short middle intended for George Kittle,0.430,-1.180
4,0:39,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:39,4,2,SFO 33,45,46,"Jimmy Garoppolo pass complete short left to George Kittle for 39 yards (tackle by Marcus Williams and Chauncey Gardner-Johnson). Penalty on Marcus Williams: Face Mask (15 Yards), 14 yards",-1.180,4.650
4,0:28,1,10,NOR 14,45,46,Raheem Mostert right tackle for 3 yards (tackle by Demario Davis),4.650,4.520
4,0:23,,,,,,Timeout #3 by New Orleans Saints,,
4,0:23,2,7,NOR 11,45,46,Jimmy Garoppolo kneels for -1 yards,4.520,3.430
4,0:02,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:02,3,8,NOR 12,48,46,Robbie Gould 30 yard field goal good,3.430,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
