Quarter,Time,Down,ToGo,Location,CLE,DET,Detail,EPB,EPA
4,0:43,2,10,DET 46,37,31,Matthew Stafford pass complete short right to Brandon Pettigrew for 11 yards (tackle by Abram Elam),1.450,2.720
4,0:27,1,10,CLE 43,37,31,Matthew Stafford spiked the ball,2.720,2.180
4,0:25,2,10,CLE 43,37,31,Matthew Stafford pass incomplete short middle intended for Brandon Pettigrew,2.180,1.490
4,0:22,3,10,CLE 43,37,31,Matthew Stafford pass complete short middle to Will Heller for 11 yards (tackle by Kaluka Maiava),1.490,3.450
4,0:08,1,10,CLE 32,37,31,Matthew Stafford spiked the ball,3.450,2.900
4,0:08,2,10,CLE 32,37,31,"Matthew Stafford pass incomplete deep left intended for Calvin Johnson is intercepted by Brodney Pool at CLE-0. Penalty on Hank Poteat: Defensive Pass Interfere, 31 yards (no play)",2.900,6.970
4,0:00,,,,37,31,Timeout #2 by Cleveland Browns,0.000,0.000
4,0:00,,,,37,31,Timeout #3 by Cleveland Browns,0.000,6.970
4,0:00,1,1,CLE 1,37,37,"Matthew Stafford pass complete short middle to Brandon Pettigrew for 1 yard, touchdown",6.970,7.000
4,,,,CLE 2,37,38,Jason Hanson kicks extra point good,0.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
