Quarter,Time,Down,ToGo,Location,CLE,GNB,Detail,EPB,EPA
1,7:11,1,10,CLE 16,6,0,"Aaron Rodgers pass complete to Davante Adams for no gain. Penalty on Davante Adams: Illegal Shift, 5 yards (accepted) (no play)",,
1,6:44,1,15,CLE 21,6,0,Aaron Rodgers pass complete short middle to Josiah Deguara for 4 yards (tackle by Anthony Walker),,
1,6:05,2,11,CLE 17,6,0,Aaron Rodgers pass complete short left to AJ Dillon for 6 yards (tackle by Denzel Ward and Jeremiah Owusu-Koramoah),,
1,5:19,3,5,CLE 11,6,6,"Aaron Rodgers pass complete short right to Allen Lazard for 11 yards, touchdown",,
1,5:13,,,CLE 15,6,7,Mason Crosby kicks extra point good,,
1,5:13,,,GNB 35,6,7,"Mason Crosby kicks off 65 yards, touchback.",,
1,5:13,1,10,CLE 25,6,7,Nick Chubb right tackle for 1 yard (tackle by Rashan Gary and Kenny Clark),,
1,4:33,2,9,CLE 26,6,7,Baker Mayfield pass incomplete short left intended for Jarvis Landry,,
1,4:30,3,9,CLE 26,6,7,Baker Mayfield pass complete short right to D'Ernest Johnson for 8 yards (tackle by De'Vondre Campbell),,
1,3:48,4,1,CLE 34,6,7,"Baker Mayfield pass complete short left to Donovan Peoples-Jones for 5 yards (tackle by Rasul Douglas) GNB challenged the pass completion ruling, and the play was upheld.",,
1,3:15,1,10,CLE 39,6,7,Baker Mayfield pass complete short right to Rashard Higgins for 8 yards (tackle by Adrian Amos),,
1,2:37,2,2,CLE 47,6,7,Nick Chubb right end for 27 yards (tackle by Darnell Savage),,
1,2:09,1,10,GNB 26,6,7,Anthony Schwartz for 11 yards (tackle by Darnell Savage),,
1,1:31,1,10,GNB 15,6,7,Baker Mayfield sacked by Rashan Gary for -9 yards,,
1,0:47,2,19,GNB 24,6,7,Baker Mayfield pass incomplete short right intended for Donovan Peoples-Jones,,
1,0:43,3,19,GNB 24,6,7,Baker Mayfield pass short right intended for Jarvis Landry is intercepted by Chandon Sullivan at GB-9 and returned for 13 yards (tackle by Anthony Schwartz),,
1,0:35,1,10,GNB 22,6,7,Aaron Rodgers pass complete deep right to Allen Lazard for 34 yards (tackle by Greedy Williams),,
Quarter,Time,Down,ToGo,Location,CLE,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 44,6,7,Aaron Jones left end for 8 yards (tackle by Grant Delpit),,
2,14:22,2,2,CLE 36,6,7,Aaron Rodgers pass complete short right to Marcedes Lewis for 1 yard (tackle by M.J. Stewart),,
2,13:38,3,1,CLE 35,6,7,Aaron Jones up the middle for 2 yards (tackle by Sione Takitaki),,
2,12:55,1,10,CLE 33,6,7,Allen Lazard right end for 13 yards (tackle by Greedy Williams),,
2,12:18,1,10,CLE 20,6,7,AJ Dillon up the middle for 8 yards (tackle by Jacob Phillips and Denzel Ward),,
2,11:42,2,2,CLE 12,6,7,AJ Dillon up the middle for 3 yards (tackle by Jacob Phillips and Sheldon Day),,
2,10:58,1,9,CLE 9,6,7,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by Denzel Ward),,
2,10:54,2,9,CLE 9,6,7,Aaron Rodgers pass incomplete short left intended for Davante Adams,,
2,10:50,3,9,CLE 9,6,13,"Aaron Rodgers pass complete short middle to Davante Adams for 9 yards, touchdown",,
2,10:47,,,CLE 15,6,14,Mason Crosby kicks extra point good,,
2,10:47,,,GNB 35,6,14,"Mason Crosby kicks off 63 yards, returned by Demetric Felton for 28 yards (tackle by Rasul Douglas)",,
2,10:40,1,10,CLE 30,6,14,D'Ernest Johnson right end for 17 yards (tackle by Darnell Savage and Eric Stokes),,
2,10:01,1,10,CLE 47,6,14,Baker Mayfield pass complete short right to Austin Hooper for 11 yards (tackle by Adrian Amos),,
2,9:18,1,10,GNB 42,6,14,Baker Mayfield pass complete short left to Jarvis Landry for 24 yards (tackle by Preston Smith),,
2,8:29,1,10,GNB 18,6,14,D'Ernest Johnson up the middle for 3 yards (tackle by De'Vondre Campbell and Dean Lowry),,
2,7:48,2,7,GNB 15,6,14,Baker Mayfield pass complete short left to Rashard Higgins for 14 yards (tackle by Darnell Savage and Chandon Sullivan),,
2,7:09,1,1,GNB 1,12,14,"Baker Mayfield pass complete short right to Harrison Bryant for 1 yard, touchdown",,
2,7:03,,,GNB 2,12,14,Two Point Attempt: Baker Mayfield pass incomplete intended for intended for Donovan Peoples-Jones,,
2,7:03,,,CLE 35,12,14,"Chris Naggar kicks off 65 yards, touchback.",,
2,7:03,1,10,GNB 25,12,14,Aaron Rodgers pass complete short right to AJ Dillon for 2 yards (tackle by Anthony Walker),,
2,6:16,2,8,GNB 27,12,14,AJ Dillon up the middle for 2 yards (tackle by Grant Delpit),,
2,5:38,3,6,GNB 29,12,14,Aaron Rodgers pass complete short left to Aaron Jones for -2 yards (tackle by M.J. Stewart),,
2,4:53,4,8,GNB 27,12,14,Corey Bojorquez punts 44 yards,,
2,4:42,1,10,CLE 29,12,14,"Baker Mayfield pass complete to Nick Chubb for no gain (tackle by De'Vondre Campbell). Penalty on David Njoku: Offensive Holding, 10 yards (accepted) (no play)",,
2,4:11,1,20,CLE 19,12,14,Nick Chubb for 8 yards (tackle by Kenny Clark),,
2,3:26,2,12,CLE 27,12,14,Baker Mayfield sacked by Tipa Galeai for -3 yards,,
2,2:40,3,15,CLE 24,12,14,Baker Mayfield pass complete deep middle to Rashard Higgins for 16 yards (tackle by Darnell Savage),,
2,2:00,1,10,CLE 40,12,14,Baker Mayfield pass deep left intended for Jarvis Landry is intercepted by Rasul Douglas at GB-40 and returned for 11 yards (tackle by Nick Harris),,
2,1:51,1,10,CLE 49,12,14,Aaron Jones up the middle for 3 yards (tackle by Tommy Togiai and Ifeadi Odenigbo),,
2,1:15,2,7,CLE 46,12,14,Aaron Rodgers pass complete short left to Davante Adams for 10 yards (tackle by Richard LeCounte),,
2,1:11,1,10,CLE 36,12,14,Aaron Rodgers pass complete short right to Davante Adams for 9 yards (tackle by Greedy Williams),,
2,1:05,2,1,CLE 27,12,14,Aaron Jones up the middle for 3 yards (tackle by Myles Garrett and Tommy Togiai),,
2,1:01,,,,,,Timeout #2 by Green Bay Packers,,
2,1:01,1,10,CLE 24,12,14,Aaron Rodgers pass complete short left to Davante Adams for 12 yards (tackle by Greedy Williams),,
2,0:57,1,10,CLE 12,12,14,Aaron Rodgers pass complete short left to Aaron Jones for 1 yard (tackle by Jeremiah Owusu-Koramoah),,
2,0:26,2,9,CLE 11,12,14,Aaron Rodgers pass complete short right to Davante Adams for 10 yards (tackle by Greedy Williams),,
2,0:21,1,1,CLE 1,12,14,Aaron Rodgers pass incomplete short right intended for Marcedes Lewis,,
2,0:16,2,1,CLE 1,12,20,"Aaron Rodgers pass complete short left to Davante Adams for 1 yard, touchdown. Penalty on Denzel Ward: Defensive Offside, 5 yards (declined)",,
2,0:12,,,CLE 15,12,21,Mason Crosby kicks extra point good,,
2,0:12,,,GNB 35,12,21,"Mason Crosby kicks off 52 yards, returned by Demetric Felton for 16 yards (tackle by Vernon Scott and Innis Gaines)",,
2,0:07,1,10,CLE 29,12,21,Baker Mayfield kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,CLE,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,12,21,"Chris Naggar kicks off 62 yards, returned by Amari Rodgers for 17 yards (tackle by Andy Janovich). Penalty on Patrick Taylor: Illegal Double-Team Block, 10 yards (accepted)",,
3,14:55,1,10,GNB 10,12,21,Aaron Jones left end for 27 yards (tackle by Grant Delpit),,
3,14:11,1,10,GNB 37,12,21,Aaron Jones up the middle for 6 yards (tackle by Porter Gustin),,
3,13:36,2,4,GNB 43,12,21,Aaron Rodgers pass complete short left to Davante Adams for 17 yards (tackle by Jeremiah Owusu-Koramoah and Anthony Walker),,
3,12:53,1,10,CLE 40,12,21,"Aaron Rodgers pass incomplete deep right intended for Juwann Winfree GNB challenged the pass completion ruling, and the play was upheld.",,
3,12:46,2,10,CLE 40,12,21,Aaron Rodgers pass complete short right to Aaron Jones for 10 yards (tackle by Tommy Togiai),,
3,12:09,1,10,CLE 30,12,21,Aaron Jones left end for 6 yards (tackle by Anthony Walker and M.J. Stewart),,
3,11:32,2,4,CLE 24,12,21,AJ Dillon up the middle for 6 yards (tackle by Tommy Togiai),,
3,10:45,1,10,CLE 18,12,21,AJ Dillon up the middle for 3 yards (tackle by Josiah Bronson and Anthony Walker),,
3,10:05,2,7,CLE 15,12,21,Aaron Rodgers pass complete short right to Josiah Deguara for 1 yard (tackle by M.J. Stewart),,
3,9:22,3,6,CLE 14,12,21,Aaron Rodgers pass incomplete short right intended for Josiah Deguara,,
3,9:16,4,6,CLE 14,12,24,Mason Crosby 32 yard field goal good,,
3,9:12,,,GNB 35,12,24,"Mason Crosby kicks off 65 yards, returned by Demetric Felton for 15 yards (tackle by Henry Black and Shawn Davis)",,
3,9:07,1,10,CLE 15,12,24,Nick Chubb right guard for 3 yards (tackle by Tyler Lancaster and Preston Smith),,
3,8:29,2,7,CLE 18,12,24,Baker Mayfield pass complete short right to Austin Hooper for 5 yards (tackle by De'Vondre Campbell),,
3,7:46,3,2,CLE 23,12,24,Baker Mayfield scrambles right end for 12 yards (tackle by Adrian Amos),,
3,7:15,1,10,CLE 35,12,24,Nick Chubb left end for 5 yards (tackle by Krys Barnes and De'Vondre Campbell),,
3,6:34,2,5,CLE 40,12,24,Nick Chubb left tackle for 8 yards (tackle by De'Vondre Campbell),,
3,5:57,1,10,CLE 48,12,24,Nick Chubb right end for 13 yards (tackle by Tipa Galeai),,
3,5:14,1,10,GNB 39,12,24,Baker Mayfield pass incomplete short left intended for Austin Hooper,,
3,5:09,2,10,GNB 39,12,24,D'Ernest Johnson right guard for 8 yards (tackle by De'Vondre Campbell),,
3,4:24,3,2,GNB 31,12,24,Baker Mayfield pass complete short left to Andy Janovich for 3 yards (tackle by Krys Barnes),,
3,3:42,1,10,GNB 28,12,24,Nick Chubb right end for 15 yards (tackle by Darnell Savage),,
3,3:02,1,10,GNB 13,12,24,"Penalty on Joel Bitonio: False Start, 5 yards (accepted) (no play)",,
3,2:38,1,15,GNB 18,12,24,Baker Mayfield pass incomplete short right intended for Rashard Higgins,,
3,2:35,2,15,GNB 18,12,24,Baker Mayfield pass complete short middle to Austin Hooper for 10 yards (tackle by Krys Barnes),,
3,1:55,3,5,GNB 8,12,24,Baker Mayfield sacked by Rashan Gary for -11 yards,,
3,1:11,4,16,GNB 19,15,24,Chris Naggar 37 yard field goal good,,
3,1:07,,,CLE 35,15,24,"Chris Naggar kicks off 60 yards, returned by Amari Rodgers for 27 yards (tackle by Herb Miller)",,
3,1:01,1,10,GNB 32,15,24,Equanimeous St. Brown for -10 yards (tackle by Joe Jackson and Malcolm Smith),,
3,0:24,2,20,GNB 22,15,24,Aaron Rodgers pass incomplete short left intended for Allen Lazard (defended by Tommy Togiai),,
3,0:19,3,20,GNB 22,15,24,Aaron Rodgers pass complete short middle to Davante Adams for 9 yards (tackle by M.J. Stewart),,
Quarter,Time,Down,ToGo,Location,CLE,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,11,GNB 31,15,24,"Corey Bojorquez punts 56 yards, returned by Donovan Peoples-Jones for 15 yards (tackle by Steven Wirtel)",,
4,14:49,1,10,CLE 28,15,24,Anthony Schwartz left end for 13 yards (tackle by Adrian Amos),,
4,14:10,1,10,CLE 41,15,24,Nick Chubb right end for 3 yards (tackle by Tedarrell Slaton),,
4,13:27,2,7,CLE 44,15,24,Baker Mayfield pass incomplete deep left intended for Austin Hooper (defended by Eric Stokes),,
4,13:22,3,7,CLE 44,15,24,Baker Mayfield pass complete short left to Rashard Higgins for 10 yards (tackle by Rasul Douglas),,
4,12:42,1,10,GNB 46,15,24,Baker Mayfield pass incomplete deep middle intended for Donovan Peoples-Jones,,
4,12:33,2,10,GNB 46,15,24,Nick Chubb up the middle for 3 yards (tackle by Jonathan Garvin),,
4,11:54,3,7,GNB 43,15,24,Baker Mayfield pass complete short right to Jarvis Landry for 12 yards (tackle by Oren Burks),,
4,11:11,1,10,GNB 31,15,24,Baker Mayfield pass complete short left to Andy Janovich for 3 yards (tackle by Krys Barnes),,
4,10:33,2,7,GNB 28,15,24,"Penalty on Michael Dunn: False Start, 5 yards (accepted) (no play)",,
4,10:31,2,12,GNB 33,15,24,Baker Mayfield sacked by Preston Smith for -2 yards,,
4,9:51,3,14,GNB 35,15,24,Baker Mayfield sacked by Dean Lowry for -8 yards,,
4,9:06,4,22,GNB 43,15,24,"Penalty on Nick Harris: False Start, 5 yards (accepted) (no play)",,
4,9:06,4,27,GNB 48,15,24,"Dustin Colquitt punts 37 yards, returned by Amari Rodgers for 9 yards (tackle by Herb Miller and Porter Gustin)",,
4,8:57,1,10,GNB 20,15,24,Aaron Jones up the middle for 7 yards (tackle by Joe Jackson),,
4,8:17,2,3,GNB 27,15,24,Aaron Jones up the middle for 1 yard (tackle by Sheldon Day and Malik Jackson),,
4,7:32,3,2,GNB 28,15,24,Aaron Jones left end for -1 yards (tackle by M.J. Stewart and Sheldon Day),,
4,6:48,4,3,GNB 27,15,24,"Corey Bojorquez punts 49 yards, fair catch by Donovan Peoples-Jones at CLE-24",,
4,6:41,1,10,CLE 24,15,24,Nick Chubb right tackle for 12 yards (tackle by De'Vondre Campbell),,
4,6:18,1,10,CLE 36,15,24,Nick Chubb left end for 8 yards (tackle by De'Vondre Campbell and Darnell Savage),,
4,5:52,2,2,CLE 44,15,24,Baker Mayfield pass complete short left to Nick Chubb for 11 yards (tackle by De'Vondre Campbell),,
4,5:33,1,10,GNB 45,15,24,Baker Mayfield pass complete short left to Rashard Higgins for 10 yards (tackle by Rasul Douglas),,
4,5:14,1,10,GNB 35,15,24,Baker Mayfield pass incomplete deep right intended for Donovan Peoples-Jones,,
4,5:08,2,10,GNB 35,15,24,Baker Mayfield pass incomplete short left intended for Nick Chubb,,
4,5:04,3,10,GNB 35,15,24,D'Ernest Johnson right end for 30 yards (tackle by De'Vondre Campbell),,
4,4:36,1,5,GNB 5,21,24,"Baker Mayfield pass complete short left to Anthony Schwartz for 5 yards, touchdown",,
4,4:31,,,GNB 15,22,24,Chris Naggar kicks extra point good,,
4,4:31,,,CLE 35,22,24,"Chris Naggar kicks off 65 yards, touchback.",,
4,4:31,1,10,GNB 25,22,24,Aaron Rodgers pass complete short right to AJ Dillon for 7 yards (tackle by M.J. Stewart),,
4,3:47,2,3,GNB 32,22,24,AJ Dillon up the middle for 6 yards (tackle by Anthony Walker and Jeremiah Owusu-Koramoah),,
4,3:06,1,10,GNB 38,22,24,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Denzel Ward),,
4,3:02,2,10,GNB 38,22,24,Aaron Rodgers pass complete short right to Aaron Jones for 4 yards (tackle by Anthony Walker and Sheldon Day),,
4,2:19,3,6,GNB 42,22,24,Aaron Rodgers pass incomplete deep left intended for Davante Adams,,
4,2:14,4,6,GNB 42,22,24,"Corey Bojorquez punts 41 yards, returned by Donovan Peoples-Jones for 8 yards (tackle by Henry Black)",,
4,2:05,1,10,CLE 25,22,24,Nick Chubb up the middle for 4 yards (tackle by Kenny Clark),,
4,2:00,2,6,CLE 29,22,24,Nick Chubb right guard for 10 yards (tackle by Krys Barnes),,
4,1:39,1,10,CLE 39,22,24,Nick Chubb left end for 4 yards (tackle by Kenny Clark),,
4,1:22,2,6,CLE 43,22,24,Baker Mayfield pass incomplete short left intended for David Njoku,,
4,1:17,3,6,CLE 43,22,24,Baker Mayfield pass complete short left to Nick Chubb for 7 yards (tackle by De'Vondre Campbell),,
4,0:59,1,10,CLE 50,22,24,Baker Mayfield pass incomplete short right intended for David Njoku,,
4,0:54,2,10,CLE 50,22,24,Baker Mayfield pass incomplete short left intended for D'Ernest Johnson (defended by De'Vondre Campbell),,
4,0:50,3,10,CLE 50,22,24,Baker Mayfield pass short middle intended for Donovan Peoples-Jones is intercepted by Rasul Douglas at GB-40 and returned for 6 yards,,
4,0:43,1,10,GNB 46,22,24,AJ Dillon up the middle for 5 yards (tackle by Grant Delpit),,
4,0:39,,,,,,Timeout #1 by Cleveland Browns,,
4,0:39,2,5,CLE 49,22,24,AJ Dillon up the middle for 4 yards (tackle by Jeremiah Owusu-Koramoah and Tommy Togiai),,
4,0:33,,,,,,Timeout #2 by Cleveland Browns,,
4,0:33,3,1,CLE 45,22,24,"Penalty on Malik Jackson: Encroachment, 5 yards (accepted) (no play)",,
4,0:33,1,10,CLE 40,22,24,Aaron Rodgers kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
