Quarter,Time,Down,ToGo,Location,NYJ,LAC,Detail,EPB,EPA
2,8:12,2,10,LAC 39,6,21,La'Mical Perine left end for no gain (tackle by Rayshawn Jenkins),2.440,1.750
2,7:29,3,10,LAC 39,6,21,Joe Flacco pass incomplete short left intended for Ty Johnson,1.750,0.660
2,7:25,4,10,LAC 39,6,21,Braden Mann punts 25 yards downed by Matthias Farley,0.660,0.280
2,7:15,1,10,LAC 14,6,21,"Justin Herbert pass complete short left to Hunter Henry for 11 yards (tackle by Ashtyn Davis and Harvey Langi). Penalty on Donald Parham: Offensive Pass Interference, 7 yards (no play)",-0.280,-0.650
2,6:53,1,17,LAC 7,6,21,Justin Herbert pass complete deep left to Keenan Allen for 21 yards (tackle by Ashtyn Davis),-0.650,0.810
2,6:17,1,10,LAC 28,6,21,Justin Herbert pass incomplete deep right intended for Mike Williams,0.810,0.260
2,6:12,2,10,LAC 28,6,21,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Marcus Maye),0.260,-0.430
2,6:09,3,10,LAC 28,6,21,Justin Herbert pass complete short left to Keenan Allen for 10 yards (tackle by Ashtyn Davis),-0.430,1.470
2,5:26,1,10,LAC 38,6,21,Kalen Ballage up the middle for 3 yards (tackle by Harvey Langi),1.470,1.330
2,4:52,2,7,LAC 41,6,21,Justin Herbert pass complete short right to Kalen Ballage for 5 yards (tackle by Neville Hewitt),1.330,1.290
2,4:13,3,2,LAC 46,6,21,Justin Herbert pass incomplete short right intended for Kalen Ballage,1.290,-0.320
2,4:07,4,2,LAC 46,6,21,"Ty Long punts 54 yards, touchback.",-0.320,-0.280
2,3:58,1,10,NYJ 20,6,21,La'Mical Perine up the middle for 11 yards (tackle by Nasir Adderley),0.280,1.000
2,3:22,1,10,NYJ 31,6,21,La'Mical Perine up the middle for 3 yards (tackle by Rayshawn Jenkins),1.000,0.870
2,2:48,2,7,NYJ 34,6,21,La'Mical Perine up the middle for 4 yards (tackle by Uchenna Nwosu),0.870,0.700
2,2:14,3,3,NYJ 38,6,21,Joe Flacco pass complete short right to Ty Johnson for 4 yards (tackle by Denzel Perryman),0.700,1.730
2,2:00,1,10,NYJ 42,6,21,Joe Flacco pass incomplete short right intended for La'Mical Perine,1.730,1.190
2,1:57,2,10,NYJ 42,6,21,La'Mical Perine right guard for 6 yards (tackle by Linval Joseph),1.190,1.290
2,1:30,3,4,NYJ 48,6,21,Joe Flacco sacked by Denzel Perryman for -9 yards,1.290,-0.780
2,1:25,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:25,,,,,,Timeout #1 by New York Jets,,
2,1:25,4,13,NYJ 39,6,21,Braden Mann punts 47 yards downed by Matthias Farley,-0.780,0.280
2,1:16,1,10,LAC 14,6,21,Justin Herbert pass complete short right to Keenan Allen for 5 yards (tackle by Harvey Langi),-0.280,-0.040
2,1:00,2,5,LAC 19,6,21,Justin Herbert pass complete deep middle to Hunter Henry for 22 yards (tackle by Ashtyn Davis),-0.040,1.660
2,0:53,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:53,1,10,LAC 41,6,21,Justin Herbert pass incomplete short middle intended for Hunter Henry,1.660,1.120
2,0:48,,,,,,Timeout #2 by New York Jets,,
2,0:48,2,10,LAC 41,6,21,"Justin Herbert pass incomplete short right intended for Keenan Allen. Penalty on Harvey Langi: Illegal Contact, 5 yards (no play)",1.120,1.990
2,0:44,1,10,LAC 46,6,21,"Justin Herbert pass incomplete deep left intended for Keenan Allen. Penalty on Arthur Maulet: Defensive Pass Interference, 37 yards (no play)",1.990,4.440
2,0:38,1,10,NYJ 17,6,21,Justin Herbert pass incomplete deep right,4.440,3.850
2,0:32,2,10,NYJ 17,6,21,Justin Herbert pass incomplete short left intended for Kalen Ballage (defended by Jordan Jenkins),3.850,3.070
2,0:27,3,10,NYJ 17,6,21,Justin Herbert sacked by and Quinnen Williams for -9 yards and Henry Anderson for -9 yards,3.070,1.740
2,0:02,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:02,4,19,NYJ 26,6,24,Michael Badgley 44 yard field goal good,1.740,3.000
Quarter,Time,Down,ToGo,Location,NYJ,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,6,24,"Ty Long kicks off 67 yards, returned by Braxton Berrios for 28 yards (tackle by Jalen Guyton)",0.000,0.670
3,14:53,1,10,NYJ 26,6,24,Frank Gore up the middle for 5 yards (tackle by Linval Joseph),0.670,0.810
3,14:22,2,5,NYJ 31,6,24,Joe Flacco right end for 2 yards (tackle by Tevaughn Campbell and Rayshawn Jenkins),0.810,0.370
3,13:41,3,3,NYJ 33,6,24,Joe Flacco pass complete short left to Jeff Smith for 5 yards (tackle by Kenneth Murray),0.370,1.470
3,13:19,1,10,NYJ 38,6,24,Joe Flacco pass incomplete short middle intended for Jamison Crowder (defended by Jerry Tillery),1.470,0.920
3,13:14,2,10,NYJ 38,6,24,Frank Gore right tackle for 2 yards (tackle by Kenneth Murray and Melvin Ingram),0.920,0.500
3,12:34,3,8,NYJ 40,6,24,"Penalty on Chuma Edoga: False Start, 5 yards (no play)",0.500,-0.160
3,12:14,3,13,NYJ 35,6,24,Joe Flacco pass complete short right to Jamison Crowder for 16 yards (tackle by Jahleel Addae),-0.160,2.320
3,11:35,1,10,LAC 49,12,24,"Joe Flacco pass complete deep right to Breshad Perriman for 49 yards, touchdown",2.320,7.000
3,11:27,,,LAC 15,13,24,Sam Ficken kicks extra point good,0.000,0.000
3,11:27,,,NYJ 35,13,24,"Braden Mann kicks off 65 yards, touchback.",0.000,0.610
3,11:27,1,10,LAC 25,13,24,Justin Herbert pass complete short left to Keenan Allen for 9 yards (tackle by Harvey Langi),0.610,1.280
3,11:03,2,1,LAC 34,13,24,Kalen Ballage right guard for 1 yard (tackle by Henry Anderson and Folorunso Fatukasi),1.280,1.270
3,10:22,1,10,LAC 35,13,24,Justin Herbert pass complete short left to Jalen Guyton for 4 yards (tackle by Lamar Jackson),1.270,1.260
3,9:50,2,6,LAC 39,13,24,Kalen Ballage left end for 17 yards (tackle by Lamar Jackson),1.260,2.650
3,9:18,1,10,NYJ 44,13,24,Kalen Ballage up the middle for 4 yards (tackle by Henry Anderson and Bryce Huff),2.650,2.650
3,8:54,2,6,NYJ 40,13,24,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Harvey Langi),2.650,3.580
3,8:15,1,10,NYJ 30,13,24,Justin Herbert pass complete short right to Joshua Kelley for 10 yards (tackle by Bryce Hall),3.580,4.240
3,7:40,1,10,NYJ 20,13,24,Joshua Kelley up the middle for 1 yard (tackle by Harvey Langi),4.240,3.820
3,6:55,2,9,NYJ 19,13,24,Justin Herbert pass complete short left to Kalen Ballage for 9 yards (tackle by Ashtyn Davis),3.820,4.910
3,6:21,1,10,NYJ 10,13,24,Joshua Kelley right tackle for -3 yards (tackle by Tarell Basham and Folorunso Fatukasi),4.910,3.720
3,5:46,2,13,NYJ 13,13,24,Justin Herbert pass incomplete short right intended for Hunter Henry,3.720,3.060
3,5:39,3,13,NYJ 13,13,30,"Justin Herbert pass complete short left to Keenan Allen for 13 yards, touchdown",3.060,7.000
3,5:33,,,NYJ 15,13,31,Michael Badgley kicks extra point good,0.000,0.000
3,5:33,,,LAC 35,13,31,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,5:33,1,10,NYJ 25,13,31,La'Mical Perine left tackle for 1 yard (tackle by Justin Jones),0.610,0.200
3,4:55,2,9,NYJ 26,13,31,Frank Gore right end for 4 yards (tackle by Linval Joseph),0.200,0.040
3,4:15,3,5,NYJ 30,13,31,"Joe Flacco pass incomplete deep right intended for Denzel Mims. Penalty on Casey Hayward: Illegal Contact, 5 yards (no play)",0.040,1.270
3,4:09,1,10,NYJ 35,13,31,"Joe Flacco pass complete short middle to Frank Gore for 7 yards (tackle by Kenneth Murray). Penalty on Chuma Edoga: Offensive Holding, 10 yards (no play)",1.270,0.610
3,3:43,1,20,NYJ 25,13,31,Joe Flacco pass incomplete deep right intended for Breshad Perriman,0.610,-0.630
3,3:36,2,20,NYJ 25,13,31,Joe Flacco pass complete short right to Ty Johnson for 12 yards (tackle by Rayshawn Jenkins),-0.630,0.300
3,2:57,3,8,NYJ 37,13,31,Joe Flacco pass complete deep right to Denzel Mims for 27 yards,0.300,3.180
3,2:40,1,10,LAC 36,13,31,Joe Flacco pass incomplete short right intended for Ty Johnson (defended by Rayshawn Jenkins),3.180,2.640
3,2:36,2,10,LAC 36,13,31,Joe Flacco pass complete short middle to Frank Gore for 7 yards (tackle by Tevaughn Campbell),2.640,2.870
3,1:48,3,3,LAC 29,13,31,"Joe Flacco pass incomplete deep left intended for Denzel Mims. Penalty on Michael Davis: Defensive Pass Interference, 19 yards (no play)",2.870,4.910
3,1:43,1,10,LAC 10,13,31,Frank Gore up the middle for 6 yards (tackle by Jerry Tillery and Melvin Ingram),4.910,5.340
3,1:04,2,4,LAC 4,13,31,Frank Gore left guard for 2 yards (tackle by Joey Bosa and Rayshawn Jenkins),5.340,4.950
3,0:29,3,2,LAC 2,13,31,"Joe Flacco pass incomplete short middle intended for Breshad Perriman. Penalty on Denzel Perryman: Defensive Pass Interference, 1 yard (no play)",4.950,6.970
3,0:25,1,1,LAC 1,19,31,"Frank Gore up the middle for 1 yard, touchdown",6.970,7.000
3,0:22,,,LAC 15,19,31,Sam Ficken kicks extra point no good hit right upright,0.000,-1.000
3,0:22,,,NYJ 35,19,31,"Braden Mann kicks off 65 yards, touchback.",0.000,0.610
3,0:22,1,10,LAC 25,19,31,Justin Herbert pass incomplete short left intended for Keenan Allen,0.610,0.060
3,0:19,2,10,LAC 25,19,31,Kalen Ballage left end for 2 yards (tackle by Folorunso Fatukasi),0.060,-0.360
Quarter,Time,Down,ToGo,Location,NYJ,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,LAC 27,19,31,Justin Herbert pass complete short right to Mike Williams for 9 yards (tackle by Arthur Maulet),-0.360,1.330
4,14:16,1,10,LAC 36,19,31,Justin Herbert pass incomplete short right intended for Mike Williams,1.330,0.790
4,14:11,2,10,LAC 36,19,31,Justin Herbert pass complete short right to Mike Williams for 11 yards (tackle by Bryce Hall),0.790,2.060
4,13:30,1,10,LAC 47,19,31,Justin Herbert pass complete short right to Kalen Ballage for 3 yards (tackle by Neville Hewitt),2.060,1.920
4,12:52,2,7,LAC 50,19,31,Justin Herbert pass complete short middle to Keenan Allen for 5 yards (tackle by Bryce Hall),1.920,1.880
4,12:30,3,2,NYJ 45,19,31,Justin Herbert up the middle for 3 yards (tackle by Neville Hewitt),1.880,2.790
4,11:50,1,10,NYJ 42,19,31,Troymaine Pope right end for 5 yards (tackle by Ashtyn Davis),2.790,2.920
4,11:04,2,5,NYJ 37,19,31,Justin Herbert up the middle for 8 yards (tackle by Jabari Zuniga),2.920,3.640
4,10:19,1,10,NYJ 29,19,31,Troymaine Pope left tackle for -1 yards (tackle by Jordan Jenkins and Henry Anderson),3.640,2.970
4,9:42,2,11,NYJ 30,19,31,Justin Herbert pass complete short left to Kalen Ballage for 2 yards (tackle by Neville Hewitt),2.970,2.540
4,9:02,3,9,NYJ 28,19,31,"Justin Herbert pass incomplete short middle intended for Jalen Guyton. Penalty on Jordan Jenkins: Roughing the Passer, 14 yards (no play)",2.540,4.650
4,8:57,1,10,NYJ 14,19,31,Kalen Ballage right end for 3 yards (tackle by Neville Hewitt and Harvey Langi),4.650,4.520
4,8:16,2,7,NYJ 11,19,31,Kalen Ballage up the middle for 2 yards (tackle by Folorunso Fatukasi),4.520,4.050
4,7:31,3,5,NYJ 9,19,31,Justin Herbert pass complete short right to Troymaine Pope for 4 yards (tackle by Harvey Langi),4.050,3.030
4,6:45,,,,,,Timeout #1 by Los Angeles Chargers,,
4,6:45,4,1,NYJ 5,19,34,Michael Badgley 23 yard field goal good,3.030,3.000
4,6:42,,,LAC 35,19,34,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
4,6:42,1,10,NYJ 25,19,34,Joe Flacco pass incomplete deep right intended for Breshad Perriman,0.610,0.060
4,6:36,2,10,NYJ 25,19,34,Joe Flacco pass complete short right to Breshad Perriman for 5 yards (tackle by Casey Hayward),0.060,0.040
4,6:05,3,5,NYJ 30,19,34,Joe Flacco pass incomplete deep right intended for Denzel Mims. Penalty on Connor McGovern: Offensive Holding (Declined),0.040,-1.370
4,5:56,4,5,NYJ 30,19,34,Joe Flacco pass complete deep right to Denzel Mims for 25 yards (tackle by Tevaughn Campbell),-1.370,2.590
4,5:40,1,10,LAC 45,19,34,Joe Flacco pass incomplete short right,2.590,2.040
4,5:33,2,10,LAC 45,19,34,Joe Flacco pass complete short left to Frank Gore for 3 yards (tackle by Rayshawn Jenkins and Denzel Perryman),2.040,1.750
4,4:52,3,7,LAC 42,19,34,"Joe Flacco pass complete deep left to Denzel Mims for 19 yards (tackle by Michael Davis). Penalty on Joey Bosa: Roughing the Passer, 11 yards",1.750,4.780
4,4:43,1,10,LAC 12,19,34,Frank Gore up the middle for 6 yards (tackle by Nick Vigil),4.780,5.210
4,4:05,2,4,LAC 6,25,34,"Joe Flacco pass complete short left to Chris Herndon for 6 yards, touchdown",5.210,7.000
4,4:00,,,LAC 15,26,34,Sam Ficken kicks extra point good,0.000,0.000
4,4:00,,,NYJ 35,26,34,"Braden Mann kicks off 58 yards, returned by Joe Reed for 17 yards (tackle by Matthias Farley and Bryce Hager)",0.000,0.540
4,3:54,1,10,LAC 24,26,34,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Ashtyn Davis and Harvey Langi),0.540,0.130
4,3:10,2,9,LAC 25,26,34,Justin Herbert pass incomplete short right intended for Keenan Allen,0.130,-0.560
4,3:05,3,9,LAC 25,26,34,Justin Herbert pass complete short right to Keenan Allen for -1 yards (tackle by Bryce Hall),-0.560,-1.770
4,3:00,,,,,,Timeout #1 by New York Jets,,
4,3:00,4,10,LAC 24,26,34,"Ty Long punts 56 yards, returned by Braxton Berrios for 16 yards (tackle by Malik Jefferson). Penalty on Cole Mazza: Offensive Holding, 10 yards",-1.770,-1.990
4,2:48,1,10,NYJ 46,26,34,Frank Gore up the middle for 6 yards (tackle by Kenneth Murray),1.990,2.260
4,2:29,2,4,LAC 48,26,34,Joe Flacco pass incomplete short left intended for Denzel Mims,2.260,1.550
4,2:26,3,4,LAC 48,26,34,"Joe Flacco sacked by Joey Bosa for no gain. Penalty on Joey Bosa: Roughing the Passer, 15 yards (no play)",1.550,3.380
4,2:15,1,10,LAC 33,26,34,Joe Flacco pass complete short left to Ty Johnson for 1 yard (tackle by Rayshawn Jenkins),3.380,2.970
4,2:00,2,9,LAC 32,26,34,Joe Flacco pass incomplete deep left,2.970,2.280
4,1:56,3,9,LAC 32,26,34,Joe Flacco pass incomplete deep left intended for Denzel Mims,2.280,1.240
4,1:51,,,,,,Timeout #2 by New York Jets,,
4,1:51,4,9,LAC 32,26,34,Joe Flacco pass incomplete deep right intended for Denzel Mims (defended by Tevaughn Campbell),1.240,-1.070
4,1:46,1,10,LAC 32,26,34,Kalen Ballage left end for -4 yards (tackle by Jordan Jenkins),1.070,-0.010
4,1:39,,,,,,Timeout #3 by New York Jets,,
4,1:39,2,14,LAC 28,26,34,Joshua Kelley up the middle for 4 yards (tackle by Jordan Jenkins),-0.010,-0.160
4,0:55,3,10,LAC 32,26,34,Joshua Kelley right end for -4 yards (tackle by Ashtyn Davis and Jordan Jenkins),-0.160,-1.500
4,0:08,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:08,4,14,LAC 28,28,34,"Ty Long for -28 yards (tackle by Frankie Luvu), safety.",-1.500,-2.000
4,0:01,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:01,,,LAC 20,28,34,"Ty Long kicks off 54 yards, returned by Braxton Berrios for 15 yards (tackle by B.J. Bello)",0.000,0.280
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
