Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
2,11:57,1,10,OAK 50,7,14,Doug Martin up the middle for 11 yards (tackle by Antoine Bethea),2.260,2.980
2,11:34,1,10,ARI 39,7,14,Doug Martin up the middle for 7 yards (tackle by Bene Benwikere and Deone Bucannon),2.980,3.390
2,10:49,2,3,ARI 32,7,14,Doug Martin up the middle for 10 yards (tackle by Bene Benwikere),3.390,4.110
2,10:12,1,10,ARI 22,7,14,DeAndre Washington up the middle for 10 yards (tackle by Tre Boston and Antoine Bethea),4.110,4.780
2,9:41,1,10,ARI 12,7,14,DeAndre Washington left tackle for 1 yard (tackle by Chandler Jones),4.780,4.270
2,9:03,2,9,ARI 11,7,14,Derek Carr pass complete short left to Doug Martin for 6 yards (tackle by Josh Bynes),4.270,4.610
2,8:25,3,3,ARI 5,13,14,"Derek Carr pass complete short right to Brandon LaFell for 5 yards, touchdown",4.610,7.000
2,8:20,,,ARI 15,14,14,Daniel Carlson kicks extra point good,0.000,0.000
2,8:20,,,OAK 35,14,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,8:20,1,10,ARI 25,14,14,"Penalty on Oday Aboushi: False Start, 5 yards (no play)",0.610,0.280
2,8:20,1,15,ARI 20,14,14,"David Johnson up the middle for no gain (tackle by Frostee Rucker). Penalty on Jermaine Gresham: Offensive Holding, 10 yards (no play)",0.280,-0.950
2,7:52,1,25,ARI 10,14,14,Josh Rosen sacked by Maurice Hurst for -8 yards,-0.950,-2.460
2,7:07,2,33,ARI 2,14,14,David Johnson up the middle for 2 yards (tackle by Tahir Whitehead),-2.460,-3.880
2,6:21,3,31,ARI 4,14,14,David Johnson up the middle for 1 yard (tackle by P.J. Hall),-3.880,-2.490
2,5:44,4,30,ARI 5,14,14,"Andy Lee punts 53 yards, returned by Jalen Richard for 3 yards (tackle by Gerald Hodges)",-2.490,-1.930
2,5:30,1,10,OAK 45,14,14,Doug Martin up the middle for 3 yards (tackle by Markus Golden),1.930,1.790
2,5:04,2,7,OAK 48,14,14,Doug Martin right end for 2 yards (tackle by Corey Peters),1.790,1.360
2,4:22,3,5,OAK 50,14,14,Derek Carr pass incomplete deep right intended for Jalen Richard,1.360,-0.060
2,4:17,4,5,OAK 50,14,14,"Johnny Townsend punts 39 yards, fair catch by Christian Kirk at ARI-11",-0.060,0.370
2,4:10,1,10,ARI 11,14,14,Josh Rosen pass incomplete short right intended for Ricky Seals-Jones,-0.370,-0.780
2,4:03,2,10,ARI 11,14,14,David Johnson right tackle for 1 yard (tackle by Tahir Whitehead),-0.780,-1.300
2,3:17,3,9,ARI 12,14,14,Josh Rosen pass incomplete short left intended for Larry Fitzgerald,-1.300,-2.490
2,3:13,4,9,ARI 12,14,14,"Andy Lee punts 58 yards, muffed catch by Jalen Richard, recovered by Jalen Richard at OAK-37, returned by Jalen Richard for no gain (tackle by Zeke Turner)",-2.490,-1.400
2,2:59,1,10,OAK 37,14,14,Derek Carr pass complete short left to Marcell Ateman for 9 yards (tackle by Haason Reddick and Jamar Taylor),1.400,2.070
2,2:22,2,1,OAK 46,14,14,DeAndre Washington up the middle for -1 yards (tackle by Josh Bynes),2.070,1.220
2,2:17,,,,,,Timeout #1 by Oakland Raiders,,
2,2:17,,,,,,Timeout #2 by Oakland Raiders,,
2,2:17,3,2,OAK 45,14,14,"Penalty on OAK: Delay of Game, 5 yards (no play)",1.220,0.560
2,2:17,3,7,OAK 40,14,14,Derek Carr pass incomplete short left intended for Seth Roberts,0.560,-0.720
2,2:11,4,7,OAK 40,14,14,"Johnny Townsend punts 60 yards, touchback.",-0.720,-0.280
2,2:02,1,10,ARI 20,14,14,David Johnson up the middle for 6 yards (tackle by Maurice Hurst),0.280,0.540
2,1:58,2,4,ARI 26,14,14,Josh Rosen pass complete short right to Trent Sherfield for 6 yards (tackle by Rashaan Melvin),0.540,1.070
2,1:38,1,10,ARI 32,14,14,Josh Rosen pass complete short right to David Johnson for 17 yards (tackle by Tahir Whitehead),1.070,2.190
2,1:29,1,10,ARI 49,14,14,"Josh Rosen aborted snap, recovered by Josh Rosen at ARI-44 and returned for -5 yards",2.190,0.970
2,1:23,2,15,ARI 44,14,14,Josh Rosen pass incomplete short right intended for David Johnson,0.970,0.300
2,1:15,3,15,ARI 44,14,14,"Penalty on Mason Cole: False Start, 5 yards (no play)",0.300,-0.360
2,1:15,3,20,ARI 39,14,14,Josh Rosen pass complete short left to Christian Kirk for 6 yards (tackle by Marcus Gilchrist),-0.360,-0.390
2,1:08,,,,,,Timeout #3 by Oakland Raiders,,
2,1:08,4,14,ARI 45,14,14,"Andy Lee punts 46 yards, fair catch by Jalen Richard at OAK-9",-0.390,0.380
2,1:02,1,10,OAK 9,14,14,Derek Carr pass complete short right to Jalen Richard for 5 yards (tackle by Markus Golden),-0.380,-0.390
2,0:17,2,5,OAK 14,14,14,Jalen Richard up the middle for 8 yards (tackle by Bene Benwikere),-0.390,0.410
Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,14,14,"Matthew McCrane kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,OAK 25,14,14,Jalen Richard left end for 24 yards (tackle by Tre Boston),0.610,2.190
3,14:21,1,10,OAK 49,14,14,Jalen Richard up the middle for 4 yards (tackle by Olsen Pierre),2.190,2.190
3,13:40,2,6,ARI 47,14,14,Derek Carr pass complete short left to Jalen Richard for 16 yards (tackle by Josh Bynes),2.190,3.510
3,13:08,1,10,ARI 31,14,14,DeAndre Washington up the middle for 5 yards (tackle by Markus Golden),3.510,3.640
3,12:27,2,5,ARI 26,14,14,Derek Carr pass complete short left to Lee Smith for 4 yards (tackle by Tre Boston),3.640,3.470
3,11:47,3,1,ARI 22,14,14,"Penalty on David Sharpe: False Start, 5 yards (no play)",3.470,2.810
3,11:21,3,6,ARI 27,14,14,Derek Carr sacked by Antoine Bethea for -4 yards,2.810,1.320
3,10:31,4,10,ARI 31,17,14,Daniel Carlson 49 yard field goal good,1.320,3.000
3,10:26,,,OAK 35,17,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,10:26,1,10,ARI 25,17,14,David Johnson up the middle for 6 yards (tackle by Karl Joseph and Jason Cabinda),0.610,0.870
3,9:46,2,4,ARI 31,17,14,David Johnson up the middle for 4 yards (tackle by Tahir Whitehead),0.870,1.270
3,9:06,1,10,ARI 35,17,14,David Johnson up the middle for 2 yards (tackle by Frostee Rucker and Johnathan Hankins),1.270,0.990
3,8:24,2,8,ARI 37,17,14,Josh Rosen pass incomplete deep right intended for JJ Nelson (defended by Marcus Gilchrist),0.990,0.300
3,8:15,3,8,ARI 37,17,14,Josh Rosen pass incomplete short right intended for Ricky Seals-Jones,0.300,-0.910
3,8:08,4,8,ARI 37,17,14,Andy Lee punts 28 yards out of bounds,-0.910,-1.270
3,8:01,1,10,OAK 35,17,14,Jalen Richard up the middle for 4 yards (tackle by Antoine Bethea),1.270,1.260
3,7:22,2,6,OAK 39,17,14,Jalen Richard up the middle for 2 yards (tackle by Rodney Gunter),1.260,0.830
3,6:40,3,4,OAK 41,17,14,Derek Carr pass complete deep left to Brandon LaFell for 24 yards (tackle by Leonard Johnson),0.830,3.250
3,5:55,1,10,ARI 35,17,14,DeAndre Washington up the middle for 6 yards (tackle by Rodney Gunter),3.250,3.510
3,5:13,2,4,ARI 29,17,14,"Derek Carr pass complete short left to Seth Roberts for 5 yards (tackle by Bene Benwikere). Penalty on Bene Benwikere: Unnecessary Roughness, 12 yards",3.510,4.780
3,4:51,1,10,ARI 12,17,14,DeAndre Washington up the middle for 2 yards (tackle by Corey Peters),4.780,4.450
3,4:09,2,8,ARI 10,17,14,DeAndre Washington up the middle for 7 yards (tackle by Rodney Gunter),4.450,5.060
3,3:27,3,1,ARI 3,17,14,DeAndre Washington up the middle for 1 yard (tackle by Corey Peters and Rodney Gunter),5.060,6.740
3,2:53,1,2,ARI 2,17,14,"Penalty on Kelechi Osemele: False Start, 5 yards (no play)",6.740,5.600
3,2:31,1,7,ARI 7,17,14,DeAndre Washington up the middle for 4 yards (tackle by Tre Boston),5.600,5.530
3,1:46,2,3,ARI 3,17,14,Derek Carr pass complete short right to Lee Smith for 2 yards (tackle by Rodney Gunter and Josh Bynes),5.530,5.170
3,1:05,,,,,,Timeout #1 by Oakland Raiders,,
3,1:04,3,1,ARI 1,17,14,DeAndre Washington up the middle for -1 yards (tackle by Antoine Bethea and Tre Boston),5.170,3.250
3,0:25,4,2,ARI 2,20,14,Daniel Carlson 21 yard field goal good,3.250,3.000
3,0:22,,,OAK 35,20,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,0:22,1,10,ARI 25,20,14,David Johnson up the middle for 1 yard (tackle by P.J. Hall),0.610,0.200
Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,ARI 26,20,14,David Johnson up the middle for -2 yards (tackle by Nicholas Morrow),0.200,-0.760
4,14:21,3,11,ARI 24,20,14,Josh Rosen pass complete short right to Ricky Seals-Jones for 5 yards (tackle by Rashaan Melvin),-0.760,-1.440
4,13:41,4,6,ARI 29,20,14,"Andy Lee punts 60 yards, returned by Dwayne Harris for 16 yards (tackle by Chase Edmonds)",-1.440,-0.740
4,13:30,1,10,OAK 27,20,14,Jalen Richard up the middle for -1 yards (tackle by Rodney Gunter and Haason Reddick),0.740,0.060
4,12:45,2,11,OAK 26,20,14,Derek Carr pass complete short left to Jalen Richard for 11 yards (tackle by Josh Bynes),0.060,1.400
4,12:01,1,10,OAK 37,20,14,Jalen Richard up the middle for 7 yards (tackle by Markus Golden),1.400,1.800
4,11:17,2,3,OAK 44,20,14,Jalen Richard right end for 2 yards (tackle by Antoine Bethea),1.800,1.360
4,10:32,3,1,OAK 46,20,14,DeAndre Washington up the middle for 7 yards (tackle by Tre Boston),1.360,2.460
4,9:59,1,10,ARI 47,20,14,DeAndre Washington up the middle for -2 yards (tackle by Corey Peters and Jamar Taylor),2.460,1.640
4,9:17,2,12,ARI 49,20,14,Derek Carr pass complete short right to Jared Cook for 6 yards (tackle by Patrick Peterson),1.640,1.750
4,8:31,3,6,ARI 43,20,14,Derek Carr pass complete short right to Seth Roberts for 5 yards (tackle by Corey Peters),1.750,0.720
4,7:48,4,1,ARI 38,20,14,"Johnny Townsend punts 38 yards, touchback.",0.720,-0.280
4,7:39,1,10,ARI 20,20,14,David Johnson right tackle for 10 yards (tackle by Maurice Hurst),0.280,0.940
4,7:03,1,10,ARI 30,20,14,David Johnson up the middle for 53 yards (tackle by Karl Joseph),0.940,4.440
4,6:23,1,10,OAK 17,20,14,Chase Edmonds up the middle for no gain (tackle by Karl Joseph),4.440,3.850
4,5:42,2,10,OAK 17,20,14,Josh Rosen pass incomplete short right intended for Jermaine Gresham,3.850,3.070
4,5:37,3,10,OAK 17,20,14,Josh Rosen pass complete short left to Christian Kirk for 12 yards,3.070,6.060
4,5:07,1,5,OAK 5,20,20,"Josh Rosen pass complete short right to Larry Fitzgerald for 5 yards, touchdown",6.060,7.000
4,5:02,,,OAK 15,20,21,Matthew McCrane kicks extra point good,0.000,0.000
4,5:02,,,ARI 35,20,21,"Matthew McCrane kicks off 65 yards, returned by Dwayne Harris for no gain (tackle by Zeke Turner)",0.000,0.610
4,4:57,1,10,OAK 25,20,21,Jalen Richard left tackle for 1 yard (tackle by Josh Bynes and Haason Reddick),0.610,0.200
4,4:28,2,9,OAK 26,20,21,Derek Carr pass complete short middle to Marcell Ateman for no gain (tackle by Josh Bynes),0.200,-0.490
4,3:56,,,,,,Timeout #1 by Arizona Cardinals,,
4,3:56,3,9,OAK 26,20,21,Derek Carr pass incomplete deep left intended for Seth Roberts,-0.490,-1.630
4,3:50,4,9,OAK 26,20,21,"Johnny Townsend punts 52 yards, returned by Christian Kirk for 18 yards (tackle by Erik Harris)",-1.630,-1.600
4,3:36,1,10,ARI 40,20,21,David Johnson up the middle for -1 yards (tackle by Daryl Worley). Penalty on Mike Iupati: Offensive Holding (Declined),1.600,0.920
4,3:30,2,11,ARI 39,20,21,David Johnson left end for 2 yards (tackle by Karl Joseph),0.920,0.500
4,3:20,,,,,,Timeout #2 by Oakland Raiders,,
4,3:20,3,9,ARI 41,20,21,Josh Rosen pass incomplete short left intended for David Johnson,0.500,-0.650
4,3:16,4,9,ARI 41,20,21,Andy Lee punts 57 yards downed by Chase Edmonds,-0.650,0.380
4,3:05,1,10,OAK 2,20,21,Derek Carr pass incomplete deep left intended for Jared Cook,-0.380,-0.780
4,3:00,2,10,OAK 2,20,21,Derek Carr pass incomplete short middle intended for Jared Cook,-0.780,-1.420
4,2:56,3,10,OAK 2,20,21,Derek Carr pass incomplete deep middle intended for Seth Roberts (defended by Josh Bynes),-1.420,-2.490
4,2:50,4,10,OAK 2,20,21,"Johnny Townsend punts 47 yards, returned by Christian Kirk for 5 yards (tackle by Marquel Lee)",-2.490,-2.650
4,2:39,1,10,OAK 44,20,21,David Johnson up the middle for -2 yards (tackle by Tahir Whitehead),2.650,1.840
4,2:34,2,12,OAK 46,20,21,"David Johnson left tackle for 4 yards (tackle by Jason Cabinda). Penalty on Jermaine Gresham: Unnecessary Roughness, 15 yards",1.840,-0.300
4,2:23,3,23,ARI 43,20,21,"David Johnson up the middle for 7 yards. Penalty on Ricky Seals-Jones: Offensive Holding, 10 yards",-0.300,-0.690
4,2:11,3,26,ARI 40,20,21,Chase Edmonds up the middle for 1 yard (tackle by Maurice Hurst),-0.690,-0.650
4,2:00,4,25,ARI 41,20,21,"Andy Lee punts 59 yards, touchback.",-0.650,-0.280
4,1:53,1,10,OAK 20,20,21,Derek Carr pass complete short right to Marcell Ateman for 9 yards (tackle by Patrick Peterson),0.280,0.950
4,1:26,2,1,OAK 29,20,21,Derek Carr pass complete short left to Jared Cook for 2 yards (tackle by Bene Benwikere),0.950,1.000
4,1:09,1,10,OAK 31,20,21,Derek Carr spiked the ball,1.000,0.460
4,1:07,2,10,OAK 31,20,21,Derek Carr pass complete deep left to Marcell Ateman for 32 yards (tackle by Bene Benwikere),0.460,3.120
4,1:02,1,10,ARI 37,20,21,Derek Carr pass incomplete short left intended for Marcell Ateman (defended by Bene Benwikere),3.120,2.570
4,0:58,2,10,ARI 37,20,21,Derek Carr sacked by Chandler Jones for no gain,2.570,1.880
4,0:25,3,10,ARI 37,20,21,Derek Carr pass complete short left to Seth Roberts for 20 yards (tackle by Antoine Bethea and Bene Benwikere),1.880,4.440
4,0:04,1,10,ARI 17,20,21,Derek Carr spiked the ball,4.440,3.850
4,0:02,,,,,,Timeout #2 by Arizona Cardinals,,
4,0:02,2,10,ARI 17,23,21,Daniel Carlson 35 yard field goal good,3.850,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
