Quarter,Time,Down,ToGo,Location,LAR,DAL,Detail,EPB,EPA
2,10:53,,,LAR 15,6,17,Dan Bailey kicks extra point good,0.000,0.000
2,10:53,,,DAL 35,6,17,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
2,10:53,1,10,LAR 25,6,17,Todd Gurley left guard for 4 yards (tackle by Orlando Scandrick),0.610,0.600
2,10:08,2,6,LAR 29,6,17,Tavon Austin right end for 7 yards (tackle by Anthony Brown),0.600,1.330
2,9:33,1,10,LAR 36,6,17,Todd Gurley left guard for 1 yard (tackle by Damontre Moore and Taco Charlton),1.330,0.930
2,8:52,2,9,LAR 37,6,17,Jared Goff pass incomplete short right intended for Todd Gurley,0.930,0.230
2,8:44,3,9,LAR 37,6,17,Jared Goff pass incomplete short left intended for Robert Woods,0.230,-0.910
2,8:40,4,9,LAR 37,6,17,"Johnny Hekker punts 46 yards, muffed catch by Ryan Switzer, recovered by Troy Hill and returned for no gain. Penalty on Bene Benwikere: Illegal Block Above the Waist (Declined)",-0.910,4.370
2,8:29,1,10,DAL 18,6,17,Todd Gurley left end for -1 yards (tackle by Jourdan Lewis),4.370,3.670
2,7:53,2,11,DAL 19,6,17,Jared Goff pass complete short right to Cooper Kupp for 10 yards (tackle by Anthony Brown),3.670,4.740
2,7:30,3,1,DAL 9,6,17,Todd Gurley middle for 2 yards (tackle by Demarcus Lawrence),4.740,5.600
2,6:46,1,7,DAL 7,6,17,Jared Goff pass incomplete short right intended for Robert Woods,5.600,4.760
,,,,,,,"LAR challenged the incomplete pass ruling, and the play was upheld.",,
2,6:38,2,7,DAL 7,12,17,"Jared Goff pass complete short left to Cooper Kupp for 7 yards, touchdown",4.760,7.000
2,6:33,,,DAL 15,13,17,Greg Zuerlein kicks extra point good,0.000,0.000
2,6:33,,,LAR 35,13,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,6:33,1,10,DAL 25,13,17,Ezekiel Elliott right tackle for 3 yards (tackle by Matt Longacre),0.610,0.470
2,5:48,2,7,DAL 28,13,17,Dak Prescott pass incomplete short right intended for Dez Bryant (defended by Michael Brockers),0.470,-0.230
2,5:43,3,7,DAL 28,13,17,Dak Prescott pass complete deep middle to Dez Bryant for 18 yards (tackle by John Johnson),-0.230,1.990
2,5:02,1,10,DAL 46,13,17,Dak Prescott left end for 1 yard (tackle by Alec Ogletree),1.990,1.590
2,4:20,2,9,DAL 47,13,17,Ezekiel Elliott middle for 6 yards (tackle by Robert Quinn),1.590,1.690
2,3:39,3,3,LAR 47,13,17,Dak Prescott pass complete short left to Ezekiel Elliott for 31 yards (tackle by Mark Barron),1.690,4.510
2,2:52,1,10,LAR 16,13,17,Alfred Morris middle for 6 yards (tackle by Maurice Alexander and Alec Ogletree),4.510,4.970
2,2:14,2,4,LAR 10,13,17,Dak Prescott sacked by Connor Barwin for 0 yards,4.970,4.170
2,2:00,3,4,LAR 10,13,23,"Dak Prescott pass complete short left to Brice Butler for 10 yards, touchdown",4.170,7.000
2,1:51,,,LAR 15,13,24,Dan Bailey kicks extra point good,0.000,0.000
2,1:51,,,DAL 35,13,24,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
2,1:51,1,10,LAR 25,13,24,Todd Gurley left guard for 6 yards (tackle by Jaylon Smith),0.610,0.870
2,1:31,2,4,LAR 31,13,24,Jared Goff pass complete short left to Todd Gurley for 10 yards (tackle by Jaylon Smith),0.870,1.660
2,1:25,1,10,LAR 41,13,24,Todd Gurley middle for 9 yards (tackle by Xavier Woods),1.660,2.340
2,1:03,2,1,,13,24,Jared Goff pass complete short left to Cooper Kupp for 4 yards (tackle by Jeff Heath),2.340,2.520
2,0:44,1,10,DAL 46,13,24,Jared Goff pass complete short right to Tyler Higbee for 7 yards,2.520,2.920
2,0:38,2,3,DAL 39,13,24,Jared Goff pass complete short right to Todd Gurley for 2 yards (tackle by Xavier Woods),2.920,2.480
2,0:18,3,1,DAL 37,13,24,Todd Gurley left tackle for 6 yards (tackle by Damontre Moore),2.480,3.840
2,0:04,1,10,DAL 26,16,24,Greg Zuerlein 44 yard field goal good,3.840,3.000
Quarter,Time,Down,ToGo,Location,LAR,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,16,24,"Dan Bailey kicks off 70 yards, returned by Pharoh Cooper for 26 yards (tackle by Byron Jones)",0.000,-0.340
3,14:55,1,10,LAR 21,16,24,"Jared Goff sacked by Demarcus Lawrence for -10 yards. Jared Goff fumbles (forced by Demarcus Lawrence), recovered by Rob Havenstein at LAR-10",0.340,-1.580
3,14:10,2,21,LAR 10,16,24,Tavon Austin left end for 14 yards (tackle by Maliek Collins),-1.580,-0.490
3,13:31,3,7,LAR 24,16,24,Jared Goff pass incomplete short left intended for Cooper Kupp,-0.490,-1.770
3,13:25,4,7,LAR 24,16,24,Johnny Hekker punts 62 yards,-1.770,0.280
3,13:10,1,10,DAL 14,16,24,Dak Prescott pass incomplete deep right intended for Dez Bryant,-0.280,-0.750
3,13:03,2,10,DAL 14,16,24,Ezekiel Elliott middle for 16 yards (tackle by Cody Davis and Robert Quinn),-0.750,0.940
3,12:22,1,10,DAL 30,16,24,Ezekiel Elliott left tackle for -1 yards (tackle by Aaron Donald),0.940,0.260
3,11:39,2,11,DAL 29,16,24,Dak Prescott pass complete short left to Cole Beasley for no gain,0.260,-0.430
3,11:01,3,11,DAL 29,16,24,Dak Prescott pass incomplete deep middle intended for Dez Bryant,-0.430,-1.440
3,10:54,4,11,DAL 29,16,24,"Chris Jones punts 44 yards, returned by Tavon Austin for 7 yards (tackle by James Hanna)",-1.440,-1.200
3,10:41,1,10,LAR 34,16,24,Tavon Austin left end for 5 yards (tackle by Demarcus Lawrence and Jourdan Lewis),1.200,1.330
3,10:09,2,5,LAR 39,16,24,Tavon Austin left end for 14 yards (tackle by Jaylon Smith),1.330,2.460
3,9:23,1,10,DAL 47,16,24,Todd Gurley left end for 17 yards (tackle by Jeff Heath),2.460,3.580
3,8:55,1,10,DAL 30,16,24,Jared Goff pass complete short right to Tyler Higbee for 11 yards (tackle by Jaylon Smith and Stephen Paea),3.580,4.310
3,8:27,1,10,DAL 19,16,24,Jared Goff pass incomplete,4.310,0.000
3,8:18,,,,,,Timeout #1 by Dallas Cowboys,0.000,-3.750
3,8:18,2,10,DAL 19,16,24,Jared Goff pass incomplete deep middle intended for Gerald Everett,3.750,3.030
3,8:13,3,10,DAL 19,16,24,Jared Goff pass complete short middle to Todd Gurley for 7 yards (tackle by Jaylon Smith),3.030,2.730
3,7:29,4,3,DAL 12,19,24,Greg Zuerlein 30 yard field goal good,2.730,3.000
3,7:26,,,LAR 35,19,24,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,7:26,1,10,DAL 25,19,24,Ezekiel Elliott right guard for 2 yards (tackle by Mark Barron),0.610,0.330
3,6:48,2,8,DAL 27,19,24,Dak Prescott middle for 12 yards (tackle by Alec Ogletree),0.330,1.530
3,6:06,1,10,DAL 39,19,24,Ryan Switzer right end for 3 yards (tackle by Alec Ogletree),1.530,1.390
3,5:32,2,7,DAL 42,19,24,Dak Prescott pass incomplete deep right intended for Terrance Williams (defended by Kayvon Webster),1.390,0.700
3,5:25,3,7,DAL 42,19,24,Dak Prescott pass complete short right to Cole Beasley for 5 yards (tackle by Nickell Robey-Coleman),0.700,-0.260
3,5:11,4,2,DAL 47,19,24,"Chris Jones punts 42 yards, returned by Tavon Austin for 7 yards (tackle by Damien Wilson). Penalty on Cory Littleton: Illegal Block Above the Waist, 8 yards",-0.260,0.380
3,4:58,1,10,LAR 10,19,24,Todd Gurley left guard for 16 yards (tackle by Jeff Heath),-0.380,0.670
3,4:34,1,10,LAR 26,19,24,Todd Gurley right tackle for 7 yards (tackle by Anthony Brown),0.670,1.070
3,3:53,2,3,LAR 33,19,24,Jared Goff pass complete short left to Malcolm Brown for 14 yards (tackle by Jeff Heath and Kavon Frazier),1.070,2.060
3,3:09,1,10,LAR 47,25,24,"Jared Goff pass complete deep middle to Todd Gurley for 53 yards, touchdown",2.060,7.000
3,2:59,,,DAL 15,26,24,Greg Zuerlein kicks extra point good,0.000,0.000
3,2:59,,,LAR 35,26,24,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,2:59,1,10,DAL 25,26,24,Ezekiel Elliott left tackle for no gain (tackle by Michael Brockers),0.610,0.060
3,2:23,2,10,DAL 25,26,24,Dak Prescott pass complete short right to Ezekiel Elliott for 4 yards,0.060,-0.100
3,1:42,3,6,DAL 29,26,24,Dak Prescott pass incomplete deep right intended for Dez Bryant,-0.100,-1.440
3,1:37,4,6,DAL 29,26,24,"Chris Jones punts 55 yards, returned by Tavon Austin for 6 yards (tackle by Keith Smith). Penalty on Marqui Christian: Illegal Block Above the Waist, 10 yards",-1.440,0.350
3,1:22,1,10,LAR 12,26,24,Todd Gurley right tackle for 4 yards (tackle by Kavon Frazier),-0.350,-0.370
3,0:38,2,6,LAR 16,26,24,"Penalty on Jamon Brown: False Start, 5 yards (no play)",-0.370,-0.850
3,0:22,2,11,LAR 11,26,24,Malcolm Brown middle for no gain (tackle by Justin Durant),-0.850,-1.540
Quarter,Time,Down,ToGo,Location,LAR,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,11,LAR 11,26,24,Jared Goff pass complete deep middle to Robert Woods for 19 yards (tackle by Jourdan Lewis),-1.540,0.940
4,14:32,1,10,LAR 30,26,24,Jared Goff pass incomplete deep left intended for Tyler Higbee,0.940,0.390
4,14:23,2,10,LAR 30,26,24,Jared Goff pass complete short right to Cooper Kupp for 15 yards (tackle by Byron Jones),0.390,1.930
4,13:43,1,10,LAR 45,26,24,"Jared Goff pass incomplete deep left intended for Cooper Kupp. Penalty on Orlando Scandrick: Defensive Pass Interference, 25 yards (no play)",1.930,3.580
4,13:35,1,10,DAL 30,26,24,Tavon Austin right end for -4 yards (tackle by Demarcus Lawrence),3.580,2.490
4,12:56,2,14,DAL 34,26,24,Jared Goff pass complete short right to Cooper Kupp for 24 yards (tackle by Jaylon Smith and Kavon Frazier),2.490,4.910
4,12:13,1,10,DAL 10,26,24,Jared Goff pass incomplete short right intended for Tavon Austin,4.910,4.190
4,12:10,2,10,DAL 10,26,24,Jared Goff pass incomplete short right intended for Robert Woods,4.190,3.130
4,12:04,3,10,DAL 10,26,24,Jared Goff pass incomplete short middle intended for Gerald Everett (defended by Byron Jones),3.130,2.760
4,12:00,4,10,DAL 10,29,24,Greg Zuerlein 28 yard field goal good,2.760,3.000
4,11:56,,,LAR 35,29,24,"Greg Zuerlein kicks off 70 yards, returned by Ryan Switzer for 26 yards (tackle by John Johnson)",0.000,-0.340
4,11:50,1,10,DAL 21,29,24,Ezekiel Elliott right tackle for 1 yard (tackle by Kayvon Webster),0.340,-0.070
4,11:17,2,9,DAL 22,29,24,Dak Prescott pass incomplete short left intended for Dez Bryant,-0.070,-0.760
4,11:12,3,9,DAL 22,29,24,Dak Prescott pass incomplete short middle intended for Cole Beasley is intercepted by Mark Barron at DAL-33 and returned for 4 yards,-0.760,-3.640
4,11:00,1,10,DAL 29,29,24,Todd Gurley right tackle for -4 yards (tackle by Justin Durant),3.640,2.560
4,10:18,2,14,DAL 33,29,24,Todd Gurley right end for 8 yards (tackle by Byron Jones),2.560,2.940
4,9:50,3,6,DAL 25,29,24,Jared Goff pass incomplete short middle intended for Sammy Watkins,2.940,1.830
4,9:46,4,6,DAL 25,32,24,Greg Zuerlein 43 yard field goal good,1.830,3.000
4,9:41,,,LAR 35,32,24,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,9:41,1,10,DAL 25,32,24,Dak Prescott pass complete short middle to Cole Beasley for 12 yards (tackle by Mark Barron),0.610,1.400
4,9:04,1,10,DAL 37,32,24,Ezekiel Elliott middle for 5 yards (tackle by Kayvon Webster),1.400,1.530
4,8:28,2,5,DAL 42,32,24,Dak Prescott pass complete short middle to Dez Bryant for 12 yards (tackle by Trumaine Johnson),1.530,2.520
4,7:55,1,10,LAR 46,32,24,Dak Prescott pass complete short middle to Dez Bryant for 18 yards (tackle by Trumaine Johnson),2.520,3.710
4,7:18,1,10,LAR 28,32,30,"Dak Prescott pass complete deep right to James Hanna for 28 yards, touchdown",3.710,7.000
4,7:11,,,LAR 2,32,30,"Two Point Attempt: Dak Prescott middle, conversion succeeds. Penalty on Travis Frederick: Offensive Holding, 10 yards (no play)",0.000,-1.000
4,7:11,,,LAR 12,32,30,"Two Point Attempt: Dak Prescott pass incomplete is intercepted by Mark Barron, conversion fails. Penalty on Kayvon Webster: Defensive Holding, 5 yards (no play)",0.000,-1.000
4,7:11,,,LAR 7,32,30,"Two Point Attempt: Dak Prescott pass incomplete intended for Terrance Williams, conversion fails",0.000,-1.000
4,7:11,,,DAL 35,32,30,"Dan Bailey kicks off 58 yards, returned by Pharoh Cooper for 10 yards (tackle by Kavon Frazier)",0.000,0.060
4,7:08,1,10,LAR 17,32,30,Todd Gurley middle for 5 yards (tackle by Jaylon Smith),-0.060,0.210
4,6:44,2,5,LAR 22,32,30,Jared Goff pass incomplete deep right intended for Tyler Higbee (defended by Anthony Brown),0.210,-0.620
4,6:41,3,5,LAR 22,32,30,Jared Goff pass complete short left to Todd Gurley for 12 yards (tackle by Jeff Heath),-0.620,1.200
4,6:06,1,10,LAR 34,32,30,Todd Gurley right end for 4 yards (tackle by Damien Wilson),1.200,1.200
4,5:21,2,6,LAR 38,32,30,Jared Goff pass complete deep middle to Sammy Watkins for 17 yards (tackle by Anthony Brown),1.200,2.590
4,4:39,1,10,DAL 45,32,30,Todd Gurley middle for 2 yards (tackle by Benson Mayowa),2.590,2.310
4,3:58,2,8,DAL 43,32,30,Todd Gurley right tackle for 12 yards (tackle by Jeff Heath),2.310,3.510
4,3:12,1,10,DAL 31,32,30,Todd Gurley right tackle for 11 yards (tackle by Orlando Scandrick),3.510,0.000
4,3:04,,,,,,Timeout #2 by Dallas Cowboys,0.000,-4.240
4,3:04,1,10,DAL 20,32,30,"Penalty on Tyler Higbee: False Start, 5 yards (no play)",4.240,0.000
4,3:04,,,,,,Timeout #1 by Los Angeles Rams,0.000,-3.910
4,3:04,1,15,DAL 25,32,30,Todd Gurley left end for -1 yards (tackle by Byron Jones),3.910,0.000
4,2:58,,,,,,Timeout #3 by Dallas Cowboys,0.000,-2.880
4,2:58,2,16,DAL 26,32,30,Tavon Austin right end for 12 yards (tackle by Jaylon Smith),2.880,3.890
4,2:12,3,4,DAL 14,32,30,Todd Gurley middle for -1 yards (tackle by Tyrone Crawford),3.890,2.490
4,2:00,4,5,DAL 15,35,30,Greg Zuerlein 33 yard field goal good,2.490,3.000
4,1:55,,,LAR 35,35,30,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,1:55,1,10,DAL 25,35,30,Dak Prescott pass complete short middle to Jason Witten for 9 yards (tackle by Mark Barron),0.610,1.280
4,1:34,2,1,DAL 34,35,30,Dak Prescott pass incomplete short right intended for Terrance Williams,1.280,0.560
4,1:31,3,1,DAL 34,35,30,Ezekiel Elliott left guard for 6 yards (tackle by Mark Barron),0.560,1.600
4,1:11,1,10,DAL 40,35,30,Dak Prescott pass incomplete short right intended for Cole Beasley (defended by Michael Brockers),1.600,1.050
4,1:08,2,10,DAL 40,35,30,Dak Prescott pass incomplete short left intended for Dez Bryant,1.050,0.370
4,1:04,3,10,DAL 40,35,30,Dak Prescott left end for 12 yards (tackle by Trumaine Johnson),0.370,2.390
4,0:49,1,10,LAR 48,35,30,Dak Prescott spiked the ball,2.390,1.850
4,0:46,2,10,LAR 48,35,30,Dak Prescott pass incomplete short left intended for Ezekiel Elliott,1.850,1.160
4,0:41,3,10,LAR 48,35,30,Dak Prescott pass incomplete short left intended for Dez Bryant,1.160,0.070
4,0:36,4,10,LAR 48,35,30,Dak Prescott pass complete short right to Ezekiel Elliott for 9 yards (tackle by John Johnson),0.070,-1.530
4,0:27,1,10,LAR 39,35,30,Jared Goff kneels for -1 yards,1.530,0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
