Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
OT,3:05,3,6,ATL 28,34,34,Michael Vick pass incomplete intended for Brian Finneran (defended by Dewayne Washington),-0.160,-0.820
OT,3:03,3,11,ATL 23,34,34,Michael Vick pass incomplete intended for Alge Crumpler,-0.820,-1.830
OT,2:58,4,11,ATL 23,34,34,"Chris Mohr punts 52 yards, returned by Antwaan Randle El for 1 yard (tackle by Johndale Carty)",-1.830,-0.670
OT,2:48,1,10,PIT 26,34,34,Tommy Maddox pass complete to Hines Ward for 3 yards (tackle by Keion Carpenter),0.670,0.540
OT,2:03,2,7,PIT 29,34,34,Tommy Maddox pass complete to Hines Ward for 15 yards (tackle by Kevin Mathis),0.540,1.860
OT,1:57,1,10,PIT 44,34,34,Tommy Maddox pass incomplete intended for Plaxico Burress is intercepted by Kevin Mathis at ATL-43 and returned for 13 yards,1.860,-2.650
OT,1:48,1,10,PIT 44,34,34,Michael Vick pass incomplete intended for Quentin McCord (defended by Lee Flowers),2.650,2.110
OT,1:31,2,10,PIT 44,34,34,Michael Vick pass complete to Quentin McCord for 6 yards (tackle by Deshea Townsend and Chad Scott),2.110,2.210
OT,0:59,3,4,PIT 38,34,34,Michael Vick for 1 yard (tackle by Joey Porter),2.210,0.790
OT,0:59,4,3,PIT 37,34,34,"Jay Feely 56 yard field goal no good, blocked by James Farrior, recovered by Jay Feely",0.790,-2.190
OT,0:01,1,10,PIT 49,34,34,Tommy Maddox pass complete to Plaxico Burress for 50 yards (tackle by Brian Finneran),2.190,0.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
