Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
4,14:25,2,10,NYG 25,17,7,Teddy Bridgewater sacked by Austin Johnson for -6 yards,,
4,13:40,3,16,NYG 31,17,7,Teddy Bridgewater pass complete short right to Melvin Gordon for 13 yards (tackle by Logan Ryan),,
4,12:49,4,3,NYG 18,20,7,Brandon McManus 36 yard field goal good,,
4,12:44,,,DEN 35,20,7,"Brandon McManus kicks off 65 yards, touchback.",,
4,12:44,1,10,NYG 25,20,7,Saquon Barkley left guard for 3 yards (tackle by Kareem Jackson and Shelby Harris),,
4,10:50,2,7,NYG 28,20,7,"Daniel Jones scrambles right tackle for 5 yards (tackle by Justin Simmons). Penalty on Dre'Mont Jones: Unnecessary Roughness / Defense, 15 yards (accepted)",,
4,11:24,1,10,NYG 48,20,7,Devontae Booker left tackle for 2 yards (tackle by Alexander Johnson),,
4,10:46,2,8,NYG 50,20,7,Daniel Jones scrambles right end for 4 yards (tackle by Kyle Fuller),,
4,10:10,3,4,DEN 46,20,7,Daniel Jones pass incomplete short left intended for Darius Slayton,,
4,10:05,4,4,DEN 46,20,7,Daniel Jones scrambles up the middle for 8 yards (tackle by Justin Simmons),,
4,9:27,1,10,DEN 38,20,7,Saquon Barkley left tackle for 2 yards (tackle by DeShawn Williams),,
4,8:45,2,8,DEN 36,20,7,Daniel Jones pass complete deep middle to Kenny Golladay for 17 yards (tackle by Ronald Darby),,
4,8:06,1,10,DEN 19,20,7,Daniel Jones pass incomplete short middle intended for Saquon Barkley,,
4,8:01,2,10,DEN 19,20,7,Devontae Booker left guard for 6 yards (tackle by DeShawn Williams),,
4,7:18,3,4,DEN 13,20,7,"Daniel Jones pass incomplete short right. Penalty on Kyle Fuller: Defensive Pass Interference, 6 yards (accepted) (no play)",,
4,7:12,1,7,DEN 7,20,7,Daniel Jones pass incomplete short right intended for Saquon Barkley (defended by Kyle Fuller),,
4,7:07,2,7,DEN 7,20,7,Saquon Barkley right end for 1 yard (tackle by Josey Jewell),,
4,6:35,3,6,DEN 6,20,7,Daniel Jones pass incomplete intended for Kyle Rudolph,,
4,6:30,4,6,DEN 6,20,7,Daniel Jones pass incomplete short right intended for Kenny Golladay (defended by Kyle Fuller),,
4,6:25,1,10,DEN 6,20,7,Javonte Williams right guard for 2 yards (tackle by Julian Love),,
4,5:40,2,8,DEN 8,20,7,Javonte Williams up the middle for 4 yards (tackle by Reggie Ragland and James Bradberry),,
4,4:54,3,4,DEN 12,20,7,Teddy Bridgewater pass complete short left to Melvin Gordon for 3 yards (tackle by James Bradberry),,
4,4:54,4,1,DEN 15,20,7,"Penalty on Azeez Ojulari: Roughing the Passer, 15 yards (accepted) (no play)",,
4,4:48,1,10,DEN 30,26,7,"Melvin Gordon up the middle for 70 yards, touchdown",,
4,4:37,,,NYG 15,27,7,Brandon McManus kicks extra point good,,
4,4:37,,,DEN 35,27,7,"Brandon McManus kicks off 70 yards, returned by C.J. Board for 38 yards (tackle by Mike Ford). Penalty on Mike Ford: Unnecessary Roughness / Defense, 15 yards (accepted)",,
4,4:29,1,10,NYG 48,27,7,Daniel Jones pass complete to Kenny Golladay for 14 yards (tackle by Ronald Darby),,
4,4:05,1,10,DEN 38,27,7,Daniel Jones pass complete short middle to Kyle Rudolph for 6 yards (tackle by Kyle Fuller),,
4,3:38,2,4,DEN 32,27,7,Daniel Jones pass complete deep middle to Kenny Golladay for 16 yards (tackle by Ronald Darby),,
4,3:17,1,10,DEN 16,27,7,Daniel Jones pass incomplete deep middle intended for Kyle Rudolph,,
4,3:14,2,10,DEN 16,27,7,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by Ronald Darby),,
4,3:09,3,10,DEN 16,27,7,Daniel Jones sacked by Von Miller for -5 yards,,
4,2:55,,,,,,Timeout #2 by New York Giants,,
4,2:55,4,15,DEN 21,27,7,"Daniel Jones pass incomplete deep left intended for Kenny Golladay. Penalty on Will Hernandez: Illegal Use of Hands / Offense, 5 yards (declined)",,
4,2:55,1,10,DEN 21,27,7,Javonte Williams left tackle for 3 yards (tackle by Reggie Ragland and Adoree' Jackson),,
4,2:49,,,,,,Timeout #3 by New York Giants,,
4,2:49,2,7,DEN 24,27,7,Javonte Williams right end for -1 yards (tackle by Jabrill Peppers),,
4,2:05,3,8,DEN 23,27,7,Javonte Williams for 2 yards (tackle by Oshane Ximines and Reggie Ragland),,
4,1:58,4,6,DEN 25,27,7,"Sam Martin punts 41 yards, returned by Jabrill Peppers for 2 yards (tackle by Mike Ford)",,
4,1:49,1,10,NYG 36,27,7,Daniel Jones pass complete short middle to Sterling Shepard for 16 yards (tackle by Justin Simmons),,
4,1:28,1,10,DEN 48,27,7,Daniel Jones pass complete short right to Gary Brightwell for 6 yards (tackle by Justin Simmons),,
4,1:05,2,4,DEN 42,27,7,Daniel Jones pass complete short right to Sterling Shepard for 9 yards (tackle by Bryce Callahan),,
4,0:48,1,10,DEN 33,27,7,Daniel Jones pass complete to Darius Slayton for 15 yards (tackle by Kyle Fuller),,
4,0:27,1,10,DEN 18,27,7,Daniel Jones spiked the ball,,
4,0:26,2,10,DEN 18,27,7,Daniel Jones pass complete short right to Sterling Shepard for 8 yards (tackle by Bryce Callahan),,
4,0:06,3,2,DEN 10,27,7,Daniel Jones pass complete short left to C.J. Board for 6 yards (tackle by Ronald Darby),,
4,0:01,1,4,DEN 4,27,13,"Daniel Jones scrambles up the middle for 4 yards, touchdown",,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
