Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
2,6:40,1,10,ARI 49,3,7,Alfonso Smith right end for -1 yards (tackle by Darian Stewart and Chris Long),2.190,1.510
2,6:01,2,11,ARI 48,3,7,John Skelton pass complete short left to Jeff King for 7 yards (tackle by Chris Chamberlain),1.510,1.750
2,5:17,3,4,STL 45,3,7,"John Skelton sacked by Chris Long for -6 yards. Penalty on Roderick Hood: Defensive Holding, 5 yards (no play)",1.750,2.920
2,4:50,1,10,STL 40,3,7,John Skelton pass incomplete deep right intended for Andre Roberts,2.920,2.370
2,4:44,2,10,STL 40,3,7,Chris Wells left tackle for 1 yard (tackle by Chris Chamberlain),2.370,1.820
2,4:05,3,9,STL 39,3,7,John Skelton pass incomplete short right intended for Larry Fitzgerald,1.820,0.660
2,4:00,4,9,STL 39,3,7,"Dave Zastudil punts 39 yards, touchback",0.660,-0.280
2,3:52,1,10,STL 20,3,7,Sam Bradford pass complete short right to Austin Pettis for 2 yards (tackle by Clark Haggans),0.280,0.000
2,3:11,2,8,STL 22,3,7,Jerious Norwood left tackle for 10 yards (tackle by Richard Marshall),0.000,1.070
2,2:30,1,10,STL 32,3,7,Jerious Norwood left tackle for 4 yards (tackle by A.J. Jefferson),1.070,1.070
2,2:00,2,6,STL 36,3,7,Jerious Norwood left guard for 2 yards (tackle by Sam Acho),1.070,0.630
2,1:24,3,4,STL 38,3,7,Sam Bradford pass complete short right to Brandon Lloyd for 11 yards (tackle by Patrick Peterson),0.630,2.190
2,1:17,,,,3,7,Timeout #1 by St. Louis Rams,0.000,2.190
2,1:17,1,10,STL 49,3,7,Sam Bradford pass incomplete short middle intended for Brandon Lloyd,2.190,1.650
2,1:13,2,10,STL 49,3,7,Sam Bradford pass complete deep right to Brandon Gibson for 22 yards (tackle by A.J. Jefferson). Penalty on Adrian Wilson: Defensive Offside (Declined),1.650,3.640
2,1:07,1,10,ARI 29,3,7,Sam Bradford pass complete deep left to Brandon Lloyd for 26 yards (tackle by Patrick Peterson),3.640,6.510
2,0:43,,,,3,7,Timeout #2 by St. Louis Rams,0.000,6.510
2,0:43,1,3,ARI 3,3,7,"Penalty on Jason Brown: False Start, 5 yards (no play)",6.510,5.370
2,0:43,1,8,ARI 8,3,7,Sam Bradford sacked by Sam Acho for -9 yards,5.370,3.240
2,0:12,,,,3,7,Timeout #3 by St. Louis Rams,0.000,3.240
2,0:12,2,17,ARI 17,3,7,Sam Bradford pass incomplete deep right intended for Brandon Gibson,3.240,2.740
2,0:07,3,17,ARI 17,3,10,Josh Brown 35 yard field goal good,2.740,3.000
2,,,,STL 35,3,10,"Josh Brown kicks off 58 yards, returned by LaRod Stephens-Howling for 14 yards (tackle by David Nixon)",0.000,1.270
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,3,10,"Josh Brown kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,ARI 20,3,10,Chris Wells up the middle for 9 yards (tackle by James Laurinaitis),0.280,0.950
3,14:20,2,1,ARI 29,3,10,Chris Wells right tackle for 7 yards (tackle by James Laurinaitis),0.950,1.330
3,13:46,1,10,ARI 36,3,10,Chris Wells left guard for no gain (tackle by James Hall),1.330,0.790
3,13:05,2,10,ARI 36,3,10,John Skelton pass complete deep right to Larry Fitzgerald for 41 yards (tackle by Quintin Mikell),0.790,4.040
3,12:41,1,10,STL 23,3,10,Chris Wells right end for 2 yards (tackle by Chris Long),4.040,3.770
3,12:03,2,8,STL 21,3,10,"John Skelton pass complete short left to Larry Fitzgerald for 7 yards (tackle by James Laurinaitis). Penalty on Rex Hadnot: Offensive Holding, 10 yards (no play)",3.770,2.420
3,11:33,2,18,STL 31,3,10,John Skelton pass complete short right to Early Doucet for 14 yards (tackle by Justin King and Josh Gordy),2.420,3.660
3,10:50,3,4,STL 17,3,10,Chris Wells left end for 3 yards (tackle by Quintin Mikell),3.660,2.660
3,9:58,4,1,STL 14,3,10,"Penalty on Rex Hadnot: False Start, 5 yards (no play)",2.660,2.210
3,9:42,4,6,STL 19,6,10,Jay Feely 37 yard field goal good,2.210,3.000
3,,,,ARI 35,6,10,"Jay Feely kicks off 67 yards, returned by Quinn Porter for 29 yards (tackle by Hamza Abdullah)",0.000,0.740
3,9:32,1,10,STL 27,6,10,Steven Jackson right tackle for 1 yard (tackle by Daryl Washington),0.740,0.330
3,8:56,2,9,STL 28,6,10,Sam Bradford pass incomplete short right intended for Brandon Lloyd,0.330,-0.360
3,8:53,3,9,STL 28,6,10,"Sam Bradford pass complete short right to Lance Kendricks for 1 yard (tackle by Sam Acho). Lance Kendricks fumbles (forced by Sam Acho), recovered by Sam Acho at STL-29 and returned for 1 yards (tackle by Jason Brown)",-0.360,-3.710
3,8:43,1,10,STL 28,6,10,Chris Wells left guard for no gain (tackle by Gary Gibson),3.710,3.170
3,8:09,2,10,STL 28,6,10,John Skelton pass complete short middle to Chester Taylor for -3 yards (tackle by Darell Scott),3.170,2.080
3,7:30,3,13,STL 31,6,10,John Skelton for 13 yards (tackle by Darian Stewart),2.080,4.370
3,7:10,1,10,STL 18,6,10,Chris Wells left end for 7 yards (tackle by Josh Gordy),4.370,5.010
3,6:41,2,3,STL 11,6,10,Chris Wells right tackle for 4 yards (tackle by Quintin Mikell),5.010,5.600
3,6:00,1,7,STL 7,12,10,"Chris Wells up the middle for 7 yards, touchdown",5.600,7.000
3,,,,STL 2,13,10,Jay Feely kicks extra point good,0.000,0.000
3,,,,ARI 35,13,10,"Jay Feely kicks off 68 yards, returned by Quinn Porter for 22 yards (tackle by Early Doucet). Penalty on Brady Poppinga: Offensive Holding, 9 yards",0.000,-0.380
3,5:48,1,10,STL 10,13,10,Steven Jackson right end for 11 yards (tackle by Rashad Johnson),-0.380,0.340
3,5:22,1,10,STL 21,13,10,Steven Jackson left guard for 4 yards (tackle by Calais Campbell),0.340,0.340
3,4:44,2,6,STL 25,13,10,Steven Jackson right guard for -3 yards (tackle by Darnell Dockett),0.340,-0.760
3,4:05,3,9,STL 22,13,10,Sam Bradford pass complete short left to Austin Pettis for 8 yards (tackle by Patrick Peterson),-0.760,-1.370
3,4:05,4,1,STL 30,13,10,"Penalty on C.J. Ah You: False Start, 5 yards (no play)",-1.370,-1.700
3,3:14,4,6,STL 25,19,10,"Donnie Jones punts 55 yards, returned by Patrick Peterson for 80 yards, touchdown",-1.700,-7.000
3,,,,STL 2,20,10,Jay Feely kicks extra point good,0.000,0.000
3,,,,ARI 35,20,10,"Jay Feely kicks off 69 yards, returned by Quinn Porter for 25 yards (tackle by Jim Dray)",0.000,0.340
3,2:49,1,10,STL 21,20,10,Sam Bradford pass incomplete short middle intended for Jerious Norwood,0.340,-0.200
3,2:44,2,10,STL 21,20,10,Jerious Norwood up the middle for 4 yards (tackle by Stewart Bradley),-0.200,-0.360
3,2:07,3,6,STL 25,20,10,Sam Bradford pass complete short right to Brandon Gibson for 8 yards (tackle by Patrick Peterson),-0.360,1.140
3,1:27,1,10,STL 33,20,10,Sam Bradford pass complete deep left to Austin Pettis for 35 yards (tackle by Rashad Johnson),1.140,3.450
3,0:47,1,10,ARI 32,20,10,Jerious Norwood right guard for 2 yards (tackle by Ronald Talley),3.450,3.170
3,0:07,2,8,ARI 30,20,10,Sam Bradford pass incomplete deep left intended for Brandon Lloyd,3.170,2.480
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,ARI 30,20,10,Sam Bradford pass incomplete short right intended for Brandon Gibson,2.480,1.410
4,14:54,4,8,ARI 30,20,13,Josh Brown 48 yard field goal good,1.410,3.000
4,,,,STL 35,20,13,"Josh Brown kicks off 65 yards, returned by LaRod Stephens-Howling for 26 yards (tackle by Craig Dahl)",0.000,0.670
4,14:41,1,10,ARI 26,20,13,John Skelton pass incomplete short middle intended for Larry Fitzgerald is intercepted by James Laurinaitis at ARI-37,0.670,-3.120
4,14:34,1,10,ARI 37,20,13,"Sam Bradford pass incomplete deep right intended for Brandon Lloyd. Penalty on Jason Brown: Offensive Holding, 10 yards (no play)",3.120,2.460
4,14:26,1,20,ARI 47,20,13,Steven Jackson left tackle for 3 yards (tackle by Calais Campbell),2.460,1.630
4,13:51,2,17,ARI 44,20,13,Sam Bradford pass incomplete deep left intended for Brandon Gibson,1.630,0.960
4,13:46,3,17,ARI 44,20,13,Sam Bradford pass complete short left to Lance Kendricks for 12 yards (tackle by Daryl Washington),0.960,1.260
4,13:07,,,,20,13,Timeout #1 by Arizona Cardinals,0.000,1.260
4,13:07,4,5,ARI 32,20,13,Josh Brown 50 yard field goal no good,1.260,-1.600
4,13:02,1,10,ARI 40,20,13,Chris Wells left end for -1 yards (tackle by Chris Chamberlain),1.600,0.920
4,12:19,,,,20,13,Timeout #2 by Arizona Cardinals,0.000,0.920
4,12:19,2,11,ARI 39,20,13,John Skelton sacked by Robert Quinn for 0 yards,0.920,0.230
4,11:45,3,11,ARI 39,20,13,John Skelton left end for 6 yards (tackle by Chris Long),0.230,-0.390
4,11:10,4,5,ARI 45,20,13,"Dave Zastudil punts 48 yards, returned by Nick Miller for 1 yard (tackle by O'Brien Schofield)",-0.390,0.380
4,10:58,1,10,STL 8,20,13,Steven Jackson right tackle for 3 yards (tackle by Michael Adams),-0.380,-0.560
4,10:18,2,7,STL 11,20,13,Sam Bradford pass incomplete deep left intended for Brandon Lloyd,-0.560,-1.070
4,10:12,3,7,STL 11,20,13,Sam Bradford pass incomplete short left intended for Austin Pettis,-1.070,-2.490
4,10:08,4,7,STL 11,20,13,Donnie Jones punts 44 yards,-2.490,-1.930
4,9:59,1,10,ARI 45,20,13,Chris Wells left tackle for 4 yards (tackle by Chris Chamberlain),1.930,1.920
4,9:21,2,6,ARI 49,20,13,"Chris Wells left tackle for -6 yards (tackle by Brady Poppinga). Chris Wells fumbles (forced by Brady Poppinga), recovered by Brady Poppinga at ARI-43 (tackle by Daryn Colledge)",1.920,-2.720
4,9:11,1,10,ARI 43,20,13,Sam Bradford pass complete short right to Stephen Spach for 3 yards (tackle by Richard Marshall),2.720,2.580
4,8:36,2,7,ARI 40,20,13,Sam Bradford pass complete deep right to Lance Kendricks for 24 yards (tackle by Rashad Johnson),2.580,4.510
4,7:51,1,10,ARI 16,20,19,"Sam Bradford pass complete deep left to Brandon Lloyd for 16 yards, touchdown",4.510,7.000
4,,,,ARI 2,20,20,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 35,20,20,"Josh Brown kicks off 71 yards, returned by LaRod Stephens-Howling for 31 yards (tackle by Quinn Porter)",0.000,0.610
4,7:37,1,10,ARI 25,20,20,LaRod Stephens-Howling up the middle for 4 yards (tackle by Gary Gibson),0.610,0.600
4,7:05,2,6,ARI 29,20,20,John Skelton pass incomplete short right intended for Andre Roberts,0.600,-0.100
4,6:54,3,6,ARI 29,20,20,John Skelton pass complete short middle to Larry Fitzgerald for 9 yards (tackle by Quintin Mikell),-0.100,1.470
4,6:18,1,10,ARI 38,20,20,Chris Wells left guard for 53 yards (tackle by Quintin Mikell),1.470,5.140
4,5:45,1,9,STL 9,20,20,Chris Wells left guard for no gain (tackle by Fred Robbins),5.140,4.380
4,4:58,2,9,STL 9,20,20,John Skelton pass incomplete short left intended for Larry Fitzgerald,4.380,3.360
4,4:54,3,9,STL 9,20,20,John Skelton pass complete short right to Larry Fitzgerald for 5 yards (tackle by Justin King and Josh Gordy),3.360,3.030
4,4:12,4,4,STL 4,23,20,Jay Feely 22 yard field goal good,3.030,3.000
4,,,,ARI 35,23,20,"Jay Feely kicks off 70 yards, returned by Quinn Porter for 32 yards (tackle by Richard Marshall)",0.000,0.740
4,4:04,1,10,STL 27,23,20,Sam Bradford pass incomplete deep middle intended for Lance Kendricks,0.740,0.200
4,3:59,2,10,STL 27,23,20,Sam Bradford pass complete short left to Brandon Lloyd for 9 yards (tackle by Paris Lenon),0.200,0.700
4,3:27,3,1,STL 36,23,20,Sam Bradford pass incomplete short left intended for Lance Kendricks (defended by Daryl Washington),0.700,-0.980
4,3:22,4,1,STL 36,23,20,"Donnie Jones punts 38 yards, fair catch by Patrick Peterson",-0.980,-0.670
4,3:14,1,10,ARI 26,23,20,Chris Wells left end for 1 yard (tackle by James Hall and James Laurinaitis),0.670,0.270
4,3:08,,,,23,20,Timeout #1 by St. Louis Rams,0.000,0.270
4,3:08,2,9,ARI 27,23,20,Alfonso Smith left tackle for 5 yards (tackle by James Hall and Justin King),0.270,0.230
4,3:03,,,,23,20,Timeout #2 by St. Louis Rams,0.000,0.230
4,3:03,3,4,ARI 32,23,20,John Skelton pass complete short right to LaRod Stephens-Howling for 14 yards (tackle by James Butler),0.230,1.990
4,2:55,,,,23,20,Timeout #3 by St. Louis Rams,0.000,1.990
4,2:55,1,10,ARI 46,23,20,Chris Wells left tackle for 3 yards (tackle by Chris Chamberlain),1.990,1.860
4,2:13,2,7,ARI 49,23,20,Chris Wells right tackle for 3 yards (tackle by Justin King),1.860,1.550
4,2:00,3,4,STL 48,23,20,LaRod Stephens-Howling left tackle for 5 yards (tackle by James Hall and Craig Dahl),1.550,2.720
4,1:09,1,10,STL 43,23,20,"Penalty on John Skelton: Delay of Game, 5 yards (no play)",2.720,2.390
4,1:09,1,15,STL 48,23,20,Chris Wells left tackle for 14 yards (tackle by Craig Dahl),2.390,3.390
4,0:35,2,1,STL 34,23,20,John Skelton kneels for -1 yards,3.390,2.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
