Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
1,0:13,1,1,NYJ 1,0,7,"Joe Burrow pass complete short right to Joe Mixon for no gain (tackle by C.J. Mosley) CIN challenged the runner broke the plane ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,NYJ 1,6,7,"Joe Mixon up the middle for 1 yard, touchdown",,
2,14:57,,,NYJ 15,7,7,Evan McPherson kicks extra point good,,
2,14:57,,,CIN 35,7,7,"Evan McPherson kicks off 65 yards, touchback.",,
2,14:57,1,10,NYJ 25,7,7,Mike White pass incomplete short right intended for Keelan Cole (defended by Sam Hubbard),,
2,14:54,2,10,NYJ 25,7,7,Mike White pass complete short right to Michael Carter for 20 yards (tackle by Jessie Bates and Logan Wilson),,
2,14:11,1,10,NYJ 45,7,7,Ty Johnson up the middle for 5 yards (tackle by Logan Wilson and Sam Hubbard),,
2,13:31,2,5,NYJ 50,7,7,Michael Carter left end for 9 yards (tackle by Jessie Bates),,
2,12:54,1,10,CIN 41,7,7,Mike White pass complete short middle to Elijah Moore for 6 yards (tackle by Logan Wilson),,
2,12:15,2,4,CIN 35,7,7,Jeff Smith left end for -1 yards (tackle by Chidobe Awuzie),,
2,11:36,3,5,CIN 36,7,7,Mike White pass incomplete short left intended for Michael Carter (defended by Chidobe Awuzie),,
2,11:30,4,5,CIN 36,7,7,Matt Ammendola 54 yard field goal no good,,
2,11:25,1,10,CIN 44,7,7,Joe Mixon left end for 6 yards (tackle by Quincy Williams),,
2,10:44,2,4,CIN 50,7,7,"Joe Burrow sacked by Jabari Zuniga for -8 yards. Joe Burrow fumbles (forced by Jabari Zuniga), recovered by Riley Reiff at CIN-38 and returned for 12 yards (tackle by Jabari Zuniga)",,
2,9:48,3,16,CIN 38,7,7,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",,
2,9:39,3,21,CIN 33,7,7,Joe Burrow pass complete short left to Samaje Perine for 3 yards (tackle by Javelin Guidry),,
2,8:58,4,18,CIN 36,7,7,"Kevin Huber punts 45 yards, fair catch by Braxton Berrios at NYJ-19",,
2,8:50,1,10,NYJ 19,7,7,Mike White pass incomplete short left intended for Michael Carter,,
2,8:46,2,10,NYJ 19,7,7,Michael Carter right tackle for 1 yard (tackle by Sam Hubbard and Josh Tupou),,
2,8:03,3,9,NYJ 20,7,7,Mike White pass complete short left to Braxton Berrios for 5 yards (tackle by Mike Hilton),,
2,7:30,4,4,NYJ 25,7,7,"Thomas Morstead punts 45 yards, fair catch by Darius Phillips at CIN-30",,
2,7:23,1,10,CIN 30,7,7,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Brandin Echols),,
2,6:49,2,1,CIN 39,7,7,"Penalty on Folorunso Fatukasi: Defensive Offside, 5 yards (accepted) (no play)",,
2,6:34,1,10,CIN 44,7,7,Joe Mixon right guard for 8 yards (tackle by C.J. Mosley and Ashtyn Davis),,
2,5:55,2,2,NYJ 48,7,7,"Joe Burrow pass complete short left to Tyler Boyd for 16 yards (tackle by C.J. Mosley). Penalty on Shaq Lawson: Defensive Offside, 5 yards (declined)",,
2,5:35,1,10,NYJ 32,7,7,Joe Mixon left tackle for no gain (tackle by Sheldon Rankins and Jabari Zuniga),,
2,5:00,2,10,NYJ 32,7,7,Joe Burrow pass complete short middle to Joe Mixon for 4 yards (tackle by C.J. Mosley),,
2,4:18,3,6,NYJ 28,7,7,Joe Burrow pass complete deep right to Tee Higgins for 26 yards (tackle by Bryce Hall),,
2,3:34,1,2,NYJ 2,7,7,Joe Burrow pass incomplete short right intended for Tee Higgins,,
2,3:27,2,2,NYJ 2,13,7,"Joe Burrow pass complete short left to Ja'Marr Chase for 2 yards, touchdown",,
2,3:21,,,NYJ 15,14,7,Evan McPherson kicks extra point good,,
2,3:21,,,CIN 35,14,7,"Evan McPherson kicks off 65 yards, touchback.",,
2,3:21,1,10,NYJ 25,14,7,Mike White pass complete short left to Elijah Moore for 2 yards (tackle by Vonn Bell),,
2,3:00,2,8,NYJ 27,14,7,"Mike White pass complete short left to Jamison Crowder for 26 yards. Jamison Crowder fumbles (forced by Vonn Bell), recovered by Vonn Bell at CIN-47 (tackle by Vonn Bell)",,
2,2:40,1,10,CIN 47,14,7,Tyler Boyd pass complete short right to Joe Mixon for 46 yards (tackle by Marcus Maye),,
2,2:04,1,7,NYJ 7,14,7,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,,
2,2:00,2,7,NYJ 7,14,7,"Penalty on Quinnen Williams: Encroachment, 4 yards (accepted) (no play)",,
2,2:00,2,3,NYJ 3,14,7,Joe Burrow pass incomplete short right intended for Joe Mixon,,
2,1:57,3,3,NYJ 3,14,7,Joe Burrow pass incomplete short right intended for Tyler Boyd,,
2,1:54,4,3,NYJ 3,17,7,Evan McPherson 21 yard field goal good,,
2,1:51,,,CIN 35,17,7,"Evan McPherson kicks off 67 yards, returned by Braxton Berrios for 35 yards (tackle by Markus Bailey)",,
2,1:45,1,10,NYJ 33,17,7,Mike White pass complete short middle to Keelan Cole for 11 yards (tackle by Ricardo Allen),,
2,1:21,1,10,NYJ 44,17,7,Mike White pass complete short left to Michael Carter for 12 yards (tackle by Logan Wilson),,
2,1:15,1,10,CIN 44,17,7,Mike White pass complete short right to Ty Johnson for 15 yards (tackle by Mike Hilton),,
2,0:51,1,10,CIN 29,17,7,Ty Johnson left tackle for 8 yards (tackle by Larry Ogunjobi),,
2,0:34,2,2,CIN 21,17,7,Mike White pass complete short middle to Jamison Crowder for 9 yards (tackle by Vonn Bell),,
2,0:28,,,,,,Timeout #2 by New York Jets,,
2,0:28,1,10,CIN 12,17,7,"Mike White pass complete short left to Keelan Cole for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Mike White pass incomplete short left intended for Keelan Cole",,
2,0:24,2,10,CIN 12,17,7,Mike White pass complete short left to Michael Carter for 4 yards (tackle by Akeem Davis-Gaither),,
2,0:19,,,,,,Timeout #3 by New York Jets,,
2,0:19,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:19,3,6,CIN 8,17,13,"Mike White pass complete short left to Braxton Berrios for 8 yards, touchdown",,
2,0:15,,,CIN 15,17,14,Matt Ammendola kicks extra point good,,
2,0:15,,,NYJ 35,17,14,"Matt Ammendola kicks off 65 yards, touchback.",,
2,0:15,1,10,CIN 25,17,14,Joe Burrow kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,17,14,"Matt Ammendola kicks off 62 yards, returned by Brandon Wilson for 18 yards (tackle by Justin Hardee and Javelin Guidry)",,
3,14:55,1,10,CIN 21,17,14,"Penalty on Jackson Carman: False Start, 5 yards (accepted) (no play)",,
3,14:55,1,15,CIN 16,17,14,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by C.J. Mosley),,
3,14:21,2,6,CIN 25,17,14,Joe Burrow pass complete short right to Ja'Marr Chase for 21 yards (tackle by Bryce Hall),,
3,13:45,1,10,CIN 46,17,14,Joe Mixon right guard for -4 yards (tackle by Sheldon Rankins),,
3,13:09,2,14,CIN 42,17,14,Joe Burrow pass complete short right to Tee Higgins for 8 yards (tackle by Jarrad Davis),,
3,12:28,3,6,CIN 50,17,14,Joe Burrow pass incomplete deep left intended for Tee Higgins (defended by Brandin Echols),,
3,12:22,4,6,CIN 50,17,14,"Kevin Huber punts 38 yards, fair catch by Braxton Berrios at NYJ-12",,
3,12:16,1,10,NYJ 12,17,14,Michael Carter right guard for 4 yards (tackle by Germaine Pratt),,
3,11:37,2,6,NYJ 16,17,14,Mike White pass complete short left to Denzel Mims for 13 yards (tackle by Chidobe Awuzie),,
3,11:06,1,10,NYJ 29,17,14,Michael Carter right tackle for 4 yards (tackle by Eli Apple),,
3,10:24,2,6,NYJ 33,17,14,Mike White sacked by Larry Ogunjobi for -5 yards,,
3,9:42,3,11,NYJ 28,17,14,Mike White pass complete short left to Ty Johnson for 14 yards (tackle by Chidobe Awuzie),,
3,8:57,1,10,NYJ 42,17,14,Mike White pass complete short left to Elijah Moore for 15 yards (tackle by Jessie Bates),,
3,8:18,1,10,CIN 43,17,14,La'Mical Perine left tackle for 3 yards (tackle by B.J. Hill and Mike Hilton),,
3,7:36,2,7,CIN 40,17,14,"Mike White pass incomplete short right intended for Ty Johnson. Penalty on Cameron Sample: Roughing the Passer, 15 yards (accepted) (no play)",,
3,7:29,1,10,CIN 25,17,14,Michael Carter left guard for 2 yards (tackle by Vonn Bell and Larry Ogunjobi),,
3,6:48,2,8,CIN 23,17,14,Josh Johnson pass complete short left to Michael Carter for 9 yards (tackle by B.J. Hill),,
3,6:07,1,10,CIN 14,17,14,Josh Johnson pass incomplete short right intended for Ty Johnson,,
3,6:03,2,10,CIN 14,17,14,Josh Johnson pass complete short left to Jamison Crowder for 8 yards (tackle by Vonn Bell),,
3,5:29,3,2,CIN 6,17,14,Josh Johnson pass incomplete short right intended for Denzel Mims,,
3,5:20,4,2,CIN 6,17,17,Matt Ammendola 24 yard field goal good,,
3,5:17,,,NYJ 35,17,17,"Matt Ammendola kicks off 65 yards, touchback.",,
3,5:17,1,10,CIN 25,17,17,Joe Mixon left guard for 6 yards (tackle by Michael Carter),,
3,4:39,2,4,CIN 31,17,17,Joe Mixon left tackle for 7 yards (tackle by Marcus Maye and Bryce Hall),,
3,4:03,1,10,CIN 38,17,17,Joe Burrow pass complete deep left to Tee Higgins for 54 yards (tackle by Marcus Maye),,
3,3:19,1,8,NYJ 8,23,17,"Joe Burrow pass complete short left to Joe Mixon for 8 yards, touchdown",,
3,3:11,,,NYJ 15,24,17,Evan McPherson kicks extra point good,,
3,3:11,,,CIN 35,24,17,"Evan McPherson kicks off 65 yards, touchback.",,
3,3:11,1,10,NYJ 25,24,17,Michael Carter left guard for 5 yards (tackle by D.J. Reader),,
3,2:33,2,5,NYJ 30,24,17,Mike White pass complete short left to Michael Carter for 9 yards (tackle by Germaine Pratt and Vonn Bell),,
3,1:54,1,10,NYJ 39,24,17,Michael Carter right end for 5 yards (tackle by D.J. Reader and Sam Hubbard),,
3,1:23,2,5,NYJ 44,24,17,Mike White pass complete short left to Jeff Smith for 10 yards (tackle by Eli Apple),,
3,0:41,1,10,CIN 46,24,17,Mike White pass complete short middle to Elijah Moore for 24 yards (tackle by Jessie Bates and Germaine Pratt),,
Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 22,24,17,Michael Carter right tackle for 18 yards (tackle by Jessie Bates and Vonn Bell),,
4,14:24,1,4,CIN 4,24,17,Michael Carter left guard for 2 yards (tackle by Larry Ogunjobi),,
4,13:50,2,2,CIN 2,24,17,Michael Carter left guard for -1 yards (tackle by Sam Hubbard),,
4,13:14,3,3,CIN 3,24,17,Mike White sacked by Trey Hendrickson for -3 yards,,
4,12:31,4,6,CIN 6,24,20,Matt Ammendola 24 yard field goal good,,
4,12:28,,,NYJ 35,24,20,"Matt Ammendola kicks off 65 yards, touchback.",,
4,12:28,1,10,CIN 25,24,20,Joe Burrow pass incomplete short middle intended for Tyler Boyd (defended by Quinnen Williams),,
4,12:24,2,10,CIN 25,24,20,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Michael Carter),,
4,12:20,3,10,CIN 25,24,20,Joe Burrow pass complete short middle to C.J. Uzomah for 10 yards (tackle by C.J. Mosley and Javelin Guidry),,
4,11:43,1,10,CIN 35,24,20,Joe Burrow pass complete short middle to C.J. Uzomah for 11 yards (tackle by Marcus Maye),,
4,11:07,1,10,CIN 46,24,20,Joe Mixon up the middle for 4 yards (tackle by C.J. Mosley),,
4,10:32,2,6,CIN 50,24,20,Ja'Marr Chase right end for 9 yards (tackle by Bryce Hall and Jabari Zuniga),,
4,9:50,1,10,NYJ 41,24,20,Joe Burrow pass incomplete deep right intended for Tyler Boyd (defended by Quincy Williams),,
4,9:42,2,10,NYJ 41,24,20,Joe Burrow pass complete short left to C.J. Uzomah for 6 yards (tackle by Ashtyn Davis),,
4,9:02,3,4,NYJ 35,24,20,Joe Burrow pass complete short middle to Tyler Boyd for 21 yards (tackle by Ashtyn Davis),,
4,8:18,1,10,NYJ 14,24,20,Joe Mixon right tackle for 4 yards (tackle by Sheldon Rankins and Michael Carter),,
4,7:42,2,6,NYJ 10,24,20,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Bryce Hall),,
4,7:36,3,6,NYJ 10,30,20,"Joe Burrow pass complete short right to Tyler Boyd for 10 yards, touchdown",,
4,7:29,,,NYJ 15,31,20,Evan McPherson kicks extra point good,,
4,7:29,,,CIN 35,31,20,"Evan McPherson kicks off 64 yards, returned by Braxton Berrios for 24 yards (tackle by Brandon Wilson)",,
4,7:24,1,10,NYJ 25,31,20,Mike White pass complete short right to Elijah Moore for 14 yards (tackle by Logan Wilson),,
4,6:53,1,10,NYJ 39,31,20,Mike White pass incomplete short right intended for Michael Carter (defended by Sam Hubbard),,
4,6:47,2,10,NYJ 39,31,20,Mike White pass complete short right to Michael Carter for 23 yards (tackle by Logan Wilson),,
4,6:10,1,10,CIN 38,31,20,"Mike White pass incomplete deep middle intended for Elijah Moore. Penalty on Connor McGovern: Offensive Holding, 10 yards (accepted) (no play)",,
4,6:03,1,20,CIN 48,31,20,Mike White pass complete short right to Jamison Crowder for 12 yards (tackle by Akeem Davis-Gaither and Eli Apple),,
4,5:40,2,8,CIN 36,31,20,Mike White pass complete short left to Keelan Cole for 6 yards (tackle by Chidobe Awuzie),,
4,5:18,3,2,CIN 30,31,20,Mike White pass complete short middle to Keelan Cole for 8 yards (tackle by Logan Wilson),,
4,4:50,1,10,CIN 22,31,20,Mike White pass complete short left to Ty Johnson for 8 yards (tackle by Chidobe Awuzie),,
4,4:43,2,2,CIN 14,31,20,"Penalty on Alijah Vera-Tucker: False Start, 5 yards (accepted) (no play)",,
4,4:43,2,7,CIN 19,31,26,"Mike White pass complete short left to Ty Johnson for 17 yards (tackle by Akeem Davis-Gaither) NYJ challenged the runner was in bounds ruling, and the original play was overturned. Mike White pass complete short left to Ty Johnson for 19 yards, touchdown",,
4,4:36,,,CIN 2,31,26,Two Point Attempt: Mike White pass incomplete intended for intended for Keelan Cole,,
4,4:36,,,NYJ 35,31,26,"Matt Ammendola kicks off 65 yards, touchback.",,
4,4:36,1,10,CIN 25,31,26,Joe Burrow pass short left intended for Ja'Marr Chase is intercepted by Shaq Lawson at CIN-15 and returned for 1 yard (tackle by Joe Burrow),,
4,4:32,1,10,CIN 14,31,26,Michael Carter right guard for 1 yard (tackle by Trey Hendrickson and Larry Ogunjobi),,
4,3:50,2,9,CIN 13,31,32,"Mike White pass complete short middle to Tyler Kroft for 13 yards, touchdown",,
4,3:45,,,CIN 2,31,34,Two Point Attempt: Jamison Crowder pass complete to to Mike White for no gain,,
4,3:45,,,NYJ 35,31,34,"Matt Ammendola kicks off 65 yards, touchback.",,
4,3:45,1,10,CIN 25,31,34,Joe Mixon right tackle for 5 yards (tackle by Quinnen Williams),,
4,3:18,2,5,CIN 30,31,34,Joe Burrow pass complete deep left to Tyler Boyd for 19 yards,,
4,3:10,1,10,CIN 49,31,34,Joe Mixon left tackle for -1 yards (tackle by Marcus Maye),,
4,2:30,2,11,CIN 48,31,34,Joe Burrow pass incomplete short right,,
4,2:24,3,11,CIN 48,31,34,"Joe Burrow sacked by Sheldon Rankins for -8 yards. Penalty on Trey Hill: Illegal Use of Hands / Offense, 5 yards (declined)",,
4,2:19,4,19,CIN 40,31,34,"Kevin Huber punts 55 yards, returned by Braxton Berrios for 16 yards (tackle by Brandon Wilson and Joe Bachie)",,
4,2:09,1,10,NYJ 21,31,34,Elijah Moore left end for 4 yards (tackle by Chidobe Awuzie),,
4,2:04,,,,,,Timeout #1 by New York Jets,,
4,2:04,2,6,NYJ 25,31,34,Mike White pass incomplete short right intended for Michael Carter,,
4,2:00,3,6,NYJ 25,31,34,"Penalty on Chuma Edoga: False Start, 5 yards (accepted) (no play)",,
4,2:00,3,11,NYJ 20,31,34,"Mike White pass complete to Ty Johnson for no gain (tackle by Mike Hilton). Penalty on Mike Hilton: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",,
4,1:53,1,10,NYJ 35,31,34,Ty Johnson right guard for 2 yards (tackle by D.J. Reader and Jessie Bates),,
4,1:49,,,,,,Timeout #1 by Cincinnati Bengals,,
4,1:49,2,8,NYJ 37,31,34,Michael Carter left tackle for 7 yards (tackle by Jessie Bates),,
4,1:40,,,,,,Timeout #2 by Cincinnati Bengals,,
4,1:40,3,1,NYJ 44,31,34,Mike White up the middle for 1 yard (tackle by Trey Hendrickson),,
4,1:32,,,,,,Timeout #3 by Cincinnati Bengals,,
4,1:32,1,10,NYJ 45,31,34,Mike White kneels for -1 yards,,
4,0:56,2,11,NYJ 44,31,34,Mike White kneels for -1 yards,,
4,0:19,3,12,NYJ 43,31,34,Mike White kneels for -2 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
