Quarter,Time,Down,ToGo,Location,WAS,MIN,Detail,EPB,EPA
1,8:25,2,11,WAS 47,0,0,Kirk Cousins pass complete short middle to Dalvin Cook for 4 yards (tackle by Jonathan Bostic),1.840,1.680
1,7:48,3,7,WAS 43,0,0,Kirk Cousins pass complete short right to Kyle Rudolph for 6 yards (tackle by Quinton Dunbar),1.680,0.790
1,7:15,4,1,WAS 37,0,0,Dalvin Cook up the middle for 2 yards (tackle by Cole Holcomb),0.790,3.250
1,6:31,1,10,WAS 35,0,0,Kirk Cousins pass incomplete short right,3.250,2.700
1,6:24,2,10,WAS 35,0,0,Alexander Mattison left tackle for 2 yards (tackle by Landon Collins) Penalty on MIN: Illegal Shift (Declined),2.700,2.280
1,6:04,3,8,WAS 33,0,0,Kirk Cousins pass complete short right to Laquon Treadwell for 1 yard (tackle by Fabian Moreau),2.280,1.240
1,5:25,4,7,WAS 32,0,3,Dan Bailey 50 yard field goal good,1.240,3.000
1,5:20,,,MIN 35,0,3,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,5:20,1,10,WAS 25,0,3,Adrian Peterson up the middle for 4 yards (tackle by Anthony Barr),0.610,0.600
1,4:39,2,6,WAS 29,0,3,Case Keenum pass complete short left to Terry McLaurin for 17 yards (tackle by Xavier Rhodes),0.600,1.990
1,4:05,1,10,WAS 46,0,3,Adrian Peterson up the middle for 3 yards (tackle by Danielle Hunter),1.990,1.860
1,3:19,2,7,WAS 49,0,3,Case Keenum pass complete short left to Jeremy Sprinkle for 6 yards (tackle by Everson Griffen),1.860,1.950
1,2:32,3,1,MIN 45,0,3,Case Keenum pass complete short left to Terry McLaurin for 6 yards (tackle by Xavier Rhodes),1.950,2.980
1,1:54,1,10,MIN 39,0,3,Adrian Peterson up the middle for 4 yards (tackle by Danielle Hunter),2.980,2.980
1,1:14,2,6,MIN 35,0,3,Case Keenum pass complete short right to Paul Richardson for 8 yards (tackle by Eric Kendricks),2.980,3.780
1,0:50,1,10,MIN 27,0,3,Case Keenum pass complete short right to Paul Richardson for 8 yards (tackle by Trae Waynes),3.780,4.350
1,0:09,2,2,MIN 19,0,3,Wendell Smallwood right end for -2 yards (tackle by Danielle Hunter),4.350,3.340
Quarter,Time,Down,ToGo,Location,WAS,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,MIN 21,0,3,"Case Keenum pass incomplete deep left intended for Terry McLaurin. Penalty on Xavier Rhodes: Defensive Pass Interference, 19 yards (no play)",3.340,6.740
2,14:55,1,2,MIN 2,0,3,Case Keenum pass incomplete short middle intended for Terry McLaurin (defended by Mike Hughes),6.740,5.720
2,14:52,2,2,MIN 2,0,3,Adrian Peterson right guard for -1 yards (tackle by Anthony Barr and Linval Joseph),5.720,4.720
2,14:08,3,3,MIN 3,0,3,Case Keenum pass incomplete short middle intended for Trey Quinn. Penalty on Brandon Scherff: Offensive Holding (Declined),4.720,3.040
2,14:03,4,3,MIN 3,3,3,Dustin Hopkins 21 yard field goal good,3.040,3.000
2,14:00,,,WAS 35,3,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,14:00,1,10,MIN 25,3,3,Dalvin Cook left end for 5 yards (tackle by Montez Sweat),0.610,0.740
2,13:21,2,5,MIN 30,3,3,Dalvin Cook left tackle for 5 yards (tackle by Ryan Kerrigan),0.740,1.270
2,12:48,1,10,MIN 35,3,3,"Dalvin Cook left tackle for 6 yards (tackle by Tim Settle). Penalty on Brian O'Neill: Offensive Holding, 10 yards (no play)",1.270,0.610
2,12:21,1,20,MIN 25,3,3,Kirk Cousins pass complete short middle to Dalvin Cook for 18 yards (tackle by Montez Sweat and Quinton Dunbar),0.610,1.800
2,11:41,2,2,MIN 43,3,3,Kirk Cousins pass complete short right to Stefon Diggs for 34 yards (tackle by Fabian Moreau),1.800,4.040
2,10:59,1,10,WAS 23,3,3,Alexander Mattison left tackle for 9 yards (tackle by Landon Collins and Cole Holcomb),4.040,4.950
2,10:13,2,1,WAS 14,3,3,Dalvin Cook left tackle for 4 yards (tackle by Da'Ron Payne),4.950,4.910
2,9:31,1,10,WAS 10,3,3,Kirk Cousins sacked by Matthew Ioannidis for -4 yards,4.910,3.580
2,8:52,2,14,WAS 14,3,3,Dalvin Cook right tackle for 11 yards (tackle by Jonathan Bostic and Landon Collins),3.580,4.720
2,8:11,3,3,WAS 3,3,3,Kirk Cousins sacked by Jonathan Allen for -8 yards,4.720,2.700
2,7:29,4,11,WAS 11,3,6,Dan Bailey 29 yard field goal good,2.700,3.000
2,7:26,,,MIN 35,3,6,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,7:26,1,10,WAS 25,3,6,Adrian Peterson right guard for no gain (tackle by Stephen Weatherly),0.610,0.060
2,6:56,2,10,WAS 25,3,6,Case Keenum pass complete short left to Terry McLaurin for 11 yards (tackle by Xavier Rhodes),0.060,1.330
2,6:10,1,10,WAS 36,3,6,Case Keenum pass incomplete deep right intended for Paul Richardson (defended by Trae Waynes),1.330,0.790
2,6:04,2,10,WAS 36,3,6,Case Keenum pass complete short left to Kelvin Harmon for 12 yards (tackle by Harrison Smith),0.790,2.130
2,5:35,1,10,WAS 48,3,6,Case Keenum pass complete short middle to Trey Quinn for 15 yards (tackle by Mackensie Alexander),2.130,3.120
2,4:54,1,10,MIN 37,3,6,Adrian Peterson right end for 14 yards (tackle by Harrison Smith),3.120,4.040
2,4:14,1,10,MIN 23,3,6,Case Keenum pass complete short right to Hale Hentges for 13 yards (tackle by Ben Gedeon and Anthony Harris),4.040,4.910
2,3:27,1,10,MIN 10,3,6,Case Keenum pass complete short right to Terry McLaurin for 5 yards (tackle by Mike Hughes),4.910,5.150
2,2:53,2,5,MIN 5,3,6,"Case Keenum sacked by Linval Joseph for -7 yards. Case Keenum fumbles (forced by Linval Joseph), recovered by Ereck Flowers at MIN-12 (tackle by Shamar Stephen)",5.150,3.100
2,2:05,3,12,MIN 12,3,6,Case Keenum pass incomplete short left intended for Wendell Smallwood (defended by Eric Kendricks),3.100,2.630
2,2:00,4,12,MIN 12,6,6,Dustin Hopkins 30 yard field goal good,2.630,3.000
2,1:57,,,WAS 35,6,6,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,1:57,1,10,MIN 25,6,6,Kirk Cousins pass complete short middle to Dalvin Cook for 5 yards (tackle by Jonathan Bostic),0.610,0.740
2,1:45,,,,,,Timeout #1 by Washington Redskins,,
2,1:45,2,5,MIN 30,6,6,Kirk Cousins pass complete short right to Dalvin Cook for 15 yards (tackle by Troy Apke),0.740,1.930
2,1:23,1,10,MIN 45,6,6,Kirk Cousins pass complete short left to Olabisi Johnson for 16 yards (tackle by Jonathan Bostic),1.930,2.980
2,1:02,1,10,WAS 39,6,6,Kirk Cousins pass complete short left to Dalvin Cook for 31 yards (tackle by Josh Norman),2.980,5.370
2,0:49,1,8,WAS 8,6,6,Alexander Mattison up the middle for 1 yard (tackle by Tim Settle),5.370,4.760
2,0:15,2,7,WAS 7,6,6,Alexander Mattison left tackle for 3 yards (tackle by Matthew Ioannidis and Cole Holcomb),4.760,4.490
2,0:11,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:11,,,,,,Timeout #2 by Washington Redskins,,
2,0:11,3,4,WAS 4,6,12,"Dalvin Cook up the middle for 4 yards, touchdown",4.490,7.000
2,0:07,,,WAS 15,6,13,Dan Bailey kicks extra point good,0.000,0.000
2,0:07,,,MIN 35,6,13,"Dan Bailey kicks off 66 yards, returned by Steven Sims for 31 yards (tackle by Ameer Abdullah)",0.000,1.270
Quarter,Time,Down,ToGo,Location,WAS,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,6,13,"Dan Bailey kicks off 67 yards, returned by Steven Sims for 23 yards (tackle by C.J. Ham)",0.000,0.340
3,14:54,1,10,WAS 21,6,13,Adrian Peterson up the middle for 1 yard (tackle by Trae Waynes and Everson Griffen),0.340,-0.070
3,14:14,2,9,WAS 22,6,13,Dwayne Haskins pass complete short left to Jeremy Sprinkle for 6 yards (tackle by Everson Griffen),-0.070,0.040
3,13:40,3,3,WAS 28,6,13,Dwayne Haskins pass incomplete short left intended for Trey Quinn (defended by Mackensie Alexander),0.040,-1.500
3,13:36,4,3,WAS 28,6,13,Tress Way punts 63 yards downed by Jimmy Moreland,-1.500,0.380
3,13:23,1,10,MIN 9,6,13,Kirk Cousins sacked by Jonathan Bostic for no gain,-0.380,-0.780
3,12:40,2,10,MIN 9,6,13,Dalvin Cook right tackle for 1 yard (tackle by Matthew Ioannidis),-0.780,-1.300
3,12:00,3,9,MIN 10,6,13,"Kirk Cousins pass complete deep right to Stefon Diggs for 39 yards (tackle by Josh Norman and Jeremy Reaves). Penalty on Jeremy Reaves: Unnecessary Roughness, 15 yards",-1.300,3.180
3,11:39,1,10,WAS 36,6,13,Dalvin Cook right tackle for 3 yards (tackle by Jonathan Bostic and Da'Ron Payne),3.180,3.040
3,11:03,2,7,WAS 33,6,13,Kirk Cousins pass incomplete short left intended for Dalvin Cook,3.040,2.350
3,10:57,3,7,WAS 33,6,13,"Kirk Cousins pass complete short right to Stefon Diggs for 22 yards (tackle by Troy Apke). Penalty on Matthew Ioannidis: Roughing the Passer, 6 yards",2.350,6.060
3,10:27,1,5,WAS 5,6,13,"Dalvin Cook left tackle for -2 yards (tackle by Jonathan Bostic). Penalty on Laquon Treadwell: Offensive Holding, 10 yards (no play)",6.060,4.370
3,10:00,1,15,WAS 15,6,13,Dalvin Cook left end for 2 yards (tackle by Fabian Moreau),4.370,3.720
3,9:29,2,13,WAS 13,6,13,Kirk Cousins pass complete short right to Kyle Rudolph for 4 yards (tackle by Montez Sweat),3.720,3.360
3,8:45,3,9,WAS 9,6,13,Kirk Cousins pass incomplete short right. Penalty on Pat Elflein: Offensive Holding (Declined),3.360,2.830
3,8:37,4,9,WAS 9,6,16,Dan Bailey 27 yard field goal good,2.830,3.000
3,8:33,,,MIN 35,6,16,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,8:33,1,10,WAS 25,6,16,Dwayne Haskins pass complete short middle to Adrian Peterson for 21 yards (tackle by Anthony Harris and Eric Kendricks),0.610,1.990
3,7:55,1,10,WAS 46,6,16,Adrian Peterson right guard for 29 yards (tackle by Harrison Smith),1.990,3.910
3,7:18,1,10,MIN 25,6,16,Adrian Peterson up the middle for 4 yards (tackle by Eric Kendricks),3.910,3.900
3,6:38,2,6,MIN 21,6,16,Dwayne Haskins sacked by and Everson Griffen for -10 yards,3.900,1.880
3,5:56,,,,,,Timeout #1 by Washington Redskins,,
3,5:56,3,16,MIN 31,6,16,Dwayne Haskins pass complete short right to Adrian Peterson for 6 yards (tackle by Ifeadi Odenigbo),1.880,1.800
3,5:15,4,10,MIN 25,9,16,Dustin Hopkins 43 yard field goal good,1.800,3.000
3,5:11,,,WAS 35,9,16,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,5:11,1,10,MIN 25,9,16,"Alexander Mattison left tackle for 2 yards (tackle by Fabian Moreau). Penalty on Pat Elflein: Offensive Holding, 10 yards",0.610,-0.150
3,4:47,1,18,MIN 17,9,16,Alexander Mattison right tackle for 2 yards (tackle by Shaun Dion Hamilton),-0.150,-0.810
3,4:09,2,16,MIN 19,9,16,Kirk Cousins pass complete short middle to Alexander Mattison for 4 yards (tackle by Jonathan Allen),-0.810,-0.890
3,3:29,3,12,MIN 23,9,16,Kirk Cousins pass complete short middle to Olabisi Johnson for 11 yards (tackle by Jonathan Bostic),-0.890,-1.110
3,2:48,4,1,MIN 34,9,16,Kirk Cousins up the middle for no gain (tackle by Landon Collins and Da'Ron Payne),-1.110,-3.310
3,2:41,1,10,MIN 34,9,16,Adrian Peterson up the middle for 4 yards (tackle by Eric Kendricks and Stephen Weatherly),3.310,3.310
3,2:05,2,6,MIN 30,9,16,Dwayne Haskins pass deep middle intended for Terry McLaurin is intercepted by Anthony Harris at MIN-14 and returned for 5 yards,3.310,-0.150
3,1:59,1,10,MIN 19,9,16,Dalvin Cook left end for 10 yards (tackle by Shaun Dion Hamilton),0.150,0.870
3,1:30,1,10,MIN 29,9,16,Kirk Cousins pass complete short right to Irv Smith Jr. for 11 yards (tackle by Landon Collins),0.870,1.600
3,1:03,1,10,MIN 40,9,16,Dalvin Cook left tackle for 2 yards (tackle by Shaun Dion Hamilton and Jonathan Allen),1.600,1.320
3,0:23,2,8,MIN 42,9,16,Dalvin Cook right end for 4 yards (tackle by Josh Norman),1.320,1.160
Quarter,Time,Down,ToGo,Location,WAS,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,MIN 46,9,16,Kirk Cousins pass complete short right to Stefon Diggs for 6 yards,1.160,2.390
4,14:26,1,10,WAS 48,9,16,Kirk Cousins pass complete short left to Irv Smith Jr. for 3 yards (tackle by Landon Collins),2.390,2.250
4,13:47,2,7,WAS 45,9,16,Dalvin Cook right tackle for 3 yards (tackle by Cole Holcomb and Landon Collins),2.250,1.950
4,13:10,3,4,WAS 42,9,16,"Kirk Cousins pass complete short middle to Irv Smith Jr. for 7 yards (tackle by Jimmy Moreland and Ryan Anderson). Penalty on Jimmy Moreland: Lowering the Head to Initiate Contact, 15 yards",1.950,4.240
4,12:43,1,10,WAS 20,9,16,"Dalvin Cook left end for 3 yards (tackle by Jonathan Bostic). Penalty on Pat Elflein: Offensive Holding, 10 yards (no play)",4.240,3.580
4,12:15,1,20,WAS 30,9,16,Kirk Cousins pass complete short left to Alexander Mattison for -1 yards (tackle by Troy Apke),3.580,2.210
4,11:50,2,21,WAS 31,9,16,Kirk Cousins pass complete short left to Stefon Diggs for 6 yards (tackle by Fabian Moreau),2.210,2.340
4,11:21,3,15,WAS 25,9,16,Dalvin Cook left guard for 3 yards (tackle by Jonathan Allen),2.340,1.990
4,10:40,4,12,WAS 22,9,19,Dan Bailey 40 yard field goal good,1.990,3.000
4,10:36,,,MIN 35,9,19,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
4,10:36,1,10,WAS 25,9,19,Adrian Peterson right guard for 5 yards (tackle by Ben Gedeon),0.610,0.740
4,9:57,2,5,WAS 30,9,19,Adrian Peterson left guard for no gain (tackle by Shamar Stephen and Eric Kendricks),0.740,0.040
4,9:10,3,5,WAS 30,9,19,Dwayne Haskins sacked by Ifeadi Odenigbo for -8 yards Penalty on WAS: Illegal Shift (Declined),0.040,-1.900
4,8:50,4,13,WAS 22,9,19,"Tress Way punts 44 yards, fair catch by Mike Hughes at MIN-34",-1.900,-1.200
4,8:42,1,10,MIN 34,9,19,Dalvin Cook up the middle for 6 yards (tackle by Jonathan Bostic),1.200,1.470
4,8:04,2,4,MIN 40,9,19,Dalvin Cook left tackle for 2 yards (tackle by Da'Ron Payne),1.470,1.030
4,7:18,3,2,MIN 42,9,19,Dalvin Cook right end for 5 yards (tackle by Josh Norman),1.030,2.060
4,6:33,1,10,MIN 47,9,19,Dalvin Cook right tackle for 9 yards (tackle by Shaun Dion Hamilton and Jonathan Allen),2.060,2.730
4,5:50,2,1,WAS 44,9,19,Alexander Mattison left guard for 2 yards (tackle by Jonathan Bostic and Matthew Ioannidis),2.730,2.790
4,5:07,1,10,WAS 42,9,19,Dalvin Cook left guard for 6 yards (tackle by Landon Collins),2.790,3.050
4,4:25,2,4,WAS 36,9,19,Dalvin Cook left guard for 4 yards (tackle by Da'Ron Payne),3.050,3.450
4,3:41,1,10,WAS 32,9,19,"Alexander Mattison right guard for 19 yards (tackle by Cole Holcomb). Penalty on Brian O'Neill: Offensive Holding, 10 yards (no play)",3.450,2.790
4,3:31,1,20,WAS 42,9,19,"Alexander Mattison left tackle for 11 yards (tackle by Fabian Moreau) Penalty on MIN: Illegal Formation, 5 yards (no play)",2.790,2.460
4,3:27,1,25,WAS 47,9,19,Alexander Mattison left guard for 3 yards (tackle by Matthew Ioannidis and Jonathan Allen),2.460,1.280
4,3:22,,,,,,Timeout #2 by Washington Redskins,,
4,3:22,2,22,WAS 44,9,19,Dalvin Cook right guard for 3 yards (tackle by Jonathan Bostic and Da'Ron Payne),1.280,1.030
4,3:17,,,,,,Timeout #3 by Washington Redskins,,
4,3:17,3,19,WAS 41,9,19,Alexander Mattison up the middle for 28 yards (tackle by Landon Collins),1.030,4.710
4,2:30,1,10,WAS 13,9,19,Alexander Mattison left guard for 3 yards (tackle by Matthew Ioannidis),4.710,4.580
4,2:00,2,7,WAS 10,9,19,Alexander Mattison up the middle for 2 yards (tackle by Landon Collins and Jonathan Allen),4.580,4.100
4,1:19,3,5,WAS 8,9,19,Alexander Mattison right tackle for 1 yard (tackle by Da'Ron Payne and Ryan Anderson),4.100,2.990
4,0:32,,,,,,Timeout #1 by Minnesota Vikings,,
4,0:32,4,4,WAS 7,9,19,Alexander Mattison left tackle for 3 yards (tackle by Cole Holcomb),2.990,0.380
4,0:26,1,10,WAS 5,9,19,Wendell Smallwood right guard for 11 yards (tackle by Anthony Barr and Eric Kendricks),-0.380,-0.140
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
