Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
2,2:42,1,10,NWE 42,7,10,Patrick Mahomes pass incomplete short left,2.790,2.240
2,2:38,2,10,NWE 42,7,10,Jerick McKinnon left guard for 1 yard (tackle by Josh Uche and Jeremiah Pharms),2.240,1.680
2,2:09,3,9,NWE 41,7,10,Patrick Mahomes pass complete short middle to Rashee Rice for 20 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),1.680,4.170
2,2:00,1,10,NWE 21,7,10,Jerick McKinnon right tackle for 2 yards (tackle by Anfernee Jennings),4.170,3.900
2,1:24,2,8,NWE 19,7,10,Patrick Mahomes pass complete short right to Rashee Rice for 7 yards (tackle by Kyle Dugger),3.900,4.490
2,0:50,,,,,,Timeout #1 by New England Patriots,,
2,0:50,3,1,NWE 12,7,10,Clyde Edwards-Helaire left guard for 2 yards (tackle by Davon Godchaux and Jabrill Peppers),4.490,4.910
2,0:45,,,,,,Timeout #1 by Kansas City Chiefs,,
2,0:45,1,10,NWE 10,7,10,Patrick Mahomes pass complete short left to Kadarius Toney for 2 yards (tackle by Jalen Mills),4.910,4.570
2,0:40,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:40,2,8,NWE 8,13,10,"Patrick Mahomes pass complete short right to Jerick McKinnon for 8 yards, touchdown",4.570,7.000
2,0:35,,,NWE 15,14,10,Harrison Butker kicks extra point good,0.000,0.000
2,0:35,,,KAN 35,14,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:35,1,10,NWE 25,14,10,Ezekiel Elliott left tackle for 3 yards (tackle by Nick Bolton and Michael Danna),0.610,0.470
Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,14,10,"Chad Ryland kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,14,10,"Patrick Mahomes pass complete short left to Rashee Rice for 24 yards. Rashee Rice fumbles (forced by Jalen Mills), recovered by Rashee Rice at KC-49 (tackle by Jalen Mills)",0.610,2.190
3,14:32,1,10,KAN 49,14,10,Clyde Edwards-Helaire left guard for 3 yards (tackle by Lawrence Guy and Deatrich Wise),2.190,2.050
3,13:40,2,7,NWE 48,14,10,"Patrick Mahomes pass complete short middle to Skyy Moore for no gain. Skyy Moore fumbles (forced by Jonathan Jones), recovered by Jabrill Peppers at NE-41 (tackle by Jonathan Jones). Penalty on Alex Austin: Defensive Holding, 5 yards (accepted) (no play)",2.050,2.720
3,13:25,1,10,NWE 43,14,10,Patrick Mahomes pass incomplete deep left intended for Justin Watson,2.720,2.180
3,13:20,2,10,NWE 43,14,10,Patrick Mahomes pass incomplete short right,2.180,1.490
3,13:12,3,10,NWE 43,14,10,Patrick Mahomes pass complete short right to Rashee Rice for 11 yards (tackle by Myles Bryant),1.490,3.450
3,12:32,1,10,NWE 32,14,10,Clyde Edwards-Helaire up the middle for 1 yard (tackle by Lawrence Guy),3.450,3.040
3,12:02,2,9,NWE 31,14,10,Patrick Mahomes pass complete short left to Richie James for 17 yards (tackle by Kyle Dugger),3.040,4.650
3,11:21,1,10,NWE 14,14,10,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,4.650,4.000
3,11:14,2,10,NWE 14,14,10,Patrick Mahomes pass complete short middle to Travis Kelce for 3 yards (tackle by Ja'Whaun Bentley and Mack Wilson),4.000,3.620
3,10:39,3,7,NWE 11,14,10,Patrick Mahomes pass incomplete short right intended for Travis Kelce,3.620,2.700
3,10:32,4,7,NWE 11,17,10,Harrison Butker 29 yard field goal good,2.700,3.000
3,10:29,,,KAN 35,17,10,"Harrison Butker kicks off 68 yards, returned by Jalen Reagor for 24 yards (tackle by Chamarri Conner and Leo Chenal)",0.000,0.340
3,10:22,1,10,NWE 21,17,10,Bailey Zappe pass short right intended for Hunter Henry is intercepted by Willie Gay at NE-31 and returned for 24 yards (tackle by David Andrews),0.340,-5.600
3,10:11,1,7,NWE 7,17,10,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 1 yard (tackle by Jabrill Peppers),5.600,4.950
3,9:29,2,6,NWE 6,23,10,"Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 6 yards, touchdown",4.950,7.000
3,9:22,,,NWE 15,24,10,Harrison Butker kicks extra point good,0.000,0.000
3,9:22,,,KAN 35,24,10,"Harrison Butker kicks off 70 yards, returned by Jalen Reagor for 40 yards (tackle by Jaylen Watson)",0.000,1.270
3,9:14,1,10,NWE 35,24,10,Kevin Harris right guard for 5 yards (tackle by L'Jarius Sneed),1.270,1.400
3,8:37,2,5,NWE 40,24,10,Bailey Zappe pass complete short right to Hunter Henry for 9 yards (tackle by Justin Reid),1.400,2.190
3,8:03,1,10,NWE 49,24,10,Kevin Harris left tackle for -2 yards (tackle by Chris Jones),2.190,1.380
3,7:29,2,12,NWE 47,24,10,Bailey Zappe pass incomplete short left intended for Jalen Reagor (defended by Chris Jones),1.380,0.700
3,7:19,3,12,NWE 47,24,10,Bailey Zappe sacked by Jaylen Watson for -10 yards,0.700,-0.910
3,6:45,4,22,NWE 37,24,10,Bryce Baringer punts 37 yards downed by Ja'Whaun Bentley,-0.910,-0.670
3,6:33,1,10,KAN 26,24,10,Patrick Mahomes pass complete short middle to Marquez Valdes-Scantling for 17 yards (tackle by Jabrill Peppers),0.670,1.800
3,5:57,1,10,KAN 43,24,10,Clyde Edwards-Helaire up the middle for 20 yards (tackle by Alex Austin),1.800,3.120
3,5:24,1,10,NWE 37,24,10,Clyde Edwards-Helaire right tackle for -3 yards (tackle by Anfernee Jennings),3.120,2.170
3,4:35,2,13,NWE 40,24,10,Patrick Mahomes pass incomplete short left,2.170,1.490
3,4:28,,,,,,Timeout #1 by Kansas City Chiefs,,
3,4:28,3,13,NWE 40,24,10,Patrick Mahomes pass complete short left to Noah Gray for 5 yards (tackle by Kyle Dugger),1.490,0.970
3,3:45,4,8,NWE 35,27,10,Harrison Butker 54 yard field goal good,0.970,3.000
3,3:40,,,KAN 35,27,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,3:40,1,10,NWE 25,27,10,Ezekiel Elliott right tackle for 4 yards (tackle by L'Jarius Sneed),0.610,0.600
3,3:03,2,6,NWE 29,27,10,"Bailey Zappe sacked by Charles Omenihu for -7 yards. Bailey Zappe fumbles (forced by Charles Omenihu), recovered by Conor McDermott at NE-22 and returned for 7 yards",0.600,-1.020
3,2:08,3,13,NWE 22,27,10,Bailey Zappe pass complete short middle to Demario Douglas for 6 yards (tackle by Nick Bolton),-1.020,-1.500
3,1:46,4,7,NWE 28,27,10,"Bryce Baringer punts 64 yards, returned by Richie James for 18 yards (tackle by Christian Elliss)",-1.500,-0.670
3,1:34,1,10,KAN 26,27,10,Patrick Mahomes pass incomplete deep left intended for Justin Watson,0.670,0.130
3,1:30,2,10,KAN 26,27,10,Patrick Mahomes pass complete short left to Rashee Rice for 1 yard (tackle by Alex Austin),0.130,-0.430
3,0:53,3,9,KAN 27,27,10,Patrick Mahomes pass incomplete short middle intended for Kadarius Toney (defended by Jonathan Jones),-0.430,-1.570
3,0:47,4,9,KAN 27,27,10,"Tommy Townsend punts 44 yards, returned by Myles Bryant for 6 yards (tackle by Cam Jones)",-1.570,-1.270
3,0:36,1,10,NWE 35,27,10,Bailey Zappe pass complete short left to Ezekiel Elliott for 7 yards (tackle by Mike Pennel),1.270,1.670
Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,NWE 42,27,10,Bailey Zappe pass incomplete deep right intended for Demario Douglas,1.670,0.960
4,14:54,3,3,NWE 42,27,10,"Bailey Zappe pass complete short right to Hunter Henry for 3 yards (tackle by L'Jarius Sneed) KAN challenged the pass completion ruling, and the original play was overturned. Bailey Zappe pass incomplete short right intended for Hunter Henry (defended by L'Jarius Sneed)",0.960,-0.590
4,14:50,4,3,NWE 42,27,10,"Bryce Baringer punts 43 yards, fair catch by Richie James at KC-15",-0.590,0.220
4,14:43,1,10,KAN 15,27,10,Clyde Edwards-Helaire right guard for 3 yards (tackle by Anfernee Jennings and Jeremiah Pharms),-0.220,-0.280
4,14:11,2,7,KAN 18,27,10,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 9 yards (tackle by Myles Bryant and Jalen Mills),-0.280,0.740
4,13:32,1,10,KAN 27,27,10,Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards (tackle by Jabrill Peppers),0.740,0.740
4,12:51,2,6,KAN 31,27,10,Jerick McKinnon left tackle for 4 yards (tackle by Jeremiah Pharms),0.740,0.560
4,12:11,3,2,KAN 35,27,10,Patrick Mahomes sacked by Deatrich Wise for -10 yards,0.560,-1.700
4,11:32,4,12,KAN 25,27,10,"Tommy Townsend punts 61 yards, returned by Myles Bryant for 13 yards (tackle by Nic Jones)",-1.700,-0.740
4,11:22,1,10,NWE 27,27,10,Bailey Zappe pass complete short right to Ezekiel Elliott for -1 yards (tackle by L'Jarius Sneed),0.740,0.060
4,10:47,2,11,NWE 26,27,10,Ezekiel Elliott left guard for no gain (tackle by Chamarri Conner and Charles Omenihu),0.060,-0.620
4,10:06,3,11,NWE 26,27,10,Bailey Zappe pass complete short left to Mike Gesicki for 7 yards (tackle by George Karlaftis),-0.620,-1.180
4,9:28,4,4,NWE 33,27,10,"Bryce Baringer punts 43 yards, fair catch by Richie James at KC-24",-1.180,-0.540
4,9:20,1,10,KAN 24,27,10,Patrick Mahomes pass short middle intended for Kadarius Toney is intercepted by Jahlani Tavai at KC-31 and returned for 2 yards. Jahlani Tavai fumbles (forced by Creed Humphrey). Jahlani Tavai fumbles out of bounds,0.540,-3.640
4,9:08,1,10,KAN 29,27,10,Bailey Zappe pass complete short left to Demario Douglas for 11 yards (tackle by Justin Reid),3.640,4.370
4,8:31,1,10,KAN 18,27,16,"Kevin Harris up the middle for 18 yards, touchdown",4.370,7.000
4,8:24,,,KAN 15,27,17,Chad Ryland kicks extra point good,0.000,0.000
4,8:24,,,NWE 35,27,17,"Chad Ryland kicks off 65 yards, touchback.",0.000,0.610
4,8:24,1,10,KAN 25,27,17,Clyde Edwards-Helaire right guard for no gain (tackle by Christian Barmore),0.610,0.060
4,7:50,2,10,KAN 25,27,17,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by Myles Bryant),0.060,0.170
4,7:11,3,4,KAN 31,27,17,Patrick Mahomes pass complete short right to Rashee Rice for 7 yards (tackle by Kyle Dugger),0.170,1.470
4,6:31,1,10,KAN 38,27,17,Clyde Edwards-Helaire right guard for 1 yard (tackle by Christian Barmore and Jahlani Tavai),1.470,1.060
4,5:48,2,9,KAN 39,27,17,"Creed Humphrey aborted snap, recovered by Patrick Mahomes at KC-34 Patrick Mahomes pass complete short left to Travis Kelce for 11 yards (tackle by Myles Bryant)",1.060,2.260
4,5:01,1,10,NWE 50,27,17,Clyde Edwards-Helaire left tackle for 4 yards (tackle by Jahlani Tavai),2.260,2.250
4,4:22,2,6,NWE 46,27,17,Clyde Edwards-Helaire up the middle for -2 yards (tackle by Christian Barmore),2.250,1.290
4,4:18,,,,,,Timeout #1 by New England Patriots,,
4,4:18,3,8,NWE 48,27,17,Patrick Mahomes sacked by Mack Wilson for -9 yards,1.290,-0.520
4,4:11,,,,,,Timeout #2 by New England Patriots,,
4,4:11,4,17,KAN 43,27,17,Tommy Townsend punts 56 yards downed by Ekow Boye-Doe,-0.520,0.380
4,4:00,1,10,NWE 1,27,17,Bailey Zappe up the middle for 2 yards (tackle by Michael Danna),-0.380,-0.630
4,3:26,2,8,NWE 3,27,17,Ezekiel Elliott up the middle for 4 yards (tackle by Chris Jones),-0.630,-0.720
4,2:46,3,4,NWE 7,27,17,Bailey Zappe pass incomplete short right intended for Ezekiel Elliott,-0.720,-2.490
4,2:39,4,4,NWE 7,27,17,Bailey Zappe pass incomplete short right intended for Jalen Reagor (defended by L'Jarius Sneed),-2.490,-5.830
4,2:35,1,6,NWE 6,27,17,Clyde Edwards-Helaire right end for 2 yards (tackle by Kyle Dugger),5.830,0.000
4,2:00,2,5,NWE 4,27,17,Patrick Mahomes kneels for -1 yards,0.000,0.000
4,1:19,3,6,NWE 5,27,17,Patrick Mahomes kneels for -2 yards,0.000,2.970
4,0:44,4,7,NWE 7,27,17,Patrick Mahomes kneels for -2 yards,2.970,0.380
4,0:35,1,10,NWE 9,27,17,Kevin Harris right guard for 4 yards (tackle by Michael Danna and Tershawn Wharton),-0.380,-0.480
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
