Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
2,10:39,2,10,ATL 14,0,17,Jason Snelling up the middle for 11 yards (tackle by Leger Douzable and Akwasi Owusu-Ansah),-0.750,0.610
2,9:54,1,10,ATL 25,0,17,Matt Ryan pass incomplete short left intended for Tony Gonzalez,0.610,0.060
2,9:51,2,10,ATL 25,0,17,Matt Ryan pass complete short right to Harry Douglas for 12 yards (tackle by Ashton Youboty),0.060,1.400
2,9:04,1,10,ATL 37,0,17,Matt Ryan pass incomplete deep right intended for Roddy White (defended by Ashton Youboty),1.400,0.860
2,8:56,2,10,ATL 37,0,17,Jacquizz Rodgers right guard for -1 yards (tackle by Leger Douzable),0.860,0.040
2,8:19,3,11,ATL 36,0,17,Matt Ryan pass incomplete short left intended for Julio Jones,0.040,-0.980
2,8:12,4,11,ATL 36,0,17,"Matt Bosher punts 52 yards, fair catch by Jarett Dillard",-0.980,0.350
2,8:04,1,10,JAX 12,0,17,Maurice Jones-Drew right tackle for 7 yards (tackle by William Moore),-0.350,0.100
2,7:22,2,3,JAX 19,0,17,Maurice Jones-Drew left tackle for 2 yards (tackle by Corey Peters),0.100,-0.370
2,6:45,3,1,JAX 21,0,17,Maurice Jones-Drew right guard for no gain (tackle by William Moore),-0.370,-1.960
2,5:57,4,1,JAX 21,0,17,Nick Harris punts 51 yards,-1.960,-0.810
2,5:44,1,10,ATL 28,0,17,Matt Ryan pass complete short middle to Michael Turner for 3 yards (tackle by Russell Allen),0.810,0.670
2,5:11,2,7,ATL 31,0,17,Michael Turner left guard for 1 yard (tackle by Dawan Landry),0.670,0.100
2,4:33,3,6,ATL 32,0,17,Matt Ryan pass complete deep left to Roddy White for 27 yards (tackle by Akwasi Owusu-Ansah),0.100,2.850
2,4:03,1,10,JAX 41,0,17,Michael Turner right guard for 2 yards (tackle by Nate Collins and Paul Posluszny),2.850,2.580
2,3:27,2,8,JAX 39,0,17,Michael Turner left guard for 16 yards (tackle by Jeremy Mincey),2.580,4.040
2,2:43,1,10,JAX 23,0,17,Matt Ryan pass complete deep right to Roddy White for 18 yards (tackle by Ashton Youboty),4.040,6.060
2,2:14,1,5,JAX 5,0,17,Michael Turner up the middle for -1 yards (tackle by Russell Allen),6.060,4.950
2,2:00,2,6,JAX 6,0,17,Matt Ryan pass incomplete short right intended for Roddy White,4.950,4.040
2,1:56,3,6,JAX 6,0,23,"Matt Ryan pass complete short middle to Roddy White for 6 yards, touchdown",4.040,7.000
2,,,,JAX 2,0,24,Matt Bryant kicks extra point good,0.000,0.000
2,,,,ATL 35,0,24,"Matt Bosher kicks off 64 yards, returned by DuJuan Harris for 26 yards (tackle by Shann Schillinger)",0.000,0.740
2,1:42,1,10,JAX 27,0,24,Blaine Gabbert pass complete short middle to Jarett Dillard for 4 yards (tackle by Curtis Lofton),0.740,0.740
2,1:24,2,6,JAX 31,0,24,"Blaine Gabbert pass complete short middle to Maurice Jones-Drew for 7 yards (tackle by John Abraham and Dominique Franks). Penalty on Chastin West: Offensive Pass Interference, 10 yards (no play)",0.740,-0.610
2,1:18,2,16,JAX 21,0,24,Blaine Gabbert pass complete short right to Taylor Price for 21 yards (tackle by Christopher Owens),-0.610,1.730
2,0:58,1,10,JAX 42,0,24,"Blaine Gabbert sacked by John Abraham for -9 yards. Blaine Gabbert fumbles (forced by John Abraham), recovered by Curtis Lofton at JAX-19 (tackle by Will Rackley)",1.730,-4.310
2,0:46,1,10,JAX 19,0,24,Michael Turner up the middle for 2 yards (tackle by Tyson Alualu and Leger Douzable),4.310,4.030
2,0:40,,,,0,24,Timeout #1 by Atlanta Falcons,0.000,4.030
2,0:40,2,8,JAX 17,0,24,Matt Ryan pass incomplete deep left intended for Roddy White,4.030,3.260
2,0:35,3,8,JAX 17,0,24,Matt Ryan pass complete short middle to Jacquizz Rodgers for 4 yards (tackle by Russell Allen),3.260,2.640
2,0:03,,,,0,24,Timeout #2 by Atlanta Falcons,0.000,2.640
2,0:03,4,4,JAX 13,0,27,Matt Bryant 31 yard field goal good,2.640,3.000
Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,0,27,"Matt Bosher kicks off 63 yards, returned by DuJuan Harris for 12 yards (tackle by Akeem Dent)",0.000,-0.280
3,14:57,1,10,JAX 14,0,27,Maurice Jones-Drew left guard for 11 yards (tackle by Curtis Lofton and Jonathan Babineaux),-0.280,0.610
3,14:17,1,10,JAX 25,0,27,Maurice Jones-Drew right guard for 1 yard (tackle by Corey Peters),0.610,0.200
3,13:41,2,9,JAX 26,0,33,"Blaine Gabbert sacked by John Abraham for -10 yards. Blaine Gabbert fumbles (forced by John Abraham), recovered by Corey Peters at JAX-13 and returned for 13 yards, touchdown",0.200,-7.000
3,,,,JAX 2,0,34,Matt Bryant kicks extra point good,0.000,0.000
3,,,,ATL 35,0,34,"Matt Bosher kicks off 68 yards, returned by DuJuan Harris for 35 yards (tackle by Shann Schillinger)",0.000,1.070
3,13:25,1,10,JAX 32,0,34,Maurice Jones-Drew left tackle for 6 yards (tackle by Dunta Robinson),1.070,1.340
3,12:48,2,4,JAX 38,0,34,Maurice Jones-Drew right tackle for 1 yard (tackle by Jonathan Babineaux and Vance Walker),1.340,0.760
3,12:07,3,3,JAX 39,0,34,Blaine Gabbert sacked by John Abraham and Ray Edwards for -5 yards,0.760,-1.110
3,11:54,4,8,JAX 34,0,34,"Nick Harris punts 45 yards, fair catch by Eric Weems",-1.110,-0.340
3,11:45,1,10,ATL 21,0,34,Michael Turner right end for 9 yards (tackle by Ashton Youboty and Akwasi Owusu-Ansah),0.340,1.020
3,11:05,2,1,ATL 30,0,34,Julio Jones for 6 yards (tackle by Dawan Landry),1.020,1.330
3,10:24,1,10,ATL 36,0,34,Michael Turner left guard for 2 yards (tackle by Dawan Landry),1.330,1.060
3,9:40,2,8,ATL 38,0,34,Matt Ryan pass complete short right to Roddy White for 13 yards (tackle by Paul Posluszny),1.060,2.320
3,8:54,1,10,JAX 49,0,34,Matt Ryan pass complete short left to Julio Jones for 6 yards (tackle by Kevin Rutland),2.320,2.590
3,8:35,2,4,JAX 43,0,34,Michael Turner right tackle for 1 yard (tackle by Drew Coleman and C.J. Mosley),2.590,2.020
3,7:50,3,3,JAX 42,0,34,"Matt Ryan pass complete short right to Tony Gonzalez for 13 yards (tackle by Ashton Youboty). Penalty on Joe Hawley: Illegal Use of Hands, 11 yards (no play)",2.020,0.560
3,7:25,3,14,ATL 47,0,34,"Matt Ryan pass complete short middle to Julio Jones for 9 yards (tackle by Drew Coleman). Penalty on Nate Collins: Unnecessary Roughness, 15 yards",0.560,3.640
3,6:47,1,10,JAX 29,0,40,"Matt Ryan pass complete deep left to Roddy White for 29 yards, touchdown",3.640,7.000
3,,,,JAX 2,0,41,Matt Bryant kicks extra point good,0.000,0.000
3,,,,ATL 35,0,41,"Matt Bosher kicks off 70 yards, returned by DuJuan Harris for 25 yards (tackle by Jason Snelling)",0.000,0.280
3,6:33,1,10,JAX 20,0,41,Blaine Gabbert pass complete short left to Maurice Jones-Drew for 1 yard (tackle by John Abraham),0.280,-0.130
3,5:54,2,9,JAX 21,0,41,Maurice Jones-Drew right end for -1 yards (tackle by Curtis Lofton),-0.130,-0.960
3,5:14,3,10,JAX 20,0,41,Blaine Gabbert sacked by Kroy Biermann for -12 yards,-0.960,-2.490
3,4:50,4,22,JAX 8,0,41,"Nick Harris punts 47 yards, returned by Eric Weems for 6 yards (tackle by Darcel McBath)",-2.490,-2.320
3,4:37,1,10,JAX 49,0,41,Michael Turner left end for 1 yard (tackle by Russell Allen and C.J. Mosley),2.320,1.920
3,3:52,2,9,JAX 48,0,41,Michael Turner up the middle for -1 yards (tackle by Leger Douzable and C.J. Mosley),1.920,1.090
3,3:15,3,10,JAX 49,0,41,Matt Ryan pass complete short left to Jason Snelling for 7 yards (tackle by D'Anthony Smith and Akwasi Owusu-Ansah),1.090,0.460
3,2:24,4,3,JAX 42,6,41,"Matt Bosher punts, blocked by Kassim Osgood, recovered by Zach Potter and returned 46 yards, touchdown",0.460,-7.000
3,,,,ATL 2,7,41,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 35,7,41,"Josh Scobee kicks off 66 yards, returned by Eric Weems for 24 yards (tackle by Kassim Osgood)",0.000,0.480
3,2:06,1,10,ATL 23,7,41,Michael Turner left guard for 1 yard (tackle by Paul Posluszny and Nate Collins),0.480,0.070
3,1:25,2,9,ATL 24,7,41,Chris Redman pass complete short right to Roddy White for 3 yards (tackle by Ashton Youboty),0.070,-0.230
3,0:52,3,6,ATL 27,7,41,Chris Redman pass incomplete short left intended for Roddy White (defended by Morgan Trent),-0.230,-1.570
3,0:47,4,6,ATL 27,7,41,"Matt Bosher punts 53 yards, fair catch by Jarett Dillard",-1.570,-0.280
3,0:38,1,10,JAX 20,7,41,Maurice Jones-Drew left tackle for 4 yards (tackle by Curtis Lofton),0.280,0.270
3,0:04,2,6,JAX 24,7,41,Maurice Jones-Drew right tackle for 2 yards (tackle by Peria Jerry and Curtis Lofton),0.270,-0.160
Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,JAX 26,7,41,Blaine Gabbert pass incomplete short right intended for Chastin West (defended by Dominique Franks),-0.160,-1.630
4,14:57,4,4,JAX 26,7,41,Nick Harris punts 48 yards (tackle by David Jones),-1.630,-1.000
4,14:48,1,10,ATL 31,7,41,Jason Snelling right end for no gain (tackle by D'Anthony Smith and Akwasi Owusu-Ansah),1.000,0.460
4,14:04,2,10,ATL 31,7,41,Jason Snelling up the middle for 2 yards (tackle by Nate Collins and Terrance Knighton),0.460,0.040
4,13:17,3,8,ATL 33,7,41,Chris Redman pass complete short left to Jason Snelling for 7 yards (tackle by Paul Posluszny),0.040,-0.720
4,12:42,4,1,ATL 40,7,41,"Matt Bosher punts 41 yards, fair catch by Jarett Dillard",-0.720,-0.150
4,12:35,1,10,JAX 19,7,41,Blaine Gabbert pass complete deep right to Marcedes Lewis for 22 yards (tackle by Dominique Franks),0.150,1.660
4,12:00,1,10,JAX 41,7,41,Maurice Jones-Drew right end for 11 yards (tackle by Thomas DeCoud),1.660,2.390
4,11:27,1,10,ATL 48,7,41,Maurice Jones-Drew left guard for 3 yards (tackle by Curtis Lofton),2.390,2.250
4,10:49,2,7,ATL 45,7,41,Blaine Gabbert pass incomplete deep left intended for Chastin West,2.250,1.550
4,10:42,3,7,ATL 45,7,41,Blaine Gabbert pass complete short right to Marcedes Lewis for 12 yards (tackle by William Moore),1.550,3.380
4,10:14,1,10,ATL 33,7,41,Blaine Gabbert pass incomplete deep right intended for Marcedes Lewis is intercepted by Thomas DeCoud at ATL-14 and returned for 21 yards (tackle by Jarett Dillard),3.380,-1.270
4,10:03,1,10,ATL 35,7,41,Jacquizz Rodgers right end for 12 yards (tackle by Paul Posluszny),1.270,2.060
4,9:21,1,10,ATL 47,7,41,Jacquizz Rodgers left end for -1 yards (tackle by C.J. Mosley),2.060,1.380
4,8:37,2,11,ATL 46,7,41,Jacquizz Rodgers left end for no gain (tackle by Corvey Irvin),1.380,0.700
4,7:51,3,11,ATL 46,7,41,Chris Redman pass complete deep right to Julio Jones for 22 yards (tackle by Dawan Landry),0.700,3.450
4,7:19,1,10,JAX 32,7,41,Jacquizz Rodgers left end for -5 yards (tackle by Jeremy Mincey),3.450,2.230
4,6:34,2,15,JAX 37,7,41,Jacquizz Rodgers left guard for no gain (tackle by D'Anthony Smith and Paul Posluszny),2.230,1.550
4,5:56,3,15,JAX 37,7,41,Chris Redman pass complete deep right to Julio Jones for 19 yards (tackle by Dawan Landry),1.550,4.370
4,5:29,,,,7,41,Timeout #1 by Jacksonville Jaguars,0.000,4.370
4,5:29,1,10,JAX 18,7,41,"Jacquizz Rodgers right end for 2 yards (tackle by Leger Douzable). Penalty on Reggie Kelly: Offensive Holding, 10 yards (no play)",4.370,3.710
4,5:02,1,20,JAX 28,7,41,Jacquizz Rodgers left end for 5 yards (tackle by Tyson Alualu and Russell Allen),3.710,3.150
4,4:16,2,15,JAX 23,7,41,Jacquizz Rodgers right end for no gain (tackle by Jeremy Mincey),3.150,2.480
4,3:28,3,15,JAX 23,7,41,Chris Redman pass complete short right to Jason Snelling for 5 yards (tackle by Akwasi Owusu-Ansah),2.480,2.250
4,3:21,4,10,JAX 18,7,41,Jason Snelling right end for 3 yards (tackle by Dawan Landry and Paul Posluszny),2.250,0.220
4,3:13,1,10,JAX 15,7,41,Blaine Gabbert pass complete short left to Chastin West for 8 yards (tackle by Darrin Walls),-0.220,0.480
4,3:08,2,2,JAX 23,7,41,Blaine Gabbert pass complete short middle to Jarett Dillard for 8 yards (tackle by Sean Weatherspoon),0.480,1.000
4,2:34,1,10,JAX 31,7,41,Blaine Gabbert pass complete short left to Chastin West for 14 yards (tackle by Akeem Dent),1.000,1.930
4,2:00,1,10,JAX 45,7,41,Blaine Gabbert pass incomplete short left intended for Chastin West,1.930,1.380
4,1:52,2,10,JAX 45,7,41,Blaine Gabbert pass incomplete short left intended for Taylor Price (defended by Darrin Walls),1.380,0.700
4,1:47,3,10,JAX 45,7,41,Blaine Gabbert pass complete short right to Colin Cloherty for 21 yards (tackle by Dominique Franks),0.700,3.310
4,1:38,1,10,ATL 34,7,41,Blaine Gabbert pass complete deep right to Taylor Price for 18 yards (tackle by Christopher Owens),3.310,4.510
4,1:12,1,10,ATL 16,7,41,Blaine Gabbert pass incomplete short right intended for Colin Cloherty,4.510,3.900
4,1:08,2,10,ATL 16,7,41,Blaine Gabbert pass incomplete short right intended for DuJuan Harris,3.900,3.080
4,1:04,3,10,ATL 16,13,41,"Blaine Gabbert pass complete deep left to Chastin West for 16 yards, touchdown",3.080,7.000
4,,,,ATL 2,14,41,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 35,14,41,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
4,0:59,1,10,ATL 20,14,41,Chris Redman kneels for -1 yards,0.280,-0.460
4,0:28,2,11,ATL 19,14,41,Chris Redman kneels for -1 yards,-0.460,-1.330
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
