Quarter,Time,Down,ToGo,Location,ARI,TEN,Detail,EPB,EPA
2,5:07,2,4,TEN 33,10,10,"Shonn Greene up the middle for no gain (tackle by Calais Campbell). Penalty on TEN: Illegal Shift, 5 yards (no play)",1.010,0.330
2,4:44,2,9,TEN 28,10,10,Ryan Fitzpatrick pass incomplete short right intended for Kendall Wright,0.330,-0.360
2,4:39,3,9,TEN 28,10,10,Ryan Fitzpatrick pass complete short right to Nate Washington for 13 yards,-0.360,1.660
2,4:08,1,10,TEN 41,10,10,Shonn Greene left tackle for -4 yards (tackle by Calais Campbell),1.660,0.580
2,3:33,2,14,TEN 37,10,10,Ryan Fitzpatrick pass complete short left to Delanie Walker for 5 yards (tackle by Daryl Washington),0.580,0.560
2,2:56,3,9,TEN 42,10,10,Ryan Fitzpatrick pass complete short right to Delanie Walker for 4 yards (tackle by John Abraham),0.560,-0.320
2,2:12,4,5,TEN 46,10,10,Brett Kern punts 51 yards,-0.320,0.380
2,2:00,1,10,ARI 3,10,10,Stepfan Taylor left end for 2 yards (tackle by Moise Fokou),-0.380,-0.380
2,1:53,1,10,ARI 3,10,10,Timeout #1 by Tennessee Titans,-0.380,-0.630
2,1:53,2,8,ARI 5,10,10,Carson Palmer pass complete deep left to Michael Floyd for 20 yards (tackle by Bernard Pollard),-0.630,-0.630
2,1:35,2,8,ARI 5,10,10,Timeout #1 by Arizona Cardinals,-0.630,0.610
2,1:35,1,10,ARI 25,10,10,Carson Palmer pass complete short middle to Larry Fitzgerald for 6 yards (tackle by Coty Sensabaugh),0.610,0.870
2,1:20,2,4,ARI 31,10,10,Carson Palmer sacked by Jurrell Casey for -7 yards,0.870,0.870
2,1:12,2,4,ARI 31,10,10,Timeout #2 by Tennessee Titans,0.870,-0.760
2,1:12,3,11,ARI 24,10,10,Carson Palmer pass incomplete short right intended for Larry Fitzgerald (defended by Coty Sensabaugh),-0.760,-1.770
2,1:07,4,11,ARI 24,10,10,"Dave Zastudil punts 52 yards, muffed catch by Leon Washington, recovered by Leon Washington and returned for 9 yards (tackle by Rashad Johnson)",-1.770,-1.140
2,0:56,1,10,TEN 33,10,10,Ryan Fitzpatrick pass incomplete deep right intended for Kendall Wright,1.140,0.590
2,0:49,2,10,TEN 33,10,10,Ryan Fitzpatrick pass incomplete deep right intended for Nate Washington,0.590,-0.100
2,0:44,3,10,TEN 33,10,10,Ryan Fitzpatrick pass complete short left to Kendall Wright for 7 yards (tackle by Daryl Washington),-0.100,-0.100
2,0:35,3,10,TEN 33,10,10,Timeout #2 by Arizona Cardinals,-0.100,-0.720
2,0:35,4,3,TEN 40,10,10,"Brett Kern punts 44 yards, fair catch by Patrick Peterson",-0.720,0.140
2,0:27,1,10,ARI 16,10,10,Andre Ellington left end for 14 yards (tackle by Michael Griffin),-0.140,0.940
2,0:20,1,10,ARI 30,10,10,Carson Palmer pass incomplete deep left intended for Michael Floyd (defended by Alterraun Verner),0.940,0.390
2,0:15,2,10,ARI 30,10,10,Stepfan Taylor up the middle for 3 yards (tackle by Kamerion Wimbley),0.390,0.100
2,0:08,3,7,ARI 33,10,10,Carson Palmer pass complete short right to Andre Roberts for 12 yards,0.100,1.930
2,0:02,1,10,ARI 45,10,10,Carson Palmer sacked by Jurrell Casey and Bernard Pollard for -9 yards,1.930,0.170
Quarter,Time,Down,ToGo,Location,ARI,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,10,10,"Jay Feely kicks off 40 yards, muffed catch by Patrick Bailey, recovered by Antoine Cason and returned for no gain",0.000,4.040
3,14:57,1,10,TEN 23,10,10,Andre Ellington left tackle for 1 yard (tackle by Jurrell Casey),4.040,3.630
3,14:15,2,9,TEN 22,10,10,Carson Palmer pass incomplete short middle intended for Brittan Golden (defended by Alterraun Verner),3.630,2.940
3,14:10,3,9,TEN 22,10,10,"Carson Palmer for no gain. Lyle Sendlein fumbles, recovered by Lyle Sendlein at ARI-TEN",2.940,1.500
3,13:38,4,16,TEN 29,13,10,Jay Feely 47 yard field goal good,1.500,3.000
3,13:38,,,ARI 35,13,10,"Jay Feely kicks off 62 yards, returned by Leon Washington for 23 yards (tackle by Tony Jefferson)",0.000,-0.670
3,13:26,1,10,TEN 26,13,10,Chris Johnson right guard for no gain (tackle by Calais Campbell),0.670,0.130
3,12:49,2,10,TEN 26,13,10,"Ryan Fitzpatrick pass incomplete deep middle intended for Kendall Wright. Penalty on Bryan McCann: Illegal Contact, 5 yards (no play)",0.130,1.000
3,12:42,1,10,TEN 31,13,10,Chris Johnson up the middle for no gain (tackle by Calais Campbell and Matt Shaughnessy),1.000,0.460
3,12:09,2,10,TEN 31,13,10,Ryan Fitzpatrick pass incomplete deep left intended for Kenny Britt,0.460,-0.230
3,12:03,3,10,TEN 31,13,10,"Ryan Fitzpatrick up the middle for 3 yards (tackle by Daryl Washington). Penalty on Antoine Cason: Illegal Use of Hands, 5 yards",-0.230,1.530
3,11:24,1,10,TEN 39,13,10,Ryan Fitzpatrick pass incomplete deep middle intended for Kendall Wright,1.530,0.990
3,11:19,2,10,TEN 39,13,10,Ryan Fitzpatrick pass complete short right to Chris Johnson for 19 yards (tackle by Rashad Johnson),0.990,2.790
3,10:45,1,10,ARI 42,13,10,Chris Johnson right guard for 2 yards (tackle by Rashad Johnson),2.790,2.510
3,10:09,2,8,ARI 40,13,10,Ryan Fitzpatrick pass incomplete short left intended for Kendall Wright,2.510,1.820
3,10:02,3,8,ARI 40,13,10,Ryan Fitzpatrick pass complete deep left to Kendall Wright for 20 yards (tackle by Patrick Peterson),1.820,4.240
3,9:26,1,10,ARI 20,13,10,Ryan Fitzpatrick sacked by John Abraham and Karlos Dansby for -5 yards,4.240,3.020
3,8:52,2,15,ARI 25,13,10,Ryan Fitzpatrick up the middle for 2 yards (tackle by Frostee Rucker),3.020,2.610
3,8:09,3,13,ARI 23,13,10,Ryan Fitzpatrick pass complete short middle to Kendall Wright for 14 yards (tackle by Rashad Johnson),2.610,5.140
3,7:23,1,9,ARI 9,13,10,Ryan Fitzpatrick pass complete short left to Kendall Wright for 4 yards (tackle by Daryl Washington),5.140,5.150
3,6:32,2,5,ARI 5,13,10,Ryan Fitzpatrick pass incomplete short left intended for Delanie Walker (defended by Yeremiah Bell),5.150,4.260
3,6:29,3,5,ARI 5,13,10,"Ryan Fitzpatrick pass incomplete short middle intended for Delanie Walker. Penalty on Marcus Benard: Roughing the Passer, 3 yards (no play)",4.260,6.740
3,6:24,1,2,ARI 2,13,10,"Ryan Fitzpatrick pass incomplete short left intended for Kenny Britt. Penalty on Rashad Johnson: Unnecessary Roughness, 1 yards (no play)",6.740,6.970
3,6:20,1,1,ARI 1,13,16,"Ryan Fitzpatrick pass complete short middle to Delanie Walker for 1 yard, touchdown",6.970,7.000
3,6:20,,,ARI 2,13,17,Rob Bironas kicks extra point good,0.000,0.000
3,6:20,,,TEN 35,13,17,"Rob Bironas kicks off 64 yards, returned by Javier Arenas for 27 yards (tackle by Zaviar Gooden)",0.000,-0.810
3,6:08,1,10,ARI 28,13,17,Andre Ellington right tackle for 11 yards (tackle by Michael Griffin),0.810,1.530
3,5:33,1,10,ARI 39,13,17,Carson Palmer pass complete short middle to Jake Ballard for 7 yards (tackle by Akeem Ayers),1.530,1.930
3,4:59,2,3,ARI 46,13,17,Rashard Mendenhall right guard for 9 yards (tackle by Moise Fokou),1.930,2.590
3,4:22,1,10,TEN 45,13,17,Rashard Mendenhall up the middle for no gain (tackle by Sammie Lee Hill and Jurrell Casey),2.590,2.040
3,3:41,2,10,TEN 45,13,17,Carson Palmer pass complete deep middle to Andre Ellington for 38 yards (tackle by Coty Sensabaugh),2.040,5.600
3,2:58,1,7,TEN 7,13,17,Rashard Mendenhall right guard for 1 yard (tackle by Akeem Ayers and Jurrell Casey),5.600,4.950
3,2:20,2,6,TEN 6,19,17,"Carson Palmer pass complete short middle to Jake Ballard for 6 yards, touchdown",4.950,7.000
3,2:20,,,TEN 2,20,17,Jay Feely kicks extra point good,0.000,0.000
3,2:20,,,ARI 35,20,17,"Jay Feely kicks off 65 yards, touchback",0.000,-0.280
3,2:14,1,10,TEN 20,20,17,Ryan Fitzpatrick pass incomplete short right intended for Kendall Wright (defended by Karlos Dansby),0.280,-0.270
3,2:09,2,10,TEN 20,20,17,"Shonn Greene right guard for 1 yard (tackle by Darnell Dockett). Penalty on Chance Warmack: Offensive Holding, 10 yards (no play)",-0.270,-1.510
3,1:38,2,20,TEN 10,20,17,Ryan Fitzpatrick pass incomplete short middle intended for Delanie Walker,-1.510,-2.590
3,1:33,3,20,TEN 10,20,17,Ryan Fitzpatrick pass incomplete deep middle intended for Delanie Walker,-2.590,-2.490
3,1:28,4,20,TEN 10,20,17,"Brett Kern punts 50 yards, out of bounds",-2.490,-1.600
3,1:20,1,10,ARI 40,20,17,Rashard Mendenhall right guard for 2 yards (tackle by Jurrell Casey),1.600,1.320
3,0:45,2,8,ARI 42,20,17,Carson Palmer pass incomplete short left intended for Rashard Mendenhall (defended by Karl Klug),1.320,0.630
3,0:40,3,8,ARI 42,20,17,Carson Palmer pass incomplete short middle intended for Michael Floyd,0.630,-0.590
3,0:35,4,8,ARI 42,20,17,"Dave Zastudil punts 58 yards, touchback",-0.590,-0.280
3,0:28,1,10,TEN 20,20,17,Ryan Fitzpatrick pass complete short right to Kenny Britt for 13 yards (tackle by Rashad Johnson),0.280,1.140
Quarter,Time,Down,ToGo,Location,ARI,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 33,20,17,"Ryan Fitzpatrick pass complete short left to Delanie Walker for -2 yards (tackle by Daryl Washington). Penalty on Daryl Washington: Unsportsmanlike Conduct, 15 yards",1.140,1.990
4,14:32,1,10,TEN 46,20,17,Chris Johnson up the middle for 3 yards (tackle by Karlos Dansby),1.990,1.860
4,13:56,2,7,TEN 49,20,17,Chris Johnson right guard for 6 yards (tackle by Matt Shaughnessy),1.860,1.950
4,13:30,3,1,ARI 45,20,17,Chris Johnson up the middle for 5 yards (tackle by Daryl Washington and Yeremiah Bell),1.950,2.920
4,12:54,1,10,ARI 40,20,17,Ryan Fitzpatrick pass incomplete short right intended for Quinn Johnson (defended by Daryl Washington),2.920,2.370
4,12:50,2,10,ARI 40,20,17,Ryan Fitzpatrick pass complete short left to Kenny Britt for 8 yards (tackle by Karlos Dansby),2.370,2.740
4,12:08,3,2,ARI 32,20,17,Ryan Fitzpatrick pass incomplete short middle intended for Kendall Wright (defended by Daryl Washington),2.740,1.300
4,12:02,4,2,ARI 32,20,17,Rob Bironas 50 yard field goal no good,1.300,-1.600
4,11:57,1,10,ARI 40,20,17,Carson Palmer pass incomplete short middle intended for Michael Floyd,1.600,1.050
4,11:49,2,10,ARI 40,20,17,Andre Ellington right tackle for 3 yards (tackle by Bernard Pollard),1.050,0.760
4,11:09,3,7,ARI 43,20,17,Carson Palmer pass complete short right to Brittan Golden for 16 yards (tackle by Blidi Wreh-Wilson),0.760,2.850
4,10:41,1,10,TEN 41,20,17,Andre Ellington up the middle for 3 yards (tackle by Moise Fokou),2.850,2.710
4,10:03,2,7,TEN 38,20,17,Carson Palmer pass incomplete deep left intended for Andre Roberts,2.710,2.020
4,9:57,3,7,TEN 38,20,17,Carson Palmer pass complete short right to Larry Fitzgerald for 18 yards,2.020,4.240
4,9:23,1,10,TEN 20,20,17,Carson Palmer pass complete short middle to Rashard Mendenhall for 9 yards (tackle by Akeem Ayers and Zaviar Gooden),4.240,5.260
4,8:47,2,1,TEN 11,20,17,Rashard Mendenhall up the middle for 3 yards (tackle by Jurrell Casey),5.260,5.370
4,8:11,1,8,TEN 8,20,17,Rashard Mendenhall up the middle for 2 yards (tackle by Zaviar Gooden),5.370,4.950
4,7:36,2,6,TEN 6,20,17,Carson Palmer pass complete short right to Larry Fitzgerald for 5 yards (tackle by Jason McCourty and Zaviar Gooden),4.950,5.170
4,6:53,3,1,TEN 1,26,17,"Rashard Mendenhall up the middle for 1 yard, touchdown",5.170,7.000
4,6:53,,,TEN 2,27,17,Jay Feely kicks extra point good,0.000,0.000
4,6:53,,,ARI 35,27,17,"Jay Feely kicks off 62 yards, returned by Leon Washington for 14 yards (tackle by Stepfan Taylor)",0.000,0.060
4,6:45,1,10,TEN 17,27,17,Ryan Fitzpatrick sacked by Matt Shaughnessy for -3 yards,-0.060,-0.970
4,6:22,2,13,TEN 14,33,17,"Ryan Fitzpatrick pass incomplete short right intended for Nate Washington is intercepted by Antoine Cason at TEN-20 and returned for 20 yards, touchdown",-0.970,-7.000
4,6:13,,,TEN 2,34,17,Jay Feely kicks extra point good,0.000,0.000
4,6:13,,,ARI 35,34,17,"Jay Feely kicks off 63 yards, returned by Leon Washington for 31 yards (tackle by Tony Jefferson)",0.000,-1.140
4,6:05,1,10,TEN 33,34,17,Ryan Fitzpatrick pass complete short left to Kendall Wright for 12 yards (tackle by Patrick Peterson),1.140,1.930
4,5:38,1,10,TEN 45,34,17,Ryan Fitzpatrick pass complete short right to Kendall Wright for 7 yards (tackle by Karlos Dansby),1.930,2.330
4,5:13,2,3,ARI 48,34,17,Ryan Fitzpatrick pass complete short right to Delanie Walker for 8 yards (tackle by Yeremiah Bell),2.330,2.920
4,4:47,1,10,ARI 40,34,17,Ryan Fitzpatrick pass complete short right to Michael Preston for 9 yards (tackle by Patrick Peterson),2.920,3.590
4,4:20,2,1,ARI 31,34,17,Ryan Fitzpatrick pass complete short middle to Nate Washington for 8 yards (tackle by Rashad Johnson),3.590,4.040
4,3:56,1,10,ARI 23,34,17,Ryan Fitzpatrick pass complete short right to Nate Washington for 6 yards (tackle by Marcus Benard),4.040,4.380
4,3:29,2,4,ARI 17,34,17,Ryan Fitzpatrick pass incomplete deep left intended for Kenny Britt,4.380,3.660
4,3:23,3,4,ARI 17,34,17,Ryan Fitzpatrick pass complete short left to Nate Washington for 7 yards (tackle by Daryl Washington),3.660,4.910
4,3:17,1,10,ARI 10,34,23,"Ryan Fitzpatrick pass complete short left to Michael Preston for 10 yards, touchdown",4.910,7.000
4,3:17,,,ARI 2,34,24,"Rob Bironas kicks extra point good. Penalty on Dan Williams: Unnecessary Roughness, 15 yards",0.000,0.000
4,3:17,,,ARI 10,34,24,"Rob Bironas kicks onside 12 yards, recovered by Rashad Johnson",0.000,-1.470
4,3:09,1,10,ARI 38,34,24,Rashard Mendenhall up the middle for 2 yards (tackle by Bernard Pollard),1.470,1.470
4,3:05,1,10,ARI 38,34,24,Timeout #1 by Tennessee Titans,1.470,1.190
4,3:05,2,8,ARI 40,34,24,Rashard Mendenhall up the middle for 4 yards (tackle by Moise Fokou),1.190,1.190
4,2:59,2,8,ARI 40,34,24,Timeout #2 by Tennessee Titans,1.190,1.020
4,2:59,3,4,ARI 44,34,24,"Penalty on Eric Winston: False Start, 5 yards (no play)",1.020,0.370
4,2:59,3,9,ARI 39,34,24,Andre Ellington up the middle for 5 yards (tackle by Michael Griffin and Jurrell Casey),0.370,0.370
4,2:54,3,9,ARI 39,34,24,Timeout #3 by Tennessee Titans,0.370,-0.460
4,2:54,4,4,ARI 44,34,24,Dave Zastudil punts 49 yards,-0.460,0.380
4,2:42,1,10,TEN 7,34,24,"Ryan Fitzpatrick pass incomplete short right intended for Nate Washington (defended by Jerraud Powers). Penalty on Calais Campbell: Roughing the Passer, 15 yards (no play)",-0.380,0.410
4,2:38,1,10,TEN 22,34,24,Ryan Fitzpatrick pass complete short right to Nate Washington for 17 yards (tackle by Antoine Cason),0.410,1.530
4,2:16,1,10,TEN 39,34,24,Ryan Fitzpatrick pass complete short middle to Chris Johnson for 7 yards (tackle by Daryl Washington),1.530,1.930
4,2:00,2,3,TEN 46,34,24,Ryan Fitzpatrick pass complete deep right to Kendall Wright for 23 yards (tackle by Patrick Peterson),1.930,3.510
4,1:40,1,10,ARI 31,34,24,Ryan Fitzpatrick spiked the ball,3.510,2.970
4,1:40,2,10,ARI 31,34,24,Ryan Fitzpatrick pass incomplete short left intended for Kendall Wright (defended by Yeremiah Bell),2.970,2.280
4,1:34,3,10,ARI 31,34,24,Ryan Fitzpatrick up the middle for 17 yards (tackle by Rashad Johnson and Javier Arenas),2.280,4.650
4,1:15,1,10,ARI 14,34,24,Ryan Fitzpatrick spiked the ball,4.650,4.000
4,1:15,2,10,ARI 14,34,24,Ryan Fitzpatrick pass complete short right to Delanie Walker for 8 yards (tackle by Antoine Cason and Yeremiah Bell),4.000,4.730
4,0:57,3,2,ARI 6,34,24,Ryan Fitzpatrick pass incomplete short right intended for Michael Preston,4.730,4.730
4,0:52,3,2,ARI 6,34,24,Timeout #1 by Arizona Cardinals,4.730,3.010
4,0:52,4,2,ARI 6,34,27,Rob Bironas 24 yard field goal good,3.010,3.000
4,0:52,,,TEN 35,34,27,Rob Bironas kicks onside 11 yards,0.000,1.990
4,0:44,1,10,TEN 46,34,27,Ryan Fitzpatrick pass complete deep right to Kendall Wright for 26 yards (tackle by Antoine Cason),1.990,3.710
4,0:36,1,10,ARI 28,34,27,Ryan Fitzpatrick pass complete deep middle to Kendall Wright for 20 yards (tackle by Patrick Peterson),3.710,5.370
4,0:18,1,8,ARI 8,34,27,Ryan Fitzpatrick spiked the ball,5.370,4.570
4,0:17,2,8,ARI 8,34,27,Ryan Fitzpatrick pass incomplete short right intended for Kenny Britt,4.570,3.580
4,0:14,3,8,ARI 8,34,33,"Ryan Fitzpatrick pass complete short left to Michael Preston for 8 yards, touchdown",3.580,7.000
4,0:14,,,ARI 2,34,34,"Rob Bironas kicks extra point good. Penalty on ARI: Defensive Offside, 5 yards",0.000,0.000
4,0:14,,,TEN 40,34,34,"Rob Bironas kicks off 60 yards, touchback",0.000,-0.280
4,0:10,1,10,ARI 20,34,34,Carson Palmer kneels for -1 yards,0.280,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,ARI,TEN,Detail,EPB,EPA
,,,,,,,"Titans won the coin toss, Titans to receive the overtime kickoff.",,
OT,15:00,,,ARI 35,34,34,"Jay Feely kicks off 65 yards, returned by Leon Washington for 24 yards (tackle by Tony Jefferson)",0.000,-0.540
OT,14:52,1,10,TEN 24,34,34,Ryan Fitzpatrick pass incomplete short left intended for Kendall Wright,0.540,0.000
OT,14:44,2,10,TEN 24,34,34,Ryan Fitzpatrick pass complete deep middle to Nate Washington for 33 yards (tackle by Patrick Peterson),0.000,2.720
OT,14:05,1,10,ARI 43,34,34,Ryan Fitzpatrick pass incomplete short right intended for Michael Preston is intercepted by Antoine Cason at ARI-30 and returned for 16 yards (tackle by Delanie Walker),2.720,-1.990
OT,13:55,1,10,ARI 46,34,34,Rashard Mendenhall right tackle for 5 yards (tackle by Jason McCourty),1.990,2.130
OT,13:20,2,5,TEN 49,34,34,Carson Palmer pass complete short middle to Jim Dray for 9 yards (tackle by Zaviar Gooden),2.130,2.920
OT,12:45,1,10,TEN 40,34,34,Rashard Mendenhall up the middle for 4 yards (tackle by Michael Griffin),2.920,2.910
OT,12:11,2,6,TEN 36,34,34,Rashard Mendenhall left guard for 15 yards (tackle by Michael Griffin),2.910,4.170
OT,11:37,1,10,TEN 21,34,34,Rashard Mendenhall right guard for -2 yards (tackle by Jurrell Casey),4.170,3.360
OT,10:59,2,12,TEN 23,34,34,Rashard Mendenhall right guard for no gain (tackle by Derrick Morgan),3.360,3.360
OT,10:23,2,12,TEN 23,34,34,Timeout #1 by Tennessee Titans,3.360,2.680
OT,10:22,3,12,TEN 23,37,34,Jay Feely 41 yard field goal good,2.680,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
