Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
2,9:21,1,10,NWE 30,0,6,Bailey Zappe scrambles right end for 5 yards (tackle by DeShon Elliott),0.940,1.070
2,8:38,2,5,NWE 35,0,6,"Bailey Zappe sacked by Isaiah Buggs for no gain. Penalty on Derrick Barnes: Illegal Contact, 5 yards (accepted) (no play)",1.070,1.600
2,8:00,1,10,NWE 40,0,6,"Bailey Zappe aborted snap, recovered by Rhamondre Stevenson at NE-36 Rhamondre Stevenson for no gain (tackle by DeShon Elliott). Penalty on Kendrick Bourne: Illegal Formation, 5 yards (declined)",1.600,0.510
2,7:40,2,14,NWE 36,0,6,Bailey Zappe pass short middle intended for Nelson Agholor is intercepted by DeShon Elliott at 50 and returned for no gain (tackle by Rhamondre Stevenson),0.510,-2.260
2,7:32,1,10,NWE 50,0,6,Craig Reynolds left guard for 4 yards (tackle by Raekwon McMillan),2.260,2.250
2,6:59,2,6,NWE 46,0,6,"Jamaal Williams right tackle for 3 yards (tackle by Raekwon McMillan and Adrian Phillips). Penalty on T.J. Hockenson: Offensive Holding, 10 yards (accepted)",2.250,1.310
2,6:35,2,13,DET 47,0,6,Jared Goff pass incomplete short right intended for Josh Reynolds,1.310,0.630
2,6:30,3,13,DET 47,0,6,Jared Goff pass complete deep right to Kalif Raymond for 20 yards (tackle by Devin McCourty),0.630,3.380
2,5:53,1,10,NWE 33,0,6,Jamaal Williams up the middle for 3 yards (tackle by Christian Barmore and Davon Godchaux),3.380,3.240
2,5:17,2,7,NWE 30,0,6,Jamaal Williams right tackle for 5 yards (tackle by Deatrich Wise),3.240,3.200
2,4:27,,,,,,Timeout #1 by Detroit Lions,,
2,4:27,3,2,NWE 25,0,6,Craig Reynolds right end for -7 yards (tackle by Adrian Phillips),3.200,1.240
2,3:40,4,9,NWE 32,0,12,"Jared Goff sacked by Matt Judon for -9 yards. Jared Goff fumbles (forced by Matt Judon), recovered by Kyle Dugger at NE-41 and returned for 59 yards, touchdown",1.240,-7.000
2,3:26,,,DET 15,0,13,Nick Folk kicks extra point good,0.000,0.000
2,3:26,,,NWE 35,0,13,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,3:26,1,10,DET 25,0,13,Jamaal Williams right end for 2 yards (tackle by Jahlani Tavai and Adrian Phillips),0.610,0.330
2,2:48,2,8,DET 27,0,13,Jamaal Williams up the middle for 3 yards (tackle by Davon Godchaux and Jahlani Tavai),0.330,0.040
2,2:04,3,5,DET 30,0,13,Jared Goff pass incomplete short left,0.040,-1.370
2,1:56,4,5,DET 30,0,13,"Jack Fox punts 56 yards, returned by Marcus Jones for 12 yards (tackle by Malcolm Rodriguez). Penalty on Josh Uche: Unnecessary Roughness / Offense, 13 yards (accepted)",-1.370,0.320
2,1:46,1,10,NWE 13,0,13,Bailey Zappe pass complete short right to Jakobi Meyers for 15 yards (tackle by DeShon Elliott),-0.320,0.810
2,1:38,1,10,NWE 28,0,13,Rhamondre Stevenson up the middle for 3 yards (tackle by Isaiah Buggs),0.810,0.670
2,1:14,2,7,NWE 31,0,13,Bailey Zappe pass complete short right to Hunter Henry for 8 yards (tackle by Mike Hughes),0.670,1.530
2,0:52,1,10,NWE 39,0,13,"Bailey Zappe pass incomplete deep left intended for DeVante Parker. Penalty on Jeff Okudah: Defensive Pass Interference, 22 yards (accepted) (no play)",1.530,2.980
2,0:47,1,10,DET 39,0,13,Bailey Zappe pass complete short left to Rhamondre Stevenson for 15 yards (tackle by DeShon Elliott),2.980,3.970
2,0:36,,,,,,Timeout #1 by New England Patriots,,
2,0:36,1,10,DET 24,0,13,"Bailey Zappe pass complete short right to Rhamondre Stevenson for no gain (tackle by Mike Hughes and AJ Parker). Penalty on Isaiah Wynn: Offensive Holding, 10 yards (accepted) (no play)",3.970,3.310
2,0:27,,,,,,Timeout #2 by New England Patriots,,
2,0:27,1,20,DET 34,0,13,Rhamondre Stevenson up the middle for 8 yards (tackle by Julian Okwara and Alex Anzalone),3.310,3.160
2,0:05,,,,,,Timeout #3 by New England Patriots,,
2,0:05,2,12,DET 26,0,16,Nick Folk 44 yard field goal good,3.160,3.000
Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,0,16,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,0,16,Bailey Zappe pass incomplete deep right intended for Jakobi Meyers,0.610,0.060
3,14:55,2,10,NWE 25,0,16,Rhamondre Stevenson up the middle for 11 yards (tackle by DeShon Elliott),0.060,1.330
3,14:21,1,10,NWE 36,0,16,Rhamondre Stevenson left tackle for -1 yards (tackle by DeShon Elliott),1.330,0.660
3,13:42,2,11,NWE 35,0,16,"Bailey Zappe pass incomplete deep left intended for DeVante Parker. Penalty on Jeff Okudah: Defensive Pass Interference, 25 yards (accepted) (no play)",0.660,2.920
3,13:35,1,10,DET 40,0,16,Rhamondre Stevenson up the middle for 4 yards (tackle by Isaiah Buggs and Austin Bryant),2.920,2.910
3,13:00,2,6,DET 36,0,16,Bailey Zappe pass complete short right to Hunter Henry for 17 yards (tackle by AJ Parker and Mike Hughes),2.910,4.310
3,12:22,1,10,DET 19,0,16,Rhamondre Stevenson up the middle for no gain (tackle by Austin Bryant),4.310,3.750
3,11:45,2,10,DET 19,0,16,Bailey Zappe pass complete short right to Rhamondre Stevenson for -1 yards (tackle by Malcolm Rodriguez and Alex Anzalone),3.750,2.940
3,10:54,3,11,DET 20,0,16,Bailey Zappe pass complete short left to Kendrick Bourne for 1 yard (tackle by Mike Hughes),2.940,2.180
3,10:13,4,10,DET 19,0,19,Nick Folk 37 yard field goal good,2.180,3.000
3,10:09,,,NWE 35,0,19,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,10:09,1,10,DET 25,0,19,Jared Goff pass complete short left to Josh Reynolds for 8 yards (tackle by Jabrill Peppers),0.610,1.140
3,9:35,2,2,DET 33,0,19,Craig Reynolds right guard for 2 yards (tackle by Anfernee Jennings),1.140,1.270
3,8:53,1,10,DET 35,0,19,Jamaal Williams right tackle for 13 yards (tackle by Jonathan Jones),1.270,2.130
3,8:32,1,10,DET 48,0,19,Jared Goff pass complete short middle to Kalif Raymond for 10 yards (tackle by Jalen Mills),2.130,2.790
3,7:54,1,10,NWE 42,0,19,Craig Reynolds left tackle for 3 yards (tackle by Anfernee Jennings),2.790,2.650
3,7:20,2,7,NWE 39,0,19,Jamaal Williams left tackle for 5 yards (tackle by Anfernee Jennings and Davon Godchaux),2.650,2.610
3,6:45,3,2,NWE 34,0,19,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,2.610,1.100
3,6:41,4,2,NWE 34,0,19,Jared Goff pass complete short right to Amon-Ra St. Brown for no gain (tackle by Jonathan Jones),1.100,-1.200
3,6:34,1,10,NWE 34,0,19,Bailey Zappe pass complete short right to Tyquan Thornton for 2 yards (tackle by Aidan Hutchinson),1.200,0.930
3,5:55,2,8,NWE 36,0,19,Bailey Zappe pass complete short left to Tyquan Thornton for 5 yards (tackle by Mike Hughes),0.930,0.890
3,5:09,3,3,NWE 41,0,19,Bailey Zappe pass complete short right to Hunter Henry for 6 yards (tackle by DeShon Elliott),0.890,2.060
3,4:45,1,10,NWE 47,0,19,Rhamondre Stevenson left tackle for no gain (tackle by Austin Bryant),2.060,1.520
3,4:08,2,10,NWE 47,0,19,Bailey Zappe pass complete short middle to Jakobi Meyers for 10 yards (tackle by Ifeatu Melifonwu and AJ Parker),1.520,2.720
3,3:16,1,10,DET 43,0,19,Rhamondre Stevenson up the middle for 8 yards (tackle by Bobby Price),2.720,3.260
3,2:41,2,2,DET 35,0,19,Rhamondre Stevenson right end for 11 yards (tackle by Chase Lucas),3.260,3.970
3,1:57,1,10,DET 24,0,25,"Bailey Zappe pass complete deep right to Jakobi Meyers for 24 yards, touchdown",3.970,7.000
3,1:51,,,DET 15,0,26,Nick Folk kicks extra point good,0.000,0.000
3,1:51,,,NWE 35,0,26,"Jake Bailey kicks off 62 yards, returned by Maurice Alexander for 20 yards (tackle by Mack Wilson)",0.000,0.480
3,1:44,1,10,DET 23,0,26,Jared Goff pass complete short left to Josh Reynolds for 17 yards (tackle by Jack Jones),0.480,1.600
3,1:06,1,10,DET 40,0,26,Jared Goff pass complete short left to Craig Reynolds for 36 yards (tackle by Devin McCourty),1.600,3.970
3,0:28,1,10,NWE 24,0,26,Jared Goff pass incomplete short right,3.970,3.430
3,0:21,2,10,NWE 24,0,26,Jared Goff pass incomplete short left intended for Kalif Raymond,3.430,2.740
3,0:18,3,10,NWE 24,0,26,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Marcus Jones),2.740,4.710
Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 13,0,26,"Jared Goff pass complete to Tom Kennedy for no gain, touchdown. Penalty on Justin Jackson: Offensive Pass Interference, 10 yards (accepted) (no play)",4.710,4.040
4,14:52,1,20,NWE 23,0,26,Jared Goff pass complete short right to Josh Reynolds for 6 yards (tackle by Jalen Mills and Kyle Dugger),4.040,3.500
4,14:10,2,14,NWE 17,0,26,Jared Goff pass incomplete short left,3.500,2.880
4,14:03,3,14,NWE 17,0,26,"Jared Goff pass incomplete short right. Penalty on Mack Wilson: Roughing the Passer, 9 yards (accepted) (no play)",2.880,5.370
4,13:57,1,8,NWE 8,0,26,Jared Goff pass incomplete short middle intended for T.J. Hockenson,5.370,4.570
4,13:53,2,8,NWE 8,0,26,Jared Goff pass complete short middle to Kalif Raymond for 3 yards (tackle by Daniel Ekuale and Ja'Whaun Bentley),4.570,4.260
4,13:22,,,,,,Timeout #1 by New England Patriots,,
4,13:22,3,5,NWE 5,0,26,Jared Goff pass incomplete short left intended for Josh Reynolds,4.260,3.010
4,13:17,4,5,NWE 5,0,26,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Myles Bryant),3.010,0.380
4,13:12,1,10,NWE 6,0,26,"Penalty on Lil'Jordan Humphrey: False Start, 3 yards (accepted) (no play)",-0.380,-0.490
4,13:12,1,13,NWE 3,0,26,"Rhamondre Stevenson up the middle for 1 yard (tackle by Aidan Hutchinson). Penalty on Isaiah Buggs: Illegal Use of Hands / Defense, 5 yards (accepted)",-0.490,-0.380
4,12:45,1,10,NWE 9,0,26,Bailey Zappe pass incomplete deep left intended for Tyquan Thornton,-0.380,-0.780
4,12:39,2,10,NWE 9,0,26,Rhamondre Stevenson left tackle for 7 yards (tackle by Alex Anzalone and Jeff Okudah),-0.780,-0.600
4,11:59,3,3,NWE 16,0,26,Rhamondre Stevenson left end for -2 yards (tackle by DeShon Elliott),-0.600,-2.470
4,11:24,4,5,NWE 14,0,26,"Jake Bailey punts 61 yards, returned by Kalif Raymond for 10 yards (tackle by Cody Davis)",-2.470,-1.270
4,11:13,1,10,DET 35,0,26,Jared Goff pass incomplete deep left intended for Justin Jackson,1.270,0.720
4,11:07,2,10,DET 35,0,26,Jared Goff pass complete short right to Craig Reynolds for 25 yards (tackle by Josh Uche),0.720,2.920
4,10:32,1,10,NWE 40,0,26,Jared Goff pass incomplete short right,2.920,2.370
4,10:24,2,10,NWE 40,0,26,Jared Goff pass complete short middle to Craig Reynolds for 7 yards (tackle by Jahlani Tavai),2.370,2.680
4,10:05,3,2,NWE 33,0,26,Jared Goff pass complete short left to Amon-Ra St. Brown for 2 yards (tackle by Myles Bryant),2.680,1.410
4,9:25,4,1,NWE 31,0,26,Justin Jackson up the middle for -1 yards (tackle by Raekwon McMillan),1.410,-1.070
4,9:20,1,10,NWE 32,0,26,Rhamondre Stevenson up the middle for 2 yards (tackle by Alex Anzalone and Bobby Price),1.070,0.800
4,8:38,2,8,NWE 34,0,26,Bailey Zappe pass complete short right to Jakobi Meyers for 23 yards (tackle by Bobby Price),0.800,2.720
4,7:53,1,10,DET 43,0,26,Rhamondre Stevenson right end for 26 yards (tackle by DeShon Elliott),2.720,4.440
4,7:11,1,10,DET 17,0,26,Kendrick Bourne right end for -1 yards (tackle by Austin Bryant),4.440,3.720
4,6:28,,,,,,Timeout #2 by New England Patriots,,
4,6:28,2,11,DET 18,0,26,Rhamondre Stevenson left tackle for 2 yards (tackle by Austin Bryant),3.720,3.190
4,5:50,3,9,DET 16,0,26,Bailey Zappe right end for 5 yards (tackle by AJ Parker),3.190,2.770
4,5:05,4,4,DET 11,0,29,Nick Folk 29 yard field goal good,2.770,3.000
4,5:01,,,NWE 35,0,29,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
4,5:01,1,10,DET 25,0,29,Jared Goff pass complete short right to Kalif Raymond for 12 yards (tackle by Jack Jones),0.610,1.400
4,4:54,1,10,DET 37,0,29,Jared Goff pass complete short middle to Josh Reynolds for 8 yards (tackle by Marcus Jones and Jahlani Tavai),1.400,1.870
4,4:33,2,3,DET 45,0,29,Jared Goff pass complete deep left to Josh Reynolds for 31 yards (tackle by Jalen Mills),1.870,3.970
4,3:43,1,10,NWE 24,0,29,Jared Goff pass incomplete deep middle intended for Kalif Raymond,3.970,3.430
4,3:37,2,10,NWE 24,0,29,Jared Goff pass complete to T.J. Hockenson for 6 yards (tackle by Adrian Phillips and Jabrill Peppers),3.430,3.570
4,3:16,3,4,NWE 18,0,29,Jared Goff pass incomplete short right intended for Josh Reynolds,3.570,2.320
4,3:10,4,4,NWE 18,0,29,Jared Goff pass incomplete deep left intended for Josh Reynolds (defended by Jack Jones),2.320,-0.040
4,3:02,1,10,NWE 18,0,29,Rhamondre Stevenson right guard for 7 yards (tackle by Malcolm Rodriguez and DeShon Elliott),0.040,0.550
4,2:55,,,,,,Timeout #1 by Detroit Lions,,
4,2:55,2,3,NWE 25,0,29,Rhamondre Stevenson up the middle for 4 yards (tackle by Isaiah Buggs),0.550,0.870
4,2:45,,,,,,Timeout #2 by Detroit Lions,,
4,2:45,1,10,NWE 29,0,29,Rhamondre Stevenson right guard for 11 yards (tackle by Malcolm Rodriguez),0.870,1.600
4,2:37,,,,,,Timeout #3 by Detroit Lions,,
4,2:37,1,10,NWE 40,0,29,Rhamondre Stevenson left tackle for 1 yard (tackle by Derrick Barnes),1.600,1.190
4,2:00,2,9,NWE 41,0,29,Bailey Zappe kneels for -3 yards,1.190,0.100
4,1:17,3,12,NWE 38,0,29,Bailey Zappe kneels for -2 yards,0.100,-0.980
4,0:35,4,14,NWE 36,0,29,"Jake Bailey punts 40 yards, returned by Kalif Raymond for 6 yards (tackle by Kyle Dugger and Cody Davis)",-0.980,-0.940
4,0:22,1,10,DET 30,0,29,Jared Goff kneels for -1 yards,0.940,0.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
