Quarter,Time,Down,ToGo,Location,KAN,DAL,Detail,EPB,EPA
2,8:04,3,19,DAL 27,0,7,Alex Smith pass complete short middle to Charcandrick West for 7 yards (tackle by Byron Jones and Orlando Scandrick),1.950,2.120
2,7:24,4,12,DAL 20,3,7,Harrison Butker 38 yard field goal good,2.120,3.000
2,7:19,,,KAN 35,3,7,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
2,7:19,1,10,DAL 25,3,7,Ezekiel Elliott right tackle for 6 yards (tackle by Justin Houston),0.610,0.870
2,6:46,2,4,DAL 31,3,7,Dak Prescott pass incomplete deep middle intended for Dez Bryant,0.870,0.170
2,6:40,3,4,DAL 31,3,7,Dak Prescott pass complete short right to Jason Witten for 5 yards,0.170,1.330
2,6:06,1,10,DAL 36,3,7,Ezekiel Elliott right guard for 3 yards (tackle by Ron Parker),1.330,1.200
2,5:31,2,7,DAL 39,3,7,Ezekiel Elliott right tackle for 7 yards (tackle by Frank Zombo and Daniel Sorensen),1.200,1.990
2,4:51,1,10,DAL 46,3,7,Ezekiel Elliott right guard for 3 yards (tackle by Allen Bailey),1.990,1.860
2,4:13,2,7,DAL 49,3,7,Dak Prescott pass complete short right to Dez Bryant for 4 yards (tackle by Reggie Ragland),1.860,1.690
2,3:33,3,3,KAN 47,3,7,Dak Prescott pass incomplete short right intended for Dez Bryant,1.690,0.130
2,3:27,4,3,KAN 47,3,7,"Chris Jones punts 29 yards, fair catch by Tyreek Hill",0.130,-0.040
2,3:20,1,10,KAN 18,3,7,Alex Smith pass complete deep middle to De'Anthony Thomas for 22 yards (tackle by Jeff Heath),0.040,1.600
2,2:40,1,10,KAN 40,3,7,Tyreek Hill left end for -5 yards (tackle by Sean Lee),1.600,0.380
2,2:03,2,15,KAN 35,3,7,Alex Smith pass complete short middle to De'Anthony Thomas for 8 yards (tackle by Sean Lee and Demarcus Lawrence),0.380,0.760
2,1:57,3,7,KAN 43,3,7,Alex Smith pass incomplete deep left intended for Ross Travis,0.760,-0.520
2,1:52,4,7,KAN 43,3,7,"Dustin Colquitt punts 39 yards, fair catch by Cole Beasley",-0.520,-0.040
2,1:44,1,10,DAL 18,3,7,Dak Prescott pass incomplete short left intended for Cole Beasley (defended by Chris Jones),0.040,-0.490
2,1:38,2,10,DAL 18,3,7,Dak Prescott sacked by Frank Zombo for -5 yards,-0.490,0.000
2,1:30,,,,,,Timeout #2 by Kansas City Chiefs,0.000,1.970
2,1:30,3,15,DAL 13,3,7,Dak Prescott pass complete deep left to Dez Bryant for 21 yards (tackle by Eric Murray),-1.970,1.200
2,1:03,1,10,DAL 34,3,7,Dak Prescott pass complete deep right to Terrance Williams for 56 yards (tackle by Steven Nelson),1.200,4.910
2,0:31,1,10,KAN 10,3,7,Dak Prescott pass incomplete,4.910,0.000
2,0:26,,,,,,Timeout #2 by Dallas Cowboys,0.000,-4.190
2,0:26,2,10,KAN 10,3,7,Dak Prescott pass incomplete short middle intended for Brice Butler,4.190,0.000
2,0:21,,,,,,Timeout #3 by Kansas City Chiefs,0.000,-3.130
2,0:21,3,10,KAN 10,3,13,"Dak Prescott right end for 10 yards, touchdown",3.130,7.000
2,0:13,,,KAN 15,3,14,Mike Nugent kicks extra point good,0.000,0.000
2,0:13,,,DAL 35,3,14,"Mike Nugent kicks off 68 yards, returned by Akeem Hunt for 25 yards (tackle by Byron Jones). Penalty on Byron Jones: Unnecessary Roughness, 15 yards",0.000,-1.400
2,0:13,1,10,KAN 37,3,14,"Penalty on Alex Smith: Delay of Game, 5 yards (no play)",1.400,1.070
2,0:09,1,15,KAN 32,3,14,Alex Smith pass complete short left to Charcandrick West for 12 yards,1.070,1.800
2,0:02,2,3,KAN 44,9,14,"Alex Smith pass complete short middle to Tyreek Hill for 56 yards, touchdown. Penalty on Byron Jones: Unsportsmanlike Conduct, 15 yards",1.800,7.000
2,0:00,,,DAL 15,10,14,Harrison Butker kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,KAN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 20,10,14,"Mike Nugent kicks off 72 yards, returned by De'Anthony Thomas for 30 yards (tackle by Rod Smith)",0.000,-1.470
3,14:53,1,10,KAN 38,10,14,Alex Smith right end for -1 yards (tackle by Anthony Brown),1.470,0.790
3,14:09,2,11,KAN 37,10,14,"Alex Smith pass incomplete short left intended for Tyreek Hill. Penalty on Orlando Scandrick: Defensive Pass Interference, 12 yards (no play)",0.790,2.190
3,14:04,1,10,KAN 49,10,14,Kareem Hunt left tackle for 19 yards (tackle by Byron Jones),2.190,3.450
3,13:24,1,10,DAL 32,10,14,Kareem Hunt left end for 4 yards (tackle by Jourdan Lewis),3.450,3.440
3,12:41,2,6,DAL 28,10,14,Alex Smith middle for 5 yards,3.440,3.400
3,11:57,3,1,DAL 23,10,14,Alex Smith right tackle for 4 yards (tackle by Sean Lee),3.400,4.310
3,11:18,1,10,DAL 19,10,14,Alex Smith pass complete short middle to Travis Kelce for 11 yards (tackle by Sean Lee),4.310,5.370
3,10:33,1,8,DAL 8,10,14,Tyreek Hill left end for no gain (tackle by Orlando Scandrick),5.370,4.570
3,9:51,2,8,DAL 8,10,14,Kareem Hunt middle for 6 yards (tackle by Byron Jones and Damien Wilson),4.570,4.950
3,9:11,3,2,DAL 2,16,14,"Alex Smith pass complete short right to Travis Kelce for 2 yards, touchdown",4.950,7.000
3,9:06,,,DAL 15,17,14,Harrison Butker kicks extra point good,0.000,0.000
3,9:06,,,KAN 35,17,14,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
3,9:06,1,10,DAL 25,17,14,Dak Prescott pass complete short middle to Dez Bryant for 10 yards (tackle by Steven Nelson),0.610,1.270
3,8:31,1,10,DAL 35,17,14,Ezekiel Elliott right end for 7 yards (tackle by Ron Parker),1.270,1.670
3,7:58,2,3,DAL 42,17,14,Ezekiel Elliott left guard for 11 yards (tackle by Ron Parker),1.670,2.460
3,7:41,1,10,KAN 47,17,14,Dak Prescott pass incomplete (defended by Chris Jones),2.460,1.910
3,7:37,2,10,KAN 47,17,14,Ezekiel Elliott right end for 1 yard (tackle by Steven Nelson),1.910,1.350
3,6:55,3,9,KAN 46,17,14,"Dak Prescott pass incomplete deep left intended for Dez Bryant. Penalty on Steven Nelson: Defensive Pass Interference, 17 yards (no play)",1.350,3.640
3,6:49,1,10,KAN 29,17,14,Dak Prescott pass incomplete deep left intended for Dez Bryant,3.640,3.100
3,6:43,2,10,KAN 29,17,14,Dak Prescott left end for 13 yards (tackle by Kenneth Acker),3.100,4.510
3,6:04,1,10,KAN 16,17,14,Ezekiel Elliott left tackle for 4 yards (tackle by Kevin Pierre-Louis),4.510,4.570
3,5:28,2,6,KAN 12,17,14,Ezekiel Elliott middle for 3 yards (tackle by Kevin Pierre-Louis),4.570,0.000
3,4:54,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-4.390
3,4:54,3,3,KAN 9,17,14,Dak Prescott middle for 4 yards (tackle by Kenneth Acker),4.390,6.060
3,4:15,1,5,KAN 5,17,14,Ezekiel Elliott right guard for 3 yards (tackle by Justin Houston),6.060,5.720
3,3:33,2,2,KAN 2,17,20,"Ezekiel Elliott middle for 2 yards, touchdown",5.720,7.000
3,3:29,,,KAN 15,17,21,Mike Nugent kicks extra point good,0.000,0.000
3,3:29,,,DAL 35,17,21,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
3,3:29,1,10,KAN 25,17,21,Alex Smith pass incomplete deep right intended for Tyreek Hill,0.610,0.060
3,3:23,2,10,KAN 25,17,21,"Alex Smith pass complete short right to Travis Kelce for 6 yards (tackle by Byron Jones). Penalty on KAN: Illegal Shift, 5 yards (no play)",0.060,-0.610
3,2:50,2,15,KAN 20,17,21,"Penalty on Alex Smith: Delay of Game, 5 yards (no play)",-0.610,-1.430
3,2:25,2,20,KAN 15,17,21,Alex Smith pass complete short left to Kareem Hunt for 9 yards (tackle by Damien Wilson and Sean Lee),-1.430,-0.760
3,1:39,3,11,KAN 24,17,21,Alex Smith sacked by David Irving for -5 yards,-0.760,-2.140
3,1:00,4,16,KAN 19,17,21,"Dustin Colquitt punts 54 yards, returned by Ryan Switzer for 9 yards (tackle by Kevin Pierre-Louis). Penalty on Xavier Woods: Illegal Blindside Block, 13 yards",-2.140,0.320
3,0:44,1,10,DAL 13,17,21,Ezekiel Elliott left end for 5 yards (tackle by Daniel Sorensen),-0.320,-0.140
3,0:06,2,5,DAL 18,17,21,Dak Prescott pass complete short left to Cole Beasley for 6 yards (tackle by Steven Nelson),-0.140,0.540
Quarter,Time,Down,ToGo,Location,KAN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 24,17,21,Ezekiel Elliott middle for 1 yard (tackle by Derrick Johnson),0.540,0.130
4,14:23,2,9,DAL 25,17,21,Dak Prescott pass complete deep right to Dez Bryant for 16 yards (tackle by Marcus Peters),0.130,1.660
4,13:44,1,10,DAL 41,17,21,Dak Prescott pass incomplete deep middle intended for Dez Bryant (defended by Ron Parker),1.660,0.000
4,13:34,,,,,,Timeout #1 by Dallas Cowboys,0.000,-1.120
4,13:34,2,10,DAL 41,17,21,Dak Prescott pass complete short right to Terrance Williams for 11 yards (tackle by Derrick Johnson),1.120,2.390
4,12:58,1,10,KAN 48,17,21,Alfred Morris middle for 11 yards (tackle by Kevin Pierre-Louis),2.390,3.120
4,12:20,1,10,KAN 37,17,21,Ezekiel Elliott left guard for 5 yards (tackle by Frank Zombo and Rakeem Nunez-Roches),3.120,3.250
4,11:43,2,5,KAN 32,17,21,Dak Prescott pass complete short left to Terrance Williams for 14 yards (tackle by Kenneth Acker),3.250,4.370
4,11:01,1,10,KAN 18,17,21,Dak Prescott pass complete short right to Brice Butler for 6 yards (tackle by Marcus Peters),4.370,4.810
4,10:19,2,4,KAN 12,17,21,Ezekiel Elliott left tackle for 3 yards (tackle by Bennie Logan and Chris Jones),4.810,4.740
4,9:39,3,1,KAN 9,17,21,Ezekiel Elliott left guard for 2 yards (tackle by Kevin Pierre-Louis and Rakeem Nunez-Roches),4.740,5.600
4,9:02,1,7,KAN 7,17,27,"Dak Prescott pass complete short right to Cole Beasley for 7 yards, touchdown",5.600,7.000
4,8:58,,,KAN 15,17,28,Mike Nugent kicks extra point good,0.000,0.000
4,8:58,,,DAL 35,17,28,"Mike Nugent kicks off 69 yards, returned by Akeem Hunt for 26 yards (tackle by Rod Smith)",0.000,-0.410
4,8:52,1,10,KAN 22,17,28,Alex Smith pass incomplete (defended by David Irving),0.410,-0.130
4,8:48,2,10,KAN 22,17,28,Alex Smith pass complete short right to Demarcus Robinson for 8 yards (tackle by Orlando Scandrick and Anthony Hitchens),-0.130,0.230
4,8:22,3,2,KAN 30,17,28,Charcandrick West left guard for 3 yards (tackle by Sean Lee),0.230,1.140
4,8:02,1,10,KAN 33,17,28,Alex Smith pass complete short middle to Travis Kelce for 11 yards (tackle by Anthony Hitchens and Sean Lee),1.140,1.860
4,7:42,1,10,KAN 44,17,28,Alex Smith pass complete short left to Charcandrick West for 6 yards (tackle by Jourdan Lewis),1.860,2.130
4,7:16,2,4,,17,28,Alex Smith pass complete short middle to Travis Kelce for 5 yards (tackle by Anthony Hitchens and Sean Lee),2.130,2.590
4,6:51,1,10,DAL 45,17,28,Alex Smith pass complete short left to Charcandrick West for 2 yards (tackle by Xavier Woods),2.590,2.310
4,6:21,2,8,DAL 43,17,28,Alex Smith pass complete short middle to Charcandrick West for 3 yards (tackle by Sean Lee),2.310,2.010
4,5:56,3,5,DAL 40,17,28,Alex Smith sacked by Taco Charlton for -3 yards,2.010,0.400
4,5:12,4,8,DAL 43,17,28,Alex Smith pass incomplete short middle intended for Travis Kelce is intercepted by Jeff Heath at DAL-36 and returned for 3 yards,0.400,-1.530
4,5:05,1,10,DAL 39,17,28,Ezekiel Elliott right tackle for 3 yards (tackle by Rakeem Nunez-Roches),1.530,1.390
4,4:25,2,7,DAL 42,17,28,Ezekiel Elliott right tackle for 5 yards (tackle by Rakeem Nunez-Roches and Roy Miller),1.390,0.000
4,4:20,,,,,,Timeout #2 by Kansas City Chiefs,0.000,-1.360
4,4:20,3,2,DAL 47,17,28,Dak Prescott pass complete short right to Terrance Williams for 5 yards (tackle by Ron Parker),1.360,0.000
4,4:13,,,,,,Timeout #3 by Kansas City Chiefs,0.000,-2.390
4,4:13,1,10,KAN 48,17,28,Ezekiel Elliott right tackle for -3 yards (tackle by Bennie Logan),2.390,1.440
4,3:31,2,13,DAL 49,17,28,Dak Prescott pass complete short left to Terrance Williams for 6 yards (tackle by Frank Zombo),1.440,1.550
4,2:46,3,7,KAN 45,17,28,Ezekiel Elliott right tackle for 2 yards (tackle by Daniel Sorensen),1.550,0.400
4,2:00,4,5,KAN 43,17,28,"Chris Jones punts 41 yards, returned by Tyreek Hill for no gain",0.400,0.380
4,1:49,1,10,KAN 2,17,28,Alex Smith pass complete short right to Tyreek Hill for 8 yards (tackle by Anthony Brown),-0.380,-0.200
4,1:25,2,2,KAN 10,17,28,Alex Smith pass complete short middle to Travis Kelce for 9 yards (tackle by Xavier Woods),-0.200,0.150
4,1:00,1,10,KAN 19,17,28,"Penalty on Mitchell Schwartz: False Start, 5 yards (no play)",0.150,-0.390
4,0:44,1,15,KAN 14,17,28,Alex Smith pass incomplete deep right intended for Charcandrick West,-0.390,-1.110
4,0:35,2,15,KAN 14,17,28,Alex Smith pass complete short middle to De'Anthony Thomas for 11 yards (tackle by Sean Lee),-1.110,-0.290
4,0:14,3,4,KAN 25,17,28,Alex Smith pass complete short right to Jehu Chesson for 10 yards (tackle by Anthony Brown),-0.290,1.270
4,0:09,1,10,KAN 35,17,28,Alex Smith middle for 8 yards (tackle by David Irving),1.270,1.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
