Quarter,Time,Down,ToGo,Location,DAL,DEN,Detail,EPB,EPA
2,11:31,2,10,DAL 25,10,0,"Tashard Choice middle for 1 yard (tackle by D.J. Williams and Ronald Fields). Penalty on Andre Gurode: Tripping, 10 yards (no play)",0.060,-1.430
2,11:04,2,20,DAL 15,10,0,Tony Romo pass complete short left to Miles Austin for 6 yards (tackle by Brian Dawkins),-1.430,-1.150
2,10:18,3,14,DAL 21,10,0,"Tony Romo sacked by Renaldo Hill for -4 yards. Tony Romo fumbles (forced by Renaldo Hill), recovered by D.J. Williams at DAL-17 and returned for 8 yards (tackle by Andre Gurode)",-1.150,-5.140
2,10:10,1,9,DAL 9,10,6,"Kyle Orton pass complete short right to Knowshon Moreno for 9 yards, touchdown",5.140,7.000
2,,,,DAL 2,10,7,Matt Prater kicks extra point good,0.000,0.000
2,,,,DEN 30,10,7,"Matt Prater kicks off 67 yards, returned by Miles Austin for 28 yards (tackle by Mario Haggan)",0.000,1.000
2,9:58,1,10,DAL 31,10,7,Marion Barber right tackle for 6 yards (tackle by D.J. Williams and Renaldo Hill),1.000,1.270
2,9:29,2,4,DAL 37,10,7,Tony Romo pass complete short left to Roy Williams for 6 yards (tackle by D.J. Williams),1.270,1.800
2,8:51,1,10,DAL 43,10,7,Marion Barber right guard for 6 yards (tackle by Andra Davis),1.800,2.060
2,8:14,2,4,DAL 49,10,7,Tony Romo sacked by D.J. Williams for -1 yards,2.060,1.220
2,7:36,3,5,DAL 48,10,7,"Tashard Choice middle for 9 yards (tackle by Renaldo Hill). Penalty on Tony Romo: Delay of Game, 5 yards (no play)",1.220,0.560
2,7:10,3,10,DAL 43,10,7,Tony Romo pass complete short right to Miles Austin for 2 yards (tackle by Brian Dawkins),0.560,-0.390
2,6:36,4,8,DAL 45,10,7,"Mat McBriar punts 43 yards, fair catch by Eddie Royal",-0.390,0.350
2,6:28,1,10,DEN 12,10,7,Knowshon Moreno right guard for 5 yards (tackle by Igor Olshansky),-0.350,-0.230
2,5:57,2,5,DEN 17,10,7,Kyle Orton pass incomplete short left intended for Eddie Royal,-0.230,-0.840
2,5:45,3,5,DEN 17,10,7,Kyle Orton pass complete short right to Correll Buckhalter for 23 yards (tackle by Anthony Spencer),-0.840,1.600
2,5:22,1,10,DEN 40,10,7,"Kyle Orton pass incomplete deep right intended for Tony Scheffler. Penalty on Tony Scheffler: Offensive Pass Interfere, 10 yards (no play)",1.600,0.940
2,5:22,1,20,DEN 30,10,7,Kyle Orton pass complete short left to Daniel Graham for 15 yards (tackle by Keith Brooking),0.940,1.730
2,4:40,2,5,DEN 45,10,7,Kyle Orton pass complete short right to Correll Buckhalter for 9 yards (tackle by Orlando Scandrick),1.730,2.520
2,4:10,1,10,DAL 46,10,7,"Knowshon Moreno right guard for 13 yards (tackle by Ken Hamlin). Penalty on Casey Wiegmann: Offensive Holding, 10 yards (no play)",2.520,1.860
2,3:40,1,20,DEN 44,10,7,Kyle Orton pass complete short left to Correll Buckhalter for 1 yard (tackle by Bradie James),1.860,0.760
2,3:00,2,19,DEN 45,10,7,"Kyle Orton pass complete short middle to Brandon Marshall for 6 yards (tackle by Bobby Carpenter). Penalty on Ryan Clady: Tripping, 10 yards (no play)",0.760,-0.590
2,2:36,2,29,DEN 35,10,7,Kyle Orton pass complete short right to Eddie Royal for 4 yards (tackle by Orlando Scandrick),-0.590,-0.690
2,2:11,,,,10,7,Timeout #1 by Dallas Cowboys,0.000,-0.690
2,2:11,3,25,DEN 39,10,7,Kyle Orton pass complete short right to Daniel Graham for 13 yards (tackle by Bradie James),-0.690,0.070
2,2:00,4,12,DAL 48,10,7,"Brett Kern punts 41 yards, fair catch by Patrick Crayton",0.070,0.380
2,1:52,1,10,DAL 7,10,7,Tashard Choice right tackle for 1 yard (tackle by Brian Dawkins and Wesley Woodyard),-0.380,-0.710
2,1:15,2,9,DAL 8,10,7,Tony Romo pass complete short right to Jason Witten for 8 yards (tackle by Champ Bailey),-0.710,-0.370
2,1:10,3,1,DAL 16,10,7,Tashard Choice middle for 2 yards (tackle by Kenny Peterson),-0.370,0.040
2,0:40,1,10,DAL 18,10,7,Tony Romo pass complete short right to Miles Austin for 11 yards (tackle by Brian Dawkins),0.040,0.870
2,0:33,,,,10,7,Timeout #2 by Dallas Cowboys,0.000,0.870
2,0:33,1,10,DAL 29,10,7,"Tony Romo pass incomplete short right intended for Miles Austin. Tony Romo fumbles, recovered by Tony Romo at DAL-25",0.870,0.330
2,0:27,2,10,DAL 29,10,7,Tony Romo pass complete short middle to Tashard Choice for 3 yards (tackle by D.J. Williams),0.330,0.040
Quarter,Time,Down,ToGo,Location,DAL,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,10,7,"David Buehler kicks off 68 yards, returned by Kenny McKinley for 19 yards (tackle by Chauncey Washington)",0.000,0.340
3,14:55,1,10,DEN 21,10,7,"Knowshon Moreno middle for 3 yards (tackle by DeMarcus Ware). Knowshon Moreno fumbles (forced by DeMarcus Ware), recovered by Bradie James at DEN-27 (tackle by Russ Hochstein)",0.340,-3.780
3,14:48,1,10,DEN 27,10,7,Marion Barber middle for 2 yards (tackle by Ronald Fields and Ryan McBean),3.780,3.500
3,14:07,2,8,DEN 25,10,7,Tony Romo pass complete short right to Jason Witten for 9 yards (tackle by Jack Williams and Robert Ayers),3.500,4.510
3,13:31,1,10,DEN 16,10,7,Tashard Choice right guard for -1 yards (tackle by Andra Davis),4.510,3.770
3,12:49,2,11,DEN 17,10,7,Tony Romo pass incomplete short left intended for Roy Williams (defended by D.J. Williams),3.770,3.020
3,12:45,,,,10,7,Timeout #1 by Dallas Cowboys,0.000,3.020
3,12:45,3,11,DEN 17,10,7,Tony Romo pass incomplete short right intended for Miles Austin is intercepted by Champ Bailey at DEN-3 and returned for 3 yards,3.020,0.380
3,12:40,1,10,DEN 6,10,7,Correll Buckhalter middle for 6 yards (tackle by Keith Brooking),-0.380,-0.340
3,12:11,2,4,DEN 12,10,7,Correll Buckhalter middle for 10 yards (tackle by Terence Newman),-0.340,0.410
3,11:38,1,10,DEN 22,10,7,"Kyle Orton for no gain. Kyle Orton fumbles, recovered by Kyle Orton at DEN-20",0.410,-0.400
3,11:05,2,12,DEN 20,10,7,"Kyle Orton middle for 1 yard (tackle by Anthony Spencer and DeMarcus Ware). Penalty on Anthony Spencer: Face Mask (15 Yards), 15 yards",-0.400,1.330
3,10:43,1,10,DEN 36,10,7,Kyle Orton pass incomplete short middle intended for Eddie Royal,1.330,0.790
3,10:35,2,10,DEN 36,10,7,Kyle Orton sacked by Bradie James for -8 yards,0.790,-0.960
3,10:02,3,18,DEN 28,10,7,Kyle Orton pass complete short left to Correll Buckhalter for 17 yards (tackle by Pat Watkins),-0.960,-0.390
3,9:15,4,1,DEN 45,10,7,"Brett Kern punts 55 yards, touchback",-0.390,-0.280
3,9:06,1,10,DAL 20,10,7,Tony Romo pass complete short right to Deon Anderson for 5 yards (tackle by D.J. Williams),0.280,0.410
3,8:28,2,5,DAL 25,10,7,Tashard Choice right guard for 6 yards (tackle by Champ Bailey),0.410,1.000
3,7:37,1,10,DAL 31,10,7,Tony Romo sacked by Elvis Dumervil for -4 yards,1.000,-0.080
3,7:02,2,14,DAL 27,10,7,Tony Romo pass incomplete short right intended for Tashard Choice,-0.080,-0.760
3,6:56,3,14,DAL 27,10,7,Tony Romo pass complete short right to Jason Witten for 7 yards (tackle by Champ Bailey),-0.760,-1.110
3,6:22,4,7,DAL 34,10,7,"Mat McBriar punts 55 yards, returned by Eddie Royal for 4 yards (tackle by Pat Watkins). Penalty on Peyton Hillis: Illegal Block Above the , 7 yards",-1.110,0.380
3,6:11,1,10,DEN 8,10,7,Correll Buckhalter right end for 7 yards (tackle by DeMarcus Ware and Ken Hamlin),-0.380,-0.210
3,5:40,2,3,DEN 15,10,7,Knowshon Moreno middle for 4 yards (tackle by Keith Brooking and Pat Watkins),-0.210,0.150
3,5:06,1,10,DEN 19,10,7,Kyle Orton pass complete short left to Brandon Marshall for 16 yards (tackle by Ken Hamlin),0.150,1.270
3,4:31,1,10,DEN 35,10,7,Knowshon Moreno middle for 8 yards (tackle by Keith Brooking and Marcus Spears),1.270,1.800
3,3:58,2,2,DEN 43,10,7,Knowshon Moreno middle for 1 yard (tackle by Bradie James),1.800,1.220
3,3:18,3,1,DEN 44,10,7,Knowshon Moreno left guard for 5 yards (tackle by Ken Hamlin),1.220,2.190
3,2:47,1,10,DEN 49,10,7,Knowshon Moreno right guard for 1 yard (tackle by Keith Brooking),2.190,1.780
3,2:08,2,9,,10,7,Kyle Orton pass complete short right to Tony Scheffler for 11 yards (tackle by Pat Watkins),1.780,2.980
3,1:45,1,10,DAL 39,10,7,LaMont Jordan left guard for 3 yards (tackle by Keith Brooking),2.980,2.850
3,1:09,2,7,DAL 36,10,7,Kyle Orton pass complete short left to Tony Scheffler for 6 yards (tackle by Pat Watkins),2.850,2.940
3,0:42,3,1,DAL 30,10,7,Knowshon Moreno right guard for no gain (tackle by Marcus Spears),2.940,1.520
3,0:03,4,1,DAL 30,10,7,Knowshon Moreno left guard for no gain (tackle by Keith Brooking),1.520,-0.940
Quarter,Time,Down,ToGo,Location,DAL,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 30,10,7,Tony Romo pass complete short right to Patrick Crayton for 1 yard (tackle by Champ Bailey),0.940,0.530
4,14:31,2,9,DAL 31,10,7,Tashard Choice middle for 2 yards (tackle by Mario Haggan and Le Kevin Smith),0.530,0.100
4,13:47,3,7,DAL 33,10,7,Tony Romo pass incomplete short right intended for Miles Austin,0.100,-1.180
4,13:42,4,7,DAL 33,10,7,"Mat McBriar punts 45 yards, returned by Eddie Royal for 15 yards (tackle by Bobby Carpenter)",-1.180,-1.400
4,13:32,1,10,DEN 37,10,7,Kyle Orton pass complete short right to Tony Scheffler for 9 yards,1.400,2.070
4,13:06,2,1,DEN 46,10,7,Knowshon Moreno right guard for 10 yards (tackle by DeMarcus Ware),2.070,2.650
4,12:28,,,,10,7,Timeout #1 by Denver Broncos,0.000,2.650
4,12:28,1,10,DAL 44,10,7,Kyle Orton pass incomplete deep left intended for Jabar Gaffney,2.650,2.110
4,12:20,2,10,DAL 44,10,7,Kyle Orton sacked by Marcus Spears for -7 yards,2.110,0.500
4,11:50,3,17,DEN 49,10,7,Kyle Orton pass complete short right to Daniel Graham for 8 yards (tackle by Terence Newman),0.500,0.400
4,11:25,4,9,DAL 43,10,7,"Brett Kern punts 43 yards, touchback",0.400,-0.280
4,11:18,1,10,DAL 20,10,7,Tony Romo pass incomplete short middle intended for Roy Williams (defended by Renaldo Hill),0.280,-0.270
4,11:14,2,10,DAL 20,10,7,"Tony Romo pass incomplete short left intended for Patrick Crayton (defended by Andre' Goodman). Penalty on Andre' Goodman: Defensive Pass Interfere, 12 yards (no play)",-0.270,1.070
4,11:09,1,10,DAL 32,10,7,Tashard Choice right end for 7 yards (tackle by Ryan McBean and Brian Dawkins),1.070,1.470
4,10:30,2,3,DAL 39,10,7,"Tashard Choice for 17 yards (tackle by Brian Dawkins). Penalty on Martellus Bennett: Offensive Holding, 10 yards (no play)",1.470,0.120
4,10:01,2,13,DAL 29,10,7,Tony Romo pass incomplete deep middle intended for Patrick Crayton (defended by Brian Dawkins),0.120,-0.560
4,9:55,3,13,DAL 29,10,7,Tony Romo pass incomplete deep middle intended for Roy Williams (defended by D.J. Williams),-0.560,-1.440
4,9:47,4,13,DAL 29,10,7,"Mat McBriar punts 60 yards, returned by Eddie Royal for 14 yards (tackle by Sam Hurd)",-1.440,-0.610
4,9:35,1,10,DEN 25,10,7,Kyle Orton pass complete short middle to Brandon Marshall for 16 yards (tackle by Bradie James and Mike Jenkins),0.610,1.660
4,8:58,1,10,DEN 41,10,7,Knowshon Moreno middle for 5 yards (tackle by Pat Watkins and Igor Olshansky),1.660,1.800
4,8:27,2,5,DEN 46,10,7,"Kyle Orton pass complete short left to Eddie Royal for 12 yards (tackle by Mike Jenkins). Penalty on Jay Ratliff: Roughing the Passer, 15 yards",1.800,3.780
4,7:55,1,10,DAL 27,10,7,LaMont Jordan middle for 11 yards (tackle by Pat Watkins and Ken Hamlin),3.780,4.510
4,7:25,1,10,DAL 16,10,7,Knowshon Moreno left guard for 4 yards (tackle by Junior Siavii),4.510,4.570
4,6:48,2,6,DAL 12,10,7,Kyle Orton pass incomplete short right intended for Eddie Royal,4.570,3.730
4,6:43,,,,10,7,Timeout #2 by Denver Broncos,0.000,3.730
4,6:43,3,6,DAL 12,10,7,Kyle Orton pass complete short right to Knowshon Moreno for 2 yards (tackle by Orlando Scandrick),3.730,2.840
4,6:02,4,4,DAL 10,10,10,Matt Prater 28 yard field goal good,2.840,3.000
4,,,,DEN 30,10,10,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
4,5:58,1,10,DAL 20,10,10,Tony Romo pass complete short left to Tashard Choice for 6 yards (tackle by Andra Davis),0.280,0.540
4,5:39,2,4,DAL 26,10,10,Tashard Choice middle for 6 yards (tackle by Kenny Peterson),0.540,1.070
4,5:02,1,10,DAL 32,10,10,Tony Romo pass complete short middle to Roy Williams for 15 yards (tackle by Champ Bailey),1.070,2.060
4,4:21,1,10,DAL 47,10,10,Tashard Choice left end for -3 yards (tackle by Mario Haggan),2.060,1.110
4,3:39,2,13,DAL 44,10,10,Tony Romo sacked by Vonnie Holliday for -4 yards,1.110,-0.100
4,3:03,3,17,DAL 40,10,10,Tony Romo pass incomplete deep middle intended for Miles Austin,-0.100,-0.720
4,2:57,4,17,DAL 40,10,10,"Mat McBriar punts 46 yards, returned by Eddie Royal for 13 yards (tackle by Jason Williams)",-0.720,-0.740
4,2:47,1,10,DEN 27,10,10,Kyle Orton pass complete short right to Brandon Marshall for 8 yards (tackle by Terence Newman),0.740,1.280
4,2:06,2,2,DEN 35,10,10,Knowshon Moreno middle for 14 yards (tackle by Ken Hamlin),1.280,2.190
4,2:00,1,10,DEN 49,10,16,"Kyle Orton pass complete deep right to Brandon Marshall for 51 yards, touchdown",2.190,7.000
4,,,,DAL 2,10,17,Matt Prater kicks extra point good,0.000,0.000
4,,,,DEN 30,10,17,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
4,1:46,1,10,DAL 20,10,17,Tony Romo pass complete short right to Jason Witten for 7 yards (tackle by D.J. Williams),0.280,0.680
4,1:23,2,3,DAL 27,10,17,Tony Romo pass incomplete short right intended for Miles Austin,0.680,-0.030
4,1:20,3,3,DAL 27,10,17,Tony Romo pass incomplete short left intended for Patrick Crayton (defended by Jack Williams),-0.030,-1.570
4,1:16,4,3,DAL 27,10,17,Tony Romo pass complete short middle to Sam Hurd for 53 yards (tackle by Brian Dawkins),-1.570,4.240
4,0:59,,,,10,17,Timeout #2 by Dallas Cowboys,0.000,4.240
4,0:59,1,10,DEN 20,10,17,Tony Romo pass complete short right to Tashard Choice for 7 yards (tackle by Wesley Woodyard),4.240,4.830
4,0:35,2,3,DEN 13,10,17,Tony Romo pass complete short right to Sam Hurd for 5 yards (tackle by Champ Bailey),4.830,5.370
4,0:27,,,,10,17,Timeout #3 by Dallas Cowboys,0.000,5.370
4,0:27,1,8,DEN 8,10,17,Tony Romo pass complete short right to Patrick Crayton for 6 yards (tackle by Jack Williams),5.370,5.720
4,0:09,2,2,DEN 2,10,17,Tony Romo spiked the ball,5.720,4.950
4,0:09,3,2,DEN 2,10,17,Tony Romo pass incomplete short middle intended for Sam Hurd (defended by Champ Bailey),4.950,3.250
4,0:05,4,2,DEN 2,10,17,Tony Romo pass incomplete short middle intended for Sam Hurd (defended by Champ Bailey),3.250,0.380
4,0:01,1,10,DEN 2,10,17,Kyle Orton kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
