Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
2,6:51,4,1,SDG 12,3,3,"Mike Scifres punts 41 yards, returned by Devin Hester for 42 yards (tackle by Jacob Hester). Penalty on Kahlil Bell: Offensive Holding, 10 yards",-2.490,-2.850
2,6:35,1,10,SDG 41,3,3,Jay Cutler pass complete deep right to Earl Bennett for 26 yards (tackle by Steve Gregory),2.850,4.580
2,6:07,1,10,SDG 15,3,3,Marion Barber right end for 10 yards (tackle by Eric Weddle),4.580,6.060
2,5:25,1,5,SDG 5,3,3,Jay Cutler pass incomplete short right intended for Roy E. Williams,6.060,5.150
2,5:17,2,5,SDG 5,3,3,Marion Barber left tackle for 4 yards (tackle by Antonio Garay),5.150,5.170
2,4:16,3,1,SDG 1,3,9,"Marion Barber right guard for 1 yard, touchdown",5.170,7.000
2,,,,SDG 2,3,10,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 35,3,10,"Robbie Gould kicks off 66 yards, returned by Jacob Hester for 23 yards (tackle by Dom DeCicco)",0.000,0.410
2,4:03,1,10,SDG 22,3,10,Philip Rivers pass complete deep left to Vincent Jackson for 32 yards (tackle by Charles Tillman),0.410,2.520
2,3:38,1,10,CHI 46,3,10,Philip Rivers pass incomplete short right intended for Randy McMichael,2.520,1.980
2,3:34,2,10,CHI 46,3,10,Ryan Mathews right tackle for -1 yards (tackle by Major Wright),1.980,1.160
2,2:51,3,11,CHI 47,3,10,Philip Rivers pass complete deep right to Vincent Jackson for 39 yards (tackle by Charles Tillman and Major Wright),1.160,5.370
2,2:20,,,,3,10,Timeout #1 by San Diego Chargers,0.000,5.370
2,2:20,1,8,CHI 8,3,10,Philip Rivers pass incomplete short right intended for Vincent Jackson,5.370,4.570
2,2:15,2,8,CHI 8,3,10,Philip Rivers pass incomplete short right intended for Vincent Brown,4.570,3.580
2,2:09,3,8,CHI 8,9,10,"Philip Rivers pass complete short right to Antonio Gates for 8 yards, touchdown",3.580,7.000
2,,,,CHI 2,10,10,Nick Novak kicks extra point good,0.000,0.000
2,,,,SDG 35,10,10,"Nick Novak kicks off 62 yards, returned by Johnny Knox for 53 yards (tackle by Eric Weddle)",0.000,2.650
2,1:55,1,10,SDG 44,10,10,Jay Cutler pass complete short middle to Matt Forte for no gain,2.650,2.110
2,1:28,2,10,SDG 44,10,10,Jay Cutler pass complete deep left to Earl Bennett for 34 yards (tackle by Antoine Cason),2.110,4.910
2,1:21,,,,10,10,Timeout #1 by Chicago Bears,0.000,4.910
2,1:21,1,10,SDG 10,10,10,Jay Cutler pass incomplete short middle intended for Dane Sanzenbacher,4.910,4.190
2,1:17,2,10,SDG 10,10,10,"Jay Cutler pass incomplete short left intended for Earl Bennett (defended by Eric Weddle). Penalty on Antoine Cason: Illegal Use of Hands, 5 yards (no play)",4.190,6.060
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,1:12,1,5,SDG 5,10,10,Jay Cutler pass incomplete short left intended for Matt Forte,6.060,5.150
2,1:08,2,5,SDG 5,10,10,Matt Forte right guard for 1 yard (tackle by Na'il Diggs),5.150,4.490
2,0:26,3,4,SDG 4,10,16,"Jay Cutler pass complete short left to Kellen Davis for 4 yards, touchdown",4.490,7.000
2,,,,SDG 2,10,17,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 35,10,17,"Robbie Gould kicks off 72 yards, returned by Richard Goodman for 44 yards (tackle by Craig Steltz)",0.000,1.400
2,0:15,1,10,SDG 37,10,17,Philip Rivers pass incomplete deep left intended for Vincent Brown,1.400,0.860
2,0:10,2,10,SDG 37,10,17,Philip Rivers pass complete deep right to Antonio Gates for 26 yards (tackle by Brandon Meriweather),0.860,3.120
2,0:02,,,,10,17,Timeout #2 by San Diego Chargers,0.000,0.000
2,0:02,,,,10,17,Timeout #2 by Chicago Bears,0.000,3.120
2,0:02,1,10,CHI 37,10,17,Nick Novak 55 yard field goal no good,3.120,1.860
Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,10,17,"Robbie Gould kicks off 72 yards, returned by Richard Goodman for 31 yards (tackle by Craig Steltz)",0.000,0.540
3,14:55,1,10,SDG 24,10,17,Ryan Mathews left guard for -1 yards (tackle by Lance Briggs),0.540,-0.140
3,14:13,2,11,SDG 23,10,17,Philip Rivers pass complete deep right to Vincent Jackson for 47 yards (tackle by Chris Conte),-0.140,3.580
3,13:23,1,10,CHI 30,10,17,Ryan Mathews right end for -2 yards (tackle by Lance Briggs),3.580,2.760
3,12:36,2,12,CHI 32,10,17,"Philip Rivers pass incomplete deep right intended for Vincent Brown. Penalty on Tim Jennings: Defensive Pass Interference, 21 yards (no play)",2.760,4.840
3,12:30,1,10,CHI 11,10,17,Ryan Mathews right tackle for 2 yards (tackle by Israel Idonije),4.840,4.510
3,11:45,2,8,CHI 9,10,17,Ryan Mathews left guard for 4 yards (tackle by Israel Idonije),4.510,4.440
3,11:04,3,4,CHI 5,16,17,"Philip Rivers pass complete short middle to Vincent Jackson for 5 yards, touchdown",4.440,7.000
3,,,,CHI 2,17,17,Nick Novak kicks extra point good,0.000,0.000
3,,,,SDG 35,17,17,"Nick Novak kicks off 60 yards, returned by Devin Hester for 36 yards (tackle by Bront Bird). Penalty on Craig Steltz: Offensive Holding, 10 yards",0.000,-0.060
3,10:49,1,10,CHI 17,17,17,Matt Forte right guard for 5 yards (tackle by Takeo Spikes),-0.060,0.210
3,10:09,2,5,CHI 22,17,17,Marion Barber right guard for 1 yard (tackle by Takeo Spikes),0.210,-0.490
3,9:27,3,4,CHI 23,17,17,Jay Cutler pass complete short left to Roy E. Williams for 11 yards (tackle by Paul Oliver),-0.490,1.200
3,8:38,1,10,CHI 34,17,17,Jay Cutler pass complete short right to Roy E. Williams for 12 yards (tackle by Quentin Jammer),1.200,1.990
3,7:53,1,10,CHI 46,17,17,Jay Cutler pass complete short middle to Roy E. Williams for 11 yards (tackle by Antoine Cason),1.990,2.720
3,7:14,1,10,SDG 43,17,17,Jay Cutler pass complete deep left to Johnny Knox for 42 yards (tackle by Antoine Cason),2.720,6.970
3,6:23,1,1,SDG 1,17,17,Matt Forte right tackle for no gain (tackle by Tommie Harris),6.970,5.910
3,5:50,2,1,SDG 1,17,23,"Jay Cutler left guard for 1 yard, touchdown",5.910,7.000
3,,,,SDG 2,17,24,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 35,17,24,"Robbie Gould kicks off 72 yards, returned by Richard Goodman for 35 yards (tackle by Winston Venable)",0.000,0.810
3,5:41,1,10,SDG 28,17,24,"Ryan Mathews right end for 6 yards (tackle by Charles Tillman). Ryan Mathews fumbles (forced by Charles Tillman), recovered by Charles Tillman at SDG-40 and returned for 3 yards (tackle by Vincent Jackson)",0.810,-3.120
3,5:32,1,10,SDG 37,17,24,Jay Cutler pass complete short right to Roy E. Williams for 13 yards (tackle by Quentin Jammer),3.120,3.970
3,5:01,1,10,SDG 24,17,30,"Jay Cutler pass complete deep left to Johnny Knox for 24 yards, touchdown",3.970,7.000
3,,,,SDG 2,17,31,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 35,17,31,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
3,4:53,1,10,SDG 20,17,31,Philip Rivers pass complete short right to Mike Tolbert for 13 yards (tackle by Brian Urlacher and Chris Conte),0.280,1.140
3,4:08,1,10,SDG 33,17,31,Philip Rivers pass complete short middle to Vincent Jackson for 17 yards (tackle by Charles Tillman),1.140,2.260
3,3:28,1,10,,17,31,Philip Rivers pass complete short right to Ryan Mathews for 4 yards (tackle by Tim Jennings),2.260,2.250
3,2:47,2,6,CHI 46,17,31,Philip Rivers pass complete short right to Antonio Gates for 11 yards (tackle by Major Wright),2.250,3.250
3,2:02,1,10,CHI 35,17,31,Philip Rivers pass complete short left to Mike Tolbert for no gain,3.250,2.700
3,1:20,2,10,CHI 35,17,31,Mike Tolbert left tackle for 2 yards (tackle by Lance Briggs and Brian Urlacher),2.700,2.280
3,0:35,3,8,CHI 33,17,31,Philip Rivers pass complete short left to Mike Tolbert for 4 yards (tackle by Tim Jennings),2.280,1.560
Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,CHI 29,20,31,Nick Novak 48 yard field goal good,1.560,3.000
4,,,,SDG 35,20,31,"Nick Novak kicks off 68 yards, returned by Devin Hester for 16 yards (tackle by Richard Goodman)",0.000,-0.320
4,14:50,1,10,CHI 13,20,31,Jay Cutler pass complete short right to Tyler Clutts for 9 yards (tackle by Antwan Barnes),-0.320,0.490
4,14:07,2,1,CHI 22,20,31,Matt Forte left guard for 4 yards (tackle by Vaughn Martin),0.490,0.670
4,13:25,1,10,CHI 26,20,31,Jay Cutler pass incomplete deep left intended for Earl Bennett (defended by Antoine Cason),0.670,0.130
4,13:19,,,,20,31,Timeout #1 by Chicago Bears,0.000,0.130
4,13:19,2,10,CHI 26,20,31,Jay Cutler pass incomplete short right intended for Earl Bennett,0.130,-0.560
4,13:12,,,,20,31,Timeout #1 by San Diego Chargers,0.000,-0.560
4,13:12,3,10,CHI 26,20,31,Jay Cutler pass complete short middle to Earl Bennett for 15 yards (tackle by Paul Oliver). Penalty on Paul Oliver: Defensive Holding (Declined),-0.560,1.660
4,12:47,1,10,CHI 41,20,31,Matt Forte right end for 13 yards (tackle by Eric Weddle),1.660,2.520
4,12:03,1,10,SDG 46,20,31,Jay Cutler pass incomplete short left intended for Earl Bennett,2.520,1.980
4,11:59,2,10,SDG 46,20,31,Matt Forte left tackle for 3 yards (tackle by Jacques Cesaire),1.980,1.680
4,11:14,3,7,SDG 43,20,31,Jay Cutler right end for 11 yards (tackle by Quentin Jammer),1.680,3.450
4,10:42,1,10,SDG 32,20,31,Matt Forte left tackle for 2 yards (tackle by Donald Butler),3.450,3.170
4,10:03,2,8,SDG 30,20,31,Jay Cutler pass incomplete short left intended for Johnny Knox is intercepted by Antoine Cason at SDG-20 and returned for 64 yards (tackle by Matt Forte),3.170,-4.510
4,9:51,1,10,CHI 16,20,31,Philip Rivers pass incomplete short right intended for Mike Tolbert,4.510,3.900
4,9:47,2,10,CHI 16,20,31,Philip Rivers pass incomplete short right intended for Randy McMichael,3.900,3.080
4,9:39,3,10,CHI 16,20,31,"Philip Rivers pass incomplete intended for Vincent Jackson is intercepted by Major Wright at CHI-20. Penalty on Major Wright: Unsportsmanlike Conduct, 10 yards",3.080,0.380
4,9:31,1,10,CHI 10,20,31,Matt Forte left end for 1 yard (tackle by Cam Thomas),-0.380,-0.710
4,8:54,2,9,CHI 11,20,31,"Penalty on Eddie Williams: False Start, 5 yards (no play)",-0.710,-1.070
4,8:41,2,14,CHI 6,20,31,Matt Forte left guard for 4 yards (tackle by Travis LaBoy),-1.070,-1.420
4,7:52,3,10,CHI 10,20,31,Jay Cutler pass complete short middle to Matt Spaeth for 13 yards (tackle by Na'il Diggs),-1.420,0.480
4,7:06,1,10,CHI 23,20,31,Matt Forte left end for 1 yard (tackle by Na'il Diggs),0.480,0.070
4,6:21,2,9,CHI 24,20,31,Matt Forte right guard for 11 yards (tackle by Travis LaBoy),0.070,1.270
4,5:35,1,10,CHI 35,20,31,Marion Barber right guard for 3 yards (tackle by Antonio Garay),1.270,1.130
4,4:47,2,7,CHI 38,20,31,Marion Barber left guard for 4 yards (tackle by Takeo Spikes),1.130,0.960
4,4:02,3,3,CHI 42,20,31,Jay Cutler pass complete short middle to Matt Forte for 11 yards (tackle by Eric Weddle),0.960,2.460
4,3:16,1,10,SDG 47,20,31,Matt Forte left tackle for no gain (tackle by Corey Liuget),2.460,1.910
,,,,,,,"SDG challenged the runner was down by contact ruling, and the play was upheld.",,
4,3:11,,,,20,31,Timeout #3 by San Diego Chargers,0.000,1.910
4,3:11,2,10,SDG 47,20,31,Matt Forte left tackle for no gain (tackle by Steve Gregory and Donald Butler),1.910,1.220
4,2:24,3,10,SDG 47,20,31,Marion Barber right guard for 2 yards (tackle by Vaughn Martin),1.220,0.270
4,1:59,4,8,SDG 45,20,31,Adam Podlesh pass incomplete intended for Craig Steltz,0.270,-1.930
4,1:56,1,10,SDG 45,20,31,Philip Rivers pass incomplete short right intended for Vincent Brown is intercepted by Corey Graham at CHI-48 and returned for 10 yards (tackle by Patrick Crayton),1.930,-2.790
4,1:44,1,10,SDG 42,20,31,Jay Cutler kneels for -1 yards,2.790,2.110
4,1:03,2,11,SDG 43,20,31,Jay Cutler kneels for no gain,2.110,1.420
4,0:36,3,11,SDG 43,20,31,Jay Cutler kneels for -1 yards,1.420,0.330
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
