Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA
2,13:34,1,10,NOR 40,0,10,Alvin Kamara left guard for 3 yards (tackle by Cameron Heyward),1.600,1.460
2,12:54,2,7,NOR 43,0,10,Andy Dalton pass incomplete short left intended for Jarvis Landry,1.460,0.760
2,12:51,3,7,NOR 43,0,10,Andy Dalton pass incomplete deep right intended for Chris Olave (defended by Arthur Maulet),0.760,-0.520
2,12:45,4,7,NOR 43,0,10,"Blake Gillikin punts 46 yards, fair catch by Steven Sims at PIT-11",-0.520,0.370
2,12:38,1,10,PIT 11,0,10,Kenny Pickett scrambles up the middle for 3 yards (tackle by David Onyemata),-0.370,-0.530
2,11:57,2,7,PIT 14,0,10,Najee Harris left guard for -2 yards (tackle by Demario Davis),-0.530,-1.300
2,11:21,3,9,PIT 12,0,10,Kenny Pickett pass complete short right to George Pickens for 6 yards (tackle by Paulson Adebo),-1.300,-2.240
2,10:52,4,3,PIT 18,0,10,"Pressley Harvin punts 48 yards, fair catch by Rashid Shaheed at NO-34",-2.240,-1.200
2,10:44,1,10,NOR 34,0,10,Alvin Kamara right guard for 14 yards (tackle by Damontae Kazee),1.200,2.130
2,10:07,1,10,NOR 48,0,10,Andy Dalton pass complete short middle to Jarvis Landry for 11 yards (tackle by Damontae Kazee),2.130,2.850
2,9:31,1,10,PIT 41,0,10,Alvin Kamara right guard for 3 yards (tackle by Chris Wormley and Robert Spillane),2.850,2.710
2,8:53,2,7,PIT 38,0,10,Andy Dalton pass incomplete intended for Chris Olave,2.710,2.020
2,8:51,3,7,PIT 38,0,10,Andy Dalton pass complete short right to Rashid Shaheed for 12 yards (tackle by Damontae Kazee),2.020,3.840
2,8:09,1,10,PIT 26,0,10,Taysom Hill right tackle for -1 yards (tackle by Robert Spillane and Chris Wormley),3.840,3.160
2,7:26,2,11,PIT 27,0,10,Andy Dalton pass incomplete short left intended for Jarvis Landry,3.160,2.480
2,7:22,3,11,PIT 27,0,10,Andy Dalton scrambles left tackle for 1 yard (tackle by T.J. Watt),2.480,1.740
2,6:44,4,10,PIT 26,3,10,Wil Lutz 44 yard field goal good,1.740,3.000
2,6:40,,,NOR 35,3,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,6:40,1,10,PIT 25,3,10,Najee Harris up the middle for 1 yard (tackle by Demario Davis and Kaden Elliss),0.610,0.200
2,6:05,2,9,PIT 26,3,10,"Kenny Pickett pass incomplete short right intended for Diontae Johnson. Penalty on Paulson Adebo: Defensive Pass Interference, 5 yards (accepted) (no play)",0.200,1.000
2,6:01,1,10,PIT 31,3,10,Kenny Pickett pass complete short middle to Diontae Johnson for 9 yards (tackle by Tyrann Mathieu),1.000,1.680
2,5:17,2,1,PIT 40,3,10,Najee Harris left tackle for no gain (tackle by Carl Granderson),1.680,0.960
2,4:53,,,,,,Timeout #1 by New Orleans Saints,,
2,4:53,3,1,PIT 40,3,10,Derek Watt up the middle for 3 yards (tackle by Payton Turner),0.960,1.800
2,4:13,1,10,PIT 43,3,10,Kenny Pickett pass incomplete deep right intended for Pat Freiermuth,1.800,1.250
2,4:07,2,10,PIT 43,3,10,Kenny Pickett pass complete short right to Steven Sims for 15 yards (tackle by P.J. Williams),1.250,2.790
2,3:27,1,10,NOR 42,3,10,Kenny Pickett left end for 5 yards (tackle by Payton Turner),2.790,2.920
2,3:03,2,5,NOR 37,3,10,Jaylen Warren left guard for no gain (tackle by Payton Turner and P.J. Williams),2.920,2.210
2,2:26,3,5,NOR 37,3,10,Kenny Pickett sacked by Kaden Elliss for -7 yards,2.210,0.330
2,2:00,4,12,NOR 44,3,10,"Pressley Harvin punts 30 yards, fair catch by Rashid Shaheed at NO-14. Penalty on James Pierre: Kick Catch Interference, 15 yards (accepted)",0.330,-0.870
2,1:53,1,10,NOR 29,3,10,Andy Dalton pass complete short left to Jarvis Landry for 17 yards (tackle by Cameron Sutton),0.870,1.990
2,1:28,1,10,NOR 46,3,10,Andy Dalton sacked by Alex Highsmith for -8 yards,1.990,0.370
2,1:00,2,18,NOR 38,3,10,Andy Dalton pass complete short right to Chris Olave for 14 yards (tackle by Levi Wallace),0.370,1.550
2,0:40,3,4,PIT 48,3,10,Andy Dalton pass complete short right to Juwan Johnson for 10 yards (tackle by Robert Spillane),1.550,3.050
2,0:34,1,10,PIT 38,3,10,Andy Dalton pass complete short right to Juwan Johnson for 8 yards (tackle by Robert Spillane),3.050,3.590
2,0:29,2,2,PIT 30,3,10,"Andy Dalton pass incomplete deep right intended for Chris Olave. Penalty on Damontae Kazee: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",3.590,4.580
2,0:23,1,10,PIT 15,9,10,"Andy Dalton pass complete short right to Juwan Johnson for 15 yards, touchdown",4.580,7.000
2,0:19,,,PIT 15,10,10,Wil Lutz kicks extra point good,0.000,0.000
2,0:19,,,NOR 35,10,10,"Wil Lutz kicks off 63 yards, returned by Steven Sims for 27 yards (tackle by J.T. Gray)",0.000,0.870
2,0:13,1,10,PIT 29,10,10,Kenny Pickett scrambles up the middle for 12 yards (tackle by Tyrann Mathieu),0.870,1.660
2,0:05,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:05,1,10,PIT 41,10,10,Kenny Pickett sacked by and Carl Granderson for -7 yards and Cameron Jordan for -7 yards,1.660,0.180
Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,10,10,"Matthew Wright kicks off 53 yards, returned by Rashid Shaheed for 23 yards (tackle by Tre Norwood and Benny Snell)",0.000,1.270
3,14:57,1,10,NOR 35,10,10,"Andy Dalton pass complete short middle to Jarvis Landry for no gain (tackle by Robert Spillane). Penalty on Jarvis Landry: Offensive Pass Interference, 10 yards (accepted) (no play)",1.270,0.610
3,14:31,1,20,NOR 25,10,10,Andy Dalton pass complete short middle to Juwan Johnson for 8 yards (tackle by Cameron Sutton),0.610,0.450
3,13:53,2,12,NOR 33,10,10,Andy Dalton pass incomplete short left intended for Kevin White,0.450,-0.230
3,13:50,3,12,NOR 33,10,10,Andy Dalton pass incomplete short right intended for Adam Trautman,-0.230,-1.180
3,13:46,4,12,NOR 33,10,10,"Blake Gillikin punts 45 yards, returned by Steven Sims for 3 yards (tackle by Zack Baun and J.T. Gray). Penalty on Marcus Allen: Defensive Holding, 10 yards (accepted)",-1.180,0.220
3,13:34,1,10,PIT 15,10,10,Kenny Pickett scrambles right guard for 23 yards (tackle by P.J. Williams),-0.220,1.470
3,12:50,1,10,PIT 38,10,10,Najee Harris up the middle for 5 yards (tackle by Kaden Elliss and Cameron Jordan),1.470,1.600
3,12:09,2,5,PIT 43,10,10,Najee Harris right guard for 2 yards (tackle by Alontae Taylor),1.600,1.160
3,11:28,3,3,PIT 45,10,10,Kenny Pickett pass complete short middle to George Pickens for 12 yards (tackle by Cameron Jordan),1.160,2.720
3,11:06,1,10,NOR 43,10,10,George Pickens left end for 22 yards (tackle by P.J. Williams),2.720,4.170
3,10:25,1,10,NOR 21,10,10,"Kenny Pickett scrambles right end for 6 yards (tackle by P.J. Williams). Penalty on Alontae Taylor: Defensive Holding, 5 yards (accepted)",4.170,4.910
3,9:51,1,10,NOR 10,10,10,Kenny Pickett sacked by David Onyemata for -11 yards,4.910,2.870
3,9:08,2,21,NOR 21,10,10,Kenny Pickett pass incomplete deep left intended for Najee Harris,2.870,2.210
3,9:01,3,21,NOR 21,10,10,Kenny Pickett pass incomplete short right intended for Steven Sims,2.210,2.060
3,8:59,4,21,NOR 21,10,10,Matthew Wright 39 yard field goal no good,2.060,-0.870
3,8:55,1,10,NOR 29,10,10,Alvin Kamara right end for no gain (tackle by Devin Bush),0.870,0.330
3,8:16,2,10,NOR 29,10,10,Andy Dalton pass incomplete deep middle intended for Juwan Johnson,0.330,-0.360
3,8:09,,,,,,Timeout #1 by New Orleans Saints,,
3,8:09,3,10,NOR 29,10,10,Andy Dalton pass complete short left to Chris Olave for 14 yards (tackle by Levi Wallace),-0.360,1.800
3,7:27,1,10,NOR 43,10,10,Taysom Hill up the middle for 1 yard (tackle by Alex Highsmith and Montravius Adams),1.800,1.390
3,6:46,2,9,NOR 44,10,10,"Penalty on Calvin Throckmorton: False Start, 5 yards (accepted) (no play)",1.390,0.710
3,6:27,2,14,NOR 39,10,10,"Andy Dalton aborted snap, recovered by Andy Dalton at NO-34 and returned for 1 yard (tackle by Larry Ogunjobi and Alex Highsmith)",0.710,-0.490
3,5:49,3,18,NOR 35,10,10,Alvin Kamara left guard for 5 yards (tackle by Tre Norwood),-0.490,-0.720
3,5:14,4,13,NOR 40,10,10,Blake Gillikin punts 58 yards out of bounds,-0.720,0.380
3,5:05,1,10,PIT 2,10,10,Jaylen Warren up the middle for 1 yard (tackle by Kaden Elliss and Tanoh Kpassagnon),-0.380,-0.710
3,4:29,2,9,PIT 3,10,10,Kenny Pickett pass complete short left to Connor Heyward for 8 yards (tackle by Zack Baun),-0.710,-0.370
3,3:46,3,1,PIT 11,10,10,Kenny Pickett up the middle for 3 yards (tackle by Malcolm Roach),-0.370,-0.280
3,3:12,1,10,PIT 14,10,10,Kenny Pickett pass complete short middle to Pat Freiermuth for 12 yards (tackle by P.J. Williams),-0.280,0.670
3,2:49,1,10,PIT 26,10,10,Jaylen Warren up the middle for 3 yards (tackle by Paulson Adebo and Cameron Jordan),0.670,0.540
3,2:11,2,7,PIT 29,10,10,"Kenny Pickett pass incomplete short right intended for Zach Gentry. Penalty on Alontae Taylor: Illegal Contact, 5 yards (accepted) (no play)",0.540,1.200
3,2:05,1,10,PIT 34,10,10,Najee Harris right guard for 10 yards (tackle by Tyrann Mathieu and Carl Granderson),1.200,1.860
3,1:27,1,10,PIT 44,10,10,Kenny Pickett pass complete deep right to Diontae Johnson for 36 yards (tackle by Paulson Adebo),1.860,4.240
3,0:45,1,10,NOR 20,10,10,Najee Harris left tackle for 3 yards (tackle by Demario Davis and Carl Granderson),4.240,4.120
Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,NOR 17,10,10,Najee Harris up the middle for 5 yards (tackle by Malcolm Roach and Demario Davis),4.120,4.340
4,14:08,3,2,NOR 12,10,10,"Kenny Pickett sacked by Malcolm Roach for -3 yards Penalty on PIT: Illegal Formation, 5 yards (declined)",4.340,2.490
4,13:47,4,5,NOR 15,10,13,Matthew Wright 33 yard field goal good,2.490,3.000
4,13:43,,,PIT 35,10,13,"Matthew Wright kicks off 56 yards, returned by Rashid Shaheed for 16 yards (tackle by Arthur Maulet)",0.000,0.610
4,13:37,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,13:37,1,10,NOR 25,10,13,Jordan Howard up the middle for 1 yard (tackle by T.J. Watt),0.610,0.200
4,13:02,2,9,NOR 26,10,13,Andy Dalton pass complete short left to Adam Trautman for 4 yards (tackle by Devin Bush),0.200,0.040
4,12:22,3,5,NOR 30,10,13,Andy Dalton pass short middle (defended by Levi Wallace) intended for Jarvis Landry is intercepted by Damontae Kazee at NO-46 and returned for 2 yards (tackle by Jarvis Landry),0.040,-2.650
4,12:16,1,10,NOR 44,10,13,"Najee Harris left tackle for 2 yards. Najee Harris fumbles (forced by Kaden Elliss), recovered by Chukwuma Okorafor at NO-42",2.650,2.380
4,11:34,2,8,NOR 42,10,13,Kenny Pickett pass complete short middle to Jaylen Warren for 26 yards (tackle by Kaden Elliss),2.380,4.510
4,10:54,1,10,NOR 16,10,13,Jaylen Warren right guard for 4 yards (tackle by Tyrann Mathieu and Shy Tuttle),4.510,4.570
4,10:15,2,6,NOR 12,10,13,Kenny Pickett pass incomplete short right,4.570,3.730
4,10:07,3,6,NOR 12,10,13,Kenny Pickett pass complete short right to Jaylen Warren for 7 yards (tackle by Paulson Adebo),3.730,6.060
4,9:29,1,5,NOR 5,10,13,Najee Harris up the middle for no gain (tackle by Kaden Elliss and Zack Baun),6.060,5.150
4,8:48,2,5,NOR 5,10,13,Kenny Pickett pass incomplete short right intended for Zach Gentry (defended by Cameron Jordan),5.150,4.260
4,8:44,3,5,NOR 5,10,13,"Kenny Pickett pass incomplete short right intended for Pat Freiermuth. Penalty on Paulson Adebo: Defensive Pass Interference, 4 yards (accepted) (no play)",4.260,6.970
4,8:40,1,1,NOR 1,10,19,"Kenny Pickett right guard for 1 yard, touchdown",6.970,7.000
4,8:38,,,NOR 15,10,20,Matthew Wright kicks extra point good,0.000,0.000
4,8:38,,,PIT 35,10,20,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
4,8:38,1,10,NOR 25,10,20,Andy Dalton pass complete short middle to Jarvis Landry for 9 yards (tackle by Levi Wallace),0.610,1.280
4,8:13,2,1,NOR 34,10,20,Andy Dalton pass incomplete deep middle intended for Juwan Johnson (defended by Levi Wallace),1.280,0.560
4,8:07,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,8:07,3,1,NOR 34,10,20,Alvin Kamara up the middle for no gain (tackle by Cameron Heyward and Larry Ogunjobi),0.560,-1.110
4,7:47,4,1,NOR 34,10,20,Andy Dalton up the middle for no gain (tackle by Robert Spillane),-1.110,-3.310
4,7:44,1,10,NOR 34,10,20,Najee Harris right guard for 2 yards (tackle by David Onyemata and Shy Tuttle),3.310,3.040
4,7:04,2,8,NOR 32,10,20,Kenny Pickett sacked by Tanoh Kpassagnon for -5 yards,3.040,1.690
4,6:23,3,13,NOR 37,10,20,Kenny Pickett pass complete short right to Pat Freiermuth for 7 yards (tackle by P.J. Williams),1.690,1.430
4,5:39,4,6,NOR 30,10,20,Matthew Wright 48 yard field goal no good,1.430,-1.470
4,5:33,1,10,NOR 38,10,20,"Andy Dalton sacked by Alex Highsmith for -9 yards. Andy Dalton fumbles (forced by Alex Highsmith), recovered by Andy Dalton at NO-29 (tackle by Alex Highsmith)",1.470,-0.290
4,5:10,2,19,NOR 29,10,20,Andy Dalton pass complete short right to Alvin Kamara for 10 yards (tackle by Levi Wallace),-0.290,0.370
4,4:30,3,9,NOR 39,10,20,Andy Dalton pass intended for Kevin White is intercepted by Levi Wallace at PIT-26 and returned for no gain (tackle by Kevin White),0.370,-0.670
4,4:23,1,10,PIT 26,10,20,Najee Harris up the middle for 2 yards (tackle by Carl Granderson and Kentavius Street),0.670,0.400
4,3:44,2,8,PIT 28,10,20,Najee Harris left guard for 6 yards (tackle by P.J. Williams),0.400,0.500
4,3:35,,,,,,Timeout #2 by New Orleans Saints,,
4,3:35,3,2,PIT 34,10,20,Steven Sims left end for 3 yards (tackle by Alontae Taylor),0.500,1.400
4,2:56,1,10,PIT 37,10,20,Jaylen Warren up the middle for no gain (tackle by Tanoh Kpassagnon),1.400,0.860
4,2:15,2,10,PIT 37,10,20,Najee Harris up the middle for 2 yards (tackle by Payton Turner),0.860,0.430
4,2:00,3,8,PIT 39,10,20,Jaylen Warren right end for 21 yards (tackle by Demario Davis),0.430,2.920
4,1:53,1,10,NOR 40,10,20,Jaylen Warren up the middle for 4 yards (tackle by Malcolm Roach and P.J. Williams),2.920,2.910
4,1:49,,,,,,Timeout #3 by New Orleans Saints,,
4,1:49,2,6,NOR 36,10,20,Najee Harris right guard for 5 yards (tackle by Tyrann Mathieu),2.910,2.870
4,1:04,3,1,NOR 31,10,20,Derek Watt left guard for 2 yards (tackle by Kentavius Street),2.870,3.640
4,0:22,1,10,NOR 29,10,20,Kenny Pickett kneels for -2 yards,3.640,2.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
