Quarter,Time,Down,ToGo,Location,SDG,MIN,Detail,EPB,EPA
2,8:27,1,10,MIN 10,7,7,Tarvaris Jackson pass complete short middle to Adrian L. Peterson for 19 yards (tackle by Drayton Florence),-0.380,0.870
2,8:07,1,10,MIN 29,7,7,Adrian L. Peterson left end for no gain (tackle by Matt Wilhelm and Shawne Merriman),0.870,0.330
2,7:24,2,10,MIN 29,7,7,Tarvaris Jackson pass incomplete,0.330,-0.360
2,7:14,3,10,MIN 29,7,7,Tarvaris Jackson pass incomplete deep right intended for Aundrae Allison. Penalty on Jim Kleinsasser: Offensive Holding (Declined),-0.360,-1.440
2,7:08,4,10,MIN 29,7,7,Chris Kluwe punts 39 yards,-1.440,-1.070
2,6:57,1,10,SDG 32,7,7,LaDainian Tomlinson left guard for no gain (tackle by Ben Leber and Pat Williams),1.070,0.530
2,6:20,2,10,SDG 32,7,7,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,0.530,-0.160
2,6:14,3,10,SDG 32,7,7,Philip Rivers pass incomplete deep right intended for Vincent Jackson,-0.160,-1.240
2,6:07,4,10,SDG 32,7,7,"Mike Scifres punts 52 yards, out of bounds",-1.240,0.140
2,5:58,1,10,MIN 16,7,7,Tarvaris Jackson up the middle for 9 yards (tackle by Matt Wilhelm),-0.140,0.690
2,5:23,2,1,MIN 25,7,7,"Adrian L. Peterson left end for 17 yards (tackle by Marlon McCree). Penalty on Anthony Herrera: Offensive Holding, 10 yards, Penalty on Jim Kleinsasser: Offensive Holding (Declined) (no play)",0.690,-0.780
2,4:57,2,11,MIN 15,7,7,Adrian L. Peterson up the middle for 5 yards (tackle by Luis Castillo and Matt Wilhelm),-0.780,-0.820
2,4:16,3,6,MIN 20,7,7,Tarvaris Jackson pass incomplete short middle intended for Sidney Rice,-0.820,-2.030
2,4:12,4,6,MIN 20,7,7,"Chris Kluwe punts 68 yards, returned by Darren Sproles for 19 yards (tackle by Heath Farwell)",-2.030,-1.000
2,3:59,1,10,SDG 31,7,7,LaDainian Tomlinson up the middle for 6 yards (tackle by Ben Leber),1.000,1.270
2,3:23,2,4,SDG 37,7,7,LaDainian Tomlinson up the middle for no gain (tackle by Fred Evans and Chad Greenway),1.270,0.560
2,2:42,3,4,SDG 37,7,7,Philip Rivers pass incomplete short middle intended for Chris Chambers (defended by Cedric Griffin),0.560,-0.910
2,2:38,4,4,SDG 37,7,7,"Mike Scifres punts 63 yards, touchback",-0.910,-0.280
2,2:24,1,10,MIN 20,7,7,Adrian L. Peterson up the middle for 7 yards (tackle by Matt Wilhelm),0.280,0.680
2,2:00,2,3,MIN 27,7,7,Adrian L. Peterson right tackle for -2 yards (tackle by Clinton Hart),0.680,-0.300
2,1:20,3,5,MIN 25,7,7,Adrian L. Peterson left guard for 6 yards (tackle by Clinton Hart and Marques Harris),-0.300,1.000
2,0:46,3,5,MIN 25,7,7,Timeout #1 by Minnesota Vikings,-0.300,1.000
2,0:46,1,10,MIN 31,7,7,"Tarvaris Jackson pass incomplete short right intended for Chester Taylor. Penalty on Cletis Gordon: Defensive Holding, 5 yards (no play)",1.000,1.330
2,0:40,1,10,MIN 36,7,7,Tarvaris Jackson for 10 yards (tackle by Eric Weddle),1.330,1.990
2,0:31,1,10,MIN 46,7,7,Brooks Bollinger sacked by Luis Castillo for -8 yards,1.990,0.370
2,0:25,1,10,MIN 46,7,7,Timeout #2 by Minnesota Vikings,1.990,0.370
2,0:25,2,18,MIN 38,7,7,"Penalty on Ryon Bingham: Defensive Offside, 5 yards (no play)",0.370,1.050
2,0:20,2,13,MIN 43,7,7,Brooks Bollinger pass complete short middle to Bobby Wade for 12 yards (tackle by Stephen Cooper),1.050,1.950
2,0:07,3,1,SDG 45,7,7,Brooks Bollinger spiked the ball,1.950,0.270
2,0:06,4,1,SDG 45,7,7,Brooks Bollinger pass complete short right to Sidney Rice for 6 yards,0.270,2.980
2,0:04,1,10,SDG 39,13,7,"Ryan Longwell 57 yard field goal no good, returned by Antonio Cromartie for 109 yards, touchdown",2.980,-7.000
2,0:00,,,MIN 2,14,7,Nate Kaeding kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,SDG,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,14,7,"Nate Kaeding kicks off 71 yards, returned by Aundrae Allison for 18 yards (tackle by Steve Gregory)",0.000,-0.060
3,14:57,1,10,MIN 17,14,7,Brooks Bollinger pass incomplete short right intended for Tony Richardson,-0.060,-0.580
3,14:51,2,10,MIN 17,14,7,Adrian L. Peterson right guard for 6 yards (tackle by Luis Castillo),-0.580,-0.490
3,14:19,3,4,MIN 23,14,7,Brooks Bollinger pass complete short left to Robert Ferguson for 5 yards (tackle by Antonio Cromartie),-0.490,0.810
3,13:42,1,10,MIN 28,14,7,Brooks Bollinger pass incomplete short left intended for Robert Ferguson,0.810,0.260
3,13:36,2,10,MIN 28,14,7,Brooks Bollinger pass complete short middle to Robert Ferguson for 8 yards (tackle by Clinton Hart),0.260,0.630
3,12:55,3,2,MIN 36,14,13,"Adrian L. Peterson left tackle for 64 yards, touchdown",0.630,7.000
3,12:55,,,SDG 2,14,14,Ryan Longwell kicks extra point good,0.000,0.000
3,12:55,,,MIN 30,14,14,"Ryan Longwell kicks off 72 yards, returned by Darren Sproles for 22 yards (tackle by Eric Frampton)",0.000,0.280
3,12:40,1,10,SDG 20,14,14,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by Chad Greenway at SDG-20 (tackle by Cory Withrow)",0.280,-4.240
3,12:36,1,10,SDG 20,14,14,Adrian L. Peterson up the middle for 5 yards (tackle by Clinton Hart),4.240,4.450
3,11:55,2,5,SDG 15,14,14,Adrian L. Peterson up the middle for -2 yards (tackle by Matt Wilhelm),4.450,3.360
3,11:16,3,7,SDG 17,14,14,Brooks Bollinger pass complete short right to Visanthe Shiancoe for 8 yards (tackle by Drayton Florence and Cletis Gordon),3.360,5.140
3,10:30,1,9,SDG 9,14,14,Chester Taylor right guard for 6 yards (tackle by Marlon McCree),5.140,5.530
3,9:47,2,3,SDG 3,14,14,"Chester Taylor left guard for -1 yards (tackle by Carlos Polk). Chester Taylor fumbles (forced by Carlos Polk), recovered by Marlon McCree at SDG-4 and returned for 2 yards",5.530,0.380
3,9:39,1,10,SDG 6,14,14,LaDainian Tomlinson up the middle for -1 yards (tackle by Pat Williams),-0.380,-0.850
3,9:11,2,11,SDG 5,14,14,Philip Rivers pass incomplete short middle intended for Chris Chambers,-0.850,-1.540
,,,,,,,"SDG challenged the pass completion ruling, and the play was upheld.",,
3,8:52,3,11,SDG 5,14,14,"Philip Rivers up the middle for 5 yards. Penalty on Pat Williams: Face Mask (15 Yards), 15 yards",-1.540,0.610
3,8:31,1,10,SDG 25,14,14,LaDainian Tomlinson up the middle for -1 yards (tackle by Kenechi Udeze),0.610,-0.070
3,7:46,2,11,SDG 24,14,14,Philip Rivers pass complete short middle to Chris Chambers for 6 yards (tackle by Pat Williams),-0.070,0.040
3,7:00,3,5,SDG 30,14,14,Philip Rivers pass incomplete,0.040,-1.370
3,6:56,4,5,SDG 30,14,14,"Mike Scifres punts 60 yards, returned by Mewelde Moore for 9 yards (tackle by Carlos Polk)",-1.370,-0.150
3,6:44,1,10,MIN 19,14,14,Adrian L. Peterson right guard for 6 yards (tackle by Stephen Cooper and Matt Wilhelm),0.150,0.480
3,6:44,2,4,MIN 25,14,14,Adrian L. Peterson right end for 10 yards (tackle by Shawne Merriman),0.480,1.270
3,5:28,1,10,MIN 35,14,14,Adrian L. Peterson left end for 13 yards (tackle by Matt Wilhelm),1.270,2.130
3,4:43,1,10,MIN 48,14,14,Chester Taylor right end for 7 yards (tackle by Jamal Williams and Jacques Cesaire),2.130,2.530
3,4:00,2,3,SDG 45,14,14,Adrian L. Peterson right guard for 5 yards (tackle by Shawne Merriman and Clinton Hart),2.530,2.920
3,3:15,1,10,SDG 40,14,20,"Brooks Bollinger pass complete deep right to Sidney Rice for 40 yards, touchdown",2.920,7.000
3,3:15,,,SDG 2,14,21,Ryan Longwell kicks extra point good,0.000,0.000
3,3:15,,,MIN 30,14,21,"Ryan Longwell kicks off 75 yards, touchback",0.000,0.280
3,3:07,1,10,SDG 20,14,21,Philip Rivers pass complete short left to Vincent Jackson for 16 yards (tackle by Cedric Griffin),0.280,1.330
3,2:26,1,10,SDG 36,14,21,Philip Rivers pass complete short middle to Antonio Gates for 10 yards (tackle by Cedric Griffin). Penalty on Cedric Griffin: Illegal Use of Hands (Declined),1.330,1.990
3,2:06,1,10,SDG 46,14,21,"Philip Rivers sacked by Ray Edwards for -8 yards. Philip Rivers fumbles (forced by Ray Edwards), recovered by Philip Rivers at SDG-36",1.990,0.100
3,1:29,1,10,SDG 46,14,21,Timeout #2 by San Diego Chargers,1.990,0.100
3,1:29,2,20,SDG 36,14,21,Philip Rivers pass complete deep middle to Chris Chambers for 16 yards (tackle by Marcus McCauley),0.100,1.550
3,0:43,3,4,MIN 48,14,21,"Philip Rivers pass complete short middle to Brandon Manumaleuna for 6 yards (tackle by Ben Leber). Penalty on SDG: Illegal Formation, 5 yards (no play)",1.550,0.890
3,0:21,3,9,SDG 47,14,21,Philip Rivers pass complete deep right to Chris Chambers for 19 yards,0.890,3.310
3,0:08,1,10,MIN 34,14,21,Philip Rivers pass complete short right to Brandon Manumaleuna for 7 yards (tackle by Marcus McCauley),3.310,3.720
Quarter,Time,Down,ToGo,Location,SDG,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,MIN 27,14,21,"Penalty on Pat Williams: Encroachment, 5 yards (no play)",3.720,4.110
4,15:00,1,10,MIN 22,14,21,LaDainian Tomlinson right guard for 5 yards (tackle by E.J. Henderson and Erasmus James),4.110,4.290
4,14:23,2,5,MIN 17,14,21,Philip Rivers pass incomplete deep right intended for Vincent Jackson,4.290,3.560
4,14:17,3,5,MIN 17,14,21,Philip Rivers pass incomplete short left intended for Vincent Jackson,3.560,2.360
4,14:09,4,5,MIN 17,17,21,Nate Kaeding 36 yard field goal good,2.360,3.000
4,14:09,,,SDG 30,17,21,"Nate Kaeding kicks off 74 yards, touchback",0.000,0.280
4,14:09,1,10,MIN 20,17,21,Adrian L. Peterson right guard for 16 yards (tackle by Stephen Cooper),0.280,1.330
4,13:23,1,10,MIN 36,17,21,Adrian L. Peterson up the middle for 19 yards (tackle by Marlon McCree),1.330,2.590
4,12:41,1,10,SDG 45,17,21,"Brooks Bollinger pass complete short left to Chester Taylor for 8 yards (tackle by Carlos Polk). Penalty on Jeff Dugan: Offensive Holding, 10 yards (no play)",2.590,1.930
4,12:15,1,20,MIN 45,17,21,Adrian L. Peterson up the middle for 5 yards (tackle by Clinton Hart and Matt Wilhelm),1.930,1.370
4,11:31,2,15,,17,21,Adrian L. Peterson left tackle for 3 yards (tackle by Ryon Bingham),1.370,1.090
4,10:48,3,12,SDG 47,17,21,Brooks Bollinger pass complete short left to Chester Taylor for 16 yards (tackle by Antonio Cromartie),1.090,3.510
4,10:17,1,10,SDG 31,17,21,"Adrian L. Peterson left guard for 12 yards (tackle by Igor Olshansky). Adrian L. Peterson fumbles (forced by Igor Olshansky), recovered by Drayton Florence at SDG-15",3.510,-0.410
4,10:07,1,10,SDG 22,17,21,"Philip Rivers pass complete deep right to Chris Chambers for 40 yards (tackle by Marcus McCauley). Penalty on Vincent Jackson: Illegal Formation, 5 yards (no play)",0.410,-0.120
4,9:35,1,15,SDG 17,17,21,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by Philip Rivers at SDG-15",-0.120,-1.210
4,9:03,2,17,SDG 15,17,21,Philip Rivers pass complete short middle to LaDainian Tomlinson for 10 yards (tackle by Darren Sharper),-1.210,-0.430
4,8:19,3,7,SDG 25,17,21,Philip Rivers pass complete short left to LaDainian Tomlinson for 4 yards (tackle by Tank Williams),-0.430,-1.440
4,8:14,4,3,SDG 29,17,21,"Mike Scifres punts 59 yards, returned by Mewelde Moore for 42 yards (tackle by Marques Harris)",-1.440,-2.520
4,7:54,1,10,SDG 46,17,27,"Adrian L. Peterson right end for 46 yards, touchdown",2.520,7.000
4,7:54,,,SDG 2,17,28,Ryan Longwell kicks extra point good,0.000,0.000
4,7:54,,,MIN 30,17,28,"Ryan Longwell kicks off 75 yards, touchback",0.000,0.280
4,7:44,1,10,SDG 20,17,28,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,0.280,-0.270
4,7:41,2,10,SDG 20,17,28,Philip Rivers pass incomplete deep middle intended for Antonio Gates,-0.270,-0.960
4,7:37,3,10,SDG 20,17,28,"Philip Rivers pass incomplete short right intended for Antonio Gates is intercepted by Charles Gordon at SDG-25. Penalty on Charles Gordon: Unsportsmanlike Conduct, 15 yards",-0.960,-2.920
4,7:30,1,10,SDG 40,17,28,Adrian L. Peterson left end for 7 yards (tackle by Matt Wilhelm),2.920,3.320
4,6:45,2,3,SDG 33,17,28,"Adrian L. Peterson right end for -1 yards (tackle by Drayton Florence). Penalty on Ryan Cook: Offensive Holding, 10 yards (no play)",3.320,1.970
4,6:17,2,13,SDG 43,17,28,Chester Taylor up the middle for 34 yards (tackle by Matt Wilhelm),1.970,5.140
4,5:24,1,9,SDG 9,17,28,Chester Taylor left guard for 5 yards (tackle by Marlon McCree),5.140,5.340
4,4:41,2,4,SDG 4,17,28,"Chester Taylor left guard for no gain (tackle by Igor Olshansky and Marlon McCree). Penalty on Drayton Florence: Unsportsmanlike Conduct, 2 yards",5.340,6.740
4,4:33,1,2,SDG 2,17,34,"Chester Taylor left end for 2 yards, touchdown",6.740,7.000
4,4:33,,,SDG 2,17,35,Ryan Longwell kicks extra point good,0.000,0.000
4,4:33,,,MIN 30,17,35,"Ryan Longwell kicks off 69 yards, returned by Darren Sproles for 37 yards (tackle by Ronyell Whitaker)",0.000,1.470
4,4:22,1,10,SDG 38,17,35,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.470,0.920
4,4:19,2,10,SDG 38,17,35,Philip Rivers pass complete short middle to LaDainian Tomlinson for 6 yards (tackle by Marcus McCauley),0.920,1.020
4,4:12,3,4,SDG 44,17,35,Philip Rivers pass complete deep left to Chris Chambers for 17 yards (tackle by Dwight Smith),1.020,2.980
4,3:44,1,10,MIN 39,17,35,Philip Rivers pass incomplete deep right intended for Vincent Jackson (defended by Marcus McCauley),2.980,2.440
4,3:37,2,10,MIN 39,17,35,Philip Rivers pass complete short left to Kassim Osgood for 15 yards,2.440,3.970
4,3:31,1,10,MIN 24,17,35,Philip Rivers pass complete short middle to Kassim Osgood for 8 yards (tackle by Tank Williams),3.970,4.650
4,3:09,2,2,MIN 16,17,35,LaDainian Tomlinson right tackle for 2 yards (tackle by Kenechi Udeze),4.650,4.650
4,2:43,1,10,MIN 14,17,35,Philip Rivers pass complete short middle to LaDainian Tomlinson for 4 yards (tackle by Charles Gordon),4.650,4.710
4,2:16,2,6,MIN 10,17,35,Philip Rivers pass incomplete (defended by Kevin Williams),4.710,3.820
4,2:12,3,6,MIN 10,17,35,Philip Rivers pass incomplete short left intended for Antonio Gates (defended by Cedric Griffin),3.820,2.790
4,2:07,4,6,MIN 10,17,35,Philip Rivers pass incomplete short left intended for Chris Chambers,2.790,0.380
4,1:58,1,10,MIN 10,17,35,"Adrian L. Peterson up the middle for 35 yards (tackle by Marlon McCree). Penalty on Marlon McCree: Unnecessary Roughness, 15 yards",-0.380,2.920
4,1:45,1,10,SDG 40,17,35,Chester Taylor up the middle for 6 yards (tackle by Matt Wilhelm),2.920,3.180
4,1:04,2,4,SDG 34,17,35,Adrian L. Peterson up the middle for 3 yards (tackle by Jamal Williams),3.180,2.870
4,0:17,3,1,SDG 31,17,35,Brooks Bollinger kneels for -1 yards,2.870,1.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
