Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
3,11:15,1,10,WAS 25,31,7,Tua Tagovailoa pass complete short right to Jaylen Waddle for 3 yards (tackle by Kendall Fuller),3.910,3.770
3,10:30,2,7,WAS 22,31,7,Tua Tagovailoa pass complete short middle to Julian Hill for 18 yards (tackle by Quan Martin),3.770,6.280
3,9:41,1,4,WAS 4,37,7,"De'Von Achane left guard for 4 yards, touchdown",6.280,7.000
3,9:36,,,WAS 15,38,7,Jason Sanders kicks extra point good,0.000,0.000
3,9:36,,,MIA 35,38,7,"Penalty on Christian Holmes: Defensive Offside, 5 yards (accepted) (no play)",0.000,0.000
3,9:36,,,MIA 40,38,7,"Jason Sanders kicks off 60 yards, touchback.",0.000,0.610
3,9:36,1,10,WAS 25,38,7,Antonio Gibson left tackle for 6 yards (tackle by Christian Wilkins and David Long),0.610,0.870
3,8:58,2,4,WAS 31,38,7,Sam Howell pass complete deep right to Antonio Gibson for 32 yards,0.870,3.120
3,8:14,1,10,MIA 37,38,7,Antonio Gibson right guard for 2 yards (tackle by David Long),3.120,2.840
3,7:36,2,8,MIA 35,38,7,Chris Rodriguez right guard for 4 yards (tackle by Andrew Van Ginkel),2.840,2.680
3,6:55,3,4,MIA 31,38,7,Sam Howell pass complete short left to Jahan Dotson for 11 yards,2.680,4.240
3,6:14,1,10,MIA 20,38,7,Sam Howell pass incomplete short left intended for Terry McLaurin (defended by DeShon Elliott),4.240,3.690
3,6:06,2,10,MIA 20,38,7,Antonio Gibson left end for 2 yards (tackle by Brandon Jones),3.690,3.220
3,5:25,3,8,MIA 18,38,7,Sam Howell pass complete short right to Antonio Gibson for 5 yards (tackle by Duke Riley),3.220,2.670
3,4:39,4,3,MIA 13,38,13,"Sam Howell scrambles for 13 yards, touchdown",2.670,7.000
3,4:31,,,MIA 2,38,15,Two Point Attempt: Sam Howell pass complete to to Logan Thomas for no gain,1.000,1.000
3,4:31,,,WAS 35,38,15,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,4:31,1,10,MIA 25,38,15,De'Von Achane right end for 8 yards (tackle by Jamin Davis),0.610,1.010
3,3:49,2,3,MIA 32,38,15,"De'Von Achane for no gain. Penalty on Julian Hill: Offensive Holding, 10 yards (accepted) (no play)",1.010,-0.210
3,3:17,2,12,MIA 23,38,15,Tua Tagovailoa pass incomplete short right intended for De'Von Achane,-0.210,-0.890
3,3:10,3,12,MIA 23,38,15,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by Percy Butler),-0.890,-1.830
3,3:05,4,12,MIA 23,38,15,"Jake Bailey punts 47 yards, returned by Jamison Crowder for 11 yards (tackle by David Long and Duke Riley)",-1.830,-1.660
3,2:54,1,10,WAS 41,38,15,Sam Howell pass complete short left to Antonio Gibson for 6 yards (tackle by Jalen Ramsey),1.660,1.930
3,2:21,2,4,WAS 47,38,15,Antonio Gibson up the middle for 1 yard (tackle by Bradley Chubb and David Long),1.930,1.360
3,1:39,3,3,WAS 48,38,15,Chris Rodriguez right guard for 15 yards (tackle by Andrew Van Ginkel),1.360,3.120
3,0:54,1,10,MIA 37,38,15,Sam Howell pass incomplete deep right,3.120,2.570
3,0:45,2,10,MIA 37,38,15,Antonio Gibson left end for no gain (tackle by Duke Riley and Emmanuel Ogbah),2.570,1.880
Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,MIA 37,38,15,Sam Howell pass complete short left to Cole Turner for 2 yards (tackle by Nik Needham),1.880,0.970
4,14:20,4,8,MIA 35,38,15,Joey Slye 53 yard field goal no good,0.970,-1.800
4,14:15,1,10,MIA 43,38,15,De'Von Achane left end for 7 yards (tackle by Percy Butler),1.800,2.200
4,13:38,2,3,WAS 50,38,15,Tua Tagovailoa pass complete short right to Julian Hill for 5 yards (tackle by Quan Martin),2.200,2.590
4,12:55,1,10,WAS 45,38,15,De'Von Achane left end for 3 yards (tackle by Khaleke Hudson and Jamin Davis),2.590,2.450
4,12:17,2,7,WAS 42,38,15,De'Von Achane up the middle for 2 yards (tackle by Daron Payne),2.450,2.010
4,11:39,3,5,WAS 40,38,15,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle (defended by Jamin Davis),2.010,0.590
4,11:30,4,5,WAS 40,38,15,Jake Bailey punts 34 yards downed by Elijah Campbell,0.590,0.380
4,11:23,1,10,WAS 6,38,15,Sam Howell pass incomplete short right intended for Antonio Gibson (defended by Andrew Van Ginkel),-0.380,-0.780
4,11:20,2,10,WAS 6,38,15,Antonio Gibson left end for 9 yards (tackle by David Long),-0.780,-0.370
4,10:36,3,1,WAS 15,38,15,Chris Rodriguez right guard for -2 yards (tackle by David Long and Andrew Van Ginkel),-0.370,-2.490
4,9:57,4,3,WAS 13,38,15,"Tress Way punts 51 yards, returned by Braxton Berrios for 5 yards (tackle by Joshua Pryor and Terrell Burgess)",-2.490,-1.660
4,9:47,1,10,MIA 41,38,15,De'Von Achane left guard for 6 yards (tackle by Kamren Curl),1.660,1.930
4,9:09,2,4,MIA 47,38,15,De'Von Achane left end for 6 yards (tackle by Khaleke Hudson),1.930,2.460
4,8:31,1,10,WAS 47,38,15,De'Von Achane right end for 2 yards (tackle by Cody Barton),2.460,2.180
4,7:53,2,8,WAS 45,38,15,De'Von Achane right end for 7 yards (tackle by Cody Barton),2.180,2.410
4,7:15,3,1,WAS 38,38,15,De'Von Achane up the middle for 15 yards (tackle by Kendall Fuller),2.410,4.040
4,6:36,1,10,WAS 23,38,15,De'Von Achane right end for 5 yards (tackle by Kendall Fuller),4.040,4.210
4,5:52,2,5,WAS 18,38,15,Jeff Wilson for 1 yard (tackle by Quan Martin),4.210,3.660
4,5:17,3,4,WAS 17,38,15,Jeff Wilson up the middle for 3 yards (tackle by Jamin Davis),3.660,2.660
4,4:37,4,1,WAS 14,38,15,Jeff Wilson right tackle for 6 yards (tackle by Quan Martin),2.660,5.370
4,4:00,1,8,WAS 8,38,15,Jeff Wilson right end for 1 yard (tackle by Khaleke Hudson and Cody Barton),5.370,4.760
4,3:22,2,7,WAS 7,38,15,De'Von Achane left end for 2 yards (tackle by Cody Barton and Casey Toohill),4.760,4.260
4,2:38,3,5,WAS 5,38,15,Mike White pass complete short middle to River Cracraft for 3 yards (tackle by Kendall Fuller and Percy Butler),4.260,3.250
4,2:00,4,2,WAS 2,44,15,"De'Von Achane left end for 2 yards, touchdown",3.250,7.000
4,1:57,,,WAS 15,45,15,Jason Sanders kicks extra point good,0.000,0.000
4,1:57,,,MIA 35,45,15,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,1:57,1,10,WAS 25,45,15,Chris Rodriguez up the middle for 5 yards (tackle by Duke Riley and Channing Tindall),0.610,0.740
4,1:16,2,5,WAS 30,45,15,Chris Rodriguez right guard for 3 yards (tackle by Channing Tindall),0.740,0.430
4,0:37,3,2,WAS 33,45,15,Chris Rodriguez right guard for 1 yard (tackle by Channing Tindall and David Long),0.430,-1.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
