Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
2,12:29,1,10,NYG 44,3,0,Todd Collins pass complete short left to Todd Yoder for 30 yards (tackle by Kevin Dockery),2.650,4.650
2,11:50,1,10,NYG 14,3,0,Clinton Portis left end for -2 yards (tackle by Antonio Pierce),4.650,3.720
2,11:13,2,12,NYG 16,3,0,Clinton Portis right end for 3 yards (tackle by Reggie Torbor and Kevin Dockery),3.720,3.260
2,10:26,3,9,NYG 13,3,0,Todd Collins pass incomplete short left intended for Chris Cooley (defended by Kevin Dockery),3.260,2.570
2,10:17,4,9,NYG 13,6,0,Shaun Suisham 31 yard field goal good,2.570,3.000
2,,,,WAS 30,6,0,"Shaun Suisham kicks off 67 yards, returned by Ahmad Bradshaw for 11 yards (tackle by Rock Cartwright)",0.000,-0.280
2,10:05,1,10,NYG 14,6,0,Ahmad Bradshaw left tackle for 8 yards (tackle by London Fletcher and Marcus Washington),-0.280,0.420
2,9:25,2,2,NYG 22,6,0,Eli Manning pass complete short left to Jeremy Shockey for 3 yards (tackle by Reed Doughty),0.420,0.610
2,8:53,1,10,NYG 25,6,0,Eli Manning pass incomplete short right intended for Michael Matthews,0.610,0.060
2,8:39,2,10,NYG 25,6,0,Eli Manning pass incomplete short right intended for Amani Toomer,0.060,-0.620
2,8:33,3,10,NYG 25,6,0,Eli Manning pass incomplete deep middle intended for Amani Toomer (defended by Reed Doughty),-0.620,-1.700
2,8:26,4,10,NYG 25,6,0,Jeff Feagles punts 35 yards,-1.700,-1.600
2,8:18,1,10,WAS 40,6,0,Clinton Portis left tackle for no gain (tackle by Justin Tuck),1.600,1.050
2,7:43,2,10,WAS 40,6,0,Todd Collins pass incomplete short left intended for Mike Sellers,1.050,0.370
2,7:31,3,10,WAS 40,6,0,Todd Collins pass complete short middle to Santana Moss for 5 yards (tackle by Sam Madison). Penalty on Chris Cooley: Offensive Pass Interference (Declined),0.370,-0.390
2,7:08,4,5,WAS 45,6,0,Derrick Frost punts 51 yards,-0.390,0.380
2,6:46,1,10,NYG 4,6,0,Eli Manning pass incomplete deep right intended for Amani Toomer,-0.380,-0.780
2,6:39,2,10,NYG 4,6,0,Brandon Jacobs left guard for 1 yard (tackle by Anthony Montgomery),-0.780,-1.300
2,6:03,3,9,NYG 5,6,0,Eli Manning pass complete short right to Sinorice Moss for 8 yards (tackle by Leigh Torrence),-1.300,-2.490
2,5:32,4,1,NYG 13,6,0,"Jeff Feagles punts 48 yards, out of bounds. Penalty on Zak DeOssie: Ineligible Downfield Kick, 5 yards (no play)",-2.490,-2.490
2,5:20,4,6,NYG 8,6,0,Jeff Feagles punts 42 yards,-2.490,-2.260
2,5:12,1,10,,6,0,Todd Collins pass incomplete deep middle intended for Santana Moss,2.260,1.710
2,5:04,2,10,,6,0,Clinton Portis right guard for 1 yard (tackle by Fred Robbins),1.710,1.160
2,4:28,3,9,NYG 49,6,0,Todd Collins pass complete deep right to Santana Moss for 34 yards (tackle by Kevin Dockery),1.160,4.580
2,4:04,1,10,NYG 15,6,0,Clinton Portis left tackle for 1 yard (tackle by Barry Cofield and Kawika Mitchell),4.580,4.110
2,3:23,2,9,NYG 14,6,0,Todd Collins pass incomplete short middle intended for Santana Moss (defended by Sam Madison),4.110,3.240
2,3:14,3,9,NYG 14,12,0,"Ladell Betts up the middle for 14 yards, touchdown",3.240,7.000
2,,,,NYG 2,13,0,Shaun Suisham kicks extra point good,0.000,0.000
