Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,NYJ 46,0,3,"Vinny Testaverde pass complete to Santana Moss for 2 yards (tackle by Eric Ogbogu). Santana Moss fumbles (forced by Eric Ogbogu), recovered by Alshermond Singleton at NYJ-48 (tackle by Jason Fabini)",1.170,-2.390
2,14:52,1,10,NYJ 48,0,3,Aveion Cason right tackle for 3 yards (tackle by Jason Ferguson),2.390,2.250
2,14:11,2,7,NYJ 45,0,3,Quincy Carter pass complete to Richie Anderson for 11 yards (tackle by John Abraham),2.250,3.310
2,13:31,1,10,NYJ 34,0,3,Joey Galloway right end for 3 yards (tackle by Mo Lewis),3.310,3.180
2,12:52,2,7,NYJ 31,6,3,"Troy Hambrick right guard for 31 yards, touchdown",3.180,7.000
2,,,,NYJ 2,7,3,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,DAL 30,7,3,"Billy Cundiff kicks off 58 yards, returned by Michael Bates for 21 yards (tackle by Lynn Scott)",0.000,1.140
2,12:38,1,10,NYJ 33,7,3,Curtis Martin right end for 6 yards (tackle by Eric Ogbogu and Dexter Coakley),1.140,1.400
2,11:59,2,4,NYJ 39,7,3,Curtis Martin right guard for 1 yard (tackle by La'Roi Glover and Darren Woodson),1.400,0.830
2,11:18,3,3,NYJ 40,7,3,"Vinny Testaverde pass incomplete intended for Santana Moss. Penalty on Ebenezer Ekuban: Defensive Offside, 5 yards (no play)",0.830,1.930
2,11:13,1,10,NYJ 45,7,3,Curtis Martin right tackle for no gain (tackle by Greg Ellis and Terence Newman),1.930,1.380
2,10:33,2,10,NYJ 45,7,3,Santana Moss left tackle for 5 yards (tackle by Eric Ogbogu and Dat Nguyen),1.380,1.360
2,9:50,3,5,NYJ 50,7,3,Vinny Testaverde pass incomplete intended for Santana Moss,1.360,-0.060
2,9:44,4,5,NYJ 50,7,3,"Dan Stryzinski punts 39 yards, fair catch by Zuriel Smith",-0.060,0.370
2,9:37,1,10,DAL 11,7,3,Troy Hambrick left guard for 1 yard (tackle by Marvin Jones and Jason Ferguson),-0.370,-0.710
2,8:56,2,9,DAL 12,7,3,Quincy Carter pass incomplete intended for Joey Galloway,-0.710,-1.300
2,8:51,3,9,DAL 12,7,3,Aveion Cason right tackle for 3 yards (tackle by Khary Campbell and Sam Garnes),-1.300,-2.440
2,8:14,4,6,DAL 15,7,3,"Toby Gowin punts 30 yards, returned by Santana Moss for 6 yards (tackle by Dat Nguyen). Penalty on Kevin Swayne: Roughing the Kicker, 15 yards (no play)",-2.440,0.940
2,8:05,1,10,DAL 30,7,3,Quincy Carter pass complete to Joey Galloway for 8 yards (tackle by Jamie Henderson),0.940,1.470
2,7:48,2,2,DAL 38,7,3,Richie Anderson right tackle for 1 yard (tackle by Dewayne Robertson),1.470,0.890
2,7:09,3,1,DAL 39,7,3,Troy Hambrick left tackle for 1 yard (tackle by Sam Cowart and Jon McGraw),0.890,1.600
2,6:23,1,10,DAL 40,7,3,Quincy Carter pass incomplete intended for Richie Anderson,1.600,1.050
2,6:17,2,10,DAL 40,7,3,Richie Anderson left guard for 4 yards (tackle by Dewayne Robertson and James Reed),1.050,0.890
2,5:34,3,6,DAL 44,7,3,Quincy Carter pass complete to Joey Galloway for 10 yards (tackle by Tyrone Carter),0.890,2.520
2,4:59,1,10,NYJ 46,7,3,Quincy Carter pass incomplete intended for Antonio Bryant,2.520,1.980
2,4:52,2,10,NYJ 46,7,3,Troy Hambrick right guard for 2 yards (tackle by Sam Cowart),1.980,1.550
2,4:15,3,8,NYJ 44,7,3,Quincy Carter sacked by John Abraham and Jason Ferguson for -1 yards,1.550,0.270
2,3:33,4,9,NYJ 45,7,3,"Toby Gowin punts 33 yards, fair catch by Santana Moss. Penalty on Jeff Robinson: Offensive Holding, 10 yards (no play)",0.270,-0.390
2,3:25,4,19,DAL 45,7,3,"Toby Gowin punts 33 yards, returned by Santana Moss for 5 yards (tackle by James Whalen)",-0.390,-0.740
2,3:15,1,10,NYJ 27,7,3,Vinny Testaverde pass incomplete intended for Jerald Sowell,0.740,0.200
2,3:11,2,10,NYJ 27,7,3,Curtis Martin left end for 5 yards (tackle by Dat Nguyen),0.200,0.170
2,2:30,3,5,NYJ 32,7,3,Vinny Testaverde pass complete to Santana Moss for 38 yards (tackle by Terence Newman),0.170,3.580
2,2:00,1,10,DAL 30,7,3,Vinny Testaverde pass complete to Santana Moss for 10 yards (tackle by Dat Nguyen),3.580,4.240
2,1:53,1,10,DAL 20,7,3,"Curtis Martin left end for 9 yards (tackle by Randal Williams). Curtis Martin fumbles (forced by Randal Williams), recovered by Darren Woodson at DAL-0. Penalty on Wayne Chrebet: Offensive Holding (Declined)",4.240,-0.280
2,1:42,1,10,DAL 20,7,3,Aveion Cason for 20 yards (tackle by Tyrone Carter),0.280,1.600
2,1:42,1,10,DAL 40,7,3,Aveion Cason for 7 yards (tackle by Khary Campbell and Sam Garnes),1.600,2.000
2,0:59,2,3,DAL 47,7,3,"Quincy Carter pass complete to Antonio Bryant for 11 yards (tackle by Sam Cowart). Penalty on DAL: Illegal Use of Hands, 10 yards (no play)",2.000,0.650
2,0:50,2,13,DAL 37,7,3,Quincy Carter pass incomplete intended for Terry Glenn,0.650,-0.030
2,0:44,3,13,DAL 37,7,3,Quincy Carter pass complete to Joey Galloway for 27 yards (tackle by Jon McGraw),-0.030,3.180
2,0:38,1,10,NYJ 36,7,3,Richie Anderson left guard for 16 yards (tackle by Jamie Henderson and Sam Garnes),3.180,4.240
2,0:30,,,,7,3,Timeout #1 by Dallas Cowboys,0.000,4.240
2,0:30,1,10,NYJ 20,7,3,Quincy Carter sacked by Shaun Ellis for -6 yards,4.240,2.880
2,0:21,,,,7,3,Timeout #2 by Dallas Cowboys,0.000,2.880
2,0:21,2,16,NYJ 26,7,3,Quincy Carter pass complete to Joey Galloway for 13 yards (tackle by Jamie Henderson),2.880,4.100
2,0:15,,,,7,3,Timeout #3 by Dallas Cowboys,0.000,4.100
2,0:15,3,3,NYJ 13,13,3,"Quincy Carter pass complete to Antonio Bryant for 13 yards, touchdown",4.100,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,,,,NYJ 2,14,3,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,DAL 30,14,3,"Billy Cundiff kicks off 62 yards, returned by Michael Bates for 20 yards (tackle by Pete Hunter)",0.000,0.810
2,0:03,1,10,NYJ 28,14,3,Vinny Testaverde kneels for -1 yards,0.810,0.130
Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,14,3,"Doug Brien kicks off 66 yards, returned by Zuriel Smith for 10 yards (tackle by Jacoby Shepherd)",0.000,-0.280
3,14:55,1,10,DAL 14,14,3,Troy Hambrick left guard for 6 yards (tackle by Dewayne Robertson and Sam Garnes),-0.280,0.150
3,14:21,2,4,DAL 20,14,3,Troy Hambrick right tackle for 11 yards (tackle by Ray Mickens),0.150,1.000
3,13:39,1,10,DAL 31,14,3,Troy Hambrick left guard for 4 yards (tackle by Jason Ferguson and Mo Lewis),1.000,1.000
3,12:57,2,6,DAL 35,14,3,Aveion Cason up the middle for 4 yards (tackle by Shaun Ellis),1.000,0.830
3,12:33,3,2,DAL 39,14,3,Quincy Carter right end for 3 yards (tackle by Mo Lewis),0.830,1.730
3,12:17,1,10,DAL 42,14,3,Richie Anderson right guard for 4 yards (tackle by Sam Garnes and Bryan Thomas),1.730,1.730
3,11:44,2,6,DAL 46,14,3,Troy Hambrick left guard for 4 yards (tackle by Marvin Jones and Sam Cowart),1.730,1.550
3,11:04,3,2,NYJ 50,14,3,Troy Hambrick left tackle for no gain (tackle by Aaron Beasley and Jason Ferguson),1.550,-0.060
3,10:24,4,2,NYJ 50,14,3,"Toby Gowin punts 45 yards, fair catch by Santana Moss",-0.060,0.380
3,10:15,1,10,NYJ 5,14,3,"Curtis Martin left end for 3 yards (tackle by Dexter Coakley and Mario Edwards). Penalty on La'Roi Glover: Defensive Holding, 5 yards",-0.380,-0.320
3,9:42,1,10,NYJ 13,14,3,Curtis Martin left end for 1 yard (tackle by Willie Blade),-0.320,-0.680
3,9:18,2,9,NYJ 14,14,3,LaMont Jordan right tackle for 1 yard (tackle by Randal Williams and Alshermond Singleton),-0.680,-1.180
3,9:18,3,8,NYJ 15,14,3,"Penalty on NYJ: Illegal Substitution, 5 yards (no play)",-1.180,-1.770
3,8:21,3,13,NYJ 10,14,3,Vinny Testaverde pass complete to Curtis Martin for 12 yards (tackle by Dat Nguyen),-1.770,-1.900
3,7:47,4,1,NYJ 22,14,3,"Dan Stryzinski punts 44 yards. Penalty on Michael Bates: Interference with Opportunity to Catch, 15 yards",-1.900,-2.190
3,7:34,1,10,DAL 49,14,3,Troy Hambrick up the middle for 5 yards (tackle by Sam Cowart),2.190,2.320
3,6:54,2,5,NYJ 46,14,3,Quincy Carter pass incomplete intended for Joey Galloway (defended by Chester McGlockton),2.320,1.620
3,6:48,3,5,NYJ 46,14,3,Quincy Carter pass incomplete intended for Terry Glenn is intercepted by Sam Garnes at NYJ-0,1.620,-0.280
3,6:35,1,10,NYJ 20,14,3,Vinny Testaverde pass complete to Santana Moss for 6 yards (tackle by Alshermond Singleton),0.280,0.540
3,6:03,2,4,NYJ 26,14,3,Curtis Martin right end for 3 yards (tackle by Alshermond Singleton),0.540,0.230
3,5:22,,,,14,3,Timeout #1 by New York Jets,0.000,0.230
3,5:20,3,1,NYJ 29,14,3,Vinny Testaverde pass complete to Chris Baker for 19 yards (tackle by Alshermond Singleton),0.230,2.130
3,4:55,1,10,NYJ 48,14,3,Vinny Testaverde pass complete to Curtis Conway for 13 yards (tackle by Terence Newman),2.130,2.980
3,4:18,1,10,DAL 39,14,3,Vinny Testaverde pass complete to Jerald Sowell for 2 yards (tackle by Dat Nguyen),2.980,2.710
3,3:35,2,8,DAL 37,14,3,Curtis Martin right tackle for 3 yards (tackle by Dexter Coakley and Dat Nguyen),2.710,2.410
3,2:54,3,5,DAL 34,14,3,Vinny Testaverde pass complete to Santana Moss for 9 yards (tackle by Pete Hunter),2.410,3.910
3,2:15,1,10,DAL 25,14,3,Curtis Martin right guard for no gain (tackle by Ebenezer Ekuban and Darren Woodson),3.910,3.360
3,1:38,2,10,DAL 25,14,3,Vinny Testaverde pass complete to Curtis Martin for 5 yards (tackle by Darren Woodson),3.360,3.340
3,0:53,3,5,DAL 20,14,3,Vinny Testaverde pass incomplete intended for Curtis Conway,3.340,2.170
3,0:53,4,5,DAL 20,14,6,Doug Brien 38 yard field goal good,2.170,3.000
3,,,,NYJ 30,14,6,"Doug Brien kicks off 58 yards, returned by Zuriel Smith for 12 yards (tackle by Derek Pagel). Penalty on DAL: Illegal Block Above the Waist, 8 yards",0.000,-0.380
3,0:37,1,10,DAL 8,14,6,Troy Hambrick right tackle for 7 yards (tackle by Jason Ferguson),-0.380,-0.210
Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,DAL 15,14,6,Troy Hambrick left end for 9 yards (tackle by Jason Ferguson and Jon McGraw),-0.210,0.540
4,14:19,1,10,DAL 24,14,6,Troy Hambrick left end for 8 yards (tackle by Jon McGraw),0.540,1.080
4,13:39,2,2,DAL 32,14,6,Troy Hambrick left end for -2 yards (tackle by John Abraham),1.080,0.100
4,12:56,3,4,DAL 30,14,6,Quincy Carter pass incomplete intended for Joey Galloway (defended by Aaron Beasley),0.100,-1.370
4,12:51,4,4,DAL 30,14,6,"Toby Gowin punts 44 yards, muffed catch by Santana Moss, recovered by Santana Moss and returned for 17 yards (tackle by Lynn Scott)",-1.370,-1.800
4,12:36,1,10,NYJ 43,14,6,Vinny Testaverde pass complete to Anthony Becht for 2 yards (tackle by Dexter Coakley),1.800,1.520
4,12:04,2,8,NYJ 45,14,6,Curtis Martin right guard for 2 yards (tackle by Kenyon Coleman and Darren Woodson),1.520,1.090
4,11:34,3,6,NYJ 47,14,6,Vinny Testaverde pass incomplete intended for Wayne Chrebet,1.090,-0.260
,,,,,,,"DAL challenged the ruling, and the original play was overturned.",,
4,11:18,4,6,NYJ 47,14,6,Dan Stryzinski punts 48 yards,-0.260,0.380
4,11:06,1,10,DAL 5,14,6,Quincy Carter pass complete to Richie Anderson for 7 yards (tackle by Shaun Ellis),-0.380,-0.270
4,10:35,2,3,DAL 12,14,6,Troy Hambrick left guard for 2 yards (tackle by Shaun Ellis and Sam Cowart),-0.270,-0.370
4,9:52,3,1,DAL 14,14,6,Quincy Carter pass complete to Richie Anderson for 20 yards (tackle by Aaron Beasley),-0.370,1.200
4,9:08,1,10,DAL 34,14,6,Quincy Carter pass complete to Troy Hambrick for 6 yards (tackle by Sam Cowart),1.200,1.470
4,8:29,2,4,DAL 40,14,6,Troy Hambrick right guard for 7 yards (tackle by Sam Cowart),1.470,2.060
4,7:49,1,10,DAL 47,14,6,Troy Hambrick up the middle for 4 yards (tackle by Jason Ferguson),2.060,2.060
4,7:10,2,6,NYJ 49,14,6,Quincy Carter pass complete to Joey Galloway for 42 yards (tackle by Ray Mickens),2.060,5.600
4,6:23,1,7,NYJ 7,14,6,Troy Hambrick left guard for 5 yards (tackle by John Abraham and Jon McGraw),5.600,5.720
4,5:41,2,2,NYJ 2,14,6,Quincy Carter pass incomplete,5.720,4.950
4,5:33,3,2,NYJ 2,14,6,Quincy Carter left end for -6 yards (tackle by Sam Cowart),4.950,2.950
4,5:33,4,8,NYJ 8,17,6,Billy Cundiff 26 yard field goal good,2.950,3.000
4,,,,DAL 30,17,6,"Billy Cundiff kicks off 71 yards, returned by Michael Bates for 40 yards (tackle by Tony Dixon)",0.000,1.530
4,4:49,1,10,NYJ 39,17,6,Vinny Testaverde pass incomplete intended for Wayne Chrebet,1.530,0.990
4,4:42,2,10,NYJ 39,17,6,Vinny Testaverde pass complete to Curtis Martin for 14 yards (tackle by Terence Newman),0.990,2.460
4,4:14,1,10,DAL 47,17,6,Vinny Testaverde pass complete to Curtis Martin for 13 yards (tackle by Ebenezer Ekuban),2.460,3.310
4,3:51,1,10,DAL 34,17,6,Vinny Testaverde pass complete to Jerald Sowell for 17 yards (tackle by Randal Williams),3.310,4.440
4,3:23,1,10,DAL 17,17,6,Vinny Testaverde pass complete to Jerald Sowell for 2 yards (tackle by Mario Edwards),4.440,4.150
4,3:18,2,8,DAL 15,17,6,Vinny Testaverde pass complete to Wayne Chrebet for 3 yards (tackle by Randal Williams),4.150,3.880
4,2:54,3,5,DAL 12,17,6,"Penalty on Jason Fabini: False Start, 5 yards (no play)",3.880,3.070
4,2:52,3,10,DAL 17,17,6,Vinny Testaverde pass complete to Curtis Martin for 7 yards (tackle by Dat Nguyen),3.070,2.860
4,2:38,,,,17,6,Timeout #2 by New York Jets,0.000,2.860
4,2:38,4,3,DAL 10,17,6,Vinny Testaverde pass complete to Wayne Chrebet for 2 yards (tackle by Pete Hunter),2.860,0.380
4,2:29,1,10,DAL 9,17,6,--,-0.380,-0.480
4,2:21,,,,17,6,Timeout #3 by New York Jets,0.000,-0.480
4,2:21,2,6,DAL 13,17,6,Troy Hambrick right guard for 7 yards (tackle by Chester McGlockton),-0.480,0.280
4,2:00,1,10,DAL 20,17,6,Quincy Carter kneels for -1 yards,0.280,-0.460
4,1:19,2,11,DAL 19,17,6,Quincy Carter kneels for -1 yards,-0.460,-1.330
4,0:38,3,12,DAL 18,17,6,Quincy Carter kneels for -1 yards,-1.330,-2.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
