Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
2,1:55,1,10,CLE 25,0,24,Pierre Strong right guard for 1 yard (tackle by Daxton Hill),0.610,0.200
2,1:14,2,9,CLE 26,0,24,Pierre Strong left end for 7 yards (tackle by Jordan Battle and Logan Wilson),0.200,0.430
2,1:09,,,,,,Timeout #3 by Cincinnati Bengals,,
2,1:09,3,2,CLE 33,0,24,Jeff Driskel scrambles right end for 3 yards (tackle by B.J. Hill),0.430,1.330
2,0:36,1,10,CLE 36,0,24,Pierre Strong left tackle for 9 yards (tackle by Mike Hilton and Daxton Hill),1.330,2.010
2,0:28,,,,,,Timeout #2 by Cleveland Browns,,
2,0:28,2,1,CLE 45,0,24,Jeff Driskel scrambles right end for 13 yards (tackle by Zachary Carter and Myles Murphy),2.010,2.790
2,0:18,,,,,,Timeout #3 by Cleveland Browns,,
2,0:18,1,10,CIN 42,0,24,Jeff Driskel pass incomplete short middle intended for Jordan Akins,2.790,2.240
2,0:13,2,10,CIN 42,0,24,Jeff Driskel pass complete short left to Jordan Akins for 14 yards (tackle by Germaine Pratt and Logan Wilson),2.240,1.860
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,0,24,"Riley Patterson kicks off 69 yards, returned by Chase Brown for 27 yards (tackle by D'Anthony Bell)",0.000,0.480
3,14:56,1,10,CIN 23,0,24,Jake Browning pass complete short right to Ja'Marr Chase for -1 yards (tackle by Jordan Kunaszyk and Vincent Gray),0.480,-0.200
3,14:19,2,11,CIN 22,0,24,Jake Browning pass incomplete short right intended for Joe Mixon (defended by Jordan Elliott),-0.200,-0.890
3,14:15,3,11,CIN 22,0,24,Jake Browning sacked by Isaiah McGuire for -12 yards,-0.890,-2.490
3,13:32,4,23,CIN 10,0,24,"Brad Robbins punts 50 yards, returned by James Proche for 6 yards (tackle by Mitchell Wilcox)",-2.490,-1.990
3,13:20,1,10,CLE 46,0,24,Pierre Strong left guard for -1 yards (tackle by Jordan Battle and B.J. Hill),1.990,1.320
3,12:37,2,11,CLE 45,0,24,Jeff Driskel pass complete short right to Cedric Tillman for 7 yards (tackle by Cameron Sample and Cam Taylor-Britt),1.320,1.550
3,11:56,3,4,CIN 48,0,24,Jeff Driskel pass incomplete short right intended for Cedric Tillman,1.550,0.070
3,11:52,4,4,CIN 48,0,24,Corey Bojorquez punts 47 yards downed by James Proche,0.070,0.380
3,11:44,1,10,CIN 1,0,24,"Penalty on Siaki Ika: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.380,-0.190
3,11:44,1,5,CIN 6,0,24,Joe Mixon left guard for -1 yards (tackle by D'Anthony Bell and Sam Kamara),-0.190,-0.490
3,11:02,2,6,CIN 5,0,24,Charlie Jones right end for 7 yards (tackle by Jordan Kunaszyk),-0.490,-0.350
3,10:25,1,10,CIN 12,0,24,Joe Mixon right tackle for 15 yards (tackle by Isaiah McGuire and Duron Harmon),-0.350,0.740
3,9:49,1,10,CIN 27,0,24,Chase Brown left tackle for 27 yards (tackle by D'Anthony Bell),0.740,2.520
3,9:07,1,10,CLE 46,0,24,Chase Brown right end for -3 yards (tackle by Duron Harmon and Jordan Kunaszyk),2.520,1.570
3,8:29,2,13,CLE 49,0,24,Jake Browning pass complete short left to Trenton Irwin for 9 yards (tackle by Duron Harmon and Tony Fields),1.570,2.080
3,7:47,3,4,CLE 40,0,24,Jake Browning pass incomplete short right intended for Andrei Iosivas (defended by Vincent Gray),2.080,0.590
3,7:41,4,4,CLE 40,0,24,"Penalty on Jordan Elliott: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.590,3.250
3,7:41,1,10,CLE 35,0,24,Joe Mixon left tackle for 5 yards (tackle by Sam Kamara),3.250,3.380
3,7:04,2,5,CLE 30,0,24,Jake Browning pass complete short right to Andrei Iosivas for 6 yards (tackle by Matthew Adams),3.380,3.970
3,6:23,1,10,CLE 24,0,24,Jake Browning pass complete short left to Drew Sample for 2 yards (tackle by Tony Fields and Jordan Kunaszyk),3.970,3.700
3,5:45,2,8,CLE 22,0,24,"Jake Browning sacked by Alex Wright for -10 yards. Jake Browning fumbles (forced by Alex Wright), recovered by Jake Browning at CLE-32 (tackle by Alex Wright)",3.700,1.690
3,5:02,3,18,CLE 32,0,24,Jake Browning pass complete deep middle to Trenton Irwin for 25 yards (tackle by Duron Harmon and Tony Fields),1.690,5.600
3,4:22,1,7,CLE 7,0,24,Joe Mixon left end for no gain (tackle by Alex Wright),5.600,4.760
3,3:37,2,7,CLE 7,0,30,"Jake Browning pass complete short middle to Andrei Iosivas for 7 yards, touchdown",4.760,7.000
3,3:32,,,CLE 15,0,31,Evan McPherson kicks extra point good,0.000,0.000
3,3:32,,,CIN 35,0,31,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,3:32,1,10,CLE 25,0,31,Jeff Driskel pass incomplete short right,0.610,0.060
3,3:25,2,10,CLE 25,0,31,Jeff Driskel pass complete short right to David Bell for 11 yards (tackle by Logan Wilson),0.060,1.330
3,2:41,1,10,CLE 36,0,31,Jeff Driskel pass incomplete deep right intended for Pierre Strong (defended by Germaine Pratt),1.330,0.790
3,2:36,2,10,CLE 36,0,31,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",0.790,0.120
3,2:36,2,15,CLE 31,0,31,Pierre Strong left guard for 11 yards (tackle by Logan Wilson),0.120,0.890
3,1:51,3,4,CLE 42,0,31,Jeff Driskel pass incomplete short left intended for James Proche (defended by Cameron Sample),0.890,-0.590
3,1:47,4,4,CLE 42,0,31,"Corey Bojorquez punts 50 yards, returned by Charlie Jones for 9 yards (tackle by Jordan Kunaszyk)",-0.590,0.060
3,1:38,1,10,CIN 17,0,31,Joe Mixon right guard for 2 yards (tackle by Sam Kamara),-0.060,-0.250
3,1:02,2,8,CIN 19,0,31,A.J. McCarron pass incomplete short left intended for Chase Brown,-0.250,-1.000
3,0:59,3,8,CIN 19,0,31,A.J. McCarron pass complete short right to Tanner Hudson for 3 yards (tackle by Cameron Mitchell),-1.000,-1.900
3,0:24,4,5,CIN 22,0,31,"Brad Robbins punts 40 yards, fair catch by James Proche at CLE-38",-1.900,-1.470
3,0:18,1,10,CLE 38,0,31,Jeff Driskel pass incomplete short left intended for Jordan Akins,1.470,0.920
3,0:14,2,10,CLE 38,0,31,Pierre Strong left end for 20 yards (tackle by DJ Turner),0.920,2.790
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 42,0,31,Pierre Strong right tackle for 1 yard (tackle by Akeem Davis-Gaither and Joseph Ossai),2.790,2.380
4,14:24,2,9,CIN 41,0,31,Jeff Driskel sacked by Jordan Battle for -10 yards,2.380,0.370
4,13:40,3,19,CLE 49,0,31,Jeff Driskel pass complete short right to Kareem Hunt for 5 yards (tackle by Akeem Davis-Gaither and Sidney Jones),0.370,0.200
4,12:58,4,14,CIN 46,0,31,"Corey Bojorquez punts 35 yards, fair catch by Charlie Jones at CIN-11",0.200,0.370
4,12:52,1,10,CIN 11,0,31,Chase Brown up the middle for -2 yards (tackle by Jordan Kunaszyk and Sam Kamara),-0.370,-0.930
4,12:18,2,12,CIN 9,0,31,A.J. McCarron pass complete short middle to Charlie Jones for 7 yards (tackle by Jordan Kunaszyk),-0.930,-0.840
4,11:39,3,5,CIN 16,0,31,A.J. McCarron sacked by Duron Harmon for -9 yards,-0.840,-2.490
4,11:00,4,14,CIN 7,0,31,"Brad Robbins punts 48 yards, fair catch by James Proche at CLE-45",-2.490,-1.930
4,10:53,1,10,CLE 45,0,31,Jeff Driskel pass complete short left to Cedric Tillman for 18 yards (tackle by DJ Turner),1.930,3.120
4,10:24,1,10,CIN 37,0,31,Pierre Strong left tackle for 5 yards (tackle by Daxton Hill),3.120,3.250
4,9:39,2,5,CIN 32,0,31,Pierre Strong right guard for 1 yard (tackle by Jalen Davis and Jay Tufele),3.250,2.680
4,8:55,3,4,CIN 31,0,31,Jeff Driskel pass incomplete short right intended for Jerome Ford (defended by Jordan Battle),2.680,1.370
4,8:51,4,4,CIN 31,6,31,"Jeff Driskel pass complete deep left to David Bell for 31 yards, touchdown",1.370,7.000
4,8:45,,,CIN 15,7,31,Riley Patterson kicks extra point good,0.000,0.000
4,8:45,,,CLE 35,7,31,"Riley Patterson kicks off 63 yards, returned by Chase Brown for 17 yards (tackle by James Proche)",0.000,0.150
4,8:41,1,10,CIN 19,7,31,Trayveon Williams left tackle for -2 yards (tackle by Alex Wright and Sam Kamara),0.150,-0.720
4,7:57,2,12,CIN 17,7,31,Chase Brown up the middle for 1 yard (tackle by Isaiah McGuire),-0.720,-1.250
4,7:19,3,11,CIN 18,7,31,A.J. McCarron pass complete short left to Chase Brown for 10 yards (tackle by Duron Harmon),-1.250,-1.500
4,6:39,4,1,CIN 28,7,31,"Brad Robbins punts 47 yards, fair catch by James Proche at CLE-25",-1.500,-0.610
4,6:32,1,10,CLE 25,7,31,Jeff Driskel pass complete short left to Jerome Ford for 7 yards (tackle by Joseph Ossai and Jordan Battle),0.610,1.010
4,5:46,2,3,CLE 32,7,31,Jeff Driskel left end for -3 yards (tackle by Joseph Ossai),1.010,-0.100
4,5:03,3,6,CLE 29,7,31,Jeff Driskel pass complete short middle to Jordan Akins for 7 yards (tackle by Jalen Davis),-0.100,1.330
4,4:23,1,10,CLE 36,7,31,Jeff Driskel scrambles right end for 10 yards (tackle by Akeem Davis-Gaither),1.330,1.990
4,4:10,1,10,CLE 46,7,31,Jeff Driskel left end for 9 yards (tackle by DJ Turner),1.990,2.670
4,4:08,2,1,CIN 45,7,31,Jeff Driskel up the middle for 2 yards (tackle by Zachary Carter),2.670,2.720
4,3:27,1,10,CIN 43,7,31,Jeff Driskel pass incomplete short left intended for Jordan Akins,2.720,2.180
4,3:24,2,10,CIN 43,7,31,Jeff Driskel pass complete short left to Jerome Ford for 19 yards (tackle by Markus Bailey),2.180,3.970
4,2:39,1,10,CIN 24,13,31,"Jeff Driskel pass complete deep right to David Bell for 24 yards, touchdown",3.970,7.000
4,2:34,,,CIN 15,14,31,Riley Patterson kicks extra point good,0.000,0.000
4,2:34,,,CLE 35,14,31,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
4,2:34,1,10,CIN 25,14,31,Chase Brown left end for -1 yards (tackle by Isaiah McGuire),0.610,-0.070
4,2:00,2,11,CIN 24,14,31,Chase Brown right guard for 1 yard (tackle by Sam Kamara),-0.070,-0.620
4,1:16,,,,,,Timeout #1 by Cincinnati Bengals,,
4,1:16,3,10,CIN 25,14,31,Chase Brown right tackle for 1 yard (tackle by Isaiah McGuire),-0.620,-1.630
4,0:36,4,9,CIN 26,14,31,"Brad Robbins punts 56 yards, fair catch by James Proche at CLE-18",-1.630,-0.040
4,0:29,1,10,CLE 18,14,31,Jeff Driskel kneels for -1 yards,0.040,-0.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
