Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
1,8:22,4,15,LVR 43,0,0,"AJ Cole punts 41 yards, fair catch by Rashid Shaheed at NO-16",-0.520,0.140
1,8:15,1,10,NOR 16,0,0,Alvin Kamara right guard for 5 yards (tackle by Blake Martinez and Divine Deablo),-0.140,0.150
1,7:41,2,5,NOR 21,0,0,Alvin Kamara right guard for -1 yards (tackle by Maxx Crosby),0.150,-0.820
1,7:00,3,6,NOR 20,0,0,Andy Dalton pass complete short middle to Taysom Hill for 11 yards (tackle by Divine Deablo),-0.820,1.000
1,6:20,1,10,NOR 31,0,0,Andy Dalton pass complete short left to Alvin Kamara for 8 yards (tackle by Kendal Vickers and Blake Martinez),1.000,1.540
1,5:41,2,2,NOR 39,0,0,Taysom Hill left guard for 7 yards (tackle by Blake Martinez),1.540,1.990
1,5:01,1,10,NOR 46,0,0,Andy Dalton pass complete deep left to Rashid Shaheed for 30 yards (tackle by Anthony Averett),1.990,3.970
1,4:19,1,10,LVR 24,0,0,Taysom Hill pass complete short right to Alvin Kamara for 2 yards (tackle by Malcolm Koonce and Divine Deablo),3.970,3.700
1,3:38,2,8,LVR 22,0,0,Andy Dalton pass complete short right to Alvin Kamara for 7 yards (tackle by Divine Deablo),3.700,4.170
1,2:56,3,1,LVR 15,0,0,Taysom Hill right end for 7 yards (tackle by Trevon Moehrig),4.170,5.370
1,2:13,1,8,LVR 8,0,0,Taysom Hill right end for 5 yards (tackle by Maxx Crosby and Duron Harmon),5.370,5.530
1,1:36,2,3,LVR 3,0,6,"Alvin Kamara right guard for 3 yards, touchdown",5.530,7.000
1,1:32,,,LVR 15,0,7,Wil Lutz kicks extra point good,0.000,0.000
1,1:32,,,NOR 35,0,7,"Wil Lutz kicks off 62 yards, returned by DJ Turner for 22 yards (tackle by Chase Hansen and Daniel Sorensen)",0.000,0.610
1,1:27,1,10,LVR 25,0,7,Derek Carr pass complete short right to Foster Moreau for 12 yards (tackle by Paulson Adebo),0.610,1.400
1,0:51,1,10,LVR 37,0,7,Derek Carr pass complete short right to Mack Hollins for 5 yards (tackle by Paulson Adebo),1.400,1.530
1,0:15,2,5,LVR 42,0,7,Josh Jacobs right guard for 4 yards (tackle by Malcolm Roach and Paulson Adebo),1.530,1.360
Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,LVR 46,0,7,Davante Adams left end for -1 yards (tackle by Marcus Davenport),1.360,-0.390
2,14:23,4,2,LVR 45,0,7,Matthias Farley right end for -3 yards (tackle by Paulson Adebo),-0.390,-2.790
2,14:18,1,10,LVR 42,0,7,"Penalty on Brandon Bolden: Defensive Chop Block, 15 yards (accepted) (no play)",2.790,3.780
2,14:18,1,10,LVR 27,0,7,Alvin Kamara left tackle for 1 yard (tackle by Maxx Crosby),3.780,3.370
2,13:40,2,9,LVR 26,0,7,Andy Dalton pass incomplete deep right intended for Tre'Quan Smith,3.370,2.680
2,13:34,3,9,LVR 26,0,7,Andy Dalton pass complete short right to Juwan Johnson for 8 yards (tackle by Amik Robertson and Divine Deablo),2.680,2.400
2,12:47,,,,,,Timeout #1 by New Orleans Saints,,
2,12:47,4,1,LVR 18,0,10,Wil Lutz 37 yard field goal good,2.400,3.000
2,12:43,,,NOR 35,0,10,"Wil Lutz kicks off 63 yards, returned by Ameer Abdullah for 20 yards (tackle by J.T. Gray and Kevin White)",0.000,0.410
2,12:38,1,10,LVR 22,0,10,Josh Jacobs up the middle for 1 yard (tackle by Payton Turner and Demario Davis),0.410,0.000
2,11:58,2,9,LVR 23,0,10,Derek Carr pass complete short left to Foster Moreau for 7 yards (tackle by Pete Werner),0.000,0.230
2,11:17,3,2,LVR 30,0,10,Derek Carr pass short middle (defended by Pete Werner) intended for Hunter Renfrow is intercepted by Tyrann Mathieu at LV-45 and returned for no gain (tackle by Mack Hollins),0.230,-2.590
2,11:09,1,10,LVR 45,0,10,Andy Dalton pass complete short right to Alvin Kamara for 3 yards (tackle by Rock Ya-Sin),2.590,2.450
2,10:31,2,7,LVR 42,0,10,Alvin Kamara left guard for 7 yards (tackle by Denzel Perryman),2.450,3.250
2,9:54,1,10,LVR 35,0,10,Taysom Hill left end for 11 yards (tackle by Duron Harmon),3.250,3.970
2,9:16,1,10,LVR 24,0,10,Alvin Kamara left guard for 5 yards (tackle by Maxx Crosby),3.970,4.120
2,8:31,2,5,LVR 19,0,10,Andy Dalton pass complete short middle to Chris Olave for 8 yards (tackle by Anthony Averett),4.120,4.840
2,7:47,1,10,LVR 11,0,10,"Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",4.840,4.340
2,7:23,1,15,LVR 16,0,16,"Andy Dalton pass complete short middle to Alvin Kamara for 16 yards, touchdown",4.340,7.000
2,7:15,,,LVR 15,0,17,Wil Lutz kicks extra point good,0.000,0.000
2,7:15,,,NOR 35,0,17,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,7:15,1,10,LVR 25,0,17,Derek Carr pass complete short left to Josh Jacobs for no gain (tackle by Chris Harris),0.610,-0.010
2,6:39,2,11,LVR 25,0,17,"Derek Carr pass incomplete intended for Davante Adams LVR challenged the pass completion ruling, and the play was upheld.",-0.010,-0.690
2,6:33,3,11,LVR 25,0,17,"Derek Carr sacked by and Pete Werner for no gain and Marcus Davenport for no gain. Penalty on Paulson Adebo: Defensive Holding, 5 yards (accepted) (no play)",-0.690,0.940
2,6:07,1,10,LVR 30,0,17,Josh Jacobs right end for 4 yards (tackle by Paulson Adebo and David Onyemata),0.940,0.930
2,5:28,2,6,LVR 34,0,17,Josh Jacobs left guard for 2 yards (tackle by Pete Werner and Tyrann Mathieu),0.930,0.500
2,4:44,3,4,LVR 36,0,17,Derek Carr pass complete short left to Foster Moreau for 9 yards (tackle by Pete Werner and Marcus Maye),0.500,1.930
2,4:00,1,10,LVR 45,0,17,Josh Jacobs left end for 4 yards (tackle by Pete Werner),1.930,1.920
2,3:22,2,6,LVR 49,0,17,Derek Carr pass incomplete short middle intended for Josh Jacobs,1.920,1.220
2,3:16,3,6,LVR 49,0,17,Derek Carr pass incomplete deep left intended for Davante Adams (defended by Alontae Taylor),1.220,-0.130
2,3:11,4,6,LVR 49,0,17,"AJ Cole punts 35 yards, fair catch by Rashid Shaheed at NO-16. Penalty on Trent Sieg: Offensive Holding, 10 yards (accepted)",-0.130,-0.670
2,3:04,1,10,NOR 26,0,17,Andy Dalton pass complete short left to Rashid Shaheed for 1 yard (tackle by Trevon Moehrig),0.670,0.270
2,2:20,2,9,NOR 27,0,17,Andy Dalton pass incomplete short left intended for Alvin Kamara (defended by Duron Harmon),0.270,-0.430
2,2:15,3,9,NOR 27,0,17,Andy Dalton pass complete short right to Chris Olave for 14 yards (tackle by Rock Ya-Sin),-0.430,1.660
2,2:00,1,10,NOR 41,0,17,Alvin Kamara left guard for 5 yards (tackle by Divine Deablo and Duron Harmon),1.660,1.800
2,1:22,2,5,NOR 46,0,17,Andy Dalton pass complete short middle to Alvin Kamara for 9 yards (tackle by Denzel Perryman),1.800,2.590
2,0:58,1,10,LVR 45,0,17,Andy Dalton pass incomplete short right intended for Juwan Johnson,2.590,2.040
2,0:53,2,10,LVR 45,0,17,Alvin Kamara right guard for 6 yards (tackle by Divine Deablo),2.040,2.150
2,0:41,,,,,,Timeout #2 by New Orleans Saints,,
2,0:41,3,4,LVR 39,0,17,Andy Dalton pass complete short left to Marquez Callaway for 10 yards (tackle by Anthony Averett),2.150,3.640
2,0:24,1,10,LVR 29,0,17,Andy Dalton pass complete short middle to Alvin Kamara for 9 yards (tackle by Divine Deablo),3.640,4.320
2,0:17,,,,,,Timeout #3 by New Orleans Saints,,
2,0:17,2,1,LVR 20,0,17,Andy Dalton pass incomplete short right,4.320,3.600
2,0:13,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:13,3,1,LVR 20,0,17,Andy Dalton pass incomplete short right intended for Chris Olave,3.600,2.270
2,0:09,4,1,LVR 20,0,17,Wil Lutz 38 yard field goal no good,2.270,-0.810
2,0:04,1,10,LVR 28,0,17,Derek Carr kneels for -1 yards,0.810,0.130
Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,0,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NOR 25,0,17,Alvin Kamara left guard for 1 yard (tackle by Maxx Crosby),0.610,0.200
3,14:20,2,9,NOR 26,0,17,Taysom Hill left end for 10 yards (tackle by Anthony Averett),0.200,1.330
3,13:46,1,10,NOR 36,0,17,"Penalty on James Hurst: False Start, 5 yards (accepted) (no play)",1.330,1.000
3,13:24,1,15,NOR 31,0,17,Andy Dalton pass complete short left to Alvin Kamara for 6 yards (tackle by Duron Harmon),1.000,0.930
3,12:43,2,9,NOR 37,0,17,Andy Dalton pass incomplete short middle intended for Taysom Hill,0.930,0.230
3,12:38,3,9,NOR 37,0,17,"Andy Dalton pass incomplete short right intended for Chris Olave. Penalty on Rock Ya-Sin: Defensive Pass Interference, 14 yards (accepted) (no play)",0.230,2.320
3,12:33,1,10,LVR 49,0,17,Taysom Hill left guard for 4 yards (tackle by Denzel Perryman),2.320,2.320
3,11:55,2,6,LVR 45,0,17,Alvin Kamara left tackle for 9 yards (tackle by Anthony Averett),2.320,3.180
3,11:12,1,10,LVR 36,0,23,"Andy Dalton pass complete short middle to Alvin Kamara for 36 yards, touchdown",3.180,7.000
3,11:03,,,LVR 15,0,24,Wil Lutz kicks extra point good,0.000,0.000
3,11:03,,,NOR 35,0,24,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,11:03,1,10,LVR 25,0,24,Derek Carr pass complete short middle to Hunter Renfrow for 6 yards (tackle by Demario Davis),0.610,0.870
3,10:25,2,4,LVR 31,0,24,"Josh Jacobs left guard for 8 yards (tackle by Chris Harris). Penalty on Marcus Davenport: Illegal Use of Hands / Defense, 5 yards (accepted)",0.870,1.860
3,10:08,1,10,LVR 44,0,24,Derek Carr sacked by David Onyemata for -8 yards,1.860,0.240
3,9:25,2,18,LVR 36,0,24,Derek Carr sacked by and Cameron Jordan for -5 yards and Kentavius Street for -5 yards,0.240,-1.090
3,8:38,3,23,LVR 31,0,24,Derek Carr pass complete short left to Ameer Abdullah for 10 yards (tackle by Pete Werner),-1.090,-0.650
3,7:57,4,13,LVR 41,0,24,"AJ Cole punts 46 yards, returned by Rashid Shaheed for 5 yards (tackle by Matthias Farley and Ameer Abdullah)",-0.650,-0.040
3,7:47,1,10,NOR 18,0,24,Dwayne Washington left tackle for 4 yards (tackle by Clelin Ferrell and Neil Farrell),0.040,0.140
3,7:05,2,6,NOR 22,0,24,Taysom Hill left end for 11 yards (tackle by Anthony Averett),0.140,1.140
3,6:30,1,10,NOR 33,0,24,Alvin Kamara left tackle for 4 yards (tackle by Divine Deablo and Andrew Billings),1.140,1.130
3,5:52,2,6,NOR 37,0,24,Andy Dalton pass complete short right to Rashid Shaheed for 7 yards (tackle by Rock Ya-Sin),1.130,1.860
3,5:11,1,10,NOR 44,0,24,Taysom Hill left end for -1 yards (tackle by Denzel Perryman),1.860,1.180
3,4:26,2,11,NOR 43,0,24,Andy Dalton pass complete short right to Nick Vannett for 8 yards (tackle by Rock Ya-Sin),1.180,1.550
3,3:43,3,3,LVR 49,0,24,Alvin Kamara right tackle for 2 yards (tackle by Maxx Crosby and Denzel Perryman),1.550,0.130
3,2:59,4,2,LVR 47,0,24,"Blake Gillikin punts 34 yards, fair catch by Hunter Renfrow at LV-13",0.130,0.320
3,2:52,1,10,LVR 13,0,24,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",-0.320,-0.570
3,2:52,1,15,LVR 8,0,24,Derek Carr pass complete short middle to Josh Jacobs for 11 yards (tackle by Pete Werner and Kaden Elliss),-0.570,0.030
3,2:13,2,4,LVR 19,0,24,Derek Carr pass incomplete deep right intended for Davante Adams (defended by Paulson Adebo),0.030,-0.710
3,2:09,3,4,LVR 19,0,24,Derek Carr pass complete short right to Foster Moreau for 9 yards (tackle by Pete Werner),-0.710,0.810
3,1:29,1,10,LVR 28,0,24,Derek Carr pass complete short middle to Foster Moreau for -3 yards (tackle by Marcus Davenport and Pete Werner),0.810,-0.140
3,0:49,2,13,LVR 25,0,24,Derek Carr pass incomplete short right intended for Foster Moreau,-0.140,-0.820
3,0:43,,,,,,Timeout #1 by Las Vegas Raiders,,
3,0:43,3,13,LVR 25,0,24,Derek Carr pass complete short left to Mack Hollins for 14 yards,-0.820,1.530
3,0:06,1,10,LVR 39,0,24,"Josh Jacobs left end for no gain (tackle by Alontae Taylor). Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",1.530,0.870
Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,LVR 29,0,24,Derek Carr sacked by Payton Turner for -7 yards,0.870,-1.310
4,14:15,2,27,LVR 22,0,24,Derek Carr pass complete short left to Davante Adams for 3 yards (tackle by David Onyemata and Payton Turner),-1.310,-1.550
4,13:33,3,24,LVR 25,0,24,Derek Carr pass complete short left to Ameer Abdullah for 8 yards (tackle by Alontae Taylor),-1.550,-1.180
4,12:56,4,16,LVR 33,0,24,"AJ Cole punts 53 yards, fair catch by Rashid Shaheed at NO-14. Penalty on J.T. Gray: Offensive Holding, 7 yards (accepted)",-1.180,0.380
4,12:48,1,10,NOR 7,0,24,Taysom Hill left tackle for 5 yards (tackle by Divine Deablo),-0.380,-0.420
4,12:10,2,5,NOR 12,0,24,Andy Dalton pass complete short right to Chris Olave for 6 yards (tackle by Rock Ya-Sin),-0.420,0.040
4,11:35,1,10,NOR 18,0,24,Alvin Kamara left guard for 3 yards (tackle by Denzel Perryman and Trevon Moehrig),0.040,0.080
4,10:55,2,6,NOR 21,0,24,Alvin Kamara right tackle for 1 yard (tackle by Divine Deablo),0.080,-0.620
4,10:11,3,5,NOR 22,0,24,Andy Dalton pass complete short left to Chris Olave for 11 yards (tackle by Anthony Averett),-0.620,1.140
4,9:33,1,10,NOR 33,0,24,Alvin Kamara right tackle for 5 yards (tackle by Divine Deablo),1.140,1.270
4,8:49,2,5,NOR 38,0,24,Alvin Kamara right tackle for 4 yards (tackle by Bilal Nichols and Johnathan Abram),1.270,1.090
4,8:09,3,1,NOR 42,0,24,Alvin Kamara left guard for 2 yards (tackle by Chandler Jones),1.090,1.860
4,7:26,1,10,NOR 44,0,24,Taysom Hill right tackle for 2 yards (tackle by Blake Martinez and Neil Farrell),1.860,1.590
4,6:42,2,8,NOR 46,0,24,Dwayne Washington left tackle for 3 yards (tackle by Divine Deablo),1.590,1.290
4,5:56,,,,,,Timeout #1 by New Orleans Saints,,
4,5:56,3,5,NOR 49,0,24,Andy Dalton pass complete short right to Chris Olave for 13 yards (tackle by Rock Ya-Sin and Amik Robertson),1.290,3.050
4,5:13,1,10,LVR 38,0,24,Alvin Kamara right guard for no gain (tackle by Andrew Billings),3.050,2.510
4,4:29,2,10,LVR 38,0,24,Dwayne Washington left end for 3 yards (tackle by Denzel Perryman),2.510,2.210
4,3:45,3,7,LVR 35,0,24,Dwayne Washington right guard for 3 yards (tackle by Johnathan Abram and Maxx Crosby),2.210,1.270
4,3:40,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:40,4,4,LVR 32,0,24,Andy Dalton pass incomplete deep left intended for Juwan Johnson,1.270,-1.070
4,3:33,1,10,LVR 32,0,24,Jarrett Stidham pass incomplete short left intended for Keelan Cole,1.070,0.530
4,3:29,2,10,LVR 32,0,24,Jarrett Stidham pass complete short left to Keelan Cole for 18 yards (tackle by Alontae Taylor),0.530,2.260
4,3:04,1,10,LVR 50,0,24,Jarrett Stidham sacked by Payton Turner for -8 yards,2.260,0.630
4,2:25,2,18,LVR 42,0,24,Jarrett Stidham pass complete short right to Mack Hollins for 13 yards (tackle by Paulson Adebo),0.630,1.690
4,2:00,3,5,NOR 45,0,24,Jarrett Stidham pass incomplete deep right intended for Foster Moreau,1.690,0.270
4,1:56,4,5,NOR 45,0,24,Jarrett Stidham pass complete short right to Mack Hollins for 7 yards (tackle by Pete Werner),0.270,3.050
4,1:32,1,10,NOR 38,0,24,Jarrett Stidham pass incomplete short right intended for Foster Moreau,3.050,2.510
4,1:29,2,10,NOR 38,0,24,Jarrett Stidham pass complete short middle to Ameer Abdullah for 8 yards (tackle by Tyrann Mathieu),2.510,2.870
4,0:53,3,2,NOR 30,0,24,Jarrett Stidham pass incomplete short left intended for Ameer Abdullah (defended by Tyrann Mathieu),2.870,1.500
4,0:48,4,2,NOR 30,0,24,Jarrett Stidham pass complete short left to Keelan Cole for 12 yards (tackle by Tyrann Mathieu),1.500,4.370
4,0:37,,,,,,Timeout #3 by Las Vegas Raiders,,
4,0:37,1,10,NOR 18,0,24,Jarrett Stidham pass incomplete deep left intended for Keelan Cole (defended by Alontae Taylor),4.370,3.800
4,0:33,2,10,NOR 18,0,24,Jarrett Stidham pass complete short right to Mack Hollins for 9 yards (tackle by Paulson Adebo),3.800,4.740
4,0:12,3,1,NOR 9,0,24,Jarrett Stidham pass complete short right to Mack Hollins for 3 yards,4.740,5.830
4,0:07,1,6,NOR 6,0,24,Jarrett Stidham pass complete short right to Ameer Abdullah for 2 yards (tackle by Pete Werner),5.830,5.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
