Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
2,3:38,3,5,DET 6,3,9,Matthew Stafford pass complete short right to Marvin Jones for 9 yards (tackle by Perrish Cox),-0.840,-0.220
2,3:06,1,10,DET 15,3,9,"Matthew Stafford pass incomplete short left intended for Golden Tate. Penalty on Kevin Dodd: Illegal Use of Hands, 5 yards (no play)",-0.220,0.280
2,3:00,1,10,DET 20,3,9,Ameer Abdullah middle for 24 yards (tackle by Avery Williamson),0.280,1.860
2,2:16,1,10,DET 44,3,9,Matthew Stafford pass incomplete short left intended for Anquan Boldin,1.860,1.320
2,2:10,2,10,DET 44,3,9,Theo Riddick left tackle for 1 yard (tackle by Kevin Dodd),1.320,0.760
2,2:00,3,9,DET 45,3,9,Matthew Stafford pass complete short right to Marvin Jones for 47 yards (tackle by Brice McCain),0.760,5.370
2,1:48,1,8,TEN 8,3,9,Theo Riddick middle for 3 yards (tackle by Brian Orakpo),5.370,5.370
2,1:44,1,8,TEN 8,3,9,Timeout #2 by Tennessee Titans,5.370,5.150
2,1:44,2,5,TEN 5,3,9,"Matthew Stafford pass incomplete short middle intended for Golden Tate (defended by Perrish Cox). Penalty on Perrish Cox: Defensive Pass Interference, 4 yards (no play)",5.150,6.970
2,1:40,1,1,TEN 1,3,9,"Matthew Stafford pass complete short right to Eric Ebron for 1 yard. Penalty on Eric Ebron: Offensive Pass Interference, 10 yards (no play)",6.970,4.770
2,1:35,1,11,TEN 11,3,9,"Matthew Stafford pass complete short middle to Anquan Boldin for 11 yards. Penalty on Laken Tomlinson: Offensive Holding, 10 yards (no play)",4.770,4.170
2,1:30,1,21,TEN 21,3,9,"Matthew Stafford pass complete short left to Golden Tate for 5 yards (tackle by Sean Spence). Penalty on Anquan Boldin: Offensive Holding, 10 yards",4.170,3.840
2,1:23,1,26,TEN 26,3,9,Matthew Stafford pass incomplete deep right intended for Marvin Jones,3.840,2.190
2,1:19,2,26,TEN 26,3,9,Matthew Stafford pass incomplete,2.190,1.550
2,1:14,3,26,TEN 26,3,9,Theo Riddick middle for 2 yards (tackle by Angelo Blackson),1.550,1.550
2,1:09,3,26,TEN 26,3,9,Timeout #3 by Tennessee Titans,1.550,1.870
2,1:09,4,24,TEN 24,3,12,Matt Prater 42 yard field goal good,1.870,3.000
2,1:09,,,DET 35,3,12,"Sam Martin kicks off 62 yards, returned by Antonio Andrews for 15 yards (tackle by Brandon Copeland)",0.000,-0.040
2,0:58,1,10,TEN 18,3,12,Marcus Mariota pass incomplete short left intended for Rishard Matthews (defended by Nevin Lawson),0.040,-0.490
2,0:51,2,10,TEN 18,3,12,Marcus Mariota pass complete short middle to Rishard Matthews for 7 yards (tackle by Tavon Wilson),-0.490,-0.270
2,0:31,3,3,TEN 25,3,12,Marcus Mariota sacked by Kerry Hyder for 0 yards,-0.270,-0.270
2,0:27,3,3,TEN 25,3,12,Timeout #1 by Detroit Lions,-0.270,-1.700
2,0:26,4,3,TEN 25,3,12,"Brett Kern punts 51 yards, returned by Andre Roberts for 10 yards (tackle by Kevin Byard)",-1.700,-1.200
2,0:15,1,10,DET 34,3,12,Matthew Stafford sacked by Kevin Dodd for -6 yards,1.200,-0.150
Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,3,12,"Ryan Succop kicks off 65 yards, touchback",0.000,0.610
3,15:00,1,10,DET 25,3,12,Theo Riddick middle for 6 yards (tackle by Rashad Johnson),0.610,0.870
3,14:37,2,4,DET 31,3,12,Matthew Stafford pass complete short left to Marvin Jones for 8 yards (tackle by Jason McCourty),0.870,1.530
3,14:07,1,10,DET 39,3,12,"Theo Riddick right end for 1 yard (tackle by Perrish Cox). Penalty on DET: Illegal Shift, 5 yards (no play)",1.530,1.200
3,13:51,1,15,DET 34,3,12,Matthew Stafford sacked by Brian Orakpo for -1 yards,1.200,0.180
3,13:19,2,16,DET 33,3,12,Matthew Stafford pass complete short middle to Anquan Boldin for 6 yards (tackle by Da'Norris Searcy and Avery Williamson),0.180,0.300
3,12:35,3,10,DET 39,3,12,Matthew Stafford pass incomplete short right intended for Golden Tate,0.300,-0.780
3,12:30,4,10,DET 39,3,12,"Sam Martin punts 51 yards, returned by Marc Mariani for 14 yards (tackle by Thurston Armbrister). Penalty on Brice McCain: Illegal Block Above the Waist, 6 yards",-0.780,0.380
3,12:18,1,10,TEN 6,3,12,Marcus Mariota pass incomplete short left intended for Tajae Sharpe,-0.380,-0.780
3,12:12,2,10,TEN 6,3,12,DeMarco Murray middle for 4 yards (tackle by Stefan Charles),-0.780,-0.950
3,11:28,3,6,TEN 10,3,12,Marcus Mariota for 6 yards (tackle by Tahir Whitehead),-0.950,-0.140
3,10:54,1,10,TEN 16,3,12,Marcus Mariota pass complete short middle to Tajae Sharpe for 12 yards (tackle by Tavon Wilson),-0.140,0.810
3,10:16,1,10,TEN 28,3,12,Marcus Mariota pass complete short right to Delanie Walker for 9 yards (tackle by Tahir Whitehead and Glover Quin),0.810,1.480
3,9:37,2,1,TEN 37,3,12,DeMarco Murray left tackle for 5 yards (tackle by Devin Taylor),1.480,1.730
3,8:58,1,10,TEN 42,3,12,Marcus Mariota pass incomplete deep right intended for Rishard Matthews is intercepted by Glover Quin at DET-28,1.730,-0.810
3,8:50,1,10,DET 28,3,12,"Dwayne Washington left end for 8 yards (tackle by Wesley Woodyard). Penalty on Laken Tomlinson: Offensive Holding, 10 yards (no play)",0.810,-0.040
3,8:23,1,20,DET 18,3,12,Dwayne Washington left tackle for 28 yards (tackle by Avery Williamson),-0.040,1.990
3,7:44,1,10,DET 46,3,12,"Matthew Stafford pass complete short right to Eric Ebron for 11 yards (tackle by Daimion Stafford). Penalty on Golden Tate: Unnecessary Roughness, 15 yards",1.990,1.730
3,7:21,1,10,DET 42,3,12,Dwayne Washington right tackle for 4 yards (tackle by Sean Spence),1.730,1.730
3,6:44,2,6,DET 46,3,12,Matthew Stafford pass incomplete deep left intended for Marvin Jones,1.730,1.030
3,6:38,3,6,DET 46,3,12,Matthew Stafford pass complete short right to Eric Ebron for 7 yards (tackle by Kevin Byard),1.030,2.460
3,5:58,1,10,TEN 47,3,12,Theo Riddick right end for 1 yard (tackle by Karl Klug and Sean Spence),2.460,2.050
3,5:12,2,9,TEN 46,3,12,"Matthew Stafford pass incomplete short middle intended for Golden Tate. Penalty on Perrish Cox: Defensive Holding, 5 yards (no play)",2.050,2.850
3,5:07,1,10,TEN 41,3,12,Matthew Stafford pass incomplete deep right intended for Golden Tate,2.850,2.310
3,5:01,2,10,TEN 41,3,12,Theo Riddick middle for 6 yards (tackle by Aaron Wallace),2.310,2.410
3,4:24,3,4,TEN 35,3,12,"Matthew Stafford pass complete short left to Anquan Boldin for 11 yards (tackle by Kevin Byard). Penalty on Anquan Boldin: Offensive Pass Interference, 10 yards (no play)",2.410,1.090
3,3:54,3,14,TEN 45,3,12,Matthew Stafford right tackle for 24 yards (tackle by Jason McCourty),1.090,4.170
3,3:09,1,10,TEN 21,3,12,Dwayne Washington middle for 1 yard (tackle by Avery Williamson),4.170,3.760
3,2:32,2,9,TEN 20,3,12,"Matthew Stafford pass incomplete short left intended for Marvin Jones. Penalty on David Bass: Roughing the Passer, 10 yards (no play)",3.760,4.910
3,2:27,1,10,TEN 10,3,12,Matthew Stafford pass complete short left to Marvin Jones for 1 yard (tackle by Jason McCourty),4.910,4.380
3,1:54,2,9,TEN 9,3,12,Matthew Stafford pass incomplete short left intended for Theo Riddick,4.380,3.360
3,1:49,3,9,TEN 9,3,12,Matthew Stafford pass incomplete short left intended for Eric Ebron (defended by Daimion Stafford),3.360,2.830
3,1:44,4,9,TEN 9,3,15,Matt Prater 27 yard field goal good,2.830,3.000
3,1:44,,,DET 35,3,15,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
3,1:40,1,10,TEN 25,3,15,Marcus Mariota pass complete deep middle to Rishard Matthews for 20 yards (tackle by Tavon Wilson),0.610,1.930
3,1:00,1,10,TEN 45,3,15,Derrick Henry middle for 6 yards (tackle by Tyrunn Walker),1.930,2.190
3,0:26,2,4,DET 49,3,15,"Marcus Mariota pass incomplete short left intended for Tajae Sharpe. Penalty on Nevin Lawson: Defensive Pass Interference, 5 yards (no play)",2.190,2.650
3,0:22,1,10,DET 44,3,15,Marcus Mariota pass complete short left to Derrick Henry for 9 yards (tackle by Tahir Whitehead),2.650,3.330
3,0:06,2,1,DET 35,3,15,Derrick Henry left tackle for 5 yards (tackle by Brandon Copeland),3.330,3.580
Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 30,9,15,"Marcus Mariota pass complete deep left to Delanie Walker for 30 yards, touchdown",3.580,7.000
4,15:00,,,DET 30,10,15,Ryan Succop kicks extra point good,0.000,0.000
4,15:00,,,TEN 35,10,15,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
4,14:54,1,10,DET 25,10,15,Matthew Stafford pass complete short left to Theo Riddick for 8 yards (tackle by Kevin Dodd),0.610,1.140
4,14:11,2,2,DET 33,10,15,Matthew Stafford pass complete short right to Marvin Jones for 10 yards (tackle by Perrish Cox),1.140,1.800
4,13:46,1,10,DET 43,10,15,Theo Riddick right tackle for 3 yards (tackle by Avery Williamson),1.800,1.660
4,13:06,2,7,DET 46,10,15,Theo Riddick left tackle for 10 yards (tackle by Wesley Woodyard),1.660,2.650
4,12:43,1,10,TEN 44,10,15,Matthew Stafford sacked by Karl Klug for -6 yards,2.650,1.300
4,11:59,2,16,,10,15,Matthew Stafford pass incomplete deep left intended for Golden Tate (defended by Jason McCourty),1.300,0.630
4,11:52,3,16,,10,15,Matthew Stafford pass complete short left to Theo Riddick for 8 yards (tackle by Jurrell Casey),0.630,0.460
4,11:17,4,8,TEN 42,10,15,"Penalty on Sam Martin: Delay of Game, 5 yards (no play)",0.460,0.130
4,10:42,4,13,TEN 47,10,15,"Sam Martin punts 38 yards, fair catch by Marc Mariani",0.130,0.380
4,10:35,1,10,TEN 9,10,15,DeMarco Murray middle for 3 yards (tackle by Tavon Wilson),-0.380,-0.560
4,9:48,2,7,TEN 12,10,15,"Marcus Mariota pass incomplete short right intended for Andre Johnson (defended by Darius Slay). Penalty on Darius Slay: Defensive Pass Interference, 8 yards (no play)",-0.560,0.280
4,9:43,1,10,TEN 20,10,15,Marcus Mariota pass incomplete deep middle intended for Tajae Sharpe,0.280,-0.270
4,9:39,2,10,TEN 20,10,15,Marcus Mariota pass complete short right to Rishard Matthews for 3 yards (tackle by Darius Slay),-0.270,-0.560
4,8:58,3,7,TEN 23,10,15,Marcus Mariota pass incomplete short middle intended for Tajae Sharpe (defended by Darius Slay),-0.560,-1.830
4,8:52,4,7,TEN 23,10,15,"Brett Kern punts 54 yards, returned by Andre Roberts for 13 yards (tackle by Beau Brinkley)",-1.830,-1.330
4,8:40,1,10,DET 36,10,15,Matthew Stafford pass complete short left to Golden Tate for 8 yards (tackle by Jason McCourty),1.330,1.870
4,8:01,2,2,DET 44,10,15,Dwayne Washington left end for -2 yards (tackle by Daimion Stafford),1.870,0.890
4,7:22,3,4,DET 42,10,15,Matthew Stafford pass incomplete deep right intended for Golden Tate,0.890,-0.590
4,7:15,4,4,DET 42,10,15,"Sam Martin punts 48 yards, returned by Marc Mariani for 9 yards (tackle by Don Carey). Marc Mariani fumbles (forced by Don Carey), ball out of bounds at TEN-17",-0.590,0.060
4,7:04,1,10,TEN 17,10,15,DeMarco Murray right end for 10 yards (tackle by Thurston Armbrister),-0.060,0.740
4,6:35,1,10,TEN 27,10,15,DeMarco Murray right tackle for 1 yard (tackle by Thurston Armbrister),0.740,0.330
4,5:53,2,9,TEN 28,10,15,Marcus Mariota pass complete short right to DeMarco Murray for 4 yards (tackle by Brandon Copeland),0.330,0.170
4,5:19,3,5,TEN 32,10,15,Marcus Mariota pass complete short right to Tajae Sharpe for 7 yards (tackle by Glover Quin),0.170,1.530
4,4:37,1,10,TEN 39,10,15,Marcus Mariota pass complete short left to Phillip Supernaw for 7 yards (tackle by Tahir Whitehead),1.530,1.930
4,3:55,2,3,TEN 46,10,15,Derrick Henry left end for 2 yards (tackle by Thurston Armbrister),1.930,1.490
4,3:11,3,1,TEN 48,10,15,Marcus Mariota pass complete short left to DeMarco Murray for 5 yards (tackle by Rafael Bush),1.490,2.460
4,3:05,1,10,DET 47,10,15,Marcus Mariota pass complete short left to DeMarco Murray for 22 yards (tackle by Glover Quin). Penalty on Brandon Copeland: Illegal Use of Hands (Declined),2.460,3.910
4,2:57,1,10,DET 25,10,15,Marcus Mariota pass complete short middle to Rishard Matthews for 10 yards (tackle by Tahir Whitehead),3.910,4.580
4,2:19,1,10,DET 15,10,15,Derrick Henry left tackle for 6 yards (tackle by Nevin Lawson),4.580,5.030
4,2:13,2,4,DET 9,10,15,"Marcus Mariota pass complete short right to Andre Johnson for 8 yards (tackle by Brandon Copeland). Penalty on Rishard Matthews: Offensive Pass Interference, 10 yards (no play)",5.030,3.450
4,2:08,2,14,DET 19,10,15,Marcus Mariota pass complete short middle to DeMarco Murray for 7 yards (tackle by Tavon Wilson and Tahir Whitehead),3.450,3.580
4,2:00,3,7,DET 12,10,15,Marcus Mariota pass complete short right to Tajae Sharpe for 3 yards (tackle by Quandre Diggs),3.580,2.900
4,1:19,4,4,DET 9,16,15,"Marcus Mariota pass complete short middle to Andre Johnson for 9 yards, touchdown",2.900,7.000
4,1:19,4,,DET 9,16,15,"Two Point Attempt: Marcus Mariota, conversion fails",2.900,-1.000
4,1:19,,,TEN 35,16,15,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
4,1:13,1,10,DET 25,16,15,Matthew Stafford pass incomplete short left intended for Anquan Boldin,0.610,0.060
4,1:09,2,10,DET 25,16,15,Matthew Stafford sacked by Brian Orakpo for -9 yards,0.060,0.060
4,1:04,2,10,DET 25,16,15,Timeout #1 by Detroit Lions,0.060,-2.140
4,1:04,3,19,DET 16,16,15,Matthew Stafford pass complete deep middle to Eric Ebron for 29 yards (tackle by Da'Norris Searcy),-2.140,1.930
4,0:38,1,10,DET 45,16,15,Matthew Stafford pass incomplete short right intended for Golden Tate,1.930,1.380
4,0:34,2,10,DET 45,16,15,Matthew Stafford pass complete short left to Theo Riddick for no gain,1.380,1.380
4,0:28,2,10,DET 45,16,15,Timeout #2 by Detroit Lions,1.380,0.700
4,0:28,3,10,DET 45,16,15,Matthew Stafford pass incomplete short right intended for Eric Ebron is intercepted by Perrish Cox at 50 and returned for 3 yards,0.700,-2.460
4,0:18,1,10,DET 47,16,15,Matt Cassel kneels for -1 yards,2.460,1.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
