Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
1,4:15,2,5,JAX 35,0,7,Blake Bortles pass incomplete short right intended for Donte Moncrief (defended by Lorenzo Alexander),1.070,0.370
1,4:11,3,5,JAX 35,0,7,Blake Bortles pass incomplete short right intended for Donte Moncrief (defended by TreDavious White),0.370,-1.040
1,4:07,4,5,JAX 35,0,7,"Logan Cooke punts 49 yards, returned by Isaiah McKenzie for -2 yards (tackle by Nick DeLuca)",-1.040,0.280
1,3:58,1,10,BUF 14,0,7,Chris Ivory right tackle for 4 yards (tackle by Eli Ankou),-0.280,-0.210
1,3:22,2,6,BUF 18,0,7,Josh Allen left end for 7 yards (tackle by Telvin Smith),-0.210,0.610
1,2:49,1,10,BUF 25,0,13,"Josh Allen pass complete deep right to Robert Foster for 75 yards, touchdown, touchdown",0.610,7.000
1,2:39,,,JAX 15,0,14,Stephen Hauschka kicks extra point good,0.000,0.000
1,2:39,,,BUF 35,0,14,"Stephen Hauschka kicks off 61 yards, returned by Rashad Greene for no gain (tackle by Patrick DiMarco and Corey Thompson)",0.000,0.670
1,2:32,1,10,JAX 26,0,14,Leonard Fournette left guard for 7 yards (tackle by Matt Milano),0.670,1.070
1,1:54,2,3,JAX 33,0,14,Carlos Hyde up the middle for 6 yards (tackle by Jordan Poyer and Levi Wallace),1.070,1.530
1,1:18,1,10,JAX 39,0,14,Carlos Hyde left end for 10 yards (tackle by Levi Wallace),1.530,2.190
1,0:35,1,10,JAX 49,0,14,Leonard Fournette left tackle for 2 yards (tackle by Tremaine Edmunds),2.190,1.920
Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,BUF 49,0,14,Blake Bortles pass complete short right to Tommy Bohanon for 7 yards (tackle by Lorenzo Alexander),1.920,2.150
2,14:19,3,1,BUF 42,0,14,Leonard Fournette up the middle for 3 yards (tackle by Trent Murphy),2.150,2.980
2,13:45,1,10,BUF 39,0,14,Leonard Fournette right guard for 16 yards (tackle by Tremaine Edmunds),2.980,4.040
2,13:04,1,10,BUF 23,0,14,Carlos Hyde up the middle for 11 yards (tackle by Jordan Poyer),4.040,4.780
2,12:22,1,10,BUF 12,0,14,Carlos Hyde left end for 5 yards (tackle by Lorenzo Alexander),4.780,5.020
2,11:43,2,5,BUF 7,0,14,Leonard Fournette up the middle for 2 yards (tackle by Eddie Yarbrough),5.020,4.610
2,11:04,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,11:04,3,3,BUF 5,6,14,"Leonard Fournette up the middle for 5 yards, touchdown",4.610,7.000
2,10:58,,,BUF 15,7,14,Josh Lambo kicks extra point good,0.000,0.000
2,10:58,,,JAX 35,7,14,"Josh Lambo kicks off 53 yards, returned by Isaiah McKenzie for no gain (tackle by Martrell Spaight)",0.000,0.610
2,10:53,1,10,BUF 25,7,14,LeSean McCoy right tackle for -1 yards (tackle by Malik Jackson),0.610,-0.070
2,10:16,2,11,BUF 24,7,14,LeSean McCoy left guard for 7 yards (tackle by Telvin Smith and D.J. Hayden),-0.070,0.170
2,9:37,3,4,BUF 31,7,14,Josh Allen up the middle for 1 yard (tackle by Malik Jackson),0.170,-1.240
2,8:56,4,3,BUF 32,7,14,"Colton Schmidt punts 42 yards, fair catch by Dede Westbrook at JAC-26",-1.240,-0.670
2,8:48,1,10,JAX 26,7,14,"Penalty on James O'Shaughnessy: False Start, 5 yards (no play)",0.670,0.340
2,8:48,1,15,JAX 21,7,14,Leonard Fournette left guard for 14 yards (tackle by Jordan Poyer and Micah Hyde),0.340,1.350
2,8:08,2,1,JAX 35,7,14,Dede Westbrook right end for 43 yards (tackle by Micah Hyde),1.350,4.110
2,7:30,1,10,BUF 22,7,14,Leonard Fournette up the middle for 15 yards (tackle by Jordan Poyer and TreDavious White),4.110,5.600
2,6:46,1,7,BUF 7,7,14,Leonard Fournette right tackle for 6 yards (tackle by Jordan Poyer),5.600,5.910
2,6:24,2,1,BUF 1,7,14,Tommy Bohanon up the middle for no gain (tackle by Kyle Williams and Tremaine Edmunds),5.910,5.170
2,5:47,3,1,BUF 1,7,14,Penalty on Jordan Phillips: Neutral Zone Infraction (no play),5.170,5.170
2,5:33,3,1,BUF 1,13,14,"Leonard Fournette up the middle for 1 yard, touchdown",5.170,7.000
2,5:30,,,BUF 15,14,14,Josh Lambo kicks extra point good,0.000,0.000
2,5:30,,,JAX 35,14,14,"Josh Lambo kicks off 50 yards, returned by Logan Thomas for no gain (tackle by D.J. Hayden)",0.000,1.470
2,5:23,1,10,BUF 38,14,14,Josh Allen left tackle for 9 yards (tackle by Telvin Smith),1.470,2.140
2,4:43,2,1,BUF 47,14,14,LeSean McCoy right tackle for 6 yards (tackle by Jalen Ramsey and Tashaun Gipson),2.140,2.460
2,4:09,1,10,JAX 47,14,14,"Josh Allen left end for 1 yard (tackle by Myles Jack). Josh Allen fumbles, ball out of bounds at JAC-46 (forced by Myles Jack)",2.460,2.050
2,3:35,2,9,JAX 46,14,14,Chris Ivory up the middle for 4 yards (tackle by D.J. Hayden and Abry Jones),2.050,1.880
2,2:58,3,5,JAX 42,14,14,"Josh Allen pass complete short right to Logan Thomas for 7 yards (tackle by Myles Jack). Penalty on John Miller: Offensive Holding, 10 yards (no play)",1.880,0.560
2,2:27,3,15,BUF 48,14,14,"Josh Allen pass complete short left to Isaiah McKenzie for 16 yards (tackle by D.J. Hayden). Penalty on Russell Bodine: Illegal Use of Hands, 10 yards (no play)",0.560,-0.760
2,2:00,3,25,BUF 38,14,14,Josh Allen pass incomplete deep left intended for Kelvin Benjamin,-0.760,-0.850
2,1:51,4,25,BUF 38,14,14,"Colton Schmidt punts 37 yards, returned by Dede Westbrook for 12 yards (tackle by Lorenzo Alexander and Deonte Thompson). Penalty on Ronnie Harrison: Illegal Block Above the Waist (Declined) . Penalty on Tre Herndon: Illegal Block Above the Waist, 10 yards",-0.850,-0.740
2,1:39,1,10,JAX 27,14,14,T.J. Yeldon up the middle for 2 yards (tackle by Lorenzo Alexander),0.740,0.470
2,1:18,2,8,JAX 29,14,14,Blake Bortles pass complete short middle to T.J. Yeldon for 7 yards (tackle by Tremaine Edmunds),0.470,0.700
2,0:56,3,1,JAX 36,14,14,T.J. Yeldon up the middle for 13 yards (tackle by Jordan Poyer),0.700,2.190
2,0:50,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:50,1,10,JAX 49,14,14,"Blake Bortles pass short left intended for Keelan Cole is intercepted by Matt Milano at BUF-37 and returned for 12 yards. Penalty on Jerry Hughes: Illegal Block Above the Waist, 10 yards",2.190,-1.530
2,0:38,1,10,BUF 39,14,14,"Josh Allen pass complete short right to Chris Ivory for 4 yards (tackle by Myles Jack). Penalty on Wyatt Teller: Ineligible Downfield Pass, 5 yards (no play)",1.530,1.200
2,0:28,1,15,BUF 34,14,14,Josh Allen up the middle for 9 yards (tackle by Telvin Smith),1.200,1.530
2,0:23,,,,,,Timeout #1 by Buffalo Bills,,
2,0:23,2,6,BUF 43,14,14,Josh Allen pass incomplete deep right intended for Jason Croom,1.530,0.830
2,0:15,3,6,BUF 43,14,14,"Josh Allen pass deep right is intercepted by Jalen Ramsey at JAC-34 and returned for 2 yards. Penalty on Jalen Ramsey: Illegal Contact, 5 yards (no play)",0.830,2.130
2,0:03,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:03,1,10,BUF 48,14,14,Josh Allen pass incomplete deep middle intended for Logan Thomas (defended by Ronnie Harrison) (defended by Jalen Ramsey),2.130,1.580
Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,14,14,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,14,14,Leonard Fournette up the middle for 6 yards (tackle by Levi Wallace),0.610,0.870
3,14:25,2,4,JAX 31,14,14,Blake Bortles pass incomplete short right intended for Donte Moncrief,0.870,0.170
3,14:20,3,4,JAX 31,14,14,Blake Bortles pass incomplete short left intended for Keelan Cole,0.170,-1.310
3,14:16,4,4,JAX 31,14,14,"Logan Cooke punts 52 yards, returned by Isaiah McKenzie for 9 yards (tackle by Leon Jacobs)",-1.310,-0.670
3,14:03,1,10,BUF 26,14,14,LeSean McCoy left guard for 7 yards (tackle by Telvin Smith),0.670,1.070
3,13:20,2,3,BUF 33,14,14,LeSean McCoy right guard for 4 yards (tackle by Calais Campbell),1.070,1.400
3,12:42,1,10,BUF 37,14,14,Josh Allen pass incomplete deep right,1.400,0.860
3,12:34,2,10,BUF 37,14,14,LeSean McCoy left guard for 3 yards (tackle by Abry Jones and Myles Jack),0.860,0.560
3,11:55,3,7,BUF 40,14,14,Josh Allen pass complete short right to Jason Croom for 5 yards (tackle by Tashaun Gipson),0.560,-0.390
3,11:13,4,2,BUF 45,14,14,"Colton Schmidt punts 55 yards, touchback.",-0.390,-0.280
3,11:04,1,10,JAX 20,14,14,Leonard Fournette up the middle for 8 yards (tackle by Jordan Poyer and Eddie Yarbrough),0.280,0.810
3,10:28,2,2,JAX 28,14,14,Carlos Hyde right end for 1 yard (tackle by Matt Milano),0.810,0.230
3,9:49,3,1,JAX 29,14,14,Leonard Fournette left guard for -4 yards (tackle by Star Lotulelei and Kyle Williams),0.230,-1.700
3,9:16,4,5,JAX 25,14,14,"Logan Cooke punts 40 yards, fair catch by Isaiah McKenzie at BUF-35 Penalty on BUF: Defensive Too Many Men on Field, 5 yards (no play)",-1.700,0.940
3,9:08,1,10,JAX 30,14,14,Blake Bortles pass complete short right to Leonard Fournette for 5 yards (tackle by Lorenzo Alexander),0.940,1.070
3,8:38,2,5,JAX 35,14,14,Leonard Fournette up the middle for -3 yards (tackle by Jordan Phillips and Taron Johnson),1.070,-0.030
3,7:57,3,8,JAX 32,14,14,Blake Bortles right tackle for 5 yards (tackle by Kyle Williams). Penalty on Ereck Flowers: Offensive Holding (Declined),-0.030,-0.910
3,7:41,4,3,JAX 37,14,14,"Logan Cooke punts 44 yards, fair catch by Micah Hyde at BUF-19",-0.910,-0.150
3,7:32,1,10,BUF 19,14,14,LeSean McCoy right end for 3 yards (tackle by Jalen Ramsey),0.150,0.070
3,6:56,2,7,BUF 22,14,14,Josh Allen pass incomplete deep middle intended for Deonte Thompson (defended by Tashaun Gipson),0.070,-0.680
3,6:48,3,7,BUF 22,14,14,Josh Allen pass incomplete short left intended for Robert Foster,-0.680,-1.900
3,6:44,4,7,BUF 22,14,14,"Colton Schmidt punts 54 yards, returned by Dede Westbrook for 30 yards (tackle by Lorenzo Alexander). Penalty on Deonte Thompson: Player Out of Bounds on Kick (Offsetting) (no play)",-1.900,-1.900
3,6:20,4,7,BUF 22,14,14,"Colton Schmidt punts 46 yards, returned by Dede Westbrook for 21 yards (tackle by Patrick DiMarco and Reid Ferguson)",-1.900,-2.460
3,6:12,1,10,BUF 47,14,14,Blake Bortles left guard for no gain (tackle by Matt Milano),2.460,1.910
3,5:40,2,10,BUF 47,14,14,Blake Bortles pass incomplete short right intended for James O'Shaughnessy,1.910,1.220
3,5:35,3,10,BUF 47,14,14,"Blake Bortles sacked by Matt Milano for no gain. Penalty on Taron Johnson: Defensive Holding, 5 yards (no play)",1.220,2.790
3,5:02,1,10,BUF 42,14,14,Leonard Fournette left tackle for 5 yards (tackle by Jordan Phillips),2.790,2.920
3,4:17,2,5,BUF 37,14,14,Blake Bortles pass complete short middle to Leonard Fournette for 8 yards (tackle by Harrison Phillips),2.920,3.640
3,3:40,1,10,BUF 29,14,14,Carlos Hyde right end for -1 yards (tackle by Jordan Poyer),3.640,2.970
3,2:57,2,11,BUF 30,14,14,Blake Bortles pass complete deep left to Donte Moncrief for 29 yards (tackle by Levi Wallace). Penalty on Leonard Fournette: Disqualification (Offsetting),2.970,6.970
3,2:49,1,1,BUF 1,14,14,Carlos Hyde up the middle for -1 yards (tackle by Lorenzo Alexander),6.970,5.720
3,2:10,2,2,BUF 2,14,14,"Penalty on James O'Shaughnessy: False Start, 5 yards (no play)",5.720,4.760
3,2:00,2,7,BUF 7,14,14,"Blake Bortles pass complete short left to Dede Westbrook for 7 yards. Penalty on Keelan Cole: Offensive Holding, 10 yards (no play)",4.760,3.240
3,1:56,2,17,BUF 17,14,14,Blake Bortles up the middle for 1 yard (tackle by Jerry Hughes),3.240,2.850
3,1:15,3,16,BUF 16,14,14,Blake Bortles sacked by Kyle Williams for -8 yards,2.850,1.870
3,0:39,4,24,BUF 24,14,14,Josh Lambo 42 yard field goal no good,1.870,-1.070
3,0:35,1,10,BUF 32,14,14,"Josh Allen pass complete short left to Isaiah McKenzie for 5 yards (tackle by Tashaun Gipson). Penalty on Yannick Ngakoue: Face Mask (15 Yards), 15 yards",1.070,2.390
3,0:12,1,10,JAX 48,14,14,"Josh Allen pass complete deep left to Robert Foster for 19 yards (tackle by Barry Church). Penalty on Barry Church: Unnecessary Roughness, 15 yards",2.390,4.650
Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 14,14,20,"Josh Allen up the middle for 14 yards, touchdown",4.650,7.000
4,14:52,,,JAX 15,14,21,Stephen Hauschka kicks extra point good,0.000,0.000
4,14:52,,,BUF 35,14,21,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
4,14:52,1,10,JAX 25,14,21,"Blake Bortles pass incomplete short right intended for T.J. Yeldon (defended by Tremaine Edmunds). Penalty on Taron Johnson: Illegal Contact, 5 yards (no play)",0.610,0.940
4,14:47,1,10,JAX 30,14,21,T.J. Yeldon left end for 1 yard (tackle by Eddie Yarbrough),0.940,0.530
4,14:11,2,9,JAX 31,14,21,Blake Bortles pass incomplete deep middle intended for Dede Westbrook,0.530,-0.160
4,14:05,3,9,JAX 31,14,21,"Penalty on JAX: Delay of Game, 5 yards (no play)",-0.160,-0.820
4,14:05,3,14,JAX 26,14,21,Blake Bortles sacked by Kyle Williams and Jerry Hughes for -11 yards,-0.820,-2.440
4,13:33,4,25,JAX 15,14,21,"Logan Cooke punts 55 yards, returned by Isaiah McKenzie for 6 yards (tackle by Jarrod Wilson). Isaiah McKenzie fumbles (forced by Jarrod Wilson), recovered by Isaiah McKenzie at BUF-43. Penalty on Marcus Murphy: Illegal Block Above the Waist, 10 yards",-2.440,-0.670
4,13:19,1,10,BUF 26,14,21,LeSean McCoy left guard for no gain (tackle by Taven Bryan),0.670,0.130
4,12:41,2,10,BUF 26,14,21,LeSean McCoy left tackle for 3 yards (tackle by Telvin Smith),0.130,-0.160
4,11:56,3,7,BUF 29,14,21,Josh Allen pass incomplete short right intended for Deonte Thompson,-0.160,-1.440
4,11:52,4,7,BUF 29,14,21,Colton Schmidt punts 41 yards out of bounds,-1.440,-0.940
4,11:42,1,10,JAX 30,14,21,"Blake Bortles pass incomplete short right intended for Keelan Cole. Penalty on Eddie Yarbrough: Defensive Holding, 5 yards (no play)",0.940,1.270
4,11:36,1,10,JAX 35,14,21,Blake Bortles up the middle for 10 yards (tackle by Tremaine Edmunds). Penalty on Jerry Hughes: Defensive Offside (Declined),1.270,1.930
4,11:11,1,10,JAX 45,14,21,"Carlos Hyde up the middle for 2 yards (tackle by Eddie Yarbrough). Penalty on Star Lotulelei: Illegal Use of Hands, 5 yards",1.930,2.390
4,10:47,1,10,BUF 48,14,21,Carlos Hyde left guard for no gain (tackle by Taron Johnson),2.390,1.850
4,10:14,2,10,BUF 48,14,21,Blake Bortles pass complete short left to Dede Westbrook for 6 yards (tackle by Taron Johnson),1.850,1.950
4,9:34,3,4,BUF 42,14,21,Blake Bortles pass incomplete short right,1.950,0.460
4,9:28,4,4,BUF 42,14,21,Logan Cooke punts 37 yards downed by Tre Herndon,0.460,0.380
4,9:20,1,10,BUF 5,14,21,Josh Allen pass incomplete short right intended for Isaiah McKenzie,-0.380,-0.780
4,9:16,2,10,BUF 5,14,21,Chris Ivory right tackle for 6 yards (tackle by Jalen Ramsey and D.J. Hayden),-0.780,-0.720
4,8:34,,,,,,Timeout #1 by Buffalo Bills,,
4,8:34,3,4,BUF 11,14,21,Josh Allen pass complete short right to Isaiah McKenzie for 6 yards (tackle by D.J. Hayden),-0.720,-0.060
4,8:02,1,10,BUF 17,14,21,LeSean McCoy up the middle for 1 yard (tackle by Telvin Smith and Eli Ankou),-0.060,-0.420
4,7:25,2,9,BUF 18,14,21,Josh Allen right guard for 45 yards (tackle by Barry Church),-0.420,3.120
4,6:53,1,10,JAX 37,14,21,Josh Allen pass incomplete deep left,3.120,2.570
4,6:46,2,10,JAX 37,14,21,LeSean McCoy left tackle for -4 yards (tackle by Taven Bryan),2.570,1.360
4,6:02,3,14,JAX 41,14,21,Josh Allen pass incomplete deep left intended for Deonte Thompson,1.360,0.530
4,5:57,4,14,JAX 41,14,21,Colton Schmidt punts 39 yards downed by Robert Foster,0.530,0.380
4,5:48,1,10,JAX 2,14,21,Carlos Hyde right guard for no gain (tackle by Tremaine Edmunds and Harrison Phillips),-0.380,-0.780
4,5:07,2,10,JAX 2,14,21,Blake Bortles pass deep middle (defended by Tremaine Edmunds) intended for James O'Shaughnessy is intercepted by Jordan Poyer at JAC-18 and returned for no gain,-0.780,-4.370
4,5:01,1,10,JAX 18,14,21,LeSean McCoy up the middle for 6 yards (tackle by Leon Jacobs),4.370,4.810
4,4:19,2,4,JAX 12,14,21,LeSean McCoy up the middle for 5 yards (tackle by A.J. Bouye),4.810,5.600
4,4:09,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,4:09,1,7,JAX 7,14,21,LeSean McCoy left guard for no gain (tackle by Myles Jack),5.600,4.760
4,4:02,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,4:02,2,7,JAX 7,14,21,Josh Allen left tackle for 4 yards (tackle by A.J. Bouye),4.760,4.720
4,3:55,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,3:54,3,3,JAX 3,14,21,Josh Allen left end for -1 yards (tackle by Yannick Ngakoue and Telvin Smith),4.720,3.030
4,3:09,,,,,,Timeout #2 by Buffalo Bills,,
4,3:09,4,4,JAX 4,14,24,Stephen Hauschka 22 yard field goal good,3.030,3.000
4,3:06,,,BUF 35,14,24,"Stephen Hauschka kicks off 55 yards, returned by Rashad Greene for no gain (tackle by Jason Croom)",0.000,0.940
4,3:00,1,10,JAX 30,14,24,Blake Bortles right guard for 12 yards (tackle by Taron Johnson),0.940,1.730
4,2:35,1,10,JAX 42,14,24,Blake Bortles pass incomplete short middle intended for T.J. Yeldon (defended by Lorenzo Alexander),1.730,1.190
4,2:31,2,10,JAX 42,14,24,Blake Bortles pass incomplete short left intended for T.J. Yeldon,1.190,0.500
4,2:25,3,10,JAX 42,14,24,Blake Bortles pass complete deep middle to Dede Westbrook for 25 yards (tackle by Jordan Poyer),0.500,3.380
4,2:03,1,10,BUF 33,14,24,Blake Bortles pass complete short middle to T.J. Yeldon for 10 yards (tackle by Taron Johnson),3.380,4.040
4,1:56,1,10,BUF 23,14,24,Blake Bortles left end for 11 yards (tackle by Levi Wallace),4.040,4.780
4,1:47,1,10,BUF 12,14,24,Blake Bortles sacked by Lorenzo Alexander for -1 yards,4.780,3.940
4,1:25,2,11,BUF 13,20,24,"Blake Bortles pass complete short middle to Dede Westbrook for 13 yards, touchdown",3.940,7.000
4,1:20,,,BUF 15,21,24,Josh Lambo kicks extra point good,0.000,0.000
4,1:20,,,JAX 35,21,24,"Josh Lambo kicks onside 15 yards, returned by Zay Jones for no gain",0.000,-2.260
4,1:19,1,10,BUF 50,21,24,Josh Allen kneels for -1 yards,2.260,1.580
4,0:39,2,11,BUF 49,21,24,Josh Allen kneels for -1 yards,1.580,0.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
