Quarter,Time,Down,ToGo,Location,NOR,NYJ,Detail,EPB,EPA
1,1:02,3,6,NOR 34,0,3,"Aaron Brooks pass incomplete intended for Donte' Stallworth. Penalty on Justin Miller: Defensive Holding, 5 yards (no play)",0.230,1.530
1,0:56,1,10,NOR 39,0,3,"Aaron Stecker left tackle for 3 yards. Penalty on Dewayne Robertson: Defensive 12 On-field, 5 yards (no play)",1.530,2.260
1,0:37,1,5,NOR 44,0,3,Aaron Stecker right end for 10 yards (tackle by Kerry Rhodes),2.260,2.520
Quarter,Time,Down,ToGo,Location,NOR,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 46,0,3,Aaron Brooks pass complete to Zachary Hilton for 12 yards (tackle by Ty Law),2.520,3.310
2,14:32,1,10,NYJ 34,0,3,Antowain Smith up the middle for 2 yards (tackle by Dewayne Robertson and Kerry Rhodes),3.310,3.040
2,13:53,2,8,NYJ 32,0,3,Aaron Brooks pass complete to Joe Horn for 11 yards (tackle by Justin Miller),3.040,4.170
2,13:07,1,10,NYJ 21,6,3,"Aaron Brooks pass complete to Donte' Stallworth for 21 yards, touchdown",4.170,7.000
2,,,,NYJ 2,7,3,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,7,3,"Mitch Berger kicks off 63 yards, returned by Justin Miller for 26 yards (tackle by Fred Booker)",0.000,1.140
2,12:52,1,10,NYJ 33,7,3,Brooks Bollinger pass complete to Doug Jolley for 12 yards (tackle by Sedrick Hodge),1.140,1.930
2,12:16,1,10,NYJ 45,7,3,Curtis Martin right guard for 1 yard (tackle by Will Smith),1.930,1.520
2,11:40,2,9,NYJ 46,7,3,Brooks Bollinger pass complete to Jerald Sowell for 5 yards (tackle by Ronald McKinnon and Colby Bockwoldt),1.520,1.490
2,10:58,3,4,NOR 49,7,3,Curtis Martin right end for 5 yards (tackle by Sedrick Hodge and Jason Craft),1.490,2.650
2,10:21,1,10,NOR 44,7,3,Curtis Martin left guard for 5 yards (tackle by Darren Howard and Sedrick Hodge),2.650,2.780
2,9:47,2,5,NOR 39,7,3,Curtis Martin up the middle for 4 yards (tackle by Ronald McKinnon and Josh Bullocks),2.780,2.610
2,9:11,3,1,NOR 35,7,3,Curtis Martin right tackle for 4 yards (tackle by Colby Bockwoldt),2.610,3.510
2,8:31,1,10,NOR 31,7,3,Brooks Bollinger up the middle for 4 yards (tackle by Sedrick Hodge),3.510,3.510
2,7:51,2,6,NOR 27,7,3,Curtis Martin up the middle for no gain (tackle by Dwight Smith),3.510,2.810
2,7:11,3,6,NOR 27,7,3,Brooks Bollinger pass incomplete intended for Doug Jolley,2.810,1.700
2,7:07,4,6,NOR 27,7,6,Mike Nugent 45 yard field goal good,1.700,3.000
2,,,,NYJ 30,7,6,"Mike Nugent kicks off 63 yards, returned by Aaron Stecker for 19 yards (tackle by B.J. Askew)",0.000,0.670
2,6:55,1,10,NOR 26,7,6,Antowain Smith right tackle for 4 yards (tackle by Jonathan Vilma and Dewayne Robertson),0.670,0.670
2,6:22,2,6,NOR 30,7,6,Aaron Stecker right guard for 7 yards (tackle by Oliver Celestin and Dewayne Robertson),0.670,1.400
2,5:42,1,10,NOR 37,7,6,Aaron Brooks pass complete to Donte' Stallworth for 9 yards (tackle by Ty Law),1.400,2.070
2,5:15,2,1,NOR 46,7,6,Aaron Stecker right guard for 6 yards (tackle by Jonathan Vilma and Derrick Strait),2.070,2.390
2,4:33,1,10,NYJ 48,7,6,Aaron Brooks pass complete to Joe Horn for 8 yards (tackle by Justin Miller),2.390,2.930
2,3:57,2,2,NYJ 40,7,6,Aaron Stecker left end for -3 yards (tackle by Erik Coleman),2.930,1.820
2,3:11,3,5,NYJ 43,7,6,"Aaron Brooks pass complete to Joe Horn for 13 yards (tackle by Kerry Rhodes). Penalty on Shaun Ellis: Roughing the Passer, 15 yards",1.820,4.580
2,2:47,1,10,NYJ 15,13,6,"Aaron Brooks pass complete to Zachary Hilton for 15 yards, touchdown",4.580,7.000
2,,,,NYJ 2,14,6,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,14,6,"Mitch Berger kicks off 60 yards, returned by Justin Miller for 20 yards (tackle by Terrence Melton)",0.000,0.940
2,2:35,1,10,NYJ 30,14,6,Brooks Bollinger pass complete to Curtis Martin for 1 yard (tackle by Sedrick Hodge),0.940,0.530
2,2:11,2,9,NYJ 31,14,6,Brooks Bollinger pass complete to Doug Jolley for 3 yards (tackle by Mike McKenzie),0.530,0.230
2,2:02,,,,14,6,Timeout #1 by New Orleans Saints,0.000,0.230
2,2:02,3,6,NYJ 34,14,6,Brooks Bollinger pass complete to Doug Jolley for 26 yards (tackle by Fred Thomas and Josh Bullocks),0.230,2.920
2,1:52,1,10,NOR 40,14,6,Curtis Martin left tackle for 8 yards (tackle by Dwight Smith),2.920,3.450
2,1:44,,,,14,6,Timeout #1 by New York Jets,0.000,3.450
2,1:44,2,2,NOR 32,14,6,Brooks Bollinger left end for 4 yards (tackle by Fakhir Brown),3.450,3.710
2,1:37,1,10,NOR 28,14,6,Brooks Bollinger pass incomplete intended for Laveranues Coles (defended by Fakhir Brown),3.710,3.170
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,1:30,2,10,NOR 28,14,6,Cedric Houston up the middle for 5 yards (tackle by Charles Grant),3.170,3.140
2,1:09,3,5,NOR 23,14,6,"Penalty on Jonathan Goodwin: False Start, 5 yards (no play)",3.140,2.480
2,1:04,3,10,NOR 28,14,6,Brooks Bollinger pass complete to Curtis Martin for 5 yards (tackle by Sedrick Hodge),2.480,1.980
2,0:19,,,,14,6,Timeout #2 by New York Jets,0.000,1.980
2,0:19,4,5,NOR 23,14,9,Mike Nugent 41 yard field goal good,1.980,3.000
2,,,,NYJ 30,14,9,"Mike Nugent kicks off 60 yards, returned by Aaron Stecker for 12 yards (tackle by B.J. Askew)",0.000,0.410
2,0:08,1,10,NOR 22,14,9,Aaron Brooks kneels for -1 yards,0.410,-0.270
Quarter,Time,Down,ToGo,Location,NOR,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,14,9,"Mike Nugent kicks off 59 yards, returned by Aaron Stecker for 13 yards (tackle by Oliver Celestin)",0.000,0.540
3,14:54,1,10,NOR 24,14,9,Antowain Smith left guard for 3 yards (tackle by Shaun Ellis),0.540,0.400
3,14:16,2,7,NOR 27,14,9,Aaron Stecker left end for 13 yards (tackle by Kerry Rhodes),0.400,1.600
3,14:16,1,10,NOR 40,14,9,"Penalty on Jammal Brown: False Start, 5 yards (no play)",1.600,1.270
3,13:17,1,15,NOR 35,14,9,Aaron Brooks pass complete to Zachary Hilton for 6 yards (tackle by Kerry Rhodes),1.270,1.190
3,12:47,2,9,NOR 41,14,9,Antowain Smith up the middle for 11 yards (tackle by Erik Coleman and Jonathan Vilma),1.190,2.390
3,12:09,1,10,NYJ 48,14,9,Aaron Stecker left tackle for 5 yards (tackle by John Abraham and Mark Brown),2.390,2.520
3,11:23,2,5,NYJ 43,14,9,"Aaron Brooks up the middle for -16 yards (tackle by Dewayne Robertson). Penalty on Kendyl Jacox: Offensive Holding, 10 yards (no play)",2.520,1.170
3,10:58,2,15,NOR 47,14,9,Aaron Brooks pass complete to Donte' Stallworth for 11 yards (tackle by Justin Miller),1.170,1.950
3,10:25,3,4,NYJ 42,14,9,Aaron Brooks sacked by Rashad Washington for -9 yards,1.950,-0.130
3,10:03,4,13,NOR 49,14,9,"Mitch Berger punts 42 yards, returned by Justin McCareins for 9 yards (tackle by Colby Bockwoldt)",-0.130,-0.040
3,9:51,1,10,NYJ 18,14,9,Curtis Martin right tackle for 4 yards (tackle by Will Smith),0.040,0.140
3,9:22,2,6,NYJ 22,14,9,Curtis Martin left tackle for 4 yards (tackle by Ronald McKinnon and Brian Young),0.140,-0.140
3,8:43,3,2,NYJ 26,14,9,Brooks Bollinger pass incomplete intended for Justin McCareins (defended by Dwight Smith),-0.140,-1.630
3,8:36,4,2,NYJ 26,14,9,"Ben Graham punts 43 yards. Penalty on Will Smith: Running Into the Kicker, 5 yards (no play)",-1.630,1.000
3,8:24,1,10,NYJ 31,14,9,Brooks Bollinger pass complete to Justin McCareins for 36 yards. Penalty on Colby Bockwoldt: Defensive Holding (Declined),1.000,3.380
3,8:03,1,10,NOR 33,14,9,Curtis Martin right tackle for 1 yard (tackle by Willie Whitehead),3.380,2.970
3,7:23,2,9,NOR 32,14,9,Brooks Bollinger pass complete to Laveranues Coles for 17 yards (tackle by Colby Bockwoldt and Josh Bullocks),2.970,4.580
3,6:38,1,10,NOR 15,14,9,"Curtis Martin right guard for no gain (tackle by Dwight Smith). Penalty on Brandon Moore: Offensive Holding, 10 yards (no play)",4.580,3.910
3,6:19,1,20,NOR 25,14,9,Curtis Martin left guard for -2 yards (tackle by Brian Young),3.910,2.400
3,5:41,2,22,NOR 27,14,15,"Brooks Bollinger pass complete to Justin McCareins for 27 yards, touchdown",2.400,7.000
3,,,,NOR 2,14,16,Mike Nugent kicks extra point good,0.000,0.000
3,,,,NYJ 30,14,16,"Mike Nugent kicks off 66 yards, returned by Aaron Stecker for 23 yards (tackle by Barry Gardner)",0.000,0.740
3,5:27,1,10,NOR 27,14,16,Aaron Brooks pass incomplete intended for Zachary Hilton,0.740,0.200
3,5:21,2,10,NOR 27,14,16,Aaron Brooks pass incomplete intended for Joe Horn,0.200,-0.490
3,5:16,3,10,NOR 27,14,16,"Aaron Brooks pass complete to Az-Zahir Hakim for 16 yards. Penalty on Wayne Gandy: Illegal Use of Hands, 10 yards (no play)",-0.490,-2.100
3,4:52,3,20,NOR 17,14,16,Aaron Stecker left guard for 2 yards (tackle by Dewayne Robertson and Derrick Strait),-2.100,-2.140
3,4:20,4,18,NOR 19,14,16,"Mitch Berger punts 50 yards, returned by Jerricho Cotchery for 7 yards (tackle by T.J. Slaughter)",-2.140,-1.470
3,4:08,1,10,NYJ 38,14,16,Brooks Bollinger pass complete to Curtis Martin for 2 yards (tackle by Ronald McKinnon),1.470,1.190
3,3:31,2,8,NYJ 40,14,16,Curtis Martin left guard for 2 yards (tackle by Will Smith),1.190,0.760
3,2:55,3,6,NYJ 42,14,16,Brooks Bollinger pass complete to Jerricho Cotchery for 23 yards (tackle by Josh Bullocks),0.760,3.250
3,2:15,1,10,NOR 35,14,16,Curtis Martin right end for 11 yards (tackle by Colby Bockwoldt and Josh Bullocks),3.250,3.970
3,1:42,1,10,NOR 24,14,16,Cedric Houston left end for 2 yards (tackle by Johnathan Sullivan and Kevin Houser),3.970,3.700
3,1:10,2,8,NOR 22,14,16,Cedric Houston left tackle for 3 yards (tackle by Ronald McKinnon),3.700,3.410
3,0:31,3,5,NOR 19,14,16,Brooks Bollinger up the middle for -1 yards (tackle by Dwight Smith),3.410,2.150
Quarter,Time,Down,ToGo,Location,NOR,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,6,NOR 20,14,19,Mike Nugent 38 yard field goal good,2.150,3.000
4,,,,NYJ 30,14,19,"Mike Nugent kicks off 68 yards, returned by Aaron Stecker for 17 yards (tackle by Erik Coleman)",0.000,0.150
4,14:48,1,10,NOR 19,14,19,Aaron Brooks pass incomplete intended for Zachary Hilton,0.150,-0.390
4,14:40,2,10,NOR 19,14,19,Aaron Stecker left end for 8 yards (tackle by Kerry Rhodes),-0.390,-0.030
4,13:55,3,2,NOR 27,14,19,Aaron Brooks pass complete to Aaron Stecker for 6 yards (tackle by Derrick Strait),-0.030,1.140
4,13:25,1,10,NOR 33,14,19,Aaron Stecker left tackle for -1 yards (tackle by Bryan Thomas),1.140,0.460
4,12:44,2,11,NOR 32,14,19,Aaron Brooks pass complete to Joe Horn for 15 yards (tackle by Justin Miller and Mark Brown),0.460,2.060
4,12:00,1,10,NOR 47,14,19,Antowain Smith right guard for 6 yards (tackle by Erik Coleman),2.060,2.330
4,11:20,2,4,NYJ 47,14,19,Aaron Brooks pass complete to Mike Karney for 6 yards (tackle by Jonathan Vilma and Ty Law),2.330,2.850
4,10:39,1,10,NYJ 41,14,19,Antowain Smith right tackle for 2 yards (tackle by Mark Brown and Trevor Johnson),2.850,2.580
4,9:57,2,8,NYJ 39,14,19,Aaron Brooks pass complete to Mike Karney for 7 yards (tackle by Victor Hobson),2.580,2.810
4,9:22,3,1,NYJ 32,14,19,Aaron Brooks pass complete to Donte' Stallworth for 2 yards (tackle by Erik Coleman),2.810,3.580
4,8:39,1,10,NYJ 30,20,19,"Aaron Brooks pass complete to Devery Henderson for 30 yards, touchdown",3.580,7.000
4,8:32,,,,20,19,Timeout #1 by New York Jets,0.000,0.000
4,,,,,20,19,"Two Point Attempt: Aaron Brooks pass complete to Donte' Stallworth, conversion succeeds. Penalty on Zachary Hilton: Offensive Pass Interfere, 10 yards (no play)",1.000,0.000
4,,,,NYJ 2,21,19,John Carney kicks extra point good,0.000,0.000
4,,,,NOR 30,21,19,"Mitch Berger kicks off 55 yards, returned by Justin Miller for 12 yards (tackle by Fred McAfee)",0.000,0.740
4,8:28,1,10,NYJ 27,21,19,Brooks Bollinger pass complete to Laveranues Coles for 12 yards (tackle by Mike McKenzie),0.740,1.530
4,8:00,1,10,NYJ 39,21,19,Curtis Martin left guard for 3 yards (tackle by Johnathan Sullivan and Sedrick Hodge),1.530,1.390
4,7:24,2,7,NYJ 42,21,19,Brooks Bollinger pass incomplete intended for Laveranues Coles (defended by Fred Thomas),1.390,0.700
4,7:18,3,7,NYJ 42,21,19,Brooks Bollinger pass complete to Jerricho Cotchery for 13 yards (tackle by Fred Thomas),0.700,2.590
4,6:31,1,10,NOR 45,21,19,Brooks Bollinger left end for 6 yards (tackle by Fred Thomas),2.590,2.850
4,5:48,2,4,NOR 39,21,19,Curtis Martin left end for -2 yards (tackle by Dwight Smith and Johnathan Sullivan),2.850,1.880
4,5:08,3,6,NOR 41,21,19,Brooks Bollinger pass complete to Laveranues Coles for 7 yards (tackle by Fakhir Brown),1.880,3.310
4,4:25,1,10,NOR 34,21,19,Brooks Bollinger pass incomplete intended for Laveranues Coles,3.310,2.770
4,4:19,2,10,NOR 34,21,19,Curtis Martin left guard for no gain (tackle by Charles Grant and Brian Young),2.770,2.080
4,3:37,3,10,NOR 34,21,19,"Brooks Bollinger pass incomplete intended for Laveranues Coles. Penalty on Brooks Bollinger: Intentional Grounding, 10 yards",2.080,0.330
4,3:31,4,20,NOR 44,21,19,"Ben Graham punts 44 yards, touchback",0.330,-0.280
4,3:22,1,10,NOR 20,21,19,Antowain Smith right tackle for 6 yards (tackle by Victor Hobson and Jonathan Vilma),0.280,0.540
4,3:15,,,,21,19,Timeout #2 by New York Jets,0.000,0.540
4,3:15,2,4,NOR 26,21,19,Antowain Smith right guard for 4 yards (tackle by Jonathan Vilma and Mark Brown),0.540,0.940
4,2:32,1,10,NOR 30,21,19,Antowain Smith left tackle for 2 yards (tackle by Erik Coleman),0.940,0.660
4,2:25,,,,21,19,Timeout #3 by New York Jets,0.000,0.660
4,2:25,2,8,NOR 32,21,19,Antowain Smith up the middle for 2 yards (tackle by Shaun Ellis),0.660,0.230
4,2:00,3,6,NOR 34,21,19,Aaron Stecker right end for 1 yard (tackle by Kerry Rhodes and Mark Brown). Penalty on Kendyl Jacox: Offensive Holding (Declined),0.230,-1.040
4,1:54,,,,21,19,Timeout #1 by New Orleans Saints,0.000,-1.040
4,1:54,4,5,NOR 35,21,19,"Mitch Berger punts 45 yards, fair catch by Jerricho Cotchery. Penalty on Joey Thomas: Face Mask (15 Yards), 15 yards (no play)",-1.040,-2.030
4,1:37,4,20,NOR 20,21,19,"Mitch Berger punts 39 yards, returned by Jerricho Cotchery for 5 yards (tackle by Fred McAfee)",-2.030,-1.990
4,1:37,1,10,NYJ 46,21,19,Brooks Bollinger pass complete to Doug Jolley for 21 yards (tackle by Jason Craft),1.990,3.380
4,1:24,1,10,NOR 33,21,19,Curtis Martin right tackle for -1 yards (tackle by Sedrick Hodge),3.380,2.700
4,1:01,2,11,NOR 34,21,19,"Brooks Bollinger for no gain. Brooks Bollinger fumbles, recovered by Brooks Bollinger at NOR-37",2.700,1.620
4,0:38,3,14,NOR 37,21,19,Brooks Bollinger pass complete to Jerricho Cotchery for 3 yards (tackle by Fred Thomas),1.620,1.060
4,0:15,,,,21,19,Timeout #2 by New Orleans Saints,0.000,1.060
4,0:14,4,11,NOR 34,21,19,Mike Nugent 53 yard field goal no good,1.060,-1.800
4,0:10,1,10,NOR 43,21,19,Aaron Brooks kneels for -1 yards,1.800,1.120
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
