Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
2,7:55,3,17,STL 39,0,10,Sam Bradford pass complete deep middle to Mardy Gilyard for 21 yards (tackle by Eric Weddle),-0.160,2.920
2,7:13,1,10,SDG 40,0,10,Steven Jackson middle for 1 yard (tackle by Travis Johnson),2.920,2.510
2,6:37,2,9,SDG 39,0,10,Sam Bradford pass incomplete short right intended for Billy Bajema,2.510,1.820
2,6:30,3,9,SDG 39,0,10,Sam Bradford pass complete short left to Billy Bajema for 9 yards (tackle by Antoine Cason),1.820,3.580
2,5:45,1,10,SDG 30,0,10,Steven Jackson right guard for 8 yards (tackle by Paul Oliver and Antwan Applewhite),3.580,4.110
2,5:13,2,2,SDG 22,0,10,Steven Jackson middle for 1 yard (tackle by Stephen Cooper),4.110,3.530
2,4:30,3,1,SDG 21,0,10,Sam Bradford pass complete short right to Michael Hoomanawanui for 5 yards (tackle by Stephen Cooper),3.530,4.510
2,3:58,1,10,SDG 16,0,10,Sam Bradford pass complete short middle to Steven Jackson for 2 yards (tackle by Stephen Cooper and Kevin Burnett),4.510,4.210
2,3:23,2,8,SDG 14,0,10,Sam Bradford pass complete short right to Brandon Gibson for 10 yards (tackle by Eric Weddle),4.210,6.280
2,2:44,1,4,SDG 4,0,10,Sam Bradford sacked by Kevin Burnett for -6 yards,6.280,4.190
2,2:10,2,10,SDG 10,0,10,Sam Bradford sacked by Luis Castillo and Jacques Cesaire for -3 yards,4.190,3.060
2,2:00,3,13,SDG 13,0,10,"Sam Bradford pass complete short left to Danny Amendola for 11 yards (tackle by Kevin Burnett and Eric Weddle). Penalty on Antwan Barnes: Roughing the Passer, 1 yards",3.060,6.970
2,1:50,1,1,SDG 1,0,10,Sam Bradford sacked by Antonio Garay for -6 yards,6.970,4.760
2,1:43,2,7,SDG 7,0,16,"Steven Jackson middle for 7 yards, touchdown",4.760,7.000
2,,,,SDG 2,0,17,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,0,17,"Josh Brown kicks off 61 yards, returned by Darren Sproles for 15 yards (tackle by Kenneth Darby)",0.000,0.540
2,1:32,1,10,SDG 24,0,17,Philip Rivers pass complete short left to Darren Sproles for 11 yards (tackle by Craig Dahl),0.540,1.270
2,1:26,1,10,SDG 35,0,17,Philip Rivers sacked by James Hall for -1 yards,1.270,0.590
2,1:16,,,,0,17,Timeout #2 by San Diego Chargers,0.000,0.590
2,1:16,2,11,SDG 34,0,17,"Penalty on James Hall: Defensive Offside, 5 yards (no play)",0.590,1.260
2,1:16,2,6,SDG 39,0,17,Philip Rivers pass complete short left to Darren Sproles for 6 yards (tackle by Bradley Fletcher),1.260,1.930
2,1:12,1,10,SDG 45,0,17,Philip Rivers pass complete short right to Patrick Crayton for 28 yards (tackle by Ronald Bartell),1.930,3.780
2,0:43,1,10,STL 27,0,17,Philip Rivers pass incomplete deep left intended for Malcom Floyd,3.780,3.230
2,0:40,2,10,STL 27,0,17,Philip Rivers pass complete short right to Patrick Crayton for 4 yards (tackle by Ronald Bartell),3.230,3.070
2,0:34,,,,0,17,Timeout #3 by San Diego Chargers,0.000,3.070
2,0:34,3,6,STL 23,0,17,Philip Rivers pass incomplete deep middle intended for Patrick Crayton (defended by Justin King),3.070,1.950
2,0:26,4,6,STL 23,3,17,Nate Kaeding 41 yard field goal good,1.950,3.000
2,,,,SDG 30,3,17,"Mike Scifres kicks off 72 yards, touchback",0.000,0.280
2,0:22,1,10,STL 20,3,17,Sam Bradford kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,3,17,"Mike Scifres kicks off 72 yards, returned by Mardy Gilyard for 23 yards (tackle by Richard Goodman)",0.000,0.340
3,14:55,1,10,STL 21,3,17,Sam Bradford pass incomplete short right intended for Mardy Gilyard,0.340,-0.200
3,14:52,2,10,STL 21,3,17,Steven Jackson left guard for 2 yards (tackle by Antonio Garay),-0.200,-0.630
3,14:18,3,8,STL 23,3,17,Sam Bradford pass incomplete short right intended for Billy Bajema (defended by Shaun Phillips),-0.630,-1.830
3,14:13,4,8,STL 23,3,17,"Donnie Jones punts 48 yards, returned by Darren Sproles for 9 yards (tackle by Bryan Kehl)",-1.830,-1.470
3,14:00,1,10,SDG 38,3,17,Philip Rivers pass complete short right to Malcom Floyd for 3 yards (tackle by Ronald Bartell),1.470,1.330
3,13:32,2,7,SDG 41,3,17,Ryan Mathews right guard for 1 yard (tackle by Gary Gibson),1.330,0.760
3,12:49,3,6,SDG 42,3,17,Philip Rivers pass incomplete short right intended for Craig Davis,0.760,-0.590
3,12:43,4,6,SDG 42,3,17,"Mike Scifres punts 58 yards, touchback",-0.590,-0.280
3,12:35,1,10,STL 20,3,17,Sam Bradford pass complete short right to Mike Karney for 4 yards (tackle by Eric Weddle),0.280,0.270
3,12:02,2,6,STL 24,3,17,Steven Jackson middle for 4 yards (tackle by Stephen Cooper),0.270,0.100
3,11:26,3,2,STL 28,3,17,Steven Jackson middle for 1 yard (tackle by Cam Thomas),0.100,-1.440
3,10:40,4,1,STL 29,3,17,"Donnie Jones punts 43 yards, returned by Darren Sproles for 4 yards (tackle by Daniel Fells)",-1.440,-1.070
3,10:29,1,10,SDG 32,3,17,Ryan Mathews right tackle for 2 yards (tackle by Na'il Diggs),1.070,0.800
3,9:55,2,8,SDG 34,3,17,Ryan Mathews left end for 5 yards (tackle by Bradley Fletcher and Larry Grant),0.800,0.760
3,9:06,3,3,SDG 39,3,17,Darren Sproles middle for 9 yards (tackle by O.J. Atogwe),0.760,2.130
3,8:28,1,10,SDG 48,3,17,Philip Rivers pass incomplete short right intended for Randy McMichael,2.130,1.580
3,8:20,2,10,SDG 48,3,17,Philip Rivers pass complete short right to Ryan Mathews for -2 yards (tackle by Ronald Bartell),1.580,0.630
3,7:41,3,12,SDG 46,3,17,Philip Rivers pass complete deep left to Patrick Crayton for 16 yards (tackle by James Butler),0.630,3.050
3,6:57,1,10,STL 38,3,17,Philip Rivers pass complete short right to Ryan Mathews for 11 yards (tackle by Ronald Bartell),3.050,3.780
3,6:14,1,10,STL 27,3,17,Philip Rivers pass complete short left to Patrick Crayton for 14 yards (tackle by O.J. Atogwe),3.780,4.710
3,5:33,1,10,STL 13,3,17,Philip Rivers pass complete short left to Darren Sproles for 11 yards (tackle by Larry Grant),4.710,6.740
3,5:23,1,2,STL 2,3,17,Mike Tolbert left tackle for 1 yard (tackle by James Laurinaitis),6.740,5.910
3,4:50,2,1,STL 1,9,17,"Mike Tolbert middle for 1 yard, touchdown",5.910,7.000
3,,,,STL 2,10,17,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,10,17,"Mike Scifres kicks off 61 yards, returned by Danny Amendola for 22 yards (tackle by Tyrone Carter)",0.000,1.000
3,4:37,1,10,STL 31,10,17,Steven Jackson left guard for 7 yards (tackle by Cam Thomas),1.000,1.410
3,3:59,2,3,STL 38,10,17,Steven Jackson right tackle for 8 yards (tackle by Eric Weddle),1.410,1.990
3,3:22,1,10,STL 46,10,17,Steven Jackson right guard for 2 yards (tackle by Antwan Barnes),1.990,1.720
3,2:44,2,8,STL 48,10,17,Sam Bradford right tackle for 1 yard (tackle by Stephen Cooper),1.720,1.160
3,1:58,3,7,STL 49,10,17,Sam Bradford pass incomplete deep left intended for Danario Alexander (defended by Donald Strickland),1.160,-0.130
3,1:52,4,7,STL 49,10,17,"Donnie Jones punts 36 yards, fair catch by Darren Sproles",-0.130,0.220
3,1:45,1,10,SDG 15,10,17,Ryan Mathews right guard for 5 yards (tackle by O.J. Atogwe),-0.220,0.080
3,1:06,2,5,SDG 20,10,17,Philip Rivers pass incomplete deep left intended for Craig Davis,0.080,-0.760
3,1:00,3,5,SDG 20,10,17,Philip Rivers pass incomplete short left intended for Randy McMichael (defended by Jerome Murphy),-0.760,-2.030
3,0:54,4,5,SDG 20,10,17,"Mike Scifres punts 59 yards, returned by Danny Amendola for 5 yards (tackle by Jacob Hester)",-2.030,-0.670
3,0:42,1,10,STL 26,10,17,Steven Jackson left end for -1 yards (tackle by Antonio Garay),0.670,-0.010
Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,STL 25,10,17,Steven Jackson left guard for no gain (tackle by Eric Weddle),-0.010,-0.690
4,14:18,3,11,STL 25,10,17,Sam Bradford pass complete short left to Danny Amendola for 4 yards (tackle by Donald Strickland),-0.690,-1.440
4,13:52,4,7,STL 29,10,17,Donnie Jones punts 44 yards,-1.440,-0.740
4,13:42,1,10,SDG 27,10,17,Philip Rivers pass complete deep left to Craig Davis for 17 yards (tackle by Bradley Fletcher),0.740,1.860
4,13:19,1,10,SDG 44,10,17,Ryan Mathews right tackle for 14 yards (tackle by James Butler),1.860,2.790
4,12:39,1,10,STL 42,10,17,Philip Rivers pass incomplete short left intended for Ryan Mathews,2.790,2.240
4,12:35,2,10,STL 42,10,17,Philip Rivers sacked by Fred Robbins for -4 yards,2.240,1.030
4,12:00,3,14,STL 46,10,17,Philip Rivers pass complete deep left to Craig Davis for 17 yards (tackle by Bradley Fletcher),1.030,3.640
4,11:34,1,10,STL 29,10,17,Philip Rivers pass complete short right to Ryan Mathews for 3 yards,3.640,3.510
4,10:53,2,7,STL 26,10,17,Ryan Mathews right guard for 6 yards (tackle by Bradley Fletcher),3.510,3.600
4,10:12,3,1,STL 20,10,17,Jacob Hester middle for 3 yards (tackle by James Hall),3.600,4.440
4,9:31,1,10,STL 17,10,17,"Philip Rivers for 8 yards. Penalty on Randy McMichael: Offensive Holding, 10 yards (no play)",4.440,3.780
4,9:05,1,20,STL 27,10,17,Philip Rivers pass incomplete short middle intended for Craig Davis,3.780,2.540
4,9:00,2,20,STL 27,10,17,Philip Rivers sacked by James Hall for -4 yards,2.540,1.360
4,8:28,3,24,STL 31,10,17,Philip Rivers pass incomplete deep left intended for Richard Goodman,1.360,1.320
4,8:18,4,24,STL 31,10,17,"Nate Kaeding 49 yard field goal no good, blocked by James Hall",1.320,-1.530
4,8:11,1,10,STL 39,10,17,Sam Bradford for 11 yards (tackle by Antoine Cason),1.530,2.260
4,7:43,1,10,,10,17,"Sam Bradford pass incomplete short left intended for Danario Alexander. Penalty on Antoine Cason: Defensive Holding, 5 yards (no play)",2.260,2.590
4,7:41,1,10,SDG 45,10,17,Steven Jackson right guard for 1 yard (tackle by Travis Johnson),2.590,2.180
4,7:01,2,9,SDG 44,10,17,Sam Bradford pass incomplete short right intended for Michael Hoomanawanui (defended by Stephen Cooper),2.180,1.490
4,6:58,3,9,SDG 44,10,17,Sam Bradford pass complete short right to Billy Bajema for 18 yards (tackle by Paul Oliver),1.490,3.840
4,6:09,,,,10,17,Timeout #1 by Los Angeles Rams,0.000,3.840
4,6:09,1,10,SDG 26,10,17,Steven Jackson right guard for 6 yards (tackle by Paul Oliver),3.840,4.110
4,5:38,2,4,SDG 20,10,17,Steven Jackson left tackle for 1 yard (tackle by Antonio Garay),4.110,3.570
4,4:56,3,3,SDG 19,10,17,"Sam Bradford for 8 yards. Penalty on Jason Brown: Offensive Holding, 10 yards (no play)",3.570,2.210
4,4:44,3,13,SDG 29,10,17,Steven Jackson middle for no gain (tackle by Luis Castillo),2.210,1.500
4,4:03,4,13,SDG 29,10,20,Josh Brown 48 yard field goal good,1.500,3.000
4,,,,STL 30,10,20,"Josh Brown kicks off 73 yards, returned by Darren Sproles for 27 yards (tackle by Brit Miller)",0.000,0.540
4,3:52,1,10,SDG 24,10,20,Philip Rivers pass incomplete short right intended for Darren Sproles,0.540,0.000
4,3:48,2,10,SDG 24,10,20,Philip Rivers pass complete deep right to Patrick Crayton for 26 yards (tackle by O.J. Atogwe),0.000,2.260
4,3:42,1,10,,10,20,Philip Rivers pass complete short left to Darren Sproles for 11 yards (tackle by Jerome Murphy),2.260,2.980
4,3:36,1,10,STL 39,10,20,"Philip Rivers pass incomplete deep left intended for Patrick Crayton. Penalty on Bradley Fletcher: Illegal Contact, 5 yards (no play)",2.980,3.310
4,3:30,1,10,STL 34,10,20,Philip Rivers pass complete short left to Patrick Crayton for 29 yards (tackle by James Butler),3.310,6.060
4,3:23,1,5,STL 5,16,20,"Philip Rivers pass complete short left to Craig Davis for 5 yards, touchdown",6.060,7.000
4,,,,STL 2,17,20,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,17,20,"Mike Scifres kicks off 62 yards, returned by Danny Amendola for 24 yards (tackle by Richard Goodman)",0.000,1.070
4,3:11,1,10,STL 32,17,20,Steven Jackson left tackle for 1 yard (tackle by Paul Oliver),1.070,0.660
4,2:36,2,9,STL 33,17,20,Steven Jackson left guard for 3 yards (tackle by Luis Castillo),0.660,0.370
4,2:24,,,,17,20,Timeout #1 by San Diego Chargers,0.000,0.370
4,2:24,3,6,STL 36,17,20,Steven Jackson left guard for 9 yards (tackle by Antwan Applewhite),0.370,1.930
4,2:00,1,10,STL 45,17,20,Steven Jackson right end for 3 yards (tackle by Donald Strickland),1.930,1.790
4,1:54,,,,17,20,Timeout #2 by San Diego Chargers,0.000,1.790
4,1:54,2,7,STL 48,17,20,Steven Jackson right tackle for 12 yards (tackle by Eric Weddle),1.790,2.920
4,1:47,,,,17,20,Timeout #3 by San Diego Chargers,0.000,2.920
4,1:47,1,10,SDG 40,17,20,Sam Bradford kneels for -1 yards,2.920,2.240
4,1:07,2,11,SDG 41,17,20,Sam Bradford kneels for -1 yards,2.240,1.420
4,0:33,3,12,SDG 42,17,20,Sam Bradford kneels for -1 yards,1.420,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
