Quarter,Time,Down,ToGo,Location,CIN,PHI,Detail,EPB,EPA
2,9:56,1,10,PHI 19,0,3,Carson Wentz pass complete short right to Greg Ward for no gain (tackle by Mackensie Alexander and Khalid Kareem),0.150,-0.390
2,9:15,2,10,PHI 19,0,3,Carson Wentz pass incomplete deep left intended for Greg Ward,-0.390,-1.070
2,9:10,3,10,PHI 19,0,3,Carson Wentz pass incomplete deep right,-1.070,-2.140
2,9:03,4,10,PHI 19,0,3,"Cameron Johnston punts 53 yards, returned by Alex Erickson for 19 yards (tackle by Rick Lovato and Richard Rodgers). Penalty on Corey Clement: Unnecessary Roughness, 15 yards",-2.140,-3.050
2,8:50,1,10,PHI 38,0,3,"Penalty on Trey Hopkins: False Start, 5 yards (no play)",3.050,2.720
2,8:50,,,,,,Timeout #1 by Cincinnati Bengals,,
2,8:50,1,15,PHI 43,0,3,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by Nathan Gerry and Rodney McLeod),2.720,3.050
2,8:09,2,6,PHI 34,0,3,Joe Mixon left end for -1 yards (tackle by Avonte Maddox),3.050,2.870
2,7:44,3,2,PHI 30,0,3,Joe Burrow pass incomplete short right,2.870,1.500
2,7:38,4,2,PHI 30,3,3,Randy Bullock 48 yard field goal good,1.500,3.000
2,7:33,,,CIN 35,3,3,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,7:33,1,10,PHI 25,3,3,Miles Sanders up the middle for 4 yards (tackle by Carlos Dunlap),0.610,0.600
2,7:07,2,6,PHI 29,3,3,"Miles Sanders left end for 5 yards (tackle by Logan Wilson). Penalty on Jason Kelce: Offensive Holding, 10 yards (no play)",0.600,-0.810
2,6:38,2,16,PHI 19,3,3,Carson Wentz pass complete short left to Richard Rodgers for 12 yards (tackle by Logan Wilson),-0.810,0.170
2,6:09,3,4,PHI 31,3,3,Carson Wentz right end for 24 yards (tackle by Josh Bynes),0.170,2.590
2,5:38,1,10,CIN 45,3,3,Corey Clement up the middle for 1 yard (tackle by Carl Lawson),2.590,2.180
2,4:59,2,9,CIN 44,3,3,Carson Wentz pass incomplete short middle intended for Zach Ertz,2.180,1.490
2,4:55,3,9,CIN 44,3,3,Carson Wentz pass complete short middle to Greg Ward for 16 yards (tackle by Jessie Bates),1.490,3.710
2,4:26,1,10,CIN 28,3,3,Boston Scott up the middle for 1 yard (tackle by Carl Lawson and Vonn Bell),3.710,3.300
2,3:40,2,9,CIN 27,3,3,Carson Wentz pass incomplete short left intended for Miles Sanders (defended by Germaine Pratt),3.300,2.610
2,3:35,3,9,CIN 27,3,3,Carson Wentz pass complete short right to Zach Ertz for 3 yards (tackle by Jessie Bates and Darius Phillips),2.610,1.890
2,2:51,4,6,CIN 24,3,6,Jake Elliott 42 yard field goal good,1.890,3.000
2,2:47,,,PHI 35,3,6,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,2:47,1,10,CIN 25,3,6,Joe Burrow pass complete short right to Tyler Boyd for 15 yards (tackle by Cre'von LeBlanc),0.610,1.600
2,2:23,1,10,CIN 40,3,6,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Avonte Maddox),1.600,1.050
2,2:17,2,10,CIN 40,3,6,Joe Burrow pass complete deep right to Auden Tate for 19 yards,1.050,2.850
2,2:00,1,10,PHI 41,3,6,Joe Burrow pass incomplete short left intended for Tyler Boyd,2.850,2.310
2,1:56,2,10,PHI 41,3,6,Joe Burrow pass complete deep right to Tee Higgins for 16 yards (tackle by Avonte Maddox),2.310,3.910
2,1:50,1,10,PHI 25,3,6,"Penalty on Brandon Graham: Neutral Zone Infraction, 5 yards (no play)",3.910,4.640
2,1:50,1,5,PHI 20,3,6,Joe Burrow pass complete short right to Giovani Bernard for 5 yards (tackle by Rodney McLeod),4.640,4.580
2,1:43,1,10,PHI 15,3,6,"Joe Burrow pass incomplete short right intended for Auden Tate. Penalty on Jalen Mills: Defensive Pass Interference, 14 yards (no play)",4.580,6.970
2,1:39,1,1,PHI 1,3,6,Joe Mixon left end for no gain (tackle by Brandon Graham and Alex Singleton),6.970,5.910
2,1:33,,,,,,Timeout #2 by Philadelphia Eagles,,
2,1:33,2,1,PHI 1,9,6,"Joe Burrow pass complete short right to Tee Higgins for 1 yard, touchdown",5.910,7.000
2,1:29,,,PHI 15,10,6,Randy Bullock kicks extra point good,0.000,0.000
2,1:29,,,CIN 35,10,6,"Randy Bullock kicks off 25 yards, out of bounds",0.000,1.600
2,1:29,1,10,PHI 40,10,6,Miles Sanders right guard for 19 yards (tackle by Jessie Bates),1.600,2.850
2,1:08,1,10,CIN 41,10,6,Carson Wentz pass complete short middle to Deontay Burnett for 10 yards (tackle by Akeem Davis-Gaither),2.850,3.510
2,0:49,1,10,CIN 31,10,6,Carson Wentz pass complete short left to John Hightower for 8 yards (tackle by William Jackson),3.510,4.050
2,0:30,2,2,CIN 23,10,6,"Carson Wentz sacked by Carl Lawson for -6 yards. Carson Wentz fumbles (forced by Carl Lawson), recovered by Jason Kelce at CIN-29",4.050,2.540
2,0:21,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:21,3,8,CIN 29,10,12,"Carson Wentz pass complete deep right to Greg Ward for 29 yards, touchdown",2.540,7.000
2,0:16,,,CIN 15,10,13,Jake Elliott kicks extra point good,0.000,0.000
2,0:16,,,PHI 35,10,13,"Jake Elliott kicks off 39 yards, returned by Giovani Bernard for 14 yards (tackle by Alex Singleton)",0.000,1.600
2,0:09,1,10,CIN 40,10,13,Joe Burrow pass complete short right to Joe Mixon for 2 yards (tackle by Avonte Maddox),1.600,1.320
2,0:04,2,8,CIN 42,10,13,Joe Burrow sacked by Brandon Graham for -10 yards,1.320,-0.690
Quarter,Time,Down,ToGo,Location,CIN,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,10,13,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PHI 25,10,13,Corey Clement up the middle for 5 yards (tackle by Sam Hubbard),0.610,0.740
3,14:24,2,5,PHI 30,10,13,Miles Sanders up the middle for 2 yards (tackle by Josh Bynes),0.740,0.300
3,13:40,3,3,PHI 32,10,13,Carson Wentz pass complete short middle to Zach Ertz for 9 yards (tackle by Vonn Bell),0.300,1.660
3,13:00,1,10,PHI 41,10,13,"Carson Wentz sacked by and Christian Covington for no gain and Carl Lawson for no gain. Penalty on Darius Phillips: Illegal Contact, 5 yards (no play)",1.660,1.990
3,12:27,1,10,PHI 46,10,13,Corey Clement left guard for 2 yards (tackle by Josh Bynes and Jessie Bates),1.990,1.720
3,11:46,2,8,PHI 48,10,13,Jalen Hurts left end for 8 yards (tackle by Vonn Bell),1.720,2.650
3,11:19,1,10,CIN 44,10,13,Carson Wentz pass complete short middle to Zach Ertz for 10 yards (tackle by Vonn Bell),2.650,3.310
3,10:44,1,10,CIN 34,10,13,Miles Sanders left guard for 4 yards (tackle by Christian Covington),3.310,3.310
3,10:03,2,6,CIN 30,10,13,Greg Ward right end for -6 yards (tackle by Carlos Dunlap),3.310,1.820
3,9:20,3,12,CIN 36,10,13,Carson Wentz pass complete short left to Greg Ward for no gain (tackle by William Jackson),1.820,0.880
3,8:44,4,12,CIN 36,10,16,Jake Elliott 54 yard field goal good,0.880,3.000
3,8:39,,,PHI 35,10,16,"Jake Elliott kicks off 66 yards, returned by Brandon Wilson for 25 yards (tackle by Shaun Bradley)",0.000,0.540
3,8:34,1,10,CIN 24,10,16,Joe Burrow pass complete short right to A.J. Green for 7 yards (tackle by Darius Slay),0.540,0.940
3,7:54,2,3,CIN 31,10,16,Joe Mixon right end for 1 yard (tackle by Fletcher Cox),0.940,0.370
3,7:16,3,2,CIN 32,10,16,Joe Burrow pass complete short left to Tyler Boyd for 5 yards (tackle by Cre'von LeBlanc),0.370,1.400
3,6:40,1,10,CIN 37,10,16,Joe Burrow sacked by Jalen Mills for -8 yards,1.400,-0.220
3,6:00,2,18,CIN 29,10,16,"Penalty on Javon Hargrave: Neutral Zone Infraction, 5 yards (no play)",-0.220,0.450
3,5:38,2,13,CIN 34,10,16,Joe Burrow pass complete short left to Mike Thomas for 7 yards (tackle by Derek Barnett),0.450,0.700
3,5:01,3,6,CIN 41,10,16,Joe Burrow pass complete short middle to Tyler Boyd for 13 yards (tackle by Nickell Robey-Coleman and Rodney McLeod),0.700,2.520
3,4:15,1,10,PHI 46,10,16,Joe Burrow pass complete deep right to Tyler Boyd for 17 yards (tackle by T.J. Edwards),2.520,3.640
3,3:32,1,10,PHI 29,10,16,Joe Mixon left end for no gain (tackle by Derek Barnett),3.640,3.100
3,2:50,2,10,PHI 29,10,16,Joe Burrow pass complete deep left to Tyler Boyd for 25 yards (tackle by Avonte Maddox),3.100,6.280
3,2:27,1,4,PHI 4,16,16,"Joe Burrow pass complete short left to Tee Higgins for 4 yards, touchdown",6.280,7.000
3,2:22,,,PHI 15,17,16,Randy Bullock kicks extra point good,0.000,0.000
3,2:22,,,CIN 35,17,16,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
3,2:22,1,10,PHI 25,17,16,Miles Sanders right end for 3 yards (tackle by Darius Phillips),0.610,0.470
3,1:55,2,7,PHI 28,17,16,Carson Wentz pass incomplete short left intended for Greg Ward,0.470,-0.230
3,1:50,3,7,PHI 28,17,16,Carson Wentz pass deep right intended for Zach Ertz is intercepted by LeShaun Sims at PHI-44 and returned for no gain,-0.230,-2.650
3,1:45,1,10,PHI 44,17,16,Joe Burrow pass complete short left to A.J. Green for 12 yards (tackle by Darius Slay),2.650,3.450
3,1:14,1,10,PHI 32,17,16,Joe Mixon right end for 9 yards (tackle by Nathan Gerry),3.450,4.120
3,1:01,2,1,PHI 23,17,16,Joe Burrow pass complete short right to Auden Tate for 10 yards (tackle by Trevor Williams and Jalen Mills),4.120,4.710
3,0:32,1,10,PHI 13,17,16,Joe Burrow pass incomplete short right intended for Auden Tate (defended by Trevor Williams),4.710,4.050
3,0:28,2,10,PHI 13,17,16,Joe Mixon left tackle for no gain (tackle by Jalen Mills),4.050,3.120
Quarter,Time,Down,ToGo,Location,CIN,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,PHI 13,17,16,Joe Burrow pass incomplete short left intended for Auden Tate (defended by Marcus Epps),3.120,2.570
4,14:55,4,10,PHI 13,20,16,Randy Bullock 31 yard field goal good,2.570,3.000
4,14:52,,,CIN 35,20,16,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
4,14:52,1,10,PHI 25,20,16,Carson Wentz pass complete short right to Richard Rodgers for 3 yards (tackle by Mackensie Alexander),0.610,0.470
4,14:10,2,7,PHI 28,20,16,Miles Sanders right guard for -3 yards (tackle by Mackensie Alexander),0.470,-0.620
4,13:28,3,10,PHI 25,20,16,Carson Wentz pass complete short right to Zach Ertz for 11 yards (tackle by LeShaun Sims),-0.620,1.330
4,12:45,1,10,PHI 36,20,16,Boston Scott up the middle for 4 yards (tackle by D.J. Reader and Jessie Bates),1.330,1.330
4,12:12,2,6,PHI 40,20,16,Miles Sanders up the middle for 7 yards (tackle by Josh Bynes and Germaine Pratt),1.330,2.060
4,11:43,1,10,PHI 47,20,16,"Jalen Hurts for -3 yards. Jalen Hurts fumbles, recovered by Jalen Hurts at PHI-44",2.060,1.110
4,11:00,2,13,PHI 44,20,16,Carson Wentz pass complete short left to Deontay Burnett for 3 yards (tackle by Logan Wilson),1.110,0.830
4,10:18,3,10,PHI 47,20,16,Carson Wentz pass incomplete deep left intended for Miles Sanders,0.830,-0.260
4,10:14,4,10,PHI 47,20,16,"Cameron Johnston punts 47 yards, returned by Alex Erickson for 6 yards (tackle by Corey Clement)",-0.260,0.350
4,10:04,1,10,CIN 12,20,16,Joe Burrow pass complete short left to Drew Sample for 1 yard (tackle by Jalen Mills),-0.350,-0.700
4,9:22,2,9,CIN 13,20,16,Joe Burrow pass complete short left to Joe Mixon for 14 yards (tackle by Genard Avery). Penalty on Cre'von LeBlanc: Defensive Offside (Declined),-0.700,0.740
4,8:53,1,10,CIN 27,20,16,Joe Burrow pass complete deep left to Tyler Boyd for 18 yards (tackle by Nathan Gerry),0.740,1.930
4,8:14,1,10,CIN 45,20,16,Joe Mixon right end for -5 yards (tackle by Brandon Graham),1.930,0.710
4,7:35,2,15,CIN 40,20,16,Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Tee Higgins: Illegal Touch Pass (no play),0.710,0.040
4,7:14,3,15,CIN 40,20,16,Joe Burrow pass complete short right to Giovani Bernard for 42 yards (tackle by Trevor Williams),0.040,4.370
4,6:23,,,,,,Timeout #1 by Cincinnati Bengals,,
4,6:23,1,10,PHI 18,20,16,Joe Mixon right end for -1 yards (tackle by Cre'von LeBlanc),4.370,3.670
4,5:42,2,11,PHI 19,20,16,"Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Trevor Williams). Penalty on Rodney McLeod: Unnecessary Roughness, 4 yards",3.670,6.280
4,5:20,1,4,PHI 4,20,16,"Penalty on Billy Price: False Start, 5 yards (no play)",6.280,5.140
4,5:15,1,9,PHI 9,20,16,Joe Burrow pass complete short left to Cethan Carter for 1 yard (tackle by Nathan Gerry and Malik Jackson),5.140,4.570
4,4:33,2,8,PHI 8,20,16,Joe Burrow sacked by Jalen Mills for -7 yards,4.570,2.930
4,3:50,3,15,PHI 15,20,16,Joe Burrow pass complete short right to Giovani Bernard for 8 yards (tackle by Darius Slay and Rodney McLeod),2.930,2.970
4,3:08,4,7,PHI 7,23,16,Randy Bullock 25 yard field goal good,2.970,3.000
4,3:05,,,CIN 35,23,16,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
4,3:05,1,10,PHI 25,23,16,Carson Wentz pass complete short left to Miles Sanders for -2 yards (tackle by Germaine Pratt),0.610,-0.210
4,2:42,,,,,,Timeout #2 by Cincinnati Bengals,,
4,2:42,2,12,PHI 23,23,16,"Carson Wentz pass incomplete deep left intended for John Hightower. Penalty on William Jackson: Defensive Pass Interference, 19 yards (no play)",-0.210,1.730
4,2:39,1,10,PHI 42,23,16,Miles Sanders up the middle for 6 yards (tackle by Carlos Dunlap),1.730,2.000
4,2:21,2,4,PHI 48,23,16,"Carson Wentz pass incomplete deep right intended for John Hightower. Penalty on Darius Phillips: Defensive Pass Interference, 9 yards (no play)",2.000,2.720
4,2:16,1,10,CIN 43,23,16,Carson Wentz pass complete short left to John Hightower for 11 yards (tackle by William Jackson),2.720,3.450
4,2:00,1,10,CIN 32,23,16,Carson Wentz pass incomplete short left intended for Boston Scott,3.450,2.900
4,1:57,2,10,CIN 32,23,16,Carson Wentz pass complete short middle to Greg Ward for 4 yards (tackle by Mackensie Alexander),2.900,2.740
4,1:30,3,6,CIN 28,23,16,Carson Wentz up the middle for 9 yards (tackle by Logan Wilson),2.740,4.310
4,1:06,1,10,CIN 19,23,16,Miles Sanders left tackle for 7 yards (tackle by Carl Lawson and Jessie Bates),4.310,4.920
4,1:00,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:00,2,3,CIN 12,23,16,Carson Wentz pass incomplete short right (defended by Carlos Dunlap),4.920,4.190
4,0:56,3,3,CIN 12,23,16,Carson Wentz pass complete short right to Greg Ward for 5 yards (tackle by Mackensie Alexander),4.190,5.600
4,0:37,1,7,CIN 7,23,16,Carson Wentz pass complete short right to Zach Ertz for no gain (tackle by Darius Phillips),5.600,4.760
4,0:30,2,7,CIN 7,23,22,"Carson Wentz right end for 7 yards, touchdown",4.760,7.000
4,0:21,,,CIN 15,23,23,Jake Elliott kicks extra point good,0.000,0.000
4,0:21,,,PHI 35,23,23,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,0:21,1,10,CIN 25,23,23,Joe Burrow kneels for -1 yards,0.610,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CIN,PHI,Detail,EPB,EPA
,,,,,,,"Bengals won the coin toss, Bengals to receive the overtime kickoff.",,
OT,10:00,,,PHI 35,23,23,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,CIN 25,23,23,Joe Burrow pass complete short right to A.J. Green for 12 yards (tackle by Darius Slay and T.J. Edwards),0.610,1.400
OT,9:24,1,10,CIN 37,23,23,Joe Mixon right end for 6 yards (tackle by Rodney McLeod),1.400,1.670
OT,8:43,2,4,CIN 43,23,23,Joe Burrow pass incomplete short middle intended for A.J. Green (defended by Darius Slay),1.670,0.960
OT,8:39,3,4,CIN 43,23,23,Joe Burrow pass complete short left to A.J. Green for no gain (tackle by Darius Slay),0.960,-0.520
OT,8:00,4,4,CIN 43,23,23,"Kevin Huber punts 46 yards, fair catch by Greg Ward at PHI-11",-0.520,0.370
OT,7:52,1,10,PHI 11,23,23,Carson Wentz pass incomplete deep middle intended for John Hightower (defended by Jessie Bates),-0.370,-0.780
OT,7:48,2,10,PHI 11,23,23,Miles Sanders left guard for 2 yards (tackle by Carlos Dunlap),-0.780,-1.190
OT,7:11,3,8,PHI 13,23,23,Carson Wentz pass incomplete short right intended for Miles Sanders,-1.190,-2.490
OT,7:08,4,8,PHI 13,23,23,"Cameron Johnston punts 56 yards, returned by Alex Erickson for 10 yards (tackle by T.J. Edwards and K'Von Wallace)",-2.490,-1.660
OT,6:57,1,10,CIN 41,23,23,Joe Burrow sacked by Derek Barnett for -1 yards,1.660,0.990
OT,6:18,2,11,CIN 40,23,23,"Joe Burrow pass complete short right to Tee Higgins for 5 yards (tackle by Trevor Williams). Penalty on Billy Price: Offensive Holding, 10 yards (no play)",0.990,-0.370
OT,5:56,2,21,CIN 30,23,23,Joe Burrow pass incomplete short right intended for Tyler Boyd,-0.370,-1.020
OT,5:51,3,21,CIN 30,23,23,Joe Burrow pass incomplete deep right intended for Tee Higgins,-1.020,-1.370
OT,5:45,4,21,CIN 30,23,23,"Kevin Huber punts 48 yards, returned by Greg Ward for 1 yard (tackle by Brandon Wilson)",-1.370,-0.480
OT,5:32,1,10,PHI 23,23,23,Carson Wentz pass complete short right to Miles Sanders for 4 yards (tackle by D.J. Reader),0.480,0.470
OT,4:52,2,6,PHI 27,23,23,Carson Wentz pass complete deep right to Zach Ertz for 30 yards (tackle by Darius Phillips),0.470,2.720
OT,4:05,1,10,CIN 43,23,23,"Penalty on Lane Johnson: False Start, 5 yards (no play)",2.720,2.390
OT,4:03,1,15,CIN 48,23,23,Carson Wentz pass complete short middle to Deontay Burnett for 6 yards (tackle by Josh Bynes),2.390,2.310
OT,3:24,2,9,CIN 42,23,23,"Carson Wentz left end for 10 yards (tackle by Logan Wilson). Penalty on Nate Herbig: Offensive Holding, 10 yards (no play)",2.310,0.960
OT,3:16,2,19,PHI 48,23,23,Carson Wentz pass incomplete deep left,0.960,0.300
OT,3:08,,,,,,Timeout #1 by Philadelphia Eagles,,
OT,3:08,3,19,PHI 48,23,23,Carson Wentz pass incomplete deep left intended for Miles Sanders,0.300,-0.190
OT,3:03,4,19,PHI 48,23,23,"Cameron Johnston punts 43 yards, fair catch by Alex Erickson at CIN-9",-0.190,0.380
OT,2:56,1,10,CIN 9,23,23,Joe Burrow pass complete short left to Tyler Boyd for 11 yards (tackle by Cre'von LeBlanc),-0.380,0.280
OT,2:19,1,10,CIN 20,23,23,Joe Burrow sacked by Brandon Graham for -6 yards,0.280,-1.180
OT,2:00,2,16,CIN 14,23,23,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Nickell Robey-Coleman),-1.180,-2.030
OT,1:55,3,16,CIN 14,23,23,Joe Burrow sacked by Fletcher Cox for -7 yards,-2.030,-2.490
OT,1:49,,,,,,Timeout #2 by Philadelphia Eagles,,
OT,1:49,4,23,CIN 7,23,23,"Kevin Huber punts 49 yards, returned by Greg Ward for 1 yard (tackle by Cethan Carter)",-2.490,-1.930
OT,1:41,1,10,PHI 45,23,23,Carson Wentz pass complete short right to Miles Sanders for 7 yards,1.930,2.330
OT,1:36,2,3,CIN 48,23,23,Miles Sanders left tackle for 2 yards (tackle by Sam Hubbard),2.330,1.880
OT,1:34,,,,,,Timeout #1 by Cincinnati Bengals,,
OT,1:34,3,1,CIN 46,23,23,Carson Wentz up the middle for 2 yards (tackle by Vonn Bell and Carl Lawson),1.880,2.650
OT,1:26,,,,,,Timeout #2 by Cincinnati Bengals,,
OT,1:26,1,10,CIN 44,23,23,Miles Sanders up the middle for 1 yard (tackle by Carl Lawson and Germaine Pratt),2.650,2.250
OT,0:45,2,9,CIN 43,23,23,Carson Wentz up the middle for 2 yards (tackle by Carlos Dunlap),2.250,1.820
