Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
2,7:10,1,10,TAM 39,3,6,Peyton Barber left tackle for 6 yards (tackle by Donte Jackson),1.530,1.800
2,6:32,2,4,TAM 45,3,6,"Jameis Winston pass incomplete deep middle intended for O.J. Howard. Penalty on O.J. Howard: Offensive Pass Interference, 10 yards (no play)",1.800,0.450
2,6:27,2,14,TAM 35,3,6,Jameis Winston pass incomplete short right intended for Breshad Perriman,0.450,-0.230
2,6:23,3,14,TAM 35,3,6,Jameis Winston pass complete short left to Dare Ogunbowale for 9 yards (tackle by Marquis Haynes and Shaq Thompson),-0.230,-0.460
2,5:44,4,5,TAM 44,3,6,Bradley Pinion punts 49 yards downed by Jack Cichy,-0.460,0.380
2,5:34,1,10,CAR 7,3,6,Cam Newton pass complete short middle to Curtis Samuel for 11 yards (tackle by Kevin Minter),-0.380,0.040
2,4:52,1,10,CAR 18,3,6,Cam Newton pass incomplete short left intended for Jarius Wright,0.040,-0.490
2,4:48,2,10,CAR 18,3,6,Curtis Samuel left guard for 2 yards (tackle by Carl Nassib),-0.490,-0.910
2,4:02,3,8,CAR 20,3,6,Cam Newton pass incomplete deep right intended for Jarius Wright,-0.910,-2.030
2,3:57,4,8,CAR 20,3,6,"Michael Palardy punts 52 yards, muffed catch by Bobo Wilson, recovered by Bobo Wilson at TB-28, returned by Bobo Wilson for no gain (tackle by Natrell Jamerson)",-2.030,-0.810
2,3:47,1,10,TAM 28,3,6,Jameis Winston pass complete deep left to Mike Evans for 41 yards (tackle by James Bradberry),0.810,3.510
2,3:07,1,10,CAR 31,3,6,Peyton Barber right tackle for 5 yards (tackle by Efe Obada and Luke Kuechly),3.510,3.640
2,2:28,2,5,CAR 26,3,6,Peyton Barber up the middle for 1 yard (tackle by Luke Kuechly and Marquis Haynes),3.640,3.070
2,2:00,3,4,CAR 25,3,6,Jameis Winston pass complete short middle to Cameron Brate for 5 yards (tackle by Luke Kuechly),3.070,4.240
2,1:25,1,10,CAR 20,9,6,"Jameis Winston pass complete deep right to Chris Godwin for 20 yards, touchdown",4.240,7.000
2,1:20,,,CAR 15,10,6,Matt Gay kicks extra point good,0.000,0.000
2,1:20,,,TAM 35,10,6,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,1:20,1,10,CAR 25,10,6,Cam Newton pass complete short left to D.J. Moore for 8 yards (tackle by Vernon Hargreaves),0.610,1.140
2,1:01,2,2,CAR 33,10,6,Cam Newton pass complete short left to Greg Olsen for 8 yards (tackle by Vernon Hargreaves),1.140,1.660
2,0:39,1,10,CAR 41,10,6,Cam Newton pass incomplete short right intended for D.J. Moore,1.660,1.120
2,0:34,2,10,CAR 41,10,6,Cam Newton pass complete short left to D.J. Moore for 13 yards (tackle by Vernon Hargreaves),1.120,2.520
2,0:28,1,10,TAM 46,10,6,Cam Newton pass incomplete short right intended for Christian McCaffrey,2.520,1.980
2,0:24,2,10,TAM 46,10,6,Cam Newton pass complete short left to Chris Hogan for 12 yards (tackle by Mike Edwards and Vernon Hargreaves),1.980,3.310
2,0:18,,,,,,Timeout #2 by Carolina Panthers,,
2,0:18,1,10,TAM 34,10,6,Cam Newton pass incomplete deep right intended for Jarius Wright,3.310,2.770
2,0:12,2,10,TAM 34,10,6,Christian McCaffrey left guard for -2 yards (tackle by Devante Bond),2.770,1.820
2,0:03,,,,,,Timeout #3 by Carolina Panthers,,
2,0:03,3,12,TAM 36,10,9,Joey Slye 54 yard field goal good,1.820,3.000
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,10,9,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CAR 25,10,9,Cam Newton pass complete short right to Greg Olsen for 33 yards (tackle by Mike Edwards),0.610,2.790
3,14:20,1,10,TAM 42,10,9,Cam Newton sacked by Shaquil Barrett for -8 yards,2.790,1.160
3,13:39,2,18,CAR 50,10,9,Cam Newton pass incomplete short right intended for Greg Olsen,1.160,0.500
3,13:34,3,18,CAR 50,10,9,Cam Newton pass incomplete short left intended for Curtis Samuel,0.500,-0.060
3,13:29,4,18,CAR 50,10,9,"Michael Palardy punts 42 yards, fair catch by Bobo Wilson at TB-8",-0.060,0.380
3,13:22,1,10,TAM 8,10,9,Peyton Barber right guard for 1 yard (tackle by Dontari Poe),-0.380,-0.710
3,12:41,2,9,TAM 9,10,9,"Penalty on O.J. Howard: False Start, 4 yards (no play)",-0.710,-1.000
3,12:21,2,13,TAM 5,10,9,Peyton Barber right tackle for no gain (tackle by Gerald McCoy and Donte Jackson),-1.000,-1.770
3,11:35,3,13,TAM 5,10,9,Jameis Winston pass incomplete short right intended for Mike Evans,-1.770,-2.490
3,11:31,4,13,TAM 5,10,9,"Bradley Pinion punts 47 yards, returned by Ray-Ray McCloud for no gain (tackle by Antony Auclair). Penalty on Ross Cockrell: Offensive Holding, 10 yards",-2.490,-1.470
3,11:21,1,10,CAR 38,10,9,Christian McCaffrey up the middle for no gain (tackle by Jordan Whitehead and Vita Vea),1.470,0.920
3,10:42,2,10,CAR 38,10,9,Cam Newton pass complete deep right to Greg Olsen for 41 yards (tackle by Kevin Minter),0.920,4.170
3,9:55,1,10,TAM 21,10,9,Christian McCaffrey right end for no gain (tackle by Carlton Davis),4.170,3.630
3,9:23,2,10,TAM 21,10,9,Cam Newton sacked by Shaquil Barrett for -7 yards,3.630,2.020
3,8:40,3,17,TAM 28,10,9,Cam Newton sacked by Shaquil Barrett for -5 yards,2.020,1.150
