Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
2,14:41,3,20,MIN 47,0,0,Matt Hasselbeck pass complete to Koren Robinson for 13 yards (tackle by Brian Williams),0.560,1.060
2,14:35,4,7,MIN 34,0,0,Josh Brown 52 yard field goal no good,1.060,-1.730
2,14:30,1,10,MIN 42,0,0,Michael Bennett up the middle for 2 yards (tackle by Rashad Moore and Isaiah Kacyvenski),1.730,1.460
2,13:54,2,8,MIN 44,0,0,Daunte Culpepper pass complete to Michael Bennett for 9 yards (tackle by Damien Robinson),1.460,2.460
2,13:25,1,10,SEA 47,0,6,"Daunte Culpepper pass complete to Randy Moss for 47 yards, touchdown",2.460,7.000
2,,,,SEA 2,0,7,Aaron Elling kicks extra point good,0.000,0.000
2,,,,MIN 30,0,7,"Aaron Elling kicks off 63 yards, returned by Maurice Morris for 36 yards",0.000,1.800
2,13:02,1,10,SEA 43,0,7,Matt Hasselbeck pass incomplete intended for Koren Robinson (defended by Ken Irvin),1.800,1.250
2,12:54,2,10,SEA 43,0,7,Shaun Alexander up the middle for -5 yards (tackle by Lance Johnstone),1.250,-0.100
2,12:15,3,15,SEA 38,0,7,Matt Hasselbeck pass incomplete intended for Darrell Jackson,-0.100,-0.850
2,12:10,4,15,SEA 38,0,7,"Tom Rouen punts 39 yards, returned by Keenan Howry for 1 yard (tackle by Alex Bannister)",-0.850,-0.540
2,12:00,1,10,MIN 24,0,7,Michael Bennett right guard for 3 yards (tackle by Randall Godfrey and D.D. Lewis),0.540,0.400
2,11:29,2,7,MIN 27,0,7,Michael Bennett up the middle for 6 yards (tackle by Lamar King),0.400,0.500
2,10:45,3,1,MIN 33,0,7,Daunte Culpepper up the middle for 3 yards (tackle by Chad Brown),0.500,1.330
2,10:13,1,10,MIN 36,0,7,Michael Bennett right guard for 4 yards (tackle by Lamar King),1.330,1.330
2,9:39,2,6,MIN 40,0,7,Daunte Culpepper pass complete to Randy Moss for 2 yards (tackle by Ken Lucas),1.330,0.890
2,9:00,3,4,MIN 42,0,7,Moe Williams up the middle for 9 yards (tackle by D.D. Lewis),0.890,2.320
2,8:21,1,10,SEA 49,0,7,Daunte Culpepper pass complete to Kelly Campbell for 7 yards (tackle by Marcus Trufant),2.320,2.730
2,7:47,2,3,SEA 42,0,7,Michael Bennett right guard for 2 yards (tackle by Cedric Woodard),2.730,2.280
2,7:10,3,1,SEA 40,0,7,Daunte Culpepper up the middle for 2 yards,2.280,3.050
2,6:31,1,10,SEA 38,0,7,Michael Bennett up the middle for 4 yards (tackle by Rashad Moore and Ken Hamlin),3.050,3.050
2,5:49,2,6,SEA 34,0,7,Daunte Culpepper pass complete to Hunter Goodwin for 12 yards (tackle by D.D. Lewis),3.050,4.110
2,5:03,1,10,SEA 22,0,7,Moe Williams left end for -2 yards (tackle by Rocky Bernard),4.110,3.290
2,4:20,2,12,SEA 24,0,7,Daunte Culpepper pass complete to Jim Kleinsasser for 6 yards (tackle by D.D. Lewis),3.290,3.400
2,3:40,3,6,SEA 18,0,7,Daunte Culpepper pass incomplete intended for D'Wayne Bates (defended by Shawn Springs),3.400,2.270
2,3:31,4,6,SEA 18,0,10,Aaron Elling 36 yard field goal good,2.270,3.000
2,,,,MIN 30,0,10,Aaron Elling kicks off 30 yards,0.000,1.600
2,3:27,1,10,SEA 40,0,10,Matt Hasselbeck pass complete to Koren Robinson for 7 yards (tackle by Ken Irvin),1.600,2.000
2,3:01,2,3,SEA 47,0,10,Shaun Alexander right tackle for 8 yards (tackle by Corey Chavous),2.000,2.590
2,2:27,1,10,MIN 45,0,10,Matt Hasselbeck pass incomplete intended for Koren Robinson is intercepted by Ken Irvin at MIN-39 and returned for 1 yard (tackle by Koren Robinson),2.590,-1.600
2,2:22,1,10,MIN 40,0,10,Michael Bennett up the middle for 2 yards (tackle by Chad Brown),1.600,1.320
2,1:21,2,8,MIN 42,0,10,Michael Bennett up the middle for 3 yards (tackle by Chike Okeafor),1.320,1.030
2,1:13,3,5,MIN 45,0,10,Daunte Culpepper left end for 1 yard (tackle by John Randle). Penalty on Bryant McKinnie: Offensive Holding (Declined),1.030,-0.320
2,1:06,4,4,MIN 46,0,10,"Eddie Johnson punts 31 yards, out of bounds. Penalty on Alex Bannister: Running Into the Kicker, 5 yards (no play)",-0.320,2.320
2,1:05,1,10,SEA 49,0,10,Daunte Culpepper pass complete to Moe Williams for 8 yards (tackle by Shawn Springs),2.320,2.860
2,0:57,,,,0,10,Timeout #2 by Seattle Seahawks,0.000,2.860
2,0:57,2,2,SEA 41,0,10,Daunte Culpepper pass complete to Moe Williams for 11 yards (tackle by Damien Robinson),2.860,3.580
2,0:51,,,,0,10,Timeout #1 by Minnesota Vikings,0.000,3.580
2,0:51,1,10,SEA 30,0,10,Daunte Culpepper pass incomplete intended for Moe Williams,3.580,3.030
2,0:42,2,10,SEA 30,0,10,Daunte Culpepper pass complete to Moe Williams for 10 yards (tackle by Ken Hamlin),3.030,4.240
2,0:22,1,10,SEA 20,0,10,Daunte Culpepper pass incomplete,4.240,3.690
2,0:21,2,10,SEA 20,0,10,Daunte Culpepper pass complete to Michael Bennett for 3 yards,3.690,3.360
2,0:04,3,7,SEA 17,0,10,Daunte Culpepper pass incomplete,3.360,2.310
2,0:02,4,7,SEA 17,0,13,Aaron Elling 35 yard field goal good,2.310,3.000
Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,0,13,"Aaron Elling kicks off 65 yards, returned by Maurice Morris for 56 yards (tackle by Rushen Jones)",0.000,2.980
3,14:51,1,10,MIN 39,0,13,Matt Hasselbeck pass complete to Koren Robinson for 6 yards (tackle by Ken Irvin),2.980,3.250
3,14:18,2,4,MIN 33,0,13,Matt Hasselbeck pass incomplete intended for Koren Robinson,3.250,2.540
3,14:13,3,4,MIN 33,0,13,Matt Hasselbeck pass complete to Bobby Engram for 29 yards (tackle by Denard Walker),2.540,6.280
3,13:40,1,4,MIN 4,0,13,Matt Hasselbeck pass complete to Darrell Jackson for 3 yards (tackle by Brian Williams),6.280,5.910
3,13:35,2,1,MIN 1,0,13,Shaun Alexander left tackle for no gain (tackle by Chris Claiborne),5.910,5.170
3,12:58,3,1,MIN 1,6,13,"Shaun Alexander left guard for 1 yard, touchdown",5.170,7.000
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
3,,,,MIN 2,7,13,Josh Brown kicks extra point good,0.000,0.000
3,,,,SEA 30,7,13,"Josh Brown kicks off 67 yards, returned by Onterrio Smith for 25 yards (tackle by Josh Brown)",0.000,0.810
3,12:32,1,10,MIN 28,7,13,Daunte Culpepper for no gain (tackle by Ken Lucas),0.810,0.260
3,12:14,2,10,MIN 28,7,13,Michael Bennett left tackle for 5 yards (tackle by D.D. Lewis and Damien Robinson),0.260,0.230
3,11:31,3,5,MIN 33,7,13,Daunte Culpepper pass complete to Kelly Campbell for 10 yards (tackle by Ken Lucas),0.230,1.800
3,10:52,1,10,MIN 43,7,13,Michael Bennett left tackle for 3 yards (tackle by Antonio Cochran),1.800,1.660
3,10:16,2,7,MIN 46,7,13,Daunte Culpepper pass incomplete intended for Kelly Campbell (defended by Marcus Trufant),1.660,0.960
3,10:07,3,7,MIN 46,7,13,Daunte Culpepper pass complete to D'Wayne Bates for 9 yards (tackle by Marcus Trufant),0.960,2.590
3,9:31,1,10,SEA 45,7,19,"Daunte Culpepper pass complete to Randy Moss for 45 yards, touchdown",2.590,7.000
3,,,,SEA 2,7,20,Aaron Elling kicks extra point good,0.000,0.000
3,,,,MIN 30,7,20,"Aaron Elling kicks off 66 yards, returned by Maurice Morris for 24 yards",0.000,0.810
3,9:17,1,10,SEA 28,7,20,Matt Hasselbeck pass complete to Mack Strong for 7 yards (tackle by Greg Biekert),0.810,1.210
3,8:43,2,3,SEA 35,7,20,Matt Hasselbeck pass complete to Bobby Engram for 21 yards (tackle by Brian Russell),1.210,2.650
3,8:03,1,10,MIN 44,7,20,Shaun Alexander right guard for 3 yards (tackle by Chuck Wiley),2.650,2.520
3,7:38,2,7,MIN 41,7,20,Matt Hasselbeck pass complete to Darrell Jackson for 11 yards (tackle by Chris Claiborne),2.520,3.580
3,7:01,1,10,MIN 30,7,20,Koren Robinson left end for -1 yards (tackle by Kenny Mixon),3.580,2.900
3,6:25,2,11,MIN 31,7,20,Matt Hasselbeck pass incomplete intended for Jerramy Stevens,2.900,2.210
3,6:20,3,11,MIN 31,7,20,Matt Hasselbeck pass incomplete (defended by Mike Nattiel),2.210,1.320
3,6:16,4,11,MIN 31,7,20,Josh Brown 49 yard field goal no good,1.320,-1.530
3,6:11,1,10,MIN 39,7,20,Michael Bennett right guard for 3 yards (tackle by Lamar King and Cedric Woodard),1.530,1.390
3,5:38,2,7,MIN 42,7,20,Michael Bennett right tackle for no gain (tackle by Cedric Woodard),1.390,0.700
3,5:04,3,7,MIN 42,7,20,Daunte Culpepper pass incomplete intended for Nate Burleson (defended by Shawn Springs),0.700,-0.590
3,5:00,4,7,MIN 42,7,20,"Eddie Johnson up the middle for 15 yards. Eddie Johnson fumbles, recovered by Eddie Johnson at MIN-33",-0.590,2.720
3,4:13,1,10,SEA 43,7,20,Michael Bennett left guard for 5 yards (tackle by Cedric Woodard),2.720,2.850
3,3:31,2,5,SEA 38,7,20,Daunte Culpepper pass incomplete intended for Kelly Campbell,2.850,2.150
3,3:29,3,5,SEA 38,7,20,Daunte Culpepper pass incomplete intended for Randy Moss,2.150,0.720
3,3:23,4,5,SEA 38,7,20,Eddie Johnson punts 29 yards,0.720,0.380
3,3:10,1,10,SEA 9,7,20,"Penalty on Mack Strong: False Start, 4 yards (no play)",-0.380,-0.530
3,3:10,1,14,SEA 5,7,20,Matt Hasselbeck pass complete to Koren Robinson for 6 yards (tackle by Ken Irvin),-0.530,-0.630
3,2:31,2,8,SEA 11,7,20,Matt Hasselbeck pass incomplete intended for Itula Mili,-0.630,-1.190
3,2:26,3,8,SEA 11,7,20,"Penalty on Chris Gray: False Start, 5 yards (no play)",-1.190,-1.770
3,2:26,3,13,SEA 6,7,20,Matt Hasselbeck pass incomplete intended for Darrell Jackson,-1.770,-2.490
3,2:22,4,13,SEA 6,7,20,"Tom Rouen punts 48 yards, returned by Keenan Howry for 6 yards (tackle by Chike Okeafor)",-2.490,-2.390
3,2:11,1,10,SEA 48,7,20,Daunte Culpepper pass complete to Randy Moss for 5 yards (tackle by Ken Hamlin),2.390,2.520
3,1:53,2,5,SEA 43,7,20,Michael Bennett left end for 9 yards (tackle by Reggie Tongue),2.520,3.310
3,1:15,1,10,SEA 34,7,20,"Michael Bennett right end for 14 yards (tackle by Reggie Tongue). Penalty on David Dixon: Offensive Holding, 10 yards (no play)",3.310,2.650
3,0:46,1,20,SEA 44,7,20,Daunte Culpepper pass incomplete intended for Randy Moss,2.650,1.420
3,0:41,2,20,SEA 44,7,20,Moe Williams left tackle for 1 yard (tackle by Cedric Woodard),1.420,0.890
Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,19,SEA 43,7,26,"Daunte Culpepper pass complete to Kelly Campbell for 43 yards, touchdown",0.890,7.000
4,,,,SEA 2,7,27,Aaron Elling kicks extra point good,0.000,0.000
4,,,,MIN 30,7,27,"Aaron Elling kicks off 65 yards, returned by Maurice Morris for 17 yards (tackle by Rushen Jones)",0.000,0.410
4,14:47,1,10,SEA 22,7,27,Shaun Alexander up the middle for 14 yards (tackle by Corey Chavous),0.410,1.330
4,14:24,1,10,SEA 36,7,27,Matt Hasselbeck pass incomplete intended for Darrell Jackson,1.330,0.790
4,14:18,2,10,SEA 36,7,27,Matt Hasselbeck sacked by Lance Johnstone for -5 yards,0.790,-0.560
4,13:41,3,15,SEA 31,7,27,Matt Hasselbeck sacked by Kevin Williams for -2 yards,-0.560,-1.440
4,13:17,4,17,SEA 29,7,27,"Tom Rouen punts 46 yards, returned by Keenan Howry for 2 yards (tackle by D.D. Lewis)",-1.440,-0.740
4,13:05,1,10,MIN 27,7,27,Michael Bennett left tackle for 9 yards (tackle by Reggie Tongue and Lamar King),0.740,1.410
4,12:23,2,1,MIN 36,7,27,Michael Bennett up the middle for 3 yards (tackle by Antonio Cochran),1.410,1.530
4,11:45,1,10,MIN 39,7,27,Michael Bennett right guard for no gain (tackle by D.D. Lewis and Ken Lucas),1.530,0.990
4,11:00,2,10,MIN 39,7,27,Moe Williams left tackle for 4 yards (tackle by Cedric Woodard),0.990,0.830
4,10:15,3,6,MIN 43,7,27,Daunte Culpepper left guard for 2 yards (tackle by Damien Robinson),0.830,-0.390
4,9:29,4,4,MIN 45,7,27,"Eddie Johnson punts 55 yards, touchback",-0.390,-0.280
4,9:18,1,10,SEA 20,7,27,Shaun Alexander right end for 4 yards (tackle by Chris Claiborne),0.280,0.270
4,8:38,2,6,SEA 24,7,27,Matt Hasselbeck pass incomplete intended for Shaun Alexander (defended by Lance Johnstone),0.270,-0.430
4,8:34,3,6,SEA 24,7,27,Matt Hasselbeck pass complete to Darrell Jackson for 22 yards (tackle by Denard Walker),-0.430,1.990
4,8:05,1,10,SEA 46,7,27,Matt Hasselbeck pass complete to Itula Mili for 3 yards (tackle by Corey Chavous),1.990,1.860
4,7:39,2,7,SEA 49,7,27,Matt Hasselbeck pass incomplete intended for Itula Mili,1.860,1.160
4,7:36,3,7,SEA 49,7,27,Matt Hasselbeck pass incomplete intended for Koren Robinson,1.160,-0.130
4,7:32,4,7,SEA 49,7,27,"Tom Rouen punts 38 yards, fair catch by Keenan Howry",-0.130,0.320
4,7:24,1,10,MIN 13,7,27,Moe Williams up the middle for 3 yards (tackle by Cedric Woodard),-0.320,-0.440
4,6:44,2,7,MIN 16,7,27,Onterrio Smith left end for 5 yards (tackle by Orlando Huff and D.D. Lewis),-0.440,-0.470
4,5:58,3,2,MIN 21,7,27,Onterrio Smith right guard for 8 yards (tackle by Orlando Huff),-0.470,0.870
4,5:15,1,10,MIN 29,7,27,"Onterrio Smith up the middle for 23 yards (tackle by Ken Hamlin). Onterrio Smith fumbles (forced by Ken Hamlin), ball out of bounds at SEA-48",0.870,2.390
4,4:45,1,10,SEA 48,7,27,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",2.390,2.060
4,4:43,1,15,MIN 47,7,27,Onterrio Smith left tackle for 4 yards (tackle by Rashad Moore),2.060,1.710
4,4:01,2,11,SEA 49,7,27,Moe Williams right end for 7 yards (tackle by Orlando Huff),1.710,1.950
4,3:14,3,4,SEA 42,7,27,Moe Williams right end for 3 yards (tackle by Cedric Woodard),1.950,0.660
4,2:37,4,1,SEA 39,7,27,"Daunte Culpepper up the middle for -1 yards. Daunte Culpepper fumbles, recovered by Moe Williams at SEA-40",0.660,-1.600
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
4,2:20,1,10,SEA 40,7,27,"Penalty on Koren Robinson: False Start, 5 yards (no play)",1.600,1.270
4,2:20,1,15,SEA 35,7,27,Matt Hasselbeck pass complete to Darrell Jackson for 21 yards (tackle by Brian Williams),1.270,2.650
4,2:02,1,10,MIN 44,7,27,Matt Hasselbeck pass complete to Shaun Alexander for 8 yards (tackle by Lance Johnstone),2.650,3.190
4,1:57,2,2,MIN 36,7,27,"Shaun Alexander left guard for 4 yards. Penalty on Ken Irvin: Illegal Use of Hands, 5 yards",3.190,3.780
4,1:49,1,10,MIN 27,7,27,Matt Hasselbeck pass incomplete intended for Shaun Alexander,3.780,3.230
4,1:48,2,10,MIN 27,7,33,"Matt Hasselbeck pass incomplete intended for Itula Mili is intercepted by Mike Nattiel at MIN-20 and returned for 80 yards, touchdown",3.230,-7.000
4,,,,SEA 2,7,34,Aaron Elling kicks extra point good,0.000,0.000
4,,,,MIN 30,7,34,"Aaron Elling kicks off 59 yards, returned by Maurice Morris for 20 yards (tackle by E.J. Henderson)",0.000,1.000
4,1:27,1,10,SEA 31,7,34,Shaun Alexander up the middle for no gain (tackle by Nick Rogers),1.000,0.460
4,0:52,2,10,SEA 31,7,34,Mack Strong right end for 1 yard (tackle by Fred Robbins and Greg Biekert),0.460,-0.100
4,0:13,3,9,SEA 32,7,34,Shaun Alexander for 1 yard (tackle by Chris Claiborne),-0.100,-1.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
