Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
2,0:33,1,10,CIN 35,3,7,Andy Dalton pass incomplete short left intended for A.J. Green is intercepted by Dimitri Patterson at CIN-42 and returned for 3 yards (tackle by A.J. Green),1.270,-2.980
2,0:28,1,10,CIN 39,3,7,Ryan Tannehill pass complete short right to Mike Wallace for 15 yards,2.980,3.970
2,0:23,1,10,CIN 24,3,7,Ryan Tannehill sacked by Wallace Gilberry for -5 yards,3.970,3.970
2,0:18,1,10,CIN 24,3,7,Timeout #1 by Miami Dolphins,3.970,2.760
2,0:18,2,15,CIN 29,3,7,Ryan Tannehill pass complete short left to Brian Hartline for 12 yards,2.760,3.750
2,0:15,3,3,CIN 17,3,7,Ryan Tannehill pass incomplete short right intended for Daniel Thomas,3.750,2.410
2,0:11,4,3,CIN 17,3,10,Caleb Sturgis 36 yard field goal good,2.410,3.000
2,0:11,,,MIA 35,3,10,Caleb Sturgis kicks off 43 yards,0.000,-0.410
2,0:02,1,10,CIN 22,3,10,Andy Dalton kneels for -1 yards,0.410,-0.270
Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,3,10,"Caleb Sturgis kicks off no gain, returned by Brandon Tate for 23 yards (tackle by Jamar Taylor)",0.000,-0.060
3,14:57,1,10,CIN 17,3,10,BenJarvus Green-Ellis right end for 4 yards (tackle by Koa Misi),-0.060,0.080
3,14:21,2,6,CIN 21,3,10,BenJarvus Green-Ellis right guard for -2 yards (tackle by Philip Wheeler),0.080,-1.000
3,13:40,3,8,CIN 19,3,10,Andy Dalton pass complete short left to A.J. Green for 18 yards (tackle by Dimitri Patterson),-1.000,1.400
3,13:13,1,10,CIN 37,3,10,BenJarvus Green-Ellis up the middle for 8 yards (tackle by Randy Starks),1.400,1.940
3,12:40,2,2,CIN 45,3,10,Andy Dalton pass complete short right to Jermaine Gresham for 1 yard (tackle by Chris Clemons),1.940,1.360
3,12:02,3,1,CIN 46,3,10,BenJarvus Green-Ellis right guard for no gain (tackle by Cameron Wake),1.360,-0.320
3,11:35,4,1,CIN 46,3,10,Andy Dalton up the middle for 2 yards (tackle by Randy Starks),-0.320,2.130
3,11:19,1,10,CIN 48,3,10,Andy Dalton pass incomplete short right intended for Jermaine Gresham,2.130,1.580
3,11:14,2,10,CIN 48,3,10,Andy Dalton pass complete short left to A.J. Green for 2 yards (tackle by Jimmy Wilson),1.580,1.160
3,10:38,3,8,,3,10,"Andy Dalton pass complete short middle to Marvin Jones for 26 yards. Penalty on Jermaine Gresham: Offensive Holding, 10 yards",1.160,3.310
3,10:27,1,10,MIA 34,3,10,BenJarvus Green-Ellis right tackle for 4 yards (tackle by Philip Wheeler),3.310,3.310
3,9:50,2,6,MIA 30,3,10,Andy Dalton pass complete short right to Mohamed Sanu for 14 yards (tackle by Derrick Shelby),3.310,4.510
3,9:08,1,10,MIA 16,3,10,Andy Dalton sacked by Jared Odrick and Derrick Shelby for -4 yards,4.510,3.420
3,8:36,2,14,MIA 20,3,10,Andy Dalton pass complete short left to Giovani Bernard for 10 yards (tackle by Dimitri Patterson),3.420,3.420
3,7:52,2,14,MIA 20,3,10,Timeout #1 by Cincinnati Bengals,3.420,4.170
3,7:52,3,4,MIA 10,3,16,"Andy Dalton pass incomplete short right intended for Marvin Jones is intercepted by Brent Grimes at MIA-6 and returned for 94 yards, touchdown",4.170,-7.000
3,7:37,,,CIN 2,3,17,Caleb Sturgis kicks extra point good,0.000,0.000
3,7:37,,,MIA 35,3,17,"Caleb Sturgis kicks off 74 yards, touchback",0.000,-0.280
3,7:37,1,10,CIN 20,3,17,BenJarvus Green-Ellis up the middle for 4 yards (tackle by Chris Clemons),0.280,0.270
3,6:57,2,6,CIN 24,3,17,Andy Dalton for 10 yards (tackle by Dimitri Patterson),0.270,1.200
3,6:23,1,10,CIN 34,3,17,Andy Dalton pass complete short left to Marvin Jones for 6 yards (tackle by Olivier Vernon and Reshad Jones),1.200,1.470
3,5:45,2,4,CIN 40,3,17,BenJarvus Green-Ellis right tackle for 6 yards (tackle by Paul Soliai),1.470,1.990
3,5:09,1,10,CIN 46,3,17,Andy Dalton pass incomplete short right intended for Tyler Eifert (defended by Paul Soliai),1.990,1.450
3,5:04,2,10,CIN 46,3,17,"Giovani Bernard right end for 11 yards (tackle by Reshad Jones). Penalty on Reshad Jones: Horse Collar Tackle, 15 yards",1.450,3.710
3,4:40,1,10,MIA 28,3,17,Andy Dalton pass complete short right to Giovani Bernard for 6 yards (tackle by Dannell Ellerbe),3.710,3.980
3,4:17,2,4,MIA 22,3,17,Giovani Bernard up the middle for 3 yards (tackle by Chris Clemons and Dion Jordan),3.980,3.720
3,3:35,3,1,MIA 19,3,17,Andy Dalton pass complete short middle to A.J. Green for 6 yards (tackle by Philip Wheeler),3.720,4.710
3,3:00,1,10,MIA 13,3,17,Giovani Bernard right guard for 10 yards (tackle by Chris Clemons),4.710,6.510
3,2:19,1,3,MIA 3,3,17,Andy Dalton pass incomplete short left intended for A.J. Green,6.510,5.530
3,2:14,2,3,MIA 3,9,17,"Giovani Bernard right guard for 3 yards, touchdown",5.530,7.000
3,2:14,,,MIA 2,10,17,Mike Nugent kicks extra point good,0.000,0.000
3,2:14,,,CIN 35,10,17,"Mike Nugent kicks off 66 yards, returned by Marcus Thigpen for 20 yards (tackle by Jayson DiManche)",0.000,-0.150
3,2:03,1,10,MIA 19,10,17,Lamar Miller left end for -1 yards (tackle by Michael Johnson),0.150,-0.560
3,1:25,2,11,MIA 18,10,17,Ryan Tannehill pass complete short right to Rishard Matthews for 8 yards (tackle by Terence Newman),-0.560,-0.160
3,0:40,3,3,MIA 26,10,17,"Ryan Tannehill pass complete short left to Brian Hartline for 9 yards. Penalty on Brian Hartline: Offensive Pass Interference, 10 yards (no play)",-0.160,-1.590
3,0:11,3,13,MIA 16,10,17,Ryan Tannehill pass complete short right to Lamar Miller for 6 yards (tackle by Reggie Nelson),-1.590,-1.900
Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,7,MIA 22,10,17,"Brandon Fields punts 52 yards, returned by Brandon Tate for 4 yards (tackle by Don Jones)",-1.900,-0.940
4,14:52,1,10,CIN 30,10,17,Andy Dalton pass complete short left to Tyler Eifert for 5 yards (tackle by Randy Starks),0.940,1.070
4,14:16,2,5,CIN 35,10,17,BenJarvus Green-Ellis up the middle for 14 yards (tackle by Reshad Jones),1.070,2.190
4,13:30,1,10,CIN 49,10,17,Andy Dalton pass complete short left to Jermaine Gresham for 16 yards (tackle by Reshad Jones),2.190,3.250
4,12:54,1,10,MIA 35,16,17,"Giovani Bernard left end for 35 yards, touchdown",3.250,7.000
4,12:54,,,MIA 2,17,17,Mike Nugent kicks extra point good,0.000,0.000
4,12:54,,,CIN 35,17,17,"Mike Nugent kicks off 72 yards, returned by Marcus Thigpen for 30 yards (tackle by Andrew Hawkins)",0.000,-0.480
4,12:31,1,10,MIA 23,17,17,Ryan Tannehill pass complete short right to Mike Wallace for 14 yards (tackle by George Iloka),0.480,1.400
4,11:55,1,10,MIA 37,17,17,Daniel Thomas left end for no gain (tackle by Chris Crocker),1.400,0.860
4,11:28,2,10,MIA 37,17,17,Ryan Tannehill pass complete short middle to Charles Clay for 6 yards (tackle by George Iloka),0.860,0.960
4,10:44,3,4,MIA 43,17,17,Ryan Tannehill pass complete short right to Mike Wallace for 3 yards (tackle by Terence Newman),0.960,-0.320
4,9:59,4,1,MIA 46,17,17,"Brandon Fields punts 43 yards, returned by Brandon Tate for 11 yards (tackle by Don Jones)",-0.320,-0.410
4,9:49,1,10,CIN 22,17,17,BenJarvus Green-Ellis right tackle for no gain (tackle by Jason Trusnik),0.410,-0.130
4,9:12,2,10,CIN 22,17,17,Andy Dalton pass complete short right to Mohamed Sanu for 7 yards (tackle by Brent Grimes),-0.130,0.100
4,8:33,3,3,CIN 29,17,17,Andy Dalton pass complete short right to Mohamed Sanu for 21 yards (tackle by Philip Wheeler),0.100,2.260
4,7:54,1,10,,17,17,BenJarvus Green-Ellis up the middle for 3 yards (tackle by Randy Starks),2.260,2.120
4,7:12,2,7,MIA 47,17,17,Andy Dalton sacked by Paul Soliai for -9 yards,2.120,0.230
4,6:31,3,16,CIN 44,17,17,Andy Dalton pass complete short left to A.J. Green for 21 yards (tackle by Chris Clemons),0.230,3.250
4,5:49,1,10,MIA 35,17,17,Giovani Bernard up the middle for 1 yard (tackle by Randy Starks),3.250,2.840
4,5:08,2,9,MIA 34,17,17,Andy Dalton pass incomplete deep middle intended for Mohamed Sanu is intercepted by Dannell Ellerbe at MIA-10 and returned for 9 yards (tackle by BenJarvus Green-Ellis),2.840,-0.150
4,4:56,1,10,MIA 19,17,17,Lamar Miller for 11 yards (tackle by Reggie Nelson),0.150,0.940
4,4:50,1,10,MIA 30,17,17,Lamar Miller up the middle for no gain (tackle by Vontaze Burfict),0.940,0.390
4,4:05,2,10,MIA 30,17,17,Lamar Miller up the middle for 4 yards (tackle by Domata Peko),0.390,0.230
4,3:26,3,6,MIA 34,17,17,Ryan Tannehill pass incomplete short left intended for Brian Hartline,0.230,-1.110
4,3:20,4,6,MIA 34,17,17,Brandon Fields punts 52 yards,-1.110,-0.870
4,3:07,1,10,CIN 29,17,17,Andy Dalton pass incomplete short left intended for Andrew Hawkins,0.870,0.330
4,3:04,2,10,CIN 29,17,17,Andy Dalton pass complete short right to A.J. Green for 10 yards (tackle by Chris Clemons),0.330,1.530
4,2:15,1,10,CIN 39,17,17,BenJarvus Green-Ellis left tackle for 3 yards (tackle by Olivier Vernon),1.530,1.390
4,2:00,2,7,CIN 42,17,17,Andy Dalton pass incomplete deep right intended for Marvin Jones,1.390,0.700
4,1:54,3,7,CIN 42,17,17,Andy Dalton pass complete short right to Mohamed Sanu for 16 yards (tackle by Reshad Jones),0.700,2.790
4,1:48,1,10,MIA 42,17,17,BenJarvus Green-Ellis left guard for 3 yards (tackle by Dion Jordan),2.790,2.790
4,1:41,1,10,MIA 42,17,17,Timeout #1 by Miami Dolphins,2.790,2.650
4,1:41,2,7,MIA 39,17,17,BenJarvus Green-Ellis left tackle for 3 yards (tackle by Olivier Vernon and Jason Trusnik),2.650,2.650
4,1:35,2,7,MIA 39,17,17,Timeout #2 by Miami Dolphins,2.650,2.340
4,1:35,3,4,MIA 36,17,17,Andy Dalton pass incomplete deep right intended for Mohamed Sanu,2.340,0.890
4,1:29,4,4,MIA 36,20,17,Mike Nugent 54 yard field goal good,0.890,3.000
4,1:29,,,CIN 35,20,17,"Mike Nugent kicks off 70 yards, returned by Marcus Thigpen for 29 yards (tackle by Cedric Peerman)",0.000,-0.540
4,1:18,1,10,MIA 24,20,17,Ryan Tannehill sacked by Michael Johnson for -7 yards,0.540,0.540
4,1:11,1,10,MIA 24,20,17,Timeout #3 by Miami Dolphins,0.540,-1.080
4,1:11,2,17,MIA 17,20,17,Ryan Tannehill pass complete deep left to Rishard Matthews for 16 yards (tackle by Chris Crocker),-1.080,0.500
4,0:49,3,1,MIA 33,20,17,Ryan Tannehill pass complete short right to Charles Clay for 9 yards,0.500,1.730
4,0:33,1,10,MIA 42,20,17,Ryan Tannehill pass complete short right to Mike Wallace for 5 yards,1.730,1.860
4,0:32,2,5,MIA 47,20,17,Ryan Tannehill pass complete deep left to Brian Hartline for 21 yards,1.860,3.450
4,0:27,1,10,CIN 32,20,17,Ryan Tannehill pass incomplete short left intended for Rishard Matthews,3.450,2.900
4,0:24,2,10,CIN 32,20,17,Ryan Tannehill pass complete short left to Brian Hartline for 6 yards,2.900,3.010
4,0:20,3,4,CIN 26,20,17,Ryan Tannehill pass incomplete deep right intended for Mike Wallace,3.010,3.010
4,0:16,3,4,CIN 26,20,17,Timeout #2 by Cincinnati Bengals,3.010,1.810
4,0:16,4,4,CIN 26,20,20,Caleb Sturgis 44 yard field goal good,1.810,3.000
4,0:16,,,MIA 35,20,20,"Caleb Sturgis kicks off 60 yards, returned by Brandon Tate for 22 yards (tackle by Jason Trusnik)",0.000,-0.740
4,0:05,1,10,CIN 27,20,20,Andy Dalton kneels for -1 yards,0.740,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
,,,,,,,"Dolphins won the coin toss, Dolphins to receive the overtime kickoff.",,
OT,15:00,,,CIN 35,20,20,"Mike Nugent kicks off 73 yards, touchback",0.000,-0.280
OT,15:00,1,10,MIA 20,20,20,Lamar Miller right tackle for 2 yards (tackle by Domata Peko),0.280,0.000
OT,14:21,2,8,MIA 22,20,20,Ryan Tannehill pass complete short left to Charles Clay for 7 yards (tackle by Vontaze Burfict),0.000,0.000
OT,13:38,2,8,MIA 22,20,20,Timeout #1 by Miami Dolphins,0.000,0.230
OT,13:38,3,1,MIA 29,20,20,Ryan Tannehill pass incomplete short middle intended for Brian Hartline,0.230,-1.440
OT,13:35,4,1,MIA 29,20,20,"Brandon Fields punts 48 yards, returned by Brandon Tate for 2 yards (tackle by Don Jones)",-1.440,-0.610
OT,13:24,1,10,CIN 25,20,20,BenJarvus Green-Ellis left end for -1 yards (tackle by Randy Starks),0.610,-0.070
OT,12:40,2,11,CIN 24,20,20,Andy Dalton pass complete short left to Jermaine Gresham for 16 yards (tackle by Reshad Jones),-0.070,1.600
OT,12:00,1,10,CIN 40,20,20,BenJarvus Green-Ellis up the middle for 3 yards (tackle by Dannell Ellerbe),1.600,1.460
OT,11:18,2,7,CIN 43,20,20,Andy Dalton pass complete short right to Mohamed Sanu for 2 yards (tackle by Brent Grimes),1.460,1.460
OT,10:44,2,7,CIN 43,20,20,Timeout #1 by Cincinnati Bengals,1.460,1.030
OT,10:44,3,5,CIN 45,20,20,Andy Dalton pass complete short left to A.J. Green for 14 yards (tackle by Brent Grimes),1.030,2.850
OT,10:04,1,10,MIA 41,20,20,BenJarvus Green-Ellis up the middle for 2 yards (tackle by Paul Soliai),2.850,2.580
OT,9:20,2,8,MIA 39,20,20,Andy Dalton pass incomplete short left intended for Mohamed Sanu,2.580,1.880
OT,9:16,3,8,MIA 39,20,20,Andy Dalton pass incomplete short middle intended for A.J. Green (defended by Dannell Ellerbe),1.880,0.660
OT,9:12,4,8,MIA 39,20,20,"Kevin Huber punts 25 yards, fair catch by Marcus Thigpen",0.660,0.280
OT,9:05,1,10,MIA 14,20,20,"Ryan Tannehill pass incomplete deep right intended for Mike Wallace. Penalty on Terence Newman: Defensive Pass Interference, 38 yards (no play)",-0.280,2.390
OT,8:58,1,10,CIN 48,20,20,Ryan Tannehill pass complete short middle to Lamar Miller for 9 yards (tackle by George Iloka),2.390,3.060
OT,8:24,2,1,CIN 39,20,20,Daniel Thomas up the middle for no gain (tackle by George Iloka),3.060,2.340
OT,7:44,3,1,CIN 39,20,20,Daniel Thomas left guard for -1 yards (tackle by James Harrison),2.340,0.590
OT,7:01,4,2,CIN 40,20,20,Brandon Fields punts 32 yards,0.590,0.380
OT,6:52,1,10,CIN 8,20,20,Andy Dalton pass incomplete short middle intended for A.J. Green,-0.380,-0.780
OT,6:47,2,10,CIN 8,20,20,Andy Dalton pass incomplete deep right intended for A.J. Green,-0.780,-1.420
OT,6:42,3,10,CIN 8,20,22,"Andy Dalton sacked by Cameron Wake for -8 yards, safety",-1.420,-2.000
,,,,,,,"Replay Assistant challenged the safety ruling, and the play was upheld.",,
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
