Quarter,Time,Down,ToGo,Location,NWE,SEA,Detail,EPB,EPA
2,8:03,3,6,SEA 44,10,14,Seneca Wallace pass complete short right to Bobby Engram for 7 yards,0.890,2.320
2,7:35,1,10,NWE 49,10,14,T.J. Duckett right tackle for 2 yards (tackle by LeKevin Smith and Mike Vrabel),2.320,2.050
2,6:58,2,8,NWE 47,10,14,Seneca Wallace pass incomplete short middle intended for John Carlson (defended by Brandon Meriweather),2.050,1.360
2,6:54,3,8,NWE 47,10,14,Seneca Wallace pass incomplete short right intended for Bobby Engram,1.360,0.130
2,6:50,4,8,NWE 47,10,14,"Jon Ryan punts 37 yards, fair catch by Wes Welker",0.130,0.380
2,6:43,1,10,NWE 10,10,14,Matt Cassel pass complete short right to Jabar Gaffney for 9 yards (tackle by Kelly Jennings),-0.380,0.240
2,6:02,2,1,NWE 19,10,14,Sammy Morris right guard for 2 yards (tackle by Baraka Atkins and Darryl Tapp),0.240,0.340
2,5:30,1,10,NWE 21,10,14,Matt Cassel pass incomplete short middle intended for Wes Welker,0.340,-0.200
2,5:25,2,10,NWE 21,10,14,Kevin Faulk left tackle for 7 yards (tackle by Deon Grant),-0.200,0.040
2,4:47,3,3,NWE 28,10,14,Matt Cassel pass complete short right to Wes Welker for 12 yards (tackle by Marcus Trufant),0.040,1.600
2,4:08,1,10,NWE 40,10,14,Matt Cassel pass complete short left to Kevin Faulk for 6 yards (tackle by Lofa Tatupu),1.600,1.860
2,3:43,2,4,NWE 46,10,14,Sammy Morris left guard for 4 yards (tackle by Lofa Tatupu),1.860,2.260
2,3:02,1,10,,10,14,Matt Cassel pass incomplete deep right intended for Randy Moss (defended by Marcus Trufant),2.260,1.710
2,2:56,2,10,,10,14,Matt Cassel pass complete short right to Kevin Faulk for no gain,1.710,1.030
2,2:09,,,,10,14,Timeout #1 by New England Patriots,0.000,1.030
2,2:09,3,10,,10,14,Matt Cassel sacked by Baraka Atkins for -3 yards,1.030,-0.260
2,2:00,4,13,NWE 47,10,14,Chris Hanson punts 22 yards,-0.260,-1.000
2,1:53,1,10,SEA 31,10,14,Seneca Wallace pass complete short right to John Carlson for -1 yards (tackle by Richard Seymour),1.000,0.320
2,1:08,2,11,SEA 30,10,14,Maurice Morris right end for 4 yards (tackle by Mike Vrabel),0.320,0.170
2,1:01,,,,10,14,Timeout #2 by New England Patriots,0.000,0.170
2,1:01,3,7,SEA 34,10,14,Seneca Wallace pass complete short left to Will Heller for 5 yards (tackle by Lewis Sanders),0.170,-0.780
2,0:50,,,,10,14,Timeout #3 by New England Patriots,0.000,-0.780
2,0:50,4,2,SEA 39,10,14,"Jon Ryan punts 36 yards, returned by Wes Welker for 2 yards (tackle by Courtney Taylor)",-0.780,-0.740
2,0:41,1,10,NWE 27,10,14,Matt Cassel pass complete short left to Kevin Faulk for 9 yards (tackle by Jordan Babineaux),0.740,1.410
2,0:21,2,1,NWE 36,10,14,Matt Cassel pass incomplete short left intended for Jabar Gaffney,1.410,0.700
2,0:17,3,1,NWE 36,10,14,Matt Cassel pass complete short left to Jabar Gaffney for 6 yards (tackle by Kelly Jennings),0.700,1.730
Quarter,Time,Down,ToGo,Location,NWE,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,10,14,"Stephen Gostkowski kicks off 65 yards, returned by Josh Wilson for 16 yards (tackle by Matt Slater)",0.000,0.340
3,14:54,1,10,SEA 21,10,14,Seneca Wallace pass complete short right to Bobby Engram for 8 yards (tackle by Jonathan Wilhite),0.340,0.880
3,14:37,2,2,SEA 29,10,14,Maurice Morris left guard for 1 yard (tackle by Mike Wright),0.880,0.300
3,14:08,3,1,SEA 30,10,14,T.J. Duckett up the middle for 5 yards (tackle by Jarvis Green),0.300,1.270
3,13:29,1,10,SEA 35,10,14,Maurice Morris up the middle for no gain (tackle by Mike Vrabel),1.270,0.720
3,12:57,2,10,SEA 35,10,14,Seneca Wallace pass complete short right to Maurice Morris for 9 yards (tackle by Jonathan Wilhite),0.720,1.220
3,12:19,3,1,SEA 44,10,14,Seneca Wallace pass complete short right to John Carlson for 5 yards (tackle by Junior Seau),1.220,2.190
3,11:46,1,10,SEA 49,10,14,"Leonard Weaver right end for 28 yards (tackle by Brandon Meriweather). Penalty on Mansfield Wrotto: Offensive Holding, 10 yards (no play)",2.190,1.530
3,11:14,1,20,SEA 39,10,14,Seneca Wallace pass complete short left to Bobby Engram for 7 yards (tackle by Ellis Hobbs),1.530,1.240
3,10:34,2,13,SEA 46,10,14,Seneca Wallace pass complete short right to Maurice Morris for 10 yards (tackle by Mike Vrabel),1.240,1.880
3,10:03,3,3,NWE 44,10,14,Seneca Wallace pass incomplete short middle intended for Maurice Morris (defended by Gary Guyton),1.880,0.330
3,9:56,4,3,NWE 44,10,14,Jon Ryan punts 26 yards,0.330,-0.040
3,9:50,1,10,NWE 18,10,14,Sammy Morris left tackle for 4 yards (tackle by Lofa Tatupu),0.040,0.140
3,9:17,2,6,NWE 22,10,14,Matt Cassel pass complete short left to Wes Welker for 3 yards (tackle by Kelly Jennings),0.140,-0.270
3,8:39,3,3,NWE 25,10,14,Matt Cassel pass incomplete short left intended for Kevin Faulk,-0.270,-1.700
3,8:34,4,3,NWE 25,10,14,"Chris Hanson punts 46 yards, fair catch by Justin Forsett",-1.700,-0.870
3,8:26,1,10,SEA 29,10,14,Seneca Wallace pass incomplete short right intended for Koren Robinson,0.870,0.330
3,8:21,2,10,SEA 29,10,14,Maurice Morris right tackle for 6 yards (tackle by Jarvis Green),0.330,0.430
3,7:39,,,,10,14,Timeout #1 by Seattle Seahawks,0.000,0.430
3,7:39,3,4,SEA 35,10,14,Seneca Wallace pass incomplete short left intended for Koren Robinson,0.430,-1.040
3,7:33,4,4,SEA 35,10,14,"Jon Ryan punts 54 yards, returned by Wes Welker for 8 yards (tackle by Jordan Babineaux)",-1.040,-0.150
3,7:23,1,10,NWE 19,10,14,Sammy Morris up the middle for 6 yards (tackle by Jordan Babineaux and Lofa Tatupu),0.150,0.480
3,6:47,2,4,NWE 25,10,14,Matt Cassel pass complete short right to Wes Welker for 8 yards,0.480,1.140
3,6:28,1,10,NWE 33,10,14,Matt Cassel pass incomplete deep right intended for Wes Welker,1.140,0.590
3,6:22,2,10,NWE 33,10,14,Matt Cassel pass incomplete deep right intended for Jabar Gaffney,0.590,-0.100
3,6:16,3,10,NWE 33,10,14,Matt Cassel pass complete deep middle to Wes Welker for 17 yards (tackle by Brian Russell),-0.100,2.260
3,5:40,1,10,,10,14,LaMont Jordan left tackle for 3 yards (tackle by Julian Peterson),2.260,2.120
3,5:01,2,7,SEA 47,10,14,Matt Cassel left end for 4 yards (tackle by Darryl Tapp),2.120,1.950
3,4:20,3,3,SEA 43,10,14,Matt Cassel pass complete short right to Wes Welker for 12 yards (tackle by Josh Wilson),1.950,3.510
3,3:41,1,10,SEA 31,10,14,Matt Cassel pass incomplete deep middle intended for Randy Moss (defended by Marcus Trufant),3.510,2.970
3,3:33,2,10,SEA 31,10,14,Matt Cassel pass complete short right to Sam Aiken for 6 yards (tackle by Brian Russell),2.970,3.070
3,2:50,3,4,SEA 25,10,14,Matt Cassel pass incomplete (defended by Julian Peterson),3.070,1.880
3,2:45,4,4,SEA 25,13,14,Stephen Gostkowski 42 yard field goal good,1.880,3.000
3,,,,NWE 30,13,14,"Stephen Gostkowski kicks off 68 yards, returned by Josh Wilson for 26 yards (tackle by Mike Richardson). Josh Wilson fumbles (forced by Mike Richardson), recovered by Will Herring at SEA-38",0.000,1.470
3,2:30,1,10,SEA 38,13,14,"Maurice Morris right tackle for 1 yard (tackle by Junior Seau). Penalty on Sean Locklear: Offensive Holding, 10 yards (no play)",1.470,0.810
3,2:06,1,20,SEA 28,13,14,Seneca Wallace pass complete short right to Deion Branch for 63 yards (tackle by Lewis Sanders),0.810,5.140
,,,,,,,"NWE challenged the pass completion ruling, and the play was upheld.",,
3,1:21,1,9,NWE 9,13,14,Leonard Weaver right tackle for 5 yards (tackle by Jerod Mayo and Lewis Sanders),5.140,5.340
3,0:49,2,4,NWE 4,13,20,"Seneca Wallace pass complete short left to Deion Branch for 4 yards, touchdown",5.340,7.000
3,,,,NWE 2,13,21,Olindo Mare kicks extra point good,0.000,0.000
3,,,,SEA 30,13,21,"Olindo Mare kicks off 72 yards, returned by Ellis Hobbs for 25 yards (tackle by Jordan Babineaux)",0.000,0.480
3,0:34,1,10,NWE 23,13,21,Matt Cassel pass incomplete deep left intended for Randy Moss,0.480,-0.070
3,0:29,2,10,NWE 23,13,21,Matt Cassel pass incomplete short middle intended for Randy Moss (defended by Marcus Trufant),-0.070,-0.760
3,0:25,3,10,NWE 23,13,21,Matt Cassel pass complete deep middle to Jabar Gaffney for 28 yards (tackle by Kelly Jennings),-0.760,2.320
Quarter,Time,Down,ToGo,Location,NWE,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 49,13,21,LaMont Jordan up the middle for 3 yards (tackle by Darryl Tapp and Lawrence Jackson),2.320,2.190
4,14:22,2,7,SEA 46,13,21,Matt Cassel pass incomplete short right intended for Jabar Gaffney,2.190,1.490
4,14:18,3,7,SEA 46,13,21,Matt Cassel pass complete deep right to Randy Moss for 33 yards (tackle by Josh Wilson),1.490,4.710
4,13:51,,,,13,21,Timeout #2 by New England Patriots,0.000,4.710
4,13:51,1,10,SEA 13,13,21,Matt Cassel right tackle for 1 yard (tackle by Darryl Tapp),4.710,4.220
4,13:09,2,9,SEA 12,13,21,Kevin Faulk up the middle for 3 yards (tackle by Baraka Atkins),4.220,3.880
4,12:27,3,6,SEA 9,13,21,Matt Cassel pass incomplete short right intended for Randy Moss,3.880,2.850
4,12:22,4,6,SEA 9,16,21,Stephen Gostkowski 27 yard field goal good,2.850,3.000
4,,,,NWE 30,16,21,"Stephen Gostkowski kicks off 55 yards, returned by Josh Wilson for 8 yards (tackle by Gary Guyton)",0.000,0.480
4,12:11,1,10,SEA 23,16,21,Maurice Morris left guard for -1 yards (tackle by LeKevin Smith),0.480,-0.200
4,11:37,2,11,SEA 22,16,21,Seneca Wallace pass complete short middle to John Carlson for 8 yards (tackle by Jerod Mayo),-0.200,0.170
4,11:02,3,3,SEA 30,16,21,Seneca Wallace pass complete short middle to John Carlson for 7 yards (tackle by Lewis Sanders),0.170,1.400
4,10:24,1,10,SEA 37,16,21,Maurice Morris left end for -3 yards (tackle by Brandon Meriweather),1.400,0.450
4,9:46,2,13,SEA 34,16,21,Leonard Weaver up the middle for 3 yards (tackle by Mike Wright),0.450,0.170
4,9:07,,,,16,21,Timeout #2 by Seattle Seahawks,0.000,0.170
4,9:07,3,10,SEA 37,16,21,Seneca Wallace pass incomplete short right intended for Deion Branch,0.170,-0.910
4,8:56,4,10,SEA 37,16,21,"Jon Ryan punts 44 yards, returned by Wes Welker for 10 yards (tackle by Will Herring)",-0.910,-0.870
4,8:47,1,10,NWE 29,16,21,Matt Cassel sacked by Baraka Atkins for -4 yards,0.870,-0.210
4,8:09,2,14,NWE 25,16,21,Matt Cassel left end for 9 yards (tackle by Lofa Tatupu),-0.210,0.300
4,7:44,,,,16,21,Timeout #3 by Seattle Seahawks,0.000,0.300
4,7:44,3,5,NWE 34,16,21,Matt Cassel pass complete short left to Kevin Faulk for 11 yards (tackle by Darryl Tapp),0.300,1.930
4,7:06,1,10,NWE 45,16,21,Matt Cassel pass incomplete short middle intended for Wes Welker (defended by Josh Wilson),1.930,1.380
4,7:00,2,10,NWE 45,16,21,Matt Cassel pass complete short right to Wes Welker for 6 yards (tackle by Josh Wilson),1.380,1.490
4,6:21,3,4,SEA 49,16,21,Matt Cassel pass complete short middle to Jabar Gaffney for 5 yards (tackle by Lofa Tatupu),1.490,2.650
4,5:40,1,10,SEA 44,16,21,Matt Cassel pass incomplete short left intended for Jabar Gaffney,2.650,2.110
4,5:35,2,10,SEA 44,16,21,Matt Cassel pass incomplete short middle intended for Wes Welker,2.110,1.420
4,5:31,3,10,SEA 44,16,21,Matt Cassel pass complete short right to Wes Welker for 13 yards (tackle by Josh Wilson),1.420,3.510
4,5:09,1,10,SEA 31,16,21,Matt Cassel pass complete short left to Wes Welker for 25 yards (tackle by Deon Grant),3.510,5.830
4,4:38,1,6,SEA 6,16,21,Matt Cassel sacked by Brandon Mebane for -1 yards,5.830,4.760
4,3:59,2,7,SEA 7,16,21,Kevin Faulk left tackle for 6 yards (tackle by Lofa Tatupu and Rocky Bernard),4.760,5.170
4,3:24,3,1,SEA 1,16,21,Sammy Morris right tackle for no gain (tackle by Lofa Tatupu),5.170,3.550
4,2:50,4,1,SEA 1,22,21,"Sammy Morris up the middle for 1 yard, touchdown",3.550,7.000
4,,,,,24,21,"Two Point Attempt: Matt Cassel pass complete to Wes Welker, conversion succeeds",1.000,1.000
4,,,,NWE 30,24,21,"Stephen Gostkowski kicks off 62 yards, returned by Josh Wilson for 26 yards (tackle by Matt Slater)",0.000,1.200
4,2:40,1,10,SEA 34,24,21,Seneca Wallace right end for 23 yards (tackle by Deltha O'Neal),1.200,2.720
4,2:05,1,10,NWE 43,24,21,Maurice Morris left tackle for -1 yards (tackle by Richard Seymour and Mike Wright),2.720,2.040
4,1:59,2,11,NWE 44,24,21,"Seneca Wallace sacked by Brandon Meriweather for -5 yards. Seneca Wallace fumbles (forced by Brandon Meriweather), recovered by Richard Seymour at SEA-49 (tackle by Floyd Womack)",2.040,-2.320
4,1:54,1,10,SEA 49,24,21,Matt Cassel kneels for -1 yards,2.320,1.650
4,1:14,2,11,,24,21,Matt Cassel kneels for -1 yards,1.650,0.830
4,0:39,3,12,NWE 49,24,21,Matt Cassel kneels for -1 yards,0.830,-0.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
