Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
2,13:03,2,10,SFO 21,3,7,Michael Vick pass complete short left to LeSean McCoy for 7 yards (tackle by Dashon Goldson),3.630,4.020
2,12:15,3,3,SFO 14,3,7,Michael Vick pass incomplete short left intended for LeSean McCoy,4.020,2.610
2,12:12,4,3,SFO 14,3,10,Alex Henery 32 yard field goal good,2.610,3.000
2,,,,PHI 35,3,10,"Alex Henery kicks off 72 yards, returned by Ted Ginn Jr. for 20 yards (tackle by Akeem Jordan)",0.000,-0.320
2,12:04,1,10,SFO 13,3,10,Alex Smith pass complete short right to Kyle Williams for 4 yards (tackle by Moise Fokou and Jamar Chaney),-0.320,-0.300
2,11:29,2,6,SFO 17,3,10,Frank Gore right guard for no gain (tackle by Brian Rolle),-0.300,-0.940
2,10:47,3,6,SFO 17,3,10,Alex Smith pass incomplete short middle intended for Vernon Davis,-0.940,-2.320
2,10:42,4,6,SFO 17,3,10,Andy Lee punts 34 yards,-2.320,-2.190
2,10:34,1,10,PHI 49,3,10,Michael Vick pass incomplete deep left intended for Jeremy Maclin,2.190,1.650
2,10:28,2,10,PHI 49,3,10,LeSean McCoy up the middle for 1 yard (tackle by Patrick Willis),1.650,1.090
2,9:41,3,9,,3,10,"Penalty on Jason Peters: False Start, 5 yards (no play)",1.090,0.430
2,9:20,3,14,PHI 45,3,10,Michael Vick for 24 yards (tackle by Navorro Bowman),0.430,3.510
2,8:46,1,10,SFO 31,3,10,Michael Vick pass complete deep middle to Clay Harbor for 27 yards (tackle by Dashon Goldson),3.510,6.280
2,8:07,1,4,SFO 4,3,10,Michael Vick pass incomplete short right intended for Brent Celek,6.280,5.340
2,8:01,2,4,SFO 4,3,10,LeSean McCoy up the middle for 3 yards (tackle by Dashon Goldson),5.340,5.170
2,7:13,3,1,SFO 1,3,10,"Ronnie Brown up the middle for -3 yards. Ronnie Brown fumbles, recovered by Navorro Bowman at SFO-4 (tackle by Kyle DeVan)",5.170,0.380
,,,,,,,"PHI challenged the fumble ruling, and the play was upheld.",,
2,7:03,1,10,SFO 4,3,10,Kendall Hunter up the middle for 4 yards (tackle by Antonio Dixon),-0.380,-0.490
2,6:26,2,6,SFO 8,3,10,Alex Smith pass incomplete short right intended for Vernon Davis,-0.490,-0.950
2,6:21,3,6,SFO 8,3,10,Alex Smith pass incomplete short right intended for Kendall Hunter,-0.950,-2.490
2,6:15,4,6,SFO 8,3,10,"Andy Lee punts 59 yards, returned by DeSean Jackson for -1 yards, lateral to Dominique Rodgers-Cromartie for -2 yards (tackle by Anthony Dixon)",-2.490,-0.940
2,6:00,1,10,PHI 30,3,10,Michael Vick up the middle for 11 yards (tackle by Navorro Bowman),0.940,1.660
2,5:13,1,10,PHI 41,3,10,Michael Vick pass incomplete short left intended for Jason Avant,1.660,1.120
2,5:08,2,10,PHI 41,3,10,Michael Vick pass complete short left to Jeremy Maclin for 11 yards (tackle by Patrick Willis),1.120,2.390
2,4:15,1,10,SFO 48,3,10,Michael Vick pass incomplete short left intended for LeSean McCoy (defended by Ricky Jean-Francois),2.390,1.850
2,4:11,2,10,SFO 48,3,10,Michael Vick for 5 yards (tackle by Patrick Willis),1.850,1.820
2,3:36,3,5,SFO 43,3,10,Michael Vick pass complete deep right to DeSean Jackson for 29 yards (tackle by Tarell Brown),1.820,4.650
2,3:07,1,10,SFO 14,3,10,Michael Vick sacked by Aldon Smith for -10 yards. Penalty on Kyle DeVan: Offensive Holding (Declined),4.650,2.740
2,2:46,2,20,SFO 24,3,10,Michael Vick pass complete short middle to Jason Avant for 11 yards (tackle by Reggie Smith),2.740,3.260
2,2:02,3,9,SFO 13,3,10,Michael Vick pass complete short left to LeSean McCoy for -1 yards (tackle by Navorro Bowman),3.260,2.510
2,1:55,4,10,SFO 14,3,13,Alex Henery 32 yard field goal good,2.510,3.000
2,,,,PHI 35,3,13,"Alex Henery kicks off 53 yards, returned by Kendall Hunter for 16 yards (tackle by Colt Anderson)",0.000,0.810
2,1:46,1,10,SFO 28,3,13,"Alex Smith sacked by Jason Babin for -6 yards. Alex Smith fumbles (forced by Jason Babin), recovered by Cullen Jenkins at SFO-26 and returned for 3 yards (tackle by Mike Iupati)",0.810,-4.040
2,1:32,1,10,SFO 23,3,13,LeSean McCoy up the middle for 3 yards (tackle by Justin Smith),4.040,3.900
2,1:01,2,7,SFO 20,3,13,Michael Vick pass complete short right to LeSean McCoy for 10 yards (tackle by Chris Culliver),3.900,4.910
2,0:53,,,,3,13,Timeout #2 by Philadelphia Eagles,0.000,4.910
2,0:53,1,10,SFO 10,3,13,Michael Vick pass incomplete short left intended for Jason Avant (defended by Dashon Goldson),4.910,4.190
2,0:47,2,10,SFO 10,3,13,Michael Vick pass complete short left to Jeremy Maclin for 5 yards (tackle by Shawntae Spencer),4.190,4.260
2,0:42,,,,3,13,Timeout #3 by Philadelphia Eagles,0.000,4.260
2,0:42,3,5,SFO 5,3,19,"Michael Vick pass complete short middle to LeSean McCoy for 5 yards, touchdown",4.260,7.000
2,,,,SFO 2,3,20,Alex Henery kicks extra point good,0.000,0.000
2,,,,PHI 35,3,20,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
2,0:38,1,10,SFO 20,3,20,Alex Smith pass complete short right to Frank Gore for 2 yards (tackle by Asante Samuel),0.280,0.000
2,0:11,2,8,SFO 22,3,20,Alex Smith pass incomplete short left intended for Michael Crabtree,0.000,-0.690
2,0:08,3,8,SFO 22,3,20,Frank Gore left tackle for 10 yards (tackle by Joselio Hanson),-0.690,1.070
2,0:01,,,,3,20,Timeout #2 by San Francisco 49ers,0.000,1.070
2,0:01,1,10,SFO 32,3,20,Alex Smith pass complete short right to Frank Gore for 10 yards (tackle by Joselio Hanson and Jamar Chaney),1.070,1.730
Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,3,20,"Alex Henery kicks off 69 yards, returned by Ted Ginn Jr. for 30 yards (tackle by Dominique Rodgers-Cromartie)",0.000,0.670
3,14:55,1,10,SFO 26,3,20,"Alex Smith pass complete deep left to Josh Morgan for 26 yards (tackle by Nnamdi Asomugha). Penalty on Jason Babin: Roughing the Passer, 15 yards",0.670,3.380
3,14:31,1,10,PHI 33,3,20,Kendall Hunter left tackle for 3 yards (tackle by Moise Fokou),3.380,3.240
3,13:50,2,7,PHI 30,3,20,"Alex Smith pass complete short right to Delanie Walker for -3 yards (tackle by Cullen Jenkins). Penalty on Anthony Davis: Tripping, 10 yards (no play)",3.240,1.890
3,13:18,2,17,PHI 40,3,20,Alex Smith pass complete short left to Delanie Walker for 11 yards (tackle by Jarrad Page),1.890,2.680
3,12:36,,,,3,20,Timeout #1 by Philadelphia Eagles,0.000,2.680
3,12:36,3,6,PHI 29,3,20,Alex Smith pass complete short left to Michael Crabtree for 2 yards (tackle by Nate Allen),2.680,1.750
3,11:53,4,4,PHI 27,3,20,"David Akers 45 yard field goal no good, blocked by King Dunlap, recovered by Colt Anderson and returned for 10 yards",1.750,-2.920
3,11:44,1,10,SFO 40,3,20,Michael Vick pass complete deep left to DeSean Jackson for 19 yards (tackle by Tarell Brown),2.920,4.170
3,11:01,1,10,SFO 21,3,20,Michael Vick pass incomplete short right intended for LeSean McCoy,4.170,3.630
3,10:56,2,10,SFO 21,3,20,LeSean McCoy up the middle for 4 yards (tackle by Navorro Bowman),3.630,3.460
3,10:18,3,6,SFO 17,3,20,Michael Vick pass complete short right to Brent Celek for 2 yards (tackle by Chris Culliver),3.460,2.520
3,9:34,4,4,SFO 15,3,23,Alex Henery 33 yard field goal good,2.520,3.000
3,,,,PHI 35,3,23,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
3,9:30,1,10,SFO 20,3,23,Alex Smith pass complete short right to Delanie Walker for 4 yards (tackle by Jamar Chaney),0.280,0.270
3,8:50,2,6,SFO 24,3,23,Alex Smith pass complete short right to Kendall Hunter for 44 yards (tackle by Dominique Rodgers-Cromartie),0.270,3.450
3,8:03,1,10,PHI 32,3,23,Kendall Hunter right guard for 2 yards (tackle by Phillip Hunt),3.450,3.170
3,7:26,2,8,PHI 30,9,23,"Alex Smith pass complete short right to Josh Morgan for 30 yards, touchdown",3.170,7.000
3,,,,PHI 2,10,23,David Akers kicks extra point good,0.000,0.000
3,,,,SFO 35,10,23,"David Akers kicks off 65 yards, returned by Dion Lewis for 21 yards (tackle by Tavares Gooden)",0.000,0.340
3,7:13,1,10,PHI 21,10,23,Michael Vick up the middle for 7 yards (tackle by Ahmad Brooks),0.340,0.750
3,6:34,2,3,PHI 28,10,23,Michael Vick pass incomplete short right intended for Brent Celek,0.750,0.040
3,6:28,3,3,PHI 28,10,23,Michael Vick right end for 1 yard (tackle by Navorro Bowman),0.040,-1.440
3,5:42,4,2,PHI 29,10,23,"Chas Henry punts 42 yards, returned by Ted Ginn Jr. for -6 yards (tackle by Keenan Clayton)",-1.440,-0.480
3,5:30,1,10,SFO 23,10,23,Alex Smith pass complete deep left to Michael Crabtree for 38 yards (tackle by Jamar Chaney),0.480,2.980
3,4:49,1,10,PHI 39,10,23,Kendall Hunter right end for 12 yards (tackle by Brian Rolle),2.980,3.780
3,4:09,1,10,PHI 27,10,23,Alex Smith pass complete short left to Bruce Miller for 15 yards (tackle by Nate Allen),3.780,4.780
3,3:40,1,10,PHI 12,10,23,Frank Gore up the middle for 3 yards (tackle by Jamar Chaney),4.780,4.640
3,3:03,2,7,PHI 9,16,23,"Alex Smith pass complete short right to Vernon Davis for 9 yards, touchdown",4.640,7.000
3,,,,PHI 2,17,23,David Akers kicks extra point good,0.000,0.000
3,,,,SFO 35,17,23,"David Akers kicks off 65 yards, touchback",0.000,0.280
3,2:58,1,10,PHI 20,17,23,Michael Vick sacked by Ray McDonald and Aldon Smith for -1 yards,0.280,-0.460
3,2:31,2,11,PHI 19,17,23,LeSean McCoy right end for -5 yards (tackle by Ahmad Brooks),-0.460,-2.030
3,1:52,3,16,PHI 14,17,23,Michael Vick pass complete deep middle to DeSean Jackson for 61 yards (tackle by Tarell Brown),-2.030,3.910
3,1:01,1,10,SFO 25,17,23,LeSean McCoy up the middle for 3 yards (tackle by Patrick Willis),3.910,3.770
3,0:25,2,7,SFO 22,17,23,"Michael Vick up the middle for no gain (tackle by Parys Haralson). Penalty on Kyle DeVan: Offensive Holding, 10 yards (no play)",3.770,2.420
Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,17,SFO 32,17,23,Michael Vick pass complete short right to Jeremy Maclin for 2 yards (tackle by Reggie Smith),2.420,2.010
4,14:22,3,15,SFO 30,17,23,Michael Vick pass complete short right to DeSean Jackson for 9 yards (tackle by Chris Culliver),2.010,2.080
4,14:02,4,6,SFO 21,17,23,Alex Henery 39 yard field goal no good,2.080,-0.870
4,13:57,1,10,SFO 29,17,23,Alex Smith pass incomplete deep right intended for Michael Crabtree,0.870,0.330
4,13:50,2,10,SFO 29,17,23,Alex Smith pass complete short right to Josh Morgan for 9 yards (tackle by Asante Samuel),0.330,0.830
4,13:31,3,1,SFO 38,17,23,Frank Gore up the middle for 2 yards (tackle by Trevor Laws),0.830,1.600
4,12:37,1,10,SFO 40,17,23,Alex Smith pass incomplete short right intended for Michael Crabtree (defended by Jason Babin),1.600,1.050
4,12:31,2,10,SFO 40,17,23,"Alex Smith pass incomplete. Alex Smith fumbles, recovered by Alex Smith at SFO-30",1.050,0.370
4,12:26,3,10,SFO 40,17,23,Alex Smith sacked by Jason Babin for -8 yards,0.370,-1.240
4,11:54,4,18,SFO 32,17,23,"Andy Lee punts 68 yards, touchback",-1.240,-0.280
4,11:45,1,10,PHI 20,17,23,Michael Vick pass complete short right to Jeremy Maclin for 12 yards (tackle by Tarell Brown),0.280,1.070
4,11:10,1,10,PHI 32,17,23,Michael Vick pass incomplete short middle intended for Brent Celek (defended by Patrick Willis),1.070,0.530
4,11:05,2,10,PHI 32,17,23,Michael Vick pass complete short right to Jason Avant for 19 yards (tackle by Dashon Goldson),0.530,2.320
4,10:18,1,10,SFO 49,17,23,Michael Vick pass incomplete deep right intended for Jeremy Maclin,2.320,1.780
,,,,,,,"SFO challenged the pass completion ruling, and the original play was overturned.",,
4,10:14,2,10,SFO 49,17,23,Michael Vick pass complete short left to LeSean McCoy for 15 yards (tackle by Shawntae Spencer),1.780,3.310
4,9:33,1,10,SFO 34,17,23,LeSean McCoy right end for 1 yard (tackle by Ahmad Brooks),3.310,2.910
4,8:53,2,9,SFO 33,17,23,Michael Vick pass incomplete,2.910,2.210
4,8:46,3,9,SFO 33,17,23,Michael Vick pass complete deep right to Jason Avant for 20 yards (tackle by Reggie Smith),2.210,4.710
4,8:05,1,10,SFO 13,17,23,Ronnie Brown up the middle for 3 yards (tackle by Aldon Smith),4.710,4.580
4,7:31,2,7,SFO 10,17,23,"LeSean McCoy for 4 yards (tackle by Shawntae Spencer). Penalty on Evan Mathis: Offensive Holding, 10 yards (no play)",4.580,3.210
4,7:07,2,17,SFO 20,17,23,Michael Vick pass incomplete short middle intended for Jeremy Maclin (defended by Reggie Smith),3.210,2.540
4,7:02,3,17,SFO 20,17,23,Michael Vick for 5 yards (tackle by Carlos Rogers),2.540,2.440
4,6:33,4,12,SFO 15,17,23,Alex Henery 33 yard field goal no good,2.440,-0.480
4,6:28,1,10,SFO 23,17,23,Alex Smith pass complete short left to Michael Crabtree for 3 yards (tackle by Dominique Rodgers-Cromartie),0.480,0.340
4,5:51,2,7,SFO 26,17,23,Frank Gore up the middle for 25 yards (tackle by Jarrad Page),0.340,2.320
4,5:24,1,10,PHI 49,17,23,Alex Smith pass complete short right to Vernon Davis for 7 yards (tackle by Brian Rolle),2.320,2.730
4,4:45,2,3,PHI 42,17,23,"Kendall Hunter right end for -2 yards (tackle by Jamar Chaney). Penalty on Brian Rolle: Face Mask (15 Yards), 15 yards",2.730,3.640
4,4:38,1,10,PHI 29,17,23,Alex Smith pass incomplete,3.640,3.100
4,4:33,2,10,PHI 29,17,23,Alex Smith pass complete short right to Vernon Davis for 3 yards (tackle by Jarrad Page),3.100,2.810
4,3:52,3,7,PHI 26,17,23,Kendall Hunter left end for 14 yards (tackle by Jarrad Page),2.810,4.780
4,3:05,1,10,PHI 12,23,23,"Frank Gore right tackle for 12 yards, touchdown",4.780,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,PHI 2,24,23,David Akers kicks extra point good,0.000,0.000
4,,,,SFO 35,24,23,"David Akers kicks off 65 yards, touchback",0.000,0.280
4,3:00,1,10,PHI 20,24,23,Michael Vick pass complete short left to Jason Avant for 5 yards (tackle by Dashon Goldson),0.280,0.410
4,2:36,2,5,PHI 25,24,23,Michael Vick pass complete short right to Jeremy Maclin for 8 yards (tackle by Chris Culliver),0.410,1.140
4,2:31,1,10,PHI 33,24,23,Michael Vick pass complete short left to DeSean Jackson for 8 yards. Penalty on Ahmad Brooks: Defensive Offside (Declined),1.140,1.670
4,2:29,2,2,PHI 41,24,23,Michael Vick pass complete short left to Jason Avant for 5 yards,1.670,1.990
4,2:24,1,10,PHI 46,24,23,Michael Vick pass incomplete short right intended for DeSean Jackson (defended by Ahmad Brooks),1.990,1.450
4,2:21,2,10,PHI 46,24,23,"Michael Vick right guard for no gain (tackle by Aldon Smith). Penalty on Ahmad Brooks: Defensive Offside, 5 yards (no play)",1.450,2.130
4,2:15,2,5,SFO 49,24,23,"Michael Vick pass complete short left to Jeremy Maclin for 17 yards (tackle by Justin Smith). Jeremy Maclin fumbles (forced by Justin Smith), recovered by Dashon Goldson at SFO-31 (tackle by Kyle DeVan)",2.130,-1.000
4,2:06,1,10,SFO 31,24,23,Frank Gore up the middle for 4 yards (tackle by Nate Allen),1.000,1.000
4,2:02,,,,24,23,Timeout #2 by Philadelphia Eagles,0.000,1.000
4,2:02,2,6,SFO 35,24,23,Frank Gore right end for 8 yards (tackle by Jamar Chaney),1.000,1.800
4,1:56,1,10,SFO 43,24,23,Frank Gore up the middle for 4 yards (tackle by Trevor Laws),1.800,1.790
4,1:50,,,,24,23,Timeout #3 by Philadelphia Eagles,0.000,1.790
4,1:50,2,6,SFO 47,24,23,Frank Gore up the middle for 5 yards (tackle by Brian Rolle),1.790,1.750
4,1:04,,,,24,23,Timeout #1 by San Francisco 49ers,0.000,1.750
4,1:04,3,1,PHI 48,24,23,Frank Gore up the middle for 5 yards (tackle by Nnamdi Asomugha),1.750,2.720
4,0:24,1,10,PHI 43,24,23,Alex Smith kneels for -1 yards,2.720,2.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
