Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
1,3:43,3,1,TEN 39,7,0,Ryan Mathews right guard for no gain (tackle by Colin McCarthy and Antonio Johnson),2.340,0.660
1,2:59,4,1,TEN 39,7,0,"Mike Scifres punts 31 yards, fair catch by Darius Reynaud",0.660,0.380
1,2:50,1,10,TEN 8,7,0,Chris Johnson right tackle for 6 yards (tackle by Eric Weddle),-0.380,-0.320
1,2:17,2,4,TEN 14,7,0,Chris Johnson left tackle for 5 yards (tackle by Andrew Gachkar),-0.320,0.150
1,1:33,1,10,TEN 19,7,0,Jake Locker up the middle for 39 yards (tackle by Johnny Patrick),0.150,2.790
1,1:00,1,10,SDG 42,7,0,Jake Locker pass incomplete deep left intended for Delanie Walker,2.790,2.240
1,0:54,2,10,SDG 42,7,0,Chris Johnson left tackle for 23 yards (tackle by Johnny Patrick and Derek Cox),2.240,4.310
1,0:10,1,10,SDG 19,7,0,Jake Locker pass incomplete deep right intended for Kenny Britt (defended by Derek Cox),4.310,3.750
1,0:04,2,10,SDG 19,7,0,Jake Locker up the middle for 10 yards (tackle by Dwight Freeney),3.750,5.140
Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,SDG 9,7,0,Chris Johnson right tackle for 7 yards (tackle by Kendall Reyes),5.140,5.720
2,14:21,2,2,SDG 2,7,0,Jackie Battle left guard for no gain (tackle by Bront Bird and Cam Thomas),5.720,4.950
2,13:40,3,2,SDG 2,7,0,Jake Locker pass complete short right to Delanie Walker for no gain,4.950,4.950
2,13:05,3,2,SDG 2,7,0,Timeout #1 by San Diego Chargers,4.950,3.250
2,13:05,4,2,SDG 2,7,3,Rob Bironas 20 yard field goal good,3.250,3.000
2,13:05,,,TEN 35,7,3,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
2,13:00,1,10,SDG 20,7,3,"Danny Woodhead up the middle for 8 yards (tackle by George Wilson). Penalty on Chad Rinehart: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,12:36,1,20,SDG 10,7,3,Philip Rivers pass incomplete short left intended for Danny Woodhead,-0.760,-1.510
2,12:31,2,20,SDG 10,7,3,Philip Rivers pass complete short middle to Eddie Royal for 15 yards (tackle by Coty Sensabaugh),-1.510,-0.300
2,11:48,3,5,SDG 25,7,3,Philip Rivers pass complete short left to Keenan Allen for 3 yards (tackle by Jason McCourty),-0.300,-1.500
2,11:17,4,2,SDG 28,7,3,"Mike Scifres punts 60 yards, returned by Darius Reynaud for 13 yards (tackle by Seyi Ajirotutu). Penalty on Alterraun Verner: Illegal Block Above the Waist, 8 yards",-1.500,0.380
2,11:03,1,10,TEN 9,7,3,Jackie Battle right tackle for 6 yards (tackle by Eric Weddle and Bront Bird),-0.380,-0.280
2,10:20,2,4,TEN 15,7,3,Chris Johnson left tackle for 3 yards (tackle by Marcus Gilchrist),-0.280,-0.370
2,9:42,3,1,TEN 18,7,3,Jake Locker pass complete short right to Kendall Wright for 3 yards (tackle by Johnny Patrick),-0.370,0.340
2,9:07,1,10,TEN 21,7,3,Jake Locker pass complete short right to Nate Washington for 35 yards (tackle by Eric Weddle),0.340,2.650
2,8:29,1,10,SDG 44,7,3,Jake Locker pass incomplete deep middle intended for Justin Hunter (defended by Eric Weddle),2.650,2.110
2,8:20,2,10,SDG 44,7,3,"Chris Johnson left guard for 4 yards (tackle by Larry English). Penalty on Andy Levitre: Offensive Holding, 10 yards (no play)",2.110,0.760
2,8:00,2,20,TEN 46,7,3,Jake Locker pass incomplete short right intended for Kenny Britt,0.760,0.100
2,7:56,3,20,TEN 46,7,3,Jake Locker pass incomplete short right intended for Kenny Britt (defended by Jahleel Addae),0.100,-0.320
2,7:48,4,20,TEN 46,7,3,"Brett Kern for no gain. Brett Kern fumbles, recovered by Brett Kern at TEN-33",-0.320,-3.580
2,7:43,1,10,TEN 30,7,3,Ryan Mathews up the middle for 8 yards (tackle by Alterraun Verner),3.580,4.110
2,7:02,2,2,TEN 22,7,3,"Philip Rivers pass incomplete deep right intended for Ladarius Green (defended by Bernard Pollard). Penalty on Bernard Pollard: Defensive Pass Interference, 17 yards (no play)",4.110,6.060
2,6:57,1,5,TEN 5,7,3,"Philip Rivers pass complete short left to Eddie Royal for 5 yards. Penalty on Keenan Allen: Offensive Pass Interference, 10 yards, Penalty on Philip Rivers: Unsportsmanlike Conduct, 15 yards (no play)",6.060,3.580
2,6:51,1,30,TEN 30,7,3,Philip Rivers pass complete short left to Le'Ron McClain for 7 yards (tackle by George Wilson),3.580,2.600
2,6:09,2,23,TEN 23,7,3,Philip Rivers sacked by Akeem Ayers for -5 yards,2.600,1.290
2,5:31,3,28,TEN 28,7,3,Ronnie Brown up the middle for 2 yards (tackle by Bernard Pollard),1.290,1.740
2,4:53,4,26,TEN 26,10,3,Nick Novak 44 yard field goal good,1.740,3.000
2,4:53,,,SDG 35,10,3,"Nick Novak kicks off 73 yards, returned by Darius Reynaud for 32 yards (tackle by Richard Marshall)",0.000,-0.540
2,4:39,1,10,TEN 24,10,3,Jake Locker pass complete short right to Delanie Walker for 17 yards (tackle by Marcus Gilchrist),0.540,1.660
2,4:10,1,10,TEN 41,10,3,"Jake Locker pass complete short middle to Kendall Wright for 19 yards (tackle by Eric Weddle). Penalty on Kenny Britt: Illegal Block Above the Waist, 10 yards",1.660,2.980
2,3:38,1,1,,10,3,Chris Johnson up the middle for no gain (tackle by Andrew Gachkar and Kendall Reyes),2.980,2.340
2,2:59,2,1,,10,3,Chris Johnson right guard for 3 yards (tackle by Corey Liuget),2.340,2.460
2,2:21,1,10,SDG 47,10,3,Jake Locker pass complete short right to Nate Washington for 11 yards (tackle by Andrew Gachkar and Richard Marshall),2.460,3.180
2,2:00,1,10,SDG 36,10,3,Jake Locker pass complete deep right to Nate Washington for 16 yards (tackle by Johnny Patrick),3.180,4.240
2,1:20,1,10,SDG 20,10,3,Jake Locker pass complete short right to Kendall Wright for 13 yards (tackle by Reggie Walker),4.240,5.600
2,1:13,1,7,SDG 7,10,9,"Jake Locker up the middle for 7 yards, touchdown",5.600,7.000
2,1:13,,,SDG 2,10,10,Rob Bironas kicks extra point good,0.000,0.000
2,1:13,,,TEN 35,10,10,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
2,1:08,1,10,SDG 20,10,10,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by George Wilson),0.280,-0.270
2,1:03,2,10,SDG 20,10,10,"Philip Rivers pass incomplete deep middle intended for Eddie Royal is intercepted by Michael Griffin at TEN-49 and returned for 31 yards (tackle by Mike Harris). Penalty on Coty Sensabaugh: Defensive Pass Interference, 25 yards (no play)",-0.270,1.930
2,0:51,1,10,SDG 45,10,10,Philip Rivers pass complete short left to Vincent Brown for 4 yards (tackle by Jason McCourty),1.930,1.920
2,0:28,2,6,SDG 49,10,10,Philip Rivers pass complete short right to Danny Woodhead for 10 yards (tackle by Moise Fokou),1.920,2.850
2,0:23,1,10,TEN 41,10,10,Philip Rivers pass complete short left to Vincent Brown for 7 yards (tackle by Coty Sensabaugh),2.850,2.850
2,0:17,1,10,TEN 41,10,10,Timeout #2 by San Diego Chargers,2.850,3.250
2,0:17,2,3,TEN 34,10,10,"Philip Rivers pass incomplete short left intended for Eddie Royal. Penalty on Alterraun Verner: Defensive Holding, 5 yards (no play)",3.250,3.640
2,0:11,1,10,TEN 29,10,10,Philip Rivers pass complete short middle to Danny Woodhead for 9 yards (tackle by Coty Sensabaugh),3.640,3.640
2,0:02,1,10,TEN 29,10,10,Timeout #3 by San Diego Chargers,3.640,4.320
2,0:02,2,1,TEN 20,10,10,"Nick Novak 38 yard field goal no good, blocked by Bernard Pollard, recovered by Alterraun Verner",4.320,0.000
Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,10,10,"Rob Bironas kicks off no gain, touchback",0.000,0.280
3,14:59,1,10,SDG 20,10,10,Danny Woodhead up the middle for 11 yards (tackle by Bernard Pollard),0.280,1.000
3,14:29,1,10,SDG 31,10,10,Danny Woodhead up the middle for 3 yards (tackle by Moise Fokou),1.000,0.870
3,13:54,2,7,SDG 34,10,10,Danny Woodhead up the middle for 6 yards (tackle by Michael Griffin),0.870,0.960
3,13:16,3,1,SDG 40,10,10,Danny Woodhead right guard for 4 yards (tackle by Ropati Pitoitua),0.960,1.860
3,12:34,1,10,SDG 44,10,10,Philip Rivers pass complete short right to Danny Woodhead for 4 yards (tackle by Moise Fokou),1.860,1.860
3,12:03,2,6,SDG 48,10,10,Philip Rivers sacked by Antonio Johnson for -4 yards,1.860,0.630
3,11:28,3,10,SDG 44,10,10,Philip Rivers pass complete short right to Danny Woodhead for 9 yards (tackle by Moise Fokou),0.630,0.130
3,11:02,4,1,TEN 47,10,10,"Mike Scifres punts 23 yards, out of bounds",0.130,-0.540
3,10:55,1,10,TEN 24,10,10,Jake Locker pass complete short right to Nate Washington for 14 yards (tackle by Richard Marshall),0.540,1.470
3,10:19,1,10,TEN 38,10,10,Chris Johnson left end for 15 yards (tackle by Richard Marshall),1.470,2.460
3,9:50,1,10,SDG 47,10,10,Chris Johnson left guard for 8 yards (tackle by Eric Weddle),2.460,2.990
3,9:09,2,2,SDG 39,10,10,Chris Johnson right guard for 5 yards (tackle by Johnny Patrick),2.990,3.310
3,8:32,1,10,SDG 34,10,10,Chris Johnson right tackle for 9 yards (tackle by Reggie Walker),3.310,3.990
3,7:59,2,1,SDG 25,10,10,Chris Johnson left tackle for no gain (tackle by Reggie Walker),3.990,3.270
3,7:19,3,1,SDG 25,10,10,Jake Locker pass incomplete deep right intended for Nate Washington (defended by Johnny Patrick),3.270,1.950
,,,,,,,"TEN challenged the pass completion ruling, and the play was upheld.",,
3,7:13,4,1,SDG 25,10,10,Rob Bironas 43 yard field goal no good,1.950,-1.140
3,7:07,1,10,SDG 33,10,10,Ryan Mathews right end for 6 yards (tackle by Jason McCourty),1.140,1.400
3,6:29,2,4,SDG 39,10,10,Ryan Mathews left guard for 5 yards (tackle by Bernard Pollard and Michael Griffin),1.400,1.860
3,5:47,1,10,SDG 44,10,10,Ryan Mathews left guard for 3 yards (tackle by Jurrell Casey),1.860,1.720
3,5:08,2,7,SDG 47,10,10,Philip Rivers pass complete deep middle to Ladarius Green for 34 yards (tackle by Michael Griffin),1.720,4.310
3,4:26,1,10,TEN 19,10,10,Ryan Mathews up the middle for 4 yards (tackle by Jurrell Casey),4.310,4.350
3,3:50,2,6,TEN 15,10,10,Philip Rivers pass complete short middle to Antonio Gates for 14 yards (tackle by Michael Griffin),4.350,6.970
3,3:31,1,1,TEN 1,10,10,Ronnie Brown up the middle for no gain (tackle by Michael Griffin),6.970,5.910
3,2:49,2,1,TEN 1,10,10,Philip Rivers pass incomplete short left intended for Vincent Brown (defended by Alterraun Verner),5.910,5.170
3,2:45,3,1,TEN 1,16,10,"Ronnie Brown up the middle for 1 yard, touchdown",5.170,7.000
3,2:45,,,TEN 2,17,10,Nick Novak kicks extra point good,0.000,0.000
3,2:45,,,SDG 35,17,10,"Nick Novak kicks off 72 yards, returned by Darius Reynaud for 30 yards (tackle by Jahleel Addae)",0.000,-0.480
3,2:35,1,10,TEN 23,17,10,Chris Johnson right tackle for 2 yards (tackle by Johnny Patrick),0.480,0.200
3,2:01,2,8,TEN 25,17,10,Chris Johnson left tackle for 1 yard (tackle by Andrew Gachkar),0.200,-0.360
3,1:22,3,7,TEN 26,17,10,Jake Locker left tackle for 10 yards (tackle by Derek Cox),-0.360,1.330
3,0:39,1,10,TEN 36,17,10,Jackie Battle right tackle for 2 yards (tackle by Reggie Walker),1.330,1.060
3,0:02,2,8,TEN 38,17,10,Jackie Battle up the middle for 4 yards (tackle by Kwame Geathers and Jarret Johnson),1.060,0.890
Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,TEN 42,17,10,Jake Locker pass complete short right to Nate Washington for 13 yards (tackle by Richard Marshall),0.890,2.590
4,14:30,1,10,SDG 45,17,10,Chris Johnson left tackle for -5 yards (tackle by Johnny Patrick),2.590,1.370
4,13:47,2,15,,17,10,Jake Locker sacked by Larry English for -7 yards,1.370,-0.230
4,13:10,3,22,TEN 43,17,10,Jake Locker pass complete short middle to Kendall Wright for 11 yards (tackle by Eric Weddle),-0.230,0.200
4,12:19,4,11,SDG 46,17,10,Brett Kern punts 35 yards,0.200,0.370
4,12:08,1,10,SDG 11,17,10,Ryan Mathews up the middle for -2 yards (tackle by Bernard Pollard),-0.370,-0.930
4,11:33,2,12,SDG 9,17,10,Ryan Mathews left guard for 4 yards (tackle by Moise Fokou),-0.930,-0.930
4,10:47,2,12,SDG 9,17,10,Timeout #1 by San Diego Chargers,-0.930,-1.190
4,10:47,3,8,SDG 13,17,10,Philip Rivers pass incomplete short left intended for Antonio Gates (defended by Jurrell Casey),-1.190,-2.490
4,10:42,4,8,SDG 13,17,10,Mike Scifres punts 49 yards. Penalty on Darrell Stuckey: Illegal Touch Kick,-2.490,-1.470
4,10:31,1,10,TEN 38,17,10,Jake Locker pass incomplete short left intended for Chris Johnson,1.470,0.920
4,10:27,2,10,TEN 38,17,10,"Jake Locker pass complete short right to Delanie Walker for 6 yards (tackle by Andrew Gachkar). Penalty on Jarret Johnson: Defensive Offside (Offsetting), Penalty on Robert Turner: Offensive Holding (Offsetting) (no play)",0.920,0.920
4,10:09,2,10,TEN 38,17,10,Jake Locker pass incomplete deep right intended for Nate Washington,0.920,0.230
,,,,,,,"TEN challenged the pass completion ruling, and the play was upheld.",,
4,10:02,3,10,TEN 38,17,10,Jake Locker pass complete short right to Delanie Walker for 15 yards (tackle by Eric Weddle and Jahleel Addae),0.230,2.460
4,9:32,1,10,SDG 47,17,10,Chris Johnson right tackle for 7 yards (tackle by Corey Liuget),2.460,2.860
4,8:59,2,3,SDG 40,17,10,Chris Johnson left guard for no gain (tackle by Reggie Walker and Bront Bird),2.860,2.150
4,8:18,3,3,SDG 40,17,10,Jake Locker pass incomplete deep left intended for Kenny Britt (defended by Derek Cox),2.150,0.590
4,8:12,4,3,SDG 40,17,10,Jake Locker pass complete short right to Nate Washington for 17 yards (tackle by Marcus Gilchrist),0.590,4.040
4,7:31,1,10,SDG 23,17,10,Chris Johnson left guard for 1 yard (tackle by Sean Lissemore),4.040,3.630
4,6:51,2,9,SDG 22,17,10,"Jake Locker left end for 2 yards (tackle by Andrew Gachkar). Jake Locker fumbles (forced by Andrew Gachkar), recovered by Chance Warmack at SDG-19",3.630,3.340
4,6:17,3,6,SDG 19,17,10,Jake Locker pass incomplete deep right intended for Delanie Walker,3.340,2.210
4,6:12,4,6,SDG 19,17,13,Rob Bironas 37 yard field goal good,2.210,3.000
4,6:12,,,TEN 35,17,13,"Rob Bironas kicks off 64 yards, returned by Fozzy Whittaker for 21 yards (tackle by Colin McCarthy)",0.000,-0.410
4,6:01,1,10,SDG 22,17,13,Ryan Mathews up the middle for 8 yards (tackle by Alterraun Verner),0.410,0.950
4,5:17,2,2,SDG 30,17,13,Ryan Mathews up the middle for 1 yard (tackle by Bernard Pollard),0.950,0.370
4,4:40,3,1,SDG 31,17,13,Ryan Mathews left end for 4 yards (tackle by Michael Griffin),0.370,1.270
4,3:58,1,10,SDG 35,17,13,Ryan Mathews up the middle for 4 yards (tackle by Moise Fokou),1.270,1.260
4,3:17,2,6,SDG 39,17,13,"Ryan Mathews left tackle for 4 yards (tackle by Moise Fokou). Penalty on Rich Ohrnberger: Offensive Holding, 10 yards (no play)",1.260,-0.090
4,3:10,2,16,SDG 29,17,13,Le'Ron McClain left guard for 7 yards (tackle by Jurrell Casey and Bernard Pollard),-0.090,0.170
4,2:25,3,9,SDG 36,17,13,Ryan Mathews left end for 4 yards (tackle by Moise Fokou),0.170,0.170
4,2:17,3,9,SDG 36,17,13,Timeout #3 by Tennessee Titans,0.170,-0.720
4,2:17,4,5,SDG 40,17,13,"Mike Scifres punts 49 yards, returned by Darius Reynaud for 1 yard (tackle by Darrell Stuckey). Penalty on Michael Preston: Illegal Block Above the Waist, 6 yards",-0.720,0.380
4,2:05,1,10,TEN 6,17,13,Jake Locker pass complete short middle to Kendall Wright for 9 yards (tackle by Reggie Walker and Marcus Gilchrist),-0.380,-0.070
4,1:59,2,1,TEN 15,17,13,Jake Locker pass complete short right to Delanie Walker for 11 yards (tackle by Crezdon Butler),-0.070,0.670
4,1:39,1,10,TEN 26,17,13,Jake Locker pass complete short left to Damian Williams for 9 yards,0.670,1.350
4,1:33,2,1,TEN 35,17,13,Jake Locker pass complete short middle to Kendall Wright for 16 yards (tackle by Jahleel Addae and Richard Marshall),1.350,2.320
4,1:10,1,10,SDG 49,17,13,Jake Locker pass complete short middle to Michael Preston for 4 yards (tackle by Reggie Walker),2.320,2.320
4,0:51,2,6,SDG 45,17,13,Jake Locker pass incomplete deep left intended for Delanie Walker,2.320,1.620
4,0:44,3,6,SDG 45,17,13,Jake Locker pass complete short right to Nate Washington for 11 yards (tackle by Crezdon Butler),1.620,3.310
4,0:28,1,10,SDG 34,17,13,Jake Locker spiked the ball,3.310,2.770
4,0:27,2,10,SDG 34,17,13,Jake Locker pass incomplete deep middle intended for Damian Williams,2.770,2.080
4,0:21,3,10,SDG 34,17,19,"Jake Locker pass complete deep right to Justin Hunter for 34 yards, touchdown",2.080,7.000
4,0:21,,,SDG 2,17,20,Rob Bironas kicks extra point good,0.000,0.000
4,0:21,,,TEN 35,17,20,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
4,0:15,1,10,SDG 20,17,20,Philip Rivers pass complete short middle to Antonio Gates for 10 yards (tackle by Michael Griffin),0.280,0.280
4,0:07,1,10,SDG 20,17,20,Timeout #2 by San Diego Chargers,0.280,0.940
4,0:06,1,10,SDG 30,17,20,Philip Rivers pass complete short left to Eddie Royal for 13 yards,0.940,1.800
4,0:02,1,10,SDG 43,17,20,"Philip Rivers pass complete to Danny Woodhead for 13 yards, lateral to Eddie Royal for 11 yards, lateral to Le'Ron McClain for -13 yards, lateral to Philip Rivers for -9 yards, lateral to Keenan Allen for -5 yards, lateral to Eddie Royal for -5 yards, lateral to Keenan Allen for -2 yards, lateral to Danny Woodhead for -4 yards. Danny Woodhead fumbles, recovered by Alterraun Verner at SDG-29. Penalty on Philip Rivers: Illegally Kicking Ball (Declined)",1.800,2.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
