Quarter,Time,Down,ToGo,Location,DAL,SEA,Detail,EPB,EPA
2,7:43,1,10,SEA 30,7,10,DeMarco Murray left tackle for 5 yards (tackle by Earl Thomas),3.580,3.710
2,7:01,2,5,SEA 25,7,10,"DeMarco Murray right end for no gain. DeMarco Murray fumbles, ball out of bounds at SEA-22. Penalty on Doug Free: Offensive Holding, 10 yards (no play)",3.710,2.360
2,6:30,2,15,SEA 35,7,10,Tony Romo pass complete short middle to DeMarco Murray for 6 yards (tackle by Brock Coyle),2.360,2.480
2,5:51,3,9,SEA 29,7,10,"Penalty on Michael Bennett: Neutral Zone Infraction, 5 yards (no play)",2.480,3.140
2,5:27,3,4,SEA 24,7,10,Tony Romo pass incomplete deep left intended for Dez Bryant (defended by Byron Maxwell),3.140,1.940
2,5:20,4,4,SEA 24,10,10,Dan Bailey 42 yard field goal good,1.940,3.000
2,5:20,,,DAL 35,10,10,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,5:15,1,10,SEA 20,10,10,"Penalty on Stephen Schilling: False Start, 5 yards (no play)",0.280,-0.310
2,5:15,1,15,SEA 15,10,10,Russell Wilson pass complete short left to Jermaine Kearse for 5 yards (tackle by Justin Durant),-0.310,-0.270
2,4:32,2,10,SEA 20,10,10,Russell Wilson left end for 3 yards (tackle by Justin Durant),-0.270,-0.560
2,3:55,3,7,SEA 23,10,10,Russell Wilson pass complete short right to Bryan Walters for 5 yards (tackle by Tyler Patmon),-0.560,-1.500
2,3:15,4,2,SEA 28,10,10,"Jon Ryan punts 42 yards, returned by Dwayne Harris for 10 yards (tackle by Mike Morgan). Penalty on Brandon Carr: Offensive Holding, 10 yards",-1.500,-0.280
2,3:04,1,10,DAL 20,10,10,Tony Romo pass complete short middle to DeMarco Murray for 2 yards (tackle by Marcus Burley),0.280,0.000
2,2:19,2,8,DAL 22,10,10,Tony Romo pass incomplete deep left intended for Jason Witten,0.000,0.000
2,2:13,2,8,DAL 22,10,10,Timeout #1 by Dallas Cowboys,0.000,-0.690
2,2:13,3,8,DAL 22,10,10,Tony Romo pass complete short middle to Lance Dunbar for 21 yards (tackle by Earl Thomas and Kam Chancellor),-0.690,1.800
2,2:00,1,10,DAL 43,10,10,Lance Dunbar up the middle for -4 yards (tackle by Cliff Avril),1.800,0.710
2,1:25,2,14,DAL 39,10,10,Tony Romo pass incomplete deep right intended for Jason Witten,0.710,0.040
2,1:18,3,14,DAL 39,10,10,Tony Romo pass complete short left to Lance Dunbar for 18 yards (tackle by Earl Thomas),0.040,2.720
2,1:10,1,10,SEA 43,10,10,"Tony Romo pass complete deep left to Dez Bryant for 23 yards (tackle by Richard Sherman). Penalty on Richard Sherman: Tripping, 10 yards",2.720,4.910
2,1:02,1,10,SEA 10,10,10,DeMarco Murray left end for no gain (tackle by Malcolm Smith),4.910,4.190
2,1:02,2,10,SEA 10,10,10,"Penalty on SEA: Defensive 12 On-field, 5 yards (no play)",4.190,5.150
2,0:29,2,5,SEA 5,10,10,DeMarco Murray left tackle for 2 yards (tackle by K.J. Wright),5.150,5.150
2,0:24,2,5,SEA 5,10,10,Timeout #2 by Dallas Cowboys,5.150,5.150
2,0:24,2,5,SEA 5,10,10,Timeout #1 by Seattle Seahawks,5.150,4.720
2,0:24,3,3,SEA 3,16,10,"Tony Romo pass complete short middle to Jason Witten for 3 yards, touchdown",4.720,7.000
2,0:24,,,SEA 2,17,10,Dan Bailey kicks extra point good,0.000,0.000
2,0:24,,,DAL 35,17,10,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,0:16,1,10,SEA 20,17,10,Russell Wilson pass complete short right to Percy Harvin for -4 yards (tackle by Rolando McClain),0.280,-0.940
2,0:10,2,14,SEA 16,17,10,Robert Turbin up the middle for 7 yards (tackle by Tyrone Crawford and Justin Durant),-0.940,-0.560
Quarter,Time,Down,ToGo,Location,DAL,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,17,10,"Steven Hauschka kicks off 64 yards, returned by Dwayne Harris for 26 yards (tackle by Mike Morgan)",0.000,-0.740
3,14:53,1,10,DAL 27,17,10,DeMarco Murray left end for 8 yards (tackle by Marcus Burley),0.740,1.280
3,14:14,2,2,DAL 35,17,10,DeMarco Murray left guard for 1 yard (tackle by K.J. Wright),1.280,0.700
3,14:14,3,1,DAL 36,17,10,DeMarco Murray right tackle for 4 yards (tackle by K.J. Wright),0.700,1.600
3,12:58,1,10,DAL 40,17,10,Joseph Randle up the middle for no gain (tackle by Kam Chancellor),1.600,1.050
3,12:18,2,10,DAL 40,17,10,"Tony Romo pass incomplete short right intended for Dez Bryant. Penalty on Richard Sherman: Defensive Pass Interference, 13 yards (no play)",1.050,2.460
3,12:12,1,10,SEA 47,17,10,DeMarco Murray left end for 4 yards (tackle by Marcus Burley and Bobby Wagner),2.460,2.450
3,11:29,2,6,SEA 43,17,10,Tony Romo sacked by Bruce Irvin for -11 yards,2.450,0.300
3,10:44,3,17,DAL 46,17,10,Tony Romo pass complete short left to DeMarco Murray for 14 yards (tackle by K.J. Wright and Bobby Wagner),0.300,0.590
3,10:00,4,3,SEA 40,17,10,"Chris Jones punts 30 yards, fair catch by Bryan Walters",0.590,0.380
3,9:52,1,10,SEA 10,17,10,Marshawn Lynch up the middle for 4 yards (tackle by George Selvie and Nick Hayden),-0.380,-0.460
3,9:19,2,6,SEA 14,17,10,Marshawn Lynch right guard for 32 yards (tackle by Barry Church),-0.460,1.990
3,8:38,1,10,SEA 46,17,10,Robert Turbin right tackle for 3 yards (tackle by Jeremy Mincey),1.990,1.860
3,7:58,2,7,SEA 49,17,10,Percy Harvin up the middle for no gain (tackle by Tyrone Crawford),1.860,1.160
3,7:14,3,7,SEA 49,17,10,Russell Wilson pass incomplete (defended by Henry Melton),1.160,-0.130
3,7:09,4,7,SEA 49,17,10,"Jon Ryan punts 36 yards, muffed catch by Dwayne Harris, recovered by Kevin Pierre-Louis and returned for no gain",-0.130,4.650
3,6:57,1,10,DAL 14,17,10,Russell Wilson pass complete short middle to Percy Harvin for 5 yards (tackle by Orlando Scandrick),4.650,4.900
3,6:20,2,5,DAL 9,17,16,"Russell Wilson left end for 9 yards, touchdown",4.900,7.000
3,6:20,,,DAL 2,17,17,Steven Hauschka kicks extra point good,0.000,0.000
3,6:20,,,SEA 35,17,17,"Steven Hauschka kicks off 69 yards, returned by Dwayne Harris for 22 yards (tackle by Brock Coyle)",0.000,-0.040
3,6:13,1,10,DAL 18,17,17,DeMarco Murray left tackle for no gain (tackle by K.J. Wright),0.040,-0.490
3,5:36,2,10,DAL 18,17,17,Tony Romo pass complete short left to DeMarco Murray for 4 yards (tackle by Richard Sherman),-0.490,-0.660
3,4:53,3,6,DAL 22,17,17,"Tony Romo for no gain. Tony Romo fumbles, recovered by Jordan Hill at DAL-20 (tackle by Tony Romo)",-0.660,-4.240
3,4:46,1,10,DAL 20,17,17,Marshawn Lynch up the middle for 2 yards (tackle by Rolando McClain and Anthony Spencer),4.240,3.960
3,4:09,2,8,DAL 18,17,17,Russell Wilson pass incomplete short left intended for Marshawn Lynch (defended by Kyle Wilber),3.960,3.220
3,4:03,3,8,DAL 18,17,17,"Penalty on Russell Okung: False Start, 5 yards (no play)",3.220,2.610
3,4:03,3,13,DAL 23,17,17,Russell Wilson pass complete short middle to Ricardo Lockette for 8 yards (tackle by Orlando Scandrick),2.610,2.490
3,3:25,4,5,DAL 15,17,20,Steven Hauschka 33 yard field goal good,2.490,3.000
3,3:25,,,SEA 35,17,20,"Steven Hauschka kicks off 68 yards, returned by Dwayne Harris for 22 yards (tackle by Brock Coyle)",0.000,-0.150
3,3:13,1,10,DAL 19,17,20,"Tony Romo pass complete deep right to Terrance Williams for 47 yards (tackle by Marcus Burley). Penalty on Terrance Williams: Delay of Game, 5 yards",0.150,2.980
3,2:41,1,10,SEA 39,17,20,DeMarco Murray left tackle for no gain (tackle by Bobby Wagner),2.980,2.440
3,1:58,2,10,SEA 39,17,20,Tony Romo pass complete short right to Tyler Clutts for 1 yard (tackle by Michael Bennett),2.440,1.880
3,1:13,3,9,SEA 38,17,20,Tony Romo pass incomplete short middle intended for Cole Beasley,1.880,0.720
3,1:08,4,9,SEA 38,20,20,Dan Bailey 56 yard field goal good,0.720,3.000
3,1:08,,,DAL 35,20,20,"Dan Bailey kicks off 70 yards, returned by Percy Harvin for 21 yards (tackle by Tyler Patmon)",0.000,0.140
3,0:59,1,10,SEA 16,20,20,Marshawn Lynch left guard for 1 yard (tackle by Justin Durant and Jeremy Mincey),-0.140,-0.510
3,0:19,2,9,SEA 17,20,20,Russell Wilson pass complete short right to Luke Willson for 1 yard (tackle by J.J. Wilcox),-0.510,-1.070
Quarter,Time,Down,ToGo,Location,DAL,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,SEA 18,20,20,Russell Wilson pass complete short left to Doug Baldwin for 12 yards (tackle by Sterling Moore),-1.070,0.940
4,14:29,1,10,SEA 30,20,20,Russell Wilson pass incomplete deep left intended for Jermaine Kearse (defended by Sterling Moore),0.940,0.390
4,14:22,2,10,SEA 30,20,20,Russell Wilson pass incomplete short left intended for Bryan Walters,0.390,0.390
4,14:13,2,10,SEA 30,20,20,Timeout #1 by Seattle Seahawks,0.390,-0.300
4,14:13,3,10,SEA 30,20,20,Russell Wilson pass complete deep left to Doug Baldwin for 20 yards. Penalty on Jeremy Mincey: Defensive Holding (Declined),-0.300,2.260
4,13:46,1,10,,20,20,Marshawn Lynch right tackle for 2 yards (tackle by Justin Durant),2.260,1.980
4,13:09,2,8,DAL 48,20,20,Bryan Walters right end for -2 yards (tackle by Justin Durant and Anthony Spencer),1.980,1.030
4,12:26,3,10,,20,20,Russell Wilson pass incomplete short left intended for Bryan Walters,1.030,-0.060
4,12:21,4,10,,20,20,"Jon Ryan punts 38 yards, fair catch by Dwayne Harris",-0.060,0.350
4,12:13,1,10,DAL 12,20,20,DeMarco Murray left guard for 1 yard (tackle by Kevin Williams and Brandon Mebane),-0.350,-0.700
4,11:34,2,9,DAL 13,20,20,"Tony Romo pass complete deep left to Dwayne Harris for 19 yards (tackle by Marcus Burley). Penalty on Ronald Leary: Offensive Holding, 6 yards (no play)",-0.700,-1.150
4,11:03,2,15,DAL 7,20,20,Tony Romo pass incomplete deep left intended for Dez Bryant,-1.150,-2.010
4,10:57,3,15,DAL 7,20,20,Tony Romo pass incomplete short left intended for Dez Bryant,-2.010,-2.490
4,10:52,4,15,DAL 7,20,20,"Chris Jones punts 35 yards, fair catch by Bryan Walters",-2.490,-2.790
4,10:44,1,10,DAL 42,20,20,Russell Wilson pass incomplete deep left intended for Luke Willson (defended by Kyle Wilber),2.790,2.240
4,10:35,2,10,DAL 42,20,20,Marshawn Lynch left tackle for 6 yards (tackle by Jeremy Mincey and Barry Church),2.240,2.340
4,9:57,3,4,DAL 36,20,20,Marshawn Lynch up the middle for 5 yards (tackle by George Selvie),2.340,3.510
4,9:15,1,10,DAL 31,20,20,Marshawn Lynch right tackle for 1 yard (tackle by George Selvie and Tyrone Crawford),3.510,3.100
4,8:33,2,9,DAL 30,20,20,Russell Wilson pass incomplete short right intended for Percy Harvin (defended by Justin Durant),3.100,2.410
4,8:25,3,9,DAL 30,20,20,Russell Wilson pass incomplete deep middle intended for Jermaine Kearse (defended by Brandon Carr),2.410,1.410
4,8:21,4,9,DAL 30,20,23,Steven Hauschka 48 yard field goal good,1.410,3.000
4,8:21,,,SEA 35,20,23,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
4,8:16,1,10,DAL 20,20,23,Tony Romo pass complete short right to DeMarco Murray for 5 yards (tackle by Kam Chancellor),0.280,0.410
4,7:38,2,5,DAL 25,20,23,DeMarco Murray right tackle for no gain (tackle by O'Brien Schofield),0.410,-0.300
4,6:55,3,5,DAL 25,20,23,Tony Romo pass complete short right to Dez Bryant for 16 yards (tackle by Richard Sherman),-0.300,1.660
4,6:12,1,10,DAL 41,20,23,"DeMarco Murray left end for no gain (tackle by Bobby Wagner). Penalty on Travis Frederick: Offensive Holding, 10 yards (no play)",1.660,1.000
4,5:41,1,20,DAL 31,20,23,Tony Romo pass complete short left to DeMarco Murray for no gain,1.000,-0.230
4,4:58,2,20,DAL 31,20,23,Tony Romo pass incomplete short left intended for Dez Bryant,-0.230,-0.890
4,4:55,3,20,DAL 31,20,23,Tony Romo pass complete deep right to Terrance Williams for 23 yards,-0.890,2.520
,,,,,,,"SEA challenged the pass completion ruling, and the play was upheld.",,
4,4:45,1,10,SEA 46,20,23,DeMarco Murray right tackle for 25 yards (tackle by Marcus Burley),2.520,4.170
4,4:02,1,10,SEA 21,20,23,DeMarco Murray right tackle for 6 yards (tackle by Earl Thomas),4.170,4.550
4,3:23,2,4,SEA 15,26,23,"DeMarco Murray right tackle for 15 yards, touchdown",4.550,7.000
4,3:23,,,SEA 2,27,23,Dan Bailey kicks extra point good,0.000,0.000
4,3:23,,,DAL 35,27,23,"Dan Bailey kicks off 74 yards, returned by Percy Harvin for 28 yards (tackle by Dwayne Harris)",0.000,-0.150
4,3:11,1,10,SEA 19,27,23,Russell Wilson pass complete short left to Jermaine Kearse for 4 yards (tackle by Orlando Scandrick),0.150,0.210
4,2:49,2,6,SEA 23,27,23,Russell Wilson pass incomplete short left intended for Jermaine Kearse,0.210,-0.550
4,2:44,3,6,SEA 23,27,23,Russell Wilson pass incomplete short right intended for Luke Willson,-0.550,-0.550
4,2:40,3,6,SEA 23,27,23,Timeout #3 by Seattle Seahawks,-0.550,-1.830
4,2:40,4,6,SEA 23,27,23,Russell Wilson pass incomplete deep right intended for Jermaine Kearse,-1.830,-4.040
4,2:35,1,10,SEA 23,27,23,"DeMarco Murray right tackle for no gain (tackle by Michael Bennett). Penalty on Tony McDaniel: Illegal Use of Hands, 5 yards (no play)",4.040,4.370
4,2:29,1,10,SEA 18,27,23,DeMarco Murray right tackle for 2 yards (tackle by Marcus Burley),4.370,4.090
4,2:00,2,8,SEA 16,27,23,DeMarco Murray right tackle for 1 yard (tackle by K.J. Wright and Bobby Wagner),4.090,4.090
4,1:18,2,8,SEA 16,27,23,Timeout #1 by Dallas Cowboys,4.090,3.460
4,1:18,3,7,SEA 15,27,23,DeMarco Murray left tackle for 2 yards (tackle by Richard Sherman). Penalty on Tyron Smith: Offensive Holding (Declined),3.460,2.620
4,1:12,4,5,SEA 13,30,23,Dan Bailey 31 yard field goal good,2.620,3.000
4,1:12,,,DAL 35,30,23,"Dan Bailey kicks off 71 yards, returned by Percy Harvin for 21 yards (tackle by Joseph Randle)",0.000,0.220
4,1:05,1,10,SEA 15,30,23,Russell Wilson pass complete short middle to Luke Willson for 10 yards (tackle by Justin Durant and Orlando Scandrick),-0.220,0.610
4,0:48,1,10,SEA 25,30,23,Russell Wilson pass incomplete deep middle intended for Luke Willson is intercepted by Rolando McClain at DAL-48,0.610,-2.130
4,0:42,1,10,DAL 48,30,23,Tony Romo kneels for -1 yards,2.130,1.450
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
