Quarter,Time,Down,ToGo,Location,SFO,STL,Detail,EPB,EPA
1,6:28,3,7,SFO 18,0,6,"Kellen Clemens right end for 18 yards, touchdown",3.310,7.000
1,6:28,,,SFO 2,0,7,Josh Brown kicks extra point good,0.000,0.000
1,6:20,,,STL 35,0,7,"Josh Brown kicks off 71 yards, touchback",0.000,0.280
1,6:20,1,10,SFO 20,0,7,Kendall Hunter right tackle for 7 yards (tackle by Darell Scott),0.280,0.680
1,5:46,2,3,SFO 27,0,7,Frank Gore right tackle for -1 yards (tackle by Chris Long),0.680,-0.160
1,5:03,3,4,SFO 26,0,7,Alex Smith pass incomplete short middle intended for Brett Swain (defended by Roderick Hood),-0.160,-1.630
1,4:58,4,4,SFO 26,0,7,"Andy Lee punts 66 yards, out of bounds",-1.630,0.380
1,4:50,1,10,STL 8,0,7,Kellen Clemens pass incomplete short right intended for Lance Kendricks (defended by Navorro Bowman),-0.380,-0.780
1,4:46,2,10,STL 8,0,7,Steven Jackson right guard for 5 yards (tackle by Ahmad Brooks),-0.780,-0.840
1,4:08,3,5,STL 13,0,7,Kellen Clemens sacked by Justin Smith for -8 yards,-0.840,-2.490
1,3:38,4,13,STL 5,0,7,"Donnie Jones punts 38 yards, returned by Reggie Smith for 10 yards (tackle by Bryan Kehl)",-2.490,-3.380
1,3:28,1,10,STL 33,0,7,Alex Smith pass complete short middle to Kendall Hunter for 11 yards (tackle by James Laurinaitis),3.380,4.110
1,2:48,1,10,STL 22,0,7,Frank Gore right tackle for 2 yards (tackle by Quintin Mikell),4.110,3.830
1,2:14,2,8,STL 20,0,7,Alex Smith pass complete short right to Michael Crabtree for 10 yards (tackle by Chris Long),3.830,4.910
1,1:32,1,10,STL 10,0,7,Frank Gore right tackle for 2 yards (tackle by Brady Poppinga),4.910,4.570
1,0:54,2,8,STL 8,0,7,Alex Smith pass incomplete short right intended for Michael Crabtree,4.570,3.580
1,0:46,3,8,STL 8,6,7,"Alex Smith right end for 8 yards, touchdown",3.580,7.000
1,0:46,,,STL 2,7,7,David Akers kicks extra point good,0.000,0.000
1,0:37,,,SFO 35,7,7,"David Akers kicks off 71 yards, returned by Jerious Norwood for 19 yards (tackle by Colin Jones)",0.000,-0.320
1,0:33,1,10,STL 13,7,7,Kellen Clemens pass complete deep left to Lance Kendricks for 19 yards (tackle by Carlos Rogers),-0.320,1.070
Quarter,Time,Down,ToGo,Location,SFO,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 32,7,7,Steven Jackson left tackle for 2 yards (tackle by Justin Smith),1.070,0.800
2,14:25,2,8,STL 34,7,7,Steven Jackson right tackle for 5 yards (tackle by Patrick Willis),0.800,0.760
2,13:51,3,3,STL 39,7,7,Jerious Norwood pass incomplete short left intended for Kellen Clemens is intercepted by Tarell Brown at STL-45 and returned for 11 yards (tackle by Brandon Lloyd),0.760,-3.310
2,13:41,1,10,STL 34,7,7,Alex Smith pass complete short left to Michael Crabtree for 6 yards (tackle by Craig Dahl),3.310,3.580
2,13:12,2,4,STL 28,13,7,"Alex Smith pass complete short right to Michael Crabtree for 28 yards, touchdown",3.580,7.000
2,13:12,,,STL 2,14,7,David Akers kicks extra point good,0.000,0.000
2,13:05,,,SFO 35,14,7,"David Akers kicks off 68 yards, returned by Jerious Norwood for 20 yards (tackle by C.J. Spillman)",0.000,-0.060
2,13:00,1,10,STL 17,14,7,"Penalty on Harvey Dahl: False Start, 5 yards (no play)",-0.060,-0.510
2,13:00,1,15,STL 12,14,7,Cadillac Williams right tackle for 3 yards (tackle by Ricky Jean-Francois),-0.510,-0.850
2,12:22,2,12,STL 15,14,7,Cadillac Williams up the middle for 6 yards (tackle by Aldon Smith),-0.850,-0.750
2,11:44,3,6,STL 21,14,7,Kellen Clemens sacked by Ahmad Brooks for -11 yards,-0.750,-2.490
2,11:17,4,17,STL 10,14,7,"Donnie Jones punts 28 yards, out of bounds. Penalty on David Nixon: Offensive Holding, 5 yards (no play)",-2.490,-2.490
2,11:12,4,22,STL 5,14,7,"Donnie Jones punts 55 yards, returned by Reggie Smith for 7 yards (tackle by David Nixon). Penalty on Madieu Williams: Illegal Block Above the Waist, 10 yards",-2.490,-1.140
2,10:59,1,10,SFO 33,14,7,"Penalty on STL: Neutral Zone Infraction, 5 yards (no play)",1.140,1.870
2,10:59,1,5,SFO 38,14,7,Kendall Hunter right guard for 3 yards (tackle by Justin Bannan),1.870,1.670
2,10:16,2,2,SFO 41,14,7,Frank Gore right guard for 2 yards (tackle by Chris Chamberlain),1.670,1.800
2,9:30,1,10,SFO 43,14,7,Alex Smith pass complete deep right to Vernon Davis for 44 yards (tackle by Josh Gordy),1.800,4.710
2,8:46,1,10,STL 13,14,7,Alex Smith sacked by Chris Chamberlain for -7 yards,4.710,3.210
2,8:03,2,17,STL 20,14,7,Alex Smith pass incomplete short right intended for Kendall Hunter,3.210,2.540
2,7:58,3,17,STL 20,14,7,Alex Smith pass complete short left to Michael Crabtree for 1 yard (tackle by James Butler),2.540,2.180
2,7:18,4,16,STL 19,17,7,David Akers 36 yard field goal good,2.180,3.000
2,7:14,,,SFO 35,17,7,"David Akers kicks off 73 yards, touchback",0.000,0.280
2,7:14,1,10,STL 20,17,7,"Steven Jackson left tackle for 3 yards (tackle by Ricky Jean-Francois). Penalty on Parys Haralson: Illegal Use of Hands, 5 yards",0.280,0.810
2,6:53,1,10,STL 28,17,7,Steven Jackson up the middle for no gain (tackle by Justin Smith),0.810,0.260
2,6:18,2,10,STL 28,17,7,Kellen Clemens pass incomplete short right intended for Lance Kendricks,0.260,-0.430
2,6:15,3,10,STL 28,17,7,"Kellen Clemens for no gain. Kellen Clemens fumbles, recovered by Steven Jackson at STL-20",-0.430,-2.030
2,5:33,4,18,STL 20,17,7,"Donnie Jones punts 56 yards, returned by Reggie Smith for 10 yards (tackle by James Butler)",-2.030,-1.200
2,5:26,1,10,SFO 34,17,7,Alex Smith pass incomplete short right intended for Brett Swain,1.200,0.660
2,5:22,2,10,SFO 34,17,7,Kendall Hunter right tackle for -1 yards (tackle by James Laurinaitis),0.660,-0.160
2,4:42,3,11,SFO 33,17,7,Alex Smith pass complete short left to Vernon Davis for 6 yards (tackle by James Laurinaitis),-0.160,-0.780
2,4:01,4,5,SFO 39,17,7,"Andy Lee punts 61 yards, touchback",-0.780,-0.280
2,3:54,1,10,STL 20,17,7,Kellen Clemens pass incomplete deep left intended for Danario Alexander (defended by Dashon Goldson),0.280,-0.270
2,3:48,2,10,STL 20,17,7,Steven Jackson up the middle for no gain (tackle by Navorro Bowman),-0.270,-0.960
2,3:14,3,10,STL 20,17,7,Steven Jackson right end for 3 yards (tackle by Navorro Bowman),-0.960,-1.830
2,3:06,,,,17,7,Timeout #1 by San Francisco 49ers,0.000,-1.830
2,3:06,4,7,STL 23,17,7,"Donnie Jones punts 49 yards, returned by Reggie Smith for 14 yards (tackle by Craig Dahl). Reggie Smith fumbles (forced by Craig Dahl), recovered by Colin Jones at SFO-44 (tackle by Justin Cole)",-1.830,-1.860
2,2:50,1,10,SFO 44,17,7,Kendall Hunter left end for 6 yards (tackle by Fred Robbins),1.860,2.130
2,2:19,2,4,,17,7,Alex Smith pass complete short left to Brett Swain for 6 yards (tackle by Roderick Hood),2.130,2.650
2,2:00,1,10,STL 44,17,7,Kendall Hunter up the middle for 13 yards (tackle by Quintin Mikell),2.650,3.510
2,1:37,1,10,STL 31,17,7,Alex Smith pass complete short right to Kendall Hunter for no gain,3.510,2.970
2,1:12,2,10,STL 31,17,7,Alex Smith pass complete short right to Vernon Davis for 7 yards (tackle by Darian Stewart),2.970,3.200
2,1:08,3,3,STL 24,17,7,Alex Smith pass incomplete short left intended for Joe Hastings,3.200,1.970
2,1:05,4,3,STL 24,20,7,David Akers 42 yard field goal good,1.970,3.000
2,1:00,,,SFO 35,20,7,"David Akers kicks off 70 yards, touchback",0.000,0.280
2,1:00,1,10,STL 20,20,7,Kellen Clemens pass complete short right to Steven Jackson for 15 yards (tackle by Navorro Bowman and Patrick Willis),0.280,1.270
2,0:50,,,,20,7,Timeout #1 by St. Louis Rams,0.000,1.270
2,0:50,1,10,STL 35,20,7,Kellen Clemens pass complete short right to Brandon Lloyd for 8 yards,1.270,1.800
2,0:50,2,2,STL 43,20,7,Kellen Clemens pass incomplete short middle intended for Lance Kendricks,1.800,1.090
2,0:26,3,2,STL 43,20,7,Kellen Clemens pass incomplete deep left intended for Brandon Gibson,1.090,-0.520
2,0:21,4,2,STL 43,20,7,"Donnie Jones punts 57 yards, touchback",-0.520,-0.280
2,0:13,1,10,SFO 20,20,7,Alex Smith kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SFO,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,20,7,"David Akers kicks off 70 yards, returned by Jerious Norwood for 49 yards (tackle by C.J. Spillman). Penalty on STL: Offensive Holding, 10 yards",0.000,-0.380
3,14:52,1,10,STL 9,20,7,Steven Jackson right guard for 27 yards (tackle by Donte Whitner),-0.380,1.330
3,14:16,1,10,STL 36,20,7,Steven Jackson right guard for 6 yards (tackle by Navorro Bowman),1.330,1.600
3,13:41,2,4,STL 42,20,7,Steven Jackson left tackle for no gain (tackle by Navorro Bowman),1.600,0.890
3,13:02,3,4,STL 42,20,7,Kellen Clemens pass incomplete short middle intended for Brandon Lloyd (defended by Ricky Jean-Francois),0.890,-0.590
3,12:56,4,4,STL 42,20,7,"Donnie Jones punts 49 yards, fair catch by Reggie Smith",-0.590,0.380
3,12:48,1,10,SFO 9,20,7,Kendall Hunter left end for 6 yards (tackle by James Laurinaitis),-0.380,-0.280
3,12:09,2,4,SFO 15,20,7,Kendall Hunter right end for -1 yards (tackle by James Laurinaitis),-0.280,-0.840
3,11:30,3,5,SFO 14,20,7,Alex Smith pass complete short left to Michael Crabtree for 5 yards (tackle by Roderick Hood),-0.840,0.150
3,10:51,1,10,SFO 19,20,7,Kendall Hunter right end for 13 yards (tackle by Chris Chamberlain),0.150,1.070
3,10:12,1,10,SFO 32,20,7,Anthony Dixon left tackle for 2 yards (tackle by Justin Bannan),1.070,0.800
3,9:31,2,8,SFO 34,20,7,Alex Smith pass incomplete short right intended for Vernon Davis (defended by Fred Robbins),0.800,0.100
3,9:28,3,8,SFO 34,20,7,Alex Smith sacked by Darian Stewart for -8 yards,0.100,-1.630
3,8:58,4,16,SFO 26,20,7,"Andy Lee punts 50 yards, returned by Nick Miller for 3 yards (tackle by Navorro Bowman)",-1.630,-0.740
3,8:42,1,10,STL 27,20,7,Kellen Clemens pass complete deep right to Lance Kendricks for 22 yards (tackle by Carlos Rogers),0.740,2.190
3,8:07,1,10,STL 49,20,7,Steven Jackson left tackle for 4 yards (tackle by Ricky Jean-Francois),2.190,2.190
3,7:29,2,6,SFO 47,20,7,Steven Jackson up the middle for 1 yard (tackle by Ricky Jean-Francois),2.190,1.620
3,6:50,3,5,SFO 46,20,7,Kellen Clemens pass complete deep right to Brandon Lloyd for 23 yards (tackle by Dashon Goldson),1.620,4.040
3,6:25,1,10,SFO 23,20,7,"Cadillac Williams left tackle for no gain (tackle by Patrick Willis). Penalty on Tony Wragge: Offensive Holding, 10 yards (no play)",4.040,3.380
3,5:57,1,20,SFO 33,20,7,Kellen Clemens pass complete short right to Brandon Lloyd for 2 yards (tackle by Navorro Bowman),3.380,2.420
3,5:20,2,18,SFO 31,20,7,Kellen Clemens pass incomplete deep middle intended for Lance Kendricks,2.420,1.750
3,5:13,3,18,SFO 31,20,7,Kellen Clemens pass incomplete short right intended for Steven Jackson,1.750,1.320
3,5:09,4,18,SFO 31,20,10,Josh Brown 49 yard field goal good,1.320,3.000
3,5:04,,,STL 35,20,10,"Josh Brown kicks off 71 yards, returned by Kendall Hunter for 24 yards (tackle by Chris Chamberlain)",0.000,0.040
3,4:59,1,10,SFO 18,20,10,Alex Smith pass incomplete short middle intended for Justin Peelle,0.040,-0.490
3,4:55,2,10,SFO 18,20,10,Alex Smith pass complete short right to Michael Crabtree for 2 yards (tackle by Josh Gordy),-0.490,-0.910
3,4:12,3,8,SFO 20,20,10,"Alex Smith pass complete short left to Michael Crabtree for 10 yards (tackle by Robert Quinn). Penalty on Quintin Mikell: Face Mask (15 Yards), 15 yards",-0.910,1.930
3,3:53,1,10,SFO 45,20,10,Anthony Dixon left tackle for 4 yards (tackle by Chris Chamberlain),1.930,1.920
3,3:15,2,6,SFO 49,20,10,Alex Smith pass complete deep middle to Vernon Davis for 34 yards (tackle by Quintin Mikell),1.920,4.440
3,2:31,1,10,STL 17,20,10,Kendall Hunter left end for -1 yards (tackle by Roderick Hood),4.440,3.720
3,1:55,2,11,STL 18,20,10,Alex Smith pass complete short right to Vernon Davis for 4 yards (tackle by Craig Dahl),3.720,3.500
3,1:04,3,7,STL 14,20,10,Alex Smith pass incomplete short right intended for Brett Swain,3.500,2.510
3,1:04,4,7,STL 14,26,10,"David Akers pass complete short left to Michael Crabtree for 14 yards, touchdown",2.510,7.000
3,1:04,,,STL 2,27,10,David Akers kicks extra point good,0.000,0.000
3,0:55,,,SFO 35,27,10,"David Akers kicks off 72 yards, returned by Jerious Norwood for 32 yards (tackle by Tramaine Brock)",0.000,0.610
3,0:50,1,10,STL 25,27,10,Cadillac Williams left tackle for 3 yards (tackle by Navorro Bowman),0.610,0.470
3,0:14,2,7,STL 28,27,10,Kellen Clemens pass complete short right to Lance Kendricks for 13 yards (tackle by Carlos Rogers),0.470,1.660
Quarter,Time,Down,ToGo,Location,SFO,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 41,27,10,Kellen Clemens pass complete short right to Danario Alexander for 13 yards (tackle by Patrick Willis),1.660,2.520
4,14:36,1,10,SFO 46,27,10,Cadillac Williams right tackle for 7 yards (tackle by Patrick Willis),2.520,2.920
4,13:55,2,3,SFO 39,27,10,Cadillac Williams up the middle for -2 yards (tackle by Donte Whitner),2.920,1.950
4,13:13,3,5,SFO 41,27,10,Kellen Clemens pass complete short left to Danario Alexander for 11 yards (tackle by Navorro Bowman),1.950,3.580
4,12:36,1,10,SFO 30,27,10,Kellen Clemens pass incomplete short middle intended for Cadillac Williams,3.580,3.030
4,12:32,2,10,SFO 30,27,10,Kellen Clemens pass incomplete short left intended for Quinn Porter,3.030,2.340
4,12:28,3,10,SFO 30,27,10,Kellen Clemens pass incomplete short left intended for Brandon Lloyd,2.340,1.410
4,12:24,4,10,SFO 30,27,13,Josh Brown 48 yard field goal good,1.410,3.000
4,12:19,,,STL 35,27,13,"Josh Brown kicks off 72 yards, returned by Kendall Hunter for 22 yards (tackle by Darian Stewart)",0.000,-0.220
4,12:15,1,10,SFO 15,27,13,Kendall Hunter right tackle for 7 yards (tackle by Quintin Mikell),-0.220,0.350
4,11:32,2,3,SFO 22,27,13,Kendall Hunter left tackle for 6 yards (tackle by James Laurinaitis),0.350,0.810
4,10:48,1,10,SFO 28,27,13,Kendall Hunter left tackle for 1 yard (tackle by Fred Robbins),0.810,0.400
4,10:06,2,9,SFO 29,27,13,Alex Smith pass incomplete short right intended for Michael Crabtree,0.400,-0.300
4,9:58,3,9,SFO 29,27,13,Alex Smith pass complete short right to Anthony Dixon for 6 yards (tackle by Josh Gordy),-0.300,-1.040
4,9:28,4,3,SFO 35,27,13,"Andy Lee punts 58 yards, returned by Nick Miller for -3 yards. Penalty on Anthony Dixon: Offensive Holding (Offsetting), Penalty on Quintin Mikell: Unsportsmanlike Conduct (Offsetting) (no play)",-1.040,-1.040
4,9:18,4,3,SFO 35,27,13,Andy Lee punts 64 yards,-1.040,0.380
4,9:06,1,10,STL 1,27,13,Kellen Clemens pass incomplete deep left intended for Brandon Lloyd is intercepted by Tarell Brown at STL-18 and returned for 5 yards (tackle by Stephen Spach),-0.380,-4.710
4,8:58,1,10,STL 13,27,13,Kendall Hunter right tackle for 4 yards (tackle by Darell Scott),4.710,4.770
4,8:23,2,6,STL 9,27,13,Kendall Hunter left tackle for -1 yards (tackle by James Hall),4.770,3.650
4,7:37,3,7,STL 10,27,13,Kendall Hunter left guard for 9 yards (tackle by James Laurinaitis and Quintin Mikell),3.650,6.970
4,6:51,1,1,STL 1,27,13,Anthony Dixon left tackle for no gain (tackle by James Hall),6.970,5.910
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
4,6:32,2,1,STL 1,33,13,"Anthony Dixon right guard for 1 yard, touchdown",5.910,7.000
4,6:32,,,STL 2,34,13,David Akers kicks extra point good,0.000,0.000
4,6:30,,,SFO 35,34,13,"David Akers kicks off 69 yards, returned by Jerious Norwood for 35 yards (tackle by Larry Grant)",0.000,1.000
4,6:24,1,10,STL 31,34,13,"Kellen Clemens pass complete short right to Brandon Lloyd for 7 yards (tackle by Chris Culliver). Penalty on Chris Culliver: Unnecessary Roughness, 15 yards",1.000,2.460
4,5:56,1,10,SFO 47,34,13,Kellen Clemens pass complete short left to Danario Alexander for 12 yards (tackle by Tarell Brown),2.460,3.250
4,5:56,1,10,SFO 35,34,13,Cadillac Williams up the middle for -1 yards (tackle by Demarcus Dobbs),3.250,2.570
4,5:03,2,11,SFO 36,34,13,Kellen Clemens pass incomplete deep left intended for Danario Alexander,2.570,1.880
4,4:57,3,11,SFO 36,34,19,"Kellen Clemens pass complete deep right to Brandon Lloyd for 36 yards, touchdown",1.880,7.000
4,4:57,,,SFO 2,34,20,"Josh Brown kicks extra point good. Penalty on Dashon Goldson: Unnecessary Roughness, 15 yards",0.000,0.000
4,4:49,,,,34,20,"Josh Brown kicks onside 14 yards, recovered by Bryan Kehl",0.000,3.180
4,4:45,1,10,SFO 36,34,20,"Kellen Clemens pass incomplete deep left intended for Brandon Lloyd. Penalty on Tarell Brown: Defensive Pass Interference, 35 yards (no play)",3.180,6.970
4,4:39,1,1,SFO 1,34,26,"Cadillac Williams right tackle for 1 yard, touchdown",6.970,7.000
4,4:39,,,SFO 2,34,27,Josh Brown kicks extra point good,0.000,0.000
4,4:36,,,STL 35,34,27,"Josh Brown kicks off 65 yards, touchback",0.000,0.280
4,4:36,1,10,SFO 20,34,27,Alex Smith pass complete short right to Bruce Miller for no gain,0.280,-0.270
4,3:58,2,10,SFO 20,34,27,Anthony Dixon left guard for 2 yards (tackle by Bryan Kehl),-0.270,-0.690
4,3:53,,,,34,27,Timeout #1 by St. Louis Rams,0.000,-0.690
4,3:53,3,8,SFO 22,34,27,Alex Smith sacked by James Hall for -7 yards,-0.690,-2.440
4,3:45,,,,34,27,Timeout #2 by St. Louis Rams,0.000,-2.440
4,3:45,4,15,SFO 15,34,27,"Andy Lee punts 43 yards, returned by Nick Miller for 4 yards (tackle by Blake Costanzo)",-2.440,-1.990
4,3:37,1,10,STL 46,34,27,Kellen Clemens pass incomplete short right intended for Brandon Lloyd (defended by Tramaine Brock),1.990,1.450
4,3:33,2,10,STL 46,34,27,Kellen Clemens pass incomplete short left intended for Brandon Lloyd,1.450,0.760
4,3:29,3,10,STL 46,34,27,Kellen Clemens pass complete short right to Brandon Gibson for 21 yards (tackle by Dashon Goldson),0.760,3.380
4,2:56,1,10,SFO 33,34,27,Kellen Clemens pass incomplete short middle intended for Brandon Gibson,3.380,2.840
4,2:52,2,10,SFO 33,34,27,Kellen Clemens sacked by Navorro Bowman for -7 yards. Penalty on Jerious Norwood: Offensive Holding (Declined),2.840,1.220
4,2:46,3,17,SFO 40,34,27,Tom Brandstater pass incomplete short right intended for Danario Alexander,1.220,0.590
4,2:43,4,17,SFO 40,34,27,Tom Brandstater pass incomplete deep right intended for Danario Alexander (defended by Tramaine Brock),0.590,-1.600
4,2:37,1,10,SFO 40,34,27,Anthony Dixon right tackle for 4 yards (tackle by Bryan Kehl),1.600,1.590
4,2:32,,,,34,27,Timeout #3 by St. Louis Rams,0.000,1.590
4,2:32,2,6,SFO 44,34,27,Anthony Dixon right tackle for 5 yards (tackle by Bryan Kehl),1.590,1.550
4,2:00,3,1,SFO 49,34,27,Anthony Dixon right tackle for 3 yards (tackle by James Laurinaitis),1.550,2.390
4,1:30,1,10,STL 48,34,27,Alex Smith kneels for -1 yards,2.390,1.710
4,0:50,2,11,STL 49,34,27,Alex Smith kneels for -1 yards,1.710,0.890
4,0:31,3,12,,34,27,Alex Smith kneels for -1 yards,0.890,-0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
