Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
2,10:25,,,DAL 20,2,0,"Filip Filipovic kicks off 59 yards, returned by Bobby Shaw for 22 yards (tackle by Markus Steele)",0.000,1.800
2,10:12,1,10,JAX 43,2,0,Fred Taylor middle for 4 yards (tackle by Peppi Zellner),1.800,1.790
2,9:37,2,6,JAX 47,2,0,"Mark Brunell sacked by Kevin Hardy for -5 yards. Mark Brunell fumbles (forced by Kevin Hardy), recovered by Brandon Noble at JAX-42",1.790,-2.790
2,9:28,1,10,JAX 42,2,0,Emmitt Smith right tackle for 1 yard (tackle by Akin Ayodele),2.790,2.380
2,8:50,2,9,JAX 41,2,0,Chad Hutchinson for 7 yards,2.380,2.610
2,8:24,3,2,JAX 34,2,0,"Emmitt Smith left end for 4 yards (tackle by Marlon McCree). Penalty on Flozell Adams: Offensive Holding, 10 yards (no play)",2.610,1.290
2,8:02,3,12,JAX 44,2,0,Chad Hutchinson sacked by Eric Westmoreland for -2 yards,1.290,0.200
2,7:24,4,14,JAX 46,2,0,"Filip Filipovic punts 26 yards, returned by Jason Craft for 1 yard (tackle by Markus Steele). Penalty on Louis Mackey: Offensive Holding (Declined)",0.200,-0.340
2,7:15,1,10,JAX 21,2,0,Fred Taylor right tackle for -2 yards (tackle by Greg Ellis),0.340,-0.530
2,6:33,2,12,JAX 19,2,0,Stacey Mack right tackle for 4 yards (tackle by La'Roi Glover),-0.530,-0.630
2,5:50,3,8,JAX 23,2,0,Mark Brunell pass incomplete intended for Jimmy Smith (defended by Kevin Hardy),-0.630,-1.830
2,5:43,4,8,JAX 23,2,0,"Chris Hanson punts 40 yards, fair catch by Reggie Swinton",-1.830,-1.400
2,5:37,1,10,DAL 37,2,0,Chad Hutchinson pass incomplete intended for Darnay Scott is intercepted by Fernando Bryant at DAL-47 and returned for 26 yards,1.400,-4.170
2,5:26,1,10,DAL 21,2,0,Mark Brunell pass complete to Jimmy Smith for 3 yards (tackle by Mario Edwards),4.170,4.040
2,5:08,2,7,DAL 18,2,0,"Penalty on Kyle Brady: False Start, 5 yards (no play)",4.040,3.360
2,4:46,2,12,DAL 23,2,0,Mark Brunell pass incomplete intended for Jimmy Smith,3.360,2.680
2,4:41,3,12,DAL 23,2,0,Mark Brunell pass incomplete intended for Jimmy Smith,2.680,1.930
2,4:34,4,12,DAL 23,2,0,Tim Seder 41 yard field goal no good,1.930,-1.000
2,4:29,1,10,DAL 31,2,0,Emmitt Smith middle for 10 yards (tackle by Donovin Darius),1.000,1.660
2,3:52,1,10,DAL 41,2,0,Troy Hambrick left end for 17 yards (tackle by Marlon McCree),1.660,2.790
2,3:06,1,10,JAX 42,2,0,Emmitt Smith right tackle for -1 yards (tackle by T.J. Slaughter),2.790,2.110
2,2:25,2,11,JAX 43,2,6,"Chad Hutchinson pass complete to Joey Galloway for 43 yards, touchdown",2.110,7.000
2,2:25,,,JAX 43,2,7,Billy Cundiff kicks extra point good,0.000,0.000
2,2:25,,,DAL 30,2,7,"Billy Cundiff kicks off 55 yards, returned by Elvis Joseph for 7 yards (tackle by James Whalen)",0.000,0.410
2,2:13,1,10,JAX 22,2,7,Mark Brunell pass complete to Fred Taylor for 14 yards (tackle by Greg Ellis),0.410,1.330
2,2:00,1,10,JAX 36,2,7,Mark Brunell pass complete to Kyle Brady for 6 yards (tackle by Dat Nguyen),1.330,1.600
2,1:36,2,4,JAX 42,2,7,Mark Brunell pass complete to Kyle Brady for 12 yards (tackle by Dexter Coakley and Derek Ross),1.600,2.520
2,1:12,1,10,DAL 46,2,7,Fred Taylor middle for 1 yard (tackle by Dexter Coakley),2.520,2.110
2,1:08,1,10,DAL 46,,,Timeout #2 by Jacksonville Jaguars,2.520,2.110
2,1:08,2,9,DAL 45,2,7,Mark Brunell pass complete to Kevin Lockett for 7 yards (tackle by Mario Edwards),2.110,2.350
2,0:44,3,2,DAL 38,2,7,Mark Brunell pass complete to Kevin Lockett for 14 yards (tackle by Mario Edwards),2.350,3.970
2,0:27,1,10,DAL 24,2,7,Mark Brunell spiked the ball,3.970,3.430
2,0:27,2,10,DAL 24,2,7,Mark Brunell pass complete to Fred Taylor for 8 yards,3.430,3.950
2,0:22,3,2,DAL 16,2,7,Mark Brunell pass complete to Bobby Shaw for 3 yards (tackle by Dexter Coakley),3.950,4.710
2,0:03,3,2,DAL 16,,,Timeout #3 by Jacksonville Jaguars,3.950,3.950
2,0:03,3,2,DAL 16,,,Timeout #1 by Dallas Cowboys,3.950,4.710
2,0:03,1,10,DAL 13,5,7,Tim Seder 31 yard field goal good,4.710,3.000
Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,5,7,"Billy Cundiff kicks off 61 yards, returned by Elvis Joseph for 30 yards (tackle by Tony Dixon)",0.000,1.530
3,14:53,1,10,JAX 39,5,7,Fred Taylor middle for 2 yards (tackle by Ebenezer Ekuban),1.530,1.260
3,14:19,2,8,JAX 41,5,7,Mark Brunell pass complete to Jimmy Smith for 4 yards (tackle by Mario Edwards),1.260,1.090
3,13:33,2,8,JAX 41,,,Timeout #1 by Jacksonville Jaguars,1.260,1.090
3,13:33,3,4,JAX 45,5,7,Mark Brunell pass complete to Bobby Shaw for 4 yards (tackle by Pete Hunter),1.090,2.190
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
3,12:36,1,10,JAX 49,5,7,Fred Taylor middle for 3 yards (tackle by Greg Ellis),2.190,2.050
3,12:01,2,7,DAL 48,5,7,Mark Brunell pass incomplete,2.050,1.360
3,11:56,3,7,DAL 48,5,7,"Penalty on Kyle Brady: False Start, 5 yards (no play)",1.360,0.700
3,11:56,3,12,JAX 47,5,7,Mark Brunell sacked by Greg Ellis for -3 yards,0.700,-0.460
3,11:33,4,15,JAX 44,5,7,Chris Hanson punts 55 yards,-0.460,0.380
3,11:20,1,10,DAL 1,5,7,Chad Hutchinson pass complete to Tony McGee for 13 yards (tackle by Ainsley Battles),-0.380,-0.280
3,10:53,1,10,DAL 14,5,7,"Penalty on Tony McGee: False Start, 5 yards (no play)",-0.280,-0.570
3,10:26,1,15,DAL 9,5,7,Emmitt Smith for 3 yards,-0.570,-0.930
3,10:10,2,12,DAL 12,5,7,Chad Hutchinson pass complete to Emmitt Smith for 12 yards (tackle by T.J. Slaughter),-0.930,0.540
3,9:21,1,10,DAL 24,5,7,"Chad Hutchinson pass incomplete intended for Reggie Swinton. Penalty on Ross Tucker: Offensive Holding, 10 yards, Penalty on Reggie Swinton: Offensive Pass Interference (Declined) (no play)",0.540,-0.500
3,9:11,1,20,DAL 14,5,7,Chad Hutchinson pass complete to Mike Lucky for 22 yards (tackle by Marlon McCree and T.J. Slaughter),-0.500,1.330
3,8:29,1,10,DAL 36,5,7,Emmitt Smith left tackle for 11 yards (tackle by John Henderson),1.330,2.060
3,7:49,1,10,DAL 47,5,7,Emmitt Smith left tackle for 5 yards (tackle by Wali Rainer),2.060,2.190
3,7:12,2,5,JAX 48,5,7,Chad Hutchinson sacked by Larry Smith for -6 yards,2.190,0.700
3,6:38,3,11,DAL 46,5,7,Chad Hutchinson pass complete to Ken-Yon Rambo for 18 yards (tackle by Fernando Bryant),0.700,3.180
3,5:55,1,10,JAX 36,5,7,"Emmitt Smith middle for 1 yard. Penalty on Wali Rainer: Illegal Use of Hands, 5 yards",3.180,3.580
3,5:24,1,10,JAX 30,5,7,"Chad Hutchinson pass complete to Joey Galloway for 13 yards. Penalty on Marcus Stroud: Roughing the Passer, 9 yards",3.580,5.370
3,5:04,1,8,JAX 8,5,7,"Emmitt Smith left end for 8 yards. Penalty on Antonio Bryant: Offensive Holding, 10 yards",5.370,4.910
3,4:48,1,10,JAX 10,5,7,Chad Hutchinson pass complete to Joey Galloway for 9 yards (tackle by Ainsley Battles),4.910,5.910
3,4:18,2,1,JAX 1,5,13,"Emmitt Smith middle for 1 yard, touchdown",5.910,7.000
3,4:18,,,JAX 1,5,14,Billy Cundiff kicks extra point good,0.000,0.000
3,4:18,,,DAL 30,5,14,"Billy Cundiff kicks off 70 yards, touchback",0.000,0.280
3,4:15,1,10,JAX 20,5,14,Mark Brunell pass incomplete intended for John Henderson (defended by Peppi Zellner),0.280,-0.270
3,4:11,2,10,JAX 20,5,14,Mark Brunell pass incomplete is intercepted by Roy Williams at DAL-39,-0.270,-1.530
,,,,,,,"DAL challenged the ruling, and the original play was overturned.",,
3,4:04,1,10,DAL 39,5,14,Chad Hutchinson pass incomplete intended for Robert Thomas,1.530,0.990
3,3:59,2,10,DAL 39,5,14,Emmitt Smith left tackle for no gain (tackle by Marco Coleman),0.990,0.300
3,3:19,3,10,DAL 39,5,14,"Penalty on Andre Gurode: False Start, 5 yards (no play)",0.300,-0.360
3,3:00,3,15,DAL 34,5,14,Chad Hutchinson pass incomplete intended for Ken-Yon Rambo is intercepted by Ainsley Battles at DAL-44 and returned for 6 yards,-0.360,-3.050
3,2:52,1,10,DAL 38,5,14,Mark Brunell pass complete to Kyle Brady for 8 yards (tackle by Kevin Hardy and Derek Ross),3.050,3.590
3,2:19,2,2,DAL 30,5,14,Fred Taylor middle for no gain (tackle by Tony Dixon),3.590,2.870
3,1:36,3,2,DAL 30,5,14,Mark Brunell pass incomplete intended for Pete Mitchell (defended by Derek Ross),2.870,1.500
3,1:29,4,2,DAL 30,5,14,Mark Brunell pass complete to Bobby Shaw for 7 yards (tackle by Dat Nguyen),1.500,4.040
3,0:49,1,10,DAL 23,5,14,Mark Brunell pass complete to Jimmy Smith for 5 yards (tackle by Derek Ross),4.040,4.210
3,0:09,2,5,DAL 18,5,14,Fred Taylor middle for 10 yards (tackle by Roy Williams),4.210,5.370
Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,8,DAL 8,5,14,Stacey Mack left end for 5 yards (tackle by Kevin Hardy and Tony Dixon),5.370,5.530
4,14:21,2,3,DAL 3,11,14,"Stacey Mack middle for 3 yards, touchdown",5.530,7.000
4,14:21,,,DAL 3,12,14,Tim Seder kicks extra point good,0.000,0.000
4,14:21,,,JAX 30,12,14,"Tim Seder kicks off 57 yards, returned by Reggie Swinton for 22 yards (tackle by Joe Tuipala)",0.000,1.270
4,14:11,1,10,DAL 35,12,14,Chad Hutchinson pass complete to Joey Galloway for 10 yards (tackle by Fernando Bryant),1.270,1.930
4,13:34,1,10,DAL 45,12,14,Troy Hambrick left end for -2 yards (tackle by Ainsley Battles),1.930,1.110
4,12:47,2,12,DAL 43,12,14,Chad Hutchinson pass incomplete intended for Antonio Bryant,1.110,0.430
4,12:47,3,12,DAL 43,12,14,Chad Hutchinson pass complete to Ken-Yon Rambo for 47 yards (tackle by Marlon McCree),0.430,4.910
4,12:15,1,10,JAX 10,12,14,"Penalty on Tony McGee: Offensive Holding, 10 yards (no play)",4.910,4.240
4,11:54,1,20,JAX 20,12,14,Chad Hutchinson pass complete to Joey Galloway for 9 yards (tackle by Kiwaukee Thomas),4.240,4.020
4,11:15,2,11,JAX 11,12,20,"Chad Hutchinson pass complete to Joey Galloway for 11 yards, touchdown",4.020,7.000
4,11:15,,,JAX 11,12,21,Billy Cundiff kicks extra point good,0.000,0.000
4,11:15,,,DAL 30,12,21,"Billy Cundiff kicks off 51 yards, returned by Patrick Washington for 9 yards (tackle by Michael Wiley)",0.000,0.810
4,11:05,1,10,JAX 28,12,21,Mark Brunell pass incomplete intended for Kevin Lockett,0.810,0.260
4,10:58,2,10,JAX 28,12,21,Fred Taylor left end for 9 yards (tackle by Mario Edwards),0.260,0.760
4,10:58,2,10,JAX 28,,,Timeout #2 by Jacksonville Jaguars,0.260,0.760
4,10:35,3,1,JAX 37,12,21,Stacey Mack left guard for 3 yards (tackle by Greg Ellis),0.760,1.600
4,10:00,1,10,JAX 40,12,21,Fred Taylor left tackle for 11 yards (tackle by Peppi Zellner),1.600,2.320
4,9:31,1,10,DAL 49,12,21,"Mark Brunell pass complete to Kyle Brady for 5 yards (tackle by Dexter Coakley). Penalty on Greg Ellis: Defensive Offside, 5 yards (no play)",2.320,3.050
4,9:06,1,5,DAL 44,12,21,Mark Brunell pass complete to Kyle Brady for 8 yards (tackle by Roy Williams),3.050,3.180
4,8:39,1,10,DAL 36,12,21,Fred Taylor middle for 12 yards (tackle by Tony Dixon),3.180,3.970
4,8:17,1,10,DAL 24,12,21,Mark Brunell pass complete to Jimmy Smith for 10 yards (tackle by Mario Edwards),3.970,4.650
4,7:53,1,10,DAL 14,12,21,Mark Brunell pass incomplete intended for Kevin Lockett,4.650,4.000
4,7:48,2,10,DAL 14,12,21,"Fred Taylor middle for 13 yards (tackle by Roy Williams). Fred Taylor fumbles (forced by Roy Williams), recovered by Mario Edwards at DAL-0. Penalty on Todd Fordham: Unsportsmanlike Conduct, 15 yards",4.000,-1.270
4,7:39,1,10,DAL 35,12,21,Emmitt Smith left end for 3 yards (tackle by T.J. Slaughter and Jason Craft),1.270,1.130
4,6:55,2,7,DAL 38,12,21,Emmitt Smith left end for 8 yards (tackle by Wali Rainer and Jason Craft),1.130,1.990
4,6:06,1,10,DAL 46,12,21,Emmitt Smith left tackle for 2 yards (tackle by Marco Coleman),1.990,1.720
4,5:21,2,8,DAL 48,12,21,Emmitt Smith middle for -1 yards (tackle by John Henderson),1.720,0.890
4,4:36,3,9,DAL 47,12,21,Michael Wiley left tackle for 2 yards (tackle by Danny Clark),0.890,-0.130
4,3:50,4,7,DAL 49,12,21,"Filip Filipovic punts 33 yards, returned by Bobby Shaw for 12 yards (tackle by Lynn Scott)",-0.130,-0.940
4,3:38,1,10,JAX 30,12,21,Mark Brunell pass complete to Jimmy Smith for 17 yards (tackle by Dat Nguyen),0.940,2.060
4,3:11,1,10,JAX 47,12,21,Mark Brunell pass complete to Kyle Brady for 6 yards (tackle by Dexter Coakley),2.060,2.330
4,2:43,2,4,DAL 47,12,21,Mark Brunell pass incomplete (defended by Kevin Hardy),2.330,1.620
4,2:43,3,4,DAL 47,12,21,Mark Brunell pass incomplete intended for Bobby Shaw,1.620,0.130
4,2:39,4,4,DAL 47,12,21,Mark Brunell pass complete to Jimmy Smith for 9 yards (tackle by Derek Ross),0.130,3.050
4,2:15,1,10,DAL 38,12,21,Mark Brunell pass incomplete intended for Bobby Shaw,3.050,2.510
4,2:11,2,10,DAL 38,12,21,Mark Brunell pass complete to Jimmy Smith for 26 yards (tackle by Mario Edwards),2.510,4.780
4,2:05,1,10,DAL 12,12,21,Fred Taylor middle for 4 yards (tackle by Peppi Zellner),4.780,4.830
4,1:59,2,6,DAL 8,18,21,"Mark Brunell pass complete to Kevin Lockett for 8 yards, touchdown",4.830,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:59,,,DAL 8,19,21,Tim Seder kicks extra point good,0.000,0.000
4,1:59,,,JAX 30,19,21,"Tim Seder kicks onside 11 yards, recovered by James Whalen",0.000,-2.850
4,1:53,1,10,JAX 41,19,21,"Penalty on John Henderson: Defensive Delay of Game, 5 yards (no play)",2.850,3.580
4,1:53,1,5,JAX 36,19,21,"Chad Hutchinson for -2 yards. Penalty on Marco Coleman: Unsportsmanlike Conduct (Offsetting), Penalty on Andre Gurode: Unsportsmanlike Conduct (Offsetting)",3.580,2.710
4,1:37,2,7,JAX 38,19,21,Chad Hutchinson for -2 yards,2.710,1.750
4,1:17,3,9,JAX 40,19,21,Chad Hutchinson for -2 yards,1.750,0.460
4,0:27,4,11,JAX 42,19,21,"Penalty on DAL: Delay of Game, 5 yards (no play)",0.460,0.130
4,0:09,4,16,JAX 47,19,21,"Filip Filipovic punts 47 yards, touchback",0.130,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
