Quarter,Time,Down,ToGo,Location,NYJ,CHI,Detail,EPB,EPA
2,7:14,3,7,NYJ 43,0,3,Chad Pennington pass incomplete intended for Wayne Chrebet,0.760,-0.520
2,7:09,4,7,NYJ 43,0,3,"Matt Turk punts 36 yards, returned by Ahmad Merritt for 12 yards (tackle by Kelvin Moses)",-0.520,-1.140
2,6:59,1,10,CHI 33,0,3,Chris Chandler pass complete to Marty Booker for 4 yards (tackle by Aaron Beasley),1.140,1.130
2,6:36,2,6,CHI 37,0,3,Chris Chandler pass complete to Marty Booker for 7 yards (tackle by Donnie Abraham),1.130,1.860
2,6:07,1,10,CHI 44,0,3,Adrian Peterson right tackle for 4 yards (tackle by John Abraham),1.860,1.860
2,5:23,2,6,CHI 48,0,3,Chris Chandler pass incomplete intended for Stanley Pritchett (defended by Jason Ferguson),1.860,1.160
2,5:19,3,6,CHI 48,0,3,Chris Chandler pass complete to Marty Booker for 12 yards (tackle by Ray Mickens),1.160,2.920
2,4:37,1,10,NYJ 40,0,3,Adrian Peterson right tackle for 8 yards (tackle by Damien Robinson),2.920,3.450
2,3:48,2,2,NYJ 32,0,3,Chris Chandler pass complete to Adrian Peterson for 16 yards (tackle by Sam Cowart),3.450,4.510
2,3:00,1,10,NYJ 16,0,3,Adrian Peterson right tackle for 3 yards (tackle by Damien Robinson),4.510,4.390
2,2:15,2,7,NYJ 13,0,3,Adrian Peterson left tackle for 4 yards (tackle by John Abraham),4.390,4.390
2,2:00,3,3,NYJ 9,0,3,Chris Chandler pass complete to John Gilmore for 4 yards (tackle by Sam Garnes),4.390,6.060
2,1:41,3,3,NYJ 9,,,Timeout #1 by New York Jets,4.390,6.060
2,1:41,1,5,NYJ 5,0,9,"Adrian Peterson left guard for 5 yards, touchdown",6.060,7.000
2,1:41,,,NYJ 5,0,10,Paul Edinger kicks extra point good,0.000,0.000
2,1:41,,,CHI 30,0,10,"Paul Edinger kicks off 69 yards, returned by Chad Morton for 37 yards (tackle by John Stamper)",0.000,1.470
2,1:29,1,10,NYJ 38,0,10,Chad Pennington pass complete to Curtis Martin for 5 yards (tackle by Phillip Daniels and Brian Urlacher),1.470,1.600
2,1:04,2,5,NYJ 43,0,10,Chad Pennington pass complete to Anthony Becht for 6 yards (tackle by Roosevelt Williams),1.600,2.190
2,0:58,1,10,NYJ 49,0,10,Curtis Martin right tackle for 2 yards (tackle by Phillip Daniels),2.190,1.920
2,0:52,1,10,NYJ 49,,,Timeout #2 by New York Jets,2.190,1.920
2,0:52,2,8,CHI 49,0,10,Chad Pennington pass complete to Richie Anderson for 4 yards (tackle by Michael Green),1.920,1.750
2,0:44,3,4,CHI 45,0,10,Chad Pennington pass incomplete intended for Santana Moss,1.750,0.270
2,0:41,4,4,CHI 45,0,10,"Matt Turk punts 45 yards, touchback",0.270,-0.280
2,0:28,1,10,CHI 20,0,10,Leon Johnson left tackle for 2 yards (tackle by John Abraham),0.280,0.000
Quarter,Time,Down,ToGo,Location,NYJ,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,0,10,"Paul Edinger kicks off 67 yards, returned by Chad Morton for 97 yards. Penalty on Kelvin Moses: Offensive Holding, 10 yards",0.000,1.000
3,14:46,1,10,NYJ 31,0,10,Curtis Martin left tackle for 3 yards (tackle by Bobbie Howard and Alex Brown),1.000,0.870
3,14:13,2,7,NYJ 34,0,10,Curtis Martin right end for 5 yards (tackle by Mike Caldwell and Phillip Daniels),0.870,0.830
3,13:33,3,2,NYJ 39,0,10,Chad Pennington pass complete to Laveranues Coles for 12 yards (tackle by Mike Brown),0.830,2.320
3,12:46,1,10,CHI 49,0,10,Chad Pennington pass complete to Santana Moss for 7 yards (tackle by Michael Green),2.320,2.730
3,12:22,2,3,CHI 42,0,10,"Curtis Martin right guard for 35 yards (tackle by Mike Brown). Penalty on Mike Brown: Face Mask (5 Yards), 4 yards",2.730,6.510
3,12:03,1,3,CHI 3,0,10,"Penalty on Anthony Becht: False Start, 5 yards (no play)",6.510,5.370
3,11:30,1,8,CHI 8,0,10,Curtis Martin left tackle for 3 yards (tackle by Michael Green),5.370,5.150
3,11:00,2,5,CHI 5,6,10,"Chad Pennington pass complete to Wayne Chrebet for 5 yards, touchdown",5.150,7.000
3,11:00,,,CHI 5,7,10,John Hall kicks extra point good,0.000,0.000
3,11:00,,,NYJ 30,7,10,"John Hall kicks off 64 yards, returned by Ahmad Merritt for 31 yards (tackle by John Hall)",0.000,1.400
3,10:48,1,10,CHI 37,7,10,Chris Chandler pass complete to John Gilmore for 8 yards (tackle by Mo Lewis),1.400,1.940
3,10:04,2,2,CHI 45,7,10,Chris Chandler pass complete to Dez White for 12 yards (tackle by Aaron Beasley),1.940,2.720
3,9:25,1,10,NYJ 43,7,10,Chris Chandler pass complete to Ahmad Merritt for -3 yards (tackle by Donnie Abraham),2.720,1.770
3,8:39,2,13,NYJ 46,7,10,"Chris Chandler pass complete to Leon Johnson for 6 yards (tackle by Sam Cowart). Penalty on Jason Ferguson: Unnecessary Roughness, 15 yards",1.770,3.910
3,8:10,1,10,NYJ 25,7,10,Leon Johnson left guard for 23 yards (tackle by Sam Cowart and Aaron Beasley),3.910,6.740
3,7:23,1,2,NYJ 2,7,16,"Leon Johnson left guard for 2 yards, touchdown",6.740,7.000
3,7:23,,,NYJ 2,7,17,Paul Edinger kicks extra point good,0.000,0.000
3,7:23,,,CHI 30,7,17,Paul Edinger kicks off 44 yards,0.000,0.670
3,7:19,1,10,NYJ 26,7,17,Curtis Martin right end for 3 yards (tackle by Bobbie Howard),0.670,0.540
3,6:31,2,7,NYJ 29,7,17,Curtis Martin left end for 9 yards (tackle by Bobbie Howard),0.540,1.470
3,6:00,1,10,NYJ 38,7,17,Curtis Martin right guard for 5 yards (tackle by Brian Urlacher),1.470,1.600
3,5:23,2,5,NYJ 43,7,17,Chad Pennington pass complete to Jerald Sowell for 9 yards (tackle by Bobbie Howard),1.600,2.390
3,4:39,1,10,CHI 48,7,17,Chad Pennington pass complete to Jerald Sowell for 15 yards (tackle by Rosevelt Colvin),2.390,3.380
3,3:58,1,10,CHI 33,7,17,Curtis Martin right tackle for -1 yards (tackle by Brian Urlacher),3.380,2.700
3,3:17,2,11,CHI 34,7,17,Chad Pennington pass complete to Curtis Martin for 12 yards (tackle by Brian Urlacher),2.700,4.110
3,2:28,1,10,CHI 22,7,17,Chad Pennington pass complete to Santana Moss for no gain,4.110,3.560
3,1:45,2,10,CHI 22,7,17,Chad Pennington pass incomplete intended for Wayne Chrebet,3.560,2.870
3,1:40,3,10,CHI 22,7,17,"Chad Pennington pass complete to Curtis Martin for 16 yards (tackle by Travis Coleman). Penalty on Kevin Mawae: Ineligible Downfield Pass, 5 yards (no play)",2.870,2.210
3,0:58,3,15,CHI 27,7,17,Chad Pennington pass complete to Wayne Chrebet for 3 yards (tackle by Michael Green),2.210,1.870
3,0:19,4,12,CHI 24,10,17,John Hall 42 yard field goal good,1.870,3.000
3,0:19,,,NYJ 30,10,17,"John Hall kicks off 55 yards, returned by Adrian Peterson for 21 yards (tackle by Khary Campbell)",0.000,1.330
3,0:05,1,10,CHI 36,10,17,Chris Chandler pass complete to Leon Johnson for 9 yards (tackle by Sam Cowart),1.330,2.010
Quarter,Time,Down,ToGo,Location,NYJ,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,CHI 45,10,17,Leon Johnson right guard for 2 yards (tackle by Mo Lewis),2.010,2.060
4,14:21,1,10,CHI 47,10,17,Leon Johnson left guard for 12 yards (tackle by Sam Garnes),2.060,2.850
4,13:34,1,10,NYJ 41,10,17,Chris Chandler pass incomplete intended for Marty Booker,2.850,2.310
4,13:28,2,10,NYJ 41,10,17,Chris Chandler pass complete to Marty Booker for 4 yards (tackle by Mo Lewis),2.310,2.150
4,12:46,3,6,NYJ 37,10,17,Chris Chandler sacked for -6 yards,2.150,0.400
4,12:12,4,12,NYJ 43,10,17,"Brad Maynard punts 36 yards, out of bounds",0.400,0.380
4,12:04,1,10,NYJ 7,10,17,"Curtis Martin right tackle for 11 yards (tackle by Roosevelt Williams). Penalty on Bobbie Howard: Face Mask (5 Yards), 5 yards",-0.380,0.480
4,11:42,1,10,NYJ 23,10,17,Curtis Martin right guard for 3 yards (tackle by Brian Urlacher and Bryan Robinson),0.480,0.340
4,11:05,2,7,NYJ 26,10,17,Chad Pennington pass incomplete intended for Curtis Martin,0.340,-0.360
4,11:01,3,7,NYJ 26,10,17,Chad Pennington pass complete to Laveranues Coles for 11 yards (tackle by Michael Green),-0.360,1.400
4,10:19,1,10,NYJ 37,10,17,Chad Pennington pass incomplete intended for Laveranues Coles. Penalty on Laveranues Coles: Illegal Shift (Declined),1.400,0.860
4,10:14,2,10,NYJ 37,10,17,Chad Morton right guard for 2 yards (tackle by Brian Urlacher),0.860,0.430
4,9:36,3,8,NYJ 39,10,17,Chad Pennington pass complete to Laveranues Coles for 12 yards (tackle by Travis Coleman),0.430,2.320
4,8:56,1,10,CHI 49,10,17,"Chad Pennington pass incomplete intended for Laveranues Coles. Penalty on Travis Coleman: Defensive Pass Interference, 35 yards (no play)",2.320,4.650
4,8:50,1,10,CHI 14,10,17,Curtis Martin left guard for 4 yards (tackle by Alfonso Boone),4.650,4.710
4,8:07,2,6,CHI 10,10,17,Curtis Martin left tackle for no gain (tackle by Alex Brown),4.710,3.820
4,7:30,3,6,CHI 10,10,17,Chad Pennington pass incomplete intended for Wayne Chrebet (defended by Roosevelt Williams),3.820,2.790
4,7:26,4,6,CHI 10,13,17,John Hall 28 yard field goal good,2.790,3.000
4,7:26,,,NYJ 30,13,17,"John Hall kicks off 67 yards, returned by Ahmad Merritt for 36 yards (tackle by Sam Garnes)",0.000,1.530
4,7:16,1,10,CHI 39,13,17,Adrian Peterson left tackle for 11 yards (tackle by Sam Cowart),1.530,2.260
4,6:32,1,10,CHI 50,13,17,Adrian Peterson left guard for 4 yards (tackle by Josh Evans),2.260,2.250
4,5:48,2,6,NYJ 46,13,17,"Penalty on John Gilmore: False Start, 5 yards (no play)",2.250,1.580
4,5:31,2,11,CHI 49,13,17,Chris Chandler pass complete to Dez White for 6 yards (tackle by Donnie Abraham),1.580,1.690
4,4:51,3,5,NYJ 45,13,17,"Chris Chandler pass complete to Chris Chandler for no gain. Penalty on Jason Glenn: Defensive 12 On-field, 4 yards (no play)",1.690,2.210
4,4:51,3,1,NYJ 41,13,17,Henry Burris right end for 2 yards (tackle by Jon McGraw),2.210,2.980
4,4:31,1,10,NYJ 39,13,17,Leon Johnson left tackle for 1 yard (tackle by Josh Evans),2.980,2.580
4,3:52,2,9,NYJ 38,13,17,Chris Chandler pass complete to Marty Booker for 5 yards (tackle by Sam Cowart),2.580,2.540
4,3:48,3,4,NYJ 33,13,17,Chris Chandler pass complete to Marty Booker for 9 yards (tackle by Sam Garnes),2.540,3.970
4,3:48,1,10,NYJ 24,13,17,Leon Johnson left tackle for 1 yard (tackle by Josh Evans),3.970,3.570
4,2:54,1,10,NYJ 24,,,Timeout #1 by New York Jets,3.970,3.570
4,2:54,2,9,NYJ 23,13,17,Leon Johnson right guard for -2 yards (tackle by Josh Evans),3.570,2.610
4,2:48,2,9,NYJ 23,,,Timeout #2 by New York Jets,3.570,2.610
4,2:48,3,11,NYJ 25,13,17,"Penalty on John Gilmore: False Start, 5 yards (no play)",2.610,1.950
4,2:48,3,16,NYJ 30,13,17,Chris Chandler pass incomplete intended for Leon Johnson (defended by Ray Mickens),1.950,1.410
4,2:43,4,16,NYJ 30,13,20,Paul Edinger 48 yard field goal good,1.410,3.000
4,2:43,,,CHI 30,13,20,"Paul Edinger kicks off 47 yards, returned by Chad Morton for 1 yard (tackle by Adrian Peterson)",0.000,0.540
4,2:36,1,10,NYJ 24,13,20,Chad Pennington pass incomplete intended for Richie Anderson,0.540,0.000
4,2:30,2,10,NYJ 24,13,20,Chad Pennington pass complete to Curtis Martin for 11 yards (tackle by Brian Urlacher and Michael Green),0.000,1.270
4,2:07,1,10,NYJ 35,13,20,Chad Pennington pass incomplete intended for Wayne Chrebet (defended by Brian Urlacher),1.270,0.720
4,2:01,2,10,NYJ 35,13,20,Chad Pennington pass complete to Chad Morton for 8 yards (tackle by Michael Green),0.720,1.090
4,1:54,3,2,NYJ 43,13,20,Chad Pennington pass incomplete intended for Wayne Chrebet (defended by Michael Green),1.090,-0.520
4,1:51,4,2,NYJ 43,13,20,Chad Pennington pass complete to Richie Anderson for 15 yards (tackle by Michael Green),-0.520,2.790
4,1:26,1,10,CHI 42,13,20,Chad Pennington pass complete to Chad Morton for 5 yards (tackle by Brian Urlacher),2.790,2.920
4,1:19,1,10,CHI 42,,,Timeout #3 by New York Jets,2.790,2.920
4,1:19,2,5,CHI 37,13,20,"Chad Pennington pass complete to Wayne Chrebet for 22 yards (tackle by Michael Green). Wayne Chrebet fumbles (forced by Michael Green), recovered by Roosevelt Williams at CHI-14 (tackle by Kevin Mawae)",2.920,0.280
4,1:10,1,10,CHI 14,13,20,Chris Chandler for -1 yards,-0.280,-0.850
4,1:10,2,11,CHI 13,13,20,Chris Chandler for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
