Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,6,13,"Adam Vinatieri kicks off 58 yards, returned by David Allen for 21 yards (tackle by Matt Chatham). Penalty on Ray Perryman: Face Mask (15 Yards), 15 yards",0.000,-0.220
3,14:54,1,10,JAX 15,6,13,Fred Taylor left guard for 5 yards (tackle by Tedy Bruschi and Richard Seymour),-0.220,0.080
3,14:18,2,5,JAX 20,6,13,Fred Taylor left tackle for 6 yards (tackle by Tedy Bruschi and Mike Vrabel),0.080,0.670
3,13:34,1,10,JAX 26,6,13,Byron Leftwich pass incomplete intended for Kyle Brady,0.670,0.130
3,13:30,2,10,JAX 26,6,13,Fred Taylor right end for 1 yard (tackle by Bobby Hamilton and Tedy Bruschi),0.130,-0.430
3,12:46,3,9,JAX 27,6,13,Byron Leftwich pass incomplete intended for Jimmy Smith,-0.430,-1.570
3,12:42,4,9,JAX 27,6,13,"Mark Royals punts 38 yards, returned by Troy Brown for 17 yards (tackle by Ray Perryman). Penalty on Patrick Pass: Offensive Holding, 10 yards",-1.570,-0.940
3,12:30,1,10,NWE 30,6,13,Tom Brady pass incomplete intended for Kevin Faulk,0.940,0.390
3,12:26,2,10,NWE 30,6,13,Tom Brady pass incomplete intended for Daniel Graham (defended by Marcus Stroud),0.390,-0.300
3,12:23,3,10,NWE 30,6,13,Tom Brady pass complete to Kevin Faulk for 7 yards (tackle by Mike Peterson),-0.300,-0.910
3,11:42,4,3,NWE 37,6,13,"Ken Walter punts 37 yards, returned by David Allen for -1 yards (tackle by Matt Chatham)",-0.910,-0.610
3,11:32,1,10,JAX 25,6,13,"Byron Leftwich pass complete to Fred Taylor for 8 yards (tackle by Richard Seymour). Penalty on Vince Manuwai: Personal Foul, 15 yards",0.610,-0.980
3,11:07,2,17,JAX 18,6,13,Fred Taylor left guard for 2 yards (tackle by Willie McGinest and Tedy Bruschi),-0.980,-1.290
3,10:24,3,15,JAX 20,6,13,Byron Leftwich pass complete to Jimmy Smith for 6 yards (tackle by Roman Phifer),-1.290,-1.630
3,9:51,4,9,JAX 26,6,13,"Mark Royals punts 50 yards, muffed catch by Troy Brown, recovered by Troy Brown and returned for 11 yards (tackle by Deon Humphrey). Penalty on Jimmy Redmond: Player Out of Bounds on Punt, 5 yards (no play)",-1.630,-1.960
3,9:39,4,14,JAX 21,6,13,"Mark Royals punts 50 yards, returned by Troy Brown for 18 yards (tackle by Nick Sorensen)",-1.960,-2.060
3,9:23,1,10,NWE 47,6,13,Kevin Faulk up the middle for 7 yards (tackle by Donovin Darius and Deke Cooper),2.060,2.460
3,8:55,2,3,JAX 46,6,13,Kevin Faulk right tackle for 8 yards (tackle by Akin Ayodele and Mike Peterson),2.460,3.050
3,8:11,1,10,JAX 38,6,13,Tom Brady pass complete to David Givens for 6 yards (tackle by Fernando Bryant),3.050,3.320
3,7:33,2,4,JAX 32,6,13,Patrick Pass left end for -1 yards (tackle by John Henderson and Danny Clark),3.320,2.480
3,6:53,3,5,JAX 33,6,13,Tom Brady pass complete to Troy Brown for 8 yards (tackle by Fernando Bryant),2.480,3.910
3,6:31,1,10,JAX 25,6,13,Kevin Faulk up the middle for 3 yards (tackle by Mike Peterson and Donovin Darius),3.910,3.770
3,6:00,2,7,JAX 22,6,13,"Tom Brady pass incomplete intended for Kevin Faulk. Penalty on Matt Light: Unnecessary Roughness, 15 yards",3.770,1.090
3,5:54,3,22,JAX 37,6,13,Tom Brady pass incomplete intended for Dedric Ward,1.090,0.790
3,5:49,4,22,JAX 37,6,13,Ken Walter punts 33 yards,0.790,0.380
3,5:37,1,10,JAX 4,6,13,Fred Taylor up the middle for 2 yards (tackle by Ted Washington and Richard Seymour),-0.380,-0.630
3,4:58,2,8,JAX 6,6,13,Byron Leftwich pass incomplete intended for Troy Edwards,-0.630,-1.190
3,4:53,3,8,JAX 6,6,13,Byron Leftwich pass complete to Troy Edwards for 17 yards,-1.190,0.480
3,4:35,1,10,JAX 23,6,13,Byron Leftwich pass incomplete intended for Jimmy Smith,0.480,-0.070
3,4:31,2,10,JAX 23,6,13,Byron Leftwich pass complete to Fred Taylor for 4 yards (tackle by Tedy Bruschi),-0.070,-0.230
3,3:49,3,6,JAX 27,6,13,Byron Leftwich pass incomplete intended for Jimmy Smith,-0.230,-1.570
3,3:48,4,6,JAX 27,6,13,"Mark Royals punts 50 yards, returned by Troy Brown for 9 yards (tackle by Akin Ayodele)",-1.570,-1.070
3,3:38,1,10,NWE 32,6,13,Tom Brady pass complete to Daniel Graham for 30 yards (tackle by Deke Cooper),1.070,3.050
3,3:01,1,10,JAX 38,6,13,Antowain Smith up the middle for 14 yards (tackle by Deke Cooper and Donovin Darius),3.050,3.970
3,2:37,1,10,JAX 24,6,13,Antowain Smith right guard for -2 yards (tackle by Tony Brackens),3.970,3.160
3,2:04,2,12,JAX 26,6,13,"Tom Brady pass complete to Antowain Smith for 11 yards (tackle by Danny Clark). Antowain Smith fumbles (forced by Danny Clark), recovered by Paul Spicer at JAX-11",3.160,0.370
3,1:49,1,10,JAX 11,6,13,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Willie McGinest),-0.370,-0.780
3,1:44,2,10,JAX 11,6,13,Fred Taylor left guard for 7 yards (tackle by Rodney Harrison),-0.780,-0.600
3,1:07,3,3,JAX 18,6,13,Fred Taylor left tackle for 5 yards (tackle by Rodney Harrison and Tedy Bruschi),-0.600,0.480
3,0:31,1,10,JAX 23,6,13,Byron Leftwich pass complete to Marc Edwards for 12 yards (tackle by Tedy Bruschi),0.480,1.270
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 35,6,13,Byron Leftwich pass incomplete intended for Jimmy Smith is intercepted by Tyrone Poole at NWE-48 and returned for 17 yards (tackle by Chris Naeole),1.270,-3.250
4,14:49,1,10,JAX 35,6,13,Tom Brady pass complete to Dedric Ward for 9 yards (tackle by Rashean Mathis),3.250,3.920
4,14:13,2,1,JAX 26,6,13,Kevin Faulk left guard for 2 yards (tackle by Deke Cooper and Mike Peterson),3.920,3.970
4,13:35,1,10,JAX 24,6,13,Antowain Smith up the middle for 4 yards (tackle by Akin Ayodele and Deke Cooper),3.970,3.970
4,12:59,2,6,JAX 20,6,13,Tom Brady pass incomplete intended for David Givens (defended by Akin Ayodele),3.970,3.270
4,12:55,3,6,JAX 20,6,13,Tom Brady pass complete to Larry Centers for 8 yards (tackle by Mike Peterson),3.270,4.780
4,12:16,1,10,JAX 12,6,13,Antowain Smith right end for 2 yards (tackle by Fernando Bryant),4.780,4.450
4,11:40,2,8,JAX 10,6,13,Kevin Faulk up the middle for no gain (tackle by Rob Meier and Mike Peterson),4.450,3.480
4,11:02,3,8,JAX 10,6,19,"Tom Brady pass complete to Troy Brown for 10 yards, touchdown",3.480,7.000
4,,,,JAX 2,6,20,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,NWE 30,6,20,"Adam Vinatieri kicks off 63 yards, returned by David Allen for 36 yards (tackle by Shawn Mayer)",0.000,1.800
4,10:50,1,10,JAX 43,6,20,Byron Leftwich pass incomplete intended for Fred Taylor,1.800,1.250
4,10:46,2,10,JAX 43,6,20,"Penalty on Maurice Williams: False Start, 5 yards (no play)",1.250,0.580
4,10:46,2,15,JAX 38,6,20,David Allen up the middle for 5 yards (tackle by Ty Warren and Dan Klecko),0.580,0.560
4,10:06,3,10,JAX 43,6,20,Byron Leftwich pass incomplete intended for Kevin Johnson,0.560,-0.520
4,10:01,4,10,JAX 43,6,20,"Mark Royals punts 42 yards, returned by Troy Brown for 11 yards (tackle by Jimmy Redmond)",-0.520,-0.670
4,9:51,1,10,NWE 26,6,20,Antowain Smith up the middle for 4 yards (tackle by Marcus Stroud and John Henderson),0.670,0.670
4,9:12,2,6,NWE 30,6,20,Antowain Smith up the middle for no gain (tackle by John Henderson and Akin Ayodele),0.670,-0.030
4,8:29,3,6,NWE 30,6,20,Tom Brady pass incomplete intended for Larry Centers,-0.030,-1.370
4,8:25,4,6,NWE 30,6,20,Ken Walter punts 51 yards,-1.370,-0.150
4,8:11,1,10,JAX 19,6,20,Byron Leftwich pass complete to Kevin Johnson for 8 yards (tackle by Rodney Harrison),0.150,0.750
4,7:44,2,2,JAX 27,6,20,Fred Taylor right guard for 5 yards (tackle by Dan Klecko and Ty Warren),0.750,1.070
4,7:11,1,10,JAX 32,6,20,Byron Leftwich pass complete to Fred Taylor for 7 yards (tackle by Tedy Bruschi),1.070,1.470
4,6:39,2,3,JAX 39,6,20,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Ty Law),1.470,0.760
4,6:33,,,,6,20,Timeout #1 by Jacksonville Jaguars,0.000,0.760
4,6:33,3,3,JAX 39,6,20,Byron Leftwich left end for 4 yards (tackle by Tyrone Poole),0.760,1.800
4,5:59,1,10,JAX 43,6,20,Byron Leftwich pass incomplete intended for Kevin Johnson,1.800,1.250
4,5:56,2,10,JAX 43,6,20,Byron Leftwich pass incomplete intended for Troy Edwards is intercepted by Tyrone Poole at JAX-47 and returned for 44 yards (tackle by LaBrandon Toefield). Penalty on Maurice Williams: Illegal Use of Hands (Declined),1.250,-6.510
4,5:45,1,3,JAX 3,6,20,Antowain Smith right guard for 1 yard (tackle by Rashean Mathis),6.510,5.720
4,5:11,2,2,JAX 2,6,20,Antowain Smith right guard for 1 yard (tackle by John Henderson),5.720,5.170
4,,,,,6,20,Timeout #1 by New England Patriots,0.000,5.170
4,4:23,3,1,JAX 1,6,26,"Antowain Smith up the middle for 1 yard, touchdown. Penalty on Richard Seymour: Personal Foul, 15 yards",5.170,7.000
4,,,,JAX 2,6,27,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,NWE 15,6,27,"Adam Vinatieri kicks off 66 yards, returned by David Allen for 28 yards (tackle by Larry Izzo)",0.000,2.060
4,4:12,1,10,JAX 47,6,27,Byron Leftwich pass complete to Fred Taylor for 13 yards (tackle by Mike Vrabel),2.060,2.920
4,3:45,1,10,NWE 40,6,27,Byron Leftwich pass complete to Marc Edwards for 13 yards (tackle by Eugene Wilson),2.920,3.780
4,3:36,1,10,NWE 27,6,27,Byron Leftwich pass incomplete intended for Fred Taylor (defended by Jarvis Green),3.780,3.230
4,3:33,2,10,NWE 27,6,27,Byron Leftwich pass incomplete intended for Jimmy Smith,3.230,2.540
4,3:28,3,10,NWE 27,12,27,"Byron Leftwich pass complete to Kevin Johnson for 27 yards, touchdown. Penalty on Tyrone Poole: Roughing the Passer, 15 yards",2.540,7.000
4,,,,NWE 2,13,27,Seth Marler kicks extra point good,0.000,0.000
4,,,,JAX 45,13,27,"Seth Marler kicks onside 8 yards, recovered by Larry Izzo",0.000,2.060
4,3:21,1,10,NWE 47,13,27,Antowain Smith left guard for 3 yards (tackle by Marcus Stroud),2.060,1.920
4,2:41,2,7,NWE 50,13,27,"Patrick Pass up the middle for 5 yards (tackle by Marcus Stroud and Danny Clark). Penalty on Paul Spicer: Defensive Offside, 5 yards (no play)",1.920,2.600
4,2:35,2,2,JAX 45,13,27,Patrick Pass up the middle for 4 yards (tackle by Rob Meier),2.600,2.850
4,2:00,1,10,JAX 41,13,27,Antowain Smith left end for no gain (tackle by Lionel Barnes and Marcus Stroud),2.850,2.310
4,1:46,,,,13,27,Timeout #2 by Jacksonville Jaguars,0.000,2.310
4,1:46,2,10,JAX 41,13,27,Antowain Smith right end for 4 yards (tackle by Akin Ayodele and Deke Cooper),2.310,2.150
4,1:39,,,,13,27,Timeout #3 by Jacksonville Jaguars,0.000,2.150
4,1:39,3,6,JAX 37,13,27,Antowain Smith left tackle for 4 yards (tackle by John Henderson and Paul Spicer),2.150,1.200
4,0:57,4,2,JAX 33,13,27,Antowain Smith right guard for 1 yard (tackle by Donovin Darius),1.200,-1.070
4,0:51,1,10,JAX 32,13,27,Byron Leftwich pass complete to David Allen for 6 yards (tackle by Jarvis Green),1.070,1.340
4,0:22,2,4,JAX 38,13,27,Byron Leftwich pass incomplete intended for Marc Edwards,1.340,0.630
4,0:20,3,4,JAX 38,13,27,Byron Leftwich pass complete to Marc Edwards for 4 yards (tackle by Tyrone Poole),0.630,1.730
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
