Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
2,9:53,2,8,CIN 21,10,10,Brian Leonard right tackle for 3 yards (tackle by Alex Albright),-0.060,-0.420
2,9:09,3,5,CIN 24,10,10,Andy Dalton pass complete short middle to Andrew Hawkins for 11 yards (tackle by Eric Frampton and Brandon Carr),-0.420,1.270
2,8:28,1,10,CIN 35,10,10,"Penalty on Kyle Cook: False Start, 5 yards (no play)",1.270,0.940
2,8:12,1,15,CIN 30,10,10,Brian Leonard up the middle for 3 yards (tackle by Anthony Spencer),0.940,0.450
2,7:34,2,12,CIN 33,10,10,Andy Dalton pass complete deep middle to Marvin Jones for 17 yards (tackle by Eric Frampton),0.450,2.260
2,6:48,1,10,,10,10,Andy Dalton sacked by Ernie Sims for 0 yards,2.260,1.710
2,6:18,2,10,,10,10,Brian Leonard left guard for 3 yards (tackle by Ernie Sims),1.710,1.420
2,5:34,3,7,DAL 47,10,10,Andy Dalton pass complete deep middle to Jermaine Gresham for 25 yards (tackle by Sterling Moore and Eric Frampton),1.420,4.110
2,4:56,1,10,DAL 22,10,10,Brian Leonard right guard for 4 yards (tackle by Ernie Sims and Dan Connor),4.110,4.130
2,4:16,2,6,DAL 18,10,10,Andy Dalton pass complete short left to BenJarvus Green-Ellis for 3 yards (tackle by Ernie Sims),4.130,3.930
2,3:33,3,3,DAL 15,10,10,Andy Dalton pass incomplete short right intended for Andrew Hawkins,3.930,2.540
2,3:29,4,3,DAL 15,10,13,Josh Brown 33 yard field goal good,2.540,3.000
2,3:24,,,CIN 35,10,13,"Josh Brown kicks off 66 yards, returned by Dwayne Harris for 14 yards (tackle by Dan Skuta). Penalty on Taylor Mays: Illegal Use of Hands, 5 yards",0.000,0.040
2,3:18,1,10,DAL 18,10,13,DeMarco Murray right tackle for -4 yards (tackle by Geno Atkins),0.040,-1.040
2,2:37,2,14,DAL 14,10,13,Tony Romo pass complete short left to Miles Austin for 5 yards (tackle by Leon Hall),-1.040,-1.040
2,2:00,3,9,DAL 19,10,13,Tony Romo pass complete short right to Miles Austin for 11 yards (tackle by Leon Hall and Terence Newman),-1.040,0.000
2,1:41,,,,10,13,Timeout #1 by Cincinnati Bengals,0.000,0.940
2,1:41,1,10,DAL 30,10,13,Tony Romo pass incomplete short middle intended for Kevin Ogletree (defended by Terence Newman),0.940,0.390
2,1:36,2,10,DAL 30,10,13,Tony Romo pass incomplete short middle intended for Dwayne Harris,0.390,-0.300
2,1:31,3,10,DAL 30,10,13,"Tony Romo sacked by Michael Johnson and Carlos Dunlap for -14 yards. Penalty on Carlos Dunlap: Face Mask (15 Yards), 15 yards",-0.300,0.000
2,1:19,,,,10,13,Timeout #2 by Cincinnati Bengals,0.000,1.000
2,1:19,1,10,DAL 31,10,13,Tony Romo pass complete short right to Dwayne Harris for 5 yards (tackle by Terence Newman),1.000,1.140
2,0:54,2,5,DAL 36,10,13,Tony Romo pass incomplete short left intended for Miles Austin,1.140,0.430
2,0:52,3,5,DAL 36,10,13,"Penalty on DAL: Delay of Game, 5 yards (no play)",0.430,-0.230
2,0:52,3,10,DAL 31,10,13,Tony Romo pass incomplete deep right intended for Dwayne Harris is intercepted by Reggie Nelson at CIN-14,-0.230,0.280
2,0:38,1,10,CIN 14,10,13,Andy Dalton kneels for no gain,-0.280,-0.750
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,10,13,"Dan Bailey kicks off 52 yards, returned by Orson Charles for 10 yards (tackle by Lance Dunbar)",0.000,0.480
3,14:55,1,10,CIN 23,10,13,Andy Dalton pass complete short middle to Jermaine Gresham for 7 yards (tackle by Anthony Spencer),0.480,0.880
3,14:21,2,3,CIN 30,10,13,Andy Dalton pass complete short left to Andrew Hawkins for 4 yards (tackle by Morris Claiborne),0.880,1.200
3,13:56,1,10,CIN 34,10,13,Andy Dalton pass complete short right to A.J. Green for 17 yards (tackle by DeMarcus Ware),1.200,2.320
3,13:18,1,10,DAL 49,10,13,BenJarvus Green-Ellis up the middle for 6 yards (tackle by Ernie Sims),2.320,2.590
3,12:41,2,4,DAL 43,10,13,BenJarvus Green-Ellis right tackle for 3 yards (tackle by Sean Lissemore and Ernie Sims),2.590,2.280
3,12:05,3,1,DAL 40,10,13,Andy Dalton pass complete short left to Orson Charles for 17 yards (tackle by Ernie Sims and Morris Claiborne),2.280,4.040
3,11:44,1,10,DAL 23,10,13,Andy Dalton pass complete short right to Marvin Jones for 11 yards (tackle by Brandon Carr),4.040,4.780
3,10:55,1,10,DAL 12,10,13,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",4.780,4.320
3,10:43,1,15,DAL 17,10,13,"Andy Dalton sacked by Anthony Spencer for -1 yards. Penalty on DAL: Unsportsmanlike Conduct, 9 yards",4.320,5.140
3,10:17,1,9,DAL 9,10,13,BenJarvus Green-Ellis right tackle for 2 yards (tackle by Dan Connor and Danny McCray),5.140,4.760
3,9:43,2,7,DAL 7,10,13,"Andy Dalton pass complete short right to Marvin Jones for 7 yards. Penalty on Marvin Jones: Illegal Touch Pass, 5 yards (no play)",4.760,3.860
3,9:34,2,12,DAL 12,10,13,Andy Dalton pass incomplete short middle intended for Jermaine Gresham (defended by Gerald Sensabaugh),3.860,3.100
3,9:29,3,12,DAL 12,10,13,"Penalty on DAL: Defensive 12 On-field, 5 yards (no play)",3.100,3.810
3,9:29,3,7,DAL 7,10,13,Andy Dalton pass incomplete short middle intended for A.J. Green,3.810,2.970
3,9:26,4,7,DAL 7,10,16,Josh Brown 25 yard field goal good,2.970,3.000
3,9:22,,,CIN 35,10,16,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
3,9:22,1,10,DAL 20,10,16,Tony Romo pass incomplete short left intended for Miles Austin,0.280,-0.270
3,9:17,2,10,DAL 20,10,16,DeMarco Murray up the middle for -3 yards (tackle by Geno Atkins),-0.270,-1.510
3,8:33,3,13,DAL 17,10,16,Tony Romo pass complete short left to Dez Bryant for 8 yards (tackle by Pacman Jones),-1.510,-1.700
3,8:03,4,5,DAL 25,10,16,"Brian Moorman punts 27 yards, out of bounds",-1.700,-2.130
3,7:54,1,10,CIN 48,10,16,Andy Dalton pass incomplete short middle intended for Chris Pressley,2.130,1.580
3,7:50,2,10,CIN 48,10,16,Andy Dalton pass incomplete deep right intended for A.J. Green,1.580,0.890
3,7:43,3,10,CIN 48,10,16,"Andy Dalton pass incomplete short right intended for Marvin Jones. Penalty on Ernie Sims: Personal Foul, 15 yards (no play)",0.890,3.120
3,7:36,1,10,DAL 37,10,16,BenJarvus Green-Ellis up the middle for 3 yards (tackle by Dan Connor and DeMarcus Ware),3.120,2.980
3,7:01,2,7,DAL 34,10,16,Andy Dalton pass incomplete short middle intended for Jermaine Gresham,2.980,2.280
3,6:57,3,7,DAL 34,10,16,Andy Dalton pass incomplete deep left intended for A.J. Green,2.280,0.000
3,6:50,,,,10,16,Timeout #1 by Cincinnati Bengals,0.000,1.060
3,6:50,4,7,DAL 34,10,19,Josh Brown 52 yard field goal good,1.060,3.000
3,6:45,,,CIN 35,10,19,"Josh Brown kicks off 71 yards, touchback",0.000,0.280
3,6:45,1,10,DAL 20,10,19,Tony Romo pass complete short right to Jason Witten for 23 yards (tackle by Vontaze Burfict),0.280,1.800
3,6:08,1,10,DAL 43,10,19,Dez Bryant for -11 yards (tackle by Terence Newman),1.800,-0.230
3,5:35,2,21,DAL 32,10,19,Tony Romo pass incomplete deep right intended for Dwayne Harris,-0.230,-0.890
3,5:29,3,21,DAL 32,10,19,"Tony Romo pass incomplete deep right intended for Dez Bryant (defended by Reggie Nelson). Penalty on Reggie Nelson: Personal Foul, 15 yards (no play)",-0.890,0.000
3,5:25,,,,10,19,Timeout #2 by Cincinnati Bengals,0.000,2.060
3,5:25,1,10,DAL 47,10,19,Tony Romo pass incomplete short right intended for DeMarco Murray,2.060,1.520
3,5:19,2,10,DAL 47,10,19,Tony Romo pass incomplete short middle intended for Lawrence Vickers (defended by Rey Maualuga),1.520,0.830
3,5:11,3,10,DAL 47,10,19,Tony Romo sacked by Reggie Nelson for -8 yards,0.830,-0.780
3,4:46,4,18,DAL 39,10,19,"Brian Moorman punts 27 yards, out of bounds",-0.780,-1.200
3,4:38,1,10,CIN 34,10,19,Andy Dalton pass incomplete short middle intended for BenJarvus Green-Ellis (defended by Marcus R. Spears),1.200,0.660
3,4:34,2,10,CIN 34,10,19,Andy Dalton pass complete short left to Andrew Hawkins for 11 yards (tackle by Sterling Moore),0.660,1.930
3,3:57,1,10,CIN 45,10,19,Andy Dalton pass complete short middle to BenJarvus Green-Ellis for 5 yards (tackle by Tyrone Crawford and Anthony Spencer),1.930,2.060
3,3:31,2,5,,10,19,BenJarvus Green-Ellis left guard for 1 yard (tackle by Mike Jenkins and Anthony Spencer),2.060,1.490
3,2:52,3,4,DAL 49,10,19,Andy Dalton pass incomplete short middle intended for Andrew Hawkins,1.490,0.000
3,2:47,4,4,DAL 49,10,19,Kevin Huber punts 47 yards,0.000,0.380
3,2:37,1,10,DAL 2,10,19,DeMarco Murray right guard for 5 yards (tackle by Chris Crocker and Vontaze Burfict),-0.380,-0.420
3,1:58,2,5,DAL 7,10,19,Tony Romo pass complete short right to DeMarco Murray for 6 yards (tackle by Rey Maualuga),-0.420,-0.320
3,1:30,1,10,DAL 13,10,19,DeMarco Murray left tackle for 1 yard (tackle by Terence Newman and Vontaze Burfict),-0.320,-0.680
3,0:46,2,9,DAL 14,10,19,Tony Romo pass complete short right to Lance Dunbar for 6 yards (tackle by Reggie Nelson and Wallace Gilberry),-0.680,-0.590
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,DAL 20,10,19,Tony Romo pass complete short right to Miles Austin for 15 yards (tackle by Terence Newman),-0.590,0.000
4,14:29,,,,10,19,Timeout #3 by Cincinnati Bengals,0.000,1.270
4,14:29,1,10,DAL 35,10,19,Tony Romo sacked by Geno Atkins for -7 yards. Penalty on Nate Livings: Offensive Holding (Declined),1.270,-0.220
4,13:58,2,17,DAL 28,10,19,DeMarco Murray right tackle for 7 yards (tackle by Chris Crocker),-0.220,0.040
4,13:14,3,10,DAL 35,10,19,Tony Romo pass complete short left to Dwayne Harris for 7 yards (tackle by Pacman Jones),0.040,-0.590
4,12:40,4,3,DAL 42,10,19,"Brian Moorman punts 49 yards, returned by Pacman Jones for -3 yards (tackle by Alex Albright)",-0.590,0.380
4,12:28,1,10,CIN 6,10,19,"BenJarvus Green-Ellis right guard for 38 yards (tackle by Gerald Sensabaugh and Ernie Sims). Penalty on A.J. Green: Illegal Block Above the Waist, 10 yards",-0.380,1.200
4,11:59,1,10,CIN 34,10,19,BenJarvus Green-Ellis right guard for 3 yards (tackle by Brandon Carr and Anthony Spencer),1.200,1.060
4,11:20,2,7,CIN 37,10,19,"Andy Dalton pass incomplete deep left intended for Marvin Jones. Penalty on Kyle Cook: Offensive Holding, 10 yards (no play)",1.060,-0.290
4,11:11,2,17,CIN 27,10,19,Brian Leonard left guard for 5 yards (tackle by Jason Hatcher),-0.290,0.000
4,10:28,,,,10,19,Timeout #1 by Dallas Cowboys,0.000,-0.300
4,10:28,3,12,CIN 32,10,19,Andy Dalton sacked by DeMarcus Ware for -3 yards,-0.300,-1.440
4,9:57,4,15,CIN 29,10,19,"Kevin Huber punts 39 yards, returned by Dwayne Harris for no gain",-1.440,-1.070
4,9:47,1,10,DAL 32,10,19,Tony Romo pass complete short left to Dez Bryant for 6 yards (tackle by Pacman Jones),1.070,1.340
4,9:22,2,4,DAL 38,10,19,DeMarco Murray left guard for 2 yards (tackle by Domata Peko),1.340,0.890
4,8:49,3,2,DAL 40,10,19,Tony Romo pass complete short left to Kevin Ogletree for 5 yards (tackle by Pacman Jones),0.890,1.930
4,8:21,1,10,DAL 45,10,19,"Tony Romo pass complete short right to DeMarco Murray for 3 yards (tackle by Leon Hall). Penalty on Doug Free: Offensive Holding, 10 yards (no play)",1.930,1.270
4,8:02,1,20,DAL 35,10,19,Tony Romo pass complete deep middle to Kevin Ogletree for 23 yards (tackle by Chris Crocker),1.270,2.790
4,7:31,1,10,CIN 42,10,19,Tony Romo pass incomplete deep right intended for Dwayne Harris,2.790,2.240
4,7:24,2,10,CIN 42,10,19,Tony Romo pass incomplete short right intended for Miles Austin (defended by Nate Clements),2.240,1.550
4,7:15,3,10,CIN 42,10,19,Tony Romo pass complete short middle to Miles Austin for 15 yards (tackle by Emmanuel Lamur),1.550,3.780
4,6:44,1,10,CIN 27,16,19,"Tony Romo pass complete deep middle to Dez Bryant for 27 yards, touchdown",3.780,7.000
4,6:44,,,CIN 2,17,19,Dan Bailey kicks extra point good,0.000,0.000
4,6:35,,,DAL 35,17,19,"Dan Bailey kicks off 72 yards, touchback",0.000,0.280
4,6:35,1,10,CIN 20,17,19,Andy Dalton pass complete short right to Jermaine Gresham for 5 yards (tackle by Danny McCray and Ernie Sims),0.280,0.410
4,6:03,2,5,CIN 25,17,19,Andy Dalton pass complete short middle to BenJarvus Green-Ellis for 5 yards (tackle by DeMarcus Ware),0.410,0.940
4,5:32,1,10,CIN 30,17,19,Andy Dalton pass incomplete deep left intended for Marvin Jones,0.940,0.390
4,5:24,2,10,CIN 30,17,19,Andy Dalton pass complete short middle to Jermaine Gresham for 6 yards (tackle by Alex Albright),0.390,0.500
4,4:40,3,4,CIN 36,17,19,Andy Dalton sacked by Anthony Spencer for -10 yards,0.500,-1.630
4,3:57,4,14,CIN 26,17,19,"Kevin Huber punts 50 yards, returned by Dwayne Harris for 4 yards (tackle by Jason Allen)",-1.630,-0.810
4,3:44,1,10,DAL 28,17,19,DeMarco Murray right guard for 5 yards (tackle by Carlos Dunlap),0.810,0.940
4,3:17,2,5,DAL 33,17,19,Tony Romo pass incomplete short right intended for Dwayne Harris (defended by Terence Newman),0.940,0.230
4,3:12,3,5,DAL 33,17,19,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Vontaze Burfict and Rey Maualuga). Penalty on Leon Hall: Illegal Use of Hands (Declined),0.230,1.730
4,3:06,1,10,DAL 42,17,19,Tony Romo pass complete short middle to Dez Bryant for 9 yards (tackle by Pacman Jones),1.730,2.400
4,2:43,2,1,CIN 49,17,19,DeMarco Murray right tackle for 2 yards (tackle by Michael Johnson),2.400,2.460
4,2:16,1,10,CIN 47,17,19,Tony Romo pass complete short left to DeMarco Murray for 7 yards (tackle by Pacman Jones),2.460,2.860
4,2:11,2,3,CIN 40,17,19,DeMarco Murray right tackle for 2 yards (tackle by Rey Maualuga and Vontaze Burfict),2.860,2.410
4,1:59,3,1,CIN 38,17,19,DeMarco Murray left end for 3 yards (tackle by Vontaze Burfict),2.410,3.250
4,1:28,1,10,CIN 35,17,19,Tony Romo pass incomplete short middle intended for DeMarco Murray,3.250,2.700
4,1:24,2,10,CIN 35,17,19,Tony Romo pass complete short right to DeMarco Murray for 5 yards (tackle by Pacman Jones and Rey Maualuga),2.700,2.680
4,1:17,3,5,CIN 30,17,19,DeMarco Murray right end for 6 yards (tackle by Carlos Dunlap),2.680,3.970
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
4,0:24,1,10,CIN 24,17,19,DeMarco Murray up the middle for 2 yards (tackle by Reggie Nelson and Manny Lawson),3.970,0.000
4,0:04,,,,17,19,Timeout #2 by Dallas Cowboys,0.000,3.700
4,0:04,2,8,CIN 22,20,19,Dan Bailey 40 yard field goal good,3.700,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
