Quarter,Time,Down,ToGo,Location,ATL,SFO,Detail,EPB,EPA
3,13:58,3,5,SFO 22,10,3,Colin Kaepernick pass complete short right to Michael Crabtree for 47 yards (tackle by Robert McClain),-0.620,3.510
3,13:28,1,10,ATL 31,10,3,Frank Gore left guard for 2 yards (tackle by Paul Worrilow and Joplo Bartu),3.510,3.240
3,12:54,2,8,ATL 29,10,3,Colin Kaepernick pass complete deep right to Michael Crabtree for 19 yards (tackle by Paul Worrilow and Stephen Nicholas),3.240,4.910
3,12:08,1,10,ATL 10,10,9,"Colin Kaepernick pass complete short right to Anquan Boldin for 10 yards, touchdown",4.910,7.000
3,12:08,,,ATL 2,10,10,Phil Dawson kicks extra point good,0.000,0.000
3,12:08,,,SFO 35,10,10,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
3,12:03,1,10,ATL 20,10,10,Matt Ryan pass complete short left to Roddy White for 19 yards (tackle by Tramaine Brock and Eric Reid),0.280,1.530
3,11:30,1,10,ATL 39,10,10,Steven Jackson up the middle for 3 yards (tackle by Glenn Dorsey and NaVorro Bowman),1.530,1.390
3,10:52,2,7,ATL 42,10,10,Matt Ryan pass complete short left to Roddy White for 6 yards (tackle by Patrick Willis),1.390,1.490
3,10:19,3,1,ATL 48,10,10,Steven Jackson left tackle for -1 yards (tackle by Patrick Willis),1.490,-0.260
3,9:37,4,2,ATL 47,10,10,"Matthew Bosher punts 53 yards, touchback",-0.260,-0.280
3,9:29,1,10,SFO 20,10,10,Colin Kaepernick pass complete short right to Michael Crabtree for 11 yards (tackle by Thomas DeCoud),0.280,1.000
3,8:57,1,10,SFO 31,10,10,Frank Gore right tackle for 11 yards (tackle by Stephen Nicholas and William Moore),1.000,1.730
3,8:14,1,10,SFO 42,10,10,Colin Kaepernick pass complete short right to Anquan Boldin for 9 yards (tackle by Joplo Bartu),1.730,2.400
3,7:37,2,1,ATL 49,10,10,Adam Snyder for -1 yards (tackle by Stephen Nicholas),2.400,1.550
3,6:51,3,2,,10,10,Colin Kaepernick pass complete short right to Michael Crabtree for 22 yards (tackle by Robert Alford),1.550,3.710
3,6:03,1,10,ATL 28,10,10,Colin Kaepernick pass incomplete deep right intended for Vernon Davis,3.710,3.170
3,5:58,2,10,ATL 28,10,10,Colin Kaepernick sacked by Jonathan Massaquoi for -9 yards,3.170,1.290
3,5:21,3,19,ATL 37,10,10,"Colin Kaepernick pass incomplete deep middle intended for Anquan Boldin. Penalty on Paul Worrilow: Defensive Pass Interference, 17 yards (no play)",1.290,4.240
3,5:16,1,10,ATL 20,10,10,Kendall Hunter right guard for 4 yards (tackle by Joplo Bartu and Cliff Matthews),4.240,4.280
3,4:40,2,6,ATL 16,10,10,Frank Gore right guard for 2 yards (tackle by Joplo Bartu),4.280,3.890
3,4:03,3,4,ATL 14,10,10,Kendall Hunter right guard for 2 yards (tackle by Joplo Bartu),3.890,2.760
3,3:20,4,2,ATL 12,10,13,Phil Dawson 30 yard field goal good,2.760,3.000
3,3:20,,,SFO 35,10,13,"Phil Dawson kicks off 72 yards, touchback",0.000,-0.280
3,3:16,1,10,ATL 20,10,13,Matt Ryan pass incomplete short right intended for Harry Douglas,0.280,-0.270
3,3:10,2,10,ATL 20,10,13,Steven Jackson left guard for 2 yards (tackle by Glenn Dorsey),-0.270,-0.690
3,2:32,3,8,ATL 22,10,13,Matt Ryan pass incomplete deep right intended for Harry Douglas,-0.690,-1.900
3,2:23,4,8,ATL 22,10,13,"Matthew Bosher punts 49 yards, returned by LaMichael James for 10 yards (tackle by Stephen Nicholas)",-1.900,-1.530
3,2:12,1,10,SFO 39,10,13,Frank Gore right guard for 3 yards (tackle by Joplo Bartu),1.530,1.390
3,1:36,2,7,SFO 42,10,13,Colin Kaepernick left tackle for 22 yards (tackle by Robert Alford),1.390,3.180
3,0:57,1,10,ATL 36,10,13,Frank Gore right tackle for 5 yards (tackle by Paul Worrilow),3.180,3.310
3,0:15,2,5,ATL 31,10,13,Colin Kaepernick pass complete short left to Anquan Boldin for 10 yards (tackle by Thomas DeCoud),3.310,4.170
Quarter,Time,Down,ToGo,Location,ATL,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 21,10,13,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,4.170,3.630
4,14:55,2,10,ATL 21,10,13,Colin Kaepernick right end for 9 yards (tackle by Osi Umenyiora),3.630,4.490
4,14:10,3,1,ATL 12,10,13,Daniel Kilgore for 3 yards (tackle by Paul Worrilow),4.490,5.140
4,13:25,1,9,ATL 9,10,13,Frank Gore up the middle for 5 yards (tackle by Stephen Nicholas),5.140,5.340
4,12:37,2,4,ATL 4,10,19,"Colin Kaepernick right guard for 4 yards, touchdown",5.340,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,12:37,,,ATL 2,10,20,Phil Dawson kicks extra point good,0.000,0.000
4,12:37,,,SFO 35,10,20,"Phil Dawson kicks off 64 yards, returned by Jacquizz Rodgers for 30 yards (tackle by Anthony Dixon)",0.000,-1.000
4,12:26,1,10,ATL 31,10,20,Steven Jackson up the middle for 4 yards (tackle by Justin Smith),1.000,1.000
4,11:45,2,6,ATL 35,10,20,Matt Ryan pass complete short left to Jacquizz Rodgers for 2 yards (tackle by Aldon Smith),1.000,0.560
4,11:10,3,4,ATL 37,10,20,Matt Ryan pass complete short left to Roddy White for 5 yards (tackle by Tramaine Brock),0.560,1.730
4,10:40,1,10,ATL 42,10,20,Steven Jackson left tackle for 2 yards (tackle by NaVorro Bowman),1.730,1.460
4,10:03,2,8,ATL 44,10,20,Matt Ryan pass complete short right to Steven Jackson for -1 yards (tackle by Patrick Willis),1.460,0.630
4,9:20,3,9,ATL 43,10,20,Matt Ryan pass complete deep middle to Roddy White for 18 yards (tackle by Tramaine Brock),0.630,2.980
4,8:42,1,10,SFO 39,16,20,"Matt Ryan pass complete deep right to Roddy White for 39 yards, touchdown",2.980,7.000
4,8:42,1,10,SFO 39,16,20,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",2.980,0.000
4,8:42,,,SFO 2,17,20,Matt Bryant kicks extra point good,0.000,0.000
4,8:42,,,ATL 35,17,20,"Matthew Bosher kicks off 71 yards, returned by LaMichael James for 30 yards (tackle by Akeem Dent)",0.000,-0.540
4,8:28,1,10,SFO 24,17,20,Frank Gore up the middle for 17 yards (tackle by Thomas DeCoud),0.540,1.660
4,7:46,1,10,SFO 41,17,20,Frank Gore right tackle for 9 yards (tackle by Stansly Maponga),1.660,2.340
4,7:07,2,1,,17,20,Daniel Kilgore for 3 yards (tackle by Paul Worrilow),2.340,2.460
4,6:27,1,10,ATL 47,17,20,Kendall Hunter right tackle for 45 yards (tackle by Thomas DeCoud),2.460,6.740
4,5:49,1,2,ATL 2,17,20,Daniel Kilgore for 1 yard (tackle by Joplo Bartu),6.740,5.910
4,5:07,2,1,ATL 1,17,26,"Frank Gore up the middle for 1 yard, touchdown",5.910,7.000
4,5:07,,,ATL 2,17,27,Phil Dawson kicks extra point good,0.000,0.000
4,5:07,,,SFO 35,17,27,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
4,5:04,1,10,ATL 20,17,27,Steven Jackson up the middle for 9 yards (tackle by Patrick Willis),0.280,0.950
4,4:42,2,1,ATL 29,17,27,Matt Ryan pass incomplete short right intended for Roddy White (defended by Tarell Brown),0.950,0.230
4,4:36,3,1,ATL 29,17,27,Steven Jackson up the middle for -1 yards (tackle by Patrick Willis),0.230,0.230
4,4:02,3,1,ATL 29,17,27,Timeout #1 by San Francisco 49ers,0.230,-1.500
4,4:02,4,2,ATL 28,17,27,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Donte Whitner),-1.500,1.200
4,3:39,1,10,ATL 34,17,27,Matt Ryan pass complete deep right to Roddy White for 22 yards (tackle by Donte Whitner),1.200,2.650
4,3:34,1,10,SFO 44,17,27,"Matt Ryan pass complete short middle to Jason Snelling for 3 yards (tackle by NaVorro Bowman). Penalty on Tramaine Brock: Illegal Use of Hands, 5 yards (no play)",2.650,2.980
4,3:26,1,10,SFO 39,17,27,Matt Ryan pass complete short right to Harry Douglas for 8 yards,2.980,3.520
4,3:20,2,2,SFO 31,17,27,Matt Ryan pass complete short middle to Tony Gonzalez for 15 yards (tackle by Donte Whitner),3.520,4.510
4,2:58,1,10,SFO 16,17,27,Matt Ryan pass incomplete short left intended for Harry Douglas,4.510,3.900
4,2:56,2,10,SFO 16,17,27,Matt Ryan pass complete short middle to Harry Douglas for 9 yards (tackle by Tramaine Brock),3.900,4.850
4,2:35,3,1,SFO 7,17,27,Matt Ryan pass complete short left to Roddy White for 5 yards (tackle by NaVorro Bowman),4.850,6.740
4,2:14,1,2,SFO 2,23,27,"Matt Ryan pass complete short right to Tony Gonzalez for 2 yards, touchdown. Penalty on Donte Whitner: Defensive Holding (Declined), Penalty on Ahmad Brooks: Roughing the Passer, 15 yards",6.740,7.000
4,2:14,,,SFO 2,24,27,Matt Bryant kicks extra point good,0.000,0.000
4,2:14,,,SFO 2,24,27,Matthew Bosher kicks onside 20 yards,0.000,3.580
4,2:09,1,10,SFO 30,24,27,Matt Ryan pass complete short left to Harry Douglas for 11 yards (tackle by Tramaine Brock),3.580,4.310
4,2:00,1,10,SFO 19,24,27,Matt Ryan pass complete short right to Tony Gonzalez for 9 yards (tackle by NaVorro Bowman),4.310,5.360
4,1:31,2,1,SFO 10,24,33,"Matt Ryan pass incomplete short left intended for Harry Douglas is intercepted by NaVorro Bowman at SFO-11 and returned for 89 yards, touchdown",5.360,-7.000
4,1:10,,,ATL 2,24,34,Phil Dawson kicks extra point good,0.000,0.000
4,1:10,,,SFO 35,24,34,"Phil Dawson kicks off 67 yards, returned by Jason Snelling for 23 yards (tackle by Michael Wilhoite)",0.000,-0.340
4,1:04,1,10,ATL 21,24,34,Matt Ryan pass incomplete short left intended for Tony Gonzalez (defended by Tony Jerod-Eddie),0.340,-0.200
4,1:00,2,10,ATL 21,24,34,Matt Ryan pass complete short middle to Jason Snelling for 6 yards (tackle by Patrick Willis and C.J. Spillman),-0.200,-0.100
4,0:34,3,4,ATL 27,24,34,Matt Ryan pass complete short left to Drew Davis for 10 yards (tackle by NaVorro Bowman and Patrick Willis),-0.100,-0.100
4,0:29,3,4,ATL 27,24,34,Timeout #1 by Atlanta Falcons,-0.100,1.400
4,0:29,1,10,ATL 37,24,34,Matt Ryan pass complete short left to Tony Gonzalez for 11 yards (tackle by Patrick Willis),1.400,1.400
4,0:21,1,10,ATL 37,24,34,Timeout #2 by Atlanta Falcons,1.400,2.130
4,0:21,1,10,ATL 48,24,34,Matt Ryan pass complete short left to Jason Snelling for 3 yards,2.130,1.990
4,0:16,2,7,SFO 49,24,34,"Matt Ryan pass incomplete deep right intended for Drew Davis. Penalty on Corey Lemonier: Defensive Offside, 5 yards (no play)",1.990,2.660
4,0:11,2,2,SFO 44,24,34,Matt Ryan pass complete short left to Tony Gonzalez for 9 yards (tackle by C.J. Spillman),2.660,2.660
4,0:05,2,2,SFO 44,24,34,Timeout #2 by San Francisco 49ers,2.660,3.250
4,0:04,1,10,SFO 35,24,34,Matt Ryan pass incomplete deep left intended for Levine Toilolo is intercepted by Tramaine Brock at SFO-0,3.250,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
