Quarter,Time,Down,ToGo,Location,SDG,SFO,Detail,EPB,EPA
2,6:15,1,10,SFO 26,28,10,Alex Smith pass complete short middle to Antonio Bryant for 24 yards (tackle by Marlon McCree),0.670,2.260
2,5:48,1,10,SFO 50,28,10,Alex Smith pass incomplete short right intended for Frank Gore,2.260,1.710
2,5:43,2,10,SFO 50,28,10,Alex Smith pass complete short middle to Arnaz Battle for 8 yards (tackle by Shawne Merriman and Shaun Phillips),1.710,2.080
2,4:59,3,2,SDG 42,28,10,Bryan Gilmore left end for 22 yards (tackle by Donnie Edwards),2.080,4.240
2,4:28,1,10,SDG 20,28,10,Alex Smith pass complete short right to Eric Johnson for 18 yards (tackle by Marlon McCree),4.240,6.740
2,3:41,1,2,SDG 2,28,16,"Alex Smith pass complete short right to Moran Norris for 2 yards, touchdown",6.740,7.000
2,,,,SDG 2,28,17,Joe Nedney kicks extra point good,0.000,0.000
2,,,,SFO 30,28,17,"Joe Nedney kicks off 66 yards, returned by Lorenzo Neal for 7 yards (tackle by Maurice Hicks). Penalty on Vincent Jackson: Illegal Block Above the , 5 yards",0.000,-0.380
2,3:28,1,10,SDG 6,28,17,Philip Rivers pass incomplete deep right intended for Eric Parker (defended by Shawntae Spencer),-0.380,-0.780
2,3:21,2,10,SDG 6,28,19,"Philip Rivers pass incomplete, safety. Penalty on Philip Rivers: Intentional Grounding, 6 yards",-0.780,-2.000
2,,,,SDG 20,28,19,"Mike Scifres kicks off 55 yards, returned by Brandon Williams for 9 yards (tackle by Drayton Florence)",0.000,1.200
2,3:06,1,10,SFO 34,28,19,Alex Smith pass incomplete short right intended for Eric Johnson is intercepted by Luis Castillo at SFO-36 and returned for 1 yard,1.200,-3.250
2,2:59,1,10,SFO 35,28,19,Philip Rivers pass complete short left to Lorenzo Neal for -1 yards (tackle by Marques Douglas and Jeff Ulbrich),3.250,2.570
2,2:14,2,11,SFO 36,28,19,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by B.J. Tucker),2.570,1.880
2,2:09,3,11,SFO 36,28,19,Philip Rivers pass complete short right to Keenan McCardell for 12 yards (tackle by B.J. Tucker),1.880,3.970
2,2:00,1,10,SFO 24,28,19,Philip Rivers pass incomplete short right intended for Malcom Floyd,3.970,3.430
2,1:55,2,10,SFO 24,28,19,Philip Rivers pass complete short left to Brandon Manumaleuna for 3 yards (tackle by Shawntae Spencer),3.430,3.140
2,1:43,,,,28,19,Timeout #1 by San Francisco 49ers,0.000,3.140
2,1:43,3,7,SFO 21,28,19,Philip Rivers pass complete short middle to Eric Parker for 11 yards (tackle by B.J. Tucker),3.140,4.910
2,1:04,1,10,SFO 10,28,19,Philip Rivers pass complete short middle to LaDainian Tomlinson for 8 yards (tackle by Jeff Ulbrich and Derek Smith),4.910,5.720
2,0:50,,,,28,19,Timeout #1 by San Diego Chargers,0.000,5.720
2,0:50,2,2,SFO 2,28,19,LaDainian Tomlinson middle for 1 yard (tackle by Bryant Young and Ronald Fields),5.720,5.170
2,0:37,,,,28,19,Timeout #2 by San Diego Chargers,0.000,5.170
2,0:37,3,1,SFO 1,34,19,"LaDainian Tomlinson left guard for 1 yard, touchdown",5.170,7.000
2,0:33,,,,34,19,Timeout #3 by San Diego Chargers,0.000,0.000
2,,,,SFO 2,35,19,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,35,19,"Mike Scifres kicks off 70 yards, returned by Maurice Hicks for 16 yards (tackle by Tim Dobbins)",0.000,-0.140
2,0:26,1,10,SFO 16,35,19,Frank Gore left end for 4 yards (tackle by Drayton Florence),-0.140,0.010
Quarter,Time,Down,ToGo,Location,SDG,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,35,19,"Nate Kaeding kicks off 70 yards, returned by Maurice Hicks for 21 yards (tackle by Clinton Hart)",0.000,0.340
3,14:55,1,10,SFO 21,35,19,Alex Smith pass incomplete short right intended for Billy Bajema,0.340,-0.200
3,14:50,2,10,SFO 21,35,19,Alex Smith pass incomplete deep middle intended for Bryan Gilmore,-0.200,-0.890
3,14:45,3,10,SFO 21,35,19,Alex Smith sacked by Shawne Merriman for -6 yards,-0.890,-2.440
3,14:20,4,16,SFO 15,35,19,"Andy Lee punts 45 yards, returned by Eric Parker for 9 yards (tackle by Chad Williams)",-2.440,-2.190
3,14:09,1,10,SDG 49,35,19,Philip Rivers pass complete short right to Keenan McCardell for 15 yards (tackle by Shawntae Spencer),2.190,3.180
3,13:42,1,10,SFO 36,35,19,LaDainian Tomlinson left end for 1 yard (tackle by Jeff Ulbrich and Sammy Davis),3.180,2.770
3,13:10,2,9,SFO 35,35,19,Philip Rivers pass complete short right to LaDainian Tomlinson for 8 yards (tackle by Jeff Ulbrich),2.770,3.140
3,12:27,3,1,SFO 27,35,19,Philip Rivers middle for 1 yard (tackle by Bryant Young),3.140,3.840
3,11:45,1,10,SFO 26,35,19,Philip Rivers pass complete short right to LaDainian Tomlinson for 12 yards (tackle by Jeff Ulbrich),3.840,4.650
3,11:16,1,10,SFO 14,35,19,LaDainian Tomlinson right end for 4 yards (tackle by Mike Adams),4.650,4.710
3,10:41,2,6,SFO 10,35,19,Philip Rivers pass complete short middle to Antonio Gates for 4 yards (tackle by Derek Smith),4.710,4.730
3,9:59,3,2,SFO 6,35,19,Michael Turner right guard for no gain (tackle by Marques Douglas),4.730,3.010
3,9:11,4,2,SFO 6,38,19,Nate Kaeding 24 yard field goal good,3.010,3.000
3,,,,SDG 30,38,19,"Nate Kaeding kicks off 69 yards, returned by Maurice Hicks for 25 yards (tackle by Kassim Osgood)",0.000,0.670
3,9:02,1,10,SFO 26,38,19,Frank Gore right guard for -1 yards (tackle by Shawne Merriman),0.670,-0.010
3,8:29,2,11,SFO 25,38,19,Frank Gore middle for 4 yards (tackle by Shawne Merriman),-0.010,-0.160
3,7:47,3,7,SFO 29,38,19,Alex Smith pass complete short left to Arnaz Battle for 9 yards (tackle by Donnie Edwards),-0.160,1.470
3,7:02,1,10,SFO 38,38,19,Alex Smith pass complete short right to Arnaz Battle for 4 yards (tackle by Drayton Florence),1.470,1.460
3,6:26,2,6,SFO 42,38,19,Maurice Hicks right end for 4 yards (tackle by Marlon McCree and Stephen Cooper),1.460,1.290
3,5:47,3,2,SFO 46,38,19,Alex Smith pass incomplete short right intended for Antonio Bryant,1.290,-0.320
3,5:38,4,2,SFO 46,38,19,"Andy Lee punts 54 yards, touchback",-0.320,-0.280
3,5:28,1,10,SDG 20,38,19,"LaDainian Tomlinson right guard for 2 yards (tackle by Isaac Sopoaga). LaDainian Tomlinson fumbles (forced by Isaac Sopoaga), recovered by Marcus McNeill at SDG-25",0.280,0.410
3,4:45,2,5,SDG 25,38,19,Philip Rivers pass incomplete short middle intended for Keenan McCardell,0.410,-0.300
3,4:40,3,5,SDG 25,38,19,Philip Rivers pass complete short left to Eric Parker for 4 yards (tackle by Sammy Davis),-0.300,-1.440
3,4:02,4,1,SDG 29,38,19,"Mike Scifres punts 53 yards, returned by Brandon Williams for 25 yards (tackle by Clinton Hart). Penalty on Parys Haralson: Illegal Block Above the , 10 yards",-1.440,0.280
3,3:48,1,10,SFO 14,38,19,Frank Gore right end for 10 yards (tackle by Donnie Edwards),-0.280,0.540
3,3:09,1,10,SFO 24,38,19,"Alex Smith pass incomplete short right intended for Frank Gore. Penalty on Justin Smiley: Offensive Holding, 10 yards (no play)",0.540,-0.500
3,2:58,1,20,SFO 14,38,19,Alex Smith pass complete short left to Frank Gore for 10 yards (tackle by Quentin Jammer),-0.500,0.000
3,2:21,2,10,SFO 24,38,19,Alex Smith pass incomplete deep left intended for Antonio Bryant (defended by Drayton Florence),0.000,-0.690
3,2:13,3,10,SFO 24,38,19,Alex Smith pass complete short right to Eric Johnson for 7 yards (tackle by Drayton Florence),-0.690,-1.310
3,1:35,4,3,SFO 31,38,19,"Andy Lee punts 41 yards, returned by Eric Parker for 8 yards (tackle by Michael Robinson)",-1.310,-1.330
3,1:25,1,10,SDG 36,38,19,LaDainian Tomlinson left tackle for 2 yards (tackle by Parys Haralson and Jeff Ulbrich),1.330,1.060
3,0:47,2,8,SDG 38,38,19,LaDainian Tomlinson left tackle for -1 yards (tackle by Derek Smith),1.060,0.230
Quarter,Time,Down,ToGo,Location,SDG,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,SDG 37,38,19,"Philip Rivers pass complete short left to LaDainian Tomlinson for 16 yards (tackle by Jeff Ulbrich). Penalty on Anthony Adams: Roughing the Passer, 15 yards",0.230,3.450
4,14:29,1,10,SFO 32,38,19,Philip Rivers pass incomplete deep right intended for Antonio Gates,3.450,2.900
4,14:24,2,10,SFO 32,38,19,Philip Rivers pass complete short middle to LaDainian Tomlinson for 6 yards (tackle by Ronald Fields),2.900,3.010
4,14:24,3,4,SFO 26,38,19,Philip Rivers pass incomplete deep right intended for Vincent Jackson (defended by Mark Roman),3.010,1.810
4,13:29,4,4,SFO 26,41,19,Nate Kaeding 44 yard field goal good,1.810,3.000
4,,,,SDG 30,41,19,"Nate Kaeding kicks off 67 yards, returned by Maurice Hicks for 27 yards (tackle by Clinton Hart)",0.000,0.940
4,13:23,1,10,SFO 30,41,19,Alex Smith pass complete short left to Frank Gore for 4 yards (tackle by Drayton Florence),0.940,0.930
4,12:54,2,6,SFO 34,41,19,Frank Gore right guard for 4 yards (tackle by Jacques Cesaire and Shawne Merriman),0.930,0.760
4,12:15,3,2,SFO 38,41,19,"Bryan Gilmore left end for 9 yards (tackle by Terrence Kiel). Bryan Gilmore fumbles (forced by Terrence Kiel), recovered by Terrence Kiel at SFO-47 and returned for 16 yards (tackle by Frank Gore). Penalty on SDG: Unsportsmanlike Conduct, 15 yards",0.760,-1.860
,,,,,,,"SFO challenged the ruling, and the play was upheld.",,
4,11:56,1,10,SDG 44,41,19,"Penalty on Marcus McNeill: False Start, 5 yards (no play)",1.860,1.530
4,11:56,1,15,SDG 39,41,19,LaDainian Tomlinson middle for 7 yards (tackle by Mark Roman and Marques Douglas),1.530,1.590
4,11:24,2,8,SDG 46,41,19,LaDainian Tomlinson middle for 3 yards (tackle by Marques Douglas),1.590,1.290
4,10:40,3,5,SDG 49,41,19,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by Chad Williams),1.290,2.720
4,9:55,1,10,SFO 43,41,19,LaDainian Tomlinson left guard for 9 yards (tackle by Sammy Davis and Mike Adams),2.720,3.390
4,9:15,2,1,SFO 34,41,19,Lorenzo Neal left guard for no gain (tackle by Ronald Fields),3.390,2.680
4,8:40,3,1,SFO 34,41,19,Philip Rivers middle for 1 yard (tackle by Bryant Young),2.680,3.380
4,7:43,1,10,SFO 33,41,19,LaDainian Tomlinson right guard for no gain (tackle by Melvin Oliver),3.380,2.840
4,6:44,2,10,SFO 33,41,19,Philip Rivers pass incomplete deep right intended for Malcom Floyd (defended by Sammy Davis),2.840,2.150
4,6:37,3,10,SFO 33,41,19,Philip Rivers pass complete short left to Keenan McCardell for 11 yards (tackle by Mike Adams),2.150,4.110
4,5:53,1,10,SFO 22,41,19,LaDainian Tomlinson left tackle for 2 yards (tackle by Melvin Oliver),4.110,3.830
4,5:13,2,8,SFO 20,41,19,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,3.830,3.140
4,5:08,,,,41,19,Timeout #2 by San Francisco 49ers,0.000,3.140
4,5:08,3,8,SFO 20,41,19,Philip Rivers pass complete short middle to Eric Parker for 15 yards (tackle by Mike Adams),3.140,6.060
4,4:23,1,5,SFO 5,47,19,"LaDainian Tomlinson left tackle for 5 yards, touchdown",6.060,7.000
4,,,,SFO 2,48,19,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,48,19,"Nate Kaeding kicks off 63 yards, returned by Maurice Hicks for 26 yards (tackle by Matt Wilhelm)",0.000,1.140
4,4:12,1,10,SFO 33,48,19,Alex Smith sacked by Shaun Phillips for -5 yards,1.140,-0.080
4,3:36,2,15,SFO 28,48,19,"Alex Smith pass complete short right to Delanie Walker for 16 yards (tackle by Quentin Jammer). Penalty on Kwame Harris: Offensive Holding, 10 yards (no play)",-0.080,-1.540
4,3:25,2,25,SFO 18,48,19,Alex Smith pass complete short right to Antonio Bryant for 14 yards (tackle by Quentin Jammer and Clinton Hart),-1.540,-0.230
4,2:49,3,11,SFO 32,48,19,Alex Smith pass complete short middle to Arnaz Battle for 14 yards (tackle by Clinton Hart),-0.230,1.990
4,2:03,1,10,SFO 46,48,19,Alex Smith pass complete short left to Eric Johnson for 4 yards (tackle by Drayton Florence),1.990,1.990
4,1:58,2,6,SFO 50,48,19,Frank Gore left tackle for 6 yards (tackle by Antonio Cromartie),1.990,2.650
4,1:31,1,10,SDG 44,48,19,"Penalty on Kwame Harris: False Start, 5 yards (no play)",2.650,2.320
4,1:27,1,15,SDG 49,48,19,Alex Smith pass complete short right to Maurice Hicks for 16 yards (tackle by Clinton Hart),2.320,3.380
4,1:20,1,10,SDG 33,48,19,Alex Smith sacked by Marlon McCree for -6 yards,3.380,2.030
4,0:49,,,,48,19,Timeout #3 by San Francisco 49ers,0.000,2.030
4,0:49,2,16,SDG 39,48,19,Alex Smith pass incomplete short left intended for Eric Johnson (defended by Derreck Robinson),2.030,1.350
4,0:44,3,16,SDG 39,48,19,Alex Smith pass incomplete deep left intended for Antonio Bryant,1.350,0.660
4,0:38,4,16,SDG 39,48,19,Alex Smith sacked by Luis Castillo for -6 yards,0.660,-1.930
4,0:31,1,10,SDG 45,48,19,Charlie Whitehurst kneels for -1 yards,1.930,1.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
