Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
1,1:40,1,10,LAC 13,7,0,Dion Lewis middle for 7 yards (tackle by Korey Toomer),4.710,5.340
1,1:05,2,3,LAC 6,7,0,Dion Lewis middle for -1 yards (tackle by Jahleel Addae),5.340,4.330
1,0:30,3,4,LAC 7,7,0,Tom Brady pass complete short right to Chris Hogan for 5 yards (tackle by Adrian Phillips),4.330,6.740
Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,2,LAC 2,7,6,"Tom Brady pass complete short left to Rob Gronkowski for 2 yards, touchdown",6.740,7.000
2,14:56,,,LAC 15,7,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,14:56,,,NWE 35,7,7,"Stephen Gostkowski kicks off 67 yards, returned by Michael Davis for 17 yards (tackle by Matt Slater)",0.000,0.220
2,14:52,1,10,LAC 15,7,7,"Philip Rivers pass incomplete deep left intended for Keenan Allen. Penalty on Keenan Allen: Offensive Pass Interference, 7 yards (no play)",-0.220,-0.650
2,14:45,1,17,LAC 8,7,7,Melvin Gordon middle for 9 yards (tackle by Elandon Roberts),-0.650,-0.440
2,14:04,2,8,LAC 17,7,7,Melvin Gordon right end for 6 yards (tackle by Devin McCourty),-0.440,-0.390
2,13:30,3,2,LAC 23,7,7,Branden Oliver right end for 1 yard (tackle by Elandon Roberts and Patrick Chung),-0.390,-1.770
2,12:51,4,1,LAC 24,7,7,"Drew Kaser punts 56 yards, returned by Danny Amendola for 16 yards. Penalty on Jonathan Jones: Illegal Block Above the Waist, 10 yards",-1.770,0.350
2,12:39,1,10,NWE 12,7,7,Tom Brady pass complete short middle to Rex Burkhead for 9 yards (tackle by Hayes Pullard and Korey Toomer),-0.350,0.420
2,12:12,2,1,NWE 21,7,7,"Rex Burkhead left guard for 1 yard (tackle by Korey Toomer). Penalty on Joe Thuney: Offensive Holding, 10 yards (no play)",0.420,-0.850
2,11:53,2,11,NWE 11,7,7,Tom Brady pass complete short left to Rex Burkhead for 14 yards (tackle by Trevor Williams),-0.850,0.610
2,11:30,1,10,NWE 25,7,7,Rex Burkhead right tackle for 7 yards (tackle by Melvin Ingram),0.610,1.010
2,10:46,2,3,NWE 32,7,7,Tom Brady pass complete short left to Brandin Cooks for 7 yards (tackle by Jatavis Brown),1.010,1.530
2,10:24,1,10,NWE 39,7,7,Rex Burkhead left tackle for 5 yards (tackle by Jahleel Addae),1.530,1.660
2,9:51,2,5,NWE 44,7,7,Tom Brady sacked by Joey Bosa for -9 yards,1.660,0.000
2,9:28,,,,,,Timeout #1 by Los Angeles Chargers,0.000,0.230
2,9:28,3,14,NWE 35,7,7,Tom Brady pass incomplete deep middle intended for Chris Hogan (defended by Casey Hayward),-0.230,-1.040
2,9:19,4,14,NWE 35,7,9,"Ryan Allen punts 54 yards, muffed catch by Travis Benjamin, recovered by Travis Benjamin and returned for -8 yards, safety. Penalty on Kyle Emanuel: Offensive Holding (Declined)",-1.040,2.000
2,9:08,,,LAC 20,7,9,"Drew Kaser kicks off 53 yards, returned by Danny Amendola for 16 yards (tackle by James Onwualu)",0.000,-1.800
2,9:04,1,10,NWE 43,7,9,Tom Brady pass complete short right to Rex Burkhead for 12 yards (tackle by Adrian Phillips),1.800,2.590
2,8:28,1,10,LAC 45,7,9,Tom Brady pass complete short left to Brandin Cooks for 9 yards (tackle by Jahleel Addae),2.590,3.260
2,7:56,2,1,LAC 36,7,9,Tom Brady pass incomplete deep middle intended for Brandin Cooks (defended by Tre Boston),3.260,2.540
2,7:47,3,1,LAC 36,7,9,Mike Gillislee middle for no gain (tackle by Hayes Pullard),2.540,0.890
2,7:13,4,1,LAC 36,7,9,Mike Gillislee right guard for 8 yards (tackle by Tre Boston),0.890,3.710
2,6:31,1,10,LAC 28,7,9,Rex Burkhead right guard for 1 yard (tackle by Adrian Phillips),3.710,3.300
2,6:00,2,9,LAC 27,7,9,Tom Brady pass complete short middle to Rex Burkhead for 13 yards (tackle by Damion Square),3.300,4.650
2,5:25,1,10,LAC 14,7,9,Rex Burkhead left end for 2 yards (tackle by Melvin Ingram),4.650,4.330
2,4:53,2,8,LAC 12,7,9,Tom Brady pass complete short middle to Brandin Cooks for 6 yards (tackle by Adrian Phillips),4.330,4.730
2,4:18,3,2,LAC 6,7,9,Tom Brady pass incomplete short middle intended for Brandin Cooks,4.730,3.010
2,4:10,4,2,LAC 6,7,12,Stephen Gostkowski 25 yard field goal good,3.010,3.000
2,4:06,,,NWE 35,7,12,"Stephen Gostkowski kicks off 68 yards, returned by Austin Ekeler for 15 yards (tackle by Brandon Bolden)",0.000,0.350
2,4:03,1,10,LAC 12,7,12,Philip Rivers pass complete short middle to Tyrell Williams for 24 yards (tackle by Devin McCourty),-0.350,1.330
2,3:29,1,10,LAC 36,7,12,Austin Ekeler right guard for 3 yards,1.330,1.200
2,2:51,2,7,LAC 39,7,12,Austin Ekeler right end for 5 yards (tackle by Trey Flowers),1.200,0.000
2,2:10,,,,,,Timeout #2 by Los Angeles Chargers,0.000,-1.160
2,2:10,3,2,LAC 44,7,12,Philip Rivers pass incomplete short left intended for Tyrell Williams,1.160,-0.460
2,2:07,4,2,LAC 44,7,12,"Drew Kaser punts 47 yards, returned by Danny Amendola for no gain",-0.460,0.380
2,2:00,1,10,NWE 9,7,12,Tom Brady pass complete short middle to Jacob Hollister for 13 yards (tackle by Casey Hayward),-0.380,0.410
2,1:31,1,10,NWE 22,7,12,Tom Brady pass complete deep right to Rob Gronkowski for 16 yards (tackle by Adrian Phillips),0.410,0.000
2,1:23,,,,,,Timeout #1 by New England Patriots,0.000,-1.470
2,1:23,1,10,NWE 38,7,12,"Tom Brady pass incomplete deep right intended for Rob Gronkowski. Penalty on Jahleel Addae: Defensive Pass Interference, 17 yards (no play)",1.470,2.590
2,1:19,1,10,LAC 45,7,12,Tom Brady pass complete short right to James White for 25 yards (tackle by Hayes Pullard),2.590,3.960
2,0:32,2,8,LAC 18,7,12,Tom Brady pass incomplete short right intended for James White (defended by Adrian Phillips),3.960,3.220
2,0:28,3,8,LAC 18,7,12,Tom Brady pass incomplete short middle intended for Danny Amendola,3.220,2.250
2,0:24,4,8,LAC 18,7,15,Stephen Gostkowski 36 yard field goal good,2.250,3.000
2,0:20,,,NWE 35,7,15,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
2,0:20,1,10,LAC 25,7,15,Melvin Gordon right guard for 5 yards (tackle by Cassius Marsh),0.610,0.740
Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,7,15,"Nick Novak kicks off 64 yards, returned by Dion Lewis for 24 yards. Penalty on Tenny Palepoi: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,14:55,,,LAC 30,7,15,"Nick Novak kicks off 66 yards, returned by Dion Lewis for 71 yards (tackle by Michael Davis)",0.000,-3.910
3,14:46,1,10,LAC 25,7,15,Tom Brady pass incomplete short left intended for Brandin Cooks,3.910,3.360
3,14:43,2,10,LAC 25,7,15,Tom Brady pass incomplete short middle intended for Rob Gronkowski,3.360,2.680
3,14:39,3,10,LAC 25,7,15,Tom Brady pass incomplete short right intended for Danny Amendola,2.680,1.800
3,14:32,4,10,LAC 25,7,15,Stephen Gostkowski 43 yard field goal no good,1.800,-1.140
3,14:28,1,10,LAC 33,7,15,Travis Benjamin right end for 7 yards (tackle by Malcolm Butler),1.140,1.540
3,14:03,2,3,LAC 40,7,15,Philip Rivers pass incomplete short left intended for Keenan Allen,1.540,0.830
3,13:59,3,3,LAC 40,7,15,Philip Rivers pass complete deep left to Keenan Allen for 18 yards (tackle by Johnson Bademosi),0.830,2.790
3,13:28,1,10,NWE 42,7,15,Philip Rivers pass incomplete deep left intended for Tyrell Williams. Penalty on Tyrell Williams: Illegal Touch Pass,2.790,2.240
3,13:20,2,10,NWE 42,7,15,Philip Rivers pass complete short left to Keenan Allen for 13 yards (tackle by Devin McCourty),2.240,3.640
3,12:44,1,10,NWE 29,7,15,Melvin Gordon left tackle for -1 yards,3.640,2.970
3,12:07,2,11,NWE 30,7,15,"Philip Rivers sacked by Elandon Roberts for -14 yards. Philip Rivers fumbles, recovered by Philip Rivers at 50",2.970,-0.360
3,11:09,3,31,,7,15,Philip Rivers pass incomplete deep right intended for Mike Williams (defended by Jordan Richards),-0.360,-0.060
3,11:01,4,31,,7,15,"Drew Kaser punts 39 yards, returned by Danny Amendola for 12 yards (tackle by Austin Ekeler)",-0.060,-0.480
3,10:52,1,10,NWE 23,7,15,Tom Brady pass incomplete short middle intended for Rob Gronkowski,0.480,-0.070
3,10:46,2,10,NWE 23,7,15,Dion Lewis right guard for no gain (tackle by Adrian Phillips and Damion Square),-0.070,-0.760
3,10:18,3,10,NWE 23,7,15,Tom Brady pass complete short left to James White for 11 yards (tackle by Adrian Phillips),-0.760,1.200
3,9:46,1,10,NWE 34,7,15,Dion Lewis right guard for 5 yards (tackle by Trevor Williams),1.200,1.330
3,9:13,2,5,NWE 39,7,15,Tom Brady pass complete short middle to Chris Hogan for 19 yards (tackle by Trevor Williams),1.330,2.790
3,8:43,1,10,LAC 42,7,15,Dion Lewis left guard for 6 yards (tackle by Hayes Pullard),2.790,3.050
3,8:11,2,4,LAC 36,7,15,Dion Lewis middle for 2 yards (tackle by Hayes Pullard),3.050,2.610
3,7:34,3,2,LAC 34,7,15,Tom Brady pass complete short right to James White for 12 yards (tackle by Tre Boston),2.610,4.110
3,6:52,1,10,LAC 22,7,15,Dion Lewis left end for -3 yards (tackle by Adrian Phillips),4.110,3.160
3,6:20,2,13,LAC 25,7,15,Tom Brady sacked by Desmond King for 0 yards,3.160,2.480
3,5:36,3,13,LAC 25,7,15,Tom Brady pass incomplete deep middle intended for Danny Amendola,2.480,1.800
3,5:30,4,13,LAC 25,7,18,Stephen Gostkowski 43 yard field goal good,1.800,3.000
3,5:25,,,NWE 35,7,18,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
3,5:25,1,10,LAC 25,7,18,Melvin Gordon left end for -1 yards (tackle by Cassius Marsh),0.610,-0.070
3,4:52,2,11,LAC 24,7,18,Philip Rivers pass complete short left to Keenan Allen for 15 yards (tackle by Johnson Bademosi),-0.070,1.530
3,4:21,1,10,LAC 39,7,18,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Elandon Roberts),1.530,2.200
3,3:58,2,1,LAC 48,7,18,Melvin Gordon middle for 4 yards (tackle by Lawrence Guy),2.200,2.390
3,3:32,1,10,NWE 48,7,18,Philip Rivers pass complete short left to Melvin Gordon for 7 yards,2.390,2.790
3,2:55,2,3,NWE 41,7,18,Philip Rivers pass incomplete short left intended for Melvin Gordon,2.790,2.080
3,2:48,3,3,NWE 41,7,18,"Philip Rivers pass complete short right to Travis Benjamin for 41 yards. Penalty on Tyrell Williams: Offensive Pass Interference, 10 yards (no play)",2.080,0.760
3,2:40,3,13,LAC 49,7,18,Philip Rivers pass incomplete deep left intended for Tyrell Williams (defended by Jonathan Jones),0.760,-0.130
3,2:33,4,13,LAC 49,7,18,"Drew Kaser punts 31 yards, out of bounds",-0.130,-0.280
3,2:26,1,10,NWE 20,7,18,Tom Brady pass complete short left to Rex Burkhead for no gain,0.280,-0.270
3,1:50,2,10,NWE 20,7,18,Tom Brady pass incomplete short right intended for James Develin,-0.270,-0.960
3,1:46,3,10,NWE 20,7,18,Tom Brady pass complete short left to Chris Hogan for 14 yards (tackle by Trevor Williams),-0.960,1.200
3,1:22,1,10,NWE 34,7,18,Mike Gillislee right tackle for 9 yards (tackle by Jahleel Addae),1.200,1.870
3,0:50,2,1,NWE 43,7,18,Mike Gillislee right guard for 2 yards (tackle by Hayes Pullard),1.870,1.930
3,0:12,1,10,NWE 45,7,18,Mike Gillislee right tackle for no gain (tackle by Joey Bosa),1.930,1.380
Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,NWE 45,7,18,"Tom Brady pass complete short middle to Rex Burkhead for 13 yards (tackle by Jahleel Addae). Penalty on Nate Solder: Illegal Block Above the Waist, 10 yards",1.380,1.790
4,14:30,2,7,NWE 48,7,18,Tom Brady pass complete short left to Rob Gronkowski for 6 yards (tackle by Korey Toomer and Kyle Emanuel),1.790,1.880
4,13:50,3,1,LAC 46,7,18,Mike Gillislee left guard for 3 yards (tackle by Hayes Pullard),1.880,2.720
4,13:22,1,10,LAC 43,7,18,Mike Gillislee left guard for 4 yards (tackle by Tenny Palepoi),2.720,2.720
4,12:52,2,6,LAC 39,7,18,Mike Gillislee left tackle for 2 yards (tackle by Trevor Williams and Tenny Palepoi),2.720,2.280
4,12:13,3,4,LAC 37,7,18,Tom Brady pass complete short left to Rob Gronkowski for 7 yards (tackle by Adrian Phillips),2.280,3.580
4,11:36,1,10,LAC 30,7,18,Tom Brady sacked by Darius Philon for -7 yards,3.580,2.090
4,10:57,2,17,LAC 37,7,18,Tom Brady pass complete short left to Danny Amendola for 5 yards (tackle by Desmond King),2.090,2.080
4,10:20,3,12,LAC 32,7,18,Tom Brady pass complete short left to Rex Burkhead for 7 yards (tackle by Desmond King),2.080,1.850
4,9:45,4,5,LAC 25,7,18,Stephen Gostkowski 43 yard field goal no good,1.850,-1.140
4,9:36,1,10,LAC 33,7,18,"Philip Rivers pass incomplete deep right intended for Keenan Allen. Penalty on Johnson Bademosi: Defensive Pass Interference, 30 yards (no play)",1.140,3.120
4,9:27,1,10,NWE 37,7,18,Melvin Gordon middle for 6 yards (tackle by Elandon Roberts),3.120,3.380
4,9:07,2,4,NWE 31,7,18,Philip Rivers pass complete short left to Mike Williams for 7 yards (tackle by Johnson Bademosi),3.380,3.970
4,8:36,1,10,NWE 24,13,18,"Philip Rivers pass complete deep right to Travis Benjamin for 24 yards, touchdown",3.970,7.000
4,8:30,,,NWE 2,13,18,"Two Point Attempt: Philip Rivers pass incomplete intended for Antonio Gates, conversion fails",0.000,-1.000
4,8:30,,,LAC 35,13,18,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
4,8:30,1,10,NWE 25,13,18,Tom Brady pass complete short middle to Chris Hogan for 19 yards (tackle by Trevor Williams),0.610,1.860
4,7:56,1,10,NWE 44,13,18,Dion Lewis middle for 4 yards (tackle by Joey Bosa and Tre Boston),1.860,1.860
4,7:20,2,6,NWE 48,13,18,Tom Brady pass incomplete short left intended for Chris Hogan (defended by Trevor Williams),1.860,1.160
4,7:15,3,6,NWE 48,13,18,Tom Brady pass incomplete short middle intended for Danny Amendola (defended by Darius Philon),1.160,-0.190
4,7:10,4,6,NWE 48,13,18,"Ryan Allen punts 34 yards, fair catch by Travis Benjamin. Penalty on Desmond King: Offensive Holding (Declined), Penalty on Rayshawn Jenkins: Illegal Block Above the Waist, 9 yards",-0.190,0.380
4,7:05,1,10,LAC 9,13,18,Melvin Gordon middle for 5 yards (tackle by Trey Flowers),-0.380,-0.390
4,6:37,2,5,LAC 14,13,18,Philip Rivers pass complete short left to Hunter Henry for 4 yards (tackle by Devin McCourty),-0.390,-0.370
4,6:18,3,1,LAC 18,13,18,Melvin Gordon middle for 6 yards (tackle by Adam Butler),-0.370,0.540
4,5:43,1,10,LAC 24,13,18,Philip Rivers pass complete short right to Travis Benjamin for 2 yards (tackle by Patrick Chung),0.540,0.270
4,5:04,2,8,LAC 26,13,18,Philip Rivers pass incomplete deep right intended for Tyrell Williams,0.270,-0.430
4,4:56,3,8,LAC 26,13,18,Philip Rivers pass incomplete short left intended for Travis Benjamin,-0.430,-1.630
4,4:52,4,8,LAC 26,13,18,"Drew Kaser punts 52 yards, returned by Danny Amendola for 12 yards (tackle by Nick Dzubnar)",-1.630,-1.200
4,4:41,1,10,NWE 34,13,18,"Dion Lewis middle for 10 yards (tackle by Hayes Pullard and Casey Hayward). Penalty on Hayes Pullard: Face Mask (15 Yards), 15 yards",1.200,2.850
4,4:19,1,10,LAC 41,13,18,Dion Lewis middle for 5 yards (tackle by Damion Square),2.850,2.980
4,3:47,2,5,LAC 36,13,18,"Dion Lewis right tackle for -2 yards. Penalty on Joe Thuney: Clipping, 15 yards (no play)",2.980,0.960
4,3:42,2,20,NWE 49,13,18,Tom Brady pass complete short left to Rob Gronkowski for 26 yards (tackle by Adrian Phillips). Penalty on Adrian Phillips: Defensive Holding (Declined),0.960,3.910
4,3:33,1,10,LAC 25,13,18,Dion Lewis middle for 2 yards (tackle by Korey Toomer),3.910,0.000
4,3:27,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-3.630
4,3:27,2,8,LAC 23,13,18,Tom Brady pass complete short middle to Chris Hogan for 3 yards (tackle by Hayes Pullard),3.630,0.000
4,3:21,,,,,,Timeout #2 by Los Angeles Chargers,0.000,-3.340
4,3:21,3,5,LAC 20,13,18,"Penalty on Joey Bosa: Neutral Zone Infraction, 4 yards (no play)",3.340,4.060
4,3:21,3,1,LAC 16,13,18,Tom Brady middle for 2 yards (tackle by Jatavis Brown and Darius Philon),4.060,4.650
4,2:42,1,10,LAC 14,13,18,Mike Gillislee middle for no gain (tackle by Jahleel Addae and Korey Toomer),4.650,4.000
4,2:00,2,10,LAC 14,13,18,Mike Gillislee left tackle for 2 yards (tackle by Damion Square),4.000,0.000
4,1:55,,,,,,Timeout #3 by Los Angeles Chargers,0.000,-3.430
4,1:55,3,8,LAC 12,13,18,Mike Gillislee left guard for 4 yards (tackle by Joey Bosa),3.430,0.000
4,1:12,,,,,,Timeout #1 by New England Patriots,0.000,-2.980
4,1:12,4,4,LAC 8,13,21,Stephen Gostkowski 26 yard field goal good,2.980,3.000
4,1:08,,,NWE 35,13,21,"Stephen Gostkowski kicks off 65 yards, returned by Austin Ekeler for 21 yards (tackle by Rex Burkhead)",0.000,-0.340
4,1:02,1,10,LAC 21,13,21,Philip Rivers pass complete short left to Travis Benjamin for 15 yards (tackle by Marquis Flowers),0.340,1.330
4,0:40,1,10,LAC 36,13,21,Philip Rivers pass incomplete short left intended for Travis Benjamin,1.330,0.790
4,0:36,2,10,LAC 36,13,21,"Penalty on Deatrich Wise Jr.: Neutral Zone Infraction, 5 yards (no play)",0.790,1.470
4,0:36,2,5,LAC 41,13,21,Philip Rivers pass complete short left to Travis Benjamin for 15 yards,1.470,2.650
4,0:30,1,10,NWE 44,13,21,Philip Rivers pass incomplete short left intended for Travis Benjamin,2.650,2.110
4,0:26,2,10,NWE 44,13,21,Philip Rivers pass incomplete short left intended for Tyrell Williams,2.110,1.420
4,0:21,3,10,NWE 44,13,21,Philip Rivers pass complete short right to Travis Benjamin for 8 yards,1.420,0.890
4,0:14,4,2,NWE 36,13,21,Philip Rivers pass complete short middle to Austin Ekeler for 13 yards,0.890,4.040
4,0:14,1,10,NWE 23,13,21,Philip Rivers spiked the ball,4.040,3.500
4,0:01,2,10,NWE 23,13,21,Philip Rivers pass incomplete deep left intended for Travis Benjamin is intercepted by Jonathan Jones at NWE-1 and returned for 6 yards,3.500,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
