Quarter,Time,Down,ToGo,Location,NYG,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 43,3,7,LaDainian Tomlinson up the middle for 9 yards (tackle by Carlos Emmons),1.800,2.470
2,14:28,2,1,NYG 48,3,7,Lorenzo Neal left guard for 5 yards (tackle by William Joseph),2.470,2.720
2,13:48,1,10,NYG 43,3,7,LaDainian Tomlinson right end for 28 yards (tackle by Brent Alexander),2.720,4.580
2,13:09,1,10,NYG 15,3,13,"Drew Brees pass complete to Keenan McCardell for 15 yards, touchdown",4.580,7.000
2,,,,NYG 2,3,14,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,,3,14,"Penalty on Terrence Kiel: Illegal Touch Kick, 5 yards (no play)",0.000,0.000
2,,,,SDG 25,3,14,"Nate Kaeding kicks off 69 yards, returned by Willie Ponder for 23 yards (tackle by Clinton Hart). Penalty on Kenderick Allen: Offensive Holding, 10 yards",0.000,0.150
2,12:57,1,10,NYG 19,3,14,Eli Manning pass incomplete intended for David Tyree,0.150,-0.390
2,12:53,2,10,NYG 19,3,14,Eli Manning pass incomplete intended for Plaxico Burress,-0.390,-1.070
2,12:49,,,,3,14,Timeout #1 by New York Giants,0.000,-1.070
2,12:49,3,10,NYG 19,3,14,Eli Manning sacked by Donnie Edwards for -5 yards,-1.070,-2.470
2,12:33,4,15,NYG 14,3,14,"Jeff Feagles punts 54 yards, returned by Darren Sproles for 6 yards (tackle by David Tyree)",-2.470,-1.470
2,12:21,1,10,SDG 38,3,14,Drew Brees pass complete to Antonio Gates for 15 yards (tackle by Brent Alexander),1.470,2.460
2,11:43,1,10,NYG 47,3,14,Drew Brees pass incomplete,2.460,1.910
2,11:38,2,10,NYG 47,3,14,LaDainian Tomlinson right tackle for 5 yards (tackle by Shaun Williams and Carlos Emmons),1.910,1.880
2,10:54,3,5,NYG 42,3,14,Drew Brees pass complete to Antonio Gates for 12 yards (tackle by Will Allen),1.880,3.580
2,10:15,1,10,NYG 30,3,14,Drew Brees pass complete to Keenan McCardell for 27 yards (tackle by Will Allen),3.580,6.510
2,9:39,1,3,NYG 3,3,20,"LaDainian Tomlinson left tackle for 3 yards, touchdown",6.510,7.000
2,,,,NYG 2,3,21,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,21,"Nate Kaeding kicks off 40 yards, returned by Visanthe Shiancoe for 5 yards (tackle by Kassim Osgood)",0.000,1.270
2,9:32,1,10,NYG 35,3,21,Tiki Barber for -6 yards (tackle by Shawne Merriman),1.270,-0.090
2,8:54,2,16,NYG 29,3,21,Eli Manning pass complete to Jeremy Shockey for 12 yards (tackle by Terrence Kiel),-0.090,0.830
2,8:11,3,4,NYG 41,3,21,Eli Manning pass complete to Plaxico Burress for 5 yards (tackle by Drayton Florence),0.830,1.990
2,7:33,1,10,NYG 46,3,21,Tiki Barber left end for 2 yards (tackle by Randall Godfrey),1.990,1.720
2,7:06,2,8,NYG 48,3,21,Eli Manning pass incomplete intended for Plaxico Burress,1.720,1.030
2,7:02,3,8,NYG 48,3,21,"Eli Manning pass incomplete intended for Plaxico Burress. Penalty on Terrence Kiel: Defensive Holding, 5 yards (no play)",1.030,2.460
2,6:56,1,10,SDG 47,3,21,"Eli Manning pass complete to Visanthe Shiancoe for 22 yards (tackle by Bhawoh Jue). Penalty on Jeremy Shockey: Offensive Pass Interfere, 10 yards (no play)",2.460,1.800
2,6:27,1,20,NYG 43,3,21,Tiki Barber up the middle for 3 yards (tackle by Donnie Edwards),1.800,0.970
2,5:40,2,17,NYG 46,3,21,"Penalty on Eli Manning: Delay of Game, 5 yards (no play)",0.970,0.290
2,5:16,2,22,NYG 41,3,21,Eli Manning pass complete to Tim Carter for 44 yards (tackle by Quentin Jammer),0.290,4.580
2,4:29,1,10,SDG 15,3,21,"Eli Manning pass incomplete intended for Plaxico Burress. Penalty on Donnie Edwards: Defensive Holding, 5 yards (no play)",4.580,4.910
2,4:24,1,10,SDG 10,3,21,Eli Manning pass complete to Visanthe Shiancoe for 5 yards (tackle by Donnie Edwards),4.910,5.150
2,3:39,2,5,SDG 5,9,21,"Eli Manning pass complete to Plaxico Burress for 5 yards, touchdown. Penalty on Ben Leber: Roughing the Passer, 15 yards",5.150,7.000
2,,,,SDG 2,10,21,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYG 45,10,21,"Jay Feely kicks off 55 yards, touchback",0.000,0.280
2,3:34,1,10,SDG 20,10,21,LaDainian Tomlinson left guard for 2 yards (tackle by Carlos Emmons and Osi Umenyiora),0.280,0.000
2,2:58,2,8,SDG 22,10,21,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Osi Umenyiora),0.000,1.000
2,2:24,1,10,SDG 31,10,21,"Drew Brees pass complete to LaDainian Tomlinson for 3 yards (tackle by Nick Greisen and Carlos Emmons). LaDainian Tomlinson fumbles (forced by Nick Greisen), recovered by Osi Umenyiora at SDG-34 (tackle by Roman Oben)",1.000,-3.310
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
2,2:13,1,10,SDG 34,10,21,Eli Manning pass complete to Jeremy Shockey for 30 yards (tackle by Terrence Kiel and Bhawoh Jue),3.310,6.280
2,2:00,1,4,SDG 4,16,21,"Eli Manning pass complete to David Tyree for 4 yards, touchdown",6.280,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,SDG 2,17,21,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYG 30,17,21,"Jay Feely kicks off 69 yards, returned by Darren Sproles for 24 yards (tackle by David Tyree)",0.000,0.610
2,1:50,1,10,SDG 25,17,21,Drew Brees pass incomplete intended for LaDainian Tomlinson,0.610,0.060
2,1:46,2,10,SDG 25,17,21,Drew Brees pass incomplete intended for Eric Parker (defended by Curtis DeLoatch),0.060,-0.620
2,1:41,3,10,SDG 25,17,21,Drew Brees pass complete to LaDainian Tomlinson for 3 yards (tackle by Will Allen),-0.620,-1.500
2,1:33,4,7,SDG 28,17,21,"Mike Scifres punts 50 yards, returned by Chad Morton for -2 yards (tackle by Justin Peelle)",-1.500,-0.280
2,1:23,1,10,NYG 20,17,21,"Eli Manning pass incomplete intended for Tiki Barber. Penalty on Shaun O'Hara: Ineligible Downfield Pas, 5 yards (no play)",0.280,-0.310
2,1:18,1,15,NYG 15,17,21,Tiki Barber left tackle for 12 yards (tackle by Bhawoh Jue and Sammy Davis),-0.310,0.680
2,0:56,2,3,NYG 27,17,21,Eli Manning pass incomplete intended for Plaxico Burress (defended by Sammy Davis),0.680,-0.030
2,0:52,3,3,NYG 27,17,21,Eli Manning for 4 yards (tackle by DeQuincy Scott),-0.030,1.000
2,0:44,,,,17,21,Timeout #2 by New York Giants,0.000,1.000
2,0:44,1,10,NYG 31,17,21,Eli Manning pass incomplete intended for Plaxico Burress,1.000,0.460
2,0:37,2,10,NYG 31,17,21,Eli Manning pass incomplete intended for Jeremy Shockey,0.460,-0.230
2,0:34,3,10,NYG 31,17,21,Tiki Barber up the middle for 27 yards (tackle by Quentin Jammer),-0.230,2.790
2,0:23,,,,17,21,Timeout #3 by New York Giants,0.000,2.790
2,0:23,1,10,SDG 42,17,21,Eli Manning pass complete to Amani Toomer for 25 yards,2.790,4.440
2,0:15,1,10,SDG 17,17,21,"Penalty on David Diehl: False Start, 5 yards (no play)",4.440,4.110
2,0:15,1,15,SDG 22,20,21,Jay Feely 40 yard field goal good,4.110,3.000
2,,,,NYG 30,20,21,"Jay Feely kicks off 58 yards, returned by Michael Turner for no gain",,
2,0:08,1,10,SDG 12,20,21,Drew Brees kneels for -1 yards,-0.350,-0.850
Quarter,Time,Down,ToGo,Location,NYG,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,20,21,"Jay Feely kicks off 60 yards, returned by Darren Sproles for 20 yards (tackle by David Tyree)",0.000,0.940
3,14:55,1,10,SDG 30,20,21,Eric Parker right end for 30 yards (tackle by Shaun Williams),0.940,2.920
3,14:15,1,10,NYG 40,20,21,LaDainian Tomlinson left tackle for 5 yards (tackle by Will Allen),2.920,3.050
3,13:37,2,5,NYG 35,20,21,Drew Brees pass complete to Antonio Gates for 9 yards (tackle by Antonio Pierce). Penalty on Antonio Pierce: Defensive Holding (Declined),3.050,3.840
3,13:15,1,10,NYG 26,20,27,"LaDainian Tomlinson pass complete to Keenan McCardell for 26 yards, touchdown",3.840,7.000
3,,,,NYG 2,20,28,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,20,28,"Nate Kaeding kicks off 66 yards, returned by Willie Ponder for 13 yards (tackle by Hanik Milligan). Penalty on Michael Strahan: Face Mask (15 Yards), 8 yards",0.000,-0.380
3,12:57,1,10,NYG 9,20,28,Tiki Barber left tackle for 2 yards (tackle by Jacques Cesaire),-0.380,-0.630
3,12:22,2,8,NYG 11,20,28,Eli Manning pass complete to Jeremy Shockey for 10 yards (tackle by Terrence Kiel),-0.630,0.340
3,11:54,1,10,NYG 21,20,28,Eli Manning pass complete to Plaxico Burress for 12 yards (tackle by Bhawoh Jue). Penalty on Drayton Florence: Defensive Holding (Declined),0.340,1.140
3,11:29,1,10,NYG 33,20,28,Eli Manning pass incomplete intended for Jeremy Shockey (defended by Randall Godfrey),1.140,0.590
3,11:24,2,10,NYG 33,20,28,"Eli Manning for -3 yards. Eli Manning fumbles, recovered by David Tyree at NYG-21 and returned for 9 yards",0.590,-0.490
3,10:35,3,13,NYG 30,20,28,"Eli Manning pass incomplete is intercepted by Drayton Florence at NYG-30 and returned for 30 yards. Penalty on David Tyree: Illegal Shift (Offsetting), Penalty on Luis Castillo: Roughing the Passer (Offsetting) (no play)",-0.490,-0.490
3,10:28,3,13,NYG 30,20,28,Tiki Barber right tackle for 1 yard (tackle by Shawne Merriman),-0.490,-1.310
3,9:55,4,12,NYG 31,20,28,Jeff Feagles punts 46 yards,-1.310,-0.480
3,9:47,1,10,SDG 23,20,28,LaDainian Tomlinson left tackle for 4 yards (tackle by Shaun Williams and Nick Greisen),0.480,0.470
3,9:13,2,6,SDG 27,20,28,Drew Brees pass complete to LaDainian Tomlinson for no gain,0.470,-0.230
3,8:29,3,6,SDG 27,20,28,Drew Brees pass complete to Antonio Gates for 23 yards (tackle by Shaun Williams),-0.230,2.260
3,7:47,1,10,SDG 50,20,28,LaDainian Tomlinson left end for 4 yards (tackle by Will Allen),2.260,2.250
3,7:22,2,6,NYG 46,20,28,Drew Brees pass complete to Justin Peelle for 1 yard (tackle by Michael Strahan),2.250,1.690
3,6:41,3,5,NYG 45,20,28,"Penalty on Fred Robbins: Encroachment, 5 yards (no play)",1.690,2.920
3,6:32,1,10,NYG 40,20,28,LaDainian Tomlinson up the middle for 5 yards (tackle by Nick Greisen and Osi Umenyiora),2.920,3.050
3,6:32,2,5,NYG 35,20,28,LaDainian Tomlinson up the middle for 3 yards (tackle by Carlos Emmons),3.050,2.740
3,6:32,3,2,NYG 32,20,28,Darren Sproles right end for 21 yards (tackle by Carlos Emmons),2.740,4.840
3,6:32,1,10,NYG 11,20,28,"Penalty on SDG: Illegal Substitution, 5 yards (no play)",4.840,4.340
3,6:32,1,15,NYG 16,20,28,LaDainian Tomlinson right tackle for 3 yards (tackle by Shaun Williams),4.340,3.830
3,3:47,2,12,NYG 13,20,28,Drew Brees pass complete to Lorenzo Neal for 4 yards (tackle by Antonio Pierce),3.830,3.530
3,3:11,3,8,NYG 9,20,28,"Drew Brees pass complete to Eric Parker for 9 yards. Penalty on Antonio Gates: Illegal Shift, 5 yards (no play)",3.530,3.030
3,3:03,3,13,NYG 14,20,34,"Drew Brees pass complete to Antonio Gates for 14 yards, touchdown",3.030,7.000
3,,,,NYG 2,20,35,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,20,35,"Nate Kaeding kicks off 61 yards, returned by Willie Ponder for 22 yards (tackle by Marques Harris)",0.000,1.000
3,2:53,1,10,NYG 31,20,35,"Eli Manning pass incomplete intended for Jeremy Shockey. Penalty on Chris Snee: Offensive Holding, 10 yards (no play)",1.000,0.340
3,2:47,1,20,NYG 21,20,35,Eli Manning pass incomplete intended for Plaxico Burress (defended by Drayton Florence),0.340,-0.890
3,2:42,2,20,NYG 21,20,35,Eli Manning pass complete to Tim Carter for 9 yards (tackle by Stephen Cooper),-0.890,-0.360
3,2:02,3,11,NYG 30,20,35,Eli Manning pass complete to Plaxico Burress for 17 yards (tackle by Terrence Kiel),-0.360,2.060
3,1:23,1,10,NYG 47,20,35,Derrick Ward left end for 1 yard (tackle by Ben Leber and Randall Godfrey),2.060,1.650
3,0:51,2,9,NYG 48,20,35,Eli Manning pass incomplete intended for Amani Toomer (defended by Quentin Jammer),1.650,0.960
3,0:43,3,9,NYG 48,20,35,Eli Manning pass complete to Plaxico Burress for 13 yards (tackle by Terrence Kiel),0.960,2.980
3,0:04,1,10,SDG 39,20,35,Eli Manning pass incomplete intended for Amani Toomer,2.980,2.440
Quarter,Time,Down,ToGo,Location,NYG,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,SDG 39,20,35,Tiki Barber up the middle for -2 yards (tackle by Donnie Edwards),2.440,1.490
4,14:27,3,12,SDG 41,20,35,Eli Manning up the middle for 12 yards (tackle by Donnie Edwards),1.490,3.640
4,13:38,1,10,SDG 29,20,35,Eli Manning pass incomplete intended for Jeremy Shockey (defended by Jamal Williams),3.640,3.100
4,13:32,2,10,SDG 29,20,35,Eli Manning pass incomplete intended for Amani Toomer,3.100,2.410
4,13:27,3,10,SDG 29,20,35,Eli Manning pass complete to David Tyree for 18 yards (tackle by Donnie Edwards),2.410,4.840
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
4,13:01,1,10,SDG 11,20,35,Tiki Barber right tackle for 1 yard (tackle by Randall Godfrey and Ben Leber),4.840,4.320
4,12:28,2,9,SDG 10,20,35,Eli Manning pass incomplete intended for Amani Toomer (defended by Ben Leber),4.320,3.300
4,12:22,3,9,SDG 10,20,35,Eli Manning pass incomplete intended for Visanthe Shiancoe,3.300,2.760
4,12:18,4,9,SDG 10,23,35,Jay Feely 28 yard field goal good,2.760,3.000
4,,,,NYG 30,23,35,"Jay Feely kicks off 67 yards, returned by Darren Sproles for 58 yards (tackle by Frank Walker)",0.000,2.980
4,12:04,1,10,NYG 39,23,35,LaDainian Tomlinson left tackle for 4 yards (tackle by Osi Umenyiora),2.980,2.980
4,11:26,2,6,NYG 35,23,35,LaDainian Tomlinson left end for 10 yards (tackle by Carlos Emmons),2.980,3.910
4,10:42,1,10,NYG 25,23,35,LaDainian Tomlinson up the middle for 8 yards (tackle by Gibril Wilson),3.910,4.550
4,9:59,2,2,NYG 17,23,35,Lorenzo Neal right end for 9 yards (tackle by Gibril Wilson and Reggie Torbor),4.550,5.370
4,9:15,1,8,NYG 8,23,35,Michael Turner up the middle for 3 yards (tackle by Gibril Wilson),5.370,5.150
4,8:34,2,5,NYG 5,23,41,"LaDainian Tomlinson left tackle for 5 yards, touchdown",5.150,7.000
4,,,,NYG 2,23,42,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,23,42,"Nate Kaeding kicks off 64 yards, returned by Willie Ponder for 27 yards (tackle by Stephen Cooper)",0.000,1.140
4,8:23,1,10,NYG 33,23,42,Eli Manning pass complete to Amani Toomer for 37 yards (tackle by Bhawoh Jue),1.140,3.580
4,7:50,1,10,SDG 30,23,42,"Eli Manning pass complete to Plaxico Burress for 6 yards (tackle by Quentin Jammer). Penalty on Plaxico Burress: Offensive Pass Interfere, 10 yards (no play)",3.580,2.920
4,7:29,1,20,SDG 40,23,42,Eli Manning pass complete to David Tyree for 11 yards (tackle by Terrence Kiel and Donnie Edwards),2.920,3.170
4,7:06,2,9,SDG 29,23,42,Eli Manning pass complete to David Tyree for 8 yards (tackle by Terrence Kiel),3.170,3.530
4,6:42,3,1,SDG 21,23,42,"Eli Manning pass complete to David Tyree for 11 yards (tackle by Donnie Edwards and Quentin Jammer). David Tyree fumbles (forced by Donnie Edwards), recovered by Clinton Hart at SDG-9 (tackle by Amani Toomer)",3.530,0.380
,,,,,,,"NYG challenged the ruling, and the play was upheld.",,
4,6:33,1,10,SDG 9,23,42,LaDainian Tomlinson right end for 62 yards (tackle by Justin Tuck),-0.380,3.640
4,6:08,1,10,NYG 29,23,42,Michael Turner up the middle for 2 yards (tackle by Reggie Torbor),3.640,3.370
4,5:26,2,8,NYG 27,23,42,Michael Turner left tackle for no gain (tackle by Justin Tuck),3.370,2.680
4,4:44,3,8,NYG 27,23,42,Michael Turner up the middle for 1 yard (tackle by Justin Tuck),2.680,1.740
4,4:00,,,,23,42,Timeout #2 by San Diego Chargers,0.000,1.740
4,4:00,4,7,NYG 26,23,45,Nate Kaeding 44 yard field goal good,1.740,3.000
4,,,,SDG 30,23,45,"Nate Kaeding kicks off 67 yards, returned by Willie Ponder for 30 yards (tackle by Andrew Pinnock)",0.000,1.140
4,3:48,1,10,NYG 33,23,45,Derrick Ward up the middle for 2 yards (tackle by Matt Wilhelm),1.140,0.860
4,3:22,2,8,NYG 35,23,45,Eli Manning pass incomplete intended for Plaxico Burress,0.860,0.170
4,3:16,3,8,NYG 35,23,45,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",0.170,-0.490
4,3:16,3,13,NYG 30,23,45,Eli Manning sacked by Marques Harris for -9 yards,-0.490,-1.960
4,2:44,4,22,NYG 21,23,45,"Jeff Feagles punts 45 yards. Penalty on Jerry Wilson: Offensive Holding, 10 yards",-1.960,-0.540
4,2:35,1,10,SDG 24,23,45,Michael Turner left guard for 2 yards (tackle by Carlos Emmons and Justin Tuck),0.540,0.270
4,2:00,2,8,SDG 26,23,45,Michael Turner right guard for no gain (tackle by Justin Tuck),0.270,-0.430
4,1:19,3,8,SDG 26,23,45,Michael Turner up the middle for 4 yards (tackle by Antonio Pierce and Osi Umenyiora),-0.430,-1.370
4,0:35,,,,23,45,Timeout #3 by San Diego Chargers,0.000,-1.370
4,0:34,4,4,SDG 30,23,45,Mike Scifres punts 35 yards,-1.370,-1.270
4,0:22,1,10,NYG 35,23,45,Derrick Ward right end for 3 yards (tackle by Clinton Hart),1.270,1.130
4,0:16,2,7,NYG 38,23,45,Derrick Ward left end for 7 yards (tackle by Matt Wilhelm),1.130,1.930
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
