Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
1,9:29,2,3,HOU 27,0,0,Deshaun Watson pass complete short middle to Darren Fells for 12 yards (tackle by Damien Wilson and Anthony Hitchens),0.680,1.530
1,8:57,1,10,HOU 39,0,0,David Johnson right guard for 9 yards (tackle by Chris Jones),1.530,2.200
1,8:22,2,1,HOU 48,0,0,Deshaun Watson pass complete short left to David Johnson for 5 yards (tackle by Tyrann Mathieu and Anthony Hitchens),2.200,2.460
1,7:36,1,10,KAN 47,0,0,Deshaun Watson pass complete short left to Will Fuller for 6 yards (tackle by Tyrann Mathieu),2.460,2.720
1,7:02,2,4,KAN 41,0,0,Duke Johnson right guard for 2 yards (tackle by Anthony Hitchens),2.720,2.280
1,6:19,3,2,KAN 39,0,0,Deshaun Watson pass complete short right to Brandin Cooks for 11 yards (tackle by Daniel Sorensen),2.280,3.710
1,5:39,1,10,KAN 28,0,0,Deshaun Watson pass complete short left to Brandin Cooks for 9 yards (tackle by Anthony Hitchens),3.710,4.420
1,5:02,2,1,KAN 19,6,0,"David Johnson right guard for 19 yards, touchdown",4.420,7.000
1,4:54,,,KAN 15,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,4:54,,,HOU 35,7,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,4:54,1,10,KAN 25,7,0,Patrick Mahomes pass complete short left to Tyreek Hill for 7 yards (tackle by Bradley Roby),0.610,1.010
1,4:21,2,3,KAN 32,7,0,Clyde Edwards-Helaire right guard for 1 yard (tackle by Benardrick McKinney),1.010,0.430
1,3:38,3,2,KAN 33,7,0,Darrel Williams left end for 1 yard (tackle by Zach Cunningham and Eric Murray),0.430,-1.110
1,3:00,4,1,KAN 34,7,0,Anthony Sherman left guard for 2 yards (tackle by J.J. Watt),-1.110,1.330
1,2:22,1,10,KAN 36,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for 15 yards (tackle by Justin Reid),1.330,2.320
1,1:43,1,10,HOU 49,7,0,Patrick Mahomes pass complete short left to Sammy Watkins for 10 yards (tackle by Eric Murray),2.320,2.980
1,1:05,1,10,HOU 39,7,0,Clyde Edwards-Helaire up the middle for 18 yards (tackle by Whitney Mercilus),2.980,4.170
1,0:24,1,10,HOU 21,7,0,Patrick Mahomes pass complete short middle to Sammy Watkins for 13 yards (tackle by Vernon Hargreaves),4.170,5.370
Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,8,HOU 8,7,0,Patrick Mahomes pass complete short left to Travis Kelce for 2 yards (tackle by Justin Reid),5.370,4.950
2,14:23,2,6,HOU 6,7,0,Patrick Mahomes pass incomplete short left intended for Demarcus Robinson,4.950,4.040
2,14:17,3,6,HOU 6,7,6,"Patrick Mahomes pass complete short middle to Travis Kelce for 6 yards, touchdown",4.040,7.000
2,14:13,,,HOU 15,7,7,Harrison Butker kicks extra point good,0.000,0.000
2,14:13,,,KAN 35,7,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,14:13,1,10,HOU 25,7,7,Deshaun Watson pass complete short middle to Will Fuller for 19 yards (tackle by Juan Thornhill),0.610,1.860
2,13:37,1,10,HOU 44,7,7,David Johnson up the middle for 4 yards (tackle by Damien Wilson),1.860,1.860
2,12:59,2,6,HOU 48,7,7,Deshaun Watson sacked by and Chris Jones for -4 yards and Alex Okafor for -4 yards,1.860,0.630
2,12:15,3,10,HOU 44,7,7,Deshaun Watson right end for 6 yards (tackle by Tyrann Mathieu),0.630,-0.060
2,11:37,4,4,HOU 50,7,7,"Bryan Anger punts 41 yards, fair catch by Mecole Hardman at KC-9",-0.060,0.380
2,11:30,1,10,KAN 9,7,7,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Eric Murray),-0.380,-0.390
2,10:50,2,5,KAN 14,7,7,Darrel Williams up the middle for 7 yards (tackle by Whitney Mercilus),-0.390,0.340
2,10:09,1,10,KAN 21,7,7,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill,0.340,-0.200
2,10:03,2,10,KAN 21,7,7,Clyde Edwards-Helaire right end for 9 yards (tackle by Zach Cunningham and Eric Murray),-0.200,0.300
2,9:21,3,1,KAN 30,7,7,Clyde Edwards-Helaire right guard for 9 yards (tackle by Zach Cunningham),0.300,1.530
2,8:44,1,10,KAN 39,7,7,Clyde Edwards-Helaire right end for 6 yards (tackle by Vernon Hargreaves),1.530,1.800
2,8:13,2,4,KAN 45,7,7,Patrick Mahomes pass complete short left to Demarcus Robinson for 4 yards (tackle by John Reid),1.800,2.190
2,7:22,1,10,KAN 49,7,7,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (no play)",2.190,2.920
2,7:17,1,5,HOU 46,7,7,Clyde Edwards-Helaire right end for 8 yards (tackle by John Reid),2.920,3.050
2,6:39,1,10,HOU 38,7,7,Clyde Edwards-Helaire right end for 8 yards (tackle by Zach Cunningham),3.050,3.590
2,6:07,2,2,HOU 30,7,7,Darrel Williams left guard for 4 yards (tackle by Whitney Mercilus),3.590,3.840
2,5:24,1,10,HOU 26,7,7,Darrel Williams right end for 4 yards (tackle by Benardrick McKinney),3.840,3.840
2,4:47,2,6,HOU 22,7,7,Sammy Watkins right end for 3 yards (tackle by Eric Murray),3.840,3.570
2,4:02,3,3,HOU 19,7,7,Patrick Mahomes pass complete short right to Demarcus Robinson for 9 yards (tackle by Justin Reid),3.570,4.910
2,3:26,1,10,HOU 10,7,7,Patrick Mahomes pass complete short left to Sammy Watkins for 9 yards (tackle by Vernon Hargreaves),4.910,5.910
2,3:09,2,1,HOU 1,7,7,Clyde Edwards-Helaire right guard for -1 yards (tackle by Benardrick McKinney and Eric Murray),5.910,4.950
2,2:30,3,2,HOU 2,7,13,"Patrick Mahomes pass complete short right to Sammy Watkins for 2 yards, touchdown",4.950,7.000
2,2:26,,,HOU 15,7,14,Harrison Butker kicks extra point good,0.000,0.000
2,2:26,,,KAN 35,7,14,"Harrison Butker kicks off 66 yards, returned by DeAndre Carter for 21 yards (tackle by Marcus Kemp)",0.000,0.280
2,2:22,1,10,HOU 20,7,14,Deshaun Watson pass complete short left to Darren Fells for 7 yards (tackle by Tedric Thompson),0.280,0.680
2,2:00,2,3,HOU 27,7,14,David Johnson right guard for 1 yard (tackle by Chris Jones),0.680,0.100
2,1:30,3,2,HOU 28,7,14,David Johnson right guard for 4 yards (tackle by Tedric Thompson),0.100,1.070
2,1:26,,,,,,Timeout #1 by Houston Texans,,
2,1:26,1,10,HOU 32,7,14,Deshaun Watson pass incomplete deep right intended for Brandin Cooks (defended by L'Jarius Sneed),1.070,0.530
2,1:20,2,10,HOU 32,7,14,Deshaun Watson pass complete short right to David Johnson for 15 yards (tackle by L'Jarius Sneed),0.530,2.060
2,1:11,1,10,HOU 47,7,14,Deshaun Watson pass incomplete short left intended for Brandin Cooks,2.060,1.520
2,1:07,2,10,HOU 47,7,14,Deshaun Watson pass complete short right to Jordan Akins for 20 yards (tackle by L'Jarius Sneed),1.520,3.380
2,0:47,1,10,KAN 33,7,14,Deshaun Watson pass incomplete deep left,3.380,2.840
2,0:42,2,10,KAN 33,7,14,Deshaun Watson pass incomplete short right intended for Duke Johnson,2.840,2.150
2,0:36,3,10,KAN 33,7,14,Deshaun Watson pass incomplete deep right intended for Will Fuller,2.150,1.150
2,0:30,4,10,KAN 33,7,14,Ka'imi Fairbairn 51 yard field goal no good,1.150,-1.660
2,0:25,1,10,KAN 41,7,14,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,1.660,1.120
2,0:22,2,10,KAN 41,7,14,Patrick Mahomes pass complete short left to Sammy Watkins for 17 yards (tackle by John Reid),1.120,2.790
2,0:16,,,,,,Timeout #1 by Kansas City Chiefs,,
2,0:16,1,10,HOU 42,7,14,"Patrick Mahomes pass complete short middle to Travis Kelce for 11 yards (tackle by Zach Cunningham). Penalty on Zach Cunningham: Horse Collar Tackle, 15 yards",2.790,4.510
2,0:09,1,10,HOU 16,7,14,"Patrick Mahomes pass incomplete deep left intended for Travis Kelce. Penalty on Zach Cunningham: Illegal Contact, 5 yards (no play)",4.510,4.840
2,0:04,1,10,HOU 11,7,17,Harrison Butker 29 yard field goal good,4.840,3.000
Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,7,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,7,17,Patrick Mahomes pass complete short right to Tyreek Hill for 7 yards (tackle by Bradley Roby),0.610,1.010
3,14:30,2,3,KAN 32,7,17,Clyde Edwards-Helaire left end for 11 yards (tackle by Justin Reid),1.010,1.800
3,13:54,1,10,KAN 43,7,17,Patrick Mahomes pass complete short right to Sammy Watkins for 12 yards (tackle by John Reid),1.800,2.590
3,13:18,1,10,HOU 45,7,17,Darrel Williams right end for 2 yards (tackle by J.J. Watt),2.590,2.310
3,12:36,2,8,HOU 43,7,17,"Penalty on Andrew Wylie: False Start, 5 yards (no play)",2.310,1.640
3,12:14,2,13,HOU 48,7,17,Patrick Mahomes pass complete short left to Tyreek Hill for 14 yards (tackle by John Reid),1.640,3.310
3,11:41,1,10,HOU 34,7,17,Patrick Mahomes pass complete short left to Demarcus Robinson for 7 yards (tackle by P.J. Hall),3.310,3.720
3,11:01,2,3,HOU 27,7,23,"Clyde Edwards-Helaire left guard for 27 yards, touchdown",3.720,7.000
3,10:53,,,HOU 15,7,24,Harrison Butker kicks extra point good,0.000,0.000
3,10:53,,,KAN 35,7,24,"Harrison Butker kicks off 66 yards, returned by DeAndre Carter for 22 yards (tackle by Nick Keizer and Dorian O'Daniel)",0.000,0.340
3,10:49,1,10,HOU 21,7,24,Deshaun Watson pass complete short left to Will Fuller for 8 yards (tackle by L'Jarius Sneed),0.340,0.880
3,10:17,2,2,HOU 29,7,24,David Johnson left guard for 7 yards (tackle by Anthony Hitchens),0.880,1.330
3,9:51,1,10,HOU 36,7,24,David Johnson right end for 2 yards (tackle by Derrick Nnadi and Frank Clark),1.330,1.060
3,9:11,2,8,HOU 38,7,24,Deshaun Watson pass complete short right to Will Fuller for 7 yards (tackle by Charvarius Ward),1.060,1.290
3,8:29,3,1,HOU 45,7,24,Duke Johnson left end for 2 yards (tackle by Michael Danna),1.290,2.060
3,7:57,1,10,HOU 47,7,24,Duke Johnson up the middle for 2 yards (tackle by Tershawn Wharton and Anthony Hitchens),2.060,1.790
3,7:24,2,8,HOU 49,7,24,Duke Johnson left guard for 1 yard (tackle by Tershawn Wharton),1.790,1.220
3,6:36,3,7,HOU 50,7,24,Deshaun Watson sacked by Frank Clark for -2 yards,1.220,-0.190
3,6:03,4,9,HOU 48,7,24,"Bryan Anger punts 42 yards, fair catch by Mecole Hardman at KC-10",-0.190,0.380
3,5:57,1,10,KAN 10,7,24,Clyde Edwards-Helaire left guard for 3 yards (tackle by Benardrick McKinney),-0.380,-0.560
3,5:21,2,7,KAN 13,7,24,Patrick Mahomes pass complete short right to Sammy Watkins for 19 yards (tackle by Lonnie Johnson),-0.560,1.070
3,4:42,1,10,KAN 32,7,24,Clyde Edwards-Helaire right end for 4 yards (tackle by Zach Cunningham),1.070,1.070
3,4:00,2,6,KAN 36,7,24,Patrick Mahomes pass incomplete short right intended for Clyde Edwards-Helaire,1.070,0.370
3,3:54,3,6,KAN 36,7,24,Patrick Mahomes pass complete short right to Tyreek Hill for 15 yards (tackle by Bradley Roby),0.370,2.320
3,3:13,1,10,HOU 49,7,24,Darrel Williams right guard for 3 yards (tackle by Brennan Scarlett),2.320,2.190
3,2:41,2,7,HOU 46,7,24,Darrel Williams right guard for 2 yards (tackle by P.J. Hall and Jacob Martin),2.190,1.750
3,2:02,3,5,HOU 44,7,24,Patrick Mahomes pass complete short left to Darrel Williams for 1 yard (tackle by Bradley Roby),1.750,0.400
3,1:22,4,4,HOU 43,7,24,Tommy Townsend punts 38 yards downed by Byron Pringle,0.400,0.380
3,1:12,1,10,HOU 5,7,24,David Johnson right guard for 5 yards (tackle by Anthony Hitchens and Tyrann Mathieu),-0.380,-0.420
3,0:33,2,5,HOU 10,7,24,Deshaun Watson left end for 6 yards (tackle by Tyrann Mathieu),-0.420,-0.140
Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 16,7,24,Deshaun Watson pass complete short middle to Will Fuller for 20 yards (tackle by Rashad Fenton),-0.140,1.330
4,14:27,1,10,HOU 36,7,24,Deshaun Watson pass deep right intended for Brandin Cooks is intercepted by L'Jarius Sneed at KC-44 and returned for 39 yards,1.330,-4.440
4,14:15,1,10,HOU 17,7,24,Clyde Edwards-Helaire left guard for 9 yards (tackle by Benardrick McKinney),4.440,5.480
4,13:35,2,1,HOU 8,7,24,Patrick Mahomes pass incomplete short right intended for Sammy Watkins,5.480,4.800
4,13:31,3,1,HOU 8,7,24,Clyde Edwards-Helaire up the middle for no gain (tackle by J.J. Watt),4.800,2.990
4,12:56,,,,,,Timeout #1 by Kansas City Chiefs,,
4,12:56,4,1,HOU 8,7,24,"Patrick Mahomes pass short right is intercepted by Benardrick McKinney at HOU-0 and returned for no gain. Penalty on Bradley Roby: Defensive Pass Interference, 7 yards (no play)",2.990,6.970
4,12:51,1,1,HOU 1,7,24,Clyde Edwards-Helaire left guard for no gain (tackle by Brandon Dunn),6.970,5.910
4,12:13,2,1,HOU 1,7,24,Clyde Edwards-Helaire right end for -2 yards (tackle by Benardrick McKinney),5.910,4.720
4,11:30,3,3,HOU 3,7,30,"Patrick Mahomes pass complete short right to Tyreek Hill for 3 yards, touchdown",4.720,7.000
4,11:25,,,HOU 15,7,31,Harrison Butker kicks extra point good,0.000,0.000
4,11:25,,,KAN 35,7,31,"Harrison Butker kicks off 63 yards, returned by DeAndre Carter for 23 yards (tackle by Willie Gay)",0.000,0.610
4,11:19,1,10,HOU 25,7,31,Deshaun Watson pass complete short middle to Will Fuller for 10 yards (tackle by Tyrann Mathieu),0.610,1.270
4,10:51,1,10,HOU 35,7,31,Deshaun Watson pass complete short right to David Johnson for 12 yards (tackle by Frank Clark),1.270,2.060
4,10:22,1,10,HOU 47,7,31,Deshaun Watson sacked by Chris Jones for no gain,2.060,1.520
4,9:52,2,10,HOU 47,7,31,David Johnson up the middle for 17 yards (tackle by Dorian O'Daniel),1.520,3.180
4,9:09,1,10,KAN 36,7,31,Deshaun Watson pass incomplete short middle intended for Kenny Stills,3.180,2.640
4,9:04,,,,,,Timeout #1 by Houston Texans,,
4,9:04,2,10,KAN 36,7,31,Deshaun Watson left end for 2 yards (tackle by Michael Danna),2.640,2.210
4,8:28,3,8,KAN 34,7,31,Deshaun Watson pass incomplete deep right intended for Kenny Stills,2.210,1.060
4,8:24,4,8,KAN 34,7,31,Deshaun Watson pass complete short left to Will Fuller for 11 yards (tackle by Rashad Fenton),1.060,4.040
4,7:57,1,10,KAN 23,7,31,David Johnson up the middle for 4 yards (tackle by Michael Danna),4.040,4.050
4,7:21,2,6,KAN 19,13,31,"Deshaun Watson pass complete deep middle to Jordan Akins for 19 yards, touchdown",4.050,7.000
4,7:15,,,KAN 2,13,31,"Two Point Attempt: Deshaun Watson pass incomplete intended for Randall Cobb, conversion fails",1.000,-1.000
4,7:15,,,HOU 35,13,31,"Ka'imi Fairbairn kicks off 58 yards, returned by Mecole Hardman for 20 yards (tackle by John Reid)",0.000,0.740
4,7:09,1,10,KAN 27,13,31,Clyde Edwards-Helaire right guard for 4 yards (tackle by Justin Reid),0.740,0.740
4,6:28,2,6,KAN 31,13,31,Clyde Edwards-Helaire right end for -1 yards (tackle by Bradley Roby),0.740,-0.100
4,5:44,3,7,KAN 30,13,31,Patrick Mahomes pass incomplete short left intended for Clyde Edwards-Helaire (defended by A.J. Moore),-0.100,-1.370
4,5:39,4,7,KAN 30,13,31,"Tommy Townsend punts 54 yards, returned by DeAndre Carter for 19 yards (tackle by Dorian O'Daniel)",-1.370,-1.270
4,5:29,1,10,HOU 35,13,31,Deshaun Watson left end for 13 yards (tackle by Tyrann Mathieu),1.270,2.130
4,5:00,1,10,HOU 48,13,31,Deshaun Watson pass complete deep left to Will Fuller for 31 yards (tackle by Antonio Hamilton),2.130,4.170
4,4:26,1,10,KAN 21,13,31,Deshaun Watson sacked by Dorian O'Daniel for -5 yards,4.170,2.950
4,3:50,2,15,KAN 26,13,31,Deshaun Watson pass complete short left to Randall Cobb for 17 yards (tackle by Tyrann Mathieu),2.950,5.140
4,3:16,1,9,KAN 9,13,31,Deshaun Watson pass incomplete short middle intended for Randall Cobb,5.140,4.380
4,3:11,2,9,KAN 9,13,31,Deshaun Watson pass complete short middle to DeAndre Carter for 8 yards (tackle by Antonio Hamilton),4.380,5.170
4,2:43,3,1,KAN 1,19,31,"Deshaun Watson left end for 1 yard, touchdown",5.170,7.000
4,2:38,,,KAN 15,20,31,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,2:38,,,HOU 35,20,31,"Ka'imi Fairbairn kicks onside 13 yards, returned by Armani Watts for 28 yards (tackle by John Reid and Keion Crossen)",0.000,4.240
4,2:31,1,10,HOU 20,20,31,Clyde Edwards-Helaire right end for 4 yards (tackle by P.J. Hall),4.240,4.280
4,2:26,,,,,,Timeout #2 by Houston Texans,,
4,2:26,2,6,HOU 16,20,31,Clyde Edwards-Helaire right guard for 14 yards (tackle by Lonnie Johnson and Eric Murray),4.280,6.740
4,2:18,,,,,,Timeout #3 by Houston Texans,,
4,2:18,1,2,HOU 2,20,31,Clyde Edwards-Helaire right end for -1 yards (tackle by P.J. Hall),6.740,5.530
4,2:00,2,3,HOU 3,20,31,Clyde Edwards-Helaire up the middle for 2 yards (tackle by Brennan Scarlett),5.530,5.170
4,1:19,3,1,HOU 1,20,31,Clyde Edwards-Helaire right end for no gain (tackle by P.J. Hall),5.170,3.550
4,0:33,,,,,,Timeout #2 by Kansas City Chiefs,,
4,0:33,4,1,HOU 1,20,34,Harrison Butker 19 yard field goal good,3.550,3.000
4,0:30,,,KAN 35,20,34,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,0:30,1,10,HOU 25,20,34,Deshaun Watson pass complete short left to Randall Cobb for 6 yards (tackle by Antonio Hamilton),0.610,0.870
4,0:06,2,4,HOU 31,20,34,Deshaun Watson pass incomplete short middle intended for DeAndre Carter,0.870,0.170
4,0:02,3,4,HOU 31,20,34,Deshaun Watson kneels for -1 yards,0.170,-1.370
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
