Quarter,Time,Down,ToGo,Location,IND,ARI,Detail,EPB,EPA
2,14:10,1,10,ARI 43,7,6,Chase Edmonds up the middle for 1 yard (tackle by E.J. Speed and Al-Quadin Muhammad),,
2,13:42,2,9,ARI 44,7,6,Kyler Murray pass complete short right to Chase Edmonds for 7 yards (tackle by Kenny Moore),,
2,13:00,3,2,IND 49,7,6,Kyler Murray pass complete short middle to Zach Ertz for 11 yards (tackle by George Odum),,
2,12:42,1,10,IND 38,7,6,Kyler Murray pass complete short right to Zach Ertz for 4 yards (tackle by Jahleel Addae and Grover Stewart),,
2,11:58,2,6,IND 34,7,6,Chase Edmonds left tackle for 4 yards (tackle by Kenny Moore and Grover Stewart),,
2,11:14,3,2,IND 30,7,6,Chase Edmonds left tackle for 1 yard (tackle by Zaire Franklin),,
2,10:38,4,1,IND 29,7,6,"Penalty on Josh Jones: False Start, 4 yards (accepted) (no play)",,
2,10:14,4,6,IND 34,7,6,"Kyler Murray pass complete to Zach Ertz for 17 yards IND challenged the pass completion ruling, and the original play was overturned. Kyler Murray pass incomplete deep left intended for Zach Ertz",,
2,10:09,1,10,IND 34,7,6,Jonathan Taylor up the middle for 2 yards (tackle by Jalen Thompson and Devon Kennard),,
2,9:24,2,8,IND 36,7,6,Jonathan Taylor right tackle for 4 yards (tackle by Rashard Lawrence),,
2,8:58,3,4,IND 40,7,6,Carson Wentz pass complete short middle to Michael Pittman for 10 yards (tackle by Antonio Hamilton),,
2,8:14,1,10,IND 50,7,6,"Carson Wentz sacked by. Carson Wentz fumbles (forced by Chandler Jones). Penalty on Byron Murphy: Illegal Contact, 5 yards (accepted) (no play)",,
2,8:07,1,10,ARI 45,7,6,Jonathan Taylor up the middle for -2 yards (tackle by Chandler Jones),,
2,7:28,2,12,ARI 47,7,6,"Penalty on Matt Pryor: False Start, 5 yards (accepted) (no play)",,
2,7:06,2,17,IND 48,7,6,"Carson Wentz pass complete short left to Nyheim Hines for 7 yards (tackle by Marco Wilson) ARI challenged the pass completion ruling, and the play was upheld.",,
2,6:33,3,10,ARI 45,7,6,"Penalty on Matt Pryor: False Start, 5 yards (accepted) (no play)",,
2,6:33,3,15,ARI 50,7,6,Carson Wentz pass complete short right to T.Y. Hilton for 3 yards (tackle by Budda Baker),,
2,5:57,4,12,ARI 47,7,6,"Rigoberto Sanchez punts 39 yards, fair catch by Christian Kirk at ARI-8",,
2,5:50,1,10,ARI 8,7,6,Chase Edmonds right tackle for no gain (tackle by DeForest Buckner),,
2,5:03,2,10,ARI 8,7,6,Kyler Murray pass complete short right to Demetrius Harris for 3 yards (tackle by Jahleel Addae),,
2,4:25,3,7,ARI 11,9,6,"Kyler Murray for -5 yards. Kyler Murray fumbles, recovered by Kyler Murray at ARI-6 Kyler Murray pass incomplete. Penalty on Kyler Murray: Intentional Grounding, 11 yards (accepted)",,
2,4:20,,,ARI 20,9,6,"Ryan Winslow kicks off 64 yards, returned by Nyheim Hines for 16 yards (tackle by Jalen Thompson)",,
2,4:14,1,10,IND 32,9,6,Jonathan Taylor up the middle for 7 yards (tackle by Jordan Hicks and Zach Allen),,
2,3:29,2,3,IND 39,9,6,Jonathan Taylor right tackle for -2 yards (tackle by Devon Kennard),,
2,2:45,3,5,IND 37,9,6,Carson Wentz scrambles left end for 5 yards (tackle by Byron Murphy),,
2,2:00,1,10,IND 42,9,6,"Carson Wentz pass complete short left to Michael Pittman for 12 yards (tackle by Marco Wilson). Penalty on Chandler Jones: Defensive Offside, 5 yards (declined)",,
2,1:57,1,10,ARI 46,9,6,Carson Wentz pass complete short left to Michael Pittman for 14 yards (tackle by Marco Wilson and Markus Golden),,
2,1:15,1,10,ARI 32,9,6,Carson Wentz pass complete short left to Michael Pittman for 7 yards (tackle by Jalen Thompson),,
2,0:52,2,3,ARI 25,9,6,"Carson Wentz pass incomplete intended for Michael Pittman. Penalty on Marco Wilson: Defensive Pass Interference, 12 yards (accepted) (no play)",,
2,0:39,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:39,1,10,ARI 13,9,6,"Carson Wentz scrambles for 12 yards. Penalty on Julie'n Davenport: Offensive Holding, 10 yards (accepted) (no play)",,
2,0:39,1,20,ARI 23,9,6,Carson Wentz pass complete short middle to Mo Alie-Cox for 5 yards (tackle by Isaiah Simmons),,
2,0:21,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:21,2,15,ARI 18,9,6,"Carson Wentz pass complete to Mo Alie-Cox for no gain. Penalty on Michael Pittman: Offensive Pass Interference, 10 yards (accepted) (no play)",,
2,0:14,2,25,ARI 28,9,6,Nyheim Hines right tackle for 5 yards (tackle by Zach Allen),,
2,0:09,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:09,3,20,ARI 23,9,6,Carson Wentz pass incomplete short middle intended for Mo Alie-Cox (defended by Isaiah Simmons),,
2,0:05,4,20,ARI 23,12,6,Michael Badgley 41 yard field goal good,,
2,0:01,,,IND 35,12,6,"Rigoberto Sanchez kicks off 49 yards, returned by Jonathan Ward for 16 yards (tackle by Matthew Adams)",,
Quarter,Time,Down,ToGo,Location,IND,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,12,6,"Matt Prater kicks off 65 yards, touchback.",,
3,15:00,1,10,IND 25,12,6,Carson Wentz pass incomplete short right intended for Michael Pittman,,
3,14:57,2,10,IND 25,12,6,"Carson Wentz pass incomplete intended for T.Y. Hilton. Penalty on Chandler Jones: Roughing the Passer, 15 yards (accepted) (no play)",,
3,14:53,1,10,IND 40,12,6,Carson Wentz pass incomplete short left intended for Ashton Dulin,,
3,14:48,2,10,IND 40,12,6,Jonathan Taylor up the middle for 11 yards (tackle by Byron Murphy and Budda Baker),,
3,14:05,1,10,ARI 49,12,6,Jonathan Taylor up the middle for -1 yards (tackle by Jordan Hicks),,
3,13:21,2,11,ARI 50,12,6,Carson Wentz pass incomplete short left intended for Michael Pittman,,
3,13:17,3,11,ARI 50,12,6,Carson Wentz sacked by Budda Baker for -4 yards,,
3,12:30,4,15,IND 46,12,6,"Rigoberto Sanchez punts 44 yards, returned by Byron Murphy for 48 yards (tackle by T.J. Carrie and Jordan Glasgow)",,
3,12:15,1,10,IND 42,12,6,Kyler Murray pass complete short left to Chase Edmonds for 11 yards (tackle by George Odum),,
3,11:44,1,10,IND 31,12,6,"Kyler Murray pass complete short middle to Christian Kirk for -10 yards, lateral to Kyler Murray for no gain (tackle by Kwity Paye)",,
3,10:58,2,3,IND 24,12,12,"Kyler Murray pass complete deep left to Antoine Wesley for 24 yards, touchdown",,
3,10:53,,,IND 15,12,13,Matt Prater kicks extra point good,,
3,10:53,,,ARI 35,12,13,"Matt Prater kicks off 65 yards, touchback.",,
3,10:53,1,10,IND 25,12,13,Carson Wentz pass complete short right to Michael Pittman for 5 yards (tackle by Antonio Hamilton),,
3,10:12,2,5,IND 30,12,13,Jonathan Taylor up the middle for 2 yards (tackle by Michael Dogbe and Chandler Jones),,
3,9:28,3,3,IND 32,12,13,Jonathan Taylor up the middle for 8 yards (tackle by Budda Baker),,
3,8:43,1,10,IND 40,12,13,Carson Wentz pass incomplete deep right intended for T.Y. Hilton,,
3,8:39,2,10,IND 40,12,13,Jonathan Taylor up the middle for 18 yards (tackle by Jalen Thompson and Budda Baker),,
3,7:52,1,10,ARI 42,12,13,Nyheim Hines left tackle for 4 yards (tackle by Jordan Hicks),,
3,7:09,2,6,ARI 38,12,13,Michael Pittman left end for 3 yards (tackle by Byron Murphy),,
3,6:28,3,3,ARI 35,12,13,Jonathan Taylor up the middle for -1 yards (tackle by Budda Baker),,
3,5:45,4,4,ARI 36,12,13,Carson Wentz pass incomplete short right intended for Michael Pittman,,
3,5:42,1,10,ARI 36,12,13,Kyler Murray pass incomplete short right intended for Zach Ertz (defended by E.J. Speed),,
3,5:38,2,10,ARI 36,12,13,Kyler Murray pass incomplete short right intended for A.J. Green,,
3,5:34,3,10,ARI 36,12,13,Kyler Murray pass incomplete short right,,
3,5:28,4,10,ARI 36,12,13,Ryan Winslow punts 39 yards out of bounds,,
3,5:21,1,10,IND 25,12,13,Carson Wentz pass complete short right to Michael Pittman for 5 yards (tackle by Antonio Hamilton),,
3,4:46,2,5,IND 30,12,13,Jonathan Taylor left tackle for 1 yard (tackle by Budda Baker and Rashard Lawrence),,
3,4:02,3,4,IND 31,12,13,Carson Wentz pass complete short left to Mo Alie-Cox for 37 yards (tackle by Budda Baker),,
3,3:12,1,10,ARI 32,12,13,Carson Wentz pass incomplete short left intended for Jonathan Taylor,,
3,3:06,2,10,ARI 32,12,13,Jonathan Taylor up the middle for 3 yards (tackle by Markus Golden),,
3,2:24,3,7,ARI 29,12,13,Carson Wentz pass complete to T.Y. Hilton for 8 yards (tackle by Antonio Hamilton),,
3,1:36,1,10,ARI 21,12,13,Jonathan Taylor up the middle for 3 yards (tackle by Corey Peters),,
3,0:56,2,7,ARI 18,12,13,Jonathan Taylor up the middle for -1 yards (tackle by Jalen Thompson),,
3,0:11,3,8,ARI 19,12,13,Carson Wentz pass incomplete short right intended for Michael Pittman (defended by Antonio Hamilton),,
3,0:07,4,8,ARI 19,15,13,Michael Badgley 37 yard field goal good,,
3,0:03,,,IND 35,15,13,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
3,0:03,1,10,ARI 25,15,13,Kyler Murray right tackle for 5 yards (tackle by E.J. Speed),,
Quarter,Time,Down,ToGo,Location,IND,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,ARI 30,15,13,Chase Edmonds right tackle for 1 yard (tackle by E.J. Speed),,
4,14:25,3,4,ARI 31,15,13,Kyler Murray pass complete short left to Christian Kirk for 3 yards (tackle by George Odum and Bobby Okereke),,
4,13:56,4,1,ARI 34,15,13,Jonathan Ward up the middle for 3 yards (tackle by Al-Quadin Muhammad),,
4,13:22,1,10,ARI 37,15,13,Kyler Murray pass incomplete short middle,,
4,13:17,2,10,ARI 37,15,13,Kyler Murray pass incomplete deep left intended for Christian Kirk (defended by George Odum),,
4,13:10,3,10,ARI 37,15,13,Kyler Murray pass complete deep right to A.J. Green for 33 yards (tackle by Xavier Rhodes),,
4,12:29,1,10,IND 30,15,13,Chase Edmonds up the middle for 7 yards (tackle by Kenny Moore),,
4,12:01,2,3,IND 23,15,13,Chase Edmonds right end for no gain (tackle by Xavier Rhodes),,
4,11:19,3,3,IND 23,15,13,Kyler Murray pass incomplete short left intended for Zach Ertz,,
4,11:12,4,3,IND 23,15,13,Matt Prater 41 yard field goal no good,,
4,11:07,1,10,IND 31,15,13,Jonathan Taylor up the middle for 3 yards (tackle by Joe Walker and Budda Baker),,
4,10:23,2,7,IND 34,15,13,"Carson Wentz pass incomplete intended for T.Y. Hilton. Penalty on Danny Pinter: Offensive Holding, 10 yards (accepted) (no play)",,
4,10:16,2,17,IND 24,15,13,Carson Wentz pass complete deep left to Michael Pittman for 20 yards (tackle by Byron Murphy),,
4,9:33,1,10,IND 44,15,13,Jonathan Taylor up the middle for 2 yards (tackle by Leki Fotu),,
4,8:51,2,8,IND 46,15,13,Carson Wentz pass complete deep right to T.Y. Hilton for 39 yards (tackle by Budda Baker),,
4,8:12,1,10,ARI 15,15,13,Jonathan Taylor up the middle for 2 yards (tackle by Antonio Hamilton and Budda Baker),,
4,7:30,2,8,ARI 13,15,13,Carson Wentz sacked by Josh Mauro for -1 yards,,
4,6:45,3,9,ARI 14,21,13,"Carson Wentz pass complete short left to Dezmon Patmon for 14 yards, touchdown",,
4,6:37,1,7,ARI 15,21,13,"Penalty on Zach Allen: Roughing the Passer, 8 yards (accepted)",,
4,6:37,1,7,ARI 7,22,13,Michael Badgley kicks extra point good,,
4,6:37,,,IND 35,22,13,"Rigoberto Sanchez kicks off 68 yards, returned by Greg Dortch for 31 yards (tackle by George Odum)",,
4,6:32,1,10,ARI 28,22,13,Chase Edmonds up the middle for 11 yards (tackle by George Odum),,
4,6:07,1,10,ARI 39,22,13,"Kyler Murray for no gain. Kyler Murray fumbles, recovered by Kyler Murray at ARI-39 Kyler Murray pass incomplete",,
4,6:03,2,10,ARI 39,22,13,Kyler Murray pass complete short right to Chase Edmonds for 4 yards (tackle by E.J. Speed),,
4,5:30,3,6,ARI 43,22,13,Kyler Murray pass incomplete deep left intended for Zach Ertz,,
4,5:24,4,6,ARI 43,22,13,Kyler Murray pass incomplete deep middle intended for A.J. Green,,
4,5:19,1,10,ARI 43,22,13,Jonathan Taylor up the middle for 1 yard (tackle by Jordan Hicks and Joe Walker),,
4,4:34,2,9,ARI 41,22,13,Jonathan Taylor up the middle for -3 yards (tackle by Devon Kennard),,
4,4:28,,,,,,Timeout #1 by Arizona Cardinals,,
4,4:28,3,12,ARI 44,22,13,Jonathan Taylor up the middle for 3 yards (tackle by Corey Peters and Leki Fotu),,
4,4:23,,,,,,Timeout #2 by Arizona Cardinals,,
4,4:23,4,9,ARI 41,22,13,"Rigoberto Sanchez punts 32 yards, fair catch by Christian Kirk at ARI-9",,
4,4:16,1,10,ARI 9,22,13,Kyler Murray pass complete short middle to Christian Kirk for 5 yards (tackle by Bobby Okereke),,
4,3:56,2,5,ARI 14,22,13,Kyler Murray pass complete short right to Zach Ertz for 7 yards (tackle by Bobby Okereke),,
4,3:37,1,10,ARI 21,22,13,Kyler Murray scrambles left end for 10 yards (tackle by Bobby Okereke),,
4,3:29,1,10,ARI 31,22,13,Kyler Murray pass complete short left to Chase Edmonds for 16 yards (tackle by Jahleel Addae),,
4,3:06,1,10,ARI 47,22,13,Kyler Murray pass complete short middle to Chase Edmonds for 7 yards (tackle by Bobby Okereke),,
4,2:49,2,3,IND 46,22,13,Kyler Murray pass complete short right to Christian Kirk for 4 yards (tackle by Xavier Rhodes),,
4,2:29,1,10,IND 42,22,13,Kyler Murray pass complete short left to Zach Ertz for 7 yards (tackle by Isaiah Rodgers),,
4,2:22,2,3,IND 35,22,13,"Kyler Murray scrambles for no gain (tackle by Jahleel Addae). Penalty on Max Garcia: Offensive Holding, 10 yards (accepted) (no play)",,
4,2:16,2,13,IND 45,22,13,Kyler Murray pass complete short right to Christian Kirk for 14 yards (tackle by Bobby Okereke and Kenny Moore),,
4,2:00,1,10,IND 31,22,13,"Penalty on Josh Jones: False Start, 5 yards (accepted) (no play)",,
4,2:00,1,15,IND 36,22,13,Kyler Murray pass complete short middle to Zach Ertz for 2 yards (tackle by Bobby Okereke),,
4,1:41,2,13,IND 34,22,13,Kyler Murray pass complete short middle to Christian Kirk for 14 yards (tackle by Jahleel Addae),,
4,1:22,1,10,IND 20,22,13,Kyler Murray pass incomplete short left intended for Antoine Wesley (defended by Isaiah Rodgers),,
4,1:17,2,10,IND 20,22,13,Kyler Murray pass complete short left to Chase Edmonds for 8 yards (tackle by Isaiah Rodgers),,
4,1:00,3,2,IND 12,22,13,Chase Edmonds left end for 2 yards (tackle by Jahleel Addae),,
4,0:55,,,,,,Timeout #1 by Indianapolis Colts,,
4,0:55,1,10,IND 10,22,13,Kyler Murray pass incomplete short middle intended for Zach Ertz,,
4,0:51,2,10,IND 10,22,13,Kyler Murray pass incomplete short left intended for Antoine Wesley,,
4,0:46,3,10,IND 10,22,16,Matt Prater 28 yard field goal good,,
4,0:42,,,,,,Timeout #2 by Indianapolis Colts,,
4,0:42,,,ARI 35,22,16,"Matt Prater kicks onside 10 yards, returned by Michael Pittman for no gain",,
4,0:40,1,10,ARI 45,22,16,Carson Wentz kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
