Quarter,Time,Down,ToGo,Location,DAL,TAM,Detail,EPB,EPA
2,5:47,2,8,TAM 42,6,3,Matt Cassel pass complete short right to Cole Beasley for 8 yards (tackle by Sterling Moore),2.380,3.310
2,5:07,1,10,TAM 34,6,3,Christine Michael right guard for 2 yards (tackle by Sterling Moore),3.310,3.040
2,4:22,2,8,TAM 32,6,3,Matt Cassel pass incomplete deep left intended for Dez Bryant,3.040,2.350
2,4:15,3,8,TAM 32,6,3,Matt Cassel pass complete short left to Jason Witten for 2 yards (tackle by Alterraun Verner),2.350,1.430
2,3:37,4,6,TAM 30,6,3,Dan Bailey 48 yard field goal no good,1.430,-1.470
2,3:31,1,10,TAM 38,6,3,Jameis Winston pass incomplete short right intended for Donteea Dye,1.470,0.920
2,3:25,2,10,TAM 38,6,3,Doug Martin middle for -1 yards (tackle by Greg Hardy and Anthony Hitchens),0.920,0.100
2,2:51,3,11,TAM 37,6,3,Jameis Winston pass complete short left to Mike Evans for 14 yards (tackle by Morris Claiborne),0.100,2.320
2,2:26,1,10,DAL 49,6,3,Jameis Winston pass complete deep left to Mike Evans for 23 yards (tackle by Morris Claiborne),2.320,3.840
2,2:00,1,10,DAL 26,6,3,Jameis Winston pass incomplete deep left intended for Mike Evans (defended by Morris Claiborne),3.840,3.300
2,1:54,2,10,DAL 26,6,3,Jameis Winston pass incomplete deep left intended for Charles Sims,3.300,2.610
2,1:46,3,10,DAL 26,6,3,Jameis Winston pass incomplete deep middle intended for Brandon Myers is intercepted by Jeff Heath at DAL-5 and returned for 19 yards,2.610,-0.540
2,1:35,1,10,DAL 24,6,3,Matt Cassel pass complete short left to Dez Bryant for 12 yards (tackle by Sterling Moore and Lavonte David),0.540,1.330
2,1:14,1,10,DAL 36,6,3,Matt Cassel pass complete short left to Darren McFadden for 5 yards,1.330,1.470
2,1:06,2,5,DAL 41,6,3,Matt Cassel pass incomplete deep left intended for Dez Bryant,1.470,1.470
2,1:00,2,5,DAL 41,6,3,Timeout #1 by Tampa Bay Buccaneers,1.470,0.760
2,1:00,3,5,DAL 41,6,3,Matt Cassel pass complete short middle to Jason Witten for 4 yards (tackle by Alterraun Verner),0.760,0.760
2,0:51,3,5,DAL 41,6,3,Timeout #2 by Tampa Bay Buccaneers,0.760,-0.390
2,0:51,4,1,DAL 45,6,3,"Chris Jones punts 40 yards, fair catch by Bobby Rainey",-0.390,0.220
2,0:44,1,10,TAM 15,6,3,Charles Sims left end for 9 yards (tackle by Jeremy Mincey and Tyrone Crawford),-0.220,-0.220
2,0:34,1,10,TAM 15,6,3,Timeout #3 by Tampa Bay Buccaneers,-0.220,0.620
2,0:34,2,1,TAM 24,6,3,Jameis Winston pass complete short left to Cameron Brate for 6 yards (tackle by Anthony Hitchens),0.620,0.940
2,0:28,1,10,TAM 30,6,3,Jameis Winston pass incomplete short middle intended for Cameron Brate (defended by Tyler Patmon),0.940,0.390
2,0:23,2,10,TAM 30,6,3,Jameis Winston pass complete short left to Mike Evans for 15 yards (tackle by Rolando McClain),0.390,1.930
2,0:05,1,10,TAM 45,6,3,"Penalty on Byron Jones: Defensive Delay of Game, 5 yards (no play)",1.930,2.660
2,0:05,1,5,,6,3,Jameis Winston sacked by Demarcus Lawrence for -14 yards,2.660,0.170
Quarter,Time,Down,ToGo,Location,DAL,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,6,3,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,TAM 20,6,3,Jameis Winston pass complete short left to Mike Evans for 5 yards (tackle by Brandon Carr),0.280,0.410
3,14:35,2,5,TAM 25,6,3,Doug Martin right guard for 2 yards (tackle by Rolando McClain and Barry Church),0.410,-0.030
3,14:35,3,3,TAM 27,6,3,"Penalty on Donovan Smith: False Start, 5 yards (no play)",-0.030,-0.690
3,13:37,3,8,TAM 22,6,3,Jameis Winston pass incomplete,-0.690,-1.900
3,13:33,4,8,TAM 22,6,3,"Jake Schum punts 49 yards, returned by Lucky Whitehead for no gain",-1.900,-0.870
3,13:25,1,10,DAL 29,6,3,Matt Cassel sacked by William Gholston for -1 yards,0.870,0.190
3,12:40,2,11,DAL 28,6,3,Darren McFadden right guard for 2 yards (tackle by Akeem Spence),0.190,-0.230
3,11:58,3,9,DAL 30,6,3,Matt Cassel pass complete deep middle to Gavin Escobar for 22 yards (tackle by Bradley McDougald),-0.230,2.390
3,11:16,1,10,TAM 48,6,3,Darren McFadden middle for no gain (tackle by Lavonte David and Howard Jones),2.390,1.850
3,10:32,2,10,TAM 48,6,3,Matt Cassel pass incomplete short right intended for Dez Bryant,1.850,1.160
3,10:27,3,10,TAM 48,6,3,Matt Cassel pass incomplete short middle intended for Dez Bryant (defended by Lavonte David),1.160,0.070
3,10:22,4,10,TAM 48,6,3,"Chris Jones punts 33 yards, fair catch by Bobby Rainey. Penalty on Josh Shirley: Offensive Holding, 7 yards",0.070,0.380
3,10:13,1,10,TAM 8,6,3,Doug Martin right tackle for -1 yards (tackle by Anthony Hitchens and Byron Jones),-0.380,-0.850
3,9:39,2,11,TAM 7,6,3,Jameis Winston pass complete short right to Mike Evans for 22 yards (tackle by J.J. Wilcox),-0.850,0.870
3,8:59,1,10,TAM 29,6,3,Doug Martin left end for 4 yards (tackle by Barry Church),0.870,0.870
3,8:19,2,6,TAM 33,6,3,Jameis Winston pass complete short left to Doug Martin for 2 yards (tackle by Byron Jones),0.870,0.430
3,7:41,3,4,TAM 35,6,3,Jameis Winston pass complete short right to Adam Humphries for 6 yards (tackle by Tyler Patmon),0.430,1.660
3,7:05,1,10,TAM 41,6,3,Doug Martin right guard for 1 yard (tackle by Tyler Patmon and Anthony Hitchens),1.660,1.260
3,6:22,2,9,TAM 42,6,3,Jameis Winston pass incomplete deep right intended for Charles Sims,1.260,0.560
3,6:17,3,9,TAM 42,6,3,Jameis Winston pass incomplete short right intended for Mike Evans,0.560,-0.590
3,6:11,4,9,TAM 42,6,3,"Jake Schum punts 35 yards, returned by Cole Beasley for 1 yard (tackle by Russell Shepard)",-0.590,-0.540
3,6:02,1,10,DAL 24,6,3,Darren McFadden right guard for 4 yards (tackle by Kwon Alexander and Danny Lansanah),0.540,0.540
3,5:21,2,6,DAL 28,6,3,Matt Cassel pass complete deep right to Terrance Williams for 17 yards (tackle by Jude Adjei-Barimah),0.540,1.930
3,4:42,1,10,DAL 45,6,3,Matt Cassel pass complete short left to Jason Witten for 5 yards (tackle by Danny Lansanah),1.930,2.060
3,4:01,2,5,,6,3,Darren McFadden left guard for 2 yards (tackle by Kwon Alexander),2.060,1.620
3,3:19,3,3,TAM 48,6,3,Matt Cassel sacked by Lavonte David for -3 yards. Penalty on Tyron Smith: Offensive Holding (Declined),1.620,-0.130
3,3:03,4,6,DAL 49,6,3,Chris Jones punts 47 yards,-0.130,0.380
3,2:52,1,10,TAM 4,6,3,Doug Martin left guard for 3 yards (tackle by Barry Church),-0.380,-0.560
3,2:21,2,7,TAM 7,6,3,Jameis Winston pass incomplete short left intended for Mike Evans (defended by Brandon Carr),-0.560,-1.070
3,2:15,3,7,TAM 7,6,3,Jameis Winston pass complete short right to Brandon Myers for 12 yards (tackle by Barry Church),-1.070,0.150
3,1:41,1,10,TAM 19,6,3,Doug Martin left tackle for 1 yard (tackle by Rolando McClain),0.150,-0.200
3,1:04,2,9,TAM 20,6,3,Jameis Winston pass complete deep left to Mike Evans for 16 yards (tackle by Brandon Carr),-0.200,1.330
3,0:20,1,10,TAM 36,6,3,Jameis Winston pass complete deep middle to Adam Humphries for 19 yards (tackle by Barry Church),1.330,2.590
Quarter,Time,Down,ToGo,Location,DAL,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 45,6,3,Charles Sims right tackle for -2 yards (tackle by Nick Hayden),2.590,1.770
4,14:22,2,12,DAL 47,6,3,Jameis Winston pass incomplete deep right intended for Russell Shepard,1.770,1.090
4,14:15,3,12,DAL 47,6,3,Jameis Winston pass incomplete short left intended for Luke Stocker (defended by Tyler Patmon),1.090,0.130
4,14:07,4,12,DAL 47,6,3,Jake Schum punts 40 yards,0.130,0.380
4,13:57,1,10,DAL 7,6,3,Darren McFadden right end for 3 yards (tackle by Chris Conte and Tony McDaniel),-0.380,-0.560
4,13:14,2,7,DAL 10,6,3,"Matt Cassel pass incomplete short right intended for Tyler Patmon. Penalty on Henry Melton: Roughing the Passer, 15 yards (no play)",-0.560,0.610
4,13:07,1,10,DAL 25,6,3,Matt Cassel pass complete short left to Devin Street for 10 yards (tackle by Jude Adjei-Barimah and Lavonte David),0.610,1.270
4,12:32,1,10,DAL 35,6,3,Darren McFadden right tackle for no gain (tackle by Bradley McDougald),1.270,0.720
4,11:51,2,10,DAL 35,6,3,Matt Cassel pass complete short left to Dez Bryant for 4 yards (tackle by Chris Conte),0.720,0.560
4,11:10,3,6,DAL 39,6,3,Matt Cassel pass incomplete deep left intended for Terrance Williams,0.560,-0.780
4,11:03,4,6,DAL 39,6,3,"Chris Jones punts 53 yards, muffed catch by Bobby Rainey, recovered by Bobby Rainey and returned for 3 yards (tackle by Byron Jones)",-0.780,0.380
4,10:49,1,10,TAM 8,6,3,Doug Martin right guard for 2 yards (tackle by Jeremy Mincey),-0.380,-0.630
4,10:09,2,8,TAM 10,6,3,Jameis Winston pass complete short right to Doug Martin for 10 yards (tackle by Rolando McClain),-0.630,0.280
4,9:31,1,10,TAM 20,6,3,Jameis Winston pass complete short left to Doug Martin for 25 yards (tackle by Jeff Heath),0.280,1.930
4,9:04,1,10,TAM 45,6,3,"Doug Martin right end for -1 yards (tackle by Demarcus Lawrence). Penalty on Gosder Cherilus: Offensive Holding, 10 yards (no play)",1.930,1.270
4,8:46,1,20,TAM 35,6,3,Jameis Winston pass complete short right to Mike Evans for 26 yards (tackle by Brandon Carr),1.270,2.980
4,8:02,1,10,DAL 39,6,3,Jameis Winston pass complete short left to Charles Sims for 7 yards (tackle by Randy Gregory),2.980,3.390
4,7:19,2,3,DAL 32,6,3,Doug Martin left guard for 6 yards (tackle by Barry Church and David Irving),3.390,3.840
4,6:41,1,10,DAL 26,6,3,Doug Martin right tackle for 3 yards (tackle by David Irving),3.840,3.700
4,5:48,2,7,DAL 23,6,3,Jameis Winston pass incomplete short middle intended for Adam Humphries is intercepted by Jeff Heath at DAL-9,3.700,0.380
4,5:42,1,10,DAL 9,6,3,Darren McFadden right guard for -7 yards (tackle by Chris Conte),-0.380,-1.290
4,4:59,2,17,DAL 2,6,3,Matt Cassel pass complete deep left to Terrance Williams for 16 yards (tackle by Jude Adjei-Barimah),-1.290,-1.290
4,4:13,2,17,DAL 2,6,3,Timeout #1 by Dallas Cowboys,-1.290,-0.370
4,4:13,3,1,DAL 18,6,3,Matt Cassel pass incomplete short left intended for Dez Bryant,-0.370,-2.240
4,4:08,4,1,DAL 18,6,3,"Chris Jones punts 38 yards, fair catch by Bobby Rainey",-2.240,-1.860
4,4:00,1,10,TAM 44,6,3,"Jameis Winston pass incomplete short left intended for Mike Evans (defended by Brandon Carr). Penalty on Brandon Carr: Defensive Holding, 5 yards (no play)",1.860,2.190
4,3:54,1,10,TAM 49,6,3,Doug Martin right guard for 4 yards (tackle by Tyrone Crawford and Randy Gregory),2.190,2.190
4,3:16,2,6,DAL 47,6,3,Jameis Winston pass complete short right to Donteea Dye for 11 yards (tackle by Barry Church),2.190,3.180
4,2:37,1,10,DAL 36,6,3,Jameis Winston pass complete short left to Doug Martin for 3 yards (tackle by Rolando McClain),3.180,3.040
4,2:10,2,7,DAL 33,6,3,Jameis Winston pass complete deep middle to Brandon Myers for 17 yards (tackle by Jeff Heath),3.040,4.510
4,2:00,1,10,DAL 16,6,3,Jameis Winston pass complete short right to Charles Sims for 6 yards (tackle by Anthony Hitchens),4.510,4.970
4,1:23,2,4,DAL 10,6,3,Charles Sims left guard for 5 yards (tackle by David Irving and Rolando McClain),4.970,4.970
4,1:18,2,4,DAL 10,6,3,Timeout #2 by Dallas Cowboys,4.970,6.060
4,1:18,1,5,DAL 5,6,3,Doug Martin left guard for 1 yard (tackle by Tyrone Crawford),6.060,6.060
4,1:13,1,5,DAL 5,6,3,Timeout #3 by Dallas Cowboys,6.060,5.340
4,1:13,2,4,DAL 4,6,3,Jameis Winston pass incomplete short left intended for Mike Evans,5.340,4.490
4,1:07,3,4,DAL 4,6,3,"Jameis Winston middle for 3 yards (tackle by Tyler Patmon). Jameis Winston fumbles (forced by Tyler Patmon), recovered by Demarcus Lawrence at DAL--1. Penalty on Jeff Heath: Defensive Holding",4.490,6.970
4,0:59,1,1,DAL 1,6,9,"Jameis Winston right end for 1 yard, touchdown",6.970,7.000
4,0:59,,,DAL 1,6,10,Connor Barth kicks extra point good,0.000,0.000
4,0:59,,,TAM 35,6,10,"Connor Barth kicks off 45 yards, muffed catch by Terrance Williams, recovered by Terrance Williams at DAL-20, and returned for 9 yards. Penalty on Mike Jenkins: Unnecessary Roughness, 15 yards",0.000,-1.860
4,0:43,1,10,DAL 44,6,10,Matt Cassel pass complete short middle to Darren McFadden for 11 yards (tackle by Lavonte David),1.860,2.590
4,0:29,1,10,TAM 45,6,10,Matt Cassel spiked the ball,2.590,2.040
4,0:28,2,10,TAM 45,6,10,Matt Cassel pass incomplete deep middle intended for Dez Bryant is intercepted by Bradley McDougald at TAM-0,2.040,-0.280
4,0:14,1,10,TAM 20,6,10,Jameis Winston kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
