Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA
1,4:55,2,8,BAL 23,0,3,"EJ Manuel pass incomplete short left intended for Steve Johnson (defended by Jimmy Smith). Penalty on Jimmy Smith: Defensive Pass Interference, 6 yards (no play)",3.630,4.440
1,4:50,1,10,BAL 17,0,3,C.J. Spiller up the middle for 5 yards (tackle by Josh Bynes and Daryl Smith),4.440,4.690
1,4:19,2,5,BAL 12,0,3,C.J. Spiller left guard for -2 yards (tackle by Arthur Jones),4.690,3.500
1,3:47,3,7,BAL 14,0,3,EJ Manuel left tackle for 5 yards (tackle by Matt Elam),3.500,2.950
1,3:07,4,2,BAL 9,0,6,Dan Carpenter 27 yard field goal good,2.950,3.000
1,3:07,,,BUF 35,0,6,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.280
1,3:03,1,10,BAL 20,0,6,Bernard Pierce right tackle for 1 yard (tackle by Alan Branch and Marcell Dareus),0.280,-0.130
1,2:22,2,9,BAL 21,0,6,Bernard Pierce right guard for 2 yards (tackle by Alan Branch and Marcell Dareus),-0.130,-0.560
1,1:40,3,7,BAL 23,0,6,Joe Flacco pass complete short left to Tandon Doss for 3 yards (tackle by Justin Rogers),-0.560,-1.630
1,1:05,4,4,BAL 26,0,6,"Sam Koch punts 44 yards, fair catch by Jim Leonhard",-1.630,-0.940
1,0:58,1,10,BUF 30,0,6,EJ Manuel pass complete deep middle to Robert Woods for 19 yards (tackle by Lardarius Webb),0.940,2.190
1,0:25,1,10,BUF 49,0,6,"EJ Manuel pass complete short left to Fred Jackson for 3 yards (tackle by Josh Bynes). Penalty on Cordy Glenn: Unnecessary Roughness, 15 yards (no play)",2.190,1.200
1,0:08,1,25,BUF 34,0,6,EJ Manuel pass complete short left to Robert Woods for 11 yards (tackle by Jimmy Smith and Terrell Suggs),1.200,1.110
Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,BUF 45,0,6,"EJ Manuel sacked by Chris Canty for -9 yards. EJ Manuel fumbles (forced by Chris Canty), recovered by Brandon Williams at BUF-27 (tackle by Lee Smith)",1.110,-3.780
2,14:49,1,10,BUF 27,0,6,Joe Flacco pass incomplete deep right intended for Marlon Brown,3.780,3.230
2,14:43,2,10,BUF 27,0,6,Joe Flacco pass complete short right to Dallas Clark for 17 yards (tackle by Manny Lawson and Justin Rogers),3.230,4.910
2,14:00,1,10,BUF 10,6,6,"Joe Flacco pass complete short middle to Marlon Brown for 10 yards, touchdown",4.910,7.000
2,14:00,,,BUF 2,7,6,Justin Tucker kicks extra point good,0.000,0.000
2,14:00,,,BAL 35,7,6,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
2,13:55,1,10,BUF 20,7,6,T.J. Graham right end for 14 yards (tackle by Josh Bynes and Corey Graham),0.280,1.200
2,13:18,1,10,BUF 34,7,6,EJ Manuel left tackle for 5 yards (tackle by James Ihedigbo),1.200,1.330
2,12:51,2,5,BUF 39,7,6,C.J. Spiller left tackle for 4 yards (tackle by Pernell McPhee and Daryl Smith),1.330,1.160
2,12:21,3,1,BUF 43,7,6,C.J. Spiller up the middle for no gain (tackle by Marcus Spears and Pernell McPhee),1.160,-0.520
2,11:37,4,1,BUF 43,7,6,"Shawn Powell punts 38 yards, returned by Tandon Doss for -1 yards (tackle by Marcus Easley)",-0.520,-0.040
2,11:27,1,10,BAL 18,7,6,Joe Flacco pass incomplete deep middle intended for Torrey Smith (defended by Aaron Williams),0.040,-0.490
2,11:20,2,10,BAL 18,7,6,Joe Flacco pass complete short right to Deonte Thompson for 8 yards (tackle by Justin Rogers),-0.490,-0.140
2,10:55,3,2,BAL 26,7,6,Joe Flacco pass incomplete short right intended for Dallas Clark (defended by Da'Norris Searcy),-0.140,-1.630
2,10:51,4,2,BAL 26,7,6,"Sam Koch punts 53 yards, returned by Jim Leonhard for 9 yards (tackle by Michael Huff)",-1.630,-0.940
2,10:39,1,10,BUF 30,7,6,C.J. Spiller right guard for 6 yards (tackle by Matt Elam),0.940,1.200
2,10:12,2,4,BUF 36,7,6,C.J. Spiller up the middle for 8 yards (tackle by James Ihedigbo and Josh Bynes),1.200,1.860
2,9:44,1,10,BUF 44,7,6,"Fred Jackson left tackle for 8 yards (tackle by Jimmy Smith). Fred Jackson fumbles (forced by Jimmy Smith), recovered by Fred Jackson at BAL-48",1.860,2.400
2,9:14,2,2,BAL 48,7,6,Fred Jackson up the middle for 6 yards (tackle by Josh Bynes and Daryl Smith),2.400,2.790
2,8:45,1,10,BAL 42,7,12,"EJ Manuel pass complete deep middle to Robert Woods for 42 yards, touchdown",2.790,7.000
2,8:45,,,BAL 2,7,13,Dan Carpenter kicks extra point good,0.000,0.000
2,8:45,,,BUF 35,7,13,"Dan Carpenter kicks off 69 yards, returned by Deonte Thompson for 34 yards (tackle by Brandon Burton)",0.000,-0.940
2,8:34,1,10,BAL 30,7,13,"Ray Rice up the middle for 5 yards (tackle by Kiko Alonso and Justin Rogers). Penalty on Michael Oher: Offensive Holding, 10 yards (no play)",0.940,0.280
2,8:14,1,20,BAL 20,7,13,Joe Flacco pass incomplete short middle intended for Ed Dickson is intercepted by Jim Leonhard at BAL-28,0.280,-3.710
2,8:05,1,10,BAL 28,7,13,C.J. Spiller right end for -2 yards (tackle by Corey Graham),3.710,2.900
2,7:33,2,12,BAL 30,7,13,EJ Manuel pass incomplete deep right intended for Steve Johnson,2.900,2.210
2,7:27,3,12,BAL 30,7,13,EJ Manuel pass complete short right to Scott Chandler for 14 yards (tackle by Matt Elam and Michael Huff),2.210,4.510
2,6:57,1,10,BAL 16,7,19,"Fred Jackson up the middle for 16 yards, touchdown",4.510,7.000
2,6:57,,,BAL 2,7,20,Dan Carpenter kicks extra point good,0.000,0.000
2,6:57,,,BUF 35,7,20,"Dan Carpenter kicks off 74 yards, touchback",0.000,-0.280
2,6:52,1,10,BAL 20,7,20,Bernard Pierce right guard for 1 yard (tackle by Marcell Dareus and Arthur Moats),0.280,-0.130
2,6:19,2,9,BAL 21,7,20,Joe Flacco pass incomplete deep middle intended for Marlon Brown (defended by Justin Rogers),-0.130,-0.820
2,6:13,3,9,BAL 21,7,20,Joe Flacco pass incomplete deep middle intended for Dallas Clark,-0.820,-1.960
2,6:10,4,9,BAL 21,7,20,"Sam Koch punts 51 yards, returned by Jim Leonhard for 11 yards (tackle by Anthony Levine)",-1.960,-1.530
2,5:58,1,10,BUF 39,7,20,C.J. Spiller up the middle for 4 yards (tackle by Arthur Jones and Chris Canty),1.530,1.530
2,5:22,2,6,BUF 43,7,20,C.J. Spiller left guard for 2 yards (tackle by Daryl Smith and Chris Canty),1.530,1.090
2,4:48,3,4,BUF 45,7,20,EJ Manuel pass incomplete short middle intended for Steve Johnson,1.090,-0.390
2,4:45,4,4,BUF 45,7,20,"Penalty on Marcus Easley: False Start, 5 yards (no play)",-0.390,-0.720
2,4:45,4,9,BUF 40,7,20,"Shawn Powell punts 54 yards, returned by Tandon Doss for 5 yards (tackle by Nigel Bradham)",-0.720,0.370
2,4:33,1,10,BAL 11,7,20,Joe Flacco pass incomplete short middle intended for Tandon Doss,-0.370,-0.780
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,4:29,2,10,BAL 11,7,20,Ray Rice right tackle for no gain (tackle by Kiko Alonso),-0.780,-1.420
2,3:51,3,10,BAL 11,7,20,Joe Flacco sacked by Marcell Dareus for -8 yards,-1.420,-2.490
2,3:16,4,18,BAL 3,7,20,"Sam Koch punts 40 yards, returned by Jim Leonhard for 6 yards (tackle by John Simon)",-2.490,-3.120
2,3:04,1,10,BAL 37,7,20,C.J. Spiller up the middle for 6 yards (tackle by Terrell Suggs and Corey Graham),3.120,3.380
2,2:34,2,4,BAL 31,7,20,C.J. Spiller left guard for 3 yards (tackle by Terrell Suggs and Elvis Dumervil),3.380,3.070
2,2:00,3,1,BAL 28,7,20,Fred Jackson up the middle for no gain (tackle by Terrell Suggs and Arthur Jones),3.070,1.720
2,1:24,4,1,BAL 28,7,20,"Fred Jackson left tackle for 13 yards (tackle by Jimmy Smith). Penalty on Eric Wood: Offensive Holding, 10 yards (no play)",1.720,0.720
2,1:17,4,11,BAL 38,7,20,Penalty on Shawn Powell: Delay of Game (Declined),0.720,0.720
2,1:17,4,11,BAL 38,7,20,"Shawn Powell punts 23 yards, fair catch by Tandon Doss",0.720,0.220
2,1:10,1,10,BAL 15,7,20,Joe Flacco pass complete short left to Torrey Smith for 23 yards (tackle by Jim Leonhard),-0.220,1.470
2,1:01,1,10,BAL 38,7,20,Joe Flacco pass incomplete short middle intended for Dallas Clark,1.470,0.920
2,0:57,2,10,BAL 38,7,20,Joe Flacco pass complete short right to Marlon Brown for 5 yards (tackle by Justin Rogers),0.920,0.890
2,0:37,3,5,BAL 43,7,20,Joe Flacco pass complete short left to Tandon Doss for 3 yards (tackle by Nickell Robey and Brandon Burton),0.890,0.890
2,0:03,3,5,BAL 43,7,20,Timeout #1 by Baltimore Ravens,0.890,-0.320
2,0:03,4,2,BAL 46,7,20,Joe Flacco pass complete deep right to Tandon Doss for 24 yards (tackle by Nickell Robey and Kiko Alonso),-0.320,3.580
Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,7,20,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,BUF 20,7,20,C.J. Spiller up the middle for 1 yard (tackle by Terrell Suggs and Daryl Smith),0.280,-0.130
3,14:31,2,9,BUF 21,7,20,C.J. Spiller up the middle for 1 yard (tackle by Arthur Jones and Daryl Smith),-0.130,-0.690
3,14:02,3,8,BUF 22,7,20,EJ Manuel pass complete short left to Steve Johnson for -1 yards (tackle by Corey Graham and Terrell Suggs),-0.690,-1.960
3,13:22,4,9,BUF 21,7,20,"Penalty on Duke Williams: False Start, 5 yards (no play)",-1.960,-2.390
3,13:11,4,14,BUF 16,7,20,"Shawn Powell punts 39 yards, out of bounds",-2.390,-1.930
3,13:04,1,10,BAL 45,7,20,"Penalty on Ed Dickson: False Start, 5 yards (no play)",1.930,1.600
3,13:04,1,15,BAL 40,7,20,Joe Flacco pass incomplete deep right intended for Torrey Smith,1.600,0.710
3,12:55,2,15,BAL 40,7,20,Joe Flacco pass complete short left to Ed Dickson for 4 yards (tackle by Da'Norris Searcy),0.710,0.560
3,12:18,3,11,BAL 44,7,20,Joe Flacco pass incomplete deep left intended for Marlon Brown,0.560,-0.460
3,12:06,4,11,BAL 44,7,20,"Sam Koch punts 44 yards, fair catch by Jim Leonhard",-0.460,0.350
3,11:59,1,10,BUF 12,7,20,C.J. Spiller up the middle for 2 yards (tackle by Arthur Jones and Terrell Suggs),-0.350,-0.610
3,11:28,2,8,BUF 14,7,20,EJ Manuel pass incomplete deep right intended for Robert Woods,-0.610,-1.190
3,11:23,3,8,BUF 14,7,20,EJ Manuel pass incomplete short middle intended for Steve Johnson is intercepted by Daryl Smith at BUF-19 and returned for 1 yard (tackle by Robert Woods),-1.190,-4.370
3,11:16,1,10,BUF 18,7,20,Joe Flacco pass complete short left to Bernard Pierce for 2 yards (tackle by Manny Lawson),4.370,4.090
3,11:02,2,8,BUF 16,7,20,"Penalty on Alan Branch: Encroachment, 5 yards (no play)",4.090,5.010
3,10:54,2,3,BUF 11,7,20,Joe Flacco sacked by Manny Lawson for -8 yards,5.010,2.970
3,10:34,3,11,BUF 19,7,20,Joe Flacco pass incomplete deep right intended for Torrey Smith is intercepted by Aaron Williams at BUF--8,2.970,-0.280
3,10:22,1,10,BUF 20,7,20,EJ Manuel pass complete short left to Lee Smith for 28 yards (tackle by Jimmy Smith). Penalty on Terrell Suggs: Defensive Offside (Declined),0.280,2.130
3,10:07,1,10,BUF 48,7,20,C.J. Spiller right tackle for no gain (tackle by Arthur Jones and Courtney Upshaw),2.130,1.580
3,9:34,2,10,BUF 48,7,20,Fred Jackson up the middle for 5 yards (tackle by Haloti Ngata and Josh Bynes),1.580,1.550
3,8:59,3,5,BAL 47,7,20,EJ Manuel pass incomplete short left intended for Steve Johnson,1.550,0.130
3,8:57,4,5,BAL 47,7,20,"Shawn Powell punts 47 yards, touchback",0.130,-0.280
3,8:48,1,10,BAL 20,7,20,Joe Flacco pass complete short middle to Dallas Clark for 13 yards (tackle by Da'Norris Searcy),0.280,1.140
3,8:19,1,10,BAL 33,7,20,Joe Flacco pass complete short right to Dallas Clark for 4 yards (tackle by Da'Norris Searcy),1.140,1.130
3,7:49,2,6,BAL 37,7,20,"Joe Flacco pass complete short right to Torrey Smith for 22 yards (tackle by Aaron Williams). Penalty on Aaron Williams: Horse Collar Tackle, 15 yards",1.130,3.840
3,7:22,1,10,BUF 26,13,20,"Joe Flacco pass complete deep right to Torrey Smith for 26 yards, touchdown",3.840,7.000
3,7:22,,,BUF 2,14,20,Justin Tucker kicks extra point good,0.000,0.000
3,7:22,,,BAL 35,14,20,"Justin Tucker kicks off 73 yards, touchback",0.000,-0.280
3,7:17,1,10,BUF 20,14,20,"EJ Manuel right end for 1 yard (tackle by Courtney Upshaw). Penalty on Cordy Glenn: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,6:59,1,20,BUF 10,14,20,EJ Manuel pass incomplete deep right intended for Scott Chandler,-0.760,-1.510
,,,,,,,"BAL challenged the pass completion ruling, and the original play was overturned.",,
3,6:54,2,20,BUF 10,14,20,EJ Manuel pass incomplete deep right intended for T.J. Graham (defended by Chykie Brown),-1.510,-2.590
3,6:45,3,20,BUF 10,14,20,Fred Jackson up the middle for 8 yards (tackle by Haloti Ngata and Daryl Smith),-2.590,-2.240
3,6:07,4,12,BUF 18,14,20,"Shawn Powell punts 59 yards, returned by Tandon Doss for 10 yards (tackle by Marcus Easley)",-2.240,-1.140
3,5:55,1,10,BAL 33,14,20,Joe Flacco pass incomplete deep right intended for Dallas Clark (defended by Da'Norris Searcy),1.140,0.590
3,5:50,2,10,BAL 33,14,20,Joe Flacco pass complete short right to Deonte Thompson for 4 yards (tackle by Da'Norris Searcy). Penalty on Kelechi Osemele: Illegal Formation (Declined),0.590,0.430
3,5:24,3,6,BAL 37,14,20,Joe Flacco pass complete short middle to Tandon Doss for 17 yards (tackle by Jim Leonhard),0.430,2.520
3,5:01,1,10,BUF 46,14,20,Joe Flacco pass incomplete short middle intended for Marlon Brown is intercepted by Kiko Alonso at BUF-46 and returned for 6 yards (tackle by Marshal Yanda),2.520,-2.390
3,4:53,1,10,BAL 48,14,20,Fred Jackson up the middle for 5 yards (tackle by Matt Elam and Arthur Jones),2.390,2.520
3,4:23,2,5,BAL 43,14,20,Fred Jackson left tackle for 5 yards (tackle by Elvis Dumervil),2.520,3.050
3,4:04,1,10,BAL 38,14,20,Tashard Choice up the middle for 7 yards (tackle by Terrell Suggs),3.050,3.450
3,3:35,2,3,BAL 31,14,20,Robert Woods right end for 13 yards (tackle by Corey Graham),3.450,4.370
3,3:11,1,10,BAL 18,14,20,Fred Jackson right tackle for 10 yards (tackle by James Ihedigbo),4.370,5.370
3,2:46,1,8,BAL 8,14,20,EJ Manuel pass incomplete short right intended for Lee Smith,5.370,4.570
3,2:41,2,8,BAL 8,14,20,Fred Jackson up the middle for 4 yards (tackle by Pernell McPhee and Josh Bynes),4.570,4.490
3,2:04,3,4,BAL 4,14,20,EJ Manuel pass incomplete short right intended for Robert Woods,4.490,3.030
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
3,1:59,4,4,BAL 4,14,23,Dan Carpenter 22 yard field goal good,3.030,3.000
3,1:59,,,BUF 35,14,23,"Dan Carpenter kicks off 61 yards, returned by Deonte Thompson for 21 yards (tackle by Nigel Bradham)",0.000,-0.610
3,1:50,1,10,BAL 25,14,23,Joe Flacco pass complete short right to Deonte Thompson for 5 yards (tackle by Justin Rogers),0.610,0.740
3,1:21,2,5,BAL 30,14,23,Joe Flacco pass complete short right to Ed Dickson for 8 yards (tackle by Da'Norris Searcy),0.740,1.470
3,0:38,1,10,BAL 38,14,23,"Penalty on Jamaal Westerman: Neutral Zone Infraction, 5 yards (no play)",1.470,2.200
3,0:22,1,5,BAL 43,14,23,Joe Flacco pass incomplete short left intended for Tandon Doss,2.200,1.600
3,0:17,2,5,BAL 43,14,23,Joe Flacco pass incomplete deep right intended for Torrey Smith (defended by Aaron Williams),1.600,0.890
3,0:11,3,5,BAL 43,14,23,Joe Flacco pass incomplete short middle intended for Tandon Doss,0.890,-0.520
3,0:07,4,5,BAL 43,14,23,"Sam Koch punts 46 yards, fair catch by Jim Leonhard",-0.520,0.370
Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BUF 11,14,23,"EJ Manuel right tackle for 3 yards (tackle by Corey Graham). Penalty on Steve Johnson: Offensive Holding, 7 yards",-0.370,-0.530
4,14:41,1,14,BUF 7,14,23,C.J. Spiller up the middle for 10 yards (tackle by Corey Graham and Daryl Smith),-0.530,-0.160
4,14:11,2,4,BUF 17,14,23,Fred Jackson left tackle for 9 yards (tackle by Daryl Smith and Jimmy Smith),-0.160,0.670
4,13:38,1,10,BUF 26,14,23,"Penalty on Josh Bynes: Encroachment, 5 yards (no play)",0.670,1.400
4,13:25,1,5,BUF 31,14,23,Tashard Choice up the middle for 4 yards (tackle by James Ihedigbo),1.400,1.350
4,12:49,2,1,BUF 35,14,23,Tashard Choice right guard for no gain (tackle by Chris Canty and Josh Bynes),1.350,0.630
4,12:13,3,1,BUF 35,14,23,EJ Manuel right end for 3 yards (tackle by Matt Elam),0.630,1.470
4,11:48,1,10,BUF 38,14,23,C.J. Spiller right tackle for 2 yards (tackle by Terrell Suggs and Haloti Ngata),1.470,1.190
4,11:05,2,8,BUF 40,14,23,Fred Jackson right guard for 3 yards (tackle by Marcus Spears and Terrell Suggs),1.190,0.890
4,10:23,3,5,BUF 43,14,23,EJ Manuel pass complete short middle to Robert Woods for 8 yards (tackle by Chykie Brown),0.890,2.320
4,9:43,1,10,BAL 49,14,23,"Tashard Choice right tackle for 10 yards (tackle by Daryl Smith). Penalty on Eric Wood: Offensive Holding, 10 yards (no play)",2.320,1.660
4,9:14,1,20,BUF 41,14,23,EJ Manuel left tackle for 4 yards (tackle by Pernell McPhee),1.660,0.970
4,8:42,2,16,BUF 45,14,23,EJ Manuel pass incomplete deep middle intended for Robert Woods is intercepted by Corey Graham at BAL-9,0.970,0.380
4,8:33,1,10,BAL 9,14,23,Joe Flacco pass complete deep middle to Torrey Smith for 74 yards (tackle by Aaron Williams),-0.380,4.440
4,7:49,1,10,BUF 17,14,23,Joe Flacco pass incomplete short right intended for Vonta Leach,4.440,3.850
4,7:44,2,10,BUF 17,14,23,Joe Flacco pass complete short right to Dallas Clark for no gain,3.850,3.070
4,7:20,3,10,BUF 17,14,23,Joe Flacco pass incomplete deep right intended for Torrey Smith (defended by Brandon Burton),3.070,2.310
4,7:16,4,10,BUF 17,17,23,Justin Tucker 35 yard field goal good,2.310,3.000
4,7:16,,,BAL 35,17,23,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
4,7:11,1,10,BUF 20,17,23,"Fred Jackson up the middle for 1 yard (tackle by Chris Canty). Fred Jackson fumbles (forced by Chris Canty), recovered by Kraig Urbik at BUF-21",0.280,-0.130
4,6:37,2,9,BUF 21,17,23,EJ Manuel pass incomplete deep middle intended for Robert Woods,-0.130,-0.820
4,6:31,3,9,BUF 21,17,23,EJ Manuel pass complete short middle to T.J. Graham for 6 yards (tackle by Courtney Upshaw and Daryl Smith),-0.820,-1.570
4,5:49,4,3,BUF 27,17,23,"Shawn Powell punts 29 yards, out of bounds",-1.570,-1.860
4,5:43,1,10,BAL 44,17,23,"Joe Flacco pass complete deep right to Deonte Thompson for 33 yards (tackle by Jim Leonhard and Brandon Burton). Penalty on Jim Leonhard: Personal Foul, 12 yards",1.860,4.840
4,5:31,1,10,BUF 11,17,23,Joe Flacco sacked by Mario Williams for -2 yards,4.840,3.830
4,4:52,2,12,BUF 13,17,23,Ray Rice up the middle for 7 yards (tackle by Jim Leonhard),3.830,4.210
4,4:13,3,5,BUF 6,17,23,Joe Flacco pass incomplete short middle intended for Ray Rice (defended by Da'Norris Searcy),4.210,2.990
4,4:08,4,5,BUF 6,20,23,Justin Tucker 24 yard field goal good,2.990,3.000
4,4:08,,,BAL 35,20,23,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
4,4:04,1,10,BUF 20,20,23,Fred Jackson right tackle for 2 yards (tackle by Haloti Ngata and Terrell Suggs),0.280,0.000
4,3:22,2,8,BUF 22,20,23,"EJ Manuel left guard for -3 yards (tackle by Corey Graham). EJ Manuel fumbles (forced by Corey Graham), recovered by Steve Johnson at BUF-19",0.000,-1.140
4,2:37,3,11,BUF 19,20,23,Fred Jackson right guard for 4 yards (tackle by Arthur Jones and Terrell Suggs),-1.140,-1.140
4,2:32,3,11,BUF 19,20,23,Timeout #1 by Baltimore Ravens,-1.140,-1.830
4,2:32,4,7,BUF 23,20,23,"Shawn Powell punts 57 yards, returned by Tandon Doss for 17 yards (tackle by Marcus Easley)",-1.830,-1.400
4,2:20,1,10,BAL 37,20,23,Joe Flacco sacked by Marcell Dareus for -8 yards,1.400,-0.220
4,2:00,2,18,BAL 29,20,23,Joe Flacco pass incomplete short right intended for Torrey Smith,-0.220,-0.890
4,1:52,3,18,BAL 29,20,23,Joe Flacco pass complete deep middle to Torrey Smith for 21 yards (tackle by Da'Norris Searcy),-0.890,2.260
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,1:33,1,10,,20,23,Ray Rice up the middle for 2 yards (tackle by Marcell Dareus),2.260,1.980
4,1:11,2,8,BUF 48,20,23,Joe Flacco pass incomplete deep left intended for Torrey Smith,1.980,1.290
4,1:04,3,8,BUF 48,20,23,Joe Flacco pass incomplete short middle intended for Dallas Clark is intercepted by Kiko Alonso at BUF-36,1.290,-1.330
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:57,1,10,BUF 36,20,23,EJ Manuel kneels for -2 yards,1.330,1.330
4,0:54,1,10,BUF 36,20,23,Timeout #2 by Baltimore Ravens,1.330,0.520
4,0:54,2,12,BUF 34,20,23,EJ Manuel kneels for -4 yards,0.520,0.520
4,0:51,2,12,BUF 34,20,23,Timeout #3 by Baltimore Ravens,0.520,-0.690
4,0:51,3,16,BUF 30,20,23,"EJ Manuel kneels for -6 yards (tackle by Terrell Suggs). Penalty on Courtney Upshaw: Unnecessary Roughness, 15 yards",-0.690,1.530
4,0:45,1,10,BUF 39,20,23,EJ Manuel kneels for -2 yards,1.530,0.720
4,0:24,2,12,BUF 37,20,23,EJ Manuel kneels for -2 yards,0.720,-0.230
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
