Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
3,0:54,2,5,DEN 33,13,12,Fitzgerald Toussaint left tackle for 9 yards (tackle by Danny Trevathan),3.180,3.970
3,0:14,1,10,DEN 24,13,12,"Ben Roethlisberger sacked by Antonio Smith for -7 yards. Penalty on Marcus Gilbert: Face Mask (15 Yards), 15 yards (no play)",3.970,2.980
Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,25,DEN 39,13,12,Jordan Todman right tackle for -5 yards (tackle by DeMarcus Ware),2.980,0.730
4,14:23,2,30,DEN 44,13,12,Ben Roethlisberger pass incomplete short middle intended for Markus Wheaton,0.730,0.100
4,14:18,3,30,DEN 44,13,12,Ben Roethlisberger pass complete short middle to Martavis Bryant for 10 yards (tackle by Aqib Talib),0.100,1.060
4,13:25,4,20,DEN 34,13,12,"Penalty on Jordan Berry: Delay of Game, 5 yards (no play)",1.060,0.660
4,13:21,4,25,DEN 39,13,12,"Jordan Berry punts 39 yards, touchback",0.660,-0.280
4,13:15,1,10,DEN 20,13,12,Peyton Manning pass complete short left to Emmanuel Sanders for 34 yards (tackle by William Gay),0.280,2.520
4,12:53,1,10,PIT 46,13,12,Peyton Manning pass incomplete short right intended for Ronnie Hillman,2.520,2.520
4,12:48,1,10,PIT 46,13,12,Timeout #2 by Denver Broncos,2.520,1.980
4,12:48,2,10,PIT 46,13,12,Ronnie Hillman left tackle for -4 yards (tackle by Will Allen),1.980,0.760
4,12:11,3,14,,13,12,Peyton Manning pass complete short middle to Demaryius Thomas for 4 yards (tackle by Stephon Tuitt),0.760,0.200
4,11:41,4,10,PIT 46,13,12,"Britton Colquitt punts 39 yards, muffed catch by Markus Wheaton, recovered by Ross Cockrell and returned for no gain. Penalty on Kayvon Webster: Illegal Motion, 5 yards",0.200,-0.610
4,11:33,1,10,PIT 25,13,12,Ben Roethlisberger pass complete short middle to Jesse James for 22 yards (tackle by Aqib Talib). Penalty on Brandon Marshall: Illegal Contact (Declined),0.610,2.060
